ParlaMint-NO_2003-03-27.ana.ud1262e69	The representative, Inge Ryan, will make a private proposal.
ParlaMint-NO_2003-03-27.ana.ud1262e1015	It's going to be line change.
ParlaMint-NO_2003-03-27.ana.ud1262e1018	Gas use in Norway has been under discussion for many years. The message we received for treatment also provided a good basis for dealing with this case, because there were many visions there. But the message was far too little concrete, for example. as regards the key to creating new jobs based on natural gas, namely infrastructure. There the government had a clear proposal, and it was going on with Enova. In this context, everyone in this room knows that we've spent between 20 and 40 million. kr in the year – SV would have it in zero for the current year. We all know that there has been no particular use of natural gas in Norway that has created jobs, nor will it be in the future if you do so. Competition will always be lost in relation to, for example, kindergartens and nursing homes. This, and also being able to give clear signals, was the background that we have proposed a different model. At a time when unemployment is rising every day, we know that we now need to build jobs and that clear signals are needed. However, the government has decided to join SV. And I think we have got liberating clear signals from SV here today. The main spokeswoman of the party, Ingvild Vaggen Malvik, has said something like that there is no goal in itself to use natural gas in Norway, and that it is naive to believe that investing in this will create new jobs. My question to the Steensnæs State Council is: Does he share this assessment? There is this party that this Government and the government parties have now chosen to bet on. I hear the council say that the government will have a large investment in gas power plants with CO2 management. We're for that, too. But why in the world did the government then make a deal with the Advance Party before Christmas, where the research on this type of gas power plant was halved? And why is it that the government parties today say no to support the Workers' Party's proposal that we should spend 250 million. DKK over 10 years, including for research and development of gas power plants with CO2 management? And why is it that the government parties later today will also say no to support such gas power plants similar to the reimbursement of the whole electricity charge? Is it to supply such a development, or are there also many fine words, but little action?
ParlaMint-NO_2003-03-27.ana.ud1262e1029	Let me first say that I am pleased that Sylvia Brustad repeats some of the positive assessments she made when the gas message was submitted, as a good starting point for an active and offensive strategy for more use of gas in Norway. But then I think she, as the rapporteur-in-Office, who has a primary responsibility to sew together a broad settlement where it is possible to achieve this, has today been more concerned with pointing out differences and different views than creating a common platform for a further bet. The parties of Storting will take responsibility for that. I spent considerable time in my post just to point out that it was both in the setting and in the inserts, through important parts, despite everything there was a red thread that made it possible to move on. I see, for my part, much more positive and optimistic about the possibilities we have in the future for increased use of gas. This is the case in Grenland, in Haugaland, in Hordaland, in Central Norway, in Northern Norway — yes, it is in large parts of this country. And in a week's time, Sylvia Brustad and I will meet in Hedmark at a gas conference. I'm glad. I don't think we should look back, but forward. And let me say: I want to clearly warn you against minimizing the financial burden it will in any case be putting off large amounts of money for projects that have not been completed. It was the Labour Party's own government, where Sylvia Brustad had a role, which implemented the rule of action. We know that for every single penny of the Petroleum Fund set aside for other purposes, it will reduce the funds that can be used for other projects, so it's a simplification when it's said that this can easily be set off without any significance. It has a consequence, a proper economic review of the projects is necessary for their proper implementation. History has shown us with all manner of clarity what happens when such a review is not carried out.
ParlaMint-NO_2003-03-27.ana.ud1262e1036	The Norwegian people have experienced the government's lack of energy policy this winter, which is also shown here today both in the announcement and in the behaviour of the government parties, or rather a lack of action. Now, unfortunately, we see that the use of gas as an energy source stops thanks to the government having made a compromise with the Socialist Left Party – despite the fact that the Council of State just said the opposite from this pulpit. The use of our huge gas resources for power generation would have saved us from the power crisis we've had this winter. The council said that the government is dependent on gas power, but only gas power with CO2 handling, as it is called fine. At the same time, all the expertise we have says that it will take at least 10 to 15 years before there is such a technology that is commercially sound. So I want to ask the Council of State: why don't you be honest and say straight away that you don't want gas power plants, instead of putting this into phrases about a technology that doesn't exist at all?
ParlaMint-NO_2003-03-27.ana.ud1262e1045	It's not right that this technology doesn't exist. It actually exists today, and we have gas power plants with CO2 handling today. What I am less sure of, however, is whether this is the most cost-effective solution. Here researchers recommend us to carry out a pilot project, a demonstration facility, before building the expensive full-scale facilities. There is a recommendation that the Government follows. It was the Gas Technology Committee that made such a recommendation. They see that it takes a long period of exploration before you can actually end up on which project is the most sensible. The government takes note of it, at the same time reporting some impatience and wants to help accelerate such a technology. This means that the Government has said that from 2006 it is prepared to co-finance a gas power plant with CO2 management to bridge the cost difference between a conventional gas power plant and one with CO2 management. It's not that we've shot this out in an unknown future. There are three concessions, I'll remind you of it again, but none of the concessions have been used, for economic reasons. But from the moment we're in a situation where a conventional gas power plant can be built – and we're not today – this government is willing to contribute the necessary funds to make the option an environmentally friendly gas power plant with CO2 management. It is a significant economic challenge. It requires an effort financially, but that commitment has been taken on by the Government. So in order to make that time as far forward as possible, the government has chosen to invest considerable resources in research and development, and we have a good cooperation with research on this. With the decision of the Storting today, we have made further concrete efforts.
ParlaMint-NO_2003-03-27.ana.ud1262e1052	The representative Brustad claimed that I said it was naive to believe that investing in natural gas would give a lot of jobs. She should have added overnight, because it is a reality that renewable energy will provide more jobs per year. TWh than gas power. Part of the debate here today is about the costs of building a gas pipeline to Grenland, but there is still no one who has been able to put on the table a thorough state investigation that concludes on what such an investment in a pipeline to Grenland we cost. I would also like to point out that it is essential that Grenland obtains further access to gas within an environmentally sound framework, not that it must necessarily be transported in pipes, especially in view of the fact that it has been claimed that the gas can be transported at half price using the Knutsen shipping company's boat solution. But let there be no doubt that SV is engaged in ensuring the industry in Grenland continues to supply gas. What we're asking for is that we get facts on the table before we conclude in relation to the choice of infrastructure solution and funding. My question is therefore: does the Council have any opinion on the different costs of the different gas transport solutions to Grenland? Is the council attached to any number material in which Stortinget has not been involved?
ParlaMint-NO_2003-03-27.ana.ud1262e1063	First, I want to agree with Vaggen Malvik in terms of renewable energy sources. Firstly, it is interesting because we need a different energy composition — a different energy portfolio — than the one-sided dependence we have on hydropower today, and then renewable energy sources, especially waterborne heat, bioenergy and wind power, are interesting. The second aspect is that we will also be able to provide more energy while complying with our important international environmental and climate obligations. And the third point, as Vaggen Malvik also pointed out, is to create new jobs, yes, actually a new technology and a new industrial investment, which could mean a larger market, because the Kyoto agreement will obviously open up new interesting technology initiatives that Norway can participate in. Then I have also noticed claims that have come from the Workers' Party, that investigations we have more than enough of to bet billions of dollars on infrastructure. I ate my ears when I heard this. I have looked in the ministry archives to find those investigations, because I assumed that the Workers' Party, with its government experience background, had abandoned such investigations, so that I could let go of the important, but of course time-consuming and challenging task it was to put on the table for the Stortinget investigations that were to guarantee the quality of such considerable efforts. I couldn't find one. I would like to be allowed to repeat the challenge that several speakers have raised: what investigations are being conducted? What is it that has such a quality that I should invite Stortinget to invest billions of dollars in projects that are quite demanding both economically and technically? We have enough examples of projects that have been launched from this pulpit, which in retrospect proved not to be satisfactory quality assurance.
ParlaMint-NO_2003-03-27.ana.ud1262e1072	There has been a lot of investigation talk today. It's well and good and absolutely necessary in this context. The majority will today ask the Government to explore alternative solutions for bringing gas to domestic users and to look at the economic aspects of such infrastructure development and the way in which the country is to participate in the development. Stone sneezing said there was a red thread in the setting. I can't quite agree, I think it's environmental and green the thread you might want to see. Some of what the government is asked to investigate, we already know a lot about. We know that there has to be government participation to get heavy investment, such as. construction of pipes for domestic use. Telemark Gassforum in Grenland has also stated that there is going to be a high demand for industrial gas in their area, and that this will defend investment in pipelines to Grenland, without there being a gas power plant at the other end. I want to be a little concrete, and I would like to ask the Council of State how quickly he sees that this investigation can be clear. I also expect that the question of a certain state participation in such pipeline projects as it is talking to Grenland needs to be clarified. To what extent and to what extent does the Council of State consider it relevant for the State to participate? As I said, a little concrete, but as a predictive state council I guess he has some thoughts about it.
ParlaMint-NO_2003-03-27.ana.ud1262e1085	The thread that goes through the setting, I deliberately colored red in a terrible hope that we could also include the Workers' Party in it. I mean it honestly, because there's a lot of rhetoric here – I guess I have to say it. Besides that, there is also a somewhat different approach to how we implement this, but not in the desire to use the gas – there is a broad consensus in the Storting, which does not include everyone at all, but which is nevertheless very important. So Inger S. Enger in his reply has an invitation to me to suggest something about what amount size I think is reasonable to get into this. There are many different components that need to be considered in this context. Of course, industry must also participate, and I imagine that these are different kinds of premises that have to be recorded. But I focus on clarifying these premises in such a way that the Storting can stand up to completely clear choices in this. In terms of time and progress, Stortinget itself has given clear notice to the Government about the progress, and I will deal with that. However, I do not want to conceal that with the decisions taken here today, the ministry has had a significant challenge in dealing with parallel processes at the same time, and each process itself is very time consuming and of great scale. I will, however, with respect for the Storting, do what I can to provide a feedback that provides a good basis for a decision.
ParlaMint-NO_2003-03-27.ana.ud1262e1094	The introduction of gas domestically is a matter of infrastructure. Most people who have spoken about this think that the state must take part in that infrastructure, yes, even the Prime Minister has said so at the Telemark meeting. Then it's that the Labour Party says yes, it has to. We want to create a company where the state is going to participate, and then we've suggested a certain number of billions of dollars to do this in a big deal. Then we talk about equity in this company. And the state council knows just as well as everyone else that it's under the line-money we're talking about, so to bring the rule of action into this, I think I'm going too far. Governments must read the Workers' Party's Notes in the Settings to describe how this is done. There we say, of course, that when the concrete decision on a company is to be made, when the council returns to it, all the sums and figures are to be in place. But that job doesn't need to be done in two steps, as it is done here, because if the government party would say yes to state companies, yes to infrastructure, only the work that the government council is about to do could be done. I have two specific questions for the Council of State. There is no goal of using more gas domestically, says SV, and that's what the government party is based on. Is the Council of State in agreement? The second question: Statoil is about to figure out the possibility of building an energy plant in Mongstad. They will submit an application in July of this year. I am not asking the Council of State to handle this application here, but I am asking the Council of State to confirm that any application should be dealt with in accordance with the laws and regulations adopted by Stortinget, and not after the Sem-Declaration. I want an answer to that.
ParlaMint-NO_2003-03-27.ana.ud1262e1105	The State must participate in the co-financing of infrastructure, says Ranveig Frøiland. It's also repeated by others here, and it's presented in such a way that it seems as if there's a new position that the Storting is taking. I would like to stress and remind you that it is actually in the gas message. It's always been the government's position. And what the Prime Minister said in Grenland, and what the other government has said elsewhere, just confirms that it has been the Government's intention and strategy all the way. So, as far as this is concerned, the government has proposed adding this to Enova, and Stortinget believes that this should be incorporated into a separate infrastructure company. I take note of that. But until this company is established, I assume that Enova can manage that money. Once the issue of the infrastructure company has been addressed by Stortinget and it is established, the company will take over. So I'd just like to say this with the line money – and that should be unnecessary: the 3 billion that goes to the infrastructure company plus the equity that the innovation company is going to have, which is going to give a return of 250 million. Let's say it's going to be $4 billion. Then you have $7 billion, and you multiply it by 4 pst. – for a shaker of the Petroleum Fund and thus cannot use this under the rule of action – gets a quick 280 or 300 million. kr which cannot be used in nursing homes, in other words, which cannot be used on education and training, which cannot be used on infrastructure in other areas. In other words, we must be realistic about what this also means economically, since it has now been said so simple and so unproblematic that this is money that does not affect other areas. It does. Then to the compromise with SV. They have reached a compromise, and they have also had to extend. The goal of the Government is firm and confirmed by the Storting today. More domestic gas is used. And finally, in the case of Mongstad, I can fully agree with Ranveig Frøiland, although I would like to wish that the Sem Declaration was the basis for the Storting decision.
ParlaMint-NO_2003-03-27.ana.ud1262e1119	The cord shift is over.
ParlaMint-NO_2003-03-27.ana.ud1262e1122	St.meld. No 9 consists of two parts. Part I is about domestic use of gas, Part II is about green certificates, and I want to start with the last one. Simply put, green certificates are about eco-friendly or green energy being equipped with a label or certificate, which in turn triggers a higher price. In a mandatory system, all energy buyers are required to buy a certain proportion of green energy, it could be 5 pst., 10 pst., or it could be 16.7 pst., for that matter. The proportion must be determined politically. And what to recognize as green energy must also be something we have to decide through political decisions, whether it becomes a national system or it becomes an international system. In practice, it will be difficult for Ola and Kari to determine and organise this sea. In practice, the job of ensuring that a certain proportion is green energy will naturally be left to the company with which you buy energy. For example, you buy. its energy at Troms Kraft, and the share of certificates has been adopted to 10 p.m., the Troms Kraft Market must ensure that they have in their register green certificates equivalent to 10 p.m. of what they sell out. Through this system, we will have a long-term and far greater commitment to environmentally friendly energy than we can hope for with a support scheme for the state budget. And – and this is a very important and – it is not certain that the price of households will be higher overall. The reason for this is that with today's liberalised power market, the price of the most expensive current determines the power price. Now, the most expensive energy, well, notice if it's environmentally friendly, operates in a class by itself, and won't be involved in setting the price of the energy that is already produced at a much lower price. The point is: Green certificates are a market mechanism, but there is also a way to control the market in order to achieve a common goal: to produce more renewable energy. We have a great potential for new renewable energy in Norway. On behalf of Enviro Energie ASA, Econ has produced a report that looks at the societal impact of increased investment in wind and hydropower. The report estimates that a total of 15 TWh up to 2012 can realistically extend wind power and hydropower upgrade and small-scale hydropower deployment. Such expansion will make a significant contribution to the power balance and will trigger investments in the order of DKK 35 billion and 4000 annual works in the construction phase. By introducing green certificates, we can facilitate such a development, if we want to. The Labour Party believes that offensive policies in relation to the introduction of green certificates are good energy policies, they are good environmental policies, and they are good rural policies. The main aim of the working party would be for the Stortinget to adopt on 1 January 2005 as the introduction date for a mandatory green certificate market. That should be possible; in Sweden it should be introduced before summer. When we did not get a majority in favour of it, we are nevertheless pleased that, through the work of this message, we have got the Government to go a little further than it does in the message, and that the Storting will today decide that the Government must present a concrete case as soon as possible, and no later than spring 2004. We are also pleased that the Government will assess whether heat should be included in this context. We are strong supporters of the development of bioenergy, and we believe it is necessary to put in place systems to ensure the development of bioenergy. Here, too, this is a great potential. Let me say so briefly about some points related to Part I of the domestic use of gas: Several people today have talked about hydrogen society, and it's actually that hydrogen technology is already here. On 6 March, for example, look at the news that Norway sent off the farm the first commercial hydrogen station to Iceland. The Committee supports, in the form of a comment, the establishment of a major national hydrogen programme, but I find it disappointing that it is only the Workers' Party that will actually vote for it. The same applies to electrification. The majority say a lot positive, and that is good, but when it comes to developing an action plan for electrification as an important contribution to achieving our climate obligations, only the Workers' Party and SV support it in the setting. Gas power plants have also become a topic in dealing with this matter. I am opposed to the construction of conventional gas power plants because they want to pollute by discharging large amounts of CO2. I think we have to impose CO2 management on the builders, and in voting we will vote against proposal No. 1st@item: inlistbox
ParlaMint-NO_2003-03-27.ana.ud1262e1154	The enormous resource represented by gas reserves in the North Sea represents a major potential for the creation of value for Norway over the next 100 years. It is therefore gratifying that we have a government that takes this seriously and through this communication points to the opportunities offered by domestic use of natural gas. This is important both in terms of meeting our international environmental obligations and in terms of national value creation. Natural gas produces significant emission reductions in terms of NOx, especially in the transport sector. In addition, reductions in CO2 emissions are achieved when oil is replaced by natural gas. In the transport sector, it is therefore gratifying that the gas bus rate should continue in the cities where this has started well. For example: The mountain will mean 80 buses on gas, which represents a great improvement in the air quality of the city. I'd like to pay tribute to the city and county council for making this environmental promise, together with the state, a joy for the city's inhabitants. The right in its time launched the concept of the gas road. There were gas ferries on the coastal log road that were the starting point. Now it's time to realize the vision. This communication and the express will of the majority mark a breakthrough for gas passenger investment. 10 pst. of the total NOx emissions from the whole ferry sector occur on the Halhjem-Sandvikvåg link south of Bergen, which is also the largest in the country. The size is currently taking decisions to ensure the financing and rational acquisition of three gas ferries in this context. Also on Boknafjorden north of Stavanger there is great ferry traffic. The Committee has noted that there are plans and needs for two gas ferries here as well, and supports this. Overall, this will contribute to a significant reduction in emissions, which will mean modern ferry connections until they can be replaced by a ferries-free route. Both of these ferry services, which otherwise connect a region with nearly 1 million people and an export-oriented business, are favourable in terms of the filling stations of the vessels. The majority also agree that the country must contribute to getting a distribution network to the filling stations in place. Both Kårstø and Kolsnes are in this context favourable. The majority come up with these companies that have plans for gas ferries, in concrete terms. But the extra cost of a gas engine is significant. Therefore, gas engines are hardly relevant other than in the context of the new construction. Short sea shipping accounts for most of the NOx emissions in the country, and if we are to meet our obligations under the Gothenburg Protocol, it is therefore important that we include measures in the existing fleet. This can be done much cheaper than in new buildings, but also with large emission reductions through conversion, installation of catalysts and other measures. Today, the size of the population takes a unanimous decision to continue research in this field and to implement measures, as the Directorate-General for Maritime Affairs has drawn up for the Ministry of Environmental Protection. Overall, this gas emission in the ferry sector and the programme of measures for existing vessels will lead us far towards the objective of a total reduction of 62 000 tonnes of NOx, as the Gothenburg Protocol commits us to. This is very joyful, so here there's no reason to nibble for any of the people involved.
ParlaMint-NO_2003-03-27.ana.ud1262e1173	The representative Halleraker mentioned in his post that the Right had initiated the so-called gas road. It is obvious that the party on the right has driven in the ditch when they were going on that road. One of the themes of today’s debate has been the use of gas for power generation. This is what the Progress Party wants and possibly in the theory of the Workers' Party. The working party will build gas power plants, but only in party speeches. When the Workers' Party maintains its climate policy, it effectively halts the construction of gas power plants. Nor is the reduction or removal of Norwegian industry and industrial workplaces, since emissions should be within the framework of which Norway is obliged to maintain. Calculations made suggest that the process industry can reduce climate emissions equivalent to 1.24 million tonnes of CO2 for a price less than DKK 400 per tonne. tonnes of CO2 corresponding to the costs of current CO2 management technology. Stoltenberg and the requirements of the Workers' Party will lead to emission measures with costs well over 400 DKK per year. tonnes of CO2. Then Stoltenberg might as well require CO2 management. The Progress Party considers that new activity needs to receive new allowances. When the Government assumes that Norwegian emission reductions are not to be carried out by the Norwegian industry moving abroad, the opposite must be the case: if the relocation of industry results in the withdrawal of allowances, the relocation of new industry must result in the issue of new allowances. Construction of new gas power stations in Norway rather than abroad should not be penalised. We see here the consequences of a dogmatic environmental policy. The Labour Party wants to make political coins on climate policy. The disadvantage for the Workers' Party is that it goes across the Labour Party's energy policy, and then the question is, what does the Workers' Party really choose? Here, the Workers' Party has a significant explanation problem, and it is a problem that the Workers' Party cannot put under the chair, and since the representative Brustad could not explain this in his reply to my reply to her, I hope at least that someone else in the Workers' Party can explain the party's policy. Norwegian gas-based industry and Norwegian gas power stations shall under no circumstances be subject to more stringent framework conditions than those in the EEA territory. In my opinion, if, against assumption, Norwegian authorities introduce strange symbolic policy instruments, it must be obvious that the authorities also cover the extra costs involved. I point out that the energy situation in recent years has shown that there is a great need for increased power generation in Norway, and that it needs to be made possible for gas power plants to be built, so that in the future we can avoid a situation similar to that in the power market that has been this winter. Future concessions also need to focus more on the potential we have to exploit waste heat from power plants in an industrial context. But the most important thing for the future will be for the Workers' Party to make its policy of building gas power plants visible, given the climate policy that the party has taken to heart in the past. Once again, I would like to encourage the Workers' Party to provide an explanation of how this relates.
ParlaMint-NO_2003-03-27.ana.ud1262e1190	Let me start by encouraging the representative of Korsberg to read the comments of the Workers' Party in the settings. He is probably able to do that, and then he will get a very good clarification in relation to what the Workers' Party stands for. If not, I won't use this precious time to try to explain it to him here, but I'll try in the process out in the hallway in retrospect. I want to start by saying that there is reason to be very happy about the billion investment that despite the government's policy has benefited Hydro Polymers in Grenland. It shows that there are still some social democratic structures left in society. But let me be quick to say that today it is also the only industrial joy that we have. In winter, electricity prices have been record high. In the time that the Bondevik II government has had power, we have got 75 new unemployed every day, and unemployment is increasing in industry. On top of that, the Government, together with the Progress Party, has reduced unemployment, weakened the employment environment law and cut off the regional instruments for the creation of new jobs. The attitude we are now discussing is a sad chapter in Norwegian energy and industrial history. The settlement partners, consisting of the government parties and the SV, will today decide that nothing new is going to happen in public so that we can use more of our gas resources in Norway. The Labour Party believes that the time has come to pursue an offensive industrial and energy policy. The unemployment figures and the electricity prices experienced by the Norwegian people in winter speak for themselves. It seems that government parties will not or will not be able to take the situation inwards, despite the signals that are in society. The government conducts a la scorre policy, where they are more concerned with celebrations than with results. The best result I could achieve, said the committee's leader from Grenland and the Christian People's Party to the newspapers when the conciliation was concluded. He said that despite the fact that he had been standing in the square in Porsground a few weeks in advance and promised gas to Grenland. I wonder whether the industry, the trade movement, and not least the torch that the Committee met in Porsground, are satisfied with the postponement that we are currently in? The government parties had the opportunity to cooperate with the Workers' Party in order to achieve a more offensive policy to put gas into use, to create new industries and to create development. They had the opportunity to be forward-looking. We stretched out our hands to ensure industry and the environment a development and a future in Norway. Instead, the governing parties chose SV – a lot which has only one purpose in the agreement they have concluded and which has emerged here today, namely to prevent the use of the gas in Norway. During the spring, the Minister for Oil and Energy will present proposals for gas pipelines to England. The next thing he's going to do is he's going to propose adding cables to England -- cables that cost up to $10 billion, and that the power customers have to pay. So the energy nation of Norway will first produce the gas, then lead it to England, then import electricity back to Norway. That this is a good industrial and energy policy, they get who can. The conciliators have chosen to lose weight, and that's what happens at a time when we find that industrial workplaces are lost every day and many businesses are struggling. Developing industries that can further process the gas is about value creation, industrial development and jobs. Finally, it is, in fact, also about the development of the welfare society. It is through industrial development that our predecessors have created the society we live in today. Now it was our turn. I understand that especially the Right People, such as. those in West Agder, responding to the result that is now available. The right hand side was the party that claimed that they were going to speed up the value creation. Now is the time for internal settlement.
ParlaMint-NO_2003-03-27.ana.ud1262e1213	The treatment of the gas notification shows that the Government has been given a majority in favour of a policy to exploit more of natural gas for domestic value creation. It is an important industrial investment and can bring increased value creation to mainland Norway and help secure jobs around the districts. Industry has shown great interest in putting natural gas into use for domestic production. I would like to point to the environment in Trøndelag. There's a lot of interest in using the gas here, and there's a lot of exciting projects. Industrial power Mid-Norway is working on plans for a gas-driven CHP plant at Skogn. Their plans include a gas pipeline from the Tent Goods of Forest. The project was planned to start in 2005, but in the summer of 2002 it was postponed due to the economy of the project. In Trondheim, a strong gas competence environment has emerged in relation to the technology environment. Successful gas use in Norway requires cooperation between the different actors. I therefore agree with the Government's view that Enova should seek to establish a constructive cooperation with these environments. Such cooperation will mean the exchange of ideas and experiences and could contribute to the empowerment of all parties. Environments in which private actors have taken the initiative to establish operational innovation environments will be an important resource to leverage in order to boost gas deployment. In Trondheim there are competent technology environments with long experience and broad contact with the business community. I am therefore pleased that the government parties and SV have made a settlement that involves an offensive effort to facilitate increased use of gas. The agreement is also well received in Trøndelag. In its management article, the address book writes last Saturday: ‘What has now happened is the Sem Declaration translated into practical policy and the settlement is a necessary corrigendum to Frp and Ap which has proposed to spend billions of money on gas pipelines without even explaining the consequences of such a formidable investment.’ The paper goes on to write: ‘Rightly, the decision confirms that the propulsion of a gas power plant in the forest is quite different from what the most aggressive builders want. Of course, many people might have wanted a different development in this matter than what has become the project. But there may be reason to remember that, after all, there is an economy on the basis of which plans are still planned. It can neither Ap nor Frp decide anything about it. Therefore, when it is now indicated from the opposition that there is still talk of ‘trenching’, it is tantamount to political dishonesty. The agreement is based on a rather different section of the track than on the construction of gas power stations in the forest. This is a general and required quality assurance.» It is quite right that the newspaper says: there is a lack of economy and not a lack of public will that is why the CHP plant in Forest has not yet been built. As soon as it becomes economics in this project, I'm sure the expansion will start. That's why I'm worried when the Workers' Party is now threatening to move concessions from Industrikraft Mid-Norway if it's not being built in the near future. When I hear the Workers' Party today, I fear on behalf of Trøndelag that the Workers' Party will move concessions from Industriekraft Mid-Norway to build a gas power plant in Grenland, to get the economy in any gas pipe there. In that case, it will be very serious for Trøndelag. There is tradition in this country that the Right Party and the Labour Party in major industrial policy issues are using themselves in broad conciliation, as we do, for example. did so in connection with the partial privatisation of Statoil. It is therefore new and sad that the Workers' Party is outside this process in order to prioritise its own party political markers.
ParlaMint-NO_2003-03-27.ana.ud1262e1239	I found the ‘Earth State 2003’ from the Worldwatch Institute in my mailbox yesterday. There I saw that the director, Øystein Dahle, wrote in the introduction to the Norwegian version that what we are constantly seeing is that when business interests collide with environmental considerations, environmental concerns have to wane. I am very happy to be able to say to Øystein Dahle and to the Worldwatch Institute that in this setting is not the case. In this setting, the majority is trying to create a green business development, a development of industry that is robust and sustainable, also in relation to the environmental requirements we will meet in the future, a development of industry that also aims to develop the environmental technologies of the future. It contrasts with those who want a wide-ranging traditional use of gas in Norway. Such a traditional use of gas will only increase climate emissions and thus make it even more difficult to meet the major climate challenges we face. In this debate SV has been accused of being the only party that is not for gas use in Norway. I think it's because you don't listen very well. But let me make it clear: it is true that we think it is a bad goal to use as much gas as possible in Norway. We think the right goal must be to have the highest possible value creation and the highest possible environmental benefit per. cubic meters of gas we're using. Having a volume measure is pointless. There's no political struggle in Norway for us to use as much oil as possible, is there? Nor is there any political struggle in Norway to maximise the use of electricity. That's the value creation we can get out of the raw material, and the environmental benefits we can get from it, which is interesting, not the volume. In the 1970s, the Workers' Party realized that we were using too little electricity in Norway. Then it was about making the power out, so people used even more power. Then they told the House Bank not to lend a loan to build a house with a pipe, because then people had to use electricity for heating. It may not have been a good idea – we'll see later. Then we learned that it wasn't the volume of the use of power that created values, it was something completely different. That's also how we have to think about the gas. We have to get as much value as possible and maximum environmental benefit out of the gas we have. Volume itself is not a goal, that's what we can use the gas for. So is it that traditional use of gas does not create a lot of new jobs. A recent study from California, which has a lot of traditional gas use, shows that investing in new renewable energy sources will create four times as many jobs as it will continue to invest in traditional gas power. There we must also see the context and see that the environmental, climate, gas and oil policies in Norway must be linked if we are to be credible. I registered that the representative Brustad has responded to the initiative on Enova, and that there will be no gassing if it is still to be done under the direction of Enova. It doesn't worry me primarily about gassetting, because I'm sure the majority in this big business is able to take care of it, but if the representative Brustad believes that this also applies to bioenergy, wind and all the other things that we have managed through Enova, I hope you can find out that this is not the case. My main concern about the energy and climate debate is that we can stand in a situation where we do not have a ratified climate agreement. The biggest political task now is to ensure that a sufficient number of countries sign the climate protocol, so we have an international code. It's very vulnerable these days. It is ironic enough that if Russia and Putin do not now ratify the climate agreement, we do not have a valid agreement, and that will be a difficult situation, including for Norway.
ParlaMint-NO_2003-03-27.ana.ud1262e1263	Thursday 20 February this year was a big brand day in Telemark. At that time, more than 6,000 people went on torch trains to demand gas for Grenland. The demonstration took place during the "Tenn a Flame for Grenland" poster. Let me say it so that it became a burning and flaming commitment. More than 6,000 people wanted to show the Energy and Environment Committee at Stortinget and the whole country that they were busy with jobs and developing the industry in Grenland and Norway. It's rare that there's such a large-scale muster of people today. In addition, the gas requirement is supported by all vocabularies in Telemark and several non-industry organisations. The husband of offensive engagement shall look for a long time. The challenge for Norwegian industry, and especially the Grenland area, is great. Today's lack of industrial policy results in redundancies and high unemployment. It is in many ways a paradox that society spends over $8 billion a year on day money and waiting pay instead of an offensive industrial effort. Therefore, it is so important to use the gas in industrial contexts to provide the basis for long-term industrial workplaces. Of course, this should happen within our international climate commitments and other international environmental agreements. Gas is a raw material that is very low in domestic use. Therefore, there must be a target for all to apply more of this tax on the base – not only in industrial processes but also for energy purposes and as raw material in new products. Therefore, it is as important to set up an innovation company as soon as possible to research domestic use of natural gas and find solutions for hydrogen as energy-bearing. In the Grenland area, we have many large enterprises that are totally dependent on a sheep for new and profitable business to develop and be competitive. In addition, Grenland is perhaps the most competent professional community in Norway for the process industry. Border has infrastructure, experience and people who are perfectly suited to exploiting the gas resources of the sea. The country needs gas, and it would be totally wrong not to take care of and use the gifts that nature has given us. The Norwegian people have a great ownership of these natural resources. For these owners we want jobs, we want development opportunities and future optimization now. This is not just about taking care of the workplace, although it is important. Equally, this is about developing skills and production that can ensure the country even after oil resources end. I would like to remind you that developing gas technology also brings great environmental benefits. The three main points of Telemark are: the establishment of an eco-innovation company through a state-owned company supporting the financing of infrastructure for the transport of gas pipelines to Grenland; Although there is a large number of these principles in Stortinget, I can't see that this case has started with more publications now before a decision can be taken. This is to write off the responsibility for future to Norwegian industry and job refusal in a difficult political matter. The Government Party, SV and the Central Party will again indicate that they are not taking this responsibility. A release now will imply a setback in the creation of a new industrial era based on the use of natural gas. Therefore, the Labour Party believes that it is crucial to make these principle decisions today. I registered that the representative Rahm said in his post that he would take the challenges of Grenland seriously. Yes, he has the ability to do it – he has the ability to do it today. His installation was permeated by many fine words, but very little action. If the Christian People's Party really wanted to take the challenge seriously, they could have found the solution with the Labour Party today.
