ParlaMint-NO_2003-03-26.ana.ud1942e28	The representative of Olav Gunnar Ballo will make a private proposal.
ParlaMint-NO_2003-03-26.ana.ud1942e891	In this specific case, I believe that both Statoil and Aker Kværner have made the necessary clarifications to ensure that all the rules concerning pay and working conditions are met in line with the provisions of the Foreign Affairs Act. In general, I agree with Ranveig Frøiland that there should be transparency and necessary insight into working conditions, so that you can keep track of the fact that there are equal pay conditions, regardless of adding conditions. With regard to the item on the Day Revy, I cannot comment on it because I did not see that item, but I do not overlook that when a non-resident worker puts in front of a TV camera or interviews with foreign workers, it will trigger a fear that someone is doing something wrong with the expectations of the host country. In any case, I am pleased that in this specific case we have been given the necessary clarification.
ParlaMint-NO_2003-03-26.ana.ud1942e898	What's sad is that such things happen afterwards. It shall not be necessary for one to ask questions when such a large, good company as Statoil stands for this expansion. I am very pleased with the work done by the Council of State, which has examined this, and not least because Statoil now says that they should look at how they can guarantee the company's right of access. But I want to confirm from the Council that Statoil will not only look at it, but also ensure that it will be done in the future, so that no new questions will be asked at Statoil's court to have access to contracts to subcontractors, because it must have a company like Statoil.
ParlaMint-NO_2003-03-26.ana.ud1942e903	I would like to stress that Statoil has done what is necessary to do in a case where it was called into question by sub-contractors in terms of addition and remuneration, and that they have taken that responsibility. I also point out that, as a result of this special case, they have also taken action to facilitate procedures in the future and to have access to all information relating to the pay conditions and working conditions of employees, in an unbureaucratic way, and thus do not provide the basis for a similar publication in the media.
ParlaMint-NO_2003-03-26.ana.ud1942e912	I will ask the Minister for Oil and Energy the following questions: ‘Hydro has to decide in a few years whether to invest 6 billion. kr in new aluminiumworks at Karmøy. Strict environmental requirements make today's Søderberg technology obsolete, and without initial investment, 1000 jobs can disappear. Energy at predictable and acceptable prices is an important factor in the investment decision. According to Norsk Hydro and Alnor Chemical Trade Union, hydropower from Sauda will be an important contribution. Will the Council of State ensure sufficient power deployment to ensure the energy prerequisites Hydro needs?’»
ParlaMint-NO_2003-03-26.ana.ud1942e921	An energy supply is important to ensure that there is enough energy in the market at acceptable prices for both households, industry and government. To achieve this, it is essential that a policy is now put in place to reduce the vulnerability of energy supply. The government has already started work on a communication to the Stortinget that draws up a strategy for a safer energy supply. In this context, it will also be important, in the light of experience gained in this winter, to follow up both a professional evaluation and a broad political discussion of the situation in the power market. In particular, it will be important to consider whether security of supply can be better achieved than at present. In this context, it is also natural to consider the need for regulatory adjustments. We are today too vulnerable to long periods of low rainfall. This needs to be corrected. The solution to our vulnerability problem is to focus widely on alternative energy sources that make us less dependent on hydropower. In this context, the conversion of energy consumption and production is central. In such a broad bet I will bring forward five important elements: 1st@item: inlistbox We need to transition from electricity to heat use, and we're going to produce more kilowatt hours from new energy sources. The rich supply of different renewable energy sources offers many opportunities to convert energy production. To achieve this, we depend on the development of a market for alternative energy solutions. Here we want to have a role as a facilitator and a driver.2. We need to save energy. Among other things, new technologies will give us improved opportunities to use energy in a more sensible way than before.3. We need to make the best possible use of the hydropower we've already built up. I therefore believe it is very important to facilitate the modernisation and upgrading of our hydroelectric power plants. I refer here to the representative's questions about the Sauda expansion, which will be finalised by the Government hopefully before Easter.4. We need to make reasonable use of our natural gas resources. In the Gas Communication, which will be discussed tomorrow, the Government has presented a long-term strategy for the rational use of natural gas that can make important contributions to a more flexible energy supply.5. We also need to provide the transmission links, both domestically and abroad, and that this does not create unnecessary bottlenecks in the flow of power. I believe that the Government's areas of activity show that we want to meet the demands of the future on energy supply with a comprehensive effort. Extensive measures are needed across a broad field to improve energy supply. This will benefit both households and Norwegian industry.
ParlaMint-NO_2003-03-26.ana.ud1942e951	I thank the Council of State for the answer, which was not very uplifting. Norwegian power-intensive industry is undoubtedly the most environmentally friendly in the world. In addition, the aluminium industry has implemented energy efficiency-enhancing measures to produce much more aluminium per day. kilowatt-hours than was the case before. Nevertheless, strict environmental requirements and lack of power are seen to endanger jobs. Does not the Government and the Council of State feel responsible for continuing to have this type of industry in Norway, at least to ensure the power supply to this important industry? Then it is not useful to bet on windmills, because it is not such that this industry can turn off the production on the day it is still in the wind.
ParlaMint-NO_2003-03-26.ana.ud1942e958	I am well aware that no matter how many times I get into the Stortinget and explain the Government's strategy to improve energy supply, both to get more power into the market and to make it less dependent on the hydropower and thus less vulnerable to alternating rainfall conditions, the representative Waksdal will not be satisfied. It seems as if there are completed lines of answers from the Council of State, and I'm not satisfied with it, because the Government is actually taking this situation seriously. We want to improve the situation in the power market. The situation in winter has shown that it is necessary to take proper roofs, and it is not just about windmills. I'm not going to repeat the five points that I went through, but I just want to show that both alternative energy sources, wiring, energy saving and better use of hydropower are elements in this context, and I also showed that the Sauda expansion will be assessed in this context.
ParlaMint-NO_2003-03-26.ana.ud1942e965	I thank the Council again for the answer. Lack of power and strict environmental requirements are, in addition to a high level of costs, important reasons why we are now looking at the deflagration of production and jobs. We all know that as long as there is demand in the market for the products our industry produces, this production will appear elsewhere if production stops in Norway. We also know that most other countries have a completely different and more polluting energy production than what we have. Does the Council of State not see as a result that Norwegian energy and environmental policies currently in force are, in effect, environmentally hostile?
ParlaMint-NO_2003-03-26.ana.ud1942e974	Firstly, I would like to say that the Norwegian aluminium industry still has great competitive advantages of being in Norway, and I assume that we will find the necessary power for this important industry in the future as well. Now let me say that. Secondly, I would like to clarify to the representative that the Government does not want to follow the pattern of climate policy and pollution from other countries, where such a policy is not in line with international agreements. Norway has committed itself to the provisions of the Kyoto Protocol on climate change, and I consider it an important obligation for an energy nation such as Norway to follow this up. I believe that it is fully possible to contribute to an improved energy supply in this country without thereby exceeding the climate commitments that Norway has made internationally.
ParlaMint-NO_2003-03-26.ana.ud1942e984	I have the following questions for the Minister for Oil and Energy: «Following a look up in VG 19 March d.o.b. plans are made if possible for flow rationalisation. Consumption in addition to the allocated allowances shall be penalised at a price of around DKK 10 per person. kWh. The quota should be equivalent to 70 pst. last year's consumption. Many people will have major problems in cutting power consumption so significantly, and will get a significant extra bill. Does the Council of State consider this to be a reasonable way to ensure the balance of forces?’
ParlaMint-NO_2003-03-26.ana.ud1942e993	As you know, we have had a very worrying power supply situation in winter. Now it looks like it's going better, and of course I'm happy, along with all those who depend on a secure energy supply. The NVE, as the responsible RAPPORTEUR, has intensified its efforts to make the necessary preparations to manage any situation of rationalisation. It's their responsibility. As I said, NVE now fortunately sees a positive development in the power situation and believes that the risk of rationalisation is significantly reduced. But the situation can still be serious, and I therefore believe it is necessary that the positive preparedness work now in progress be continued. Should an actual situation arise where the consumption of electrical energy is greater than the supply, it will be necessary to carry out rationalisation. In a rationalisation situation, which I stress is less likely now than before, it will be appropriate to implement coercive measures by holding back production, i.e. saving on water in the warehouses and, in addition, implementing measures to reduce consumption may be appropriate. All this happens to ensure that the balance of the system is maintained, and that we have energy for important societal purposes. Consumption reductions can be achieved either through zone-rotating decoupling, i.e. the flow is disconnected for all or part of the day, or the consumer is allocated allowances. I would like to stress that the NVE has not – I am not saying – made a final decision on which of these consumption-reduction measures, if any, will be implemented. The choice will include, inter alia: depend on both the area concerned and the given situation. In any allocation of allowances to consumers, the NVE has not decided to reduce consumption by 30 pst, nor has it decided to impose a penalty charge of 10 kr per. kWh, as indicated in the statement in the VG to which the representative Hageseter refers. The size of any allocated allowance will depend on the required savings volumes in the areas concerned, the types of consumption and the necessary priorities in the areas concerned and the consumption of customers, as well as the potential to reduce consumption. The choice of the method of rationalisation will be based on the desire to carry out rationalisation to the minimum disadvantage of those affected. Unlike zonal disconnection, the allocation of allowances allows customers themselves to prioritize their own consumption within an allocated quota. In this respect, I would like to recall that the provisions on rationalisation were included in the Stortingen treatment of Ot.prp. No 56 for 2000-2001.
ParlaMint-NO_2003-03-26.ana.ud1942e1004	I would like to thank you for the answer, even though I didn't get a very clear answer to my question, if the Council of State thought this was a reasonable way to ensure the power balance. Of course, it is quite right, as the Council of State says, that the power situation has been alarming. For this reason, we have also put forward proposals to put in place temporary gas power plants to ensure this balance. Then I would like to ask the Council of State: it would not seem to the Council of State that it would have been a better idea to increase production, among other things. by initiating temporary gas power stations, and also permanent gas power stations in the long term, in order to ensure a better balance in the power market?
ParlaMint-NO_2003-03-26.ana.ud1942e1011	With regard to the answer that the representative Hagesetter had not fully received, I would just like to repeat that there are two types of action that might be relevant. It's zone-wise rotating decoupling, or it's quotas. The two methods have not been taken into account. Hypothetical questions are asked, and I do not think it is necessary to answer them. So it's not like there's been any decision about allowances and the prices per. kWh to which reference is made in the inventory in VG. Then, for my part, I would also like to stress that in a necessary situation, one needs to use the means available. I remember that for my part I was positive about being able to use temporary gas power plants if necessary, in order to facilitate a tight supply situation, but that the applicants found that this was not economically profitable, and that it was therefore not – until it was a state of rationalisation – that the state was concerned about going in with the amount of aid.
ParlaMint-NO_2003-03-26.ana.ud1942e1018	I got very well with me what the council said that there was no taking any position on this from the NVE's side, but that was not my question. I asked if the Council of State thought such a measure was reasonable. In connection with what I said about temporary gas power plants, I will also show that there is a Document No. 8 proposals to subsidise the resulting cost, to ensure a better balance of power and to ensure that a failure to implement such unfortunate measures will have harmful consequences. So to my supplementary question. If one has to implement such measures, this will cause even more problems in paying the electricity bill, and then my question is: does the Council have any good advice on these in case this becomes the case?
ParlaMint-NO_2003-03-26.ana.ud1942e1027	I don't think it makes sense to discuss hypothetical statements through press releases that are not based on concrete proposals by the councils. I have also clearly stated in Stortinget that it is not appropriate to subsidise power measures. It's not an opportunity to do that either. A state of rationalisation makes this possible in line with EU competition rules, but direct subsidies to power generation do not comply with EU legislation. But in a rational state, the situation is different. We just have to be satisfied that we seem to be able to get through this winter without further action to save the power situation. But I'm aware, of course, that it involves high electricity bills another quarter before prices come down to a more normal level. And the government has also implemented important measures to help power customers in such a situation.
ParlaMint-NO_2003-03-26.ana.ud1942e1040	I have the following questions for the Minister of Oil and Energy: ‘State power is required by the competition authorities to sell shares in Trondheim Energieverket or other power generation in Central Norway. Energy company in Mid-Norway and Trondheim municipality can be current buyers. What will the Ministry do to ensure national and preferably local ownership of the power plants that are now to be sold?’
ParlaMint-NO_2003-03-26.ana.ud1942e1049	Purchases of power plants are subject to the industrial concession law. This law contains rules allowing state enterprises, Norwegian municipalities and county councils and companies with more than 2/3 public ownership to be granted a concession for an unlimited period of time without any return conditions. Norwegian as well as non-resident private operators may be granted a concession for up to 60 years with terms of repatriation to the State at the end of the concession period in the case of the purchase of concessionary power plants. If water falls are transferred which have not previously been subject to concession treatment, the State and, in other words, the county of the waterfall have pre-empted. The State also has a pre-emptive right to acquire holdings in companies which have a concession for an unlimited period if a transfer results in a decrease in the public holding of less than 2/3. If this right of pre-emption is not exercised, the company's unlimited concession must be converted into a fixed-term concession. As you know, the Ministry has a proposal for a non-proprietary fall in ownership which will equate public owned power stations with private ideas as regards concession time and fall-backs. This proposal has created a significant debate and the Government has therefore decided to set up a public investigation committee to assess the institution of the case. Important elements in this context will be the consideration of long-term national governance and control of hydropower resources, value creation and resource use in the power sector. Anyone who wants to purchase power generation or shares in power generation that may be sold as a result of the competition authorities' orders must comply with the applicable rules that I have now explained. As a concession authority, the ministry must likewise deal with any pending applications in line with the applicable law. In addition, it is not possible for the concession authority to give prior commitments on a possible future concession treatment.
ParlaMint-NO_2003-03-26.ana.ud1942e1062	I thank you for the answer, and hope that this is good enough to ensure Norwegian ownership. On 17 March, the evening post had an article on the state power situation, that they have come into the situation that they will now have to sell some power plants. The title was ‘Sells power plant out of Norway’. There is no doubt that the majority of the population wanted Norwegian ownership. That's why Statkraft got NOK 6 billion in increased equity and NOK 10 billion in loan guarantees two to three years ago. That is also why it is a majority against the privatisation of State power. Sale to Statkraft must not mean that it will be sold to the rest of the world in the next round – I think the bulk of the population thinks so. The question is whether there are then some policy guidelines for State power in the case of forthcoming sales, which, after the evening post, cover combined power generation for DKK 10 billion, the largest of which is what the question is based on.
ParlaMint-NO_2003-03-26.ana.ud1942e1073	I point out that today's regulations, which are actually now 100 years old, have proved very useful in ensuring national governance and control and also ensuring value creation and resource use under public governance. It's important to keep going. Therefore, the proposal for a non-proprietary institution of the place of residence was designed to allow the main intention of the current legislation to continue. In particular, it concerns national ownership. I am referring to the fact that the Ministry's proposal for a 75-year fall-back would in any case lead to the state having the necessary control and necessary ownership of the hydropower resources. I consider my share of the hydropower resources to be an important national natural resource, which we must deal with with with with the greatest caution in the follow-up to national control, and that this is also taken care of by the Government's proposal.
ParlaMint-NO_2003-03-26.ana.ud1942e1080	I'll have to follow up on the fact that State power as a whole is state-owned, and that there is occasion for the General Assembly, which is then the Council of State, to address such things as this. When it is said in that article in the evening post that it is talking to both foreign and Norwegian buyers in relation to this sale, it is also according to the rules that if one sells up to one third of the shares to foreign companies, no concession treatment is required. If any of the local actors here are interested in buying, try to raise the capital that is needed, it takes a lot. A situation which might have been intended to meet both the requirements of the competition authorities and the ability of local operators to buy is the establishment of a company in which Statekraft may be part of that company. Is there any possibility that the Council of State has taken up with the company or assessed otherwise, whether Statkraft in the future Trondheim Energiverk can hold a smaller share, and that the local energy plants can stand for the rest?
ParlaMint-NO_2003-03-26.ana.ud1942e1087	I would like to refer to what I said in conclusion in my reply to the questioner, namely that it is not possible to give any prior commitments regarding any future concession treatment. But more generally, I would say that both in terms of the expansion of hydropower, in terms of the development of the aluminium industry, and in terms of the development of oil and gas, i.e. the petroleum industry, this has happened precisely because we got foreign capital to participate in this important industrial promise. Seeing foreign capital as a threat in any way, it's going to be wrong. We benefit greatly from the fact that both foreign competence and capital work in this country. It is important to maintain national control and control. That's what's essential.
ParlaMint-NO_2003-03-26.ana.ud1942e1095	This question, from the representative Steinar Bastesen to the Minister for Oil and Energy, has been transferred to the Minister for Economic Affairs and Trade who is directing him.
ParlaMint-NO_2003-03-26.ana.ud1942e1098	I have a question for the Minister of Oil and Energy, who has been transferred to the Minister of Industry, and it reads as follows: ‘State power has been required to sell its shares in certain power companies. It is now time to sell parts of these shares to non-resident enterprises. Does the Council of State believe that a announced sale to the rest of the world of 20 p.m. shares of Norwegian power plants is in line with the intentions underlying the strengthening of Statkraft’s purchasing capacity in 2001?’
ParlaMint-NO_2003-03-26.ana.ud1942e1107	Norwegian concession law does not distinguish between privately owned Norwegian companies and companies registered in EEA countries. These operators will therefore remain stable in the case of acquisitions of Norwegian power generation and acquisitions of Norwegian power plants. Similarly, competition authorities will treat private and public operators, whether Norwegian or foreign, equally. The competition authorities have taken decisions concerning the acquisition by Statkraft of shares in Trondheim Energieverk and in Agder Energie. These decisions require the disposal of operations, in which case foreign companies will also be able to notify their interest upon purchase. The treatment and imposition by the competition authorities therefore follow the normal Norwegian legal and administrative rules. There is no conflict between the intentions of the Storting in the treatment of St. pp. No 51 for 2000-2001 on the introduction of deposit capital and increased loan and guarantee frameworks for the SF and decisions of competition authorities. I take note of these decisions and I point out that when dealing with St. Prop. No 51 for 2000-2001 was assumed by the bulk population that: ‘The purchase of power in Norway will be assessed by the competition authorities on a case-by-case basis’. Other parties, which were in a minority, also provided that competition authorities would closely monitor the competitive situation. It is shown in Innst. S. No 200 for 2000-2001 by the Energy and Environment Committee on the injection of deposit capital and increased loan and guarantee framework for Statkraft SF.
ParlaMint-NO_2003-03-26.ana.ud1942e1123	The size has said no to the privatisation of State power, and today's situation on the power market suggests that the Storting enters and uses the governance we have to prevent the power being sold out of the country, with the economic consequences this has on the actual owners of the hydropower, the Norwegian people. Instead, the Government requires Statkraft to sell parts of the purchased power company in order to keep 45,4 pst. of the shares in Agder Energie and sales abroad are planned to be carried out in such a way as to avoid relapse and concessional treatment. The Christian People's Party's 2001 note states that the ownership structure of State power and the law of repatriation and concession are to be determined. Does the Council of State think that this is still the case? If shares equal to DKK 10 billion are sold out of the country in such a way that the right to return to those shares cannot be exercised?
ParlaMint-NO_2003-03-26.ana.ud1942e1130	Firstly, the Government has not submitted a case to the Government for the partial privatisation or privatisation of State power. This means that there is no decision in the Storting that you should not privatize, because we have not submitted it. We don't have a case for that either. So to what's the questioner's question, that's about the sale of parts of Statkraft's portfolio. This is not part of what State power has been possessing over time. It was a new job which was done, but which they were not approved by the competition authorities, and which they therefore did not have the opportunity to buy, and then they have to sell again. The amount of NOK 10 billion, which was mentioned, is a possible estimate of those values, and then, according to the Industrial Concession Act, there is an opportunity for companies in the EEA territory to bid on it in the same way as for Norwegian companies. Old legislation has been adopted by this assembly.
ParlaMint-NO_2003-03-26.ana.ud1942e1137	When counties and municipalities sell their power companies, there is a rash of need – not wanting – to sell. The situation is in many ways parallel to today’s ‘current victims’ when they come to the social office to get help with the electricity bill. First they have to sell everything they own, then we can talk. This has been the case for Norwegian municipalities ever since Bondevik's first government. They have not had enough money to meet the obligations and obligations they have received. And many people have seen no other way than to sell what they own. This occurs at the same time as the country's oil revenues are wasted on international stock exchanges in a free fall. Do the councils understand the large sections of the people who think they are left with the feeling that the state is stealing the property of the people?
ParlaMint-NO_2003-03-26.ana.ud1942e1142	I have no idea that the representative Bastisen has to resort to that kind of vocabulary to characterize a situation. I totally disagree with the analysis and definitely with the conclusion. It is that the electricity price that has been this year has caused a lot of people to get a much higher bill than they got last year. But it is indisputable that the regime that applies to power, which this house has adopted — if not unanimously — has been in favour of Norwegian households throughout the 1990s. There is no link between the electricity price and who owns these companies. There is no indication that a company that is 100 pst. County ownership, has a different price policy than, for example, a 100 pst. privately owned company, rather where there is an element of foreign ownership. Here's full competition. It's working. There are other relationships than ownership that have caused the price this winter.
ParlaMint-NO_2003-03-26.ana.ud1942e1152	I will ask the Minister of Social Affairs the following questions: ‘In relation to Document No: 8:87 for 2000-2001 and the treatment of Inst. S. No 267 for 2000–01, the Stortinget decided in spring 2001 to ask the Government to present by the end of 2001 a case showing whether the legalisation of municipal councils for people with disabilities is appropriate and, where appropriate, to propose such legislation. I have not registered that such a case is promoted for Stortinget. Will the Council of State subsequently take steps to follow up the decision of the Storting?’
ParlaMint-NO_2003-03-26.ana.ud1942e1161	In the autumn of 2001, the Stortinget informed the Stortinget of the decision to which the representative of Nesvik refers that the Social Minister intended to deal with the issue of municipal councils for people with disabilities in the forthcoming Britain’s Communication on the policy towards people with disabilities. I have continued the work after this arrangement. Municipal councils for people with disabilities will be addressed in the forecasted call for proposals on the policy towards people with disabilities, which the Government intends to present in this session.
ParlaMint-NO_2003-03-26.ana.ud1942e1168	The Council of State here says that there will be a message about this. Does that mean that the Council of State has not taken a decision on whether to amend the law, since it has not been notified of a draft law? Then you must be able to say that you do not follow up – at least you do not want to follow up – by giving a signal now that this is to be legalised. It is important that legislation is put in place, because it is clear that there are distortions between municipalities as to whether or not the proper provision is made for people with disabilities. It is also worth noting that municipal councils for the elderly are statutory, but not municipal councils for the disabled. Does the Minister of Social Affairs see the principle here, that there is no difference between the elderly and the advice for the disabled, so that they should be treated in a non-discriminatory way?
ParlaMint-NO_2003-03-26.ana.ud1942e1175	First, I follow up in the same way as the then Social Minister in the autumn of 2001, namely that there was to be a notification about the disabled. In 2001, the Labour Research Institute conducted a study on the situation in this country in relation to the number of advice for people with disabilities. According to that evaluation report, 48 pst. Councils of the municipalities of the country for disabled persons in 2000 and 16 of the counties had such advice. In the big news that the Government aims to present in this session, we will provide an overall assessment of both the elderly council and advice for the disabled. In addition to the proposals made by the Manneråk Committee, we will also deal with proposals made by the Norwegian Pensioners' Association, among others. that municipal councils should not be able to take decisions on elderly policy measures until the decision of the Council of Older People has been taken. I also want to refer from the majority in the Manneråk Committee. The majority of the sample recommends that municipalities be required to organise participation venues, but that they be left free to organise them.
ParlaMint-NO_2003-03-26.ana.ud1942e1184	I thank the Minister of Social Affairs for the answer and look forward, of course, to the announcement of the disabled who are going to the Stortinget, preferably now in the spring session, and the treatment that will take place there. But I have to say that I'm a little bit surprised, first of all, that it's going to take two years before these things come into place, that there's now to be an assessment. And with regard to the survey done on the percentage of municipalities that have municipal councils for the disabled, it actually helps very little if the councils that are in the municipalities do not have real content. What's really scary is to hear about the large number of municipalities that haven't found space and willingness to set up municipal councils for the disabled. Unfortunately, it shows that people with disabilities are not yet taken seriously in this country, so that they can participate in the areas where the disabled participate. Does the Council share this view?
ParlaMint-NO_2003-03-26.ana.ud1942e1191	I share that view that it is important to have arenas where both the elderly and the disabled actually participate in the process. Some of the experience from the survey that was carried out was that in municipalities that had not organised advice for the disabled, they were invited to attend the meetings of the Board of Senior Citizens. I want a review both of the arenas for the elderly and the arenas for the disabled, and of how this is to be organised. The Pensioners’ Association has also pointed out that, in the case of elderly policy interventions, they would like no decision to be taken until the retirement of the elderly Council. So they want a much stronger influence. There are many issues that arise. I am concerned that both disabled people and the elderly should have an influence on the design of their everyday life. It is then important that they have good contact with the political bodies in the municipalities. Then there will also be a discussion about whether the municipalities should be set free or tied up.
ParlaMint-NO_2003-03-26.ana.ud1942e1202	I allow myself to ask the Minister for Economic Affairs and Trade the following questions: ‘Member States are the largest owner of Norwegian business and may use their position to limit the development of management wages and salaries. Now it has been found that managers of companies with large holdings in the state have received high pay supplements and high bonuses. In January of this year the Council of State stated that he would manage such things with a hard hand. What concrete action will the Council of State now take with regard to the high additions in order to prevent further wage jumps for managers of the companies where the State is a major owner?’
ParlaMint-NO_2003-03-26.ana.ud1942e1211	The country has an absolute interest in limiting wage growth in the spring wage settlement. The rationale for such a position is to improve the competitiveness of Norwegian industry. Therefore, the Government has concluded an agreement with the social partners that has such an objective. In this agreement, the Government has also committed itself to the use of ownership in terms of management salaries. It is my primary responsibility to follow this up, and I also intend to continue to do so. As you know, it is the responsibility of the Management Board to adopt remuneration and other compensation for the company’s Executive Director. An owner may express views towards the board in this context but may not intervene directly. These principles of liability, enshrined in company law, also mean that the State respects the role of ownership under this legislation. The practical follow-up must therefore take place within these frameworks. Although I have very clear views about the need for those who are in the administration and management of the companies in which the state is heavily ingrained as owners, to follow wage and compensation policies that are considered reasonable in relation to the society around them, I do not intend to go beyond the formal framework. I have on several occasions followed up what I said in January. I addressed this to a number of the companies in the conference that I organised that was called “Better ownership management and good company management” in February. I have sent letters to the boards and company meetings of companies in which the State of the Ministry of Economic Affairs and Trade has shares, and I have called all the same companies to a meeting on 9 April, where the management salaries and compensation schemes will again be the subject. In the case of wholly-owned state companies, I would also like to refer to the guidelines laid down as regards the conditions of employment of managers, which the Ministry has given and which are valid. When the representative Solberg asks what I will do now, the answer will be that I will continue what I have done so far, and state clearly what I expect of those who under the law make the decisions that this is about. Then, of course, I would like to have these issues included in the assessment together with other relevant matters when the department determines which persons are best placed to sit in the governing bodies of the companies. We will also discuss this with the representatives of the other owners of the companies, where the State is not the sole owner. Let me end by stressing that we are all concerned with these conditions. We should not allow one group of people, small in relation to the large employee groups in this country, to jeopardize the necessary cooperation in order to control wage developments, on which our entire economy depends. Some have also pointed out that this government has gone beyond previous governments to point out the need for business leaders to contribute their share. However, in view of the enormous values represented by the companies we are talking about here, I feel a heavy responsibility to ensure that the state acts responsibly as the owner. I'm also going to do that in the future.
ParlaMint-NO_2003-03-26.ana.ud1942e1226	I thank you for your answer. Clearly, with the increasing unemployment we now see, and the major problems facing not least the Norwegian industry, succeeding in a moderate wage settlement will be important in order to secure Norwegian jobs. In order to do this, business leaders must understand their responsibilities and take the lead. The Minister of Industry has been reasonably clear on this question, and I am also pleased with the answer he gives here today. But it is also true that other departments are owners of state companies. So my question is whether the Council of State can now assure that what appears to be his clear line today, is also followed up by all the councils and departments.
ParlaMint-NO_2003-03-26.ana.ud1942e1233	I think we are fundamentally in agreement – and I think that concerns the entire political environment – with the spring wage settlement. It is necessary that we achieve a lower wage growth, more in line with our competitors in order for Norwegian industry to maintain the minimum competitiveness we have. We'd better improve it, wouldn't we? Now it is the case that large parts of the companies in which the country owns shares have been transferred to the Ministry of Economic Affairs and Trade, but it is true, as indicated by the questioner, that there are also some companies that are not under the Ministry of Economic Affairs and Trade – I kept saying so far. But it is that ownership policy is firmly anchored in the ownership message we presented. What is policy in this area, and which I have stated quite clearly, applies in every company that is the responsibility of the Government, regardless of the department under which they had to sort. In this way, I think that I would add that I thought the decision of Statoil's board of directors was wise.
ParlaMint-NO_2003-03-26.ana.ud1942e1242	I thank you again for the answer. A short time ago, it was also known that another leader, CEO of Norsk Tipping – a company that is wholly-owned by the state, where the Ministry of Culture is the owner – had increased its annual salary by 64,6 p.m.. The reasons given by the Board of Directors were positive accounting results. Since the Minister of Economic Affairs clearly represents the largest owner of the Government in terms of state activities, I would like to ask the following questions: Does the Council of State think that good accounting results in themselves, in establishments where the government is a significant owner, are a good enough justification for such a payshop?
ParlaMint-NO_2003-03-26.ana.ud1942e1249	On a principle basis, I would say absolutely star-clearly no. The profit or loss in itself, and its dry numbers, will never be a sufficient reason to talk about salary growth in this area that this is about. Now I do not know the matter specifically in Norwegian Typing, and what was the reason, but as a general statement I doubt that in Norwegian Typing it was only the accounting result. We have seen in many of the companies in which the government has large holdings, where the accounting results may have been good, partly good and modest, that the shareholder value has fallen considerably in the year that passed. There are a lot of issues to record when making a final assessment of what is going to be the salary increase of the Executive Director. Another reference to Statoil. I saw that Statoil, in his reasoning, had said that they had taken other social considerations into account in determining wages. I think it was a wise approach. I'm going to encourage, through the meeting I'm going to have with the other companies, that it's going to be part of the reason.
ParlaMint-NO_2003-03-26.ana.ud1942e1261	I will be allowed to ask the Minister for Economic Affairs and Trade the following questions: ‘Parts of Norwegian industry are struggling with competitiveness. At the same time, it is unclear what will result from ongoing EEA negotiations. Norwegian industry in general and the aquaculture industry in particular could benefit greatly from free trade agreements with non-EEA countries. What is the strategy of the Council of State to help Norwegian businesses gain better access to markets in, for example: Asia and North and South America?’»
ParlaMint-NO_2003-03-26.ana.ud1942e1270	The overall objective of trade policy is to facilitate the most efficient use of our resources. A key instrument to achieve this is to reduce key national and international barriers to trade. For export enterprises, good international market access is a prerequisite for profitable operations. At the same time, good market access for other countries’ enterprises to the Norwegian market is important in order to stimulate efficient national resource use, including among others. benefits consumers through lower prices and wider range of products. The WTO is our foremost tool to ensure wide market access for Norwegian exporters. Today, 145 countries are negotiating the conditions for improving trade legislation in a number of areas, such as: services, agriculture, market access for industrial products, including fish and fishery products, better anti-dumping and subsidy regulations. The GATT Agreement calls for further free trade through regional and bilateral agreements. In parallel with the WTO negotiations, we see a rapid global spread of such free trade agreements, and developments have accelerated in recent years. Regional and bilateral free trade agreements concluded between other countries prevent Norwegian exporters from having a level playing field in important markets. This development therefore suggests that Norway should constantly assess the potential by concluding new or further developing existing free trade agreements. The EFTA countries followed in the EU’s cold water when the free trade agreements with the countries of Central and Eastern Europe were concluded early in the 1990s. In recent years, however, we have negotiated more ambitious agreements that also include services, investments and public acquisitions with countries outside the EEA territory. We have just completed negotiations with Chile. The agreement shall ensure, inter alia, that: market access for Norwegian maritime transport and fishery products. In May, EFTA will open negotiations with South Africa, which is an interesting market for several Norwegian sectors. Furthermore, the EFTA countries assess the possibility of a free trade agreement with South Korea. This will include, inter alia: secure duty-free access for Norwegian salmon, which is now subject to a duty of between 10 and 20 pst. We are therefore actively working to ensure Norwegian business access to new markets through regional free trade agreements under the EFTA regime. EFTA countries constitute a significant market in which other countries are interested. That is why we see the WTO and the EFTA track complement each other. We are therefore looking for a balance between regional free trade systems and the multilateral system that promotes Norwegian value creation both in the short and long term.
ParlaMint-NO_2003-03-26.ana.ud1942e1285	I thank the Council of State for the answer. It is gratifying that EFTA is seeking to conclude further free trade agreements. Since 1992, trade with our trading partners with whom we have free trade agreements has increased on average by 8 p.m., while trade with the trading partners with which we do not have free trade agreements has only increased by 2.6 p.m.. So the benefits of free trade agreements are clear. We now also see this in the EEA negotiations when we try to compensate for the loss of free trade agreements with the candidate countries. The fact that we have an agreement in place with Chile is a pleasure. That we seem to be able to go into a position where we negotiate with South Korea, is also pleasing. Does the Council of State see a horizon beyond these? And can we allow ourselves to extend the ambitions a little bit longer?
