ParlaMint-NO_2003-01-28.ana.ud921e37	President-in-Office Jørgen Kosmo, who has been licensed, has once again taken the seat.
ParlaMint-NO_2003-01-28.ana.ud921e714	The centre party will support the content of the Tønsberg package proposition. In much of our country, the road system of missing maintenance and upgrade. In particular, this national road network applies, but also parts of the main road network. It is therefore necessary to upgrade the road network throughout the country. There are also many new projects waiting for means of realization, cf. National transport plan. The center party thinks road construction is a public task, and the main task is to raise the level of public investment in transport. The annual promises of the state budget for the development of the transport network are far from adequate in relation to the need. As a result, the Centre Party has proposed an increased framework for road construction by managing the most recent budgets. We haven't got multiples for that. As long as there is no willingness to prioritise more budget resources for road construction, alternative solutions, such as tolls, will also be needed in the future to solve the many challenges facing the sector. In this respect, the Central Party has listened carefully to the decisions taken by the local authorities and the initiatives they have taken. The majority in the three municipalities concerned and the county have been behind the project. Just like this center party, we want to find solutions that remove bottlenecks and traffic from the center areas at the same time as we make urban areas more accessible. There are solutions that give both car traffic and soft road users a better supply. The Central Party supports the Ministry's recommendation that, in the context of the impact assessment, one should consider how public transport and other measures are an alternative or a complement to the main road development. Public transport must be a priority in phase 2 of the project. A better collective offer is a commitment to be closed in providing Tønsberg and the other urban centres with a better environment and a better supply, more suited to the soft road users. That as much as 85 pst. of those active in the area never use buses to and from work, means that there is a significant potential for the provision to be facilitated. The bombing itself will be an incentive for individuals to travel collectively, an economic incentive for individuals. But parking spaces outside the city center and good bus connections to the center are among other things. measures that need to be established to make it a real offer. The toll project as agreed today, involves little State involvement. Although the Centre Party supports the content of the Proposition, we would stress that the State funding element of Phase 2 of the Tønsbergpaket needs to be further assessed on the basis of economic framework and Vestfold’s priorities in the rolling of the National Transport Plan. Not all cheers on the decision taken by the majority in this case. The Toll Action Committee has collected many signatures and has had a great deal of involvement in the matter. However, when the Central Party chooses to support the Ministry's recommendation, it is based on the positive initiatives and decisions taken in the local governing body, on the assumption that the project will provide the inhabitants of the Tønsberg area with a safer and better provision of transport and on the recognition that, with the existing framework of the Government, we are not able to solve the major challenges facing road construction both in Westfold and in the country.
ParlaMint-NO_2003-01-28.ana.ud921e733	There is a great need to upgrade the transport system in the Tønsberg area. There are 47 000 inhabitants in this common housing and labour market comprising the municipalities of Tønsberg, Nøtterøy and Tjøme and parts of Stokke, Andebu, Re and Horten. In Tønsberg, there are about 80,000 people living in the commercial area. Almost all transit traffic has to pass through the centre of Tønsberg today, including tankers from the refinery on the battlebar. Transit represents about one third of traffic in Tønsberg. There are many intersections on the main road network, which is the main cause of sometimes poor traffic management in the area. This happens approximately. 50 accidents recorded each year in the centre area, most with cross-sectional cars or pedestrians crossing the road. A quarter of all traffic accidents in Vestfold occur in the Tønsberg area. This is part of the background of the Tønsberg package, which is a cooperation project between the municipalities of Tønsberg, Nøtterøy and Tjøme. The municipalities wish to develop a comprehensive transport system in the Tønsberg area and have all adopted the package scheme, including the financing scheme with a bombing around the centre of Tønsberg. It has been crucial for my positive advice in this matter that the projects and measures in the Tønsberg package will help to improve accessibility and road safety. Partly bypassing transit traffic improves road safety and will provide much better conditions for vulnerable road users, residents and urban activities. The Tønsberg package is divided into two phases. In the first phase, new Rv 311 Ringveg east-west Kjelle–Kilen, walking and cycling road along Rv 308 Kjøpmannskjær–The end of the world and immediate action to improve the accessibility of the Central Hospital in Westfold. The Ringveg east-west project Kjelle-Kilen involves a new bypass north and east of the centre. Other projects and actions shall be clarified through an impact assessment at the end of 2004. It will provide a basis for prioritisation of Phase 2 projects, including measures for public transport. Once the impact assessment has been carried out and plans are in place for the projects and measures with a safe estimate of costs, the Stortinget will be presented with proposals on what should be prioritised within a sub-frame of 1310 million. kr. The high toll ratio demonstrates strong local willingness to implement the package. The 2002-2011 action programme envisages 90 million. SEK to the Tønsberg package of county-distributed frame for Vestfold. The financial plan provides for the same level in 2012-2015. The local objective is to implement all projects and actions by 2011. This means that the toll company advances part of the State resources, against reimbursement in 2012-2015. I assume that the scope of projects and actions as well as the rate of expansion is adapted to the overall framework of NOK 2.6 billion. In the case of exceedances of costs on individual projects and actions, the content of the package must be re-evaluated as appropriate. With regard to the place of public transport in phase 2 of the Tønsberg package, the Department of Proposition strongly recommends that the impact assessment examines the extent to which public transport and other measures are an alternative or complement to the main road development. I am pleased that the Committee also underlines this point and assumes that it is working actively with, among other things. park and ride facilities and local parking policies. I would also like to remind you that, in line with the leadership of last year's public transport survey, State contributions to the financing of the transport system in urban areas will depend for the future on the increased commitment of local authorities to prioritize public transport and use instruments that can mitigate the need for car use and increase the promotion of public transport. These principles will also be applied to Tønsberg.
ParlaMint-NO_2003-01-28.ana.ud921e752	It's going to be line change.
ParlaMint-NO_2003-01-28.ana.ud921e755	It is now the case that when proposals from the Government are submitted to projects financed in whole or in part by tolls in this Chamber, it has been quite common for the Labour Party to support them. When these proposals come from a local perspective and have broad support, it would only be lacking that they did not receive support in this room as well. There are local people who know the situation best. After all, they also become realistic when it comes to what is possible to get from government money, and then they take hold. It should only be lacking that we do not try to support them when they also do so within what is planned in the NTP in the short and longer term. This is the case in Tønsberg. But then it's like in this case that in others we give some leads back to, among other things. Tønsberg. That's how we get something, but at the same time, we're affecting what we get. We don't go down by flag to top, because we have some other point of view or principle. In this context, the Council of State and the majority point to the need to invest more collectively. Then I expect the Council of State to find out locally how they want it, but I don't ignore the fact that the Council of State has any money to give on the way to thinking about it. I have a question for you: is it possible to invest something special more collectively with the roads we have in Tønsberg? Isn't there two sides of the same case, and isn't there an obligation to get collective solutions in Tønsberg that you get done on the road? Is there any twists that make it possible for buses to jump past cars? Are they not in the same queues? Then I'm a little uncertain about what the Council of State thinks when, first, it says in terms of the consequences of the Ring Road, that this cannot be tried by the Ministry of Transport, and she says later in the same answer that they find no reason to try it out. Cannot review by state council, or won't it?
ParlaMint-NO_2003-01-28.ana.ud921e766	I am very pleased that the Workers' Party supports the Government's proposals in this matter. This case would not have been promoted if the government had not thought this was a good case. As it's been stressed here several times, it's a lot about the future of Tønsberg and the region around it. It's about what kind of everyday life people are going to experience. It is about children being able to feel reasonably safe when walking on the roads and not being threatened by the traffic passing through the city. These, together with the environment, are important aspects. Then I am humble in relation to the fact that as long as we are betting on road solutions, it will facilitate car traffic. I am also concerned that when we have a bombing, it will in itself be dampening on car traffic. It's important to me that there's a strong local commitment to finding solutions here, and I'm also sure there's a strong local commitment to finding good solutions for public transport. Now I would have liked to have been able to tell Tønsberg what kind of concrete collective solutions they should have. However, I choose to believe that the local population is best placed to find the most suitable solutions locally. That's why I'm waiting with excitement for the recordings that are going to match Phase 2 of the Tønsberg package. It may also be that without doing anything on the road side, the solutions for public transport will not be found. It seems reasonably obvious. As regards the impact assessment, there has been a formal process in relation to which race to go here. It has not proved necessary to carry out a new impact assessment based on the process that has been reviewed in this respect.
ParlaMint-NO_2003-01-28.ana.ud921e778	I am pleased that the Council of State underlines the need for public transport to be given priority in phase 2. I am disappointed with the assessment that was made in relation to the impact assessment of the Ringwegen. An impact assessment will be carried out on the basis of which the collective effort will be undertaken, on the location of this loophole, and it will be an important prerequisite. At the same time, the trasé choice is not decided for this ring road. I am pleased that the Council of State says that it must do so that the wetlands around Tønsberg remain untouched. I am a little more uncertain about how the Council of State has intended to act to ensure that these wetlands do not lose protection. I would like to ask concretely: how can the Council of State help to ensure that this route does not reduce the value of wetlands around Tønsberg?
ParlaMint-NO_2003-01-28.ana.ud921e785	I have noticed in this debate that the representative Sørensen is of the opinion that there have been wise contributions from the ministry. I take note of that, of course, with great joy. I want to commend that exposure to the environment in relation to the wetlands as well. This is a challenge we are still facing. This is not the only example we have of such a conflict. I am concerned that just when we have such challenges, we shall sit down and carefully consider what is going on to avoid going further on the conflict. I assume that such assessments will be central, and that further work will be undertaken to take care of the wetlands that are there.
ParlaMint-NO_2003-01-28.ana.ud921e792	Timber pack is one of many toll items. The co-operation agency has tax relief as one of its main issues. At the same time, one is adding up to an increasing number of indirect taxes, e.g.: in the form of tolls. It is a form of tax that is equal, regardless of its financial capacity, and is such an unsolvable form of taxation as opposed to the progressive tax system in which one pays according to its ability. The decision in the national transport plan has created expectations. With the frames proposed by the Government, we've already reached our targets. It has been a positive thing today about local involvement, but with the current framework of transport, a local government force is forcing more and more toll projects to solve acute challenges in the field of transport. When it becomes positive about local engagement, of course, I agree with it. But after bidding most of my life in a municipality surrounded by tolls on all sides, I have also seen the limitations this imposes on the development of a common construction and work area in the region. Then we talk about toll bets from 80 to 150 kroner, as seen on the right hand side of what we are discussing today, but still. So my question to the Minister of Transport is: does it want a development in which local people have to take an increasing share of the tax when developing a safe place, or will the Government intend to make sure that the road construction frameworks are increased at least in line with the decision in the national transport plan? Will the State Council assess the size of the State involvement in Phase 2 of the Tønsberg package after Vestfold has carried out a rolling of the national transport plan?
ParlaMint-NO_2003-01-28.ana.ud921e803	It is quite right that the user contribution is very large in the Tønsberg package. We have, however, chosen to promote this package, because it has a huge gain associated with it. That means here it's a local commitment, you're willing to pay. One big difference between what goes on general taxation, and this is that those who benefit from it, are also the ones who are charged with this cost. Of course, any government council would want more money for its territory, but we have to think about the whole of every year's budget. That's the reality. I know, like many in this Chamber, that there is a huge gap between the needs for investment in the transport sector and what we get through every year's budget. Then I think it is commendable when it comes to initiatives like what we are witnessing here from Tønsberg and Tønsberg, and I believe that this initiative we are obliged to follow up and support. With regard to the appropriations for the transport sector, it is a challenge for the Government, and it is also a challenge for the Storting, when we are to allocate the funds collectively between the sectors. There is no doubt that the challenges lie ahead in many sectors, so the challenge for us politicians is to prioritise. Then such a scheme as they propose in the Tønsberg package is a loving contribution to moving forward and getting something done in the transport sector.
ParlaMint-NO_2003-01-28.ana.ud921e812	I would like to repeat a question asked by the representative of Ausdal Starrfeld, to which the Council of State might not have been more clear than what was the starting point for the question of ambiguity. That is the answer the Council of State gave to the question asked by the Committee as question 1 on the impact assessment of Ringvejen Kile-Kjelle, whether this was a legally adopted decision, or whether the Council of State still has the possibility to look at it. I want to quote what the Council of State answers, so that you can clarify it exactly: ‘According to the Planning and Building Act, the Ministry of Transport is not able to review the assessments made by the Municipality of Tønsberg as the responsible authority. It has therefore been established that the regulatory decisions of the Ringweg must be regarded as legally adopted decisions and that the Ringweg can therefore be implemented under the Planning and Building Act without further impact assessment.’;» Later in the same answer, the Council of State writes: ‘I do not consider it appropriate to review the assessments made locally. extension of Ringvejen Kile-Kjelle. Once the impact assessment has been completed, the Ministry will return to the question of the implementation and prioritisation of the projects investigated.’» The question is, can the Council of State do it, or will the Council of State not? What's the point of that?
ParlaMint-NO_2003-01-28.ana.ud921e827	It is true that Ringvejen Kilen-Kjelle, as stated in the municipality plan for Tønsberg, is not subject to an investigation with a background to the transitional provisions of the impact assessment regulations, and that is what I have been dealing with. Here, the State Road Service has carried out an assessment of whether the issue of impact assessment obligations was in accordance with the Code on Impact Assessment. It was submitted to the municipality of Tønsberg which is the responsible planning authority, which is the planning authority for Ringwegen. In the summer of 2001, the municipality submitted the case to the county and county council, as required by the regulation. Both authorities assessed that the Ring Road was not subject to an impact assessment. We're in a transition phase, as we're now in several cases, where we're standing up to this question. This concerns the way we're talking about now. As far as phase two is concerned, there is another phase, and there we want an impact assessment according to the law as it is today.
ParlaMint-NO_2003-01-28.ana.ud921e834	Several have not asked for the word for a line.
ParlaMint-NO_2003-01-28.ana.ud921e837	This matter is primarily about feasibility. Secondly, it is about security and preparedness, and finally it is about security of life and health. In Tønsberg traffic stands in and out of the city quietly until almost all edges both morning and evening. In Tønsberg, Vestfold’s largest and most important hospital is getting more and more tasks from the small hospitals, and through Tønsberg, Esso Slagen runs its petrol tank transports. 50 pst. the active population of both Tjømes and Nøtterøy is in line at Kanalbrua in Tønsberg twice a day to get to and from work. Every day there are 40,000 cars running over this bridge. It seems that the traffic growth in the area is approx. 3 pst. And not 1 1/2 pst, as you thought. Tjøme, Nøtterøy and Tjönsberg are attractive resorts, and from early spring to late autumn there are very many visitors on weekends, as well as those who drive daily to and from work. Therefore, traffic is high every day. Collective traffic is good, and we're going to build it out more, but today it's like all the files that exist are full of cars, and then buses come out no more than others. Collective fields should therefore be developed in order to be able to use more buses in the future. When all exits and Kanalbrua are full of cars in both directions, it is not easy to be the usual driver or the resident of the city. Worse still, it's for those who aim to save lives, ambulance drivers, fire drivers or the police on a call-out. That is why this matter is also about the safety of getting help when it is needed, even if it is in rush time morning and evening. The preparedness and safety of life and health depend on accessibility. The business life in Tønsberg and its surroundings is also dependent on being able to drive and not spend hours in line with their transports. Everyone wants more money from the state for their road projects. Of course, we do that in Vestfold and Tønsberg. In several election campaigns, the parties that are now in the government offices have promised much more money for transport purposes. They have not yet fulfilled their commitments, and there is no new choice until 2005. We'll see ahead and hope and believe the best. The progress party is against roadblocks, they say, and they believe that the state has to pay. They've had two good chances now. Two budgets have helped the Bondevik II administration without any visible impact on the transport sector. On the other hand, their influence on the tax relief of budgets has been formidable. But I don't think that's a good thing for the Progress Party to see. They do not care about the safety and safety of the hospital either. Neither does it seem that they care about safety or safety, they have at least not promised more money for roads in Westfold or elsewhere in the country. They both were and are opposed to the construction of the E18 as well. I wonder many times if the voters in Westfold knew before the big shot last. But this case also shows that the environmental party SV does not think much about the environment in Tønsberg City, where cars have been waiting for a long time and are still in line to spew exhaust gas and other pollutants beyond the city and about the city's inhabitants, workers and hospital patients.
ParlaMint-NO_2003-01-28.ana.ud921e856	For more than 25 years, we in the Tønsberg district have discussed the need to build a completely new main road system. At the end of the 1970s, the first part of the new ring road around the centre of Tønsberg was built. Since then, there has been a lot of discussion, to say it a little cautiously, not just about who would pay for the new way. We have largely agreed on this locally – of course the state would. On the other hand, the consensus has not been the same about what kind of road system would be established, not to talk about where the road would be built. There are several shelf metres of plans where roads can be built, where they should be built and where they absolutely should not be built. The ideas, the maps and the plans have been many, as have the reprisals and the rematches. I record that we also here in Stortinget see signs of attempts from SV on another rematch. More than ten years ago, the Tønsberg politicians decided to continue the ring road through Frodeåsen. It was adopted, and that decision has been for security's sake since repeated four times in Tønsberg City Council by a large majority. SV now asks for another rematch. The breakthrough in this discussion came in the years 1999–2000, when this trasé choice was also supported by neighbouring municipalities, the Vegvessen and not least by local business. In the 1999 local election campaign, the road issue was central, not least the question of how to finance a possible road construction. The need for self-financing was evident, and courageous local politicians decided to cut through all the talks and try to get the new road system under way, with a significant degree of self-financing if necessary. Yes, traffic volumes and growth in traffic on today’s road system exceeded all forecasts. The associated environmental problems were so great and the emergence was getting worse. A growing number of local business representatives almost demanded that local politicians stop talking and start building. Thus, the local process started in order to obtain an application for access to self-financing of the project and not least to clarify where the first part of the project was to be built. Good processes, both professional and political, and a good interaction with the local business community have so brought forward the matter Stortinget has on his table today. The 1999 local election campaign had made it clear that this was a matter for most parties to try to find a solution, which could result in the construction of a new road system, and not just continue in new rounds of endless discussions about all the options, and that the only visible building that took place was more and more shelf meters of plans. The political fronts were not quite different from the ones we see here in the Chamber today. I tend locally to sum up the discussion about the Tønsberg package about this: the Labour Party, the Right, the Christian People's Party, the Centre Party and the Left take responsibility and want a new road system, if necessary with good self-financing. The progress part wants new roads, but no booms, and SV wants the booms, but not new roads. The necessary clarifications have been made, and the City Council of Tønsberg and the Municipal Councils of Nøtterøy and Tjøme have all decided to apply for access to collect tolls for the financing of the Tønsberg package. This has also been joined by the majority in the Westfold county. The regulatory plans for the first part of the project are in place, and construction can start in a short time, while the rest of the project will be clarified through a comprehensive impact assessment that will result in recommendations that Stortinget will in turn get on its table. This applies, inter alia, to: the question of new channel crossing to Nøtterøy, where today’s vulnerable sloping bridge has an annual traffic of nearly 40000 vehicles. It is important for me from Stortinget's pulpit to be told that this project is not something we are fighting through with great joy and to the homeless local cheer. Riksweger is a national responsibility, and the money for this project too should actually have been granted in this room. Now all of us who are sitting here know that then we would quickly get the company of a lot of projects around the country. It means local priority, and the resources, no matter how much we were able to allocate to new roads, would still be too scarce. It means, in short, that we need to solve the problem, not just sit in line and with howl and screams discuss all the possible options sometimes and wait for it to be our turn, you need to establish a local ability and willingness to self-finance. Otherwise it will be short and well no new way. For the Tønsberg area, it would probably have meant that nothing would have happened to the road system in the next 10 to 15 years, compared to the priorities that are now on the table. In my opinion, in a few years, the regional centre of Tønsberg would choke in a total traffic chaos. The ratios are enough to live with most of the day today, but the population growth in the area is large, business is doing well and traffic growth is very high. It also provides, whether you like it or not, a basis for self-financing. The Vestfold society has chosen to prioritise E18. It's important for the whole state, and it's running off with large government appropriations, even though the proportion is also significant here. This means that local projects have to wait, if we do not choose a local amount, where we get a new road system in place considerably faster through self-payment. Anyone who has participated and who is now involved in addressing the issue of toll financing for projects and actions in the Tønsberg area knows that there is a broad and popular resistance to paying tolls. Local polls in the Tønsberg area have little doubt about that. At the same time, there is almost as much support behind the wish to build the ring road as we today give a clear signal for. The problem is that the options to achieve this without a significant degree of self-financing are not very credible. It also became unusually clear during the hearing of the Committee on Transport on the Tønsberg package on 8 January this year. A large number of courageous local politicians from the Workers' Party, the Right, the Christian People's Party, the Center Party and the Left in Tønsberg, the Nøtterøy and Tjøme, and in Westfold County have taken the burden of taking a responsibility in this matter, to cut through all the talk and find the recipe to get started building this new road. In my view, the benefits for the citizens will be very great, especially with regard to road safety. Remember, 25 pst. of all traffic accidents in Westfold occur in the road system with which we are currently struggling in the Tønsberg area. The Tønsberg package will mean much to the promotion, both for those living in the area, for business and for public transport. The main concept of this first part of the project is that the transit traffic, all heavy traffic, the transport of large quantities of dangerous goods, the transport of between 10 pst. and 15 pst. by all petrol used here in the country, is lifted out of the national city centre streets of Tønsberg – a city that has succeeded in creating a living centre, where trade takes place, where people are, a centre with more than 20,000 jobs. It means an enormous potential for the development of good public transport services. You get an opportunity to build on the large resource that was put into the city bike project a few years ago. The environmental benefit will be very high for the entire Tønsberg area. That is why I support the Government's proposal and the position put forward by the Committee on Transport here.
ParlaMint-NO_2003-01-28.ana.ud921e886	On the city's T-courses, here in Oslo, there's an advertising campaign for something quite different from what we're discussing here today, but the text of the campaign is quite interesting. It is that all people believe that there are at least two sides of the same thing, until they are themselves on one side of it. It is in many ways a bit of this debate, as I assume – and I have also been told – that the admission to road solutions for the Tønsberg area has had enthusiastic participants in several generations of politicians, until a proposal that could be adopted was approached. Then there was a great risk that something would be done, and then it was selected side by side. Today, some people say that they are trying to solve traffic problems, but they do not want the solution that is now available. They will have further investigations, despite investigations. My brief summary of this Tønsberg package now available is that it is actually an environmental package both in phase 1 and in phase 2. It's not 100 pst. in phase 1, but phase 1 and phase 2 may be 100 pst. as regards the safety of the environment and as regards ensuring the well-being of the area. What's important to me? What's that doing in many ways is I'm kind of going into a phase 1 that's not 100 pst.? That is because we have a significant political majority in all three municipalities, a significant political majority that says: Yes, we do! This is the first time. This magnificence should have said with great enthusiasm: at last they will, then we will have to be in place! Now the state is in place with only 5 pst. It is not an expression of state expressed desire and will. That's the result of a calculation, because that's what was left of money from the state when money was distributed according to the national transport plan. Despite the fact that it was only 5 pst., they said, OK, but we'll take the chance anyway, even if this becomes expensive. We at Stortinget should support the plan, and we should also say: especially in phase 2, where the collective share comes in, it should not be the Stortinge which is the problem, in order to ensure a sound funding that enables sensible action to be implemented, and which can contribute to the popularisation being of a different nature than the popular commitment that we have seen before. The collective share and public transport in the Tønsberg area cannot in any way be discussed in the same way as we discussed the Bergen programme. There are two different places, two different assumptions, two different stories that lie in it. However, it is clearly important that we focus on the collective share, because it is one of the prerequisites for Tønsberg to resolve its traffic problems, which will enable its well-being to be restored, the establishment of road safety and the overall improvement of the environment. I have seen the politicians who are behind this great majority in the three municipalities, being of that character. They want to bet on public transport. But in order to be able to do that, the road system has to be in place. That's what they're initially asking for the Storting's contribution to, so that we can get a solution. We may have had one in part destructive discussion locally. It's been read in the local press. You've been more concerned with explaining what you don't agree with, rather than creating a common venue for a common debate of interest. I'm not negative to the popular commitment. But what I hope for is that this popular commitment, after the treatment of the Storting, is now channelled in the direction that in the Tønsberg area, in all three municipalities, you say: All right, now is the thing we have to put behind us. Now, together, we're going to take responsibility for the way forward. I hope that this popular commitment will be the basis for us to sum up on the day that the Tønsberg package is realised, that it also has broad popular support.
ParlaMint-NO_2003-01-28.ana.ud921e899	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-01-28.ana.ud921e903	The Tønsberg area, as described in the Proposition, is covered by the municipalities of Tønsberg, Nøtterøy and Tjøme as well as parts of Stokke, Andebu, Re and Horten. This constitutes a common housing and labour market. In fact, local doubt has been raised that the labour market is significantly larger than only the municipalities mentioned. In a rich country, as Norway is described to be, it is strange to record the arduousness it is after charging citizens and businesses more taxes for the development of transport and infrastructure projects, while all agree that the level of costs in Norway is too high. Pressure in the form of increased pay demands and increased price of goods and services is once again, to the point where there is a lack of competitiveness. In the introduction of blockades at main shipping years, there will be a distortion of competition also for the local labour market, which certainly increases the wage requirements of individual workers. After all, everyone pays a price in solidarity for investment in transport via car-related charges. The introduction of this financing solution for the development of the road network around Tønsberg will result in local distortions of competition among enterprises operating in the area, as well as a significant increase in local business costs. Nøtterøy and Tjøme municipalities remain in a vacuum, as all traffic to these municipalities must pass through Tønsberg. Alternative driving routes simply do not exist. This means that the transport of labour, goods and services between, for example: The Sandefjord-Larvik region and Tjøme are charged an additional cost. The State share of the investment costs of the Tønsberg package is 5 pst. This actually means that all drivers who have an errand to Tønsberg, Nøtterøy and Tjøme will experience that only 5 pst. of what they pay in car-related charges comes back as an increased standard on the road network in their district. This cannot be perceived as anything but unfair. The need for investment in a good and rational road network in Norway is and has been neglected in our country since the beginning of the 1960s. The strange thing in this context is that the densely populated areas with the highest traffic density have been prioritised down and away in government budgets. The Progress Party wants solutions to the traffic problems in and around Tønsberg, because these are large. However, the lot does not want to introduce an extra charge to get this done. Investments in infrastructure are investments for the future – investments that car users have been waiting for for decades, through charges they have paid for just using a car. Now, business, travel and residents in the Tønsberg area will experience a bombardment that will be fully automated after media reviews, without crew, and actually without coin vending machines. The system shall be based on electronic chips and video surveillance. This does not promise good for the district's travel life, which will have to invest extra resources to explain to its visitors, foreign as Norwegian, how the system works.
ParlaMint-NO_2003-01-28.ana.ud921e920	The debate on the Tønsberg package is also the debate on the state part of the funding. The county's priorities have been governing the country's share of 5 pst. However, it is understandable that the people’s wishes have been somewhat higher. That is why it is appropriate to honour the initiative of local politicians: if not the state, we do it ourselves! It's a healthy right logic. It has called for political opposition to the financing of traffic solutions by users in the Tønsberg area. Before the election, voters in the relevant municipalities were clearly informed about which batches would finance the user. The batches as requested for road development may be rigged. No one likes bombings, but in the election between the protest and implementation of necessary road systems, the Right Party, the Christian People's Party, the Left Party and the Workers' Party have chosen the implementation line. With the Progress Party, the Tønsberg area had become without this road system. Whatever view of toll financing, the result of this accumulation will be summarized in the expression: zero more way – Progress Party! When Stage 2 is to be implemented, local authorities are wise to hide the comments of the government parties and the Workers' Party in their hearts. Higher collective priorities and parking opportunities outside the city are requested to protect living environments from transit and to provide better room for business transport and collective solutions. It will affect State contributions to the financing of urban transport systems if local authorities commit themselves to greater collective shareholdings, as the Minister for Transport says in a letter to the Committee of 22 January this year. The Tønsberg package provides important principal signals on the development of urban transport systems – on objectives and on resources.
ParlaMint-NO_2003-01-28.ana.ud921e929	In this case, Stortinget deals with a proposal to finance tolls for the development of projects and actions in the Tønsberg area. In many ways, this feels like turning the world upside down. So a majority of the local government in Tønsberg, Nøtterøy and Tjøme seem to have to apply to allow their citizens to pay for the road systems that should have been in place a long time ago. This application must then be dealt with in the body which should have granted the money in the first instance. To put the matter in perspective, we have to go back to 1962, when plans were made for a four-field road from Nøtterøy to E18. Over 40 years since then, the Tønsberg region has been growing. On the one hand, this growth has made the traffic situation worse than ever. On the other hand, growth has contributed to high tax revenues. Most people don't understand this context. That's probably also the reason for the great commitment that the inhabitants of the Tønsberg region have shown. This exposure has resulted in more than 20,000 signatures against bombing. Gallup studies show that up to 80 pst. the population is against it. The newspapers are swimming over by letters of readers and comments, and to the city council meeting in Tønsberg, where this matter was dealt with, hundreds of people had found the way. I think I'm going to venture the claim that the majority of the local people elected here are on a collision course with their inhabitants. The result of the tolling will include, inter alia: that residents have to pay to drive within their own municipality. The trade industry in Tønsberg will have very difficult conditions of competition and the list of problems for the local environment is very long. The price of an average family can quickly reach NOK 10 000 to NOK 15 000, and this comes at the top of at least equal fiscal charges on cars and cars, from which they pay. I find it most disappointing to note that a government that promised lower taxes and taxes has promoted this proposition, which leads to a massive increase in fees, at least for those who live in the Tønsberg area. With the funding plan proposed in the proposal, the State contribution shall be 5 pst. In the debate, tolling has been seen and often called a splinter layer. To use a picture: if you want to split up at dinner and end up paying everything but coffee, you'll hardly think of it as splintering. Exploring is probably a more comprehensive expression, and as the Progress Party sees it, the inhabitants of the Tønsberg region are required to explore a new road project that the state should have financed many years ago. It's almost tragic when part of the expansion is going to solve the country's traffic problem at the state's own hospital. I will be allowed to recommend the proposals of the Progress Party.
ParlaMint-NO_2003-01-28.ana.ud921e942	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fotation, see page 1683]]
ParlaMint-NO_2003-01-28.ana.ud921e958	At the request of the Committee on Transport, the President will propose that speaking time be limited to 5 minutes for each group. Furthermore, the President will propose that 5 replies be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-01-28.ana.ud921e967	Today we have a Document No. Eight proposals from Kenneth Svendsen, Thore A. Nistad and Christopher Stensaker to provide a free card for the payment of tolls to the local population living at E39 between Øysand and Thamshamn, who in the future will not be able to avail themselves of newly built E39. The majority of the Committee, all with the exception of the Progress Party, opposes the proposal and agrees with the assessments made by the Minister for Transport in his reply to the Committee. I expect the Progress Party itself to justify its position in a later article. As rapporteur on this matter, I would like to refer to the general discussion of St.prp. No 83 for 2000-2001, where toll collection was adopted as part of the financing of the OPS project Øysand-Thamshamn on E39 and that the toll scheme would follow the applicable tariff guidelines, discount schemes included. The Minister for Transport has assessed Document No. The 8 proposal and does not consider the proposal to be in line with the toll guidelines for the toll project. The Minister for Transport believes that the situation described in Document No. The 8-proposal, also does not provide an exemption for tolls, which has been done in some cases. With that in mind, we are opposed to the proposal of the Progress Party.
ParlaMint-NO_2003-01-28.ana.ud921e984	I will be allowed to make the following suggestions, which have been included in the setting on page 2: ‘The Government requests the submission of a proposal for a system of free tickets for the payment of tolls to the local population living at E39 between Øysand and Thamshamn, which in the future will not be able to benefit from newly built E39.’ I want to justify this by saying that the local people who live near this bomb, for example. in Buvik and Viggja, in many cases they have to pay a toll fee to get to and from work even if they are not going to use the new road. In other words, they have to pay daily, and often several times a day, even if no new road is to be built locally. We in the Progress Party think it would be sensible to introduce a system with the exception of tolls for those who are registered in an area where tolls are collected on roads, but where it is obvious that the population in the future will not be able to make use of the new road.
ParlaMint-NO_2003-01-28.ana.ud921e996	Thore A. Nistad has taken up the suggestion he referred to. Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 1683]]
ParlaMint-NO_2003-01-28.ana.ud921e1006	We then go to voting on case No. 1-3 on today's map.
ParlaMint-NO_2003-01-28.ana.ud921e1013	Two proposals have been put forward during the debate. It's proposal No 1, by Inge Ryan on behalf of the Socialist Left Party and the Central Party proposal No. 2, from Inge Ryan on behalf of the Socialist Left Party Proposal No. 2, from the Socialist Left Party, says: ‘The Government is asking the Government to come back to the Grand Duchy as soon as possible with proposals for changes to the law that give employees more guarantees of ownership when they change their property’.
ParlaMint-NO_2003-01-28.ana.ud921e1037	Proposal No. 1, from the Socialist Left Party and the Center Party, says: ‘The Government is asking the State Company Committee in its work to draw up proposals on how state companies can become more competitive through emphasising research and innovation activities.’
ParlaMint-NO_2003-01-28.ana.ud921e1069	Here, the Socialist Left Party and the Central Party have announced that they want to vote against.
