ParlaMint-NO_2003-05-14.ana.ud917e28	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2003-05-14.ana.ud917e1089	It is, of course, the ministry's belief that there needs to be a different understanding of Sami higher education, which has led to dialogue. It is a concession – if you can say so – by the department, because you want to go behind the figures and have a good dialogue, so that you have a common understanding of the needs that are clearly linked to the special challenges of Sami culture, language and education. This is why a dialogue has now been launched to clarify how and why additional appropriations have been needed. Following a series of rounds between the Ministry and the administration of higher education, the parties agreed on a mandate for the review of the economic situation of higher education. It has prevented the threats that have been posed from withdrawing the posts. And so is it that it has been agreed that this should be carried out quickly for the purposes of further planning of higher education. I showed that the Sami University has also been appointed to become a scientific college. External environments have been included, and this will provide a good basis for assessing the need in the future.
ParlaMint-NO_2003-05-14.ana.ud917e1096	Given that it is the Minister for Fisheries who answers here today, I would like to ask a follow-up question which is, to a large extent, linked to the special situation in Finnmark, with the dependence on fisheries resources in relation to education. What we see is that often, even in the coastal environments of Finnmark, there is a lack of competence in fishing. Basics, primary industries, but not necessarily in such a way as to build up skills and have people with high levels of education in the fisheries sector. Does the State Council have any idea of the Sami college and higher education community in general in Finnmark of using this type of competence in typical coastal Sami areas, where it may not be reindeer management, but precisely the fisheries that have been the traditional way of life, and where it is seen that there is a need for measures to continue the type of culture and to ensure the settlement and viability of local communities in the coming period?
ParlaMint-NO_2003-05-14.ana.ud917e1103	Now I am uncertain whether the questioner asks about the thoughts of the Minister of Fisheries or the thoughts of the Minister of Education! It is clear that fjord fishing and fishing related to the Sami environment are a challenge in the field of fisheries policy. It is clear that the University of Kautokeino, which in many ways manages essential parts of the educational culture, can have something to do with this. Here I do not overlook the fact that we in the Ministry of Fisheries – and if I can say we in the Ministry of Education – actually have some points of contact that we should look at in the future, not least when, hopefully, the university is about to develop into a scientific college.
ParlaMint-NO_2003-05-14.ana.ud917e1110	The President must say that it was an elegant transfer from one to another!
ParlaMint-NO_2003-05-14.ana.ud917e1123	This question has been withdrawn.
ParlaMint-NO_2003-05-14.ana.ud917e1129	This question, from the representative of Rolf Rekovam to the Minister for Education and Research, will be answered by the Minister for Fisheries on behalf of the Minister for Education and Research:
ParlaMint-NO_2003-05-14.ana.ud917e1132	I would like to ask the Minister for Education and Research the following questions, which will be answered by the Minister for Fisheries: ‘On written questions from the undersigned on 6 December 2002 concerning the copy fee at the University of Oslo, the State Council replied that ‘The principle that students are only required to pay for real benefits remains valid. Since the copying needs of the different student groups of an institution may vary, the copy fee must be adjusted accordingly.’» However, on 25 March of this year, the College of the University adopted a flat compulsory copy fee of DKK 400 per year. student. Is this not in conflict with both the Council's response and the Department's own guidelines?'
ParlaMint-NO_2003-05-14.ana.ud917e1141	The reply to the representative of Reikvam shows that the Stortinget has authorised the Ministry to organise the collection of the Kopinor fee and the expenditure on paper/copy for students at the underlying institutions, cf. Budget-in-one. S. No 12 for 2002-2003. By 1998 at the latest, the Ministry presented the guidelines to which the institutions had to deal with the collection of copy and paper money. According to the Guidelines, such a charge may be levied only in so far as it relates to payments for real benefits. There must be consistency between the performance and the counter-performance. The so-called copy money shall cover the costs of institutions, including costs of copying the protected material. As the copying needs of the different student groups at an institution may vary, the copy money must be adapted accordingly. This has also been reported by the Ministry in a letter to the Student Parliament in Oslo on 3 December 2002. The principle that students only have to pay for real benefits remains valid. A student group shall not pay for more than what is provided and a student group shall not subsidise the study material of other student groups. This is to ensure that there is no hidden charge for the studies on the part of the institutions. The Ministry has been informed that the Management Board of the University of Oslo has decided that funding will be required from the students from the autumn semester 2003 onwards to cover the costs of the Kopinor fee, copying and paper. The coupons shall be DKK 200 per month. semester for all programme students, except for students in practical and pedagogical education. For these students, the payment is fixed at NOK 125 per person. holiday. Part-time students are required to pay NOK 100 per month. holiday, and private individuals are exempted from the scheme. The University of Oslo has also stated that they have calculated copying costs, etc. for different student groups – broken down by factorial — at the institution, and then at an amount lower than the copying costs, etc. for the student group with the lowest expenditure item for copying, etc. By placing the copy money at a level lower than the minimum level of the institution's units, the university claims that no student group is subsidized by another student group. In the view of the Department, the solution is therefore not contrary to the guidelines.
ParlaMint-NO_2003-05-14.ana.ud917e1156	I thank you for your answer. Firstly, I am aware of what the Storting has decided, that the institutions have the right to charge a levy if they think it appropriate. I'm still surprised at the answer, because here they operate with a flat fee, a fee that is equal to for all students. Although the university and the management say that the fee is so low that there are no subsidies between the different groups, I am still surprised that they operate with a flat fee. My supplementary question to the minister is: Wouldn't it be basically right that one went in and showed what kind of expenses the different groups have, and then, according to it, made a system of payment? As a result, a flat-performance system was released, which most people would clearly see as a general study fee.
ParlaMint-NO_2003-05-14.ana.ud917e1165	The Ministry has examined the material submitted by the University. They don't object to the practice, precisely because you have lower than the average at the minimum price, and then because you've differentiated. As I said, the copy fee is $200 per month. semester for programme students, while those who are in practical-pedagogical education must pay DKK 125 per year. vacation and part-time students 100 SEK. Privatists are exempted from the scheme. It's a differentiation already. The real costs have been taken into account, and in this way a system has been put in place that is practical and does not allow anyone to subsidize another group.
ParlaMint-NO_2003-05-14.ana.ud917e1172	I want to try to take a principle approach: one introduces a flat fee, and then one covers itself behind that this is a fee that will cover some costs. Nevertheless, it's flat in that way that it's equal to every student, with the little modification that the Council of State has explained. Will the Council not take this as a general study fee? Will this not have the character of a general study fee when a person enters and establishes a flat scheme rather than going in and saying that the copy cost is such and so for the different faculties, institutes or whatever it may be, and then charge a fee based on it? As he charges a flat fee, this is the nature of a tuition fee. Does not the Council of State have any fundamental concerns about imposing such a general charge as is perceived by the vast majority of students as a tuition fee? Is this the first step on a path towards introducing a general tuition fee at our educational institutions?
ParlaMint-NO_2003-05-14.ana.ud917e1179	There are two aspects that I would like to point out in this context: Firstly, I understand that the institutions want to find a practical solution to the collection of these charges. It has been done in a way that, in the view of the Department, is in line with the views we have. Secondly, institutions do not have the option of refusing students access to the examination in case of non-payment of the copy money. However, students may be refused copies unless they pay. The principle of this must be reconciled, not least from the point of view of practicality. As I have said in my two previous answers, the fees are lower than the real costs, and then the ministry does not object to – in this case – the Oslo University, practicing the scheme in this way.
ParlaMint-NO_2003-05-14.ana.ud917e1192	Here is a question to the Minister for Fisheries, who is within the responsibility of the Minister for Fisheries: ‘The Ministry has, as I know, agreed to the proposal to move the existing oil warehousing pot from Fedje in Hordaland to Florø. Annually it is approx. 2 500 calls to the oil refinery in Mongstad, Europe's second largest port of oil. The transfer is against unanimous advice from the municipalities concerned and from the County Committee in Hordaland. In view of the huge tanker traffic and the enormous environmental impact on the Hordaland Archipelago of any accident, will the Council of State make a new assessment in order to maintain the oil defence pool in Fedje?’»
ParlaMint-NO_2003-05-14.ana.ud917e1201	The decision to move the existing oil defence pot from Fedje to Florø has been taken on the basis of a comprehensive analysis of the equipment and personnel needs of the State oil defence tool along the entire Norwegian coast. State preparedness is dimensioned in order to deal with major emissions in the event of ship accidents. In the light of that analysis and a comprehensive consultation round, changes were proposed to the depository structure in the West. The proposal included the closure of the Fedje deposit. At the same time – and I stress at the same time – it was proposed to strengthen the depot, which is currently located in Bergen, and to move it northwards in the section where there are several sites with satisfactory infrastructure. Furthermore, it was proposed to establish a new depot in Florø in order to achieve a shorter response time northwards towards City, where the preparedness coverage is not satisfactory according to this analysis. During the consultation round, there were objections to the move of the oil warehousing pot on Fedje from local and regional levels, as pointed out. On this basis, the Ministry of the Environment asked the SFT to re-assess the transfer of the oil-protection pot from Fedje to Florø. In line with this, a specific emergency analysis for the external part of Fensfjorden/Nord-Hordaland has been carried out by the Coast Guard Agency, which took over the responsibility of the SFT for the State Oil Protection Preparedness from 1 January this year. Even without using the State Emergency Reserve in Fedje and without all the other response time resources being fully used within the given response time requirements, the analysis shows that sufficient resources are available to achieve the oil protection preparedness objectives in the area. It is related to the fact that both Sture and Mongstad have built up a significant private preparedness. This can quickly be mobilised by a state action also outside the enterprise’s primary geographical area of responsibility. The coastal works have established agreements to this effect in concrete terms. Furthermore, annual exercises are conducted based on interaction between state, private and municipal resources under government direction in the area, so it is known that this works. In total, there are approx. 16,000 meters of running water with lenses and 43 recorders within the area we're talking about. Thus, material resources do not restrict preparedness in the area. The decision to move the depot in Fedje must also be seen in the context of the strengthening and extension of the state oil defence pool in Bergen in the Hjeltefjord. These two measures will be coordinated in time. It is therefore proper and proper to make the change that we have notified.
ParlaMint-NO_2003-05-14.ana.ud917e1216	From different levels, concerns have just been expressed that the additional analysis for the Fensfjord and Mongstad/Sture regions carried out is not good enough. It does not provide a proper traffic view and a correct description of the situation which may actually arise on the basis of the extent of the calls, the size of the ships and the type of cargo. In fact, the last additional analysis was also excluded from disclosure for a period of time. Does the Council of State consider that he is satisfied that the risk analyses provide a proper basis for decision? And does the Council of State believe that the matter is informed under the provisions of the Administrative Act?
ParlaMint-NO_2003-05-14.ana.ud917e1223	I'm a little surprised that to those degrees you draw this supplementary analysis into doubt. There is, of course, considerable consistency between what was originally analysed and what was reinforced by this last one. So, as I have explained, and which will be well known in the other context, the material amount that exists in the region is such, when we look at the private, municipal and state equipment, that the situation is judged to be satisfactory and sound within this region. There is reason to stress that the Ministry of Fisheries, which has overall responsibility for adequate oil protection, has gone deep into this. And we think it's justifiable. The consequences of a large acute oil spill could, of course, be extensive if and when a possible incident occurs. Therefore, preparedness must be at an acceptable level along the whole coast. And looking at the significant security measures that are established in connection with the entrance at Sture and Mongstad, and the significant private and public preparedness that is also built up in the area, I find it absolutely sound that the oil defence pot at Fedje is being moved to Florø.
ParlaMint-NO_2003-05-14.ana.ud917e1230	After all, if you conclude that the risk is safe covered, it depends on how you describe the risk situation itself. Among the 2,500 approaches, there are 50 calls of ships of more than 300000 deadweight tons. It is known that some of these ships that have been on Mongstad have subsequently failed in machinery and power elsewhere. The events could as well have occurred on the way into or on the way out of the area, and it underlines the high risk in the area. I have listened to the answers, but will still have the following as a last additional question: Can the Council of State imagine a both- and-solution, in which the oil defence pot on Fedje is maintained, since it is located in the middle of a high-risk zone and thus can reach a current and difficult event for a minimum of time?
ParlaMint-NO_2003-05-14.ana.ud917e1237	I think it is important that, in the assessments that are now being made, we insist that it is the overall preparedness that needs to be looked at in this context. I get the feeling that now in the description of the risk you connect it one-sidedly to whether you have a presence on Fedje or not. It's kind of going to be a mistake. I underline what I said earlier, that you can't look at the transfer of the depot from Fedje to Florø unilaterally, because we're doing something else at the same time: we're moving the depot located in the Bergen center, further into the ship's joint. This is how you compensate for the reduced amount of equipment in Fedje, and the total is getting better. The sum of the private, the state and the local government makes it very satisfactory, especially when you move from Fedje. But I underline that we need to see the move out of Bergen in connection with the move from Fedje to Florø.
ParlaMint-NO_2003-05-14.ana.ud917e1247	I have a question for the Minister for Fisheries: ‘Five years ago, 60 fillet facilities were located in North Norway. Today there are 10 plants left. Until last year, 33 fishing industrial plants were registered in Finnland, now 14 of them have stopped operation. This dramatic dehulling in the fishing industry is particularly severe for small communities along the coast. What strategy does the Council of State have, in the short and long term, to reverse this negative trend?’
ParlaMint-NO_2003-05-14.ana.ud917e1256	Let me first say that I'm not going very well with the numbers that the questioner refers to. The data available to the Ministry show that between 1998 and 2002 19 whitefish cases were opened in the three northernmost counties. But in any case, dehulling is significant, and I recognize, of course, that development is a major challenge, both for the fishing industry and for settlement and other activity along the coast. What is the main challenge is that the industry is struggling with a lack of profitability, and it is essential that we improve profitability in order to have viable coastal communities. As politicians, we need to facilitate a profitable business, i.e.: in this case, the fishing industry — over time — is able to operate economically. It has been neglected by previous governments, which have focused more on using fisheries policy as a regional policy instrument instead of realizing that it is a regional industry. The Norwegian fishing industry has a major cost challenge in relation to most competing countries. It meets the Government with a policy that has dropped interest rates and that has brought down the krone price, so that competitiveness is strengthened. Secondly, in order to improve the framework conditions in both the short and long term, the Government has implemented policy measures in the form of lower taxes and taxes, and we have announced that we will continue the system of differentiated employer charges, which will be important for the fishing industry in Northern Norway and in much of the country elsewhere. We have also introduced measures in the form of regulations on fishing, so that we will supply the fishing industry, not least in North Norway, more year-round. For it is a major challenge that seasonal fisheries are currently a barrier to profitable jobs and full-time jobs that attract young people. We see a failure in the recruitment of both industry and the coastal fleet, with which we have to do something. We have taken into account the delivery conditions of the trawls, and we recognise that the historical obligations relating to individual processing plants in North Norway must be continued. But at the same time, we recognise that in those cases where the industry is not interested in buying, we need to ensure that the region benefits from the raw material and that in this way we secure industry in a region. The worst thing that can happen now is that you only get a liquidation that makes large regions have no industry. That was why I opposed the pressure from various parties in this house to take all the cod in the lovot fishing, which would have made the fishing industry in Finnmark less raw material over the fall. So that's part of the measures. We have also taken action to increase the level of technology in the fishing industry. We need to recognise that it is difficult to achieve profitability with high labour costs – as it is now – there needs to be more technology in the fishing industry. I have taken the initiative in June to have a meeting between research institutions, industry and politicians, i.e. the ministry, in order to see if we should channel research resources and other means into improving technology and increasing technology levels.
ParlaMint-NO_2003-05-14.ana.ud917e1271	I thank the Council of State for the answer. I fully support what he says that profitability must be priority no. 1st@item: inlistbox That's also the starting point for my follow-up question. In Finnmark we have per. Today — the last report came yesterday — seven to eight plants in operation, one of them having a profit. Liquidity is the dramatic thing about the situation right now. The working party proposed a guarantee scheme for the fishing industry a few months ago of 200 million. kr. FHL was then skeptical of such a system, today giving the other signals. They are positive about it, and it comes both from the large national companies and from the small local companies. The government has been against such a scheme all along. My question to the Minister for Fisheries is: What kind of alternative solution does the Government have to help lift the fishing industry out of the difficult liquidity situation it is in right now?
ParlaMint-NO_2003-05-14.ana.ud917e1282	That's what I tried to answer, because the keyword in this is profitability. We're not saving the industry by securing liquidity when lack of profitability is the main problem. I recall that the proposal that came from the Workers' Party clearly stated that it should not be anti-competitive. It is a misunderstanding to believe that profitability increases by providing liquidity. It is true that in the fillet industry, relatively few installations remain along the coast, not just in Finnmark. Norway Seafoods is an example of success. It has ensured full-time operation by disposing of the trawls. It has been ensured by using more technology and thus reducing costs. We have contributed significantly from the Government by bringing the interest rate and the exchange rate down. In addition, believing that we can solve the problems by injecting state capital is not correct. I'll give an example to illustrate it: In Tromsø, Alfon Krämer said in his time, and he was quite right: if we now allow my competitors to refinance several times and get free liquidity loans, I also go bankrupt. It is this distortion of competition that will be the consequence of the Workers' Party's proposal, and then there would be even fewer installations in Finnmark.
ParlaMint-NO_2003-05-14.ana.ud917e1291	It is not about injecting capital into filet facilities today, it is about lifting them over a knee. When the Council of State mentions Norway Seafoods, it's interesting, because the Norwegian Seafoods also attended the big fisheries conference in Båtsfjord and said the same thing as I say: you need a little liquidity boost right now. And it is disappointing that the Fisheries Councils will not listen to either the big companies or the small companies, and that he has no alternative to contribute to this situation. It is not about injecting money in the long term, it is not about distortion of competition, but it is about paying its current costs until you can get over it, because it is profitable in the long term in the fishing industry. The state council knows that, I know that, and it also says the industry itself. The problem is that at present liquidity is so low that plants are at risk of shutting down, because for a short time there are major problems. I did not get an answer to my question about what are the alternatives, and I regret that on behalf of the coastal fishing industry.
ParlaMint-NO_2003-05-14.ana.ud917e1300	The last thing is that you don't want to hear. You don't want to hear the answers, because I've given the answers here, and I've given the answers in other contexts. You might just want to hear the answers you've decided on in advance, which are one-sided about subsidising some companies, which in turn will have the effect of weakening the others. So you can explain as much as you want, that liquidity improves profitability, but it doesn't. It is necessary to take some basic steps to ensure profitability. I'm going to give an example that this with the liquidity was not a problem in winter. When the proposal was here, the Workers' Party threatened that the purchase would collapse. No, the problem in winter was that there was a bargain of fish that made the quality go down, which in turn led more fish out of the country unprocessed. And that's how we have to be willing to take, and not unilaterally think about 1970's solutions to inject more public capital into the industry, because profitability and liquidity are not the same. But there will be poor liquidity of poor profitability, and I invite the Workers' Party to take fundamental action in the fishing industry.
ParlaMint-NO_2003-05-14.ana.ud917e1310	I will ask the Minister for Fisheries the following questions: ‘The Marine Research Institute PINRO in Murmansk determines in new reports that large values equal to 2 pst. of confiscated quantum discarded overboard by Russian fishermen. It is concluded that Norwegian fishermen also cast large values. The challenges in the fishing industry are high, with bankruptcy and increasing unemployment. A greater degree of exploitation of the total quota would contribute positively. For example, Iceland has a cod utilisation rate of 95 pst. What will the Council of State do with this problem?’
ParlaMint-NO_2003-05-14.ana.ud917e1319	The problem of exploitation of fish resources in general, and cod in particular, is essentially two issues — not just one. The first issue relates to the draft fish, while the second concerns the extent to which the raw material is used after the fish has landed. Draft fish represent a serious form of resource dissipation. Drafts are no longer ethically sound and are of course something that must and must be avoided as far as possible. Therefore, 15 years ago, we introduced draft bans on cod and hay in the Norwegian economic zone in Norway, and within five years, all the main commercial species we fish were subject to a similar ban. In addition, we have gradually developed quite comprehensive measures to prevent fishermen, as far as possible, from picking up fish that they do not see fit to keep. These instruments consist, inter alia, of: in minimum size and mesh size provisions for the gear, as well as the closure of fishing grounds with excessive incorporation of fish below minimum dimensions. In addition, considerable efforts have been made for a number of years to develop tooling technologies, including: with the aim of ensuring a better selection. In these areas, Norway is, in fact, one of the world's top players, and we are using considerable resources to inspire other countries to take advantage of the same technological solutions and take the same positions. Last but not least, we are trying to prevent discards through Coast Guard inspections on the fishing grounds. I can therefore assure you that we take the relationship that is being addressed here in a very serious way, and that all forms of illegal discarding of fish that are being exposed are being severely reduced, because it is a form of environmental crime that is not acceptable. In the case of Russia, they have had a similar draft ban on cod and other important commercial species in their economic zone for about as long as we have had it in Norway. And just as Norwegian control authorities enforce the law in the Norwegian fisheries jurisdiction, so Russian control authorities enforce the law in the Russian economic zone. Therefore, Norway has no direct influence on the level of drafts in the Russian economic zone, apart from the fact that there is a problem under discussion in the Permanent Committee on Management and Control under the Joint Norwegian-Russian Fisheries Commission. This is a subject that has been mentioned on every occasion. President, if I can just get time to touch the other issue that I traveled, I would say that the exploitation of the raw material after the fish has landed is something that we are also very concerned about. I have inherited from a former government that is not foreign to the questioner, the department’s vision ‘Values from the sea – the future of Norway’. It's just within the area that you're asked for, making full use of resources, and it's not to waste resources in the form of drafts.
ParlaMint-NO_2003-05-14.ana.ud917e1334	I would like to thank the Council of State for its thorough response. The previous questions also showed that the challenges along our coast are very big. There are bankruptcies and closures that come into focus. I want to hear very clearly from the Council of State whether he can confirm the information that comes from my question, that there is an actual dumping taking place. Although we have clear regulations and bans today – we have legal regulations on this – if this is happening on a large scale, we need to address the issues in a new way and look at other types of instruments to stop them. I think it's going to be wrong if we rest on the current law and are not willing to go in and look at these major challenges in a new way. We see that there are a number of other countries that think new about being able to take advantage of a larger part of the fish. I also want to ask the Council of State in terms of mesh size, whether it is such that the Council of State will also be able to change some of the provisions that now exist, so that we can actually apply smaller fish as well.
ParlaMint-NO_2003-05-14.ana.ud917e1345	The questioner says that there is a focus on bankruptcy. It is a fact that the industry has problems. But I should hope that we could also be in this room to bring forward the opportunities that are offered by the Norwegian fishing industry. For every time everyone in this room is occupied with just misery descriptions, we reinforce it. That's why I think it's very positive that a problem area like this is being traveled. With regard to Russia's handling of this, our influence is limited to the dialogue we have in the Norwegian-Russian Fisheries Commission, where drafts are a matter from time to time. We cannot go in and check in the Russian zone, just as Norwegian fishermen would appreciate the fact that the Russians controlled this type in the Norwegian zone. As regards the mesh size, it is of course up to us to change it on the Norwegian side. But it is not a current issue, because what is described here is not a Norwegian issue. At my discretion, we have a check on this from the Norwegian side that is satisfactory. The big challenges are using 100 pst. of the fish. Today we are throwing large parts or not taking full advantage of the so-called by-products. There's an enormous potential for development here. And with the approach the questioner has, I see that we have a lot to do in common.
ParlaMint-NO_2003-05-14.ana.ud917e1354	For once, I believe that the Minister for Fisheries and I very much agree on the possibilities for the whole of Norway. But at the same time, we also have to focus on what's negative, in a constructive way, and when we get that kind of knowledge, I think one has to go into it in a serious way, when one sees what's happening all along the coast. I think the Council of States is a little defensive of what goes on with Russia, even if we have a sample to deal with it. Political pressure, the fact that one is a driving force and has a strong commitment, can also lead across borders. I would encourage the Council of State as much as I can to address these issues by virtue of its position and not delegate this downwards in the system. When it comes to the question of mesh size, this is about how we can exploit a larger part of our catch than we can actually do today. When there are other countries that have done this in a good way, our attitude and approach must be that we should do the same. [[President clubs]] Then the question – I will end – is to the Council of State: What is his ambition, or how does he intend to address this challenge in the time to come?
ParlaMint-NO_2003-05-14.ana.ud917e1361	I hope that's understanding that if I'm going to explain my ambitions in this area over the one minute I have, I get a short time, because I have more ambition than that. I do not agree with the description that we should almost be a retard both in terms of tool technology and in terms of the use of the by-products. We're way out there. On the part of the Government, we have invested considerable resources in research, just as industry does, to exploit by-catch and so-called waste products. But it must not be mixed with the draft. The issue of discards is related to fishing for sub-target fish, illegal fish, or fish that are not being exploited. There are two issues that we have to keep separate. At the same time, however, we must recognise that from the Norwegian side it is through dialogue and exchange of views and knowledge that we can influence the Russians. Norwegian fishermen and Norwegian authorities would probably not appreciate the fact that Russian authorities would carry out this verification, which is entrusted to national authorities. But we have an offensive attitude. I will meet the new Russian fisheries minister in Canada if the Stortinget allows it in relation to some debates that are going to take place, and I hope that we will have a good dialogue at political level in the future, as my predecessors have had with the predecessors of Russia.
ParlaMint-NO_2003-05-14.ana.ud917e1368	Then the Minister for Fisheries will have a well-deserved redemption!
ParlaMint-NO_2003-05-14.ana.ud917e1374	I will ask the Minister for Transport the following questions: ‘The road authorities of the Member States have identified the implications for the extension of today’s E6 from two to four fields on the Gardermoen-Moelv route. Will the Council of State contribute to the conduct of a similar investigation for E6 from two to four fields on the Moelv-Trondheim route?’
ParlaMint-NO_2003-05-14.ana.ud917e1383	The new tribal road standards assume that four fields are needed when annual traffic is more than 10000 vehicles. As part of the work of the National Transport Plan for the period 2006-2015, the Road Directorate has analysed which parts of the Tribal Road Network, based on these criteria, need to be extended to four or more blocks in a 30-year perspective. E6 between Oslo and Trondheim is an important and heavily trafficked part of our tribal road network. Based on current traffic forecasts, the sections Oslo-Moelv-Øyer and Melhus-Trondheim on the E6 will need four or more fields over these 30 years. On the intermediate route Øyer-Melhus the traffic base is lower. The Swedish Road Administration will start work on an impact assessment for the conversion of E6 from two to four fields from Melhus to Trondheim. In addition, the Vegvesen will carry out necessary investigations on the further development of E6 between Moelv and Melhus. I can also mention that the first demonstration project in Norway for the zero vision of fatal and serious road traffic damage is now being launched on the E6 between Lillehammer and Øyer. Here, as part of the project, different types of safety measures will be tested on existing roads, which could help reduce the accident rates on this route. The development of E6 as a whole will be further assessed as part of the work of the National Transport Plan 2006-2015. In the context of the national transport plan, I am committed to placing greater emphasis on the development of the main road network, both in order to reduce accident rates and to improve the transport capacity of business.
ParlaMint-NO_2003-05-14.ana.ud917e1401	I am pleased that the Council of State will at least focus on expanding the tribal road network. Nevertheless, there was not so much durability in what came. I'm aware of the new 10 000 norm, that you have to have it to build a four-field road, but when we look at the analyses of traffic growth that have been made in the last 30 years, they've gone completely wrong, and the statistics that are made further have probably the same durability as what has been. But then I'll show you two analyses. One of 30 roadside accidents on E6 on the Jessheim-Treet route. ‘Ways with physical middle parts will eliminate the serious meeting accidents’, states the report of the Jessheim-Treet analysis group. Another analysis is from SINTEF in Trondheim, which has carried out an in-depth analysis of accidents at meetings and outbound traffic, which we often call the ‘unexplained’ accidents. The conclusion is that 75 pst. the accidents could have been avoided if the road had had centre parts or rails. Will the Council not then look a little at the ways in which we have major, serious accidents at the meeting and at the roadside – that is two-thirds of all accidents – and will she not take the costs of these accidents into account as well?
ParlaMint-NO_2003-05-14.ana.ud917e1410	There have been many rounds in this room about traffic safety, also related to the area we are talking about here, and I would also say today that I am still very concerned about traffic safety related to traffic here. It is quite right that on roads with a lot of traffic, middle parts could be an important contribution to reducing this type of serious accident. That's why we from the government choose to speed up the construction of four-field roads with middle parts elsewhere in the country and start projects with middle parts, because we are aware that they have an important significance.
ParlaMint-NO_2003-05-14.ana.ud917e1415	Now, in the impact study of the State Road Administration on E6 from Gardermoen to Moelv, it is said that the development of it from two to four-field roads with middle parts is a socio-economical project. Does not the Council of State think that it will also be a profitable project socio-economic to do this through the Gudbrand valley?
ParlaMint-NO_2003-05-14.ana.ud917e1420	A little bit of the purpose that we have an office that is a professional expert is to get the department to do such calculations. I trust the calculations made in relation to the analyses of different parts of the road network. I also know that it's very important for the social economy that we reduce traffic accidents, because it costs society a lot that these happen. There has been an important factor in the analyses that have been carried out, and will be in those carried out in preparation for the national transport plan. It's important that we do something about the roads that are of great importance both for business and for transport in general, and that are very accident-related. It is quite right that there are areas of E6 between Oslo and Trondheim that are heavily damaged. Yesterday I was on tour in Hedmark and Uppland and was very well informed about the challenges you see locally in relation to the situation there. It's an important task for us all to help us get on with this, also on the E6 between Oslo and Trondheim.
ParlaMint-NO_2003-05-14.ana.ud917e1430	I have the following questions for the Minister for Transport: ‘Trafikkmängda at Stavanger Airport, Sola, is once again increasing and is now far exceeding the terminal capacity at the aerodrome. Could the Council of States do any good for the aerodrome development plans, including the plans for progress in these developments?’
ParlaMint-NO_2003-05-14.ana.ud917e1439	As regards the Solar Development Plans, the Board of Directors of Avinor AS has recently decided that conversion should take place in order to remedy some of the conditions perceived as bottlenecks for passengers and terminal users. This is mainly about adjustments within existing building mass in order to increase capacity in the areas of destination hall abroad, departure hall abroad, check-in area, control area for traffic to countries outside the Schengen area and baggage sorting. In addition, some technical upgrades will be considered. In the 1990s, there was a steady increase in traffic across the Sun until 1998. Then the number of passengers was close to 3 million. As of 1999, total traffic has declined annually to below 2,5 million passengers in 2002. The whole lack of traffic occurs domestically. Foreign traffic has constantly increased. Avinor will therefore remedy the situation in which traffic growth occurs, i.e. in international traffic. It is stated that detailed planning is currently under way and that investment decisions are expected in the autumn of 2003. Avinor has discussed these actions with the SAS Group, which broadly supports the priorities. Furthermore, Avinor has met with the region's politicians and representatives of the Sola Terminalbygg AS. I would also like to underline the importance of the Government's proposal for significantly increased allocations for the purchase of airport services in the regional airport network in the current year, for which the Stortinget supported. This has strengthened Avinor’s financial capacity for necessary development also at the base aerodromes.
ParlaMint-NO_2003-05-14.ana.ud917e1448	I thank you for your answer, which was not entirely negative. The extent of this worries me. So here we have five complete plans for the conversion of Sola Airport. Does it mean that a now create a sixth? Can the Council of State assure me that there is no patchwork to be started now? It is not that only domestic traffic has fallen. The decline has stopped, and foreign traffic is increasing strongly and is now on the rise in peak years 1998 and 1999. There's something to follow in an hour, because it's happening pretty fast here. What I'm asking now is: can the Council of State explain why to create a sixth plan, and can the Council of State assure me that if there is to be a sixth plan, he must build primarily on what has been done before, and it must be done in close dialogue with active forces in Rogaland who want this airport well – not the aerodrome in and of itself, but the region around?
ParlaMint-NO_2003-05-14.ana.ud917e1455	As I mentioned in my previous post, there has been a development in relation to the number of passengers, and an analysis of the need has been carried out all along. It is true that there have been several plans related to the solutions at the aerodrome. I would like to stress that close cooperation has been established with local forces about the airport to make sure that Avinor gets the recordings that they should have in this round. I would also like to remind you that we have a responsibility for the whole of a joint aviation policy in Norway. That's why we have to take into account that there are several places we need to take up a roof, and we need to take up a roof at the Sola airport. Of course, I get input from Avinor in terms of the analyses they make, and I trust the cooperation they have with both local forces and not least with airlines operating at the airport. There are very important insights into what solutions are needed and should be implemented on the Sun.
ParlaMint-NO_2003-05-14.ana.ud917e1462	I thank you again for your answer. It's probably not the experience of close cooperation in the Sun among the forces that are working for the development of the Sun Airport, just like what the Council of State says. They know they're sometimes quite rejected when they're making constructive recordings. So I hope she'll deal and make sure there's real cooperation where Avinor doesn't dictate what's reasonable to do, but they're entering into a clear dialogue. The other thing I would like to ask is whether the Council can assure me that one of the assessments does not think about the business economy of Avinor. In fact, fog lights at the Sun could prevent many connected days at the airport. There were just five days closed, and the ringing effects of the closure one day are much greater than the cost of investing in fog lights. It shows how inadequately pure business economic thinking is in this context, and there is once again business economy Randi Flesland, Avinor Director, has shown when she has been in Stavanger. If it were to be the rental, I was not as quiet as I would have liked to be.
