ParlaMint-NO_2003-01-09.ana.ud1137e91	The representative of Åslaug Haga will make a private proposal.
ParlaMint-NO_2003-01-09.ana.ud1137e834	This is a big and important topic that we could probably have spent several hours discussing. I'm not going to pass all the claims in the evening post and in other investigations that are used as a starting point here, but I think it's interesting to look at some of the developments that are now at our hospitals. What's interesting is that in this debate it's very focused on this to reduce costs, society's costs, while reducing risks and unnecessary burden and suffering for the patient, is something that comes in the second row, I think. It's important that this is seen in context. Avoiding unnecessary burden and suffering for the patient is also, in my view, a good social economy. Among other things, I'm concerned about what's now happening in the wake of healthcare companies' financial arrangements, with the tight economy they have, that the emergency medical preparedness, the proximity of patients to specialist health care and the response time and quality of ambulance services are getting worse. We have examples that municipalities have had to be on spice layers to keep ambulances in service, and it is a health service in today's Norway unworthy. It is also said that there are several hospital treatments for the same patient, almost having a ‘re-use’ of the patient. I think it's hard to use that argument. But I think there's an explanation for this, which nobody's been up to now. It's that the rapid outsourcing of patients that's now happening leads to even more swing door spaces and more reintroductions. That is why I have also warned in the past about this rapid system of outsourcing, which is going to be even faster and more effective. I think it's important that the patient is finished before he's printed. Where the disease picture is complicated, it should at least be such that what the patient is being treated for is under control before printing. There is also another great cross of thought about what is now happening, with printing and treatment at a lower level. For this lower level, it is largely not possible to accept these patients properly today. Then the municipalities must be able to do so. It is also necessary to enable the two-way service to treat these patients. Capacity-related resources are very low at one and the other services level. With regard to the municipalities, with the economy they have today, I find it irresponsible to say that they should take patients almost from post-operative treatment and continue treatment. In that case, resources must be made available, primarily financially. At the same time, however, a better economy must be able to build up professionally sound health services both in the field of medical care and in the field of nursing. The LEON principle is, I am very much in favour of, but the LEON principle applies primarily to care. Here we also introduce treatment at the lowest possible level, and then the treatment must have qualities in itself that make this acceptable.
ParlaMint-NO_2003-01-09.ana.ud1137e850	You are facing a choice when you are going into this kind of debate, which can contain extremely many subjects. We could, for example, have focused on the issue of psychiatry. I think that it might have become a much more critical debate, angled against whether we succeed in what we've set ourselves up. One of the most important things about this interpellation is to discuss: what kind of direction do we want on the future health care system, so that – from the patient’s point of view – the best possible care is taken? Here I fully agree with Glütvold that we must not forget that this is about the sum of individuals. It's about the patients, the individuals, who make contact, and their experience of being cared for. It may well be that in my main post I did not say clearly enough that this is what this is really about. Because if we're going to accept to spend $55 billion on the specialist health service, we have to assume that these resources are used in a way that gives the most to those involved, namely the patients. I have to say that there is one thing that surprises me, for example. With regard to the approach of the committee leader – the Progress Party – here, it is that it almost doesn’t matter how this money is spent, that you don’t demand: do we have results that are a consequence of what we’ve put in? Because if we are not concerned about it, we are not concerned about what the Progress Party would like to have called the taxpayers' money: targeting the use of the funds that patients themselves are using. The overall use of resources by the healthcare system is so great that it not only affects the provision of healthcare, it also affects offers related to school services, to kindergartens and to transportation. We were a little bit into the same kind of discussion when it came to the state budget. When you refer to other budget lines, you can see that they represent the fraction of what we have, linked, for example. to the sickness fund chapter only. That is why this discussion becomes important: how can we ensure that the individual’s assistance is sound, that the best possible resources are targeted, and that help is usually provided close to where he lives? I record that Glow violence perceives that the LEON principle has to be concerned with care in particular. I disagree. Treatment with relatively complex medicines can, surprisingly, be given – and I think the Minister of Health was in a good way – even where you live, provided that you use the specialist health service both as an adviser and in between as a caregiver who is there as well. It is surprising, however, to what extent cell poison treatment can be given in Norwegian municipalities under the control of Norwegian general practitioners – of course, with over-control by specialists. The fact that you can do the same with dialysis, where you have nurses who have been trained to do this, makes it clear how you can use resources in a much better way. When patients who may otherwise have traveled 300-400 km to a hospital three times a week, may experience being at home with their own family, going for treatment for a couple of hours and then going home again – perhaps even working in combination with this – we have really succeeded in what we are looking for, namely, using resources properly and at the same time helping the individual in a better way than we are doing today. That's my main concern in terms of this interpellation.
ParlaMint-NO_2003-01-09.ana.ud1137e865	I think this debate has been very useful and important. As part of previous health policy debates, it has not been influenced by attempts to re-examine the reform that in many ways is the main premise of health policy in the case of specialised services. On the contrary, it has been the basic idea that this reform should work in the best possible way. That's what's now the starting point. I am very pleased that it is becoming a common political substance, regardless of the starting point in the approach to reform as such. I am also very pleased that the debate has consistently focused on how the overall policy governance of healthcare can best take place, and that – at least as far as it has been commented on – there is a consensus that I will continue to develop this planning and reporting system linked to St.prp. No 1, so that we provide the Storting with a broader basis to be involved in health policy priorities and choices. I am, as I said in my first post, well started with it. Furthermore, regional health establishments have a general obligation to notify the ministry if it differs significantly over the year from the target picture set out in the management document. The governance document is clearly anchored in Stortinget's treatment of St.prp. No 1st@item: I'm also glad that from several teams there is a warning against a political governance that goes on the level of detail in relation to operational assumptions, because I think it gives an illusion of governance, and that it really does not imply what you're looking for. It will be undermining the reform that the Storting itself has adopted. I have also noticed the signals that have emerged in the debate. I am taking them into account in the implementation of Stortingen's hospital facilities in 2003, and not least in preparing the new financing system for the specialist health service, which we are now working on in the wake of the Hagen Committee's suspension.
ParlaMint-NO_2003-01-09.ana.ud1137e878	That being the case, it is no. 11 finished.
ParlaMint-NO_2003-01-09.ana.ud1137e889	The size is ready to go to voting in the cases on today's map.
ParlaMint-NO_2003-01-09.ana.ud1137e896	In the course of the debate, Mr Rikvam, the representative, has put forward a proposal on behalf of the Socialist Left Party. The proposal reads as follows: ‘The number of doctoral degrees awarded at universities and higher education institutions shall be increased to 400 new scholarship holders per year for the period 2003 to 2007.’»
ParlaMint-NO_2003-01-09.ana.ud1137e925	The vote will take place on the proposal by Mr Karita Bekkemelm Orheim, on behalf of the Workers' Party, the Socialist Left Party and the Central Party, submitted by Mr Odelstinget's meeting on 16 December 2002: ‘The Government asks the Government to submit proposals on the prohibition of advertising in textbooks and teaching materials in primary and secondary education.’
ParlaMint-NO_2003-01-09.ana.ud1137e943	A vote shall be taken on the proposal by Mr Ola D. Glötvold, on behalf of the Centre Party, submitted by the meeting of 16 December 2002 of the Odelstinget: ‘The Government is asking the Government to cover expenditure on home and medical services on a white prescription in accordance with detailed rules to include this in the Roch 2 scheme. The same applies to medical devices and consumables, orthopaedic aids and chiropractic. This must be provided as soon as possible and at the latest within the State budget in the autumn of 2003.’»
ParlaMint-NO_2003-01-09.ana.ud1137e961	There is a vote on proposals submitted by the Odelstinget meeting on 16 December 2002: ‘The decision asks the Government, in cooperation with the user organisations and, at the latest, in the context of the 2004 State Budget, to raise a case on which and how municipal ownership can be included in the Roch 2 scheme.’ The President expects the Right Party, the Christian Party and the Left to vote against.
ParlaMint-NO_2003-01-09.ana.ud1137e981	There is a vote on the proposal by Bent Höie on behalf of the Right Party, the Socialist Left Party and the Christian People's Party, transmitted from the Odelstinget meeting on 16 December 2002: ‘The size asks the Government of the Revised National Budget for 2004 to come back with an evaluation of the index price system, including the blueprint scheme.’ The President assumes that the Labour Party and the Advance Party wish to vote against.
ParlaMint-NO_2003-01-09.ana.ud1137e989	President! The centre party wishes to vote against the proposal.
ParlaMint-NO_2003-01-09.ana.ud1137e996	The centre party also wants to vote against the proposal.
ParlaMint-NO_2003-01-09.ana.ud1137e1011	There is a vote on the proposal by Bent Höie on behalf of the Right, Socialist Left Party, the Christian People's Party and the Left, transmitted by the Odelstinget meeting on 16 December 2002: ‘The decision asks the Government to ensure that the pharmacies receive full compensation from the social security system when implementing the index price system, in cases where the doctor reserves the exchange, but that this question is re-assessed in the evaluation of the index price system.’ The President here also expects the Labour Party, the Progress Party and the Centre Party to vote against.
ParlaMint-NO_2003-01-09.ana.ud1137e1031	There is a vote on proposals submitted by the Odelstinget meeting on 16 December 2002: ‘The Government asks the Government to ensure that the public interest continues to cover the medical costs in cases where the doctor considers it unwarrantable for the patient to be supplied with a medicinal product other than that prescribed.’ The President assumes that the Right, Socialist Left, Christian People's Party and Left will vote against.
ParlaMint-NO_2003-01-09.ana.ud1137e1051	There is a vote on proposals submitted by the Odelstinget meeting on 16 December 2002: ‘The decision asks the Government to investigate the further development of a model whereby the applicant prints active substances on the prescription and not as at present a particular medicinal product.’ [[in practice doctor]] The President expects the Progress Party to vote against.
ParlaMint-NO_2003-01-09.ana.ud1137e1071	There is a vote on proposals submitted by the Odelstinget meeting on 16 December 2002: ‘The Government asks the Government to ensure that the prohibition of any other than simultaneous rebates applies only to the placing on the market of medicinal products included in the calculation of the index price.’ The President assumes that the Right, Socialist Left, Christian People's Party and Left will vote against.
ParlaMint-NO_2003-01-09.ana.ud1137e1088	I voted wrong.
ParlaMint-NO_2003-01-09.ana.ud1137e1095	So let's do the voting again.
ParlaMint-NO_2003-01-09.ana.ud1137e1109	There is a vote on proposals submitted by the Odelstinget meeting on 16 December 2002: ‘The Government asks the Government to return to Stortingen with a review of the entire medicinal product area in the context of the evaluation of the index price scheme.’ Here too, the President expects the Right, the Socialist Left, the Christian People's Party and the Left to vote against.
ParlaMint-NO_2003-01-09.ana.ud1137e1125	In Case No. No voting theme is available.
ParlaMint-NO_2003-01-09.ana.ud1137e1136	There is no record.
