ParlaMint-NO_2003-06-17.ana.ud1698e76	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2003-06-17.ana.ud1698e1029	It's going to be line change.
ParlaMint-NO_2003-06-17.ana.ud1698e1032	I feel that much of the Council's commitment is to protect Norwegian agriculture as it is mainly today. And that's okay. Could another strategy be to seize the opportunity offered by this WTO process to carry out the necessary restructuring of agriculture to be a little ahead of the requirements that come – perhaps not now, but more likely in a short time – and that we could change agriculture from being a so-called defensive interest to perhaps, at some point in the future, becoming an offensive interest?
ParlaMint-NO_2003-06-17.ana.ud1698e1037	There is a restructuring of Norwegian agriculture at such a speed that it is almost difficult to keep up with now. In my opinion, it is completely inappropriate to argue for a faster transition than the one currently taking place – at least for someone who has to take responsibility for the development that is taking place. It becomes very misleading, I feel, to extend the terms ‘defensive’ and ‘offensive’ interests more than they are. They are more expressive, reflecting the areas in which market access is needed in other countries, and the areas in which customs protection is needed. Norway has many offensive interests in agriculture, and we see a trend in agriculture today, where agriculture is not only a volume-competitive producer of prices and costs, but where other types of agricultural products that we know do not have the same competition. The border country between agriculture and tourism and many other areas we know has a completely different natural protection, and of course we have to develop it further, while taking care of as much of the volume-producing as possible.
ParlaMint-NO_2003-06-17.ana.ud1698e1042	The Jären is probably the most intensive agricultural area in northern Europe, where one produces the most if one measures either on the basis of the number of animals per person. area or from nitrogen consumption. I understand that we have intensive agriculture in Norway, and we also have a low-intensity agriculture. We're going to have both of these. But what we can do about the conversion of Norwegian agriculture is look at the input factors. I'm not going to use the word "organic," but we can approach it. So I want to ask the Minister of Industry, how does this kind of work go? And then we have to look at what's the basis for export subsidians, because if we have overproduction, that's what's the basis for all export subsidians, that's why we have them. What does one do to improve market regulation? And then we have to go to Zambia. In connection with the distribution from the State Council, we have received a message from the Church's Emergency Aid and from the Swedish Union for the Protection of Nature. The Church's Emergency Service is talking a lot about this with water. But it is problematic to take water for vegetable production when it might have been used for drinking water instead. So it's not as easy as sending vegetables from Africa to Europe.
ParlaMint-NO_2003-06-17.ana.ud1698e1053	There is an important contribution from the representative Jacobsen here in terms of the need to also look at how to adapt Norwegian agriculture to meet also stronger objectives than having effective volume production. Organic farming is an important contribution in this way, because it burdens resources – other resources produced elsewhere – less, but delivers at least as much cultural landscapes, for example, for which I am fully convinced that there will be an increase in the willingness to pay in the future in Norwegian society. In this way, we need a diversity of different types of agriculture in Norway, both extensive and intensive, and I share the view that Jären is an important food chamber for Norway. Export subsidies are not very extensive in Norway. What we know most is the export of Jarlsbergost, as approx. 2000 milk producers are behind. That is important enough, but that is perhaps the area where we can most discuss adaptations from the Norwegian side, something the Minister for Foreign Affairs has been in.
ParlaMint-NO_2003-06-17.ana.ud1698e1060	The centre party is accused by the Minister of Agriculture of not being able to have two thoughts in his head at the same time. We can accept that, but I sincerely hope that the Government will have more than two thoughts in its head when it engages in the WTO negotiations, for these negotiations are about far more than Norwegian offensive and defensive interests. They're about what the world looks like in relation to the environment, and how we're going to be able to distribute resources globally. Furthermore, they are about what social standards we are going to operate with internationally. I think that you might be involved in minimizing the importance of these negotiations. In fact, they are unusually important – at a time when we know that trade is becoming more important and important. It is about creating a framework for this trade, so that we take international care of distribution, environmental considerations, social standards, etc. You can blame me too much, but I have seen, after all, a part of international negotiations, and I know how the developing countries struggle to stick to the agenda that is already there. [[President clubs]] - It's time.
ParlaMint-NO_2003-06-17.ana.ud1698e1069	This is great. The government would like more precise advice from the head of the Central Party than the general rhetoric that the government is going too far, the government is too liberal, etc. How far would we have gone? Should we not have moved at all – and really had nothing to do in the negotiations in Geneva? I want the representative to be a little more precise – not only has this overall rhetoric – when she has something to contribute, because I am sure she has. How do you do that? We need good forces to contribute when we are to care for Norwegian agricultural interests while we are going on with other tasks. Then there's a lot of talk about what connection there is between agriculture and other relationships. In any case, it is the agricultural link that breaks through and provides solutions that is the key to getting other tasks started. That's why it's important that we get through the door together by opening it with this key, so that we can start negotiations in many other important areas as well. I fully agree with this, and Norway has a lot to contribute.
ParlaMint-NO_2003-06-17.ana.ud1698e1078	It is not by chance that most of the leaders — I was saying — in the agricultural organisations just come from Rogaland, because that is where Norwegian agriculture can collapse. If the cooperative entity that has been in Norwegian agriculture for almost a hundred years clicks, everyone will fight against everyone. It will be a great loss for Norway. State Council Sponheim called something very interesting, almost 2,000 producers who need to get away if we cut off the export subsidians, and if we cut out the Jarlsbergosten. Then the question is, can the Council of State contribute to a policy where, instead of cutting out 2,000 producers, one reduces production flat, distributed over all milk producers? One can cut a little bit on the force supply, a little on fertilizers and in addition to spraying, there is one there to be. One gets instead of overproduction an employment effect of what we allow here in Stortinget.
ParlaMint-NO_2003-06-17.ana.ud1698e1087	I hope and believe that it will also be possible for the 2000 milk producers to continue producing in Norway. The interesting thing is that in winter periods, the export of Jarlsbergost has also been without subsidies because of the exchange ratio, especially in the case of dollars against dollars. I would like to remind you that the same milk producers also own a significant production of Jarlsbergosten which has now been added to the United States, which is completely cost-effective and has a good economy, and which also allows milk producers to take out the economy they have. However, the general view that we should somehow reduce all agricultural inputs other than labour use, thus compensating for its increased use — a kind of reverse a few decades ago — I think it is difficult for the Minister of Agriculture to express here. It will require a budget statement that I think it will be difficult to gather a majority for in this house, and I don't think that's desirable either. Farmers, like others, will take part in the development of income in society, and then one more will have to supply increasing output values to do so. In an economy, benefits and benefits are linked.
ParlaMint-NO_2003-06-17.ana.ud1698e1097	No more words have been asked for. The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-06-17.ana.ud1698e1102	I do not take the floor to draw the debate in length, but I would like to ask the Minister of Foreign Affairs to sign once more, so that he may come back to the question I asked him in the change of line after his post. The Minister of Foreign Affairs gave an answer that was about why the Government believes free trade in education services is good. I respect that the Government seems, but my question went specifically to the information obtained in the media, which also goes back to the website of the Australian Ministry of Education's Committee on Exports for Education Services, that an international alliance has been set up to work actively to promote the free trade in education services. Norway is the leader of this work and the alliance is even called the ‘Norway Alliance’ or the ‘Norway Alliance’. One of the objectives of this shall be to convince developing countries that trade in education services is of the good. What I want the Foreign Minister to respond to is whether he knows about this, and whether he can confirm or deny that Norway plays such a role.
ParlaMint-NO_2003-06-17.ana.ud1698e1111	As the representative Bjørlo Lysbakken probably remembers, I also answered that question. But I can repeat it as far as I can. It is therefore an informal group of WTO countries that discusses how quality considerations can be taken into account in negotiating. This group includes both industrialised countries and developing countries. I therefore maintain what I said, that the description Bjørlo Lysbakken gave in his previous post became a bit violent in relation to the reality that I have again explained here.
ParlaMint-NO_2003-06-17.ana.ud1698e1118	No more people have asked for the floor to speak on the matter. 3 and 4. [[Food, see page 3336]]
ParlaMint-NO_2003-06-17.ana.ud1698e1134	This matter concerns the acceptance of an amendment to the agreement between Norway and Iceland and the EC concluded on 19 January 2001 on criteria and mechanisms for determining the country responsible for examining an asylum application submitted in Norway, Iceland or a Member State by including the Dublin II Regulation of 18 February 2003. The agreement concluded between the EU Member States in 1990 on the link with Dublin legislation made the Dublin Convention applicable in relations between the EU Member States, Norway and Iceland. The Dublin Convention lays down rules on the State responsible for examining an asylum application under the 1951 United Nations Convention on Refugees. The proposed amendment incorporates the Dublin II Regulation into the association agreement to replace the Dublin Convention. The Dublin II Regulation regulates the same issues as the Dublin Convention but aims to modernise and streamline the rules. When Schengen cooperation entered into force in 1995, checks on persons at the borders between the Schengen States were lifted. The open borders in Europe make it easy for everyone to travel freely, even for those who want to seek asylum in several countries or who disappear when they no longer have the right to stay. Dublin cooperation is thus closely linked to Schengen cooperation. It appears from the Schengen Cooperation Agreement that ‘an appropriate mechanism should be agreed on on criteria and mechanisms to determine the country responsible for examining an asylum application submitted in a Member State of the European Union or Iceland or Norway’, and that such a mechanism should be established within the operational Schengen cooperation for the Nordic States. Schengen cooperation started on 25 March 2001 and Dublin cooperation started on 1 April 2001. The Dublin Law Agreement includes the Dublin Convention and two decisions of the Dublin Convention’s decision-making body. The Agreement also links Norway and Iceland to the Council Regulation establishing Eurodac for the comparison of fingerprints with a view to the effective implementation of the Dublin Convention, the Eurodac Regulation. Furthermore, the Agreement allows for Norwegian and Icelandic links to both current and future decisions in this area. Like the Dublin Convention, the Dublin II Regulation does not regulate the conditions for granting asylum. Norwegian law and international obligations will thus continue to regulate who is to be granted asylum in Norway. Article 4 of the Association Agreement states that the Commission shall immediately inform Norway and Iceland of the adoption of a new act. Norway, for its part, must notify its acceptance of the act to the General Secretariat of the Council and the Commission within 30 days of its adoption. Both the Dublin Convention and the Dublin II Regulation aim to ensure effective access for asylum seekers to the procedures for determining refugee status by preventing asylum seekers from being referred back and forth between countries without having the application examined. An asylum seeker is entitled to have his application processed in one country and rules are given as to which country has an obligation to deal with the case. Both legislation also seeks to prevent the misuse of the asylum institution which occurs when the same person is applying for asylum at the same or different times in several Member States with a view to extending his or her stay in the EU. The EU has learned that cooperation under the Dublin Convention has not been fully effective. Therefore, the Dublin II Regulation seeks to correct its shortcomings and uncertainties. The Dublin II Regulation seeks to streamline the procedure for determining the country responsible for examining an asylum application so as to speed up the processing of the application. Furthermore, the Regulation provides for greater protection of family unity and the right to family life by applying for family members to be treated in the same country. At the same time, the protection of lone minor asylum seekers is strengthened. Norway has been consulted on the EU negotiations on the Regulation through meetings of the Joint Committee established in accordance with Article 3 of the Association Agreement. Chapter 3 of the Proposition details the provisions of the Dublin II Regulation and refers to this review. The adoption of the Dublin II Regulation will result in the need for amendments to the Foreign Affairs Act and Regulation where these refer to the Dublin Convention. Amendments to the foreign legislation in addition to this are not required, as the changes resulting from the Dublin II Regulation do not conflict with existing law and regulations. The Committee points out that the Ministry of Local and Regional Affairs will promote an odelstingsproposition with the necessary legislative changes. Overall, the Dublin II Regulation is estimated to reduce the duration of proceedings by 14 weeks. The shorter duration of proceedings will have consequences both for the police and the UDI and for the duration of the residence of asylum seekers in reception, which will mean a potential for savings. The Dublin II Regulation represents an estimated 3.6 million additional expenditure for the Ministry of Local and Regional Affairs. kr for 2003, of which 0,6 million. Reference is made to an increased resource demand on an annual basis of three annual works in the UDI. Additional expenditure for 2004 is estimated at 8.5 million. SEK, divided by 5 million. SEK in investments and 3.5 million. NOK in operating costs. For the Ministry of Justice, the additional expenditure in 2003 is estimated at 1.4 million. kr. This corresponds to an increased resource demand of eight years’ work in the police, i.e. 4.4 million. kr on an annual basis. The Committee considers it desirable for Norway to align itself with the rules of the Dublin II Regulation, by strengthening the status of asylum seekers by improving the effectiveness of the system, so as to speed up the processing of applications. Greater protection is provided for family unity and the right to family life by applying for family members to be treated in the same country. At the same time, the protection of lone minor asylum seekers is strengthened. The Committee notes that the Dublin II Regulation regulates the same issues as the Dublin Convention but aims to modernise and streamline the rules. However, like the Dublin Convention, the Dublin II Regulation does not regulate the conditions for granting asylum. Norwegian law and international obligations will thus continue to regulate who is to be granted asylum in Norway. Acceptance of the Dublin II Regulation will result in the need for amendments to the Foreign Affairs Act and Regulations where they refer to the Dublin Convention, but amendments to the foreign legislation are not required, since the amendments resulting from the Dublin II Regulation are not contrary to existing law or regulation. The Committee points out that the Ministry of Local and Regional Affairs will promote an odelstingsproposition with the necessary legislative changes. Like the Government, the Committee is also concerned that the Dublin II Regulation strengthens the status of asylum seekers by making the system more efficient, so as to speed up the processing of applications. This will increase the protection of family unity and the right to family life by seeking to ensure that family members are treated in the same country and that the protection of single minor asylum seekers is strengthened. If the implementation of the Dublin II Regulation would result in increased expenditure for municipalities and county municipalities, the Committee would assume that these are covered by the State. The Committee's recommendation on this matter is unanimous, and we believe that the change improves the present system.
ParlaMint-NO_2003-06-17.ana.ud1698e1187	No more people have asked for the floor on case No. 5th@item: inlistbox [[Fotation, see page 3336]]
ParlaMint-NO_2003-06-17.ana.ud1698e1203	Cross-border crime is one of the most important challenges we face today. If we are to be able to fight this, the fight must be waged in several areas at the same time. Kofi Annan has said that the three greatest threats to the world today are weak states that have no legitimacy, terror and organized criminals using warlike instruments. There's a close link between these three threats. Terrorism and organised crime play a part in weakening the legitimacy of a state, and weak states lacking legitimacy in the population are often marked by terror and organised crime. The organized international crime is raw. It is based on violence and fear, it has power and profit as its only goal and is completely undemocratic in its being. In recent years, we have seen that organised crime has also received international networks. The fight against organised crime must therefore be conducted globally, regionally, nationally and locally. If we are to win this fight, we must cooperate at least as well as the criminals. Globally, the UN Convention against Transboundary Organised Crime and its complementary protocols on trafficking in human beings, trafficking in women and children and the illicit production of arms trafficking are our main instrument. The Christian People's Party is therefore pleased that it is a unanimous committee that advocates ratification. Lack of international legislation to combat such crime has posed a threat both to countries and to each individual. With this Convention and its protocols, we now have an instrument that we can use in the fight against organised crime. The aim is that, with international cooperation, we will be able to prevent and reduce this type of crime more effectively. The Convention obliges States to criminalise participation in an organised group of criminals, money laundering, corruption and anti-judicial activities. The Protocol on trade in human beings provides more complementary rules. The purpose here is to suppress trafficking in human beings, especially in relation to women and children, and to protect them and help the victims. The fight against prostitution and trafficking in women and children is very important in combating organised crime. Here, countries must work together to ensure these people a decent life free of fear and exploitation. For Norway, good cooperation between the Nordic countries and the Baltic countries is very central, as we know that a lot of human trafficking is happening right here. We need to be able to run this fight on more levels. It is important that we coordinate our actions and work together towards common goals. However, strict legislation needs to be complemented by other measures. We also need to put in place prevention measures, develop a good early intervention system and have good treatment and care measures. Smuggling and trafficking in people jeopardize their lives and safety. I am therefore pleased that the supplementary protocols also place great emphasis on protecting the victims of trafficking in human beings. Here, as far as possible, states are required to protect the identity and privacy of the victims and to provide them with assistance to promote their views. Each country must consider implementing measures aimed at the physical, mental and social treatment of victims of trafficking in human beings. Children will have a special need here for housing, education and care. We have a duty to give them that. Victims of such inhuman treatment shall be assisted and protected with full respect for their human rights. Organised crime is generally a major threat to society and individuals than to other crime. Organized crime is destructive to the legal security of the individual citizen, organised crime is destructive to democracy, and it is destructive to respect for the will of the majority and to democratic institutions. Democracy requires respect for law and order. If we cannot combat the criminal networks, we will undermine the foundation of our societies. Organized crime undermines the idea of building a welfare society together. Crime and corruption are not based on Community values. Financing, conservation and further development of the welfare society therefore require respect for democratic rules of play, for law and order and for a continued fight against crime. We who live in a state of law cannot accept that criminal elements are allowed to evolve. Criminal groupings must not be allowed to get a foothold in the legal part of society. Therefore, we cannot allow money earned on criminal activities to be invested in the legitimate business community. We've seen in recent years that money laundering and economic crime have received more attention, and the seriousness of this type of crime has been taken more seriously. However, the need to find good and effective means to combat this remains, unfortunately, strong. The reactions to economic crime are low measured against other types of crime, for example: drugs. We must therefore receive stricter penalties for several types of financial crime. Then we will clearly show the seriousness of this type of crime. There is usually a close link between terrorism and organised crime. Terrorist organisations finance their activities through international criminal networks. Here too, the world community must cooperate and fight for the values we believe in. It's important, but our goal doesn't conjure up the average. In the fight against terrorism and organised crime, we must respect the values we have taken on to defend ourselves. The conflict must therefore be fought within the framework of international human rights and the principles of the rule of law. The fight against organised crime must be waged at all levels, globally as local. We need to change the specific problem areas, and we need to remove the underlying causes. We must dare stand up and take responsibility. The most dangerous weapon the criminals have is fear and indifference.
ParlaMint-NO_2003-06-17.ana.ud1698e1236	Several have not asked for the floor in Case No. 6th@item: inlistbox [[Fotation, see page 3336]]
ParlaMint-NO_2003-06-17.ana.ud1698e1251	The use of children in armed conflicts is one of the worst forms of child abuse and should therefore be prohibited. No government forces or military groups will admit that they use children as soldiers, and the number of child soldiers is therefore somewhat uncertain, but UNICEF estimates that at least 300,000 children are used as soldiers today. The main reason children are used as soldiers is that they are easier to abuse, cheaper than adult soldiers, easier to manipulate and make few demands. That it's relatively easy to force children to become soldiers, doesn't mean that there's an easy way back. Being forced to kill causes extensive harm to children: they have difficulty adapting to normal life, and many have behavioral problems and learning problems. It again poses a danger to the hope of lasting peace. Increasing the age limit for children in armed conflict from 15 to 18 years is one measure that can prevent children from being used as soldiers. It is therefore gratifying that there is a unanimous committee behind the vote on consent to the ratification of the optional Protocol on Children in Armed Conflict to the UN Convention on the Rights of Children. Since liberation groups, insurgents or other non-governmental actors often recruit and use children under the age of 18 as soldiers, the Protocol states that States shall prohibit and criminalise such activities. The Parties shall cooperate on the implementation of the Protocol and a voluntary fund shall be set up to assist in its implementation. The Parties shall report to the United Nations Children’s Committee on national implementation. In the case of voluntary recruitment to armed forces of a State, the Protocol opens up the possibility for States to commit themselves to an age limit of 16, 17 and 18 years. This compromise was necessary for the adoption of the Protocol. Norway is now committed to an age limit of 18 years. It may not mean much to us that we now in Norway are increasing the limit from 15 to 18 years in order to be able to participate in the armed conflict, because we are not forcing children into war. We don't train and recruit children to become cynical soldiers. Still, it affects us. Among our many young refugees and asylum seekers, there are more with background as a child soldier. It is therefore our specific task to give help to the children who are now our responsibility. But we don't have to stop there. We must ensure that the child soldiers who live in war zones today are also helped. For all children, the right to protection and protection shall apply. All children have fundamental rights which shall not be infringed. All children have the right to a worthy life. How are we going to help the child soldiers for a future? War experiences hurt children mentally and can cause them trauma. It means that they are still reminded of terrible experiences, as a threat to life or of serious harm. In order to protect themselves from these feelings, many children are forcing the bad memories. They avoid contact with their own emotional life, which can easily make them indifferent and lead to major behavioral problems. In a school situation, such trauma will be in the way of learning. We know that the civil war in Sierra Leone led to many traumatized children. Here, children were raped, injured, forced to become soldiers and systematically abused. They were made addicted to drugs in order to be able to carry out the atrocities imposed on them. If they refused to participate in the assaults, they were in danger of being killed. These traumas must be processed with treatment and guidance, both for the children who have fled to another country and for those who continue to live in conflict areas. We should also remember that children are hit and attacked in war. Schools are targets. The last decade is two million. children killed in armed conflicts, and over six million. is permanently physically damaged. Every day, 356 children are killed in war. Children are maimed by landmines and grenades, children are chased for flight because of war, and their right to health and education is taken from them. That is why we must prevent war and change the underlying economic, political and social causes of child involvement in armed conflicts. There is a need for an effective fight against poverty, in which children’s rights are respected. We also have to do something more about the very cause of the problem. Poverty, war and conflict, unemployment and inequality are often causes of child abuse. In particular, lack of training is an important reason. Children living on the streets or experiencing other care failures are particularly exposed to crime and exploitation. Without learning, children are not allowed to promote their rights or improve their social situation. Education for children is therefore the number one job in our development policy. I believe this is a central measure to better protect children from being drawn into armed conflicts. Children have the right to protection. Therefore, abuse of children must be higher on the political agenda. That's what the Christian People's Party will fight for.
ParlaMint-NO_2003-06-17.ana.ud1698e1277	Several have not asked for the floor on case No. 7th@item: inlistbox [[Fotation, see page 3336]]
ParlaMint-NO_2003-06-17.ana.ud1698e1293	The OSCE has played a significant role in recent European history since it all started with the Conference on Security and Cooperation in Europe in 1975, where the Soviet Union's party leader Leonid Breshnev played an important role. He had probably not imagined that the conference he was taking the initiative in, would gradually develop into an organization that would promote multi-party systems, freedom of speech, freedom of printing and freedom of religion throughout the former Soviet Union and throughout the Eastern bloc. KSSE – and since the OSCE – has become increasingly important following the fall of the wall in 1989 and the dissolution of the Soviet Union in 1991. The OSCE has been given tasks that neither the UN, NATO, the EU nor the Council of Europe can take over. The OSCE, together with the Council of Europe, is helping to provide opportunities for dialogue and cooperation between countries with a Christian cultural background and Muslim countries. Some of the worst conflicts and wars we've had in Europe in the last 15 years have just been wars between Orthodox Christian cultures and Muslim cultures. It was hardly by chance that Russia supported Serbia well along the way in the Kosovo war. Here there was coherence and solidarity between two orthodox nations. The war between Armenia and Azerbaijan and Nagorno-Karabakh, the war in Chechnya, the war in Macedonia and the war in Kosovo are all examples of Muslim-Orthodox conflicts in Europe. Against this background, the OSCE plays a very important role in its field activities, with early warning of conflicts and efforts to prevent conflicts. Given the cost to the international community of maintaining military forces only in Kosovo, conflict prevention appears to be a much better option. We may run the risk that the final bill for Kosovo will amount to several hundred billion kroner. There is also reason to believe that the forces in Macedonia must be prepared to stand there for many years to come. That makes sense, therefore, to alert conflicts early and then put in work to prevent the same conflicts, and here the OSCE is doing a very important job. When Norway, the EU and Russia now agree that the legal status of the OSCE should be clarified, we should perhaps question whether it is right to allow the United States to veto, so that the United States can decide that the OSCE will not have this status. This is something that should be discussed in the OSCE in the future. An overall committee also stresses the importance of further work on this issue of legal status. It is clear that a convention, rights and privileges will be an important step in the right direction.
ParlaMint-NO_2003-06-17.ana.ud1698e1304	Several have not asked for the floor on case No. Eight. [[Fotation, see page 3336]]
ParlaMint-NO_2003-06-17.ana.ud1698e1320	At the request of the Industry Committee, the President will propose that the debate be limited to 1 hour and 15 minutes, and that speaking time be allocated to the groups as follows: the Labour Party and the Right 15 minutes, the Advance Party, the Socialist Left Party and the Christian People's Party 10 minutes, the Centre Party, the Left and the Coastal Party 5 minutes each. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted. Then the president has been asked if he will run this case finished at this morning's meeting. To that, the president would say that it depends on how many speakers are left at 5 p.m. 15th The President is prepared to continue beyond the regulatory time if we can expect to finish in 20-30 minutes, but there is also the limit. There are other meetings that will also take place during the break.
ParlaMint-NO_2003-06-17.ana.ud1698e1331	On 31 January 2003, the EEA Committee decided to incorporate the Patent Directive into the EEA Agreement. It is clear from the wording that, since this is a particularly important matter and the Directive necessitates legislative amendment, it is necessary that the Stortinget agrees with the decision of the EEA Committee under the second paragraph of Section 26 of the Constitution. In the landfill proposal, which underlies this treatment, the Storting has been asked for such consent. In connection with the decision of the EEA Committee, Norway made a statement, which I will return to the contents of later in this introduction. The Patent Directive regulates access to patents for inventions related to biological material, i.e.: patents for inventions relating to genes and genetic material and patents on procedures for the manufacture of such material. There has been a very long process in the EU on this directive. It began in 1988 when the Commission presented a draft directive on the legal protection of biotechnological inventions. The background was that, for industrial policy reasons, they wanted a uniform legal protection of biotechnological inventions in the EU. The Commission’s draft took many laps in the EU system and, finally, the draft prepared was rejected in 1995. The main reason at the time was that there was too little consideration for ethical and social considerations. A new draft was then submitted, and in order not to go too detailed to do so, I just mention that the last draft, followed by most of the objections, was presented in August 1997 and finally discussed in February 1998. Twelve Member States, including Denmark, Finland and Sweden, voted in favour of the proposal, while the Netherlands voted against and Italy and Belgium abstained. In October 1998, the Netherlands went to the Court of Justice of the European Communities with the Directive in order to bring it to an end and in October 2001 the Court of Justice of the European Communities delivered its judgment. They concluded that there was no basis for ineffectiveness. The status is now that most EU countries have implemented the Directive or are implementing it. Sweden will deal with it until the autumn, while France is having a debate on Article 5 of the Directive on the patenting of human genes. The French Government is therefore preparing a new draft legislative proposal, where certain clarifications related to the patenting of human genes are likely to be made. I have spent so much time describing the history of this directive to stress that it has not been an easy matter and that it has taken a long time to arrive at the position currently under consideration. This also shows that there is a directive that has been worked on a great deal, precisely in the light of the fact that it is not an easy matter. It has also created a debate here in the country, and the issue of the patenting of plants and animals has been debated repeatedly here in the United Kingdom. Both in the proposition and in the summary of the vote, a description of what the EEA Committee has decided and what the Directive contains is given. As I said earlier, the aim is to promote business policy and to improve the competitiveness of biology. The EU's justification is to introduce the same laws in this area as the United States and Japan. In the case of Norway, large parts of the Directive are in accordance with current Norwegian patent law and practice. Patents are currently granted on inventions related to genes, cells and micro-organisms, provided that the general conditions for patenting are met. The directive requires that we allow for the patenting of inventions relating to plants or animals. However, the Directive prohibits, inter alia: patents contrary to fundamental ethical principles in each country. One must seek the Patent Board in order to obtain a patent if they examine whether the conditions are met. The invention must be new and no patents are granted on pure discoveries. The exclusive right to the patent lasts for 20 years. The definition of an invention can be described as follows: how a plant can be used for the production of medicinal products, while in its natural environment the plant can continue to be freely exploited. A patent in Norway does not confer exclusive rights abroad, for example: in developing countries. Nor does a patent confer any right to use inventions prohibited by other legislation. Those opposed to the Directive have raised objections to ethics, to developing countries and to the environment. As regards ethics, the statement made by Norway in connection with the decision of the EEA Committee, which included: read: «Norway acceptance of the Directive as part of the EEA Agreement is based on the application of fundamental principles that protect human dignity and integrity and the human body, and in accordance with the obligations of international law arising from the Convention on Biological Diversity». As a result of this declaration, and probably also as a result of the disagreement between the Government and the Directive, the Government has notified a number of measures to ensure that this is done. These can be summarised as follows: 1st@item: inlistbox The government will exploit the scope of the Patent Directive in order to restrict its practice. This would prevent patenting being too easy and patent protection being extended too far. Norway will also address a restrictive line internationally.2. The applicant for a patent shall indicate where the genetic raw materials of the invention have been obtained. A breach of the obligation to provide information shall be punishable, but the application shall not be rejected.3. Farmers shall be entitled to use breeding animals for their own agricultural purposes, without remuneration to the patenter.4. Intervention against the misuse of patents should be facilitated, for example: if the price is unreasonably high.5. Patents which are found to collide with fundamental ethical principles, such as: certain patents concerning human biological material.6. An ethical name is established with which the Patent Board can consult. This would provide a better basis for assessing whether the inventions are contrary to fundamental ethical principles, so that the patent can be refused.7. The government wants Norwegian participation in trade union selections in the EU, such as: provide ethical advice in relation to the Patent Directive.8. Norway will support a proposal from the European Parliament to amend the Directive to exempt human genes from patenting9. Norway shall actively pursue the interests of the developing countries. Norway shall, inter alia: participate actively in the development of mechanisms to ensure a fairer international distribution. This concerns both the exploitation of own genetic resources and the protection of traditional knowledge. In addition, there is also work to be done in order to investigate measures to achieve the objectives of the Convention on Biodiversity, inter alia. available through own genetic resources and fair distribution of dividends from the exploitation of genetic resources. The government has promised that they will follow up the work done by the Biodiversity Commission. Against this background, we support the request of the Government to approve the directive in the Workers' Party. We believe that the attention given to this Directive, and the measures put forward by the Government, will lead to the Directive becoming a business policy boost also for Norwegian enterprises in the area, and to their being able to compete on equal terms with the rest of Europe and the rest of the world. We also believe that the measures taken by the Government will ensure that the appeals raised by many against the directive will not be taken. Case rapporteur Olav Aksensen is not present today, so I can also take on his role. The majority behind the setting consists of the Working Party, the Advance Party and the Right. In the case of the minority, which consists of the Christian People's Party, the Socialist Left Party and the Center Party, they themselves will explain their views. So I just want to comment on the proposal from the SV and the Center Party -- so I've commented on it and I don't want to go up again -- with the background of my post and with the background of what's in the proposition on page 71, where the Government says: ‘In a resolution adopted on 21 November 2002, the European Parliament asked the Commission to propose amendments to the Patent Directive to exclude isolated human genes or parts of genes from patenting, see Chapter 2.2.3. Norway will express support for such a change in the relevant forums.’ I believe that the Government has responded to this proposal by Åsa Elvik on behalf of the Socialist Left Party and the Central Party, asking them to turn it into a transmission proposal.
