ParlaMint-NO_2003-02-06.ana.ud2316e58	The representative of Øyvind Vaksdal will make a private proposal.
ParlaMint-NO_2003-02-06.ana.ud2316e809	The claim made by the interpellant in its interpellant is alarming, namely that studies ‘suggest that the school maintains social, economic and cultural differences’, which even ‘restrict the children’s ability to shape their own future’, as the interpellant writes. The statement is almost sensational. For nearly 100 years, there has been a broad political consensus that the school of unity has been the foremost arena for eradicating social, cultural and economic differences between children, between the children of Jørgen hatmakers and the children of King Solomon. The representative Lyngstad argues in his post that rich nuclear families have children who succeed. Poor single-parenters reproduce social inequalities. Then he argues with greater freedom and with the lifting of the classification rule and some such technical things. One would think that if it were so that rich parents had children who succeeded, and that poor parents had children who reproduced social inequalities, the answer would have been more fair distribution. But the answer was no greater fair distribution. The answer was a number of school pedagogical interventions, estimating one action better than the other. If that's in the economy the problem lies, Lyngstad should answer with greater fair distribution. There's reason to question why this sudden change of mood in the Christian People's Party is coming right now when it comes to the school of unity. Perhaps it has something to do with the fact that the Right-State Council has now put forward a proposal on the excellence of private schools. Problem No. 1 in school is neither incompetent teachers nor unmotivated students. It is primarily public poverty in the richest country in the world. We have agreed on this during the debate we have had today. The Christian People's Party and the representative of Lyngstad's loyalty to the Right Party programme are admirable here, and I think it is a little surprising. Vice-Chairman of the Christian People's Party, Odd With, said earlier to the Evening Post that one reason for joining the government with the Right was that then you can dampen the negative side of the partner. That's what Odd With said. I then ask: Is the representative Lyngstad satisfied with the influence of the Christian People's Party on the Right Council, and in what direction has the influence of the Christian People's Party possibly distorted the Council of State?
ParlaMint-NO_2003-02-06.ana.ud2316e822	The issue addressed by the interpellant is directly addressed in the current school policy debate. It is shown, among others: to the research that says that the single school has not given all students equal opportunities, and even that the single school reproduces inequality. Then we have a school strike among the teachers right now. The teachers strike because the municipalities have obtained the right to negotiate in terms of pay for teachers, and because this threatens the school of unity. You strike for something that you haven't achieved with the school system we have. I must also be allowed to distance myself from the consensus that the Labour Party's representative seemed to indicate here that it is the public poverty that is the problem. When the Workers' Party manages to create a majority in the Biggest to grant DKK 5 billion more to the kindergartens, it doesn't testify that you're aiming to strengthen the school, and that there's municipal poverty out there and going, because it's just the municipalities that are being allocated this money, that they really don't want, and that they're not allowed to use to strengthen the school. I think that much of the policy and many of the measures implemented by the current government and the majority of the population are part of meeting the needs of the interpellant. Quality and creativity in school and school life are fundamental to the current school policy. Mastering a profession, knowing something is one of the most enjoyable things we can experience as human beings. If we want to get our students and students to master their profession, know their skills, we give them a very great individual joy and opportunity and not least right. In addition, we meet society’s needs for good workers with good expertise and good quality in research and education. In addition, this provides the opportunity for social mobility with good expertise and education. It is perhaps the greatest opportunity we have to give everyone an equal opportunity and equal ability to achieve in social and professional life. But with the policies that have been pursued by previous regimes, we have achieved the exact opposite. We're on a much better road today.
ParlaMint-NO_2003-02-06.ana.ud2316e833	The Council of State made a statement on the importance of learning outcomes. I myself have stressed in an earlier case that we have rather mediocre results, among other things. in literacy. Reading skills are also a key element in this case. I'm going to be very concrete. When this government joined, part of the school effort in the first financial year, the 2002 budget year, was 100 million. SEK to one additional Norwegian hour for the 2nd to 4th class steps from the autumn of 2002, i.e. the first half of the school year 2002 to 2003. Finally, it was also fixed to ensure that the funds actually arrived at the one Norwegian hour per person. week. My question, which I hope the Council of State can answer, is: how is this carried forward in the budget for the current year? The current year, the 2003 financial year, actually covers two school years. It covers the end of what started in 2002, which was, therefore, set aside funds for a six-month extra effort. And it covers the first half of the school year 2003-2004. How have funds for this additional Norwegian hour, which hopefully will contribute to increasing literacy, continued in the 2003 budget year? If the answer is that it has not been passed on, it must mean that it has changed its view on whether these are correct and important measures and instruments. I hope not. How it's made clear, if it's carried on, I'm excited to hear it. Now that I'm staying a little bit up on this, it's not just because the reading skills are mentioned, but because I've also read the action plan that relates to the real subjects. In this case, you're left with the same means of working, that you're busy getting extra hours to the subject, in this case real science, into mathematics. It is suggested that this should be taken into account in the 2004 budget. So there you have a parallel. This real-life action plan suggests that there is faith in the action. It should also be shown that what started with Norwegian education in the 2002 budget year is, in fact, clear, clear and documented in the current year's budget.
ParlaMint-NO_2003-02-06.ana.ud2316e842	I would like first of all to commend the representative Arne Lyngstad for taking up and pointing out an important matter. A school that maintains the social, economic and cultural differences is a school that has failed in many ways. A school that accumulates winners and losers, we can't accept. Both the PISA study and the Asbjørn Birkemos study of student outcomes in Norway suggest that the school does not provide all students with equal opportunities for professional progress and later careers. There is a wide dispersal of the results of the students. The research suggests that it is not primarily due to random variations, but differences related to the background of parents and large differences between the sexes. I think there are more answers to this challenge. But what I also know is that the government's answer is not correct. They're not going in the right direction. I believe that it is essential to be able to offer an education that is adapted to the students' own assumptions. I think the reason many students fall off is because they don't feel that teaching is related to their own experiences and their own interests. Education is largely conducted in large groups of 20-30 students at a time, and there is limited individual adaptation to such a situation. It's about several things. First of all, we need enough qualified teachers. The new figures show that the number of teachers and teaching staff has decreased by 4 pst. from the school year 1998 to 1999 until 2002 to 2003. In the same period, the number of assistants in school has increased by 4.5 pst. This suggests a development in which we get fewer qualified teachers and cheaper and more unqualified workers into school. At the same time, we also need to strengthen the provision of training for teachers. But the opposite happens now. The money that has previously been spent on the municipalities, where the municipalities themselves have been allowed to decide and the schools themselves have been allowed to decide what the training offer for teachers should be, has been cut and transferred to this called strengthening of the real subjects. Secondly, it is about using more varied teaching methods. I think the Norwegian schoolwork is too much built around abstract and theoretical approaches. This approach favours children who have grown up with parents with academic backgrounds. At the same time, fresh GSI figures also show that there has been a dramatic decrease in the number of split hours and that hours of special education have fallen. There are a lot of things that are important. One thing is access to good libraries. Reading and writing skills are a lot about having good access to the library and getting acquainted with the library and its offerings. Government policies reduce the possibility of equalising differences between students by giving schools more difficult framework conditions.
ParlaMint-NO_2003-02-06.ana.ud2316e859	In school, the human being is shaped, and then you should slow down, it's said. As much as education is about human creation. That is why the Christian People's Party is betting on a good public school. If we call it a high school or a high school, it's not crucial. It's the content that's most important. When an OECD report shows that there are major differences in Norwegian school, we will take it seriously and do something about it. This OECD report recommends greater local freedom of action, stronger performance orientation and measures to increase students’ literacy, as important instruments for increasing quality and minor differences. We've been discussing local autonomy today, and I can only stress again that the Christian People's Party will further develop the local school. Through pilot schemes, we want to develop a more flexible school. In addition to local trials, school renewal should result from a review of school curricula and legislation. That's how we get a better school that's close to the people who use it -- both students, parents and teachers. The school embraces all children and shall at the same time challenge each individual student on the basis of individual assumptions and needs. This implies that school life must be marked by diversity and diversity, yet firmly anchored in local conditions. The school will challenge the pupils’ work and learning capacity on the basis of individual needs, interests and assumptions, and students will also have to have a real influence on the design of everyday school life. It needs to be opened up in order to have a stronger and more qualitative cooperation between school and home. Such cooperation is necessary, inter alia: To face the problems of bullying and violence that we hear in school. They ruin the lives of a lot of students. The cultural background of the home is important. It's not a place of residence or an economy, but, as Professor Birkemos' research shows, the home environment is crucial, as the interpellant pointed out. The parent role must also come into focus. In the journal Education, no. 1 this year, there is a study that shows that authoritative parents with heat and control have the most well-adapted children, while the worst-off children come from negligent parents. It has been a goal to challenge parents to participate in their children’s school days. That parental meetings also focus on parenting is therefore important. So it was the students' reading ability, which shows great variation. Here it also says in St.prp. No 1 that it is an area of initiative for the Government to stimulate the interest of students in reading, and thus also to strengthen the competence in the use of school libraries, which Lena Jensen was also involved in. There is something going on, I know, among other things. at Sandefjord secondary school, about the library as a pedagogical resource. The role of teachers also needs to be developed and teachers given opportunities for empowerment. The teacher is the key person in the school and a necessary driving force in school development.
ParlaMint-NO_2003-02-06.ana.ud2316e877	I also want to praise the interpellant for the theme he's addressing. I disagree with both the polemization used by the Workers' Party in relation to the interpellant, and with the one used by a representative of the Right in relation to the Workers' Party. I don't think we're going anywhere to drive polemizing that way. I think the interpellant addresses an important question. How are we going to make up some of the differences that are the result when the students leave school? How are we going to be able to do that through a 13-year-old race? I think the interpellant points to important things: putting the student in focus. So I think we have to organize our school around this one goal of putting the student in focus. In-flight evaluation, individual work plans and curriculums, I think it is very important to have in order to achieve this goal. The Council of State stressed that those countries that have managed to reduce differences have just focused on adapted training. And I've said several times from this pulpit that the most important concept we have in today's curriculum is the concept of 'adapted training', of being able to see the individual student with the abilities and opportunities that each student has. Then the challenge for the educational staff in school will be to build up under this, so that the student can achieve realistic goals. When we talk about college, someone's kind of talking a little ridiculous about it. I believe that the single school, the common school, or what we're going to call it, is actually the most important basis for us to get to this. There's room for everyone. All students shall be given the opportunity to develop there. But then we're kind of back to the messages we get: Is it possible to provide adapted training for the individual student according to the skills and facilities with the situation at school today? Then I think about resources. I think it's important that we review and evaluate how we use the resources. But it's clear that there's too little resources. There are too few adults in school today to be able to provide individual customized training. So when we're going to have this review of the resource situation and have adapted training as a goal, it's a very important element in this case.
ParlaMint-NO_2003-02-06.ana.ud2316e890	I also think that Arne Lyngstad has taken a very right initiative, and in the focus here, as many say, is adapted training. It focuses on the weakest. Obviously, for the weakest students, a good public school is the most socially equalizing thing we can do. With regard to the very weakest students, the PISA study has shown that we're not as good with them as we thought we were good at. We've also got stories – most of us, I guess – from parents who feel that some students don't get a good enough offer, which also goes beyond the offer to the other students in the class. There's a lot of things we can do. First of all, I think it must be allowed to choose another type of school. In the old days, there were special schools. It must be for students to choose other ways of going to school, choose more practical ways and other ways of doing it, but focus should be on students’ choices based on their own assumptions. We also need to look at special education. We have to break down our systems, so that we can give kids a sense of mastery, even the kids who are usually the ones who usually hear that they don't master. I think that ageing is an important key to mastering young people. No children have the benefit of going to school for ten years with all the others and always being stupidest. Secondly, I think school management is a very important element in creating a common team, a common team, with a common superstructure that also helps the weakest. I think that the campaign Regeringa has started in relation to bullying, is important to break what we're doing today, to create losers of kids by destroying their childhood with bullying. So I'll spend the last 40 seconds talking a little bit about language and reading. I think we have to break some of our understandings about language. I think bilingualism among children is going to become more and more common. Maybe it's going to be the norm, and it doesn't have to be a problem. We need to develop pedagogics where there is no problem that some children actually know something more than other children. If we're going to be able to break the code for reading, we're not just going to put in Norwegian hours. The key is to find a way to work with reading that makes kids get an intense desire to break the code, because they want to know what it says right there. I think it's not just about Norwegian education, but also about our language and our books being part of all the other subjects we think are fun.
ParlaMint-NO_2003-02-06.ana.ud2316e903	I think the debate has shown that there are several people who have had some surprises about what school research has shown. At the same time, it seems to me that there is a relatively cross-political consensus that we need local freedom in order to develop the school better in the future, and that we need greater flexibility in the organisation of the school. We may have a slightly different emphasis on the concrete measures, but I very much agree with the Council of State that giving us greater local freedom, yes, we also need follow-up and in-flight evaluations. What is then important for the Christian People's Party to stress is that the in-flight evaluations are an instrument for further development of the school. That is why I am so pleased with the signal from the Council of State that it is important to follow up with guidance tools and local dialogue about this. I am also pleased that the Council of State says that in a future curriculum revision we need to focus more on goals than method. But if I were to allow myself a little critical comment, it had to be that I also think it necessary to think through the emphasising of nuclear material, and at least the massive piece of nuclear material that today's curriculum focuses on. I think it's also necessary to open up local substances that have relevance to the students, so that they realize that learning concerns them. Then I'm very happy that many people underline this with adapted training. Many people point to the importance of resources. Yes, I do not ignore and will not deny that resources are important, but at the same time – as Professor Birkemo has said – I believe that the problem is not the resources, nor is the problem the pedagogical poverty. And it's a challenge for school and those who work at school. Finally. When I deal with this, it's not because I want to maintain economic differences. Reports show that the economy has no bearing on learning outcomes. But when I learned that children from poor homes remain among the poor in society, it was just to show that we need a school that can compensate for this. And then it's that it becomes so important that the school works evenly.
ParlaMint-NO_2003-02-06.ana.ud2316e916	A specific question was asked, which I thought I would answer. But first I just want to stress what the representative Lyngstad was now at the end, and as a line to the contribution of the representative Eva M. Nielsen. The single school in Norway has been successful in balancing differences on the basis of economics and geography. In Norway, to a small extent, what is often referred to as ‘A’ and ‘B’ schools. Our problem is, rather, that there are great differences between students within each school, yes, often within each class, which means that Norwegian teachers have very big challenges. It's more related to the so-called cultural capital that you have at home, that is, where the school interest in the home is, so to speak. So the question is what do we do with that? Then you can do something through school co-operation, I think, so that homes can be better equipped to contribute. The second is that you can better compensate for it at school, through better-adapted training. Of course, resources are very important. But if you look at the Nordic countries, the countries that have failed most to balance these differences, Norway and Denmark, are the ones that have the highest teacher density and the most resources. So it must also have something to do with organization and pedagogics, as the representative Lyngstad was inside. These are the thoughts we must have in our head at the same time, as we have also been in previous debates. So to the specific question of Norwegian hours. That, of course, has been continued in the budget. When entered with a half-yearly effect, the impact — as indicated in the Ministry of Finance’s language — is adjusted throughout the year into the budget. It's fixed to the regulations, like the trade-and-hour distribution in general. In the case of other subjects and whether to change the composition of hours, increase the number of hours, etc., there are a lot of desires and demands, both in relation to subjects at school – a little too many, I think, for what you can expect the school to do. But all in all, I have found it right to await the Quality Committee's setting to get an overall assessment of it. Because if all these desires were to be fulfilled, our children had to be at school 24 hours a day and well, so it just doesn't work.
ParlaMint-NO_2003-02-06.ana.ud2316e927	That is the examination of case No. 3 ended.
ParlaMint-NO_2003-02-06.ana.ud2316e940	The situation in the Norwegian and Nordic power markets has been very difficult in winter. This is because over the last ten years we have had a consumption growth of 18-19 TWh, while the increase in production has only been around a sixth part. It goes without saying that when there is so much difference between supply and demand in a market, it goes wrong. The party of progress has for many years warned against this imbalance, but unfortunately we have spoken for deaf ears. The result of this market imbalance has been an explosive development of electricity prices, as well as a risk of rationalisation and decoupling. Statoil and Statnett planned to set up a mobile gas power plant on Kollsnes to ensure the supply situation in the worst affected area. They had applied for and received a concession for this. However, the project was scrapped when the power price in the market fell significantly and made the project unprofitable. However, a fall in the power price has not resulted in the power crisis in any way. Last week the Energy and Environment Committee received a briefing from the NVE, which made it clear that there are still major problems with security of supply and very low levels of water storage. I was in contact with Statnett yesterday, and they also claimed that the power situation in Norway is still very worrying. This is particularly the case in South Norway. New figures on magazine filling, power generation and power exchange with the rest of the world are clear for the past week. The magazine fillings are now 38,4 pst, and this is a decrease of 2,3 pst. during the last week. In the western region, from Sauda in Rogaland to Fardal in Sogn, the situation is even worse, with a magazine filling of only 36,7 p.m. A mobile gas power plant in this region will be an important measure to address an exceptional situation. This facility can supply 50 000 to 60 000 households with electricity. However, the output is too small to affect the electricity price. It will primarily increase security of supply in this region. However, there are some costs with such a temporary plant. It is estimated that the power plant should have a minimum operating time of four months, with a power price of around 45 cents to be profitable. In order to eliminate the financial risk, this proposal proposes that the State cover the possible costs between the market price of electricity and the cost of production. In any case, this will only be a small fraction of the additional income received by the Norwegian State, for example. in the form of increased VAT revenue, as a result of an increase in the electricity price. If Statnett and NVE continue to consider that the additional production of the mobile gas power plant is necessary to guarantee the power supply, the Stortinget must ensure that the Government provides the necessary resources to guarantee Statoil’s investment. As I said at the outset, the power crisis is by no means over. I therefore hope that the Stortinget is now conscious of its responsibility and support this proposal, so that we can get the necessary safety of the power supply until the summer. With this, I would like to recommend the present proposal, literally, at the heart of the matter.
ParlaMint-NO_2003-02-06.ana.ud2316e955	Much is happening in relation to the energy sector at present. It's a shame the initiative doesn't come from the Government. Three years ago, the Bondevik government chose to leave because it wouldn't expand any more power. A year and a half ago, the Workers' Party proposed a grant scheme to speed up the development of new power. A year and a half ago, the Workers’ Party proposed a grant scheme that would have continued power-saving measures in the thousands of homes and thus lower costs for customers. A year and a half ago, the Workers' Party proposed a grant scheme that would involve sources other than electricity for heating to avoid our dependence on electricity. And a year and a half ago, the Workers' Party proposed a scheme that would lead to a smarter way of using electricity, and that would get the price down. All the proposals were defeated by the government parties and the Progress Party. These batches have ensured that the bulk of the population has not invested in the development of new power, the use of other energy sources or power saving in recent years. Now they meet reality. The government meets it with loss of understanding. The Progress Party meets it with a number of populist proposals for which they know they do not get a majority. It is a little problematic to take the proposal very seriously today. But the situation is serious. Politicians have a responsibility to ensure that electricity prices in the energy nation of Norway become so that people can pay the bill. The working party understands the frustration we are now experiencing in relation to excessive power prices. We don't want to accept that the energy nation Norway has energy prices that people can't pay. What is even more serious is the threat to energy security in Norway. Until now, the government has been paralysed, and it advises people to go to the social community to solve the problems of paying the electricity bill. We believe that to be totally unacceptable. At the same time, Norway imports coal power, gas and nuclear power so that the pipelines are almost red-hot, to ensure enough electricity for the population and industry. And the Minister of Energy calls for more imports from these polluting energy sources instead of doing something in Norway as monks. We are pleased that the Government now, after two years of budgeting, supports the intention of installing heat pumps and alternative sources of heating. What is alarming in this situation is that if nothing is done about the energy situation in Norway, the situation on the energy market will be worse and worse for each year. With the government’s policies – announced policies – we will lack about. 43 TWh in 2010 if we get a dry year. The Minister of Oil and Energy is against gas power. Now he stands in favour of installing seven gas power plants as a respirator to keep alive the lights and the heat in our home. We basically think that's good. The situation with regard to mobile gas power stations will be equally current in the coming years. And when the Workers' Party took this up in an interpellation a year ago with the oil and energy minister, he arrogantly rejected the proposal to have gas turbines when you had problems on the energy side. It is incomprehensible that the Minister of Oil and Energy, on the one hand, is in favour of these mobile gas power plants, which thus pollutes much more than ordinary gas power plants, and on the other hand opposes the construction of gas power plants in Norway. For the Workers' Party it is important to look forward. Politicians need to find a solution to the power crisis in Norway. So because of low rain, we have too little power. Then maybe we should look at alternative energy sources. The Government and the Advance Party adopted a month ago the budget for 2003. We believe that in the Labour Party they should recognise and take responsibility for that. In this context, it might be interesting to hear where proposers will take money from if they are to collect money in relation to these mobile gas power stations. We can't see that there are any budget lines compared to that. There is only one solution to the situation that has now arisen. It is gas power, new renewable energy, alternative energy, water-borne heat, heat pump installation and smarter consumption. Finally, there will only be the expansion of more power and a better line network that will satisfy. Easy-to-use solutions to be addressed directly in the Chamber are not the views of the Workers' Party on the solution of this crisis. We build the country, and we do it in a thorough and thorough way. And with that reason, we will go against the proposal that has been put forward.
ParlaMint-NO_2003-02-06.ana.ud2316e981	I was rather surprised when I saw the proposal that we have to deal with today. Only a few months after the Progress Party in the budgetary agreement with the government parties made sure to increase the proceeds from Statnet by 200 million. kr, we get a proposal on the table that is justified by the fact that the West has special problems with the power supply, and that the Stortinget must therefore provide instructions and resources for Statnett and NVE, so that some of the plans for the temporary gas power plants in Kollsnes can be made. Then it might be tempting to ask where the coherence and logic of the economic arrangements of the Progress Party is. What we are seeing here is an example of a jojo policy that is absolutely incredible. First, they cut Statnett for 200 million. kr, which could have been used, for example, for strengthening the transfer capacity of the West, so that this lack of capacity could be used as a justification that Statnet now needs additional resources. Another thing is that the mobile gas power plants that we are talking about are extremely polluting. In this way, they are actually much worse than the stationary ones, to which the government has granted concession in the same place. After all, I spoke from the Government about CO2 management and the investment in this, I had to say that I made quite big eyes when I saw that there was actually a clear signal for these sausage cooks from the Government, and I was similarly relieved, of course, when we were informed that the project would not be carried out anyway. I think the government too should be quite relieved of that. If these mobile gas power plants had been put into operation, it would have caused a pretty ugly scratch in the environmental paint of the Government, and there it is starting to get pretty crowded around the place. The SV’s strategy in terms of future power supply, both in the West and in other regions, is to ensure that in the future we will house electricity in a much more sensible way, and that we will – and that is what we mean – bet on developing new renewable energy sources. The budgetary colleagues from the government parties and the Progress Party so far have contributed is all too welcome. This is why SV has put forward proposals to implement measures to make households less dependent on electricity for heating, which will result in electricity being released for other and much better purposes. It is, of course, commendable that the government, through the proposition put on the table for a short time ago, has proposed spending 50 million. kr for this purpose. But there is no doubt that this amount is too small. To date, 8 200 households have applied for support from the new scheme to be adopted by the Storting in a short time. The amount to be paid by the Government will only be able to reach approx. 9000 households. That means that unless the amount is increased and the scheme is made long-term, with a duration of at least ten years, this is almost like throwing the large majority of the half a million households that are now totally dependent on electricity for heating purposes, blues in their eyes. It is this that is the SV's strategy in relation to the power crisis, as well as introducing a two-price system for electricity and getting a full review of the Energy Act, of which we are increasingly seeing the major negative consequences. This is SV's alternative to forward party solutions, to what we have called the energy world's kebab truck, i.e. mobile gas power plants.
ParlaMint-NO_2003-02-06.ana.ud2316e995	We have had a difficult power situation in winter. The government and the government parties at Stortinget take responsibility in the difficult situation we've been in. We have experienced an extremely dry year situation, with the driest harvest and the coldest winter in many years. When we know that 99 pst. of Norway’s electricity supply is based on hydropower, it is not to be avoided that this has consequences in the power market. The government has made a number of proposals, including: on a support scheme for households that will replace electric heating with more environmentally friendly alternative energy, e.g. from heat pumps and pellet stoves. We already see that the interest in twisting the consumption from one-sided use of electricity to domestic heating for the use of other energy carriers is great. This is one of the main challenges: reducing our dependence on electricity for heating. In this context, it is interesting to record the consistent resistance of the Progress Party to getting alternative, new energy sources into the market. They have systematically voted against any transfer of money to the Energy Fund and will liquidate Enova, the main tool we have for researching and commercialising new renewable energy. So the most effective thing we can do to get control of prices is the Progress Party. I find that paradoxical. The applications from Statoil to start up the temporary — or mobile — gas power plants in the West were quickly accepted by the NVE. The fact that the company did not find it profitable to make use of the concession in retrospect is simply to take note of it. But it has to be assumed that the expected price of electricity in the period for which they applied for a concession was too low for them to find the accounting equivalent. The government has now entered into dialogue with the power industry on what is going on to trigger the great potential of upgrading and modernising existing hydropower plants. It's in everyone's interest that the water resources we're already using are used as efficiently as possible. It is to be hoped that part of the modernisation projects that have so far been in the drawer will be brought forward and launched. These are important long-term measures to bring more power into the market, which lead to better use of power. In the short term, NVE has now launched a power saving campaign, which will make consumers aware of the fact that there is still a difficult power situation, even though prices are now falling. The government has proposed to use 20 million. kr to a campaign that can help Norwegian households reduce consumption, and thus also its own electricity bill, with additional measures and distortion of electricity consumption. There is some remarkable suggestion we have to deal with today, especially in the light of who actually travels it. Indeed, in its main comment in the vote on the budget for the 2003 framework of the Ministry of Oil and Energy, the Committee of the Regions states that: «is intended to energy as any other commercial product to be freely marketable and to be freely used by those operators who purchase energy on the market at all times, without any public interference». Furthermore, they write: ‘These members believe that there should be free competition between the various forms of energy carriers, without any form of subsidisation. Neither will these members use taxpayers’ money for other measures aimed at changing energy consumption, nor will they use increased taxes as a means of altering or reducing consumption. Any ENØK measure must be based on the economic gain of the individual.» When we look at these comments in the light of the proposal we have before us today, there is reason to ask how long the principles of the Progress Party actually last. The question that is also natural to ask is: Do not be afraid of what they have done and said in the past, for example. the strong commitment and belief that the market will regulate everything, when prices resulting from the free market are increasing? The Government Parties consider that the proposal of the Advance Party must be rejected. The gas turbines to which a concession has been proposed will be considered an exceptional measure that the Ministry of Oil and Energy is able to implement if the situation in the West so permits. Per. Today we are not in such a situation, although the situation is serious. With regard to the proposal to support this financially, it is, in the first place, irreconcilable from what I mentioned earlier. Secondly, the government parties on the Stortinget believe that financial support for such a measure is only relevant if the established market mechanisms, in which the Progress Party also has very strong faith, are not capable of ensuring security of supply. Otherwise, I record in a sense that in this situation, with such a heated debate, there are individual parties that obviously do not dare to see their own choices in their eyes when they now see the consequences of what they have actually fought very strongly to introduce, namely the deregulated market and the new Energy Act of 1991. The party of progress was in the front row. So now some of the voters of the Advance Party are a little bit concerned about the power bill, and then you run away from this principle and say, "We're not responsible for this." The Progress Party is co-responsible for the situation we are in. I must point that out from this pulpit. It should also be said in the light of the contribution from the Workers' Party that creating the impression that only the Workers' Party had got what they wanted, there would have been so much more power in the market. It's, with respect to reporting, not the situation. I feel that what the Government is doing through the will of action it is now showing the situation is taking responsibility for what it has been doing in the past, and for the difficult situation in which we stand in the middle. I wish the parties mentioned had done the same thing, but that is perhaps hoping too much. Finally, let me then recommend that the proposal contained in Document No. 8:51, is rejected by the government parties.
ParlaMint-NO_2003-02-06.ana.ud2316e1037	The 1991 Energy Act has mainly worked as long as we have had plenty of energy. It has led to lower energy prices, and it has led us to avoid unnecessary expansion of new watercourses for a period of sufficient electrical energy supply. On the other hand, I think we all have to admit that in the situation we are in now, with the scarcity of electrical energy, the Energy Act has not proved to be equally satisfactory in terms of meeting the needs we are now facing. I don't think it will be in the years to come either. There's only one thing that will be crucial for whether it's being built up new capacity, and that's the price of electrical energy. That's why those who now make up speakers for the expansion of gas power plants are taking completely wrong when they think that the expansion of gas power plants would have saved us from the situation we're in today. When gas power plants have not been built until now, it is simply because prices have been too low. Because that's a concession. With the help of the Government, a concession has been granted for the construction of several gas power plants. They are not built, for the simple reason that prices have been too low. Even with today's high prices, concessionaires will not build up gas power, simply because they expect the future price picture to be such that it will not be profitable. This shows one thing. It shows that authorities need to intervene in order to ensure sufficient energy supply in the future. That's going to be the big challenge. It is remarkable that this proposal comes now, just a month after we dealt with the state budget, where the supply of electrical energy was almost not a topic. It was almost not inside the discussion at all. Statkraft and Statnett were deprived of almost all opportunities to make investments. In particular for Statnett, this is the case, with the high yields that the government parties and the Progress Party were able to achieve. It's a paradox that at an earlier stage you weren't able to deal with the energy crisis that we're now facing, either from the Government's side or from other parties here in the Chamber. Already in October it was clear to everyone that we would go into a period of low water and high electricity prices, and at worst a precarious supply situation. At that time, the Minister of Energy insisted that there was no basis for believing that prices would either rise or that we were heading towards a crisis. As late as the end of November, there was still a significant export. We have contributed on our own to putting ourselves in a very difficult situation. This should have been addressed at an earlier point in time. Proposals for alternative energy support schemes should not have been launched a short month after the budget was adopted – support schemes for the installation of pellet foam, heat pump, etc. That is a good suggestion. It will, of course, receive the support of the Centre Party, but this should have been included in the budget. One should have been able to predict the situation we are now in. The proposal put forward by the Progress Party will not at all remedy the situation. What is needed is to respond quickly to the challenge we face. The centre party considers it necessary to look at both energy law adjustments and grant funds to have existing power plants upgraded. We have a great potential to extract, maybe as much as 10 to 15 TWh. But those terawatt hours are not going to be taken out without the involvement of the authorities. They will not be released if only the market is essential for the investment and upgrading of existing power plants. It is necessary to strengthen the scheme of grants for alternative energy. It is also necessary, as the Centre Party proposed as early as October last year, for emergency reasons, to require a minimum level of water in the warehouses at the given time. It's totally wrong to think that this will lead to high prices. This may lead to high prices in periods, but it will lead to more stable prices. And the most important thing: it will lead us to avoid getting into acute crisis situations where we will see at regular intervals the face of the Council of State in the newspapers, and where the need for rationalization is discussed. It's a situation we as an energy nation shouldn't sit in.
