ParlaMint-NO_2003-11-05.ana.ud2613e28	The called alternate of the Aust-Agder County, Liv Marit Moland, has taken the seat.
ParlaMint-NO_2003-11-05.ana.ud2613e1298	The background to my question is a decision on the board of Health North, and I would like to quote the following: ‘The available material indicates that the intentions of the decision’ — i.e. an enhanced feeding room prepared for acute operational redemption — ‘are not advisable. The establishment of an enhanced feeding room on the present basis could give the impression of a safety for those born who have good reason to ask professional questions.» Instead, a midwifery nursery will be established at the Hålogaland Hospital Narvik, a matter well known to the Minister of Health. I am also aware that the Minister of Health has given relatively clear instructions in relation to what he expects from the hospital in Hålogaland. So, based on the statement the Minister of Health now gave, the perfectly correct description of the criteria used by Stortinget, I cannot see the Minister of Health in any other way than that the thinking on the basis of the Health Nord Board does not share the Minister of Health.
ParlaMint-NO_2003-11-05.ana.ud2613e1308	The matter the representative of Enoxsen now refers to is a matter that has been dealt with by me in the business meeting in June this year. I then made several assumptions that needed to be in place so that a change could be made from a maternity ward to an enhanced midwifery nursery. What I have registered, without having yet got into the matter thoroughly enough, is that the assumptions so far have been difficult to fully meet. I have been told by the board of Health Nord that I will study thoroughly before giving a feedback to Health Nord about how they will follow up this further. But it is my clear intention that the assumptions that were made for this conversion should also be realized.
ParlaMint-NO_2003-11-05.ana.ud2613e1313	I thank the Minister of Health for the answer. I have a pile with a significant press coverage of this matter. It appears that the intentions of the Minister of Health at the Enterprise Meeting were not initially met by the Health Nord Board, which apparently would not meet the demands of the Minister of Health. I assume, on the basis of what the Minister of Health has now said, and on the basis of the signals given by the surgeons at the hospital in Narvik, that one will be able to assist with, among other things. section of the emperor, that the Minister of Health is following up and ensuring that the requirements he has set are met.
ParlaMint-NO_2003-11-05.ana.ud2613e1320	It is my clear intention to deal with this matter, that the assumptions made by the company meeting should be followed up. It's not my impression that there's a question of the will of Health North. It is more a question of how far you have come to actually be able to implement the kind of assumptions that I made.
ParlaMint-NO_2003-11-05.ana.ud2613e1328	I will ask the Minister for Health the following question: ‘Health enterprises are required to make further changes and shifts in the service provision in the 2004 government budget. Now it is announced that health businesses will divide and compartment the business, among other things. by bringing together different professional specialities. This will tear up good, established chain of interaction, among others. weaken emergency preparedness in the case of an emergency hospital that is currently fully in place. What will the Council of State do to prevent this?’
ParlaMint-NO_2003-11-05.ana.ud2613e1337	It is not clear from the representative's question which measures it is aimed at, so I have to answer in general, but I will try to exemplify my answer. Measures have been in place for a long time to create larger and more robust professional environments within enterprises. For example, health centre Norway has established joint hospital management for hospitals in several disciplines within the same enterprise. There will be important measures to establish better professional networks, to ensure the dissemination of skills and thus to improve the quality of professional work. In some contexts it may also be important and appropriate to bring together trade union specialists in one place to increase the quality of the offer. As I suggested in my reply to the representative, Mrs Schjälaa, according to the overall leadership of the Storting, a number of measures are now being taken to increase the quality of treatment in certain disciplines. I mentioned the example of breast surgery. In several areas, there is a positive link between volume and quality, and it is an important dimension of a good quality hospital provision that treatment provides good and preferably optimal medical results. I receive e.g. not many protests from patients who have to go a long way to the Rikshospital or to the Radium Hospital – when they know that those who are being offered treatment for a special disease condition or who have to undergo a particularly demanding treatment – because they recognise that the highly specialised competence cannot be available throughout the country. With regard to the organisation of emergency preparedness in small hospitals, there is a very important question, where different dimensions of quality have to be weighed, which I have had in several of the answers in today's Question Time. It is the balance between the quality that can actually be obtained with a specialised offer of a small patient volume, where the local professional community does not gain practical experience, assessed against the safety of a hospital with a wide range of services, which is crucial to the population. At the same time, proximity is an important dimension of quality and safety. It is necessary to define clearly which emergency functions should be covered by a local hospital, not least within the surgical disciplines. The Ministry will continue to work on this in future, in cooperation with, inter alia: The Norwegian Medical Association. Interactions between different institutions and levels will be ensured through mechanisms other than those possible by entering the status quo. This is why we recently appointed a separate sample that goes through responsibilities for interaction between primary and specialist health services, among others. with a view to supporting the most effective action for good interaction in order to improve the framework conditions between service levels. With regard to the 2004 draft budget, I would like to point out that implementing structural changes is not the only way to achieve an efficiency requirement. What I'm adding to the budget is, first of all, to focus on a better and more conscious priority. Patients who need the most should be offered treatment first. The proposal to reduce the ISF rate from 60 pst. to 40 pst. reflects this. In my view, the debate to which the Central Party is inviting, where structural measures and requirements for efficiency are being made, is a blank track that should not be followed.
ParlaMint-NO_2003-11-05.ana.ud2613e1352	I thank the Council of State for the answer. There's no blindtrack we're following here. We're dealing with this with making structural measures and improving efficiency into one and the same thing. It's happening around our country now, and that's why we want to take it up with the Minister of Health. There is a fragmentation of interaction chains in hospitals, where, for example: places orthopaedics in one place, soft surgery in another, neurology in a third, perhaps, and that fragmentation causes a bottled interplay chain and disciplines for the totality offer that should really be at a full hospital. This is very dangerous, not least because the emergency response will be gone. It's the one that's very important, and that's gone back in the questions here all the time. I want to ask the Council of State if he, based on what he has said about clearer defined emergency functions at the local hospitals, will stop what is happening now, before it is too late, and calm down part of the degradation and relocation of disciplines, so that we can get these requirements in place before anything happens.
ParlaMint-NO_2003-11-05.ana.ud2613e1363	It is impossible for me to answer a question that is so general. I think the representative of Luttvold will acknowledge with more thought that the system I have to deal with is the system that Stortlinget has adopted. This means that the Stortinget draws up the framework conditions, and the Stortinget adopts the budgets. It is now in the hands of the Storting. The size of the population adopts the overall health policy leadership, and the Council of State governs it through business meetings. I cannot deal with the individual hospital wards and individual proposals through the Stortinges Question Time, whether they may be at the investigation stage or at the sketch stage. I will deal with the final decision, and I take responsibility for it, as I have said repeatedly today.
ParlaMint-NO_2003-11-05.ana.ud2613e1368	I thank the Council of State for the answer, but I think it was very poor in relation to what was the main point here. The main point is concrete enough: to maintain an emergency response where people live, so that they have this security. As the Minister of Health himself has pointed out, security and proximity are important quality concepts here. I still have the same question: Does the Minister of Health think that one should be asking about a part of the reduction, division and sectionalisation that is going on professional mobility now, and gathering at various hospitals, so that one can feel that this with emergency preparedness is being properly cared for? At the same time, I agree with the Council of State in what he has said, among other things. on the generalist. I agree that some of the specialities need to be brought together. For example, the highest degree of competence is required. be at the Rikshospitalet and Radium Hospital. There's no disagreement. But that's keeping a basic unit of specialities that can interact, which is important.
ParlaMint-NO_2003-11-05.ana.ud2613e1377	I choose to say it positively: I am committed to ensuring a decentralised and sound emergency response in Norway. It's a guideline that I'm following, and that I have from Stortingen's treatment of the emergency message. It would be directly irresponsible for me to accept the invitation to freeze the status quo in the hospitals and stop all conversion processes. Indeed, the size of the population has just decided that hospitals should carry out conversion processes in terms of food supply and emergency services. The size has called for more efficiency through the budgetary procedure. You may disagree with that, but it is, after all, the agreed framework conditions of the Storting that I, as Minister of Health, have to deal with.
ParlaMint-NO_2003-11-05.ana.ud2613e1388	I will ask the Minister for Health the following questions: «Health Stavanger is one of many examples of job opportunities in 2004. The Director of Health Stavanger must remove 200 settings. He says to Stavanger Aftenblad that even faster printing practices must be evaluated. Does the Council of State believe that the municipal health service in different states today has the competence and resources to take over patient groups of hospitals does not have the means to deal with them, or will he take action to ensure greater health-care security for patients, relatives and members of the municipal health service?’
ParlaMint-NO_2003-11-05.ana.ud2613e1397	If the President permits this, I will use this opportunity in my last reply today to thank the Central Party for keeping the Minister of Health at work. Otherwise, I will reply as follows: Regional health establishments have overall responsibility for providing the population of the region with the necessary specialist health services in line with laws, regulations and administrative provisions and within a given financial framework. This responsibility could also lead to the need for individual health businesses to make the necessary adjustments in order to carry out the tasks assigned in the best possible way. However, this does not mean that patients or tasks for which the specialist healthcare service is responsible should be transferred to the local health service. Printout practices must and must be based on medical judgements and requirements of soundness. As regards the proposed measures in Health Stavanger, they include: based on the desire to optimise bedtime, taking into account that Health Stavanger has an average bedtime higher than the national average. The decision of the Management Board also provides that any decommissioning shall not alter the planned level of activity. Medical developments are leading to a constant shift and transfer of tasks between levels of treatment in healthcare. Conditions previously treated during hospitalisation can now be treated in day surgery or outpatient settings. Hospital conditions have also decreased, among other things. due to the development of medical technology which makes interventions less debilitating than before. More gentle treatment and provision of care services in homes and hospitals are for the benefit of patients. It's actually a decentralizing trend in medicine. The consequence is that municipalities are given more nurturing tasks than before, and in some cases also a transfer of specialised tasks. It is presented in a report published by the Health Care Authority in the municipalities. Nevertheless, the report, which came in October this year, shows that the extent of the problem is relatively limited. It is the decision-maker who is responsible for the necessary medical follow-up in the municipal health service after hospital discharge and who has a coordinating role in this respect in relation to the need for other types of services. The medical coverage in municipal health services has improved dramatically in recent years and is currently good, with the exception of some areas in Sogn and Fjordane, Nord-Trøndelag, Nordland and Finnmark. A continued increase in access to doctors is also expected in 2004. A number of measures have been put in place to facilitate better interaction between primary health services and specialist health services and to strengthen the decentralised service provision, in particular in relation to so-called grey-zone patients and in relation to the reception of pre-treated patients. The aim is to create an overall offer for the patient, with good continuity of treatment, and to stimulate treatment near the patient’s residence when it benefits the patient. In the light of the challenges we face in this area, I have taken the initiative to set up a public body to assess all aspects of possible instruments that can stimulate better interaction between different actors and levels of healthcare. I believe that the next major reform of healthcare needs to address the integration between the first-line service and the second-line service. I have great expectations for this sample. It also has solid representation from the local government sector.
ParlaMint-NO_2003-11-05.ana.ud2613e1414	I thank you for your answer. It is good that the Minister of Health looks closer to this situation and also asks a selection to look at this. But something happens in the meantime. It is this government that has sent out a new regulation that means that patients are no longer called "completed". They're called print-clear. It is this government that has cut the alert time between hospitals and municipalities, and has increased the daily fines. It is this government that has been working hard to compete for the services in the municipalities, now has to be found to be short because health professionals have to turn around and take care of patients who are more in need because hospitals have printed them out faster at short notice. I am surprised that the Minister of Health seems to minimize the serious situation that is now in many municipalities and that many patients know about the body. Would the Minister for Health not do anything more than bring down a selection?
ParlaMint-NO_2003-11-05.ana.ud2613e1423	Is it de minimis to address the challenges by doing so thoroughly that we are actually warning a new health reform? Is it de minimis to instruct health businesses on systematic measures to improve cooperation with primary health services? Is it de minimis to follow that they should make greater use of individual plans to ensure the integrity of the specialist health service to the community health service? Is it de minimis to follow up trials and interventions across the country targeting patients in a grey zone between the first and second line services? Is it de minimis to add more district medical centres? Is it de minimis to suggest that input-driven funding should in fact also apply to decentralised services outside the hospital? Now it is not my job to ask questions in the questionnaire, but I think the answer to these questions is self-evident, and that is my answer to the representative Meltveit Kleppa's question.
ParlaMint-NO_2003-11-05.ana.ud2613e1430	It is good that the Minister of Health is busy with the effects here in the long term. But I'll give him three clear advice in the short term. The only thing to do is to get hospitals more money than they do today, and also to get them involved in getting funds according to the tasks they actually have. They have no more money for the new tasks that the Minister of Health has been carrying out. The second is to support a recruitment plan for health professionals who also focus more on short-term updates — education — for those who are currently working in municipalities. And the third thing to do is to keep up with the patient groups that may have to leave quickly, an acute preparedness that is not so far away that they may be at risk of getting too late. All three of these things the Minister of Health can do something about now.
ParlaMint-NO_2003-11-05.ana.ud2613e1437	I always listen attentively to the advice given to me by the representative Meltveit Kleppa. I'll do that in this case too. I have to say that, in general, I am already following those advices. I allow myself to point out that both health companies and municipalities receive more money in the 2004 government budget proposal, that we actually allocate considerable funds to a health professionals recruitment plan that also applies to municipal health services. Otherwise, I think I have said my own for today as to how I assess the importance of having a proper and decentralised emergency response in our long-term country.
ParlaMint-NO_2003-11-05.ana.ud2613e1446	Then the Council of State Hojbråten will have a well-deserved redemption.
ParlaMint-NO_2003-11-05.ana.ud2613e1452	My question is to the Minister for Oil and Energy: ‘According to a notice published on NRK Text TV on 30 October 2003, Statnett has to improve the line network in North Norway for 4 billion. kr due to the massive wind power expansion in the north. Statnets are feared to be at risk of significant misinvestment on the website if investment in new production and in the power grid is not coordinated. What are the total costs – power grids, State subsidies/tax reliefs and construction investments – in order to achieve the objective of 3 TWh wind power in Norway?’»
ParlaMint-NO_2003-11-05.ana.ud2613e1461	The wind power potential is high in North Norway, especially in Finnmark. North Norway has surplus power in the summer and is in balance in the winter period. With large investments in new wind power, the area will have a surplus of power all year round. Therefore, in order to exploit the wind power potential in North Norway, it is necessary to invest in the network. The size of investments depends, of course, on how much wind power is realised and on the location of individual installations. Several wind projects in North Norway have been submitted to the NVE in notifications and in concession applications. According to Statnett’s ‘Net Development Plan for the Central Network 2003-2020’, the central network needs to be strengthened in order to realise large wind farms in Finnmark. In total, the total network costs of realising about 1000 MW in North Norway are earmarked for approximately 4 billion kroner. However, up to 650 MW can be realised in the whole of North Norway without a major need for network reinforcements in the regional and central networks. The expansion of transmission capacity from North Norway due to extensive wind power deployment is assessed by Statnet in the same way as by other major power deployments. State networks shall base their investments on socio-economic criteria. In addition, the NVE will take into account network issues in its concessional treatment of new wind power projects. A number of wind power projects have been applied for and granted concession in Norway. I would therefore like to stress that 3 TWh wind power is not necessarily built in North Norway. In the case of other localisations, the need for, and thus the cost of, network reinforcements may be reduced. The representative of Korsberg requests the total cost of achieving the objective of 3 TWh wind power in Norway. This will depend, as I said, on the location of wind power, and there will therefore be considerable uncertainty about estimating total costs. In the case of State grants, this amounts to up to 10 pst today. of the investment and up to a limit of SEK 600 000 per year. MW. This totals approximately 600 million. kr for the expansion of 3 TWh wind power, provided an operating time of approximately 3000 hours. Enova grants investment aid on the basis of project applications and prioritises applications, inter alia: by energy efficiency per Support crown. Investments in wind power generation vary according to location and availability of the plant. It is calculated about 8 million. kr per. MW installed power. This involves investments of around 8 billion kroner, still based on an operating time of 3000 hours. Over the last few years, a reduction in costs associated with wind power generation has been observed. It is natural to believe that this trend will continue as there is a strong growing market for wind turbines while improving technology.
ParlaMint-NO_2003-11-05.ana.ud2613e1478	I thank the Council of State for the answer. We have a power deficit in Norway and the Nordic countries, especially when it's dry. One of the possibilities to get out of it is to build gas power plants. That's not what the government's doing. It wants to have a full scale gas power plant with CO2 handling, and it is 8 to 13 years ahead. In other words, you have to get help from abroad. The England cable is wired, the cable to the Netherlands is currently in blue – costing approx. 4 billion kroner – and the German cable, which goes towards the Nordic countries, does not have full effect, i.e.: Last winter it was probably 39 pst. At the same time, the Governor of Statnett, Grete Faremo, informed yesterday at the Statnett conference that seven million were to be spent. kr to strengthen the network in Norway over 10 years. Does it include wind power, or does wind power come in addition?
ParlaMint-NO_2003-11-05.ana.ud2613e1485	As I said in my first answer, wind power is considered to be all other energy production, including in terms of grid expansion. Where there is a need to strengthen the network, Statnett is responsible for implementing the necessary network reinforcements. In my opinion, Statnet also has the necessary capital base to do this. It is Statnett that has the overall responsibility to make those assessments. They will, of course, always follow the location of each energy production, whether in terms of hydropower, wind power or any other form of power to be transmitted through the central network. Based on these plans, Statnett will make its investments. The figures to which the representative of Korsberg refers will then – as I understand it – refer to the overall plans for grid reinforcements, regardless of what is the energy source.
ParlaMint-NO_2003-11-05.ana.ud2613e1492	I thank the Council of State for the answer. In its first response, the Council of State said that in total the total network costs of realising around 1 000 MW in North Norway are earmarked for approximately 4 billion kroner and that up to 650 MW can be realised in North Norway in total without a major need for network reinforcements in the regional and central networks. In other words, if you take out 1 000 MW, it costs 4 billion kroner, and you actually get 350 MW more. Does the Council of State think that is a reasonable use of NOK 4 billion?
ParlaMint-NO_2003-11-05.ana.ud2613e1499	I would like to stress that if you were to realise 1000 MW of other energy, for example. hydropower, in which I understand that the representative of Korsberg is very interested, would trigger the same costs. I would also like to point out that in the case of investments in network costs, there will be a step-step curve. One will arrive at a point where the capacity of the existing network will be too small. There will then be a threshold where you will have to invest significantly in new network costs. It could give a room for increased expansion until the next step has to be taken. That's the way it's going to be. This is a problem which is not specifically related to wind power but which concerns all energy production, whether wind power, hydropower or another form of energy to be transmitted through the central network.
ParlaMint-NO_2003-11-05.ana.ud2613e1509	I allow myself to ask the following questions: ‘The experience of free choice of school in Oslo shows that the admission system has led to strong segregation between high school students. Immigrant youth from all over Oslo gathers in schools in the Groruddalen, while ethnic Norwegian youth travel the opposite way. On the general line at Hellerud vgs. has 80 pst. of the 1st classes, the minority background, and the school are struggling with the learning environment, language development and falling character levels. How does the State Council view the scheme’s impact on the Grand Duchy’s objectives of quality improvement in schools and greater integration?’
ParlaMint-NO_2003-11-05.ana.ud2613e1518	The representative of Lena Jensen suggests that the admission system in secondary education in Oslo has led to strong segregation. Furthermore, the question implicitly arises that the high proportion of the school’s minority language pupils is the reason why ‘school is struggling with the learning environment, language development and falling grades’. The higher education admission scheme is the responsibility of the school owner, in this case the municipality of Oslo. The difference between the school owners who have taken free school choice and those who do not have it lies in the admission process. Countries that have free school choices take into account students ’ wishes for both school and study. In counties without free choice of school, only the desire for direction of study is taken into account. However, even when entering a popular course of study in non-school-free countries, there will ultimately be grades that determine who is admitted, as was the case in Oslo earlier. In addition, the question of free choice of schools is closely related to the school structure. The county councils are responsible for facilitating their provision in higher education so that there is a good dissemination between schools of the fields of study, vocational training and the fields of activity offered by the various schools. In summary, the admission process can take into account both grades and places of residence, or only grades. We know that Oslo is characterised by strong residence segregation, and this does not result in a higher degree of heterogeneity ingestion based on residence. In primary school, the admission system is based on residence. We know that many primary schools have an equal proportion of minority language students. Weaknesses in one intake system must therefore be weighed against weaknesses in other intake systems before drawing any bastant conclusions. The Oslo School is today a multicultural school to provide quality training for all students. Better learning outcomes and a good learning environment are a challenge for all schools, and dissemination of attitudes and expectations to students is necessary for both minority and majority language students. A good school provides a teaching that is adapted to each individual student and takes the necessary steps to stimulate a good learning environment. Earlier this year, we have seen that in a year's time in Oslo, the kindergarten achieved a very good improvement in reading skills among students with a minority background. Recent studies from NCIU show that from 1994 to 2002 there has been a significant improvement in the implementation of minority language secondary education students, especially in general education. In the autumn of 2002, implementation was measured in relation to students who started in secondary education as 16-year-olds in 2000. There were about as many people who followed normal progress among majority and minority youth. However, the Ministry of Education and Research is aware that there is a need for specific efforts towards linguistic minorities and will in the near future present a strategy plan with several measures aimed at improving training for minority language pupils. I think it is a pity that students with a minority background should be accused of degrading the learning environment at a school and would point out that all schools have to invest in quality development regardless of the proportion of minority language students. Oslo has several examples of schools that have experienced poor search and poor implementation in secondary education, but which have reversed development and achieved very good results in relation to both learning outcomes and the environment. Quality improvement in schools must be a common challenge for schools, school owners and government authorities.
ParlaMint-NO_2003-11-05.ana.ud2613e1540	I thank you for your answer. As the council says, it's the school owner's responsibility. But the Council of State also has overall responsibility for education in Norway and for developments in Oslo. The experience of free schooling in Oslo is clear. The free choice of schools is in many ways a bluff. It's free schooling for only a few, just for those students who have fun, for those students who master the norm that the school has set, for those with parents who have high social capital and high education, and who have a good cultural capital. The losers in this system are the foreign-language students. We're obliged to do something about this. The development seen in Oslo School is in many ways against the objectives of the Education Plan, against the Training Act, against the political effort we have towards strengthening Norwegian education and integration in society. I would like to present a challenge to the Council of State: Will the Council of State come back to Stortingen with a fairer model of alternative admission rules, possibly a quota?
ParlaMint-NO_2003-11-05.ana.ud2613e1553	The President would just like to point out that ‘bløff’ can hardly be said to be parliamentary vocabulary.
ParlaMint-NO_2003-11-05.ana.ud2613e1556	No, I'm going to leave to the school owner, namely, in this case, and municipalities in the case of primary schools, to determine the admission rules, as we've had it, and which are good according to what all parties meant in the election campaign in the case of local democracy. I think there are quite a lot of strong words and claims about causality that I think will be difficult to predict. It sounds as if the representative Jensen has retrieved information from a TV 2 programme called the Ghetto School, an expression I take from. That program spoke on the one hand about white and good students and on the other hand about dark and weak students. The strength of that program was that it pointed to a challenge, a problem. It is not in itself a problem that a large proportion of people with immigrant background go to one school. What can be a problem is if this leads to a very one-sided environment or major language problems. But the great weakness of that program was that it was taken for granted that it was the intake system that caused this. I don't think that can be coated. The neighbourhood school, which is a primary school, also has a very high proportion of immigrants, or a proportion of minority language students, as a result of the residence segregated government. This has been discussed in the United States since the 1960s when they discussed ‘busing’. Now I hear that the representative Jensen is making a similar proposal, namely quotas. I think it's going to give rise to very strong reactions if we start quotas on the basis of ethnicity and minority language background. That, I think, will arouse strong reactions. So weaknesses of one system have to be weighed against weaknesses of another system.
ParlaMint-NO_2003-11-05.ana.ud2613e1563	I agree that it is not a good solution to use expressions such as ‘getto school’ and that stamping schools is not a way to solve the problem either. What I'm trying to get is not that there are A and B schools in Oslo. What I want to find out is that Norwegian education is basic and important in Norwegian school. The experience of this system that has emerged in Oslo now, with a build-up of minority language students in some schools, is in many ways detracting from Norwegian education. You can, for example: to illustrate this by comparing with a sweat cheese: more and more holes can be obtained if you weaken Norwegian training. Then you will also weaken the knowledge-bearing concepts of other learning, and next time you will create losers in the long term. My question is again to the Council of State: What kind of action will the Council of State take to prevent this development?
ParlaMint-NO_2003-11-05.ana.ud2613e1572	I disagree that the representative here has not claimed that these are A and B schools. The whole question and justification for question 1 and question 2 add up to it in many ways and add up to a kind of notion that all minority students also speak poor Norwegian. But half of the minority students in Oslo do not have any special Norwegian training, simply because they speak Norwegian just as well as the Norwegians. However, if you want to do something about language training – and I agree with that is very important – I think we need to take action much earlier than in high school. This is when it comes to introducing measures in particular at primary school, but perhaps also measures before starting school, so that the starting point is just as good for everyone. We're going to take more initiatives to do that in just a few days, in fact, we're going to put forward a comprehensive strategy, a plan, with more measures to improve the minority language situation in school. I have to add that they're ordinary students, because the multicultural school is the ordinary school in Norway. Nevertheless, we know that there are people who are struggling with special problems, and we have a responsibility to take care of them. But it has to be solved somewhere else and a long time before you get to the admission system in higher education, which has relatively little to do with this, in my opinion.
ParlaMint-NO_2003-11-05.ana.ud2613e1583	My question to the Minister for Education and Research is as follows: ‘The Sem Declaration clearly refers to education with many school policy objectives. But there's not a word about parents. In fact, the word ‘parent’ does not appear in Chapter 7 of the Sem Declaration on Education and Research. What are the Councils of State doing to strengthen parental involvement, influence and decision-making in schools?’
ParlaMint-NO_2003-11-05.ana.ud2613e1592	Let me first say that the representative Sortevik has probably noticed that we have already done a lot, including in common, which is not in the Sem statement, so it is not necessarily proof that it is not important what is not there. But parents have an important role to play in children’s development and learning. I have focused on listening to parents' experiences with working with the school. On 4 February 2003, I invited a college seminar on user involvement in school. The aim of the seminar was to obtain knowledge status and ideas in the field. A wide range of stakeholders were invited as participants, and their parents were represented as both beginners and participants. These include representatives of the parent network and the Parent Committee of the primary school. The parental network, as I have just mentioned, is a dialogue forum for discussing current issues and a listening point for the Department's political leadership. I have initiated the creation of this wide-ranging network, which had its first meeting on 9 October 2002. In the current year, the Parental Committee of Primary Schools has been allocated funds for the development of ‘Electronic ParentNET’, which is an online information offer and a venue for discussion and exchange of experience. FUG has also received funding for a three-year project that seeks to exploit the resource that minority-language parents represent. The main objective of this project is to increase the safety of parents with a minority background compared to Norwegian primary school children. Projects were proposed to be continued in 2004. Rogalandsforschung has evaluated FUG and delivered its report «Saman for school» on 15 June this year. I will discuss the report in meeting with the FUG on 7 November, i.e. in the near future. Cooperation between home and school in secondary education has been examined by NOVA. The results of the report were published at the Research Conference of the Centre on 13 October this year. Two of the projects in the Reform 97 evaluation have the relationship between home and school as the main concern. The quality committee's investigation discusses the cooperation of home school in a separate chapter. In the hearing I have had my own meetings with the users, including meetings with parents. Parents have contributed useful and interesting views. The results of all of this, the studies and hearings and all the dialogues we have had, will form the basis for the work on the big message to be submitted to spring, where this will be a topic.
ParlaMint-NO_2003-11-05.ana.ud2613e1611	I thank you for the answer, and I am glad that the Council of State among several references also refers to the study by NOVA, which is quite fresh, and which specifically takes into account the parents' involvement, influence and decision-making authority in high school, because there it is formally quite absent. The study asked 1,700 students and 900 parents. I can mention that by the class managers it is 17 pst. who have not held parental meetings, and 40 pst. who have not held conference hours. What will the Council of State do to follow up this submitted report, which has clear conclusions and clear evidence, except to come up with the likely response that we are waiting for the quality committee report and its treatment in Stortinget.
ParlaMint-NO_2003-11-05.ana.ud2613e1618	We're going to deal with this in that big message, and then I think there's two issues we need to address. One is the formal possibilities for participation and parental participation in school, and the other is the real involvement. Quite a lot of researchers point out that formality has very little meaning if it's not really good. We're probably going to discuss these questions a little bit pro a contra. It's probably right that most people point out that positive parental participation is actually positive for the learning environment and the learning outcomes. But it is probably also those who point to certain dangers in the other direction, namely: Can there be a risk that this will reduce the opportunities for social mobility, that it will help to maintain differences in school? And is this also becoming burdensome for some parents in certain contexts? Among other things, I refer to: to the discussion on homework and homework. We are going to discuss these issues and include all investigations in the communication. I think it's a very interesting topic, and it deserves to be highlighted perhaps somewhat wider than we've been used to doing in Norway now.
ParlaMint-NO_2003-11-05.ana.ud2613e1627	It's probably true, as the Council of State says, that you have to distinguish between the formal and the real. However, in my opinion, it is doubtful that the formal basis – and now I am going back to primary school – for parents' involvement, influence and influence must be considerably strengthened. In primary school, this participation is what I would call based on loveliness, inability and non-obligatory pronunciation. Therefore, my question is: what will the Council of State do to bring parents closer to governance, into a governing function, and will the Council of State be in favour of applications for parental school trials? I know that such an application has been sent from among others. Our municipality in Hordaland.
ParlaMint-NO_2003-11-05.ana.ud2613e1634	I am not particularly familiar with that application, but in general, the current political leadership and the government have announced that we want to have a liberal attitude to experimentation as far as it is within the existing legislation, and there is a great deal of local outreach about the attempt you are applying for. Then we have also delegated the right to grant such attempts. I can't finally answer what the government will do about this topic formally. All I can say is that the representative Sortevik raises very interesting and very difficult questions about the balance between participation and the ability to influence and responsibility, which are very important prerequisites for such influence to function. The other thing that is very important to study more is what I know is that both the representative Sortevik and I heard more about yesterday, namely whether parents who are engaged are on behalf of all children or just on behalf of some children. It is also quite essential that we succeed. I hope I can facilitate a good and broad discussion in Stortinget, but unfortunately not until spring.
ParlaMint-NO_2003-11-05.ana.ud2613e1648	‘Alumni in primary school who are going up to the spring math exam shall take part of the PC exam. The educational centre writes in a letter to the school owners that there is still a major shortage of equipment and skills among teachers. A prerequisite for the application of ICT in the take-off tests must be that the students have received the necessary training. What will the Council of State do to ensure that each student has a sound examination?’
ParlaMint-NO_2003-11-05.ana.ud2613e1655	The elementary school curriculum, L97, which was established in September 1996, states that ICT is to be used in training. L97 contained the following reservation: ‘However, when information technology is involved, the intentions of the plan must be gradually implemented and adapted to what is economically possible for municipalities.’ [[IT]] In the summer 2002 circular from the Ministry, the reservation was cancelled, among other things. intended for ICT to be used in primary school education in accordance with the objectives of curricula from the 2002/2003 school year onwards and for ICT to be used in central/localised tests as of spring 2004. The municipalities were informed of this in the 2002 municipalproposal. In the hearing on the reservation, there was broad agreement on the need to suspend the reservation. During the period 2002–03, the State has committed considerable amounts of continuing training of teachers in the use of ICT. On this basis, I believe that the municipalities have had good opportunities to prepare for the use of ICT in the training and the departure test in the spring of 2004. Schools going to a written test in mathematics in the spring of 2004 need to facilitate students to solve parts of the test using computers as an aid. One has chosen science mathematics this first year, because the math exam can be put up with a rolling system where each student gets access to the computer in about. Forty-five minutes. Such a system may be defended in the light of the following: 1st@item: inlistbox The objective of the L97 math plan clearly states that students should have knowledge of the use of IT aids and be able to assess gradually which tools are appropriate in each situation. Students shall be able to use databases, spreadsheets and other computer programs and shall have knowledge of the use of computers in graphing and functions. The take-off tests must be arranged in such a way that they are in line with the objectives of the curriculum.2. The regular written examination in mathematics has been organised for a period of three years for the use of ICT in the performance of some tasks such as those of students who are used to use this means of teaching, and will also be able to use ICT in the test of departure.3. All schools have been sent three sets of exercises. They also have access to a simple introduction to the use of spreadsheets. General guidelines also inform the schools of what is required by the students during the 2004 test, and provide examples of how the mathematics test can be organised depending on access to machines.
