ParlaMint-NO_2003-03-25.ana.ud1136e47	The representative of Afghan Rafiq, who has been on leave, has once again taken his seat.
ParlaMint-NO_2003-03-25.ana.ud1136e850	I thank the Council of State for its feedback and explanation on what was asked. I'm glad the Council of State shares our concern. However, I am somewhat uncertain whether it is taken seriously enough in relation to what comes to the other end, namely active measures. I look forward very much to the revised national budget, because I understand that there will be something in relation to, for example. tail production. I hope that it becomes a commitment, and will hear if the Council of State can confirm it. It is good that we are now working on increasing the extraction rate. I'm also excited to hear what comes more concretely in relation to it. Of course, it is also good that things are now going on in the Top Leader Forum. But I want to stress so strongly that action is urgent – now! We cannot continue to investigate and expect action to be taken in one year, two or three years. I would like to remind you that over the past year and a half, there have been 75 new unemployed people each day. That trend we have to do everything we can to turn it around. Then more active measures must be taken than those I see from this Government, including in this area. I would also like to ask for answers on what the Government intends to do to try to maintain the skills that we now have in many companies, which now seem to be being outsourced in many places. I have not received a very clear answer to that. Then we have a huge challenge related to the competitive situation in relation to the supplier industry. It is good that the Government is now following up what the Storting has ordered it to do, because there is no doubt that if it really is that the differences are up to 40 pst. – as we have now seen two examples, in Egersund and in Stavanger – between the Spanish yard and the Norwegian yard, the Norwegian supplier industry does not face few problems, but very big problems. I have registered that the Minister of Industry – and I refer to the Business of the Day for Friday, 21 March – has given the same audit firm, which I understand is also the auditor of Dragados company in Spain, tasked with examining whether the Spanish Dragados is receiving support in breach of EEA rules. My question to the Council of State is: Does the Council of State think it is completely unproblematic if this is right, that it is the same audit firm that is going to check if there is something that is not as it should be, or does the Council of State think it is all right?
ParlaMint-NO_2003-03-25.ana.ud1136e863	There are important and priority themes for increased value creation in the interpellant petroleum industry. It is enough that there may be different assessments of some of the measures, and perhaps the order and phase-in of those measures. I don't ignore that. But I see it as vitally important that broad cooperation between the Government and the Storting should be established in order to agree on important objectives for this industry. I look at the further development of the petroleum industry as crucial not only for employment and value creation, but also for the national economy and good management of the petroleum resource. And to that we need a degree of broad consensus in the Storting, just as the Government and the Storing also cooperated on important objectives then St.meld. No 38 for 2001–2002, the oil spill, was dealt with here in Stortinget. I think it should also set the tone for what we're going to do in the future. I share the concerns of the interpellant Sylvia Brustad regarding further development in the oil and gas industry. We are facing quite major challenges and also some changes. The landscape is not static, it's changing. Our competitors are positioning themselves with new skills that create increased competition, and we need to take this into account. So I agree with the interpellant that we need ongoing action, not just the long-term planning. However, all three groups that are now working within the Top Leader Forum – one with tax assessments in the oil industry, another with competitiveness and one with reputation – are fast-working and concrete working groups to come up with measures that can be implemented in the short term when the measures are agreed. When it comes to maintaining competence, I would just like to stress that it is important that a flexible workforce can take on new tasks, and multi-competence will probably be essential to achieve this. Finally, as far as the situation of Kværner is concerned, despite the problematic situations that this group has faced, I would nevertheless remind you that the Norwegian supplier industry can compete and win large contracts, as Kværner did on the Worm Lange, and as Kværner Egersund did, where they got a big contract yesterday. As for the relationship with Deloitte & Touche, I would like to point out that it is under the Minister of Industry, and he is dealing with this issue in relation to the Stortinget.
ParlaMint-NO_2003-03-25.ana.ud1136e876	We in Norway have every reason to be proud of what we have done after 30 years as an oil nation. We'll have to think about that. 30 years ago this resource was found, we had almost no knowledge of this area, while we are currently in the turbulence in several areas. There are currently very few — if anything — countries that can compare with Norway and the way we have managed to exploit our petroleum resources. When an oil policy developed early in the 1970s, set two clear goals, namely that this would be the whole people's property and benefit everyone, and that one would build the Norwegian industry based on this raw material. I think we have to be able to say that we've done well to achieve both of these measurements. Policies have changed forever. One has adapted to new challenges and international game rules, but the two goals have always stood firm and are decisive for the political choices one has made. When it has done as well as it has done, it is because one has been able to make the right political decisions in good time. Now there are black clouds and falling activity. But now, as before, we can reverse this trend. We've done that before. Both at the beginning and at the end of the 1990s, there were word-dried and empty workshops. Both times, it was a good idea to reverse developments. Making a targeted decision made it possible to get the wheels started again. In 1993, Minister of Energy and Industry Jens Stoltenberg contacted the parties and started the so-called NORSOK process. The cost reduction was 20 to 40 p.p., and again the workshops were filled up. In 1998, the oil price and activity dropped, but again the Labour Party, following close dialogue with the industry, managed to make concrete proposals in connection with the revised national budget in 1999, and a decision was taken that led to the reintroduction of the activity and filling up the workshops. We've reversed developments before, and we can do it again. It is important that pessimism is not now allowed to attach itself. Development is not fateful. It is determined by the political decisions, among others. is done here in the hall. By making the right choices we can also get the right developments, but we must be willing to use an active industrial policy, which, unfortunately, the current government sacrificed in favour of an infallible belief in so-called industry neutrality. Recent recessions have been linked to a fall in oil prices. Now, unfortunately, we have also had a time of decline when there is a high oil price. That means we have bigger problems than before. Norway has never been able to compete for the cheapest, but we've been able to compete for the best, and not least we've managed to compete for being a political guide. Unfortunately, I have to say that we haven't been able to take care of ourselves, and Norway has a frame in the last few years.
ParlaMint-NO_2003-03-25.ana.ud1136e889	It is right, as the representatives of Brustad and Akselsen claim, that the situation in the Norwegian oil and gas industry is alarming and serious. The activity on the rigging market is very low, and much of what has been drilled has not produced the desired results. The competitiveness of Norwegian capital is weakened, and oil companies often find it more sensible to invest elsewhere than in Norway. The situation of Norwegian offshore shipyards is very serious as a result of a lack of professional activity, and this can now lead to both the lay-offs, dismissals and fragmentation of the environments of competence that have taken decades to build up. Not only are there fewer jobs to compete for, but we are seeing more and more examples of Norwegian shipyards losing in the fight for the missions, and that these go to foreign yards which at least seem to be cheaper. The size was treated just before Christmas The government's announcement of the oil and gas business. In dealing with this, there were clear signals from oil companies, offshore shipyards and trade unions that the situation was serious and would be further exacerbated if nothing was done. The active substances to be used were equally clear. Give us new prospective areas, give us more money for petroleum research, give us a tax regime that gives us clear incentives for niche and tail production, they said. But what happened? Yes, despite the alarm bells ringing, and ringing loudly, we experienced that the Workers' Party and the government parties were forming an alliance not to do any of the world's things. They so beautifully write in the setting that they want the ‘long-term development path’ for Norwegian oil companies, while not taking the necessary steps to achieve this goal. I reviewed the vote this morning, and the only proposal that the Workers' Party and the Government's parties voted in favour was that the message should be annexed to the Minutes. The Progress Party proposed to open drilling in already allocated licences as soon as the ongoing impact assessment for the Lofoten-Barents Sea had been carried out, if this did not identify new problem areas. In addition, we proposed to reduce a wide-ranging sample to review the tax agenda on the base in order to improve this and to develop tax incentives in terms of niche and tail production. We also proposed that the Government refrain from introducing petroleum-free zones in the northern regions. In addition, I would like to remind you of our proposal for a petroleum research fund of DKK 10 billion, and our proposals for tax relief in advance of wage settlement, which would obviously strengthen our offshore shipyards in competition with non-residents. I now hope that both the Government and the Workers' Party see the seriousness of the situation, and show the power of action instead of just talking, because there is now a need for action, we will be able to get Norwegian oil and gas operations up from the trailer.
ParlaMint-NO_2003-03-25.ana.ud1136e904	Let me start by congratulating Kværner Egersund on the mission of an American oil company. This company clearly prioritises keeping its assignments in Norway. It may be that we need to change the policy and grant new licences to foreign oil companies instead of Norwegian ones, so that we can strengthen the yard industry in this way – to put it ironically. Let me also hope that part of the activity in Kværner Egersund will have ringing effects in relation to Kværner Rosenberg in Stavanger, where an absolute need seems to be to take action to maintain your competence. A few words about what is missing - easy control. Repeatedly, one feels that there is no will to control from the Storing page. On the contrary, it's the will to give away control, and it has some examples of it. We had frigate bags. Norway was going to build new frigates. Instead of prioritizing the Norwegian shipbuilding industry, a priority was given to giving the assignment to the Spanish industry. One could, if one wild, do as the English do, build this in their own country. But the majority wanted to move the job to a cheaper employer. Now, the amount, which was initially $12 billion, came up in $20 billion to build these warships. Another example is Snow White Sake. Statoil has a multiple, with the Labour Party at its head, privatized. They've said they want a company to run business. So you're not supposed to be running this company anymore. The company should govern itself on a commercial basis. That means that one says to Statoil: choose the cheapest solution, because then we get the most money back. That responsibility must be shared by the majority. So it was the bulk of the population who decided to privatize Statoil, which decided that one would operate the way one now operates. Then a laconian can say: Yes, but one did not direct this state company before either. No, but at least one had the ratio. The fact that governments, either from the Labour Party or the Right Party or whatever it might be, were not governed was their choice. But the condition was there, and it's now taken away from the plural. I am pleased that the Council of State confirms that he is now working on the proposal that SV got through unanimously in Stortinget on this with increased extraction rates. It is one of the areas that needs to be addressed to speed up research and job development. It is also the case that a majority say that the conditions for tail production need to be looked at more closely, and one has the problems related to the EU and EEA territory and the distortions of competition that are said to exist. So the government has a job to do now, and it has to come back with a strong signal in the revised national budget.
ParlaMint-NO_2003-03-25.ana.ud1136e921	The issue raised by the representative Brustad in his interview is important and very topical. A broad political majority wants further development of the oil and gas industry by contributing to a stable level of activity, focusing on technology development and further internationalisation of industry. This was explained in connection with Storting’s treatment of the oil and gas message before Christmas. Petroleum activity has been a central asset in society and has a time perspective that is considerably longer than most of our other industrial industries, although we know that parts of Norwegian base are mature, and that some places are technically more difficult to extract. The companies are now in the process of nominating current exploration sites for the 18th exploration concession round, and the Ministry of Oil and Energy aims to allocate sites in spring 2004. The Christian People’s Party is concerned that the two previous search rounds were so discouraging. Promising fields such as President and Solstik did not deliver the expected results. The paradox is that we know more and more about the socket, and we are getting better and better seismic tools. Still, the companies bomb when they look. This shows that we are dealing with an industry where uncertainty is high, and where actors must be willing to take greater risks. The companies that look, lose money, and society misses income and increased activity. It is important that the authorities and the petroleum industry jointly sit down to find out what can be done to bring up the search activity. State Council Steensnæs pointed out in its intervention a number of measures that the Government is now taking to bring up its activity, and it is important that the close dialogue between industry and government through measures such as Konkraft and the Top Leader Forum continues. With regard to the conditions of the supplier industry, it is not only the search results and the interest of the Norwegian socket that are decisive. The krone price and the level of interest rates are also factors affecting the competitiveness of the supply industry in Norway. Operators in industry say that the krone price and the interest rate are the most important conditions of competition. The last three reductions in interest rates in recent years have contributed positively to the Norwegian industry. So the government has contributed to this by keeping the government budget tight. Yesterday the news came that Kværner Egersund got the contract from Conoco Phillips to build a platform in Ekofisk, worth NOK 1.75 billion. In the Address Paper we could read that Aker Verdal is building a platform chassis worth 320 million. kr. These are examples of the fact that it is not just dark in the Norwegian shipyard industry. However, it is important that we find measures that allow us to exploit the high potential that remains on the ground in Norway, and by doing so contribute to less uncertainty in the labour market. This is a common political responsibility which the Government and its parties on the Stortinget also take seriously.
ParlaMint-NO_2003-03-25.ana.ud1136e938	I share the interpellant's concern that the search activity is low nationally. What makes this a source of concern is first and foremost that the rigours today are quite low, and that the oil price is fairly high. But I want to stress that I don't think it's a strange situation. Because if we look at the work of oil companies both in relation to West Africa and the Gulf of Mexico, these areas are also marked by greater stamina than expected just two to three years ago. I have no doubt that the oil and supply industry is our leading knowledge industry, and that it is very forward-looking and more long-term than many would like it to be. That's why I think it's important that someone doesn't at this point blackpaint the situation. It's important because we need to have recurring recruitment to this industry, and we need to have a drive in the development of the technology, especially in this area. At the same time, I think it is important that one does not settle down on the fact that Norway has become good at a number of things, including internationally, for example. mean depth underwater solutions or drilling. We must constantly fight to push technological progress forward in this area, so that this industry can in the future be what is one of the most important things we can do with technology and knowledge. All studies show that technology is the most important competitive factor for this industry — it is not taxation, it is not framework conditions, but it is the technology that is the main competitive factor for the industry. What we should ask ourselves then is: what do we today rate from society in terms of reinvestment in the ability of the oil industry to develop technology? I think that's a good question, considering the huge income society has from this industry. Another aspect, which is also crucial for the competitive factor, is the interaction between the supplier industry and oil companies. What is the problem, when one sees an increasing award of contracts from Norwegian oil companies to foreign yards, is that one can destroy or confound the necessary interaction the oil companies must have with the supplier industry to just develop new technologies, which can once again be groundbreaking internationally. In this picture, oil companies are not alone, they are also dependent on the supplier industry. One good example is that 15 years ago the average extraction rate was 35 pst for the five largest areas of Norwegian cap. Today it is 53 p.m., and that means an increase in revenue both for the companies and for the state through an increase in oil extraction of approx. Four and a half billion barrels of oil. In terms of both tail production and extraction rates, it is important, but it is our will and ability to reinvest society's resources in technology development that will be significant. I would also like to mention that the Central Party has recommended to the Government, in the context of the revised national budget, to return to the type of competence enhancement programme that was used against Aker Verdal, launched by the central government in 1999, which is precisely adapted to the knowledge and cyclical everyday life of the supplier industry.
ParlaMint-NO_2003-03-25.ana.ud1136e953	The search activity on Norwegian pedestal falls and in 2003 will be at the same level as in 1968. The findings are getting fewer, and the findings per. The well has fallen dramatically. This is the picture per person. today. I think it is necessary to launch more measures. I think we need to go into concrete measures that can improve the situation, and we need to get more governance of developments in the future, so that we get better use and a better employment situation. I will mention the following measures: Firstly, a uniform and stable allocation policy, where extraction permits and allocation of blocks and areas take account of employment and stability for the whole industry. Secondly, a more predictable and stable rate of expansion, taking into account the industry’s capacity for new construction. Thirdly, a more predictable and stable maintenance and modification activity on the base. In practice, this means that the Storting must make clear decisions, such as: implies: opening the unopened areas of Norwegian continental shelf extraction permits gives the right to exploit and increase production bets on the development and operation of marginal openings for a better taxation of small and marginal fielded concessions that are not used within a reasonable period of time, withdraws all actors who can promote good development solutions within Norwegian standards and have a strict framework for health, environment and safety, provide opportunities for participation in the operation and production of small and marginal field-increased bets on user-driven research and development, and the bet should be long-term and have predictable framework conditions If we do this, I am convinced that it will give us greater opportunities for stability and increased employment in the future as well. Norwegian oil and gas industries must form part of more committed cooperation in order to do each other good. Oil companies must take on seriously what they say about cooperation when new projects are to be developed. The debate on the award of the contract on Snow White is a poor example of such cooperation. Our main competitive advantage is overall delivery, design, compilation and completion of major tasks at the right time, high levels of competence and high-tech solutions. That's what we have to do together now. This is where the Government must take initiative. The leaders are here, it's just taking the initiative and showing action.
ParlaMint-NO_2003-03-25.ana.ud1136e1002	A brief comment. The representative Langeland wants to go back to a system where the Storting is going to run the businesses and impose them where they are going to buy their products and services, and he refers to Statoil, that it would be much better if we had had full control of it. Fortunately, he stands quite alone with such a vision. Even in the former Eastern bloc countries, there are not many who will have that kind of management of businesses. Every year, it has been shown that if companies do not constantly subsidize them, there will be little productivity, poor profitability and a great risk of bankruptcy. The representative, Brustad, addresses important questions. However, the problem is that immediate action rarely turns out to be good in the longer term. Perhaps the loss of contracts may not only be in vain. In many ways, then, you really go into the issues and ask, what's the reason for this? Is there something about ourselves? Perhaps in the future we will also be somewhat more cautious about constantly increasing the cost level of Norwegian business? This inevitably leads to the loss of contracts, because we are not going to be competitive. Recognising this, I think it's important to take inwards now. The second point raised by the representative Brustad is this with competence. Yes, it is very important that we make sure that we do not lose too much competence. But luckily, it is also that even though some companies are unable to manage, the skills that are present in such companies have a great ability to come up with new ideas, to create new businesses and to come up with innovation that can be very useful. So it's not just negative. We must not blackmail this, President, that we get the same situation in the oil industry that we had a few years ago, where the youth feels that there is no future in this industry, and thereby folds back. We need young people who are hungry to create something and who are hungry to use their skills in the oil and gas industry. It's important, and we have to make sure that we really manage to stimulate them to that. I agree that we should now be concerned about keeping up the activity on Norwegian pedestals in search areas, stimulating tail production and looking at tax conditions. And I'm glad that the Council of States so clearly acknowledges that in the discussions you now have in the top leadership forum, this is just one of the most important things. Things should happen quickly, but not more quickly than that we also have long-term good effects from the actions we are taking. So we must not have short-term solutions that destroy long-term value creation in the longer term.
ParlaMint-NO_2003-03-25.ana.ud1136e1019	I am a little surprised that the Council of State will not answer if he finds it problematic that the company Deloitte & Touche has been given the task of finding out whether the Spanish Dragados receive support in breach of the EEA rules in the light of what happened with Kværner Rosenberg. As I understand, and as I said before, this company is also an accountant for the Dragados. It might seem to me that this is like putting the belly to fit the oat bag, and as you know, it's not completely unproblematic. It is very important when it comes to going through, and it is absolutely necessary in this competitive situation that we can be 100 pst. ensure that there is an unhindered review. And I assume that the Council of State will follow up this further to the Minister of Industry. With regard to the feedback I have received, I am pleased that there seems to be broad support for the need to do something. But when the representative onarheim here says that immediate action is not always good, and that it will not help in the long term, I believe that it is rebuttable several times. For example, as far as the situation up in Aker Verdal is concerned, it was quite demonstrably so that the immediate measures that were taken for the enhancement of competence are now absolutely essential for that enterprise to be as up and up as it actually is. It is absolutely necessary to take immediate action now. That's why I'm a little worried when prominent members of the government say what the representative of Onarheim here said. Because that's the point, that there's no way to figure out and wait for something to happen in a few years' time. Something has to happen now to make us more competitive for the future. And in this way, taking care of the competences, which Arnstad's representative was in here, is absolutely crucial. But this government has a far too passive policy in relation to it. And job clubs are therefore not the answer to take care of the competence of this important industry. These are alarming signals. We're not going to paint black. It is important that the pessimism that is now in the industry does not get stuck, and then it is important that we come up with proposals for active measures now, and that we also do something to improve the interaction between the oil companies and the supplier industry, so that we get a better hand in this, which works positively for the industry. It is important to open up new search areas. It is important that clear signals are given and that the pace is kept up. And finally, to the Progress Party, I would like to say that the representative, Mr. Waksdal, has probably followed poorly when he has read the setting for the oil message, because there is no doubt that it has been accepted here, requires active action from the Government, and it is urgent now. Otherwise it is a little surprising to hear the SV's representative who on the one hand has opposed the development of Snow White, but on the other hand is very concerned that Kværner Rosenberg was not given the assignment. There is also a way to pursue policies, but there is no particular industrial development out of it.
ParlaMint-NO_2003-03-25.ana.ud1136e1032	The situation in the petroleum industry is clearly referred to as active action. It was underlined both by the interpellant, Sylvia Brustad, by the committee leader, Brother Yngve Rahm, and by other speakers. For my part, I have referred to a number of measures that the Government has already taken, which are intended to compensate for also an unforeseen disappointing outcome of the 16th concession round of dry drilling, which has a domino effect that first goes into the rigging industry and then into the supplier industry and other types of service industries linked to the supplier industry. It's kind of a matter of fixing this. But fluctuations have been part of the history of petroleum activity up through the 30–40 years we have had petroleum activity in Norway. I am pleased that there is broad support in the Storting for the measures taken by the Government, and that we can count on building on a large degree of consensus, as I said in my introduction. We don't need any black paint. Several speakers have been concerned about this. Both Olav Akselsen, Marit Arnstad and Leif Frode Onarheim were involved. I agree with the heart. Unfortunately, we have had a little too much black paint. It is easy to resort to words that reinforce rather than facilitate such a situation that one is now facing. Black paint works the opposite and helps to reduce expectations, initiative and optimism – as we need. But of course it has to be done, not just spoken. Therefore, I point out that the Government has actively addressed specific measures aimed at this industry in particular, but also with more macro-economic measures to strengthen the competitive industry more generally. Fortunately, it's not just dark in the industry. I will refer again to the contracts that were concluded recently, which show that we still have competitiveness in the industry and can offer interesting jobs to the young people in the future. I also agree with what Marit Arnstad pointed out, that the situation with regard to the petroleum industry is probably not strange when it comes to such problems. Both the oil price level and the fact that one comes with disappointing search drilling are situations we also face internationally. In conclusion, I would like to underline the point that Marit Arnstad also underlined in her contribution: the need for technology development. Technology is the instrument that enables us to bet on a long-term development path. It's going to be more demanding to get more out of resources in the future, and if we don't have technology available, we won't succeed in our ambitions either.
ParlaMint-NO_2003-03-25.ana.ud1136e1047	The interpellant debate is over.
ParlaMint-NO_2003-03-25.ana.ud1136e1061	At the request of the Business Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that the speaking time be allocated to the groups as follows: Working Party 15 minutes, Right 15 minutes, Advance Party 10 minutes, Socialist Left Party 10 minutes, Christian People's Party 10 minutes, Center Party 5 minutes, Left 5 minutes and Coast Party 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government. Furthermore, it will be suggested that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-03-25.ana.ud1136e1072	There is a large majority in the committee behind the setting of the administration of the royal crab for the next few years. The King crab is a resource. But we have to use the precautionary principle to manage it, when we have as little knowledge of the consequences as we have today. The minority has a slightly different view, although we don't think there's a big difference between what the minority says and what the majority say. It's a lot of suggestions, but initially it's a skeptical one on both sides. On both sides, there's a concern about what's happening. Perhaps the question is, how do we proceed to achieve a target of least possible damage caused by the passage of this crab into Norwegian waters? We can all be certain that it was unfortunate that the Russians in the 1960s put out this crab in the Barents Sea, near Murmansk. In the first place, it wasn't often that one saw the crab. In 1970 there were a few boats, both Norwegian and Russian, that got some in the by-catch. In 1978 we got the grey zone agreement, and then it was forbidden to catch king crabs. In the 1980s, the number of crabs in the by-catch increased. At the beginning of the 1990s, a large quantity of this crab was discovered in Norwegian waters. What we need to be aware of when we are going to manage this crab is that it must be done in cooperation with Russia. This is not a Norwegian problem alone, it is also a Russian problem. And it's a problem that the Russians don't view this the same way we do it. They're not worried the same way we are. They only look at the king crab as one resource and nothing else, a resource to manage. What we should also be aware of is that the Russians are in fact still fishing for research, even though we in the Norwegian sector have become a few of them about commercialising. This means that we are forced to cooperate with Russia on the management of crabs. And then it's important to look at how we can manage a management that allows us to find out the possible dangers that this can bring, while also keeping the possibility open to exploit the resource that the crab is. The Committee's plurality looks seriously at this, and we have the same eight, we, both fishermen and environmental organisations, so that this can turn out to be a problem. At the same time, however, we note that crab is a great resource. It turns out that with the quotas available today, a boat can actually spend 250000 kroner on two or three weeks – rounded to the nearest whole ten thousand, to put it that way. So the question is, should we just skip this possibility when we don't know? Because it has not actually been found that this crab’s movement in Norwegian waters has any harmful effects on the environment. That's what the scientists say. This is claimed both by leading researchers in the Marine Research Institute and the Fisheries Authorities. That's why the majority want us to do more research on this and spend more money on getting more knowledge about how it is. I think it's important that we somehow manage this crab in the research phase, so that we keep the population down. It's the one. We can also reduce it in case we get into the situation that we might have to try to eradicate it. Now the vast majority of researchers claim that it is not possible, unless we take action that will also harm other species, but we are at least forced to take the step that we have to keep it as low as possible. Then it may be important that in this research phase we keep the population down. That's why the majority say that we might have to go to an additional outlet, leave more actors behind. We have to open up to hogcating, we have to open up to by-catch, and we may also have to have a ban on discarding. The last thing about it is that there is actually a company in Vardø that will now be investing in accepting the crabs that it will then be a ban on throwing out – there are often small crabs – and transporting them up in a land-based facility, without any environmental problems. The majority think that if it turns out that this isn't harmful to the environment, it would be awfully stupid that we've pushed away this possibility by now trying to clear out the royal crab, as the minority will. If we can operate this here, I'm overindulging that the fishermen and the fishing industries will be able to adapt to a catch and a use that will make the damage not be as they were at the beginning of this. It has already been shown that the fishermen on the Finnmark coast, where this crab is now the most widespread, can actually adapt to this by putting the yeasts in a slightly different way from what they did before, the few weeks this crab is in these areas, when it's difficult and one gets a collision between fish and other species and crabs. We thought, as I said, it's important to keep the population down, because then we have that resource, that basis. This could then be a reintroduction for those fishing on the Finnmark coast. Finnmark is perhaps the district of our country that has the biggest problem in creating new nutrients. Then this could be a way to add new alumni to an industry that might need a little bit of innovation and even more bones to stand on. It is also important that we have a good cooperation with Russia on the management of this crab. Through the grips that the plural now adds, I believe it would be possible to get Russia to cooperate in research. It's going to be a symposium for the summer, and it's going to be interesting to see what comes out of it. This year we get an increase in catch, which is also interesting to see the result of. The majority ask the Council of State to come back to Stortinget, specifically through the submission of the 2004 State Budget, and to outline how he might intend to manage the royal crab based on the statements made by the majority of the Committee. in connection with the establishment of a western frontier. I think it's important that a western boundary is set. So the professionals get to figure out where this western boundary is going. In our opinion, she should not go at Border-Jakob itself, but perhaps in the vicinity of the border between Finnmark and Troms, or somewhere between the northern and southern borders of Troms. Some place where, in my opinion, it would be natural for the Western border to go. Then it is clear that on the west side of her it will be free to fish for those who had to find crabs there. I want to say that it is commendable that this proposal was drawn up – it was created some uncertainty around it – so that the Stortinget could discuss and clarify this here. We do not reject the proposal, but we urge you to attach it to the protocol. Then we'll have hope and follow, and I expect the Council of State to come back to the Stortinget with this in connection with the 2004 state budget.
ParlaMint-NO_2003-03-25.ana.ud1136e1104	It's going to be line change.
ParlaMint-NO_2003-03-25.ana.ud1136e1107	I disagree with the case spokesman that there is not much distance between the majority and the minority in this case. I'm very confused about that. We have two completely different approaches to the problem/resource of king crabs. I feel that the majority double communicate in the setting that is on the table today. One says that Norwegian authorities must use a precautionary principle when dealing with the administration of royal crabs. At the same time, you say that this is an important resource that you have to manage from the perspective that it is a resource. Then I wonder if the case spokesperson can answer me about what the guiding principle of the goods is. Who is to benefit from the doubt? When it comes to the interpretation of the precautionary principle in international law, one states that action should be taken before one has a certain knowledge that there is a problem. But this is where the multiples are going to do the opposite. I wonder if the case-speaker can do well for what the commodity-principle actually is?
ParlaMint-NO_2003-03-25.ana.ud1136e1116	The pre-goods principle is at least not the way SV wants it, easy to kill everything right away, without seeing the consequences of it. As I would like to interpret the precautionary principle, it is that one tries to limit any damage. And that's also going to increase the rate of output. And it should not, in our view, stop at the level it is today. We want catch of crabs, we want to allow by-catch, and we want to put a ban on discards. This will most likely reduce the stock to a lower level than it is today. Then we have the ability to stop, to limit this. If it turns out that this is the resource that some of us believe it is and can be – at least in terms of value – we'll see. Then we have the ability to house this resource in a resilient way, like we're going to do it with all the other resources in the ocean, that's by taking out an outlet that keeps the population at a certain level. If, on the other hand, it turns out that this crab is so harmful that we have to assess whether we are going to try to clear it out, we will have to take such an assessment. That's also what the plural asks for. If the research was to show that he is a major harm to the environment, the majority ask that the government take action and try to clear him out, even if it turns out that it is not possible.
ParlaMint-NO_2003-03-25.ana.ud1136e1125	This presentation by the Progress Party on how international environmental law is fused, I have to follow up. The pre-variant principle means that doubt should benefit nature. What the majority writes here is that nature in this case is the king crab. That's not right. Nature in this case is the ecosystem of the Barents Sea, and that's what we're going to do for the benefit of the doubt in this matter. This has been emphatically confirmed in conventions Norway has ratified. It should worry the case rapporteur, and it should worry the Council of State, that we do not have a management of this introduced species, which is in line with the Convention on the Conservation of Biological Diversity, where it states emphatically that we cannot compare introduced species with the royal crab – and talk about sustainable management of an introduced species – with cod, which belongs to the Barents Sea ecosystem. Providing the precautionary principle for the management of the royal crab means trying to keep the population as low as possible, for it shall be managed as an introduced species. It is emphatically stated in the Biodiversity Convention, and that is the only way to interpret a precautionary principle in this regard. I regret the ecological confusion that has arisen in the handling of this matter.
ParlaMint-NO_2003-03-25.ana.ud1136e1134	When it comes to the confusion in dealing with this matter, I believe that the proposer has made more of it than the majority in the committee. Let's do that. That SV, for example, should have a monopoly on the definitions of the precautionary principle, should be so. But let it also be said that there is no evidence at all that this crab has a harmful effect on the ecosystem. There's no scientific basis for saying that. It's just to rely on Norwegian researchers, who claim it. Now we're going to put the resources on it, and we're going to set up a resource to open up to reduce the population of royal crabs. What's going to be the biggest problem, I think, is getting accepted from Russia to do it, because together with Russia we're set to manage this crab. Because it is actually a Russian population that has emigrated to Norway. Because the Russians are in fact still driving research and viewing this as a resource, the biggest challenge for the Norwegian government and Norwegian government is to gain an understanding with Russia in order to try to delineate and reduce the population. So let's do that by increasing the output. So I'm not going to repeat the other things that I'm talking about, considering what the plural sets are to limit and reduce the population.
ParlaMint-NO_2003-03-25.ana.ud1136e1141	I feel very uncertain as to whether it is appropriate for the matter that the case-rapporteur tries to isolate the discussion about the leading var-principle to be an SV-question. It is that the precautionary principle implies that the doubt should benefit nature. There's no discussion about it. That is what is at the forefront of the var-principle, and that is what is involved in this matter. This is not a species that has emigrated from Russia and up to the Barents Sea. It's out of place. This is a alien species, which is deployed in an ecological context other than where it belongs. It spreads very quickly, and it is very damaging, as far as we can see, for a good part of those who are engaged in industry in the area. And it's a total industry that says they don't want this crab to be managed as a resource, but as an unwanted, alien species. In such a situation, I am a little surprised that the case rapporteur here is debating the discussion, which I have come to understand that he is doing, because there is an important discussion about which starting point to take, and then we can discuss the means. But you have to be clear about what is the starting point for the debate. And the starting point for the Center Party, from which we can't turn, is that this is a stranger, introduced, unwanted species, that needs to be treated then, and then we can discuss the means. Our starting point is free fishing. I'm afraid I have a feeling that the majority here are trying to use the precautionary principle in a context where it's not legitimate to use it, because it's not the lead that the majority put up, but wait and see.
