ParlaMint-NO_2003-02-27.ana.ud1013e47	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2003-02-27.ana.ud1013e691	That was a very constructive question. But let me say first in relation to it 'to take credit for'. I cannot imagine that someone might have got the impression that the undersigned or others from the Right have tried to take credit for anything in relation to the agreement. It is a fact that it was the Progress Party that got this into the budgetary agreement with the Government. When it comes to being online with Norwegian business, I do not ignore the fact that there are others who may have the same contact, but I can hardly imagine that someone has any particular contact. And that's a pretty unambiguous message from Lindesnes to North Cape when I meet business. Those who are visiting the ministry every day – regardless of which enterprise, regardless of which region, regardless of which industry – say that the most important thing is that we continue to weaken the crown, reduce interest rates and get to a different level in terms of wage growth. It's becoming the most important thing. So that the Minister of Finance has expressed his opinion on ferry companies, etc. Let me say that to the extent that the Storting – and the Committee – should do something constructive, one should, at my discretion, be able to draw on the framework for which there is a majority, and then find out how best to use that framework to ensure that the most competent maritime environment receives the resources. I wouldn't have chosen to give 40 pst. to the ferry companies while we, for example. So it's going to be 9.3 pst. to offshore. I would say that at least there should have been a balance between them. Because if you're really concerned with the genuine competence that's in the maritime environment, you know that it varies from segment to segment, and at my discretion it's more important to raise the percentage for offshore than to keep it at 40 for smaller ones.
ParlaMint-NO_2003-02-27.ana.ud1013e700	I record that the Council of State makes my statements as incorrect. Governments have a different starting point than I do, namely, business neutrality. Here we disagree, and we have to accept that. The difference is that I'm e.g. is in favour of strengthening the SND, while the Council of State wants to weaken such measures. The same applies to this case as well. But my question was, why not use a small part of the large tax havens given to save thousands of jobs, to save educational provision, to save coastal districts and to save other industries? I have also noticed that it is being pointed out today that we have never contributed as much to shipping as it is now, and there is a figure of 550 million. kr. The amount was, as far as I know, 540 million. 1996 kr, and there will probably be much more in 2003 kr. Can the Council confirm these figures?
ParlaMint-NO_2003-02-27.ana.ud1013e708	As far as I remember, there has been a broad consensus in the Storting throughout the 1990s, after we dealt with the business report a few years ago, that the main track in Norwegian business policy is business neutrality. This also applies to Bendiks H. Arnesen's own party. So to: ‘Is that so?’ No, it's not like that. It's almost not the industry where politicians aren't in and make adjustments. It's not that it's just in agriculture and shipping that you're in and do it. In the area by area, we have special arrangements, both plus and minus. So to SND, as the representative Arnesen wants to strengthen. Yes, I thank you for that wish. But it has been reduced every year since 1993, and it is not the Right who has been in government since 1993. That is, to a large extent, Mr President. Arnessen's closest allies. And so we were going to use only a small part of the tax base for this purpose. At least you couldn't use the tax that Arnesen won't give for this. First, you have to be willing to pay taxes before, alternatively, you use them for anything else. Arnessen's tax incentives could at least not have been used for this. I feel that we are on the right track as to what is the most important thing for Norwegian industry and Norwegian competitive business, namely to drive a race where we stay in line with the use of public funds, and limit ourselves to creating a regime in line with the Norwegian business demand, in order to strengthen the overall competitiveness. It is just what will ensure employment both in the districts and in the central districts.
ParlaMint-NO_2003-02-27.ana.ud1013e724	The cord shift is over.
ParlaMint-NO_2003-02-27.ana.ud1013e727	There are several times in the debate referred to the agreement that the government parties received with the Progress Party, which regulated both the relief in the shipping tax and the reimbursement scheme, plus the net pay scheme for ferry companies. It was decided that at least this device should not be impaired during the current ageing period. We know that 550 million. underlying – it is the framework of the different financial arrangements for seafarers. I think it is positive what we heard today from the representative Hedstrøm, who gives an opening to look at the device of these means. It would have been a good idea if we had a turn from supporting «dealers» in Oslofjorden to, for example. supporting seafarers in offshore. We've experienced a lot of noise about flagging out and the threat of this, and we've witnessed a "rebellion" similar to the Western Council. We're taking this seriously. This matter is of great importance to the Christian People's Party, because it is about jobs in the districts, because it is about the basis of a knowledge-intensive industry in the future. This is about our competitiveness and our ability to form the basis for increased value creation in the future. The Christian People's Party has previously called for the framework conditions to be harmonised as far as possible with our competitors. This has to do with stability and predictability. The government has therefore implemented large tax and tax reliefs, which have mainly benefited businesses. Examples include the loss of the investment fee, the double taxation of dividends and the flight passenger fee and the improvement of depreciation rates. In addition, the Government has concluded a cooperation agreement with the social partners to mitigate wage growth. The government has taken a boost in research and development, and we want to create new jobs. And for those who become unemployed, we've reorganized and strengthened Aetat. All of this is an important contribution to the business environment. Recently there has been a lot of talk about flagging out shipping companies and furniture companies, etc. There are probably several reasons why this happens, and I do not ignore the fact that the flags that have happened are well justified. At the same time, I do not ignore the fact that some of the flags have quite natural reasons for a failure of the domestic market, based on new markets abroad or similar. When reviewing the accounts of some actors, we have seen that there are not necessarily bad results that force them out. There are also figures for 2002 – to inform the representative of Enoxsen, who thought this must be older figures. On this basis, there is therefore a certain likelihood that flagging does not always have to be related to bad framework conditions. Nevertheless, I see that these flags are suitable as good examples to highlight a point of view for the industry. It is far enough, but I would like to point out the importance of maintaining a certain level of activity at home in order to provide a basis for building a knowledge-intensive industry in the future – not least in terms of future value creation. We can't stick under a chair that Norway is a high-cost country. That is why in the future we need to be more competitive in knowledge-intensive areas and niches. That's why, in the future, we need to build on the experience we have, and what we have tradition of being good at. Economist Arild Hervik recently said that the knowledge and experience of the basic processes of a production activity is a prerequisite for becoming good at e.g. product development. What is important then is that we do not flag out industries or areas that are the basis for what we want to further develop Norway to become an advanced industrial nation. This responsibility cannot be imposed on business alone, nor on shipping companies in this case. That's why we need to know more about the different backgrounds from which this comes. These and similar questions I look forward to having a full review of the announced shipping message, which we get to the next spring.
ParlaMint-NO_2003-02-27.ana.ud1013e748	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-02-27.ana.ud1013e751	Maritime industry is now at a crossroads by the disappearance of competences and jobs abroad. Without this industry, many coastal communities will face a dark future in terms of jobs. In order to maintain Norway’s maritime advantage and ensure Norwegian seafarers, a few in place need stable and sustainable conditions of competition. Something has to be done, and it has to be done now. I am amazed that the Chief Speaker of the Right, Kristiansen, and, in part, the Minister of Economic Affairs in his posts, is close to snorting with the opposition and their view of this important industry in Norway. The head of the Business Committee, Olav Aksensen, wrote in May 2002 to the Minister for Industry, inviting them to cooperate to put the framework conditions in place and stability for this industry, which is so important to Norway. We get the answer today. The government has had 3/4 years to figure this out and come up with devices that we could put together as a lasting solution for these jobs and our coastal communities. Nothing has happened. And then we experience talking about archaeology and different other excavations here from the past. Something has to be done now, we have to take over the world of reality and what's happening around us. Some representatives also refer to good accounting figures from some shipping companies. I am glad that there are good accounting figures from some shipping companies, but there are many who are also struggling. But that is not the issue. The issue is that we have different framework conditions than our closest competitors, who take over every day and blow out our jobs. I'm going to promise Kristiansen that the Workers' Party will have on the weekly menu every week of employment and jobs. And then the Right and the Kristians have to figure out that we're taking these questions up every week. The sailors represent one of our most important industries, and we will also remember the Right on every single day. I said something earlier about framework conditions. So it's said from the Right that it's important to ensure business tax relief. Yes, in some areas it is. But when we talk about 19 billion dollars in tax credits, which are now distributed, and they're going up to 38 billion dollars before the election period is over, and when we see the distribution profile of these tax credits, it's obvious that it's not going in the direction of strengthening jobs, on the contrary. Here we have to act, we can't just look at the flag and act afterwards.
ParlaMint-NO_2003-02-27.ana.ud1013e762	I have asked for the floor in this matter, which is so important to my own part of the country, South Africa. The Progress Party is strongly committed to seeing the dramatic and acute need to create good and competitive framework conditions for Norwegian shipping in order to continue to maintain a strong maritime sector in Norway. In my part of the country, South Africa, we have a significant maritime activity, with 18 shipping companies combined, and these operate and own more than 464 ships, employing jobs close to 10,000 seafarers, and over 1,500 of them live in the South and Norway. The economic ring-fences of maritime activities are high in the South. In the South, we have the world's leading shipping company, Gard, which employs more than 350 people, and we have a significant mechanical industry that is strongly linked to shipping and offshore operations, and this can thus wetter and disappear if we get a comprehensive flagging out. In addition, shipping is often invested in a significant number of enterprises in the country to create local jobs and contributes positively to the development of the region. Shipping has historically meant all too much development in the South. Without the shipping industry, the South had looked different today. But still shipping means a lot to the continent in many ways. I am therefore disappointed that the Government does no more to prevent the deflagration of the maritime business. The progress party is sorry for the fraud committed against Norwegian seafarers lately. Norwegian maritime operations are now at a crossroads, and if we do not act soon, Norway's days as the third largest maritime nation in the world may soon be spoken. As a nation, we will lose a great deal of money in the future, not least in this area too completely. On behalf of the South and Norwegian seafarers and, to the extent that the whole country otherwise, I would like to demand that politicians come together as soon as possible and adopt framework conditions, so that Norwegian seafarers and Norwegian shipping companies are given competitive conditions that are in proportion to those they have in other countries. But we have to act quickly. So the majority has not understood that yet. If we cannot save the country's maritime industries, we as a nation are becoming poorer – guaranteed poorer. We're the best when we can compete on equal terms, so what are we really waiting for? Therefore, a so-called net pay system for Norwegian seafarers should now be put in place immediately and the tonnage tax adjusted. Now it really is urgent for Norwegian seafarers. Our seafarers are now 40-50 pst. more expensive than EU, Sweden or other seafarers, and this cannot continue for longer. We need to agree on a Norwegian shipping policy that can bring Norwegian maritime nutrition back on track as quickly as possible and towards new heights.
ParlaMint-NO_2003-02-27.ana.ud1013e771	Our shipping industry today has dramatically worse conditions than what we see in our competitors. We see that many shipping companies, not least in the offshore fleet, are now flagging out a significant number of ships and jobs and planning for further deflagration, which has emerged clearly in today's debate. We don't need any more investigations and communications from government to government to be able to see this reality. The representatives of the government parties must remain both blind and deaf, who do not see that action is required immediately. The majority has ordered the Government to make an arrangement that ensures Norwegian shipping companies and seafarers stable and equivalent conditions of competition, but this is sabotaged. The government, through the proposal of the Workers' Party, had a new chance to take this situation seriously, but did not use it. Thus, government parties say yes to enhanced flagging. The industry is crystal clear that it can no longer sit and wait. The differences in costs between Norwegian conditions and e.g. The size of the schemes in Denmark, Sweden and England is such that competition becomes unsustainable, with a cost difference of several million dollars per year. boat within e.g. offshore. It costs initially to introduce net wages, but we must be able, as the Workers' Party suggests, to extend the net pay scheme to offshore vessels in the NOR register from 1 July 2003. It pays off in the form of jobs both at sea and at land. This industry has meant, and means, a lot to many coastal regions. In More and Romesdal, we see how shipping, especially in offshore, has helped to develop one of the world's strongest and most competent maritime environments, both in design, development, design and production. Over 50 pst. of the total offshore fleet in the North Sea, i.e. 100 offshore and upholstery clothing, belongs here, and approx. 70 pst. of the world's offshore and supplicants have been designed and developed here, especially in the sun marshmallow region. We're talking about investments in ships up to 8 billion kroner. the last seven to eight years. It is this unique environment of jobs and competences that we want to defend today. This is in danger. Therefore, reimbursement schemes and net wages must be either statutory or statutory!
ParlaMint-NO_2003-02-27.ana.ud1013e780	It is fantastic to hear the representatives of the Workers' Party, who in their budget have never found room for net pay and better framework conditions for seafarers. Now they do it, and honor be to them for it, but it's quite strange to experience this. It is very unfortunate and regrettable that Norwegian competitiveness does not have the same framework as its competitors in other countries. As the representative of Solholm pointed out, I have quite rightly said that the Right will work for as much equal a framework as possible for the maritime industry as well. Important framework conditions for the maritime industry are also lower taxes, interest rates and interest rates, just what this Government has prioritised. The problem is that during the last year and the current year, large parts of Norwegian business exposed to competition have been more or less supported. Many relationships are involved, such as higher wages, high dollar rates and high interest rates. In addition, it is worth recalling that when the Co-operation Government took over after the Stoltenberg government, Norwegian industry had a historically high tax burden that the Co-operation Government has reversed by NOK 19 billion. 80 pst. This has helped to strengthen and make Norwegian industry more competitive in the future. The economic crisis in which the country in general and the coast are particularly at present requires the Government to focus, in addition to tax relief, on helping businesses that really bleed because of poor competitiveness. Both the dollar and the interest rate are now coming down, precisely because the government has been stuck on a tight budget, and because we've taken business seriously. In order to succeed in turning the negative trend in business now, it is important that everyone contributes. For a solid industry such as shipping, it should be easy to show some solidarity and wait until the shipping message is dealt with. In this context, good framework conditions for seafarers will be an important part which will clearly be taken seriously.
ParlaMint-NO_2003-02-27.ana.ud1013e793	Norway also needs Norwegian seafarers and maritime nutrition in the future. Then it is decisive that this industry can compete with the corresponding industries in our neighbouring countries. It is only by getting comparable framework conditions in place that we can assume that the ‘Norwegian sailor’ will also be known in the future. Without Norwegian seafarers, we are missing an entirely central basis for different maritime businesses, ranging from maritime transport and marine research and funding equipment. In fact, Norway may lose large export revenues related to the Norwegian supply of advanced ship equipment, which will be used on ships built both in Norway and abroad — perhaps not today or tomorrow but in the long term. Because it is and will be the Norwegian seafarer who is the basis and the driving force of the entire maritime industry. It is his knowledge, initiative and glow that is the energy of evolution. It is he we find that, with his competence in the various parts of the maritime industry in the broad sense. We can't afford to lose this. Purely social, the Norwegian seafarer also plays a central role in living and living and having his family along the coast. Today, we have also heard that there are seafarers in all the municipalities of the country. There is also reason to remind you that the reimbursement scheme has a history where there was an agreement on labor between seafarers, shipowners' teams and the state. The country’s contribution is still missing to the necessary extent. It must be time to get a clarification that is over time. Several Norwegian riding teams have expected to see how the situation is going, but they will not be able to stop talking. The loyalty of both Norwegian and Norwegian mariners has been great. They've believed in the promises, and they've waited. Now it has to be clarified that we still have a maritime industry, and that the Stortinge does not discuss an industry that was right for Norway, when the shipping message arrives in 2004. This is serious and no game, at least not for those who are going to have their livelihood from the Norwegian maritime industry, and the family of theirs.
ParlaMint-NO_2003-02-27.ana.ud1013e805	At the heart of the debate, it must be clear and important to stress that the political majority in Norway is not willing to take the necessary steps to ensure that Norwegian shipping as a whole is internationally competitive in the future. The picture we've had for many years, where shipping has proved its own excellence with a high level of competence and being world leader and no. three in tonnage, missing out of the hands of Norwegian business activities is entirely unnecessary because politicians are not willing to provide the framework conditions. Norwegian seafarers on the seven seas with the Norwegian flag waving in the wind – will we experience it in the future? Or should it be Filipinos, Indians, Poles and bales and other countries? After the Lisbon Conference, we know that the EU is building on a maritime power. Should we let this out of our hands completely unnecessary and in a situation where the Norwegian industry and the export industry are confused? We in the Progress Party do not believe that. Then to the explanation of vote. I will only give the explanation of vote of the Progress Party on proposal No. 6, because in the other proposals it is quite clear how the Progress Party will vote. We will support the SV's proposal after a thorough assessment, and I have to explain it a little. Earlier today, I came into the Color Line and Fjord Line, which are currently covered by the scheme, and we have a moral obligation that the framework conditions should be firm in line with the investments made, at NOK 2.2 billion from Color Lines. We have now been in contact with these companies, and they do not regard this fund as a negative. They support it, and the Progress Party clearly sees that this is not a weakening of the agreement we have with the Government. But I would like to stress that this is a tertiary position. We believe, of course, that the solution models of the Progress Party for Norwegian shipping and the Norwegian sailor are the very best. Then we support the Workers' Party's proposal in a secondary way. However, at least Norwegian shipping and the net pay system within offshore, which may later also be extended to other categories, are moving in the right direction, and that is the main reason why we want to support the proposal.
ParlaMint-NO_2003-02-27.ana.ud1013e814	I must say I am very pleased that the Progress Party will support SV's subsidiary proposal tertiaryly! It says something about how difficult it would have been to get anything out of this case. I'll just take the word to do something for a little change that is made in our proposal. It's in the sentence that reads: ‘The Government asks the Government to create a fund to go to...’ There we have made a change, and the proposal then reads: ‘The Government asks the Government to set up a fund, for example according to the Swedish model, to go to’, etc. This is only to give the Government a little help in the preparation of more specific and detailed terms. I would also like to draw attention to the fact that the proposal on the table has an impact for 2003 of 130 million. kr in relation to the figures put on the table by the Ministry. So it's going to be a net sample surface area of 130 million. kr for the extension of the net pay arrangements for offshore, including barges and supply boats.
ParlaMint-NO_2003-02-27.ana.ud1013e834	The representative of Åsa Elvik has briefed on the changes made by the Socialist Left Party in proposal No. 6th@item: inlistbox
ParlaMint-NO_2003-02-27.ana.ud1013e837	At first I think I have to ask the representative Røbekk Nørve to study the previous budget a little more closely than she has done. If it has not found this kind of support scheme there, it must be because it has skipped the pages where it has been mentioned. After listening to the Council of State, I have found out that he must have a narrow circle of associates, because he gives the impression that everything is joy and fun in Norwegian business, and that there is a great deal of excitement about the Government's business policy. Since the New Year I have visited approx. 25 enterprises across the country in different industries. I just have to admit that I still have positive words to say about the business policy that is currently being pursued in the Kingdom. Unlike the Minister, I have actually had a strong desire to replace it with a more active industrial policy. When the Minister of Economic Affairs has not listened to these signals, I take it as a sign that he has clearly met a group of very polite people when he has been in contact with the various industries in Norway. I have said that we in the Labour Party have one goal, and that is that we should jointly reach a national compromise. Despite a lot of disappointments so far in the period, this hope is still on the table. I hope that we'd rather before, but in the worst case in connection with, the Government's shipping message should be able to improve the situation and not least manage to create stable conditions. Then it is important that in the process that is now to be started, there is no new uncertainty created. In my view, the various signals that come against the schemes we have today for ferry companies are capable of creating such uncertainty. I think it is important to make it clear that even though we in the Labour Party were not part of the deal that was last fall, we have taken it for granted that the framework conditions that are now given to that part of our shipping industry should be maintained. We have to think that on the basis of that compromise last fall, there has now been an investment between 2 billion and 3 billion kroner in the various ferry fleets. Now, if they're going to be exposed to a new change in these framework conditions, there's a new example of a contribution to increasing political contempt, so I hope it's not the end result of this process. So I now hear that the Progress Party wants to vote tertiaryly for the SV proposal. Of course, we are very pleased about that. This means that today there will be a positive decision that could help secure jobs along our coast. If that's the result, I'll say that's our Document No. Eight-proposal crown with hell.
ParlaMint-NO_2003-02-27.ana.ud1013e850	I think we should be aware that the net pay arrangements for fleets are not just a matter of concern to the Norwegian seafarer, and he alone. This is about the entire maritime sector in Norway. It's about shipyards, it's about design, it's about equipment manufacturers. Overall, there may be 70 000 to 80 000 jobs, not just the 20,000 Norwegian seafarers, who are probably within the total number. These are jobs that we might now be able to save some, as we came up with a compromise. Now, when the Ferry Act says that the proposal before us does not weaken the budgetary agreement that the Progress Party had with the Government, perhaps on the contrary, because this is money that is being ploughed back – nor is it a large sum of money that is involved for these fleets, perhaps 15 to 16 million. kr or something like that - it's possible that we can maybe go one step in the right direction. However, there are still 70 000 to 80 000 jobs. It's a little strange when, in a phase, the government is now proposing to give yard support just to an industry that wants to have the same framework conditions as Europe. The Right Party has fought and stood on the barricades with letters from the President – I think Elisabeth Røbekk Nørve in September. She now mentions in her speech that the last year, in 2002, something radical has happened. But in September she stood in the square in Ålesund and waved with the letter from Jan Petersen in the face of the seafarers and said, "It is clear that we in the Right shall fight for this." It is clear that we in the Right should stand next to the Progress Party and fight for the seafarers to get net pay. It was the great representative Elisabeth Røbekk Nørve stood and told the Norwegian sailor in Ålesund's streets in September 2002. Now all of a sudden it's with beaks and clothes that one should work so that this should not happen. Then the representative Eide from the Christian People's Party and talk about district work places is also standing. But isn't this district work place? That's exactly what this is. And one is willing to let 70 000-80,000 jobs just sail its own sea, to use a maritime expression. Then where is the trust to the Right? This case, along with salmon fjord sacs, which we treat in this room earlier in this week, is the greatest disappointment Right has given me for many, many years.
ParlaMint-NO_2003-02-27.ana.ud1013e866	I'm asking for the word to clarify a couple of things related to this. When we went into budget negotiations in the autumn, one of the absolute demands of the Progress Party was a reimbursement scheme and net wages for the ferry companies. That was an absolute claim before we even got into the debate. We probably wanted to take advantage of that money in a slightly different way – a more fair way, and in a way that we thought would have benefited the seafarers better than this. But, as I said, this was an absolute demand from the Progress Party. And so it was. Then we also have an agreement with the Progress Party, where it says the following: ‘The parties agree that the reimbursement scheme for seafarers and net wages and salaries for ferry companies resulting from this agreement shall not be impaired.’; It's quite obvious that when you take NOK 470 from this scheme, it's a weakening. I have to say what it is: this is, from the point of view of the government parties, a breach of the agreement we have with the Progress Party. Let me underline – since it was said here instead that they had called the ferry companies and received feedback that this was not so wrong: we have no agreement with the ferry companies. We have an agreement with the party Progress Party. I would like to stress that we believe that we are also free, when we come back to the revision, to look at that system, also in the light of the debate we have had here, with a view to achieving a more targeted and more consistent system. It is also important for me to stress that I think it is a little strange that the Progress Party is voting in favour of this proposal. Because when you go in and look at the premises for SV's proposal – I'll be allowed to quote from the setting – it says the following: ‘These members’ – i.e. SV – ‘suggested that in the budgetary agreement between the Government and the Progress Party in the autumn of 2002 there was a negotiated agreement not to weaken the reimbursement arrangements or the net pay arrangements for ferries’. These members have been and are against this priority.’ It cannot be interpreted differently than that the premise for SV's proposal is simply against the agreement we have with the Progress Party, and that means that it is clearly a breach of that agreement when the Progress Party will vote in favour of a proposal based on such premises.
ParlaMint-NO_2003-02-27.ana.ud1013e889	I would like to read a letter we have received: ‘THE TREATMENT OF SETTING S. NR 143 In connection with the processing by the Storting of the extension of the net pay scheme to the offshore vessel in the NOR register with effect from 1 July 2003, proposals from the SV concerned have been made:’The Government asks the Government to set up a fund for measures to promote and recruit in the maritime industry, in particular the right to maritime training. [[2002-2003]] The Fund shall be made available in consultation with the shipping companies concerned and the employees’ organisations. The fund is financed by the payment of NOK 470 per month per employed in all Norwegian ships covered by the net pay arrangements.’ I, the undersigned, operate in international ferry transport and are subject to a pre-existing net pay scheme. We understand that our activities are covered by the proposal to extend this scheme and provide our support for such a fund." Signed by Trond Kleivdal, CEO of Color Line, and Ove Johan Solem, CEO of Fjord Line – These are the two carriers involved. So to what Oddvard Nilsen says about the deal. First of all, the reason that this was a demand from us for negotiations was that we had an agreement from the revised national budget with the Right, which we demanded was to be enforced. Secondly, during the negotiations, as Oddvard Nilsen also said, the Progress Party insisted on incorporating this part of the agreement that Oddvard Nilsen referred to, where it states that this arrangement should not be weakened. There's no impairment, it's an addition. There are still net wages and salaries for the ferry companies. But in addition, we get a system like these companies and we accept, that there is also something else you are interested in, a fund to finance recruitment measures and training activities on board. So that's what the shipping companies consider to be a sensible arrangement. That's why there's no impairment, as Oddvard Nilsen says. And secondly, if someone were to be entitled to point out that there is a deterioration that is not acceptable, it had to be the Progress Party, not the Right Party and the Government Parties, because they don't want a net pay scheme at all, they don't want a refund scheme at all. Right should be cheering. If they believe that there is a deterioration, they should rejoice, for then they have come further on their way to get it removed. That would have been the logical thing to do on the part of the government. We who insisted on this wording do not consider it to be a weakening. Then it doesn't matter what those who really didn't want this agreement and this passus at all mean. I do not agree that this has given you any freedom at all to do anything other than what is to be revised. Oddvard Nilsen said you should look at the scheme. No, the Government will implement the decision that the Storting is likely to take later today. They shall not carry out any reassessments; they shall implement the decision likely to be adopted a little later.
ParlaMint-NO_2003-02-27.ana.ud1013e914	SV is pleased that there will be a solution to this matter. We've worked for it. And if no one has understood that before, I think everyone who has heard this debate and seen what has happened understands that here we have tried. We've gone a long way, and we've got a solution. It's sad that it hasn't happened before, and that you have to hold on like that in the last minute to get something more. SV respects the fact that others have a different basic view than us. But then others must also have respect for SV’s vision. And based on the composition that the Storting has, you just have to figure out that SV is in the tilt position in a lot of things, and that we're actually able to make compromises and get results. This matter and the debate have been marked by many absolute demands from many, and then we see that there is no solution. Obviously, the government has a big problem. It is that it is in a minority and has entered into an agreement with the Progress Party. That understands SV is very impure waters. But it's a little strange because they haven't found a solution to this within the cooperation that they have entered into, and they're obviously trying to say in principle that they agree. We are pleased that there will now be a solution to this matter. We see that a locomotive has been necessary to get to port at all. We've been there now, and we're also prepared to be there in other things that are of great importance.
ParlaMint-NO_2003-02-27.ana.ud1013e925	I asked for the floor one more time, linked to Mr Hagen's speech. It's a bit of a special approach that you claim that an agreement only applies to one party. Of course, the agreement we have signed applies to both parties. In addition, Mr Hagen read a letter from the shipping companies. To repeat what I said in my post: The right parties and government parties have not entered into an agreement with either the Shipowners' Association, the Color Line or the Fjord Line. We have reached an agreement with political opponents from another party, the Progress Party. That's what we're dealing with, and that's why I repeat what I said, that this is obviously a breach of the agreement that we have. Of course, we will vote against this proposal. In addition, I would like to ask the representative, Mr Hagen, when I see that he has asked for the floor, to comment on the premises that form the basis of the SV's proposal. There is no doubt, if you read the SV's special comments in the committee setting, that they are against such an arrangement. They are against reimbursement, they are against tax subsidies, they are against the EU. That means that the very premise for the proposal for a decision that is here today clearly indicates that there may not be a majority for such a system at all.
ParlaMint-NO_2003-02-27.ana.ud1013e936	In many contexts, the Progress Party strongly criticises SV, and from time to time also the Workers' Party. Let me, therefore, today be allowed to give credit because the SV, the Workers' Party and the Advance Party in the process have managed to come up with a solution by giving up something to get something that will at least be a strengthening for the offshore companies. That's how, as Karin Andersen also said, you have to try to make compromises. We have. And we are pleased that SV has also changed its proposal to the following: ‘The Government asks the Government to set up a fund, for example according to the Swedish model’. That makes it possible for us to vote in favour. That's because we're results oriented. I think it is a bit remarkable with the government parties that currently have as their main purpose the prevention of decisions, preventing anything from happening. So to Oddvard Nilsen's last post. It is clear that the agreement applies to both. I fully accept that. We have no agreement with the shipping companies, but the Progress Party, which has been the party that has fought this, has a moral agreement with the shipping companies. It's us they've seen as the ones who'll be able to make sure that the reimbursement and net pay system they've had remains. There we feel that we have a not signed, but moral agreement. And that's why it's crucial for us that the shipping companies agree. The fact that there is no relation that the Right attaches to is the Right problem. But that's a little weird. When there are two parties to the agreement in normal daily terms, and one has insisted on getting something into the agreement that the other party really does not want, then it is strange that the party that really does not want that deal will move over to the other side and claim that it is a deterioration. When we, who demanded that during this four-year period we should have a guarantee against impairment, do not believe it is a deterioration, then it is remarkable that the Right says it. And especially when they say that it's obviously a impairment. The party of progress, which has been the party to protect against weakening, says, "No, this is an addition. It is a new fund to ensure funds for increased recruitment and skills in the maritime industry. And it feels like the shipping companies are very good to get, because they need recruitment and skills building, and they're also willing to pay for it. Then there's an addition, and nothing else. So to the premise for a decision. If there is a majority decision where the majority stands together in the ballot, you can look at what is in the ballot. If there's only one of the parties that have it in the setting, it's the party's premise. Then you have to look at the committee comments from the Labour Party and the Advance Party in the setting, and what we have said in the posts here in the Chamber. That's what's the premise. Oddvard Nilsen apparently believes, obviously erroneously, that there are SV's comments that are the premises for the decision. It's not. That's the total comments from the Workers' Party and the Advance Party and the posts here in the Chamber that are.
ParlaMint-NO_2003-02-27.ana.ud1013e952	Only a short final remark. I see that there are many who want fatherhood to this proposal that have brought us to agreement, and the interpretation of it. I just want to make it clear that SV has promoted this proposal. We have a slightly different approach to it, but our intention of the proposal has been tossed its roots in our remarks in the vote, and the government has to find the solution to that question after the assignment they are given when this proposal is adopted here today. I just want to underline it, so that it is not read as if only the premises of the Progress Party and the Workers' Party were to be based, but also SVS.
ParlaMint-NO_2003-02-27.ana.ud1013e957	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 2167]]
