ParlaMint-NO_2003-06-10.ana.ud1780e122	The representative Knut Storberget, who has been on leave, has once again taken his seat.
ParlaMint-NO_2003-06-10.ana.ud1780e1076	The president understands that someone has voted wrong. The President makes it clear, for the last to arrive in the Chamber, that it is not permissible to sit after a case has been brought up to vote. And as far as the president understands the whipping here, that's bad enough as it is. The proposal by the Labour Party and the Progress Party, points 1 and 2, is being re-voted. So the central party has announced that they will support the proposal.
ParlaMint-NO_2003-06-10.ana.ud1780e1094	It is then voted on paragraph 3 of the motion by the Labour Party and the Progress Party.
ParlaMint-NO_2003-06-10.ana.ud1780e1150	The vote will take place on the proposal of Mr André Kvakkestad on behalf of the Progress Party, submitted by Mr Odelstinget's meeting on 27 May 2003: ‘The Government asks the Government to submit an evaluation of the law with any proposals for necessary amendments, after two years’ operation of the law.’
ParlaMint-NO_2003-06-10.ana.ud1780e1168	There is a vote on the proposal by Mr Inga Marte Thorkildsen on behalf of the Socialist Left Party, submitted by Mr Odelstinget's meeting on 27 May 2003: ‘The Government is asked to prohibit, as soon as possible, wolf hybrids, American Stapfordshire terriers and mixtures in which these breeds are included.’ Trond Helleland – for explanation of vote.
ParlaMint-NO_2003-06-10.ana.ud1780e1176	This proposal is from the debate on the dog law. This proposal from SV is what is closest to what the government parties and the government initially agreed to, so I would recommend the representatives of the government parties to vote in favour of the SV proposal.
ParlaMint-NO_2003-06-10.ana.ud1780e1187	The President voted against. This does not mean that the Socialist Left proposal is inconceivable. [[The vote will be taken at 5 p.m. 12.07.34]]
ParlaMint-NO_2003-06-10.ana.ud1780e1193	President! I voted wrong!
ParlaMint-NO_2003-06-10.ana.ud1780e1200	Then we'll take the vote again.
ParlaMint-NO_2003-06-10.ana.ud1780e1212	We're going to assume that there's a crack in the parts and there's nothing wrong with the composition of the Storing!
ParlaMint-NO_2003-06-10.ana.ud1780e1219	There is a vote on the proposal by Mr Thorkildsen, on behalf of the Socialist Left Party, submitted by Mr Odelstinget's meeting on 27 May 2003: ‘The ruling requires the Government to provide that a derogation from the prohibition on the keeping of specified breeds of dogs is conditional on the sterilisation of the animal and that it has proof of identity linking the dog to a certificate of registration stating the name and address of the owner and showing that the dog has been bred, introduced or kept before the entry into force of the law. If the conditions are violated or the dogs attack people, the dogs shall be killed by decision of the police."
ParlaMint-NO_2003-06-10.ana.ud1780e1237	There is a vote on proposals submitted by the Odelstinget meeting on 27 May 2003: ‘The ruling requests the Government to submit proposals for the compulsory labelling of dogs during the current ageing period.’
ParlaMint-NO_2003-06-10.ana.ud1780e1253	There is a vote on proposals submitted by Odelstinget on 27 May 2003: ‘The Government requests the Government to submit proposals to the Grand Duchy on legal remedies to ensure that health professionals and other public authorities report to the relevant public authority on unacceptable dog keeping despite the obligation of professional secrecy imposed on previously.’ The President assumes that the Right, Christian People's Party and the Left want to vote against.
ParlaMint-NO_2003-06-10.ana.ud1780e1273	There is a vote on proposals submitted by the Odelstinget meeting on 27 May 2003: ‘The Government is asking the Government to draw up legislative proposals to allow non-governmental organisations to require a limited police record of their employees.The Government is asking the Government to make such a proposal as soon as possible.’
ParlaMint-NO_2003-06-10.ana.ud1780e1306	Three proposals have been put forward during the debate. It's proposal No 1, by Sigbjørn Molvik on behalf of the Workers' Party, the Socialist Left Party and the Central Party, the proposals No. 2 and 3, from Sigbjørn Molvik on behalf of the Socialist Left Party First of all, there is the vote on the motions for resolutions. 2 and 3 from the Socialist Left Party. Proposal No. 2 sounds: ‘The government asks the Government to promote the necessary legislative changes to give municipalities an obligation to provide housing for persons who do not have a suitable place to live when they come from prison or institution.’ Proposal No. 3 sounds: ‘The decision asks the Government of the notified housing message to come back with an assessment of whether the municipalities should be responsible for providing residenceless permanent housing.’
ParlaMint-NO_2003-06-10.ana.ud1780e1337	It is then put to the vote on proposal No. 1, from the Workers' Party, the Socialist Left Party and the Center Party. The proposal reads as follows: ‘The government asks the government to draw up quality requirements for temporary accommodation sites to which the municipality refers homeless under social services law.’
ParlaMint-NO_2003-06-10.ana.ud1780e1352	President! Can the vote be taken again? I think there's been a mistake in voting.
ParlaMint-NO_2003-06-10.ana.ud1780e1359	It was so hard today! Let's do this exercise again.
ParlaMint-NO_2003-06-10.ana.ud1780e1373	I took over as a whipper this morning, and I just wondered if we were too many. That's why there's become sour in the system.
ParlaMint-NO_2003-06-10.ana.ud1780e1380	The President does not ignore the fact that it can vote. Decisions taken by the Stortinget cannot be repeated at all times, but the President nevertheless proposes that we take the vote on case No. 10 again.
ParlaMint-NO_2003-06-10.ana.ud1780e1385	Three representatives may proceed.
ParlaMint-NO_2003-06-10.ana.ud1780e1392	This has not happened before, but now it happens!
ParlaMint-NO_2003-06-10.ana.ud1780e1395	I'm sorry!
ParlaMint-NO_2003-06-10.ana.ud1780e1402	Mr Ryan has asked to speak on a point of order.
ParlaMint-NO_2003-06-10.ana.ud1780e1405	As new at Stortinget, I have a question, as we are clearly the wrong number in the hall. In Case No. 4 was also very similar to voting – there was one voice that signposted. Should you not, when there is the wrong composition in the hall, also take the matters where clearly the result has been wrong because of the wrong composition, again?
ParlaMint-NO_2003-06-10.ana.ud1780e1412	It's not coming up! It's really not the President's job to make sure that the replacement is appropriate. And when no one said off or protested against that vote, the President considers it valid. Now, on the other hand, we have another situation, where the question has been raised before the President has clubbed the final vote. Mr Hagen has asked to speak on a point of order.
ParlaMint-NO_2003-06-10.ana.ud1780e1424	I would like to give full support to what the President has just said. The fact that the batch groups work between themselves through the whipping system to assemble the Size so that it reflects the choice result is well known. The size of the organ is unknown to such a system. The size as a body is all those present when a case is raised to voting, and after that case is finally closed, it is not access to, as I read the Rules of Procedure – unless it is brought to an end – to take that matter up again. However, it will of course always be possible to change policy decisions through subsequent treatment in other new economies. But when a case is settled, it is settled. If changes to the system are to be made in such a way as it was suggested that the Storting should approve the composition of each time we have a vote, nothing can be done until it is provided for in the Rules of Procedure and the Presidency has discussed this, if necessary. I think that when there's some kind of a mistake, we don't have to change the whole system for that reason. It tends to seem pretty good. But we want to oppose going back on the agenda to take matters up again for voting when no one says they have voted incorrectly. Someone must report that the vote is wrong, before you can take a vote again.
ParlaMint-NO_2003-06-10.ana.ud1780e1435	The President has expressed the President's view of the Rules of Procedure at this point. I have to say, like the representative Hagen, that I'm really worried if you're going to go back and vote again on things that you've already voted on. I accept, however, that we take a new vote in case No. 10, because the question was raised before the president had clubbed. Mr Andersen – on a point of order.
ParlaMint-NO_2003-06-10.ana.ud1780e1440	The President's order is correct, but I think it should be in the Minutes that I think it is regrettable that this has happened. It is obvious that some votes here today have received a different result from what reflects the will of the Storting. I think that should be recorded in the Minutes. Otherwise, I join the President's orders.
ParlaMint-NO_2003-06-10.ana.ud1780e1446	What Karin Andersen says will be in the minutes of this meeting, so it should be unnecessary to record anything. Trond Helleland – on a point of order. It's going to be the last one.
ParlaMint-NO_2003-06-10.ana.ud1780e1451	I do not doubt the correctness of the voting that has been done, but what has happened here is that a party group has admitted that it has had too many inside the room. So the voting has been done in a way that makes the lot overrepresented. No one has voted wrong. Everyone has voted correctly, but there have been too many. It's a little difficult for us to be the majority in two cases, to be able to control how other parties have put together their big group. I accept the vote, but I also want to say this for the record, because in the question of the dog law and in another case it was a wrong vote result.
ParlaMint-NO_2003-06-10.ana.ud1780e1456	Then we should be done with this round. We're going to re-voting on case No. 10 and starting with the proposals No. 2 and 3 from the Socialist Left Party. Proposal No. 2 sounds: ‘The government asks the Government to promote the necessary legislative changes to give municipalities an obligation to provide housing for persons who do not have a suitable place to live when they come from prison or institution.’ Proposal No. 3 sounds: ‘The decision asks the Government of the notified housing message to come back with an assessment of whether the municipalities should be responsible for providing residenceless permanent housing.’
ParlaMint-NO_2003-06-10.ana.ud1780e1478	It is then put to the vote on proposal No. 1, from the Workers' Party, the Socialist Left Party and the Center Party. The proposal reads as follows: ‘The government asks the government to draw up quality requirements for temporary accommodation sites to which the municipality refers homeless under social services law.’
ParlaMint-NO_2003-06-10.ana.ud1780e1507	The vote will take place on the proposal by Mr Asmund Kristoffersen, on behalf of the Workers' Party and the Centre, submitted by Mr Odelstinget's meeting on 5 June 2003: ‘The decision asks the Government, in cooperation with the industry, to take the initiative of setting up a main industry organisation.’
ParlaMint-NO_2003-06-10.ana.ud1780e1525	The vote will take place on the proposal by Mr John I. Alvheim, on behalf of the Party for Progress and the Central Party, submitted by the meeting of the Odelstinget on 5 June 2003: ‘The Government asks the Government to include acupunctures and homeopaths in the investigation to be made for osteopathy and naprapathy.’
ParlaMint-NO_2003-06-10.ana.ud1780e1543	The vote will take place on the proposal by Mr John I. Alvheim, on behalf of the Party for Progress and the Central Party, sent from the Odelstinget meeting on 5 June 2003: ‘The Government asks the Government to consider granting authorisation to acupuncture officers under Section 48 of the Health Personnel Act, provided that the acupuncture student has a general education at acupuncture level and is properly trained in acupuncture.’
ParlaMint-NO_2003-06-10.ana.ud1780e1561	There is a vote on the proposal by John I. Alvheim on behalf of the Progress Party, transmitted by the Odelstinget meeting on 5 June 2003: ‘The decision asks the Government to consider allowing reimbursement for acupuncture as an independent speciality regardless of whether the acupuncturist has an independent health profession or not.’
ParlaMint-NO_2003-06-10.ana.ud1780e1579	It shall be put to the vote on proposals submitted by the Odelstinget meeting on 5 June 2003: ‘The Government asks the Government to take the initiative of a formalised semi-public training council in the field of alternative treatment, partly funded by the public sector. The Council shall preferably be composed of representatives of the performing organisations, the private training institutions of the industry and of public authorities.’.» The President expects the Right, the Socialist Left, the Christian People's Party and the Left to vote against.
ParlaMint-NO_2003-06-10.ana.ud1780e1599	It shall be put to the vote on proposals submitted by the Odelstinget meeting on 5 June 2003: ‘The Government asks the Government to assess different models that can better take account of the fact that it is always worthwhile to work more for persons who receive temporary disability allowance or disability pension and return to the Stortinget.’
