ParlaMint-NO_2003-06-19-2.ana.ud1033e28	No one has asked for the floor. [[See page 3539]]
ParlaMint-NO_2003-06-19-2.ana.ud1033e1427	What we're dealing with now is that the different parties have discussed the matter from a whole range of angles. We in the government party have been concerned about the role of the control committee, especially in relation to the courts. Our rule of law is based on the principle that state powers are independent. The government has its place of action, and the courts have their place of action and their jurisdiction, defined by the law. The Storting has the tradition of not going into cases that have been in court or that will come into court. According to the Christian People's Party's view, the Stortinget in this matter has crossed the border of what is its territory. I hope it becomes with this one case. The most special thing in this case is, in my opinion, the proposal from SV and the Progress Party that the Storting should pay some kind of compensation, directly in the hall, without any directionlines or procedural procedures. This is alarming, and it could have had serious consequences if the proposal had been multiplied. Measurement and compensation are home to the legal system or to settlement negotiations between the parties. In the case of the Storting’s own cheap substitute scheme, systematic and experimentally fair guidelines are established, so that not only the one that screams is the one that gets. The size should stick to these directions. Going beyond our usual arrangements I think I would be very unwise. I also think there are several people who might have reason to philosophize a little over which instances have to share responsibility for the fact that personal matters have not yet been resolved. I hope, at least, that when the Storting ends its intervention in the matter today, the Ellings/Defence dialogue will be normalized. So to something both the plural and the minority say, with exactly the same words: ‘In serious cases where it may be appropriate to withdraw the security clearance, it is particularly important that the procedure and handling are spot-free. The confidence of the security clearance institution depends on raised doubts that the security clearance and withdrawal of the security clearance are not misused.’;» This is significant, and we're completely in agreement about this. The whole committee also agrees that all comments from the EOS Committee should be taken seriously and followed up in the departments. Everyone in the committee has noticed that this has happened, through new routines, based on the EOS selection's comments on Ellingsen-saka. The Committee has divided its views on the need for a third review of the Owe Ellingens clearance case, a matter which is, moreover, also for Oslo Tingrett. The majority of the committee seems to think that a sentence of the Council of State expressed here in the Chamber, in a reply on 19 June last year, about an adequate position, was the right to create misunderstandings, because it should not be clear enough that there was an invitation to a job dialogue. I don't understand anything about this criticism. Firstly, the councils of state in the pulpit clearly reiterated whether they were thinking the wording correctly. And, more importantly, in the following sentence she said: ‘I believe that the details of what should be done should be communicated between the person concerned and the employer, who in this case is the Defendant’.» Governments are actually talking about communication about placement in an adequate position. It may not be possible to avoid hearing it. It may seem that one of these is almost constructing a problem, and it's not good for the reputation of the Control and Constitutional Committee.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1466	I will be the first to admit that this has been a difficult matter. The fact that the matter has stretched over three governments illustrates that. At the same time, I would like to say that I commend the committee on the intentions to raise this as a single matter. I agree with those who say that it is through the control of individual matters that we can ensure that the management acts as we please, and I agree that recordings from the EOS Committee should be taken very seriously and should weigh heavily. But it is on one point that I do not share the view of the Progress Party in particular, and that is that there is a Kafka process behind this matter. I have full confidence in the work that two previous governments have done, and through the insight that I have gained in this matter, I have found no reason to conclude that there are other motives behind this than those that have been put forward. This matter is well explained, and I do not want to go into all the practical issues involved in the dialogue between the ministry and the committee. However, I would like to stress that when the state lost the cancellation case, I chose to appeal first, in order later to pull the anchor for reasons I have explained. And the committee does not question my right to make these decisions. As for the EOS Committee's comments, last June I followed up the EOS Committee's criticism of change of procedures, and I am pleased that the Committee has taken note of this. After the previous debate, there have been no further enquiries from the EOS Committee on this matter, and I would like to remind you that in the letter from the EOS Committee to the Department relating to the unobserved review initiated by Godal, which was concluded under me, the EOS Committee does not therefore impose any new unhindered review. They leave it up to the ministry to assess — unlike the letter Godal received, which strongly recommended a new review. When it comes to the question of whether security calls were made or not, this is enough of a question that will be made subject to a procedure in the case before the court, and I therefore do not think it appropriate to address it. With regard to information about the appropriate position, my assessment is that if you read both my reply to the representative, Mr Enoksen, and my reply to the representative, Mr Engebretsen, you will find that the content of the vacancy must be clarified in close contact with the defence as an employer, and that it is not a specific position. I tried with the best of my ability to word according to the contents of the letter. With regard to the question of compensation, the Progress Party and SV in this case have a concrete proposal that Ellingen should be awarded a surcharge of NOK 200000. I am pleased that the majority opposes this and the other two proposals from the SV and the Progress Party. In the action for annulment, Ellingen has been ordered to bear the costs of the action, and, in the case of cancellation, the court says: «The dismissal case has been a heavy burden on Ellingen, but because of his many violations of the rules, which is a major cause of the dismissal, he himself has to bear much of the responsibility for his resignation. He is awarded a fine of $50,000.» The $50,000 is part of a claim from Ellingen of over 3.6 million. kr. Any compensation related to the security clearance issue shall be the subject of a court order. I have, to the best of my knowledge, ensured, through the defence as an employer, that the State has followed up the verdict in Oslo district court. The commitment and ambition have been to get a quick and good solution for all parties. I therefore fully agree with the Committee that it would have been desirable to close the case earlier, but in my opinion, the defence has advanced and demonstrated flexibility by being appropriate also to points beyond the provisions of the judgment. I hope that Ellingsen will now say yes to the position he is offered, a department manager with a higher salary than he had, so that this case can be concluded as well as possible.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1496	It's going to be line change.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1499	The person has now been offered a job, but as far as I know, he has not yet accepted this offer. Modulf Aukhan referred to the Council of State statement on the need for communication before finding a position acceptable to both parties. I think this is very correct. The position that has been offered to him is, as far as I know, a one-sided offer in the sense that this is an offer that has been sent to him by. letter and notice to respond to the offer. Does the Council of State now consider it appropriate to initiate a dialogue to find a solution?
ParlaMint-NO_2003-06-19-2.ana.ud1033e1504	At the time the anchor was not pulled, it was important to be able to have a dialogue with Ellingsen about placement in an adequate position. After the anchor was pulled, the most important thing was to execute the sentence, and the judgment says Ellingsen will have his position in the Defence. He was the department manager when he lost his job. That is why, after the judgment became enforceable, the defense has concentrated on identifying a department director’s job with a specific content, not a job that would be perceived as ‘to be put in an office’ without real content. But it is clear that there is a limited number of department directorships in the Defence Department with relevant content in relation to the job he had, and this position is the one that fits clearly best.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1509	The Minister of Defence said that after the anchor was pulled, the most important thing was to implement the judgment. Is the Council satisfied that half a year has passed since the anchor was pulled, and that no solution has yet been found? To join me in the Engreets Question: Could maybe the time have come to start talking, to have a conversation, to try to figure out what the other party was really looking for, to find a solution because it's been completely silent? So I'd like to ask about this with security clearance. I stated in my post that the Council of State should have given the security clearance back at the same time as the anchor was pulled. She certainly remembers that last year at this time we suggested to ask her to pull the anchor. Then it was completely impossible. So it became possible a while later. Someone wanted it to be because the state eventually realized that they had a bad case. There were still new witnesses, but I can't say anything about that. Does the Council of State agree that she was formally allowed to give instructions to give Ellingen the security clearance back?
ParlaMint-NO_2003-06-19-2.ana.ud1033e1518	With regard to the first question, where Carl I. Hagen refers to the dialogue with Ellingsen after the judgment became final, as a dialogue that has been completely silent, I do not share that view. It was quite clear in the judgment that it was getting the job back in the defence that was important. That is why the Defence Department, as a subsidiary of the Ministry of Defence, has had the dialogue with Ellingsen. And the defense has shown flexibility by having a dialogue about any early retirement, possibly leave in a rehabilitation period, additional compensation in addition to the compensation that the judgment had awarded, etc. However, it has been identified through the media that it was a topical issue to give him a position in the Ministry of Defence. It's never been true, and I'm glad that the majority there have the same opinion that I have.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1523	I just want to make a brief remark about the last thing that the Council of State said, that I do not see that the majority has taken a decision as to whether it is right to give him a position in the Ministry of Defence or in the Defence, but now leave it. I have two questions for the Council of State. The first concerns what the majority of the Committee considered fit to create misunderstandings between the Storting and the State Council. There is my specific question: does the Council of State think that it is possible to say that someone has given an offer for dialogue if enquiries from one party to another are lost and not answered? So to the second question. The Council of State said that on one point she could not share the criticism. In particular, there was something from the Progress Party in relation to this with a Kafka process. But does the Council of State understand the criticism of the majority of the committee on the other points? Has the Council of State taken this criticism inward in any way? Will this criticism from a large majority have any consequences in relation to future consideration of this matter?
ParlaMint-NO_2003-06-19-2.ana.ud1033e1532	In the reply I gave in Stortinget on 19 June last year, I formulated myself as close as possible to the text of the letter I referred to. The question from Arnøy is whether there is a real dialogue when it turned out in retrospect that a letter that had been sent to the Defense was not received by the Defence. The offer of dialogue lies in the first letter, although I am the first to admit that it was very unfortunate that the letter to which it is referred could not later be registered in the defence archives. As for the second question, whether I have taken this inward, it is clear that in that I chose to draw the anchor, in that we have stretched out the offer to Ellingen, beyond what is strictly stated in the judgment, and in that the points of the EOS Committee have been followed up to the point and the point, there is just a recognition that in this matter is the absolute thing we have to learn.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1539	First, I want to give you an observation. With the lack of will and action that the Council of State continues to show, I would not be surprised if we had a similar debate in one year's time. The question then is who is participating on the other side. I have a question that I did not get an answer to. Does the Council of State agree that there were no formal obstacles in order that she could have given instructions to give Ellingen the security clearance back when the appeal in the dismissal case was withdrawn? So one year ago, it was impossible to draw the anchor, but it was done later. Can the Council of State confirm that yes, she could also have given instructions and brought the case against Ellingen on the security clearance, by granting Ellingen the right to that question, and by giving it back? With regard to the dismissal case, is the Council of State concerned that we are now getting what might be called Lex Krohn Devold, that all employers who are in dismissal proceedings for the judiciary can train for re-employment if they lose, simply by reorganising the position they had, remove the position and also withdraw it, so that there will be a new legal case on that issue?
ParlaMint-NO_2003-06-19-2.ana.ud1033e1548	I'll do the last one first. It is suggested that the defense was reorganized in my time to prevent Ellingsen from getting his position back. If I'm wrong about that assumption, it's good, but I perceive a few of the posts so it's suggested. Then I just have to make it clear that the position Ellingsen had was reorganised long before I joined the Council of State. That being said, in any organisation undergoing frequent reorganisation, everyone, whether in a situation of dismissal or one, will have to expect to be relocated to other positions in the organisation. The most important thing here is the willingness to put Ellingsen into an equally important job — the head of department — with a higher salary. As far as safety clearance is concerned, the most important thing here is whether I, the Council of State, felt that my predecessors made a misassessment when they took Ellingen from the security clearance. But I have therefore supported the decision of the two previous governments on this issue, and I have therefore not assessed what Carl I. Hagen is asking about.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1555	In its first response to me in relation to whether the Council of State has taken the criticism inwards, the Council of State shows examples that the Council of State has experienced this as a difficult matter, and of course I have every sympathy for it. But that wasn't my question. My question was about the criticism that is now coming from Stortinget, which has some consequences for the future handling and handling of this matter. I record that the Council of State had heavy assessments in relation to appeal/not appeal, but it is less important in relation to what was my question. To repeat the question, if it were to be unclear: here comes a big crowd with a clear criticism. Has the Council of State understood this criticism, and has the Council of State taken this criticism inward? And does this criticism have any consequences? After all, I record that party traps by the Council of State indicate that they are unable to read and understand the criticism from the comments and what is said in the Chamber, and then it is of particular interest to hear if the Council of State has understood what has been said and written.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1564	As far as the Committee's comments are concerned, they affect a variety of aspects. It is therefore not possible to answer in a single manner other than that I have noticed the criticism and, of course, on behalf of the department will ensure that in the future I have as tidy procedural procedures as possible, which I have also implemented through new instructions. However, elements of the criticism go, for example: that a new unhindered review should be carried out. My assessment has been that the unhilded review that Godal initiated, which was concluded just after I joined, although it has had shortcomings, has not given a different result than what a new review would have given. That is why I have followed what is stated in the last letter of the EOS Committee, namely that it will be up to the Department to assess whether a new review is necessary. And we haven't found it necessary. It is one of several points mentioned by the Committee. [[The President clubs.]] It's time-difficult to go into everyone.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1572	The cord shift is over.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1575	The centre party is not represented in the Control and Constitutional Committee, but in various contexts we have been both committed and critical to the way this matter has been handled. It is unusual that such a case as this is first mentioned by the EOS Committee several times and secondly ends up as a matter in the Stortinget. The majority of the committee then also strongly criticises the Council of State's handling of this in the vote. There is no doubt that what has happened, the way in which this matter has been dealt with, is reprehensible. It is established in a court order, which was properly appealed first, but where the anchor was pulled, that a member of the defence was unjustly dismissed. In such a situation, the employer has a specific responsibility to find a solution that both parties can live with. After hearing the State Council's comments today, I regret to say that I still do not feel quite sure that this matter will be concluded in a reasonable manner. The Council of State refers, inter alia, to: in its statement that it is the Defence as a sub-department that manages the dialogue with Ellingen. But then I have to remember that at this point in time this was actually a matter between the Storting and the Council of State. And that is also the responsibility of the Council of States to ensure that dialogue is established in a way that makes it possible to find a solution. Then it is not enough to push responsibility over to the defense and say that this is to be done by the defense, as he has been employed in the defense. That responsibility must reach the Council of State. I hope we don't have to get this case back to processing several times. There will be a situation in which the State in which the employer should not come into being and which will be unworthy of both the way in which workers are to be treated and the lack of dialogue that has occurred in this case. The centre party will vote in favour of the proposal No. 1 and 2 from the Party of Advancement and the Socialist Left. We will not vote in favour of proposal No. 3, which says that Stortinget will provide a compensation. It is not, in our opinion, a matter which should lie with the Storting in this context.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1594	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1597	I think the Council of State should still consider initiating a dialogue. This is not a matter between government and other social machinery. This is a case between the employee and the employer. In this case, therefore, the employer has acted unfairly against him, as he has been dismissed, and the termination is invalid. This is a special requirement for us as employers. It is neither a good situation nor a reasonable situation if this case continues to stand still. This offer that has been made and that has not been responded to, as far as I am aware, suggests that the employer should take an initiative and be generous, liberal, and try to get this in place. I would strongly recommend that the Council of State take such an initiative. Then I asked for the floor to be allowed to make an explanation of vote. It is the case that the Workers' Party is involved in the critical majority comments on this matter, and then it may seem as if we are jumping off in the middle of the sweat when we arrive at the adoption proposals here. As regards proposal No: One, we don't agree with that because the case stands for the court. So we don't want to go into this case that stands for the trial. As regards proposal No: 2, we have expressed our critical comments on this matter in the way we think is appropriate and reasonable. As regards proposal No: 3, to provide compensation to the person concerned, the first case has not been settled. Secondly, it is our opinion that the Storting should not assume the role of determining, defining and also determining substitutes, but leaving it to the right authorities of society. That is why we are not in favour of the proposals that have been put forward.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1614	At the outset, I would just like to say briefly that the Progress Party and the SV have promoted in their proposal No. 3, not applicable to compensation. It is a proposal for an uproar on the basis of which, as stated in the comments, it is an extraordinary situation in our view when an individual suffers so much congestion because the comments of the EOS Committee have not been followed up. However, there is no legal basis for going to the action for damages. In our view, this is two different things. In relation to the proposal for a new and unwarranted assessment, which we are promoting, it is not a proposal to instruct the courts. It's a suggestion to instruct the Government. The Council's second reply to me well illustrates why we are promoting such a proposal. What the Council of State says – if I understand her correctly, I hope she corrects me if I have misunderstood anything – is that she notices the criticism of the Greatness, and she has made routine changes. Unfortunately, the Council of State has not yet been able to say anything concrete about whether the criticism of the Storting in this specific case will have any consequences in relation to its treatment. On the contrary, a large number in comment form says: ‘In the view of the majority, a natural consequence would be that a new and unsound review of this matter had been carried out in line with their own guidelines.’ But the Council of State clearly and unequivocally says from the pulpit of the Storting that she does not find a new and unhindered review necessary. Of course, it's a big deal to say that it's a big deal to promote such a proposal, but I think a government council that takes on criticism in the form of a comment from a big crowd in the way that she says she disagrees, maybe asks for things to be promoted in the form of proposals. But I want to repeat the question, because it is possible that I have misunderstood the Council of State. I have understood her there that there are no consequences to point out of the criticism of the majority of the population in relation to this specific matter. Although this is not a line, I would strongly urge the Council of State, if at some concrete point in relation to the Ellingsen case there would be some practical consequences of the fact that a large number of people come up with a clear criticism, to exemplify it from the pulpit. I hope she can.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1633	It has been said that people must be treated properly. No one disagrees that people are being treated properly. Ellings were subjected to poor procedures during the process. No one disputes it, nor does the Council of State dispute it. The issues raised by the EOS Committee have been followed up by various government councils and will hopefully ensure that we do not experience inadequate procedures in the future. As regards the treatment of Ellingsen with regard to the judgment of the City Court, it is satisfied that he has received an offer for a position with a better salary. But for natural reasons, that the defence is being reorganized, he cannot get back exactly the same position. The second is, of course, that he cannot get back the same job, because the case is in the legal system because Ellingsen's lawyer has sued the State. It becomes a bit special that a State Council should go in to draw the case, when it is the other party that has sued the State. I note that the Progress Party and SV do not think that Ellingsen has been properly treated in terms of financial matters, and that they feel that the Stortinget should intervene in relation to the State Council as well as legal instruments. In other contexts, some are quick to present the mantra ‘equal to the law’. Other important principles — at least in the legal system — are the separate handling of each case. Assessments of the effect of a preliminary ruling and precedent effects are not to be confused with other countries, but relatively similar cases should be treated relatively equally — subject to specific circumstances. It's not entirely a coincidence that the kind of questions belong in the legal system. I would like to say that consistency and legal certainty are better taken care of there than in a Parliament. There are a lot of good politicians in both the Progress Party and the SV, but I'm not as sure that everyone is just as good a lawyer or a judge. I believe that there is a reasonable special practice to be followed when a single person's lawyer in an ongoing trial or after a closed trial is to be able to use the members of the Control Committee as a kind of appeal body for his client, and that the members of the Committee, on the basis of how sinful one individual appears, are in fact to review the conclusions of the judicial system. One should not fall victim to individual experts, nor should one fall victim to the ability of policymakers to ensure fair measurement of compensation in all the individual cases that, after all, exist. It's going to be a pretty nice situation if you want to be able to pick up a phone in every law firm in the city, either to the representative Hagen or to some of us if you're dissatisfied with what your client got in dollars and dollars, so that the control committee and the Stortinget – depending on the day-form and the level of how bad you think of the individual – will put off what you think is right. It has to be the consequence if you're going to treat most people in a proper way, because it can't be that we're going to discriminate. We're not going to treat Owen Ellingen specifically. What about all the others who feel ill-treated, who may have received lower compensations for worse things than the Owe Ellingsen has been exposed to? That is the consequence if the Stortinget would possibly adopt the proposal of the Progress Party and SV. I could imagine a little comment on how one would think such a practice would be in relation to the distribution of power in this country.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1650	The President does not think the representative should be concerned that he is not getting any comments.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1653	Now I think the big representative, politician André Dahl forgot that that's what he's in this room. This isn't a courtroom. I got the impression that, sir. Dahl thought that this too is a courtroom. It's not. Here it is not about compensation and not about jus. This is politics. What we're doing here is we're controlling the Council of State's performance. This matter has not come here because some lawyers have contacted me or others. It has come here because the Storting's own control committee criticised the way Ellings had been treated. And then ask, sir. Dahl about what about all the others? I hope not that there are so many others who are in the situation that Ellingsen has been for a while, and that everyone has agreed – we should say – not good. Everyone agrees that Ellingsen has not received any good treatment, and a court has actually closed the case because the anchor was pulled. This applies to the enforcement of a judgment, and it is therefore the State that is the employer. And we're involved in this because our control committee has raised the matter in an annual report addressed by the Storting's Control and Constitutional Committee. I would also like to remind you, Mr President. Dahl on the statements of Svein Ludvigsen, who was the case rapporteur two years ago. There's no other case that looks like this. And it is clear that the adoption of an uproar – not a replacement, but a uproar – would of course also have been a tribute to Ellingsen. It would have been a real uprising The Storting had decided, understood a reproof of some former government councils who had not done their job. That would have been significant. It's not the amount that matters here. And it won't, I think, be any similar things. I hope that, in the future, we will have government councils in all the departments that make sure that in such cases a solution is found. André Dahl said in his first post that we should not do anything about this in Stortinget, because there were others who were better suited to solving these issues. It's not! Because then this had not been a matter today. Then the matter had been resolved. And I will once again join in what Kjell Engebretsen said, to strongly ask – and to give advice to – the Council of State to cut out the formal light that this is the Defence and Defence Command, not the Ministry of Defence, to resolve. It is the Council of State we control, and we are not satisfied with the way this matter has been dealt with and handled by the Council of State. Now she should show a much greater commitment, not just here in the hall, but through some meeting activities and by giving instructions – instructions – to her subordinate bodies. And the defense should know what an instruction or -- let's say -- a command is.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1666	Several have not asked for the floor on case No. 12th@item: inlistbox [[See page 3546]]
ParlaMint-NO_2003-06-19-2.ana.ud1033e1683	This is a matter of a small amount, but an amount that can provoke. The amount is NOK 3, an increase from NOK 108 to NOK 111. The reason why it can provoke is that in the setting under “Evaluations” it says: ‘The addition of the Service Plug-in is an important contribution to the process of raising the status of the seconded protected crew.’ So it has to raise the status. That's when you can ask: how much is the status raised by NOK 3 – and there are protective crews involved – when we know that it's only approx. 40 pst. of each year’s coal for the first time, and at the same time it can be read in your money that you save NOK 100000 by discharging your duty of protection. That's when you can feel a little provoked compared to if NOK 3 helps to raise the status. It's a unanimous committee that goes in for this. But I can promise, on behalf of the Progress Party, that we will work to ensure that the status of the guardians will be lifted in the future, and that we will contribute to the raising of the crown so that it really monies. There's not much to buy for NOK 3.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1695	It is late in the evening, and the starting point for the committee was that there should be no comment on this matter. But when Bredvold claims that NOK 3 is nothing, it has to be said that that's not the theme here. We're increasing the amount from NOK 108 to NOK 111, that's the daily allowance. We also said in the setting that we would come back to this matter of status lifting. That is why we have not considered this matter with regard to these three heads. I refer you to the setting that we will return to the matter of status raising when it comes as a separate matter for Stortinget.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1702	Several have not asked for the floor on case No. 13th@item: inlistbox [[See page 3547]]
ParlaMint-NO_2003-06-19-2.ana.ud1033e1710	We then go to voting on the matter on today's map.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1717	A total of 42 proposals have been put forward during the debate. It's proposal No 1 by Reidar Sandal, on behalf of the Labour Party and the Progress Party, proposal No. 2, by Reidar Sandal, on behalf of the Workers' Party and the Socialist Left Party, the proposals No. 3 and 4, by Per Sandberg on behalf of the Progress Party, the Socialist Left Party and the Central Party, proposal No. 6, by Ivar Østberg on behalf of the Right and Christian People's Party the proposals No. 7 and 8, by Per Sandberg, on behalf of the Progressive Party and the Socialist Left, 9 – 11, by Reidar Sandal on behalf of the Workers' Party, proposals Nos. 12 – 20, by Karin Andersen on behalf of the Socialist Left Party and the Central Party, proposals No. 21 – 34, from Per Sandberg on behalf of the Progress Party, proposals Nos. 35 – 40, by Karin Andersen on behalf of the Socialist Left Party, and the proposals No. 41 and 42, from Magnhild Meltveit Kleppa on behalf of the Centre Party Proposal No. 37, by Karin Andersen on behalf of the Socialist Left Party has been amended and distributed in the seats of the representatives. Here, there'll be a lot of out and in and a lot of subsidized voting, so we can just take the time we need. Mr Sandal has asked for the floor to be put to the vote.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1757	I would like to ask the President to arrange the vote in such a way that a first vote over XI in the vote – that concerns the question of the new cost key for social services – and then over the Progress Party's proposal, no. 26, which deals with the same thing. Then I would like to clarify that when it concerns the further handling of the matter, I assume that the matter of a new cost key, which is likely to then be agreed in accordance with proposal No. 26 will be dealt with in parallel in the Stortingen, so that the new system of new cost keys for social services can be implemented from 1 January 2004. Finally, when it comes to the proposals of the Central Party, the Socialist Left Party, the Progress Party and the Labour Party on the financial framework for the municipal sector for 2004, I would like to ask that the voting order be such that a first vote on the SV's proposal, then on its Central Party, then on its Labour Party and finally on the Progress Party's proposal. I would then like to call on the Labour Party to vote its representatives in a subsidiary way in favour of proposal No. 24, from the Progress Party.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1768	I'll try. First of all, there is a vote on proposal No. 41, from the Center Party. The proposal reads as follows: ‘The decision asks the Government to set up a scheme in which municipalities may retain up to 2 pst. more of the tax revenue, by reducing its income accordingly.»
ParlaMint-NO_2003-06-19-2.ana.ud1033e1782	There is a vote on proposal No. 37, from the Socialist Left Party. The proposal has been amended and distributed in a new version. The proposal reads as follows: «The total income of the local government sector shall be 8,25-8,75 billion. kronor for 2004.The growth in the free income of the local government sector shall be SEK 6.75 billion. 2004 crowns.’»
ParlaMint-NO_2003-06-19-2.ana.ud1033e1799	There is a vote on proposal No. 42, from the Center Party. The proposal reads as follows: 1st@item: inlistbox The growth in total income in the local government sector shall be between 7,75 and 8,25 billion. 2004 crowns.2. The growth of free income in the municipal sector shall be about 5.25 billion. crowns in 2004.»
ParlaMint-NO_2003-06-19-2.ana.ud1033e1819	There is a vote on the proposals Nos. 35 and 36, from the Socialist Left Party. Proposal No. 35 sounds: «The Government asks the Government to submit proposals for amendments to the Law of 6 June 1975 on property taxes to the municipalities, which means that property taxes can be issued throughout the municipality and which allow for faster changes in the level of property taxes than the current system.» Proposal No. 36 sounds: ‘The decision asks the Government to facilitate freer municipal tax procedures.’
ParlaMint-NO_2003-06-19-2.ana.ud1033e1841	There is a vote on the proposals Nos. 38, 39 and 40, from the Socialist Left Party. Proposal No. 38 sounds: ‘The Government requests the Government to propose an increased framework to the 2004 government budget for the scheme of interest-free loans for the upgrading of school buildings.’» Proposal No. 39 sounds: ‘Contributions to local cultural buildings, grants for local environmental protection, grants for municipal monitoring and monitoring of biodiversity, grants for sewerage measures and grants for holistic water management are not included in the framework grant.’;» Proposal No. 40 sounds: ‘As of the financial year 2004, the Government requests the inclusion of the earmarked grant into the framework grant for the Council of Churches’.» The Coastal Party has announced their support for the proposals.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1870	There is a vote on the proposals Nos. 21, 22, 23, 25, 27, 29, 30, 32 and 33, from the Party of Advancement. Proposal No. 21 sounds: ‘The Government asks the Government to draw up proposals on how local democracy can be developed and how citizens of the different municipalities should be given increased incentives to participate in local policy. Including this, the Government is asked to present a comprehensive plan on how the municipalities will have access to planning and land matters within their own municipal borders.’ Proposal No. 22 sounds: ‘The government is asking the Government to draw up a comprehensive plan to intensify the quality assurance of municipal services, including ensuring that municipalities have policy tools to ensure that citizens get the most out of tax money.’ Proposal No. 23 sounds: ‘The Government asks the Government to file a case for the removal of the county municipality as a self-government level.’ Proposal No. 25 sounds: ‘The government is asked to assess alternative compensation schemes for the loss of a differentiated employer’s fee for the municipal sector. The Government is requested to present this in the 2004 State Budget.’ Proposal No. 27 sounds: ‘The Government asks the Government to consider a greater degree of direct government user funding as a substitute for current framework funding.’ Proposal No. 29 sounds: ‘The government is asking for more intensive plans to get young users with special needs out of institutions.’ Proposal No. 30 sounds: ‘The decision asks the Government to assess and propose the coordination of the requirements with regard to the municipalities.’ Proposal No. 32 sounds: ‘The Government asks the Government to submit a case to give challenge rights to private tenderers, in order to give private persons the right to make offers for the performance of municipal tasks, and the municipality undertakes to compare the costs and quality of the offer with the existing solution.’ Proposal No. 33 sounds: ‘The Government asks the Government to present a case in connection with the 2004 State Budget on State financing of municipal mergers.’
ParlaMint-NO_2003-06-19-2.ana.ud1033e1929	Proposals Nos. 24 and 26 it'll get wet over later. There is now a vote on the proposals Nos. 28 and 31 from the Progress Party. Proposal No. 28 sounds: ‘The Government requests that the entry point of the financing mechanism for users with special needs be set at NOK 400000 per year. user, with 70 pst. the compensation limit up to 600000 kroner. Above this the compensation limit is set to 90 pst. The allocation shall be an estimate.’;» Proposal No. 31 sounds: ‘The Government asks the Government to submit proposals for the establishment of its own parental supervision, which shall direct the supervision of institutions providing services in the care of the elderly.’;» The coastal party has announced that they want to support the proposals.
ParlaMint-NO_2003-06-19-2.ana.ud1033e1954	Proposal No. 34 is drawn. There is a vote on the proposals Nos. 12, 14, 18 and 19, from the Socialist Left Party and the Center Party. Proposal No. 12 sounds: ‘The Government asks the Government to grant free tax relief to municipalities, and to return to the Stortinget with such a payment, at the latest in the municipal bill for 2005.’» Proposal No. 14 sounds: ‘The Government asks the Government to make a compensation scheme that ensures full compensation for each municipality and county municipality in relation to the costs of an increase in the employer’s contribution.’ Proposal No. 18 sounds: ‘The decision asks the Government to establish incentive arrangements for the distribution and implementation of inter-municipal cooperation solutions.’ Proposal No. 19 reads: ‘The Government asks the Government to carry out a review of the Municipality in order to remove obstacles to inter-municipal cooperation.’
ParlaMint-NO_2003-06-19-2.ana.ud1033e1988	There is a vote on the proposals Nos. 16, 17 and 20, from the Socialist Left Party and the Center Party. Proposal No. 16 sounds: ‘The government asks the government in the investigation for a new corporate tax model also issued a model in which parts of the tax belong to the county.’ Proposal No. 17 sounds: ‘The decision asks the Government to establish a national experience base for intermunicipal cooperation. In such a base, experience must be gained from different ways of organising and operating inter-municipal cooperation. The experience base should also include key models for different forms of cooperation that municipalities can use and adapt to their local needs.’» Proposal No. 20 sounds: ‘The size asks the Government in the 2004 budget to provide a fixed funding model for the ongoing upgrading of existing housing stock to the life-cycle standard.’» The coastal party has announced that they want to support the proposals.
ParlaMint-NO_2003-06-19-2.ana.ud1033e2017	There is a vote on proposal No. 15, from the Socialist Left Party and the Center Party. The proposal reads as follows: ‘The Government is asked to introduce in 2004 a state top funding for particularly resource-intensive users of municipal services where 100 pst. of expenditure above NOK 600 000 per person. the user is covered by the State. The allocation shall be an estimate.’;» The Progress Party has indicated that they wish to support the proposal in a subsidiary manner.
