ParlaMint-NO_2003-10-15.ana.ud1651e28	The representative, André Kukkestad, who has been licensed, has once again taken the seat.
ParlaMint-NO_2003-10-15.ana.ud1651e849	I would first like to say that this question was raised earlier this year through the daily press and was answered there, and one has also given answers to the Attac organisation. But I would like to repeat the answer and would like to elaborate on the question that Bjørlo Lightbakken has now raised. It is important that people engage and contribute to diversity in the social debate. The voluntary organisations are an extremely important and crucial component of the democratic and open debate that both the representative Bjørlo Lysbakken and I want to express our society. The movement of anti-globalisation is a very important contributor to the debate on globalisation. But it is unfortunately also part of the picture that violent elements may want to hide in – and thus act as part of – peaceful democratic movements. It's e.g. known that violent elements were present during the demonstration at the World Bank ABCDE conference in Oslo last summer. In this connection, I show that the organizer of the demonstration, the police and the overwhelming democratic majority of demonstrators combined contributed to the non-violence of these elements. That being said, all parties deserve a great reward for the fact that this demonstration almost became a street party where the message was in focus. It was due to the demonstrators, it was due to the police, it was due to cooperation between the police and demonstrators. This made a living democracy of which we must be proud. The anti-globalisation movement is part of such a public opinion. When the anti-globalisation activities were mentioned in the 2003 threat assessment under the heading ‘political extremism’, it was only because violent elements could hide in the movement and then, in order to emphasise, as it says in the threat assessment, that the movement as such was actively involved in preventing such violent elements. To further clarify this: the anti-globalisation movement in Norway, as I know it, is not a political extreme movement, but a social-critical movement that makes important contributions to a necessary social debate.
ParlaMint-NO_2003-10-15.ana.ud1651e860	I thank you for your answer. I agree with the Minister of Justice's assessments and am pleased that he sees it this way. Nevertheless, it is important to point out that the picture given in the text we are talking about here is rather unsound, because there is no emphasis on exactly what the Minister of Justice himself was about, and which is an important point, that there have never been violent incidents in connection with demonstrations, markings or other things that have happened around the critical movement of globalisation in Norway, and that it is such that some organisations and individuals expressed their sentiments of the way they were referred to, which open up to both speculations and misunderstandings. Therefore, I wonder if the Minister of Justice is ready to agree that the way this was set up and came out was unfortunate.
ParlaMint-NO_2003-10-15.ana.ud1651e867	The way it came out was a journalist asked an open question. The Ministry of Justice gave the main comment I was making now. What you didn't say, and that I don't think came with, for example. In an interview in the newspaper, there is a positive description about this. Otherwise, there is not so much positive about such a threat assessment, if you go through the unupgraded version of it. When it was included, it was probably just because it's a fact that domestic, but perhaps mostly abroad, people have abused demonstrations in such a context. What is the point, even with what is actually in the threat assessment, which is publicly available, is that you get a certificate of satisfaction. That is usually not the way to express itself in such threat assessments. There you express concerns, a little sadness and a little bit of seriousness. But the fact that you can say something to someone in such a threat assessment belongs to the exceptions. It's expressed in the text. I repeat nothing here but what is in the text, and I think it is reasonable and right to do so.
ParlaMint-NO_2003-10-15.ana.ud1651e872	I thank you again for the answer. I think it is important to point out that this certificate of satisfaction nevertheless enabled public attention and the angle that this received. That's what ultimately determines the impact that people out there are getting from the government's relationship to an important system-critical and radical political movement. In other words, the authorities also have a responsibility for how to put their words not only on the basis of what you think you have said, but on the basis of what is perceived in society as having been said. That is why I believe that the Minister of Justice should regret the fact that the text was put up in this way under this heading. It should be a simple matter, without anyone imagining the Minister of Justice or others in the Department that they meant anything other than what they said. I think it would be a natural thing to do.
ParlaMint-NO_2003-10-15.ana.ud1651e879	Now it doesn't have to have open, unupgraded threat assessments a long story in Norway. I have been instrumental in that we have, so of course I stand by that. In such a context, it belongs to the exceptions of making some positive comments, and it is my duty to speak the truth that there are often people who want to take advantage of other people's positive and good motives. But we have an overwhelming story in Norway that shows that we are dealing with it. I know the Alta demonstrations very well, very long ago. They were just teased because police and demonstration management had a very tidy and good contact. It was a great pleasure for me to note that when we had the ABCDE conference, this repeated. But through police reports, I know very well that someone was trying. I'm not going to go into detail here in Stortinget. Let's just congratulate ourselves on the fact that democracy movements and the police together had so much sense and calmness and contact that these elements were never allowed to harm anything that would be a worthy and proper mark.
ParlaMint-NO_2003-10-15.ana.ud1651e890	I have a question for Minister of Justice Dørum, who goes so far in the same street as several questions have asked earlier today: ‘According to the Agderpost on 13 September, five police officers guard 62,771 citizens in Arendal, Grimstad and Fromand from 9.00 a.m. 16:00 to 7:00. The police reform was supposed to give more policemen active service. On Agder it seems quite the opposite to having happened. The result is more job opportunities, a less visible police force, falling trust in the police among the public and internal frustration in the building while crime is increasing. What will the Council of State do to correct the crisis that now seems to characterise the Agder Police District?’
ParlaMint-NO_2003-10-15.ana.ud1651e899	I've obtained information through the Police Directorate. My answer is: In order to provide the population of Agder with the best possible security within available police resources, the Chief of Police in Agder has established a so-called minimum staff in each area of vigilance. However, the required minimum manning is related to the times of the day that experience requires at least police resources. At times of the day when the need for police is greater, manning is adapted to the situation. The description of Mr Andersen's representative can easily be misunderstood as to the fact that the minimum crew in the Arendal, Grimstad and Fromand watch area represents the actual crewing of all days of the week outside normal working hours. This isn't right. The afternoon on Friday and the night before the newspaper report, night to Saturday, the crew in the current watch area varied, but it was always clearly higher than five people. Usually, the chief of police does not go out with what concrete staff it is at all times in the district of Agder. It is for the sake of effective fight against crime that the police district does not want to tell how many people they have on the job at any time. The Chief of Police has made known the minimum crew so that the population should know that there is never less than five in the relevant area of vigilance. With regard to the overall staffing of the Agder police district, the number of ordinary posts is the same as before the three former police districts were merged. Compared with the other police districts of the country, Agder belongs to those who have a proportionately good crew.
ParlaMint-NO_2003-10-15.ana.ud1651e914	I thank the Council of State for the answer, and notice that. I would like to stress that the frustration in the South is great in this matter. Mr Dørum, Minister of Justice, received a letter from all the rapporteurs in the 29 municipalities and the two counties which constitute the Agder Police District in May this year, expressing his great dissatisfaction and dissatisfaction at all the positions in the Agder Police District. Most recently, the news in Sørlanden focuses heavily on the fact that several places are fighting hard against further cuts in the police. Yesterday, a representative from the Left in Tvedestrand, i.e. Dørum's own party, promoted an interpellation on the local government about the desperate manning situation at the city's county office, where 20 pst had to be cut. in the number of posts. It would have been nice to ask: what will Dørum answer his own party trap from the Left in Tvedestrand for a cut of 20 pst. in the number of police posts in the city? Sounds like a 20 pst cut. at a time when crime is increasing, is the police safe to the ears of the state council?
ParlaMint-NO_2003-10-15.ana.ud1651e923	I'm neither a police officer in Agder nor a police officer. I notice, of course, any reaction that comes to what is happening in Police Norway. It varies in different parts of the country. I'm not going to go into it now, except to say that Agder has the resources that I've been working on here. They have also received, for the current year, a significant amount of additional appropriations from the Directorate of Police to cope with their operational situation. I know that the Police Directorate is following the situation in the district very closely, and I keep myself informed about what they're telling me. As for the specific matter in Tvedestrand, it was early, fortunately, a fundamental clarification that when a man is elected as rapporteur, he naturally has the right to keep his job when he comes back. It was just supposed to be missing! Otherwise, I will basically add, after I have sometimes holidayed in the South, that I would like to see more of the joy it was expressed in the Agderpost one day, when it was written that the police in Riser moved out to Tvedestrand because the Tvedestrand police had something else to do, and that, as far as I remember, they also received assistance from the police in Gjerstad. Co-operation across municipal borders is a good thing. Other details will be taken with me when the police reform is evaluated. I said earlier today that evaluation means learning well, but also what you can learn from to improve everything.
ParlaMint-NO_2003-10-15.ana.ud1651e932	Once again, I thank the Minister of Justice for the answer, and I am pleased that he will follow up and follow closely what is happening in the area of police reform 2000 onwards. But after the information I have, Agder Police District is the police district that has lost most resources in the country. It doesn't rhyme with what the state council here says. I would like to say that, after such a weakened position, there is no way to implement the main intention of police reform in 2000 for Agder. I think this is very worrying. I therefore hope, as I said, and as the Minister of Justice said, that he will have a particularly keen look at the further course of police reform, and also at the resource situation and the special challenges facing the Agder police districts in the future. In this case, I hope that it will provide positive results for the country in the long term in this context, and will see to it that the Council of State keeps what he promises, and that he will carefully assess what is coming out of the 2004 Review of Police Reform 2000, and take particular account of Ageds in this way.
ParlaMint-NO_2003-10-15.ana.ud1651e941	Evaluation means learning. But I note, for example. that the police in Agder – just to take one example – have built up their skills in what we call domestic crime, that is, domestic violence. In this area, this crime has been tackled in a way that you can be proud of, even in relation to the country. Part of the police reform is about building skills. I also refer to what the police officer in Agder said this summer, that one must take seriously the underlying organized crime, which is a new challenge in the district, and which I know is being taken seriously. The crime scene is changing, and the representative Andersen can at least trust that when I think something is going to be evaluated, that means that that's what's going to happen. Then, in order to stick to an expression my late mother-in-law taught me, we must follow the principle AMB – everything on the table!
ParlaMint-NO_2003-10-15.ana.ud1651e954	This question, from the representative of Dagrun Eriksen to the Minister for Children and Family Affairs, will be raised by the representative of Brother Yngve Rahm.
ParlaMint-NO_2003-10-15.ana.ud1651e957	I would like to ask the Minister for Children and Family Affairs a question related to the spiral of violence that develops in society in many areas, both at random and in pairs, and this is a development that needs to be tackled in several ways: ‘Violence must be controlled through two tracks: the victim must be protected by alternative housing offers, restraining visits, etc. The perpetrator must also be helped to stop beating. It is important to prevent violence. Violence prevention measures should be developed in such a way as to make the offer nationwide. The organisation Alternative to Violence carries out such work in several places in the country. [[ATV]] ATV in Telemark has had a three-year project which ends in December. What will the Council of State do to ensure and extend violence prevention?’
ParlaMint-NO_2003-10-15.ana.ud1651e966	Let me first say that the question is about violence in close relationships, often in families. For the most part, men are behind this violence, and victims are mostly women and children. Children who experience violence, either directly or indirectly, may have major problems in processing and coping with such experiences. In addition, they are particularly vulnerable; they cannot leave home. I agree with the representative Eriksen's wish to prevent such violence. Violence practitioners need to be guaranteed treatment services, and we need to develop prevention measures where men and young boys who struggle with their aggression and their sense of role can meet before the first battle comes. I have indicated in the budget proposal the need to develop nationwide measures and to contribute funds to the fight against violence against children and families, both for prevention and for treatment. In addition, I would like to refer to the establishment of the National Competence Centre for Violence and Traumatic Stress, which is behind several departments, where I propose 1 million in addition to existing funds. to the development of knowledge on violence and trauma. In addition, there will be, among other things: The experience of ATV in the Telemark project and the work of ATV on men over many years has been systematised and made available to all treatment and clinical institutions. The crisis centers, 50 in the number, offer a good deal to violent women and their children. We are now working to strengthen the crisis centres competently, both with regard to children coming to crisis centres and women with a minority background. In addition, the government is working on a new action plan against violence in close relations, and in December, the government-appointed Women's Violence Committee will present its position. Both the Action Plan and the Committee on Women’s Violence will propose ways of putting an end to the work on preventing man’s violence. In addition, I would like to remind you that Storting's request decision No. 95 for 2002–03 asked the Government to consider how to develop a nationwide offer to men who use violence in close relationships. We are already doing this well. We have recently met with the project ATV-Telemark to discuss the challenges related to the possibilities of extending this project. The Ministry of Children and Family Affairs is also in dialogue with the Ministry of Health and the Ministry of Justice as natural partners in this matter. Let me end by saying that there is hardly any other area that is as diverse as the violence of men against women and children in close relationships. Without solving the problem of men's violence against women, we can never achieve an equal society. I can assure the representative that the Government will work to ensure that men who commit violence are offered help to deal with their aggression and their violence. Reducing this violence is both good, preventive family protection and good child protection. The absence of violence in close relations is a fundamental human right.
ParlaMint-NO_2003-10-15.ana.ud1651e979	I would like to thank the Council of State for what I see as a positive response. I am very pleased that the Government so clearly signals the willingness to take this question and this problem seriously, and that one is willing to go into both causes and solution orientations in relation to a problem that has long been among the more hidden problems of violence we have, namely the close relationships. At the same time, the Council’s response gives a clear signal of a handshake to the many who attend this daily meeting, whether in a crisis centre context or linked to, for example: ATV in Telemark, and that the experience gained, is now being made available in a positive way, so that the measures can be effective and as comprehensive as they are actually considered necessary to reduce violence. In this context, it's almost just victims. I am glad that the government sees what is behind, and is willing to also grab hold of the one who beats and perpetrates violence. That's what everyone's going to earn.
ParlaMint-NO_2003-10-15.ana.ud1651e986	The government takes this very seriously. It's very positive to be able to stand here on the Great Council's pulpit and say that we've invested a lot of money in the next year's budget as well. This is not least linked by the Ministry of Children and Family Affairs to the treatment and treatment of children. ATV-Telemark is doing a brilliant job. They received over a three-year period funds from the Ministry of Children and Family for this very project, focusing on children who are witnesses and who themselves experience violence against mother from father or male cohabitants of mother. We regard this project as a very important prevention measure, both in child protection and in family protection. The report we have received, and the feedback we receive from the evaluations, show that it benefits, and that it can actually save society too much money for later treatment or imprisonment. At least I'll do mine and have taken an initiative to see if we can manage to get ahead.
ParlaMint-NO_2003-10-15.ana.ud1651e993	I don't need to ask any further questions to the Council of State. I feel that she here has shown great willingness to take this problem seriously. I am also very pleased that the experience gained through ATV in Telemark is now recognised, and that this can be used to establish a more nationwide offer not only for victims of violence, but also for those who commit violence. On that basis, I do not need any further questions or comments to the Council of State.
ParlaMint-NO_2003-10-15.ana.ud1651e1000	I'll reply anyway. I just want to highlight the new National Centre of Competence for Violence and Traumatic Stress that comes into operation from 1 January next year. I think that center will be very important. I believe that the expertise you have, not only from ATV, but also from other institutions involved in treatment and prevention, is becoming very important. As the representative also points out, it is important to know what we are doing and how we are doing it in relation to developing new methodologies in this area. In the case of children, which I'm very concerned about, we know a lot of the methodology we can use, but we have to systematize it in a better way than what we've done today. That is what is meant by the funds we have put into the budget of the Ministry of Children and the Family.
ParlaMint-NO_2003-10-15.ana.ud1651e1007	A government council that answers more than the Storting asks, promises well!
ParlaMint-NO_2003-10-15.ana.ud1651e1014	This question, from the representative of Øystein Hedstrom to the Minister for Education and Research, will be answered by the Minister for Children and Family Affairs on behalf of the Minister for Education and Research.
ParlaMint-NO_2003-10-15.ana.ud1651e1017	I have a question for the Minister for Children and Family, who answers on behalf of the Minister for Education and Research: ‘The Meteorological Institute plans to terminate the meteorological service at Rygge Aviation Station. Owners of recreational and fishing boats and ferries operating on the Oslo site believe there is a strong need for the service to continue. Weather forecast for the whole day from the Blinder, with the fjord's special weather conditions, will mean reduced safety. Does the Council of State consider that a change of weather service will satisfy the requirements of the mariners for safety?’»
ParlaMint-NO_2003-10-15.ana.ud1651e1026	I would like to draw your attention to the fact that I am responding on behalf of the Minister of Education and Research. The representative Hedstrøm refers in his question to a planned termination of the meteorological service at Rygge Aviation Station. This is a somewhat unpresisive description of the current situation. The meteorological services shall be reorganised at six aerodromes, including Rygge Aviation Station. This will take place from 1 January 2004. To date, the Meteorological Institute has carried out meteorological services on behalf of Avinor, the former Aviation Agency. Avinor has now decided to carry out a larger share of the service with its own staff. The meteorological service consists of an observation service and an alert service. In a new structure, the observation service will include, inter alia: The back of the flight station will be performed by local staff from Avinor. Today there are staff from the Meteorological Institute who make the observations. The preparation of aviation warnings shall continue to be carried out by the Meteorological Institute. The weather forecasting service for more than 40 airports in Norway has long been provided by the regional offices of the Meteorological Institute in Oslo, Bergen and Tromsø. For Rygge's part, the aerodrome alert service will be transferred to Oslo, Blind. At the request of Avinor, short-term notices will be drawn up for Rygge every half hour with validity for the following two hours, except for a period of night when observed every hour. In addition, the Meteorological Institute produces alerts every three hours for the next nine hours. Notifying personnel will receive 24 hours a day information on the weather conditions on the Back through video cameras, from automatic meters of temperature, humidity, wind, cloud height and visibility, and through conversations with Avinor’s local weather observer. Back and all of the Oslo soil are also well covered by weather radar. The Meteorological Institute's own conclusion is that the alerts will still have very good quality. The meteorological services of airports aim at ensuring aviation safety and are not intended to meet specific needs of other users. But in order to meet the needs of small boat users, the Meteorological Institute has for many years broadcast weather observations and forecasts without delay 24 hours a day through the boat radio, which has broadcasting stations both on the Vestfold side and on the Østfold side with coverage area Outer Oslofjord and the route south towards Jomfruland. The consignments are updated five times a day. In addition, during October, these weather reports will be transmitted 24 hours a day via NRK's digital radio test broadcasts, DAB, targeting the Oslofjorden counties. The service is provided by the Blinder and is provided by highly qualified personnel who have access to advanced meteorological information and who have gained experience and knowledge of special weather conditions around Oslofjord for many years. On the basis of this information, I cannot see that the interests of the boat crew get hurt because of the notified conversion of the meteorological service.
ParlaMint-NO_2003-10-15.ana.ud1651e1043	I thank the Council of State for the answer. There have been significant reactions by the boat crew to the changes proposed on Rygge, which will apply from 1 January 2004. It is probably primarily justified that the service, as it is organized today, works very well. There are hundreds of thousands of recreational boats in the Oslofjorden, the most trafficked fjord in the country especially in the summer months, and there are changing weather conditions. We also have jumbo ferries with 10,000 passengers out and into the spring every day. There has been a lot of focus on this, and especially when you have a good service, you are afraid to lose it. As has now been presented by the Council of State, it seems reassuring that the Meteorological Institute should have frequent alerts. A relatively frequent alert is now required at night, and all technological aids and professional actors from the Meteorological Institute are to be used. However, I have an additional question: if it were to prove that this which is now presented theoretically, and which seems to be good, does not work in practice, will the ministry be willing to reconsider this and look at the matter again?
ParlaMint-NO_2003-10-15.ana.ud1651e1052	I first want to say that we have no reason to ask questions about the assessment that has been made in this case, and we believe that the reorganisation will also meet the needs that are present. We know that the weather service will be updated one to two times a day, and in the case of Rygge, I would like to point out once again that short-term alerts will be drawn up every half an hour. The boat radio will also update its service five times a day and is easily accessible to everyone. In my opinion, this should be enough. That being said, there will always have to be some follow-up to this, and it is because of the flight safety that Avinor, the former Aviation Agency, is responsible for the compliance of the safety requirements in this case with the Air Safety Authority. Of course, we're going to follow up, and I'm going to pass this on to the Minister of Education, but I expect that if this isn't satisfactory, we'll hear it.
ParlaMint-NO_2003-10-15.ana.ud1651e1057	I thank the Council of State for the additional response and have only one comment on it. It's like this in Norwegian society that a lot changes. It is important not to change for the sake of change when you have a service here that is proven to work. I don't know that there have been any objections to it, but nevertheless you're willing to change what is very satisfactory. The reason is often that you have to save money. But if it turns out that this doesn't work, and you have to save money on a service, it's also possible to assess user-funded services, that the person who calls or uses the service pays for it in whole or in part, so that you can cement a system that is proven to work well.
ParlaMint-NO_2003-10-15.ana.ud1651e1064	Here again, I think maybe I'll make a little comment. Thus, the conversion is a result of technological and professional development, and the weather observation service can be performed by non-meteorological personnel from Avinor, among others. because the service is increasingly automated and simplified. Modern weather forecasting is research-based, and quality is best maintained and improved in strong meteorological environments. I would also like to say that we cannot see the need for a user-funded service for Oslofjord in addition to the weather forecasting of the boat radio and warnings that the boat owners can get on the telephone from the Meteorological Institute in Oslo today. We believe that this is satisfactory.
ParlaMint-NO_2003-10-15.ana.ud1651e1083	This question has been raised.
ParlaMint-NO_2003-10-15.ana.ud1651e1089	This question, from the representative of Jørund Leknes to the Minister for Labour and Administration, will be answered by the Minister for Children and Family Affairs on behalf of the Minister for Labour and Administration.
ParlaMint-NO_2003-10-15.ana.ud1651e1092	I have allowed myself to ask the Minister of Labour and Administration a question: ‘The Norwegian central government is currently largely using software based on closed standards and protocols. This is distorting competition and hampering the transition to open-source alternatives. There are now good alternatives to Microsoft that are free, in particular the office package OpenOffice and the Linux operating system can be mentioned. What will the Council of State do to increase the use of software based on open standards and protocols?’
ParlaMint-NO_2003-10-15.ana.ud1651e1101	Here again, I would like to draw attention to the fact that I am responding on behalf of another State Council, this time the Minister of Labour and Administration. The government's ICT strategy in the public sector, adopted in February of this year, provides the overall direction for our policies in this area. In line with the Government’s policy on the most decentralised decisions, the ICT strategy sets out an important principle that the choice of software is a local responsibility. It is therefore up to each public enterprise to assess which software it wants to use. The ICT strategy points out that, ultimately, individual public enterprises need to assess which software they are best served with and themselves assess the offers on the basis of their own assumptions and requirements, such as: costs of adapting other software, own technical competence, maintenance costs, long-term sustainability, etc. Individual enterprises will come to different conclusions here. The use of open formats and protocols is important for the exchange of information with the public and industry. The government emphasises the use of open solutions in its ICT strategy. This will include, inter alia: as reflected in the Government’s work on reporting and reuse of information, emphasising the use of open formats when establishing new solutions. The government’s website, ODIN, uses open protocols and formats in its presentation of information. It is recommended that public websites follow open formats and protocols to ensure access to information for as many users as possible. The spread of open standards and open source solutions is also an important competition policy issue that I expect the Competition Authority to be aware of within its remit. The Ministry of Labour and Administration, in cooperation with the Ministry of Economic Affairs and Trade, has carried out a wide-ranging short-term study to identify initiatives in the field of open-source software and provide an up-to-date status with regard to the use of this type of software. This study shall also outline possible action options for the central authorities. The results of the survey will be available during November 2003. When this study and its results are available, the Ministry, in cooperation with the Ministry of Economic Affairs and Trade, will assess its follow-up.
ParlaMint-NO_2003-10-15.ana.ud1651e1116	I thank you for what I consider to be an uplifting response, but will still follow up. The use of closed formats and protocols leads to the binding of software from one supplier. It is important that all should be able to avail themselves of their services, regardless of their financial background. The price of computers is so low today that even the least resource-intensive users can acquire them. But then software will be a big cost, and since there are good free alternatives, it is important to ensure that they can be used as much as possible. My question to the Council of State is therefore: Will the Council of State work to ensure that the services of the Norwegian administration use open formats and protocols, so that access is ensured for as many users as possible?
ParlaMint-NO_2003-10-15.ana.ud1651e1125	I agree with the intention that as many users as possible should have access to this. At the same time, the Ministry must carefully consider that central public support measures do not violate State aid rules or the public procurement rules, in order not to favour any player in this market. Other countries are also bound by similar rules. There are therefore wide variations in the approach that countries have taken to open software, and how concretely this can be supported. The role of the authorities in some countries is – to say the least – passive informers, while others are more active as facilitators. We will evaluate our approach based on the results of the survey that I announced in my first answer. So this we have to get back to.
ParlaMint-NO_2003-10-15.ana.ud1651e1132	I thank you again for a nice answer. I also think it is nice that the Select agreement with Microsoft was not renewed. But at the same time, I feel that the department should perhaps make a little more effort to ensure free competition. The Norwegian State spends several million dollars a year and is therefore a very large player who buys software. My question is: is it more urgent to use the large market power of the Norwegian State to push suppliers to use more open formats and protocols?
ParlaMint-NO_2003-10-15.ana.ud1651e1141	On behalf of the Minister of Labour and Administration, I believe that I take this with me as a comment and a wish from the representative who has asked the question. We attach great importance to bringing back a comprehensive strategy related to this study, also in cooperation with the Ministry of Economic Affairs and Trade, as I have said so far. So that's going to be my answer.
ParlaMint-NO_2003-10-15.ana.ud1651e1149	I will ask the Minister for Transport the following questions: «In the reorganisation from Vegvesen to Mesta you get 66 pst. of its old salary paid as a final package for up to 10 years. According to the magazine “Road and We”, 66 psts are still kept. [[State Road Service]] of their old salary for up to 10 years, even if you start a new, well-paid job in competing companies. Was this the intention of the Council of State in the reorganization of the State Road Service?’
ParlaMint-NO_2003-10-15.ana.ud1651e1158	On 1 January 2003, employees of the manufacturing activities of the State Road Administration were transferred to Mesta. The crew at Vegvesen was the result of a direct assignment to the production activity. A changed market situation has required staff changes. I've been, and I'm, concerned that the downpour is going to happen in a proper way. I am, among other things, the commitment to provide older workers with a decent leave from work and has therefore facilitated the possibility for the company to use, for example: early retirement in cases where an employee would not be entitled to an ordinary occupational pension or a contractual pension. I refer here to review in St.prp. No 1 Appendix No 1 for 2002-2003, conversion of the road transport sector’s production activities into State limited liability companies. I note that Mesta is concerned with legislation and practices, as with other changes in the state sector. However, it has not been my intention that the early retirement scheme should lead to some raising ‘double pay’. After I have been informed, this is so far two-three people. I want to contact Mesta to discuss the use of this tool.
ParlaMint-NO_2003-10-15.ana.ud1651e1174	I am very pleased with the answer. That the downpour in the state road system at the time of the transition to Mesta was to take place in order, we have all agreed, and that is not what this matter is all about. It's about saving a lot of money, and no one's going to have a double salary. That it's about two-three people, I don't know anything about – I'm just referring to the State Road Service's own magazine «Way and We». I'm glad the Council of State will take this into account. But does she have any idea that something will really be done, and that this case with double pay will be stopped? And if so, how much savings does the Council expect this to mean?
ParlaMint-NO_2003-10-15.ana.ud1651e1183	I would like to emphasise again that there is a difference between the final package, which is about a scheme that will apply for up to 18 months after the end, and what is involved in early retirement schemes. I would also like to remind you that when the establishment of Mesta was to take place, 1 500 people were estimated to be in the business. In the company it was approx. 1 000 persons over 58 years of age. It says a little bit about the composition of the workforce in the company. I have been concerned, as I said at the outset, with a dignified treatment of the employees. We have a board of directors for the company that has the option to choose different arrangements to take account of employees, whether it is a final package or an early retirement pension. That scheme will continue.
ParlaMint-NO_2003-10-15.ana.ud1651e1192	As I said before, it is not my intention to comment on the fact that the downpour should take place in order – we all agree. Governments are also beginning to talk about final packages and worthy treatment. We all agree. But the practice of ending and bringing with it 66 pst. of his old salary into a new company, such as Selmer, Weibäck, and so on, I think that I am simply looking. When one sees that early retirement in the budget position is totaled to 911 million. kr, it's clear that here there should be funds to save. It does not seem to the Council of State that 911 million. Is there a lot of money in this area that could have been better spent, either on road safety or on better roads?
ParlaMint-NO_2003-10-15.ana.ud1651e1199	Substantial funds were put in for conversion for the company when it was established as AS. This has been important in order to ensure the proper consideration of employees. The conversion is and has been demanding, and I want to say that it is so far successful, not least on the basis of taking into account and showing respect for the employees in the business. As I said at the outset, the intention behind the scheme has not been to create a system of double wages. I will discuss this with Mesta. However, it is also up to the employer to choose which solution you want for their employees. It's a big shift, which is demanding. It is successful, not least in the way that we get an efficiency gain that just means that we can spend more money on roads, road safety and what it should be.
ParlaMint-NO_2003-10-15.ana.ud1651e1209	I allow myself to ask the Minister for the Environment the following questions: ‘In the TV2 programme on the wolf mystery sent on 22 September 2003, it was ‘confirmed’ by the villagers for many years that the wolves in southern Scandinavia started by illegal release, i.e. serious environmental crime. Does the Council of State see this as probable, and will he set down an investigation commission to investigate these very serious claims?’
ParlaMint-NO_2003-10-15.ana.ud1651e1218	Should there be illegal imports and the shedding of wolves in Norway, there will be serious environmental crime, and the police are responsible for investigating such cases. The claim that the Scandinavian wolf population is derived from illegally exposed animals is not a new date. So far, no evidence has been provided of the illegal release of wolves in Norway, despite the fact that there have been rumors of such a release for decades. The forest organisation NORSKOG has also promised a great reward to the person or persons who can provide evidence of such a release. As far as I know, this has not given results. Genetic analyses have made it possible to investigate the origin of today's Scandinavian wolf population. The analyses show that the wolf is not hybrids or wolves from animal parks but that the population is formed from eastern immigrants from Finland or northwestern Russia. Immigration has been documented from the east twice in the late 1970s, and once in 1991. This last migration provided the basis for the growth of the wolf population in Scandinavia. All wolves that have been examined in today's Scandinavian population can be traced back to these three individuals. In addition, it has been shown that the so-called Vegårdshei wolf was a wolf that had migrated from the east. This was killed in 1984 without having reproduced. Although claims about the deployment of the wolf have been investigated in the past, in the light of the TV programme, I have asked the Directorate for Nature Management to review the case, and I am now waiting for the directorate's feedback.
ParlaMint-NO_2003-10-15.ana.ud1651e1229	I thank the Council of State for the answer, which I consider positive, as far as the matter has come. These were serious claims made in this TV program, honoraries have seen things to prove that the wolf is illegally exposed. Many people find it difficult to believe that the wolf has walked as far as some claims, namely from Estonia, Russia or Finland and then through Sweden and Norway. It sounds strange that it does. I thank the Council of State for having come so far and taken the question seriously. But what I want is that the Commission – or the Committee, or what it is now called – becomes an enlarged and more neutral Commission, that it consists of both people who are too predatory, in this case wolf, and those who are opponents, in order to clarify all the sides – I stress all the sides – of this matter, so that we can once and for all finish the question of where the Norwegian wolf comes from.
ParlaMint-NO_2003-10-15.ana.ud1651e1234	I will decide on a possible follow-up to this question when I get the report from the Directorate for Nature Management on the table. In the case of the wolf's migration capacity, which the representative is occupied with, it is actually quite large. There is evidence through radiotelemetry that the wolf can go up to 20 miles in a day. Furthermore, it is documented that the wolf has passed throughout South Norway and down to Rogaland, almost without observation of the wolf en route. The distance between the Swedish-Norwegian wolf population and the nearest Finnish population is 90 miles. Based on what we know about the wolf's migration capacity, it is fully possible for a wolf to wander from Russia/Finland and to Sweden/Norway. This can be done by trekking along land north of the Gulf of Bothnia or on the ice above the Gulf of Bothnia. It's also established through the studies that I pointed out, that three of the wolves that have been sampled actually originate in this area.
ParlaMint-NO_2003-10-15.ana.ud1651e1241	That they're from there, there's no doubt about it. The genes show that they're just from there. But the question is, how did they get there? Have they gone, as the Council of State says? It may also be possible, but many of us ask the question: Why would the wolf do that? Then we may also think that it has been helped by people. There are several people who believe, and it might have shown the TV show. But if it turns out that the wolf comes from the north, or from Estonia via Russia/Finland, is Norway obliged to have a wolf tribe that is not initially Norwegian but comes from completely different districts? This is about district policy, it's about living in the districts, it's about what it's worth to be able to use nature, it's about feeling safe, it's about being able to live with bumps so you have something to live on. So it's not just about having wolves or not, but it's about good district policies, so that people can still live and live in security, among other things. on Finnskogen.
ParlaMint-NO_2003-10-15.ana.ud1651e1246	Immigration is difficult, no matter how.
ParlaMint-NO_2003-10-15.ana.ud1651e1249	The President is quite right in that regard. But now it is that at this point the Stortinget has approved and ratified the Berne Convention, where it is said that Norway is obliged to have the large predators, including wolves. Now there has been an exchange between North-West Russia, Finland, Sweden and Norway over all years, and as I said in my reply, genetic analysis has made it possible to investigate the origin of today's Scandinavian wolf population. The analyses show that the wolf is not hybrid or wolf from animal parks but that the population is formed from eastern immigrants from Finland or North-West Russia. This has been established by the Evolution Biological Centre in Uppsala. So that's the starting point. But if it's the case that someone has put out wolves that have been in the zoo, that's environmental crime and one thing for the police. But in any case, I have asked the Directorate for Nature Management to review this again. We'll get one of those things on the table.
