ParlaMint-NO_2003-06-20.ana.ud1707e82	Magnhild Melting Group Kleppa will make a private proposal.
ParlaMint-NO_2003-06-20.ana.ud1707e1456	The chord shift has been completed.
ParlaMint-NO_2003-06-20.ana.ud1707e1459	There are probably some signs in time that indicate that the Storting will soon need a small vacation, and there are not so many hours left either. I think we can make a debate that is marked by a lack of faith in the future and optimism, which does not belong in one of the richest countries in the world and in one of the world's most beautiful countries. If you get out of this house, you see how irritable Norway can be, how lucky we are that we have all the resources we have, and for example. How much water do we have? A lot of countries are struggling with water supply and clean water, and a lot of the conflicts in the world are going to be about the fight for clean water. I wanted to start by saying that, because we in the Stortinget have a very great responsibility to make sure that we don't draw a picture of Norway, of the Norwegian economy and of the opportunities we have, which makes people lose their courage. There are many signs that suggest that we should gather about some broad, important promise in Norwegian policy. As unemployment increases, it is important that we take advantage of the opportunities we have and deploy resources. The starting point is that the worst thing a society can do is waste people — with or without competence — getting out of work. That's why it's completely backwards that we have a municipal economy that is so tight in many places that you start saying people that you really need, around the municipalities. This is now true in relation to some schools and in other areas. The money we had to spend to care for the growing family doesn't exist, and it goes the opposite of what many would want. If we can't both describe what's wrong, and also point out the possibilities that exist, I think many others, outside this hall, won't take advantage of the possibilities that actually exist. Now the Stortinget has been made up after a major election in 2001. We have a bourgeois majority in the Stortinget. That means we have a Right-Maintained Government, with a Prime Minister from the Christian People's Party, and they are largely at the mercy of the Advance Party. No action can be taken by the electorate until 2005. It demands that we be able to work together on some important issues until 2005, or should we spend our time every six months setting in motion major ‘hulabalu’ and struggles, spreading the pessimism that sometimes prevails in Norwegian policy? There were many who said that the kindergarten agreement – doing something like that – was the most hair-driving thing ever done in Norwegian politics. And it's true that it was kind of done. But this has led to NOK 5–6 billion more to the kindergarten sector and a reform that people have been working for for for 30 years – perhaps not all the parties on the Stortinget, but later it became all-round. One has managed to get an obligating majority to work out a kindergarten reform that provides space for everyone, and with a maximum price. It's a big boost. If you can think further along that axis and think about school, and especially high school, next time, you can get something in that area as well. And then, as a third case, you can try to solve the unemployment problem, not with the 1950s solutions and yelled about the heavy pipelines and the heavy pipelines, but with emphasis on what is sustainable in the long term, with environmental jobs. What this Greatness is not going to agree on is the distribution policy. It is clear – the right and the SV do not agree on point 1, which is the objectives of the distribution policy, and point 2, which is the instruments of the distribution policy. I guess that's the area where the differences are going to be greater. That's where we've experienced the most petty defeats, with cuts in the benefits of the unemployed and increased excesses as a result. We're going to take that fait every day in Stortinget. If we get the lice right in place by appealing to the bad conscience of the Christian People's Party, we'll do it. But I guess the distribution struggle will be one of the most important until 2005. What's going to happen if the Storing can gather around some broad, important settlements is that we indirectly defend some right-wing policies. It's clear that if we tie a part of the billions that the Right through the Sem Declaration has committed the Government to use for tax relief, and most of all to those who have a lot from before, then we can make sure that we have freedom of action in the future as well. SV is going to continue the constructive tone that we've been trying to cultivate. We're not always going to be able to do it with the same amount of luck. Let's do this self-criticism on our own behalf. But I think, in fact, that if people don't most people see that we have a huge majority that can gather on some of what we think is important, and what we're all going to talk about in the election campaign until 2005, people lose respect for politics.
ParlaMint-NO_2003-06-20.ana.ud1707e1480	It's going to be line change.
ParlaMint-NO_2003-06-20.ana.ud1707e1483	It is interesting that SV tries to place themselves in the centre of Norwegian policy, and they have money for many good purposes. However, the incidence is not always as good. In the revised national budget, they propose to cut 830 million. kr to the snow-white development which is under way, so that it must be described as monopoly money. More seriously, they want a lower rate of oil exploration and investment. It would be serious for the supplier industry, which is struggling. Unfortunately, the SV is also opposed to the creation of a company that can bring the gas ashore in Norway and provide the basis for industrial exploitation of the gas also in us. It could provide a basis for industrial development in line with what we have had through the development of the oil industry over the past 30 years. It would create the faith of the future and optimism that Kristin Halvorsen called for. It could also contribute to sustainable development in the long term. So I hope that SV, which is now reorienting itself to freedom and Europe, can also reorient itself to value creation.
ParlaMint-NO_2003-06-20.ana.ud1707e1490	It is true that SV did not agree to grant NOK 3 billion to a company that could build gas pipelines from the base and into mainland Norway. But there won't be very many pipelines of the proposal that the Workers' Party has put in place, either. Let's be so sober that we admit it. This includes, among other things: because it is going to be difficult to raise private capital to invest in that type of pipeline, because it is not obvious that this is very economically profitable investment either. It is simply so that if you want to have profitability in these pipelines, you have to have an innumerable number of gas power plants at the other end. And it's like the companies that so far have asked to build gas power plants haven't. So they've been allowed to build three, which it hasn't worked out, because it doesn't pay off. But we are also in favour of this policy for environmental reasons. There are many more jobs to bet on renewable alternative energy. That's what's the solution for the future. It's not the hard pipe and the heavy cube that's going to secure us in the future.
ParlaMint-NO_2003-06-20.ana.ud1707e1497	The representative, Kristin Halvorsen, is talking about both energy research and workplaces within this area. When it comes to practical policy, I still thought it was a little bit of a failure. Here's one of them. a proposal in the field of energy research, on top. 1830 heading 50, where proposed 20 million. kr. This is a proposal behind the Workers' Party, the Progress Party and the Centre Party. So that means that SV could have secured multiples for this 20 million. kr for energy research if they had joined it, but they do not. Then my question to Kristin Halvorsen is: Isn't SV taken up by energy research? Or is there any other reason why SV does not win the plural for this proposal?
ParlaMint-NO_2003-06-20.ana.ud1707e1506	When you're in an interview with the finance committee, there's some tricks you can take. You can, for example: come five over twelve with proposals that you know you could have received a majority for if one came five to twelve. And this is just such a kind of a suggestion. This is an area where I think that if you had given yourself a little bit more time, and if you had wanted to achieve results, you would have been able to find a majority for a common effort that had actually led to an allocation in the Stortinget. But it also happens that if you come up with a proposal five over twelve, you come up with a proposal that you really don't want any results from, but you want to fly around a little bit. If this is a field where you have the opportunity to get a majority later, then we in SV are of course open to discussing it. This is a field that is prioritised by us. And if we're going to spend a lot of money like this a little bit over time, I actually think we can do things in this area in the future.
ParlaMint-NO_2003-06-20.ana.ud1707e1514	SV is basically unbalanced in the monetary policy regime as a plurality in the Stortinget stands behind, and has, at several levels, produced this as the main cause of its problems. However, I believe that SV is also agreed that a well-functioning business is an important concern for both growth, development and well-being. From a broad range of sectors of the economy, both on the labour market and on the employers' side, there is a strong demand for a tight financial policy approach as an important tool to curb the pressure on the crown and on the interest rate, thus strengthening the very basis for growth, development and well-being. My question then is: Does the representative Halvorsen and SV mean that those who require this are wrong?
ParlaMint-NO_2003-06-20.ana.ud1707e1523	We believe that those who claim it, once again close one eye and blink half way again the other. There must therefore be more perspectives on policy. We think it is strange that monetary policy has not been much more focused. Many competing companies received a 10 pst mark-up at the last price because they have been driving so hard on this. The Governor has now admitted that he has been too strict, but we should have had a much stronger emphasis on the element of the mandate of the Bank of Norway to pursue monetary policy on the basis of unemployment. That would make a lot of sense. Bombing on the interest rate is not something you can kind of risk with. It has such great consequences for the Norwegian industry. We believe that one should not look blindly at the tightness of a budget. Industry and business are completely dependent on offensive efforts in terms of skills, research and risk capital for businesses that are initially unable to achieve this in the private market. Here is a balance that makes it not necessarily the tightest budget that is the most efficient budget for industry.
ParlaMint-NO_2003-06-20.ana.ud1707e1532	The cord shift is over.
ParlaMint-NO_2003-06-20.ana.ud1707e1535	We hear a lot of talk about people being insecure by day. People are uncertain about their jobs, and they're uncertain about the world economy and how he's going to affect Norway. At such times, it is important to be able to rely on politicians to do their part in creating security. Our common political challenge now is unemployment, as many have said here today. Before the revised budget was presented, LO Leader Gerd-Liv Valla challenges politicians to make their share of the job for the unemployed. She warns against a slight populism in the fight against unemployment. Citation: "We can't spend money now, it would ruin everything we've got and push the interest rate up again." We get a budget that is more responsible than many fears in the past. The government has shown some action. That's what the Storting has done, by being realistic. A user with less than 800 million kr more than the government had provided, and that is to live with. The government, together with a responsible increase, has been given a tight budget, in solidarity with those who are unemployed or who are at risk of losing their job. Now we've got a framework that allows us to keep going. I'd like to praise the Grandfather for that. So I'm going to come up with something that Kristin Halvorsen has drawn up both in the «Position» recently and in the hall here today: the will for more cooperation across the board. I think the way we talk about each other, the way the representative, Halvorsen, refers to the government and the 'cold blue', and the way the media sometimes portrays the opposition, does not tend to create respect outside. I'll take one more thing. When the representative Stoltenberg says that it's not the government's policy that makes interest and the crown price go down, but the unemployment, it's part of the truth, but it's not completely erased. If we are to believe the economic disciplines – if they are very collective in any case – the judgment is clear and also with the governor: the government's policy is the main reason why interest rates have fallen. Think about whether the representative Stoltenberg and we in the government party could agree on this: it seems that unemployment and the international economic cycle, but provide me with also the government seems to be its policy! We take "tran", with bitter and heavy cuts, and then we see that it works. If we talk true about each other, as one of the ten bodordas says we should, I think it would give me more respect for us politicians out there with people. The representative of Halvorsen wants more cooperation. Yes, I think it may be a thought, but under two premises. One is that everything has to fit into a totality in relation to the frame. If we just take one area and see what's best for it, and we don't put it in a context, it doesn't make sense. Therefore, the recipe of the representative Halvorsen must contain some more items in one way or another. How do we take care of our health when we work together in areas by area? In the Danish population, they have a practice where one of the major reforms has been made until they have been able to work until a quite broad consensus is reached. I think it's pretty good, but then one must have time to wait. If the government says there's a lot of intentions we have to look at, yes, the government has to get access to it. One must not do as one did in the first round of the nursery arrangement: insert statements where one goal is counterproductive. Now it got a good solution, but if we had time to work to a deal along the way, we could in the Storting, as it is composed, have behaved in a way that had created a greater understanding out there. So the only way to do this is to put this in a whole box. The second requirement is that we also have to look at the use of resources within a sector. I agree with the representative, Halvorsen, that the school is one of the areas we're going to look at. But it will once again require that there are two things we have to do there as well. The only thing is to create a content reform that further strengthens the school – we agree – and then we have to do a good job for the buildings. One says all the time that the school buildings stand and fall into decline. But we're doing a good job for the buildings. First, the government did a lot, and then the Storting has done even more. But once again, we need to look at the use of resources we have today, whether it is possible to redispatch a part, as we actually have good resources to use in an international context. Once again, we have to be willing to do both. So it applies to welfare policy as a whole. When we get the Pension Commission's proposals to the fall, it will show that we need to work on a change called'reliable welfare policy'. And when we're going to make a viable welfare policy, we have to be willing to look at both what we need from general, broad schemes, and what we need to target more. It's also a common challenge. That challenge I hope we'll be willing to take, and that we're not just going to jump after each other and come overboard.
ParlaMint-NO_2003-06-20.ana.ud1707e1559	It's going to be line change.
ParlaMint-NO_2003-06-20.ana.ud1707e1562	The representative Lilletun is a well-meaning human being. At least he'll have to. I think he's overestimated even if what he says and thinks, and that's good. There is waste of resources that there are so many unemployed today. It's approaching 100,000. It's the biggest waste. Then it's not like the representative Lilletun says, that people know a security for what the Storting does. When Lilletun tells us to show solidarity, I agree with that. But does Lilletun think that the almost 100,000 people know some kind of solidarity when the Stortinget, the government party together with the Advance Party last year, cut into all the measures that made them feel some security? Now the government party had the opportunity to fix this again. They now see that the number of unemployed people is going wrong. Couldn't they have been doing something about it now?
ParlaMint-NO_2003-06-20.ana.ud1707e1571	First, I want to thank you for a description that I thought was okay. It's not bad when we can give each other descriptions as an actual experience as well-meaning. So I think the representative of Frøiland was injured to talk about two different things. To bring down the number of unemployed people, there are two things we can do. The only thing is that we actually have a tight budget, which provides the basis for the jobs. I'm not going to supplement it anymore. The second is measures that we saw in the work, and the benefits that we give. Last year we were criticized for two things. One was that we cut down at a time when you can get unemployment benefit, from three to two years. It turns out that it was professionally sound, and it has been said from more and more countries that it was wise for us to do so. And then we did a lot of things about the performances. I have said that I am not overconfident that everything we did there was completely targeted. There was no more money within the frame we had then, but I have said that the Christian People's Party is willing to join in and look at the devices for some of those arrangements.
ParlaMint-NO_2003-06-20.ana.ud1707e1582	So far in the public debate on the revised budget, the representative, Mr Lilletun, has called attention to the rush, so much, in fact, that he has eagerly leaked from the internal proceedings of the Financial Committee, despite the fact that the committee's own members were equipped with self-imposed silence. The government’s current concern is to prevent young people from drinking more alcohol. As a result, with effect from the financial year 2004, the levy on cannabis is to be increased. My question to Lilletun is as follows: Does Lilletun believe that an increase in the charge on cannabis contributes to increased or reduced revenue for the state fund? Because if there is any correlation, it is thought that an increase in the tax will reduce the consumption of cannabis. It is at least the arguments put forward by the government parties. In that case, it would have to mean lower taxes on alcohol to the State. But most of the proceeds we see go in the direction of increasing the income of the state's treasury by means of an increased tax.
ParlaMint-NO_2003-06-20.ana.ud1707e1591	I do not expect the representative Jensen to follow on with what I mean about the revised budget, but I have to say that it is very selective when she only discovered that I am busy with the noise. My exposure has probably been somewhat broader. There was no leakage. I said what the government party would go in for, and what the Labour Party had previously said publicly. I'm overindulging that intoxication is a new example of cynicism from people who will make young people use more alcohol. The next grip here is, in fact, creating a rush, for further fixing the grip on drug abuse among young people. The main foundation of the Christian People's Party to go in to increase the fee is that it will bring down the consumption. The fact that the Treasury will also benefit from it is not stupid either. But that's not the main reason why.
ParlaMint-NO_2003-06-20.ana.ud1707e1600	One of the most important things we need to work together on, but, unfortunately, as Lilletun doesn't mention one word about, the differentiated employer fee has been abolished. SV has worked a lot on that matter, and we want to create multiples for the Government's proposals. Unfortunately, we can't see that the government's struggling so much, and at least we're not impressed by the correspondence that has taken place with ESA in the matter. The level of ambition is not high, the information of the Storting has not been satisfactory, and it would be unnecessary for us to force information out of the Government in such an important matter, so to speak, to experience that we get another type of information from elsewhere, which is the opposite of what the Government is saying in letters to us. Can Jon Lilletun give a simple explanation as to why the Government is not interested in exploiting the legislation that is actually there, and the possibilities that lie in the legislation that we have when it comes to the compensatory measures?
ParlaMint-NO_2003-06-20.ana.ud1707e1607	I would like to distance myself from the problem that the Government is not interested in exploiting the possibilities there. Previous governments have worked on this – and the current one – and I believe that it is foolishness on the part of the EU not to accept something that is so unbureaucratic, simple and sensible as our employer tax system. That's the first one. So it turns out that it's hard to get to. This means that at least we have to have two thoughts in our head at once – and maybe more. One is, we can't create such a bureaucratic system that there's going to be a boy that no one can find out. At the same time, the system must take care of industrial workplaces, it must take geographical care, and it must take care of the environment. The government will continue to work on this, but it is clear that the government and government parties are interested in a wide dialogue on the Storting to find good solutions to the problem.
ParlaMint-NO_2003-06-20.ana.ud1707e1615	So the chord change is over.
ParlaMint-NO_2003-06-20.ana.ud1707e1618	The examination of this revised budget has shown that there are several parties in this Chamber today who are occupied by the increasing unemployment rate. And that's important when we're in a situation where almost 200 people lose their jobs every day. Our most important task then must also be to prevent unemployment from being allowed to get stuck at too high a level. The centre party is concerned about this issue, and we believe that the state should be able to use its financial strength in three areas in particular. One is to contribute to access to capital for Norwegian enterprises and businesses, the other is to contribute to knowledge building and development in the Norwegian community, and the third is to invest in construction, road maintenance and other measures, among others. on the transport side. We're committed to an active co-operation between state and private without having ideological contradictions between the two. We also think that there is reason to use the country’s financial position to safeguard local well-being — what is about taking care of our children and our elderly. I must say, however, that I am somewhat disappointed with the Government's recipe for growth and well-being, and that the only government seems willing to discuss in a situation where action is called for in relation to unemployment, industrial development and well-being, the only thing with which the government has the ability to meet it, is the question of tight budgets and the subsequent hope of a fall in interest rates. I also think that that phrase is beginning to wear out a little, when we see in the hall today that one krf after another stands up and takes the credit for almost everything that has contributed to making this revised budget a little more expansive than the government provided. It appears in itself like a paradox. I think there is reason to question the monetary and financial policies that have been pursued in recent years. There is reason to put a critical search light on the alleged knife-bearing relationship between tight budgets and interest rates. The 2002 government accounts showed that the government budget deficit was DKK 10 billion higher than budgeted, but this did not prevent interest rates in the economic situation in Norway from falling in winter. The point is that while the relationship is relatively obvious in terms of the more expansive aspects of the budget, and that it can increase the pressure, it is difficult to quantify this pressure. Thus, it is also absolutely impossible for the government to be able to state what is the correct tightness of a budget, and I have not seen it clear to this day either. Instead of having an intolerable debate on the tightness of the budget, I think we should have a debate on the challenges we face, among other things. in relation to unemployment and to industrial policy. And I think some of the government's problem is not that they have the wrong business policy, but it's the absence of an active and targeted business policy. It's also the absence of the ability of a critical debate on monetary policy developments you've had in the last year, which has undoubtedly had many unfortunate aspects, and which is probably an experiment we can't afford to repeat in the way we've seen in the last year. In the proposal for the revision, the Government went in to take a rematch on several issues, including: net wages and salaries of seafarers, pensions, housing allowances for young children’s parents and kindergartens. Usually a rematch is played after a draw, but in these cases there was a clear increase in number. And I have to say that that's something that surprises me, it's not only the rematch in the revised, but also that the individual states councils in several debates this past week have almost asked cabinet questions from this chair in relation to whether they want to implement, and will carry out, what the Storting actually has adopted. The problem with these kinds of fights is also that they attract attention and make budget management focus on losing weight, instead of going into time and discussing the current challenges that we now have to deal with, the current economic situation we are in the middle of, and the current challenges. In addition, it is said that it is constantly to deal with the great majority of people who doubt parliamentaryism – it is now possible – but I do not overlook the fact that in some cases there is also a lack of craftsmanship. The centre party and SV have today made proposals to get on the table the consequences of the savings measures proposed by health companies, which will go far beyond smaller hospitals. And I am surprised that the Labour Party and the Advance Party are not willing to support such a proposal. If it is the case that one of the Workers' Party will not contribute to bringing individual cases into the Stortinget, I must be allowed to ask a question to the Workers' Party: How many hospital services should be built down before the Workers' Party finds out that this is a matter that should be discussed in the Norwegian Storing?
ParlaMint-NO_2003-06-20.ana.ud1707e1640	It's going to be line change.
ParlaMint-NO_2003-06-20.ana.ud1707e1643	The centre party has had much the same opinion as the Labour Party in terms of work and employment. This has come to terms e.g. by means of the Municipal Committee, its extensive work on such issues during this session. The rule is that the same main course has been used for the two parties in these two key policy areas. The central party has previously been involved in the work against the government's unsocial changes in the agenda. It is therefore incomprehensible that the Centre Party is now embarking on a new course. The party broke out of the cooperation that one has had with the Workers' Party and SV on these areas. The question to the representative Arnstad must therefore be: what is the reason why the Central Party does not support the proposal to provide the unemployed with the same benefits as they had before the restrictions on the day-to-day arrangements? And why do they go against increasing the number of action sites by 3,000?
ParlaMint-NO_2003-06-20.ana.ud1707e1652	It is true that in many ways the Labour Party and the Centre have the same starting point as regards the desire to prevent both the increase in unemployment and the commitment to active economic development. The reason why we do not agree with the proposals that Sandal refers to here is that, among other things, believes that the overall financial framework for which we stand — and where we are also using significant increases in resources in relation to the Workers' Party, both on the industrial development side and in relation to the creation of new activities — would have reduced the need for the number of places of action. What we think is most important now, in fact, is that money is spent on creating new businesses, creating new jobs, and then trying to prevent part of the closure of business that we now see. I want to point to some special areas that I think are important. One is that we are going to have high compensation of employees in this country. I don't think either the Workers' Party or the Center Party want to reduce the compensation of employees to compete with the rest of the world. But then we have to focus on a targeted industrial policy that highlights our priority. One of the major shortcomings of the Government's arrangement is that they have no willingness to that kind of bet.
ParlaMint-NO_2003-06-20.ana.ud1707e1659	ESA has decided that we cannot keep the differentiated employer’s fee or the electricity charge as it is today. It may be an expression of the EU’s ‘foolbox’, as Lilletun said, but it does not help to characterise it as such. In its note, the party of the centre writes: ‘This scheme listens to Norway’s ideal requirement is maintained by the same. ‘... That's probably wishful thinking, too. SV has tried to see what kind of opportunities we have to put in place a system for the electricity tax that can work fairly, which can help maintain jobs in industry, and which should not hit the ground during an environmental effort on bioenergy and alternative energy. We have therefore looked at the Danish system – not necessarily at the level of fees, but at the technology – and we are a little surprised that the Senterpartiet does not share this view. What, then, is the Central Party option?
ParlaMint-NO_2003-06-20.ana.ud1707e1675	Let me say that I share SV's view that the Government's plan to remove the entire electricity charge is unfortunate, not least environmental, because it will remove the incentive to switch from electricity to heat in this country. It will remove the competitive advantage as part of renewable energy, inter alia. bioenergy has, and is very unfortunate in this context. I am also concerned that the powerful industry and the process industry should be given the possibility of further exemption from electricity charges. I think that's important. The central party's primary position is therefore that we should simply take up that fight. After hearing the Government's response to the differentiated employer's fee, I am far from sure that the Government has actually used all the possibilities available to tackle the fight. I think it's just too early! Therefore, the central party's primary position here is that we should maintain today's system, which is the best, and then perhaps the Workers' Party and SV's proposals regarding the Danish fee can be a possible two. But I think the problem with the system is that it can be administratively and bureaucratically quite difficult.
ParlaMint-NO_2003-06-20.ana.ud1707e1684	This was essentially quite interesting, because the powerful industry has an exception today. What will now be exempted from electricity taxes is all that is not heavy industry. So it's about shops, businesses in general, hotels, restaurants and whatever else. These will now be exempted from the electricity charge, in the order of NOK 2 billion, which the State loses. In addition, this will lead to an increase in energy consumption of an estimated 3 TWh, i.e. equivalent to six Sauda extensions. So that means that it's not possible to think that you're going to be able to do this in a reasonable way. So the Central Party chooses to say that's the position we have, we think it's just fine, instead of being able to push the Government to put in place a system that, after all, is a little bit better. This means separating energy in the process industry from that which is hot – the Danish have a system, which is also recognised in the EU system. There's no ideal system, but the point is that the system we have, that system is definitely gone. The government then chooses to lie down and say that these two billions, these three TWh, we're just going to get.
ParlaMint-NO_2003-06-20.ana.ud1707e1691	I'm a little uncertain about what kind of conflicts the representative Øystein Djupedal wants to add up to. Our view cannot in any way be taken into account for the government's view. I fully agree with the representative, Mr Djupedal, that the government's view, exemption from the entire industry – the whole business – is unfortunate. In my view, this is primarily unfortunate in relation to the effort that should be made in Norway to move from electricity-based heating to other energy sources. This is a competitive disadvantage, especially for bioenergy, which could have been a major investment in Norway. We have almost as many opportunities for bioenergy as we have on wind and on some other renewable energy sources. So it's clear that purely environmentally, the government's proposal has a terrible impact. My point is that we should have taken up the fight to maintain today's system, because, like the system of differentiated employers' fees, it is a sensible system. It is a system that can protect part of the industry that is most district-based, most vulnerable, and that we also want to be linked to the communities concerned in the future.
ParlaMint-NO_2003-06-20.ana.ud1707e1698	The President would like to remind you that speaking time is 1 minute when it applies to lines. The cord shift is over.
ParlaMint-NO_2003-06-20.ana.ud1707e1704	In examining the revised national budget, the Government has adopted the broad lines of its budget line within a responsible framework. I'm glad. Through economic policy, we have taken major steps to secure well-being and employment in Norway. But we're a small country with an open economy. The development of the international economy is of great importance to the economic development of us. We can never completely isolate ourselves from the effects of setbacks on our trading partners. We are affected by lower demand for our export products and financial market turmoil. Our best insurance against the effects of bad times out there is to keep order in your own house. The government has done so through the budget that is now being revised. The fight against unemployment is a major concern of the Cooperative Government. High interest rates, high interest rates and increasing unemployment were the serious situation when the government provided the budget for this year's last harvest. For us, the challenge was clear: the negative development had to be reversed. The necessary medicine was also ready: the budget had to be tight enough. We would then facilitate lower interest rates and exchange rates, which are essential for securing and creating jobs. We passed the race. The medicine has worked. Since the adoption of the budget, interest has fallen 2 percentage points. Everything indicates that more is waiting. The crown has fallen almost 10 pst. this year. As a result, the competitiveness of enterprises has been strengthened. In addition, we have adopted tax reliefs for business. The conditions for research and development have improved. Thus, we have made a significant contribution to increasing profitability, growth and new investments. Municipalities will gradually notice that interest expense is less burdensome. Young people in the start-up phase and others in high debt have received better advice. 2 pst. interest decrease means more than NOK 20 000 net to route with for those who have a loan of SEK 1,5 million. kr. As the effect of lower interest rates and weaker exchange rates spread in the economy, activity and employment will be stimulated. The Government follows the rules of action for budgetary policy. However, this year's budget heading does not involve mechanical application of the rule. Nor has it been the intention of the guidelines. The budget means that we are now spending more than DKK 14 billion more than the expected real return on the capital of the State Petroleum Fund at the start of 2003. The budget threshold related to lower tax revenue and increased daily cash payments is not included in the revised budget. It is therefore not correct, as some claim, that budgetary policy is passive in relation to a situation where unemployment increases. Before examining the revised budget, I said that the budget had to be kept within a responsible framework even after the audit. The good results we have achieved must not be overlooked. I made it clear that we would not negotiate the responsibility. I find that we have succeeded. Today we end another year of work in Stortinget. I note that the Government has had an impact on the broad lines of its policy. Examples include: increased efforts in the fight against poverty at home and outside a family policy with a focus on freedom of choice between cash support and cheaper childcare facilities a more offensive environmental policy, and a balanced development of the Saudi River new law on free schooling, faith training plan, measures to improve public health improvement of the instrument in industrial policy reliefs in taxes and charges, in particular for the companies relocation of eight supervision from Oslo measures for increased local freedom of action in school policy It has been an exciting and demanding year, including in international policy. Among other things, we have address key issues such as the revision of the EEA Agreement, the fight against terrorism and the Iraq conflict. I thank the Stortinget for working together on solving these and other issues, both in domestic and foreign policy. Out of tasks I want to mention in the future Unemployment shall be combated by increasing freedom for municipalities, giving new impetus to local democracy, continuing to fight poverty at home and out of strategy for innovation and innovation, putting users at the centre of the labour, social and social services follow-up to quality committees on content and structure of initial training follow-up to the pension Commission in order to ensure sustainability of the pension system. The government will do its part to solve these and other tasks, and invites the Storting to continue working together.
ParlaMint-NO_2003-06-20.ana.ud1707e1783	It's going to be line change.
ParlaMint-NO_2003-06-20.ana.ud1707e1786	The government underestimated last year's risk of increased unemployment. The measures that were introduced were too weak and came too late. The result is a sharp increase in unemployment. It is the Prime Minister's choice to call the good results of economic policy to the Government. We believe that these are bad results, when the unemployment rate has increased as much as it has. The government has also begun to create uncertainty about pensions and pensioners’ incomes — first by creating uncertainty about post-regulation of pensions at the time of the revision, which was cleared up by the government bowing to the bulk of the population, and then whether pensions should be regulated in line with wage developments for the current year. It also made sure that it was cleaned up, and the government suffered defeat in relation to its proposal. Last night, new uncertainties were created by the decision of the Minister of Labour, who is responsible for the settlement of income, first ‘complained’. And after it was pointed out that it was unusual for a government council to complain about the decision of the Stortingen, he corrected it to be “lean” for the decision of the Stortingen. My question is: if the Prime Minister agrees with the Minister of Labour, is he prepared for the decision of the Storting?
ParlaMint-NO_2003-06-20.ana.ud1707e1797	With regard to the development of the insured, there is agreement between the government and the accumulation that they should have an income development ‘at least in line with’ other groups. We first know exactly how big it will be in the new year. That is why we have found it right to have a regulation clause that ensures them this – ‘at least in line with’ other groups. The size would add more now. We'll take note of that. There is agreement on the realities. The Council of State also made it quite clear yesterday that of course we are following up and implementing the Storting decision. As regards the time off, the Government has not underestimated it. On the contrary, we have pursued an active policy to combat it – in addition to the budget, income policy cooperation, more to research and development, lower taxes and taxes on enterprises, strengthening of Aetat, funding for school buildings, seed funds, etc. But we live in a world where the free space around us is increasing more. I hope at least we will avoid getting as high in unemployment as when Jens Stoltenberg was Minister of Industry. He made a record.
ParlaMint-NO_2003-06-20.ana.ud1707e1806	It is mainly the Workers' Party which ensures the Government's proposal in respect of the revised national budget. My first question to the Prime Minister is: What consequences will this have for the choice of the first negotiating partner in the autumn's budgetary procedure? The second is – I repeat the question from Jens Stoltenberg: Does the Prime Minister agree with Councillor Victor D. Norman that there was reason to complain, or that it was gross, that the majority did not follow up the Government's proposal for social security settlement, which was lower than what was adopted? And will the Prime Minister state clearly that he and his government will for the future recognize that it is actually the Grand Government that is the Supreme Government? They could be in doubt about that, which followed the debate with the Council of State Norman yesterday. If the Prime Minister has the more common and correct perception of our parliamentary governance system, will he take a little talk with the Council of State Norman at the Chamber, so that he may also follow the usual rules of the game?
ParlaMint-NO_2003-06-20.ana.ud1707e1815	Of course, with regard to the choice of the first negotiating partner at the Stortingen budget procedure for the autumn, it will be up to our groups in Stortingen. I guess they'll do it, among other things. in the light of the reactions of the other batches to the draft budget presented. When it comes to pensions, the government always thinks that its own proposals are the best, and we're sorry every time they're not fully accepted. But the pensioners become winners at the year's settlement. They deserve that. There has been a underregulation of their pensions and basic amounts for many years, even when the Workers' Party was in power. Now we've agreed on a back-regulation of 0.6 and 0.5 pst, a total of over $1 billion. That's what the government said we'd do. It's done in the proposal we made. There is also a guarantee of post-regulation until next year if what was proposed is not enough. After what the Storting has now decided, I expect that it will meet the need, but we will see that in the New Year.
ParlaMint-NO_2003-06-20.ana.ud1707e1826	I understand that the Prime Minister is hesitant to comment that one of his own government councillors almost mistrusts the Stortinget, because that's what Victor D. Norman was doing yesterday. When the Council of State “complains” the decision of the Grand Council, he is out on bold exercises. It turns out that even though he's a professor from the Bergen School of Commerce, there's some knowledge of Norwegian policy he's missing. I would like to invite the Prime Minister once more to say a little bit about what the Prime Minister thinks should be the tone between the Government and the Stortinget. I guess there's some of the things that are challenging for this government, too, that you have a little bit of a hard time getting to know what a large number is, because it's invited to rematch in one area after another. The most incomprehensible thing I've been missing is the settlement of pensions. There the government knew that it had the bulk of the population against it, and yet it makes itself unfamiliar with any pensioner – and there is one million of them – twice! It threatens the government's size, and yet it falls to its feet. This is certainly a government that can be characterised as ‘up like a lion and down like a skin trap’.
