ParlaMint-NO_2003-06-04.ana.ud1647e57	The representative, Jan Simonsen, will make two private proposals.
ParlaMint-NO_2003-06-04.ana.ud1647e813	I just want to correct Per Sandberg. It won't take many years to make changes to a regulation. It takes approx. nine months of consultation and other matters. It is the governance conditions that have been set up in this way. If we're going to discuss who changes the argument in the case, I think Per Sandberg is a teacher in it when we discuss the foreign field. It's hard to keep a continuous discussion on the theme that's set. In particular, I think it is problematic when you constantly mix up a number of other issues. I want to say that the asylum institute believes that everyone in this room is concerned about preserving. But that means that everyone should have a right to assess their protection basis. If it turns out that during the asylum period a person has a ill cousin in an asylum recipient in Germany, it would be wise for that person to notify UDI before travelling. In fact, I do not believe that we can take the right of asylum from a person who has done so, but then the person must explain where he has been and can document it. But to deprive a person of the right to asylum to do something like that, I actually think to draw the restrictions too far.
ParlaMint-NO_2003-06-04.ana.ud1647e820	I believe that I clearly stated that we must maintain respect for the institution of asylum, we must ensure that it reacts when this institution is abused. I agree that if we just allow it to be abused, respect for the institution of asylum is weakened. Doing what the Christian People's Party recommended will be a strengthening of the Institute of Asylum. In this way, we agree with the Progress Party that the institution of asylum should be strengthened. There's no disagreement in that area. But we disagree on how to do that.
ParlaMint-NO_2003-06-04.ana.ud1647e825	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 3072]]
ParlaMint-NO_2003-06-04.ana.ud1647e841	This is a matter of adapting to an EEA Directive. Even if there is a co-consultant committee behind the setting, I will be allowed to express a few comments. Mainly, cases are about establishing a general framework with minimum requirements for the right worker to information and consultation when it comes to the economic situation, the development plans, the employment situation in the enterprise and decisions that might lead to significant changes in the recruitment options. It may look like a small matter, but it is still important to it. This Directive will not prevent the statutory rights agreed on nationally in relation to health, the working environment and safety, or, for that matter, the right to representation in the governing body. Finally, I would also like to add that I am very pleased that this is a matter for which the Publicly Designated Labour Law Committee has been given the task of submitting proposals when it comes to implementing the Directive.
ParlaMint-NO_2003-06-04.ana.ud1647e856	Several have not asked for the floor on case No. 3rd@item: inlistbox [[For fully formatted text, see page 3073]]
ParlaMint-NO_2003-06-04.ana.ud1647e872	At the request of the Business Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2003-06-04.ana.ud1647e879	With one exception, it's a unanimous committee that's behind the whole setting. In one area, the Progress Party has promoted a minority proposal, which is in its position. The background to the case is that DnB Holding ASA and Mutual NOR ASA have negotiated a plan to merge the two banks. The ratio is that today the state owns 47.78 pst. of the shares in DnB Holding through the Staten Bank Investment Fund. Today, it is authorised to reduce this holding to 34 pst. The proposal to integrate the two companies implies that current shareholders of DnB Holding ASA will own 58.8 pst. by the merged group, while the shareholders of today’s Mutual NOR ASA will own the remaining one. This means that the State’s ownership interest will initially be reduced to less than 34 pst. In the case, it is assumed that the State will maintain its ownership interest of 34 p.m. in the new financial group. This may be done by a rectified issue or by the purchase of shares in the market or in the so-called secondary market. This is done at that time, provided that it is combined with a shareholder agreement which ensures the need for control by the State during a transitional period. The majority agrees with the conclusion that, during a transitional period following the completion of the merger, the State may have a lower holding, with the exception of 28 pst. in DnB Holding ASA, which the acquiring company provides for a negotiated draft terms of merger. Furthermore, the Storting agrees that the Ministry of Economic Affairs and Trade may charge the purchase of shares of the new company and include the addition of necessary equity capital to the State Bank Investment Fund in order to reach a holding of 34 p.m. At the same time, we are currently considering a draft resolution proposing amendments to the State Bank Investment Fund Act, which proposes proposals that will also be passed with unison consent to amend the Banking Investment Fund Act so that the investment fund can also purchase shares in the secondary market. The aim is to give the state greater flexibility in getting through an arrangement to ensure 34 pst. participation in the new financial group. I intend to underline this as very important, also in the context that in the ownership message that has previously been treated by Stortinget, we highlighted non-discrimination as an important factor. one in ten principles of good ownership, and also good state ownership. I am therefore pleased that we have obtained a solution in which the State can purchase shares on the stock exchange or in the secondary market after the merger may have been completed, and that any concession has been put in place. Finally, I would just like to stress that the Norwegian financial market has also changed significantly over the last few years. The previously demarcated national markets are now, at best, Nordic or also fully international markets. New technological solutions and the removal of regulatory barriers to cross-border activities by administrations have helped to strengthen competition in the financial sector. It is also to meet these challenges that DnB and Mutual NOR wish to merge. The main focus of the group, as it is produced, will be on the Norwegian market in the first place, but the group will also have a greater strength that will allow for expansion beyond the borders of Norway. It becomes a rough figure in Norwegian and Nordic contexts. The Committee notes that the new entity will receive administrative capital of DKK 1070 billion. It concerns 11 600 annual works. Based on the stock exchange value of 17 March, the company will have a value of NOK 39 billion and will then be the sixth largest financial group in the Nordic region.
ParlaMint-NO_2003-06-04.ana.ud1647e898	The country's largest and second largest banking rates for the creation of a larger unit through aggregation. In this context, a Merger Agreement was concluded on 18 March between the Boards of Directors of DnB and Mutual NOR. It is understandable that the draft terms of merger have arrived. The reasons set out in the proposal include the significant changes that have taken place in the Norwegian financial market. Local and national markets have been replaced by cross-border activities and increased competition also in the financial sector. The amount is advanced as a possible competitive advantage. The most obvious benefits of a merger are the rationalisation gains, in addition to the fact that the new group DnB NOR, by its size and strength, will promote the possibility of constructing a Norwegian-based capital management environment. Furthermore, expansion is possible in specific business areas outside the borders of the country. Development opportunities will depend entirely on the ability of the new group to win positions through its own competence. After all, the merged company will have only half of the administrative capital of the Svenska Handelsbanken and one third of Nordea's administrative capital, which took over the Bank of Credit. The Progress Party supports the proposed merger between DnB Holding and Mutual NOR. In this regard, I would like to recall what an overall committee expressed in the form of an observation when dealing with the notification of ownership. All parties agreed that it is important for the State to contribute to ensuring professional and head offices in Norway. Competences are brought together at the head office and important strategic decisions relevant to the activities of the group are taken there. The Progress Party believes that a strong Norwegian anchoring in key sectors such as the financial industry can be beneficial to the other business activities in the country. A lot of people talk about having strong Norwegian units that can take care of Norwegian interests. A large and heavy Norwegian financial player is now becoming a reality. It's positive, because we have to expect remote banks to make completely different assessments of Norwegian companies because they're not familiar with them and the Norwegian business culture. The Progress Party is therefore pleased that it is now set up a powerful Norwegian unit that can also compete in Nordic contexts and that can develop a potential for further growth. Here the device with a blocking state ownership is central to ensuring Norwegian connectivity. History shows that this is necessary. Ten years ago, a decision was taken by a magnificence that we should have three strong banking environments in this country, as well as regional and local banks. Now it's just DnB again, and it's probably because the bank has had a state feature since the banking crisis in the early 1990s. Today's attitude shows that Stortinget sees it as desirable with a large Norwegian financial group where the state retains control over where the head office is to be located. Now let's hope that rationalization gains, economies of scale and increased strength will not only turn out positive by creating values for the owners. Let us hope and believe that the merger will be a joy also for depositors, borrowers and policy holders in the form of better service and services at reasonable prices.
ParlaMint-NO_2003-06-04.ana.ud1647e913	The President is somewhat uncertain whether Hedstrøm intended to raise the proposals of the Advance Party.
ParlaMint-NO_2003-06-04.ana.ud1647e916	Thank you for that reminder, sir. President. I forgot. I refer to the proposals of the Progress Party that have been referred to in the vote.
ParlaMint-NO_2003-06-04.ana.ud1647e923	The representative of Øystein Hedstrøm has taken up the suggestions he referred to.
ParlaMint-NO_2003-06-04.ana.ud1647e926	I would like to comment on one aspect of this matter, and it is about state control. Today, we have a government that wants to sell in areas by area, which wants to remove state control over key social institutions. For us in SV, it is unusually important that the state owns many of the areas of society that are important to the country. It concerns infrastructure, such as telecommunications, rail, electricity, but also important natural resources. We also believe that we should have control of a bank as large as this is about. That's why we're very concerned that we don't have to sell ourselves below 34 pst. Thus we made an agreement with the Government for approx. One year ago we said that DnB would not sell below 34 pst. I always have that agreement on the inside pocket, because it's good to bring it up sometimes when you have questions about it. Now it was just a merger, and we have understood in conversation with the government parties that the agreement is legally signed, sail whether this merger has been concluded. But you kind of get a little interval where you sell yourself a short period of time down to 28 pst, while waiting for you to buy up in the market. And it's proven to be acceptable. But if not, an issue is to be made. And I have understood it this way on the representative of Kristiansen that it is firm: if you cannot buy up, it will be a corrected issue within the time limit mentioned in the case.
ParlaMint-NO_2003-06-04.ana.ud1647e933	A draft terms of merger have been negotiated by the Norwegian Bank and the Ghent-Side NOR for the two banks. This is important and essential to ensure national ownership in the financial sector. It is also of great value that the Stortinget now appears to gather on the support of a cohesive person for this initiative. Now we get a big and important actor in Norway and Norway. In this case, it is proposed to grant authority to reduce the ownership of the State down to 34 p.m., while requesting that the State may have a lower ownership, but not less than 28 p.m., during a transitional period. At the same time, two solutions are outlined for how one can buy up again and thus secure the country's ownership interests in the best possible way. It is important to stress the importance of maintaining and developing existing environments around the parties to the merger in Bergen and Trondheim. In the Odelsting later today, this is followed by a change in the State Bank Investment Fund Act as a result of the merger between DnB and Mutual NOR. This is because the state allows a hall of 34 pst. the owner and opens up that during a transitional period one may still have ownership rights down to 28 pst. In order to ensure that the State will be able to re-purchase to 34 p.m., one of them may participate in a proper issue and/or purchase axes in the market, combined with a shareholder agreement providing for control by the State. This should be the answer to Mr Ryan's question in the previous article. Since the State's Bank Investment Fund is not able to buy shafts in the other market today, the change in law it will open up will increase the flexibility of the state when it comes to choosing which scheme a will to secure the ownership. It therefore appeared reasonable that the State Bank Investment Fund would be able to acquire shafts and other equity instruments out of Norwegian banks and from parent companies of the Norwegian financial group in which the bank is incorporated, irrespective of whether the instruments are subscribed for in an issue or are acquired in the other market.
ParlaMint-NO_2003-06-04.ana.ud1647e944	It is a unanimous committee which is behind the suspension, whereby the Ministry of Industry and Trade is authorised to increase the State’s holdings in DnB and Mutual to 34 pst. after merger. This vote and this proposal for a decision are very pleased with the Central Party. A state ownership is necessary in order to maintain a national ownership. Without a state blocking share, we would undoubtedly have ended that bank — just as for a number of the other banks, including the banks. The right has been the driver of sales — after a relatively short time would have come on foreign hands. It's not the merger we're dealing with in the Storting today, it's the state's ownership. However, I would like to make a few comments about the merger, as it is a unanimous attitude with regard to the state holding. Over the course of a few years, we have experienced a strong concentration in the Norwegian financial industry. The lack of banking structures has disappeared, and it undoubtedly has implications for the risk assessment and the credit profile on which banks have now committed themselves. In recent times, we have seen that DnB has bought up the Nordlandsbanken, and we now get a merger between the two big giants in the Norwegian financial world, DnB and Mutual. So it's independent banks with an independent risk and credit assessment that are now merging. It implies uniformity, and it means that few persons are required to assess risks in relation to different parts of the country and in relation to different industries. The consequences of this are certain that we both know, for example: housing financing and industrial finance could be at risk of geographical areas and industries having problems with financing. We now see that in the fishing industry, one of our most important industries for the future, where banks withdraw their fingers, and how very few people are responsible for the risk assessment. We also experience that housing funding, even on the outskirts of Tromsø City, is difficult to obtain from those banks that are not locally represented and that are far away. This is a development that we should be very much aware of if we want to maintain a local business and maintain a scattered settlement. Some of that diversity disappears with the uniformity that we now get within the banking system. So it's like the representative Hedstrom mentioned in his post. What we now experience within the merged banks is also a form of remote control. But that is after all – I also have to admit – a remote control that is better than if these banks had come on foreign hands and you had to go to a head office in Stockholm or in Copenhagen to get credit for Norwegian business and Norwegian housing financing. Of course, a merger involving a Norwegian solution is better than if one of these banks had been sold out. So finally, Mutual NOR was the savings bank that paved the way for savings banks to use the form of share company in their organisation. A majority in Stortinget endorsed it a year ago, despite warnings, among others. from the Centre Party on what that development would lead to. Mutual NOR was the first savings bank to use the form of a limited liability company, and is also the first savings bank that has been merged into a commercial bank as a result of an organisational model that facilitates the purchase in the way we have now seen. Unfortunately, there is good reason to believe that even other savings banks will eventually fall, with the decision taken by the Stortinget in that area as well.
ParlaMint-NO_2003-06-04.ana.ud1647e961	The state is a significant owner in Norwegian business, and the government is emphasising on acting as a professional owner in the various companies where we have holdings. Furthermore, it is an objective to reduce the influence of the State on Norwegian business. The development of a more professional ownership involves, inter alia: to decide on the industrial development of companies, particularly in situations where the owner must express his views through the general meeting. The merger between DnB and Mutual NOR to DnB NOR is such a case. The State currently owns 47.78 pst through the State Bank Investment Fund. of the shares in DnB. The government has announced in the ownership notification that it wants to reduce its ownership interest to 34 p.m., in line with previous decisions in the Stortinget. It is against this background that the Government has proposed that the State should have a holding of 34 p.m. of the merged group DNB NOR ASA. The proposal implies that during a transitional period the ownership of the State may be down to 28 pst. However, through an agreement between the State Bank Investment Fund and the Mutual NOR Foundation, we have ensured control of material circumstances for a period that is considered sufficient to achieve 34 pst again. At the same time, a proposal for an amendment to the State Bank Investment Fund Act allowing the fund to acquire shares in the secondary market has been submitted. This will provide more flexibility to achieve the 34 pst target. holding in DNB NOR ASA. It's like the owner we've taken a decision on this merger. It is then important that it is well-founded in business and industrial terms. Merging the two financial groups will provide significant opportunities for rationalisation and improved capacity for profitability and growth. The merger will also enhance competitiveness and contribute to job security in the long term. The Board of Directors of the two companies has warned that the merger also involves extensive redundancies, which will be sought by natural departure and voluntary arrangements. The concession treatment of relevant public authorities will be done in an ordinary manner. Furthermore, knowledge capital held by financial institutions is of major importance for the competitiveness of Norwegian business. A merger between DnB and Mutual NOR will result in a Norwegian financial group of the size of Nordic competitors, with a clear Norwegian anchor. It was not possible to wait to hold the general meetings of DnB Holding ASA and Mutual NOR ASA until after the Storting had dealt with St.prp. No 59. It was therefore necessary for me to instruct the fund to vote in favour of the proposed merger. I would like to explain the instructions of the fund in the next appropriate pooling proposal, under the State Bank Investment Fund Act. On 20 May, the General Assembly of DnB ASA adopted a directed issue against the State Bank Investment Fund of up to 117 million shares. By drawing in this, the state can secure 34 pst. ownership. However, if the Storting adopts the Government's proposal today, the State Bank Investment Fund and the Ministry will have the opportunity to purchase shares in the secondary market. The Ministry of Economic Affairs, in consultation with the State Bank Investment Fund, will keep an ongoing assessment of which of these alternatives ensures the best interests of the State. On this basis, we will ensure that the acquisition of new shares is carried out as far as possible in a way that is considered positive by other market players as well. I would like to make a little clarification in relation to Innst. S. No 212, which we are now dealing with. It is apparent from the recommendation that the agreement between the Staten Bankvejensfonds and the Foundation of Mutual NOR Sparebank is assumed to be valid for 18 months from the General Assembly Decision, according to the suspension, the agreement shall be valid for up to 18 months from the date of signature. where it is formally from the date of signature, i.e. until 6 October 2004. I further note from the recommendation that the Committee assumes that the State has acquired 34 pst. of the shares in DnB NOR ASA at the end of the agreement with the formation and that, if this has not occurred, a rectified issue must be facilitated. A directed issue that results in dilution of the other shareholders requires a two-thirds majority at the general meeting. I therefore stress that it is not that the state is in a position to condition itself for a fixed issue at that time. By supporting the proposal submitted, the Storting provides the necessary flexibility in terms of instruments to reach a state holding of 34 p.m. in DNB NOR ASA. I consider it almost entirely unlikely that, at the end of the agreement with the foundation, the State should not have acquired a sufficient number of shares. The half-year should be sufficient. If such a situation should nevertheless arise, I will come back to Stortinget with proposals on how the state should act.
ParlaMint-NO_2003-06-04.ana.ud1647e1000	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2003-06-04.ana.ud1647e1003	The last state council said is essentially one of the most important things. For what has been contained in the agreement we have with the Government, and that goes from the cancellation, is that the state should have 34 pst. of that merged company. We have accepted that you can buy up in the market. It is possible to save money on it, and it is possible that this could be an appropriate way, but we assume without delay that it means that at the end of the period you should have reached 34 pst. To the extent that it shouldn't happen that you get a fixed issue to get up to 34 pst. – when the Council of State now says that they do not have the necessary number of votes to impose this, and that he will then come back in an appropriate way to ensure it – we assume without delay that it must become a reality. For what lies both in the agreement and in the decision of the Stortinge, is that one should not drain the state's ownership under 34 p.m., and that simply in the light of the experience we have from state-owned banks over the past few years. The credit fund and Focus Bank are two good examples of Norwegian banks in which the State has had significant holdings, which have been sold, and which today have head offices in Helsinki and Copenhagen respectively. I'm not going to draw the whole story about the bank manager in the 1990s and how the state became a big bank owner. If this bank becomes a happiness for Norwegian society, it remains to be seen. This will be a giant on a Norwegian scale. On a Nordic scale, it will also be a significant bank. In the European context, there will be a small and relatively small bank. But there is no goal for us to win Nordic or European championships in bank size. What's important is that we have banks that serve Norwegian society. That this will be a happiness for the shareholders, is raised beyond doubt. But what should be the stand of the Greatness, and which must be the stand of the Greatness, is what serves the society we are set to serve. At my discretion, it remains to be seen. Let me say it this way: it's up to the merged bank DnB NOR to show that this becomes a bank that serves the society it's set to serve. Whether this is a happiness remains to be seen, as I said, but I'm not going to take that whole story now. I just want to underline this one important point: at the moment that we no longer have controlling minorities in this bank, we know from experience that the bank can well be sold. The credit card is a good example in this way. That bank wasn't even for sale. The government didn't only have 34 pst. They had over 60 pst. in that bank. Nevertheless, Stortinget chose to sell when there was a bid. I am pleased that a unanimous Storting is behind the setting. I am pleased that the agreement we have with the Government is followed up. I assume without a doubt that the Minister of Industry will come to Stortinget at the end of this period, given that there are no 34 p.m., as the Council of State has assured the Stortinget. This means that the agreement is followed, and we are satisfied with that.
ParlaMint-NO_2003-06-04.ana.ud1647e1012	We have received a certain focus on this with the purchase in the second-hand market versus a fixed issue. I don't think the doubt requested here by the representative of Djupedal is going to hang in the air, because there's a reasoning behind what is proposed, which the whole committee has taken into account, not just to avoid creating doubt. An agreement has been reached between the Mutual NOR Sparebank Foundation and the Staten Bank Investment Fund which is not misunderstanding and which there is no reason to doubt. When the Council of State also stressed that he considered it quite unlikely that during an 18-month period one would not be able to purchase up to 34 p.m., and also considering the economic back pocket that some people would like to point out that any Council of State, especially in this context, is equipped, this reasoning and this agreement should not be questioned. The more lucid justification is that the state also has to act with a clean shareholder policy. In this context, where we see that one after another points out that Norwegian politicians are able to talk down the value of Norwegian companies almost every time they ask for the word, we have to try to avoid creating this doubt. Not only the fact that, by means of a corrected issue, the dilution of shares to a significant extent is ensured, but also when, by acting in the second-hand market on the basis of today’s exchange value, the Norwegian State will probably save NOK 1.5 billion, I would recommend that there is no contribution to creating doubts that these two economic giants – at least in Norway – are able to enter into a commitment around the agreement that has actually been concluded.
ParlaMint-NO_2003-06-04.ana.ud1647e1021	I will not go into a debate on outside matters, but concentrate on what is this matter. When I said what I said, it's most natural for me to point out the theoretical possibility that Djupedal pointed out, and that's a reality that we have to relate to. But precisely because it's a theoretical possibility, we've already prepared the strategy in relation to what we're going to do at the moment when the president drops the club when voting has happened, in order for it to become a completely unnecessary issue. What we're going to do is purchase is on such a scale that 18 months have been considered a very liberal period in relation to such a large unit as this, with such a liquid share as this. I believe that both in the debate and to the extent that in retrospect, there is little reason to stress the theoretical possibility. I can see that it's a completely unisonous magnification that means we need to secure 34 pst. By adopting what is the Government's proposal, I have the powers to do so, and we already have a strategy to do so, so that this 18-month perspective becomes completely out of date. I would also like to point out that there are relatively many conflicting views between this foundation and the state on why we should have this ownership. What is contained in this agreement is crystal clear, and there are, in reality, conflicting objectives, so that all doubts should be blotted out. At the moment when the president lets the club fall, as I said, we are starting to implement what is here the Storting's will.
ParlaMint-NO_2003-06-04.ana.ud1647e1032	Let me just stress that I am very pleased with the statement that the Council of State has now made. That means that we assume from our side that these 18 months are sufficient to acquire approximately. 6 pst. of the shares that may exist in the open market. But given the situation that this cannot be done – and it is clear that this is a liquid and easily negotiable share, but 6 pst. of such a large volume is nevertheless a quite significant number of shares to be placed on the market – I am satisfied with the insurance provided by the Council of State. Let me just briefly also repeat to the representative Kristiansen, who had an article that I didn't understand at all by: what we're talking about here is an emphasis on state ownership, a repositioning of the state's wealth to ensure an important instrument in the construction of society of Norway, namely a large private bank with a state element. Of course, we have no interest in so questioning this bank's competence or talking down the course – or what it was now the representative Kristiansen managed to say. We are engaged in a long-term, secure ownership that the state represents in this context. All the experience from the banking crises in the last two decades shows that the only guarantee we have for this is that the state has a significant holding. This is also satisfied with the Bank. There has been no hesitation at all for the bank in the expansion and development that DnB has undergone. Mutuals today do not have a State feature, they will have it, but Mutuals have also chosen to enter into merger negotiations with a limited liability company after they themselves have chosen to ask for a change from a basic fund company to a limited liability company. That means that Mutuals will now also be part of the state portfolio. We are pleased with that, simply because we support the company as a limited company and we could easily have experienced what you have experienced with both the Focus Bank and the Credit Fund, namely that foreign freers came and also bought Mutual NOR out of Norway. This means that given all the cards for which SV is not always so happy are given, the outcome of this case is the best possible, seen from the position of the nation of Norway.
ParlaMint-NO_2003-06-04.ana.ud1647e1039	Several have not asked for the floor on case No. 4 [[See page 3073]]
ParlaMint-NO_2003-06-04.ana.ud1647e1054	At the request of the Business Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that the speaking time be allocated to the groups as follows: The Labour Party and the Right 15 minutes each, the Advance Party, the Socialist Left Party and the Christian People's Party 10 minutes each and the Center Party, the Left and the Coast Party 5 minutes each. Furthermore, the President will propose that there be a replication of up to five lines with replies after the speeches by the main speakers of each party group, and after contributions by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2003-06-04.ana.ud1647e1065	In Document No: 8:64 it is proposed to submit an independent status report on the IT and knowledge centre at Fornebu. An assessment of whether the Centre has progressed in line with Storting's intentions is sought. Furthermore, an analysis of the concept and suitability of the project as a food policy instrument is desired. The reasons for the proposal by the Socialist Left are among other things: focusing on a project batch believes that the objectives and visions that have been launched are missing. The party believes that the establishment of the knowledge centre took place on the basis of assumptions about the Centre's industrial policy effects that had limited realism. The Right Party, the Christian People's Party and the Central Party support the Socialist Left Party's proposal for a status report for the IT and knowledge centre at Fornebu. The Right Party and the Christian People's Party refer to their primary position in the establishment of a knowledge centre, but otherwise they do not give any reason why they want a status report at this point in time. I believe that the respective representatives of the parties will elaborate their views and views in the debate. The Labour Party and the Advance Party constituted the majority behind the decision to realise the Centre through a joint ownership between the State and private stakeholders. The proposal of the Socialist Left claims that IT Fornebu would spend five years developing the innovation spirit that Silicon Valley has spent 60 years achieving. The Workers' Party and the Advance Party consider that in their comments on the adjustment, it is appropriate to clarify what are the realities of time perspective and development. The majority took its decision on 7 March 2000. After the agreement, it would take eight weeks for IT for Fornebu Eiendom AS to take over the plot at Fornebu. However, the acquisition was suspended due to the review of the contract work by the EFTA Surveillance Authority, ESA, and open rights between the State and the Municipality of Oslo. Accordingly, the acquisition took place on 29 June 2001, i.e. 16 months after the decision of the Storting and 14 months after the proposed acquisition date. IT Fornebu Eiendom has thus had the property available for one year and eleven months. During this period, the Fornebu terminal building has been rebuilt, a comprehensive plan for the development of the IT and knowledge and innovation centre has been developed, and the activity has started with tenants in research and industrial activities. In addition, IT Fornebu has been developing a contact network specifically for the regional knowledge park environment and has carried out several projects to facilitate the long-term interaction between research, education and business activities within the knowledge centre. An example is the establishment of IT Fornebu Incubator AS, probably Norway's most productive incubator for innovation enterprises. What has been suggested regarding the development of the Centre? In May 1999, IT Fornebu writes in its offer to set up a knowledge and innovation centre at Fornebu that it wants to have developed one of Europe’s most attractive knowledge and innovation centres by 2005. This was based on the fact that the first projects could be completed in 2000, i.e. one year after the proposed acquisition and that phase 1 of the expansion would be completed in 2005. If the objective of this deferral project is to be adjusted, Phase 1 must be completed in mid-2007. Phase 2 of this expansion was planned to take a new five-year period, so it will now be possible to implement it in mid-2012. The main point in this context is that the Centre has always been foreseen as a long-term project. Both the State and the private have agreed on the clear assumption that an environment for knowledge-intensive innovation should be gradually built and that the knowledge centre should be developed into an innovation village in the long term. The agreement between IT Fornebu and IT Fornebu Eiendom shows that the project has a 15-year perspective. The main agreement between the State and IT Fornebu Technoport refers to this cooperation agreement for the concreteisation of IT Fornebu and IT Fornebu Eiendom's obligations to realise the Centre's vision and objectives. Furthermore, the proposers believe that the project has been found to suffer from a lack of tenants, that the belief in the project has disappeared, and that criticism of the Centre's suitability as a political instrument has been raised. With regard to the tenant situation, the terminal building has been completed with 10000 m2 of office space and 13 000 m2 of new premises have been completed recently. The first 10,000 m2 is rented out, and you now have, with the last six new tenants in May, a total of 13 000 m2 of the 23 000 m2 that are completed. The centre has now slowly but surely built up an environment of small businesses, mainly in the IT sector, a highly competent research centre – the Simula Centre – and an incubator. Thus, the IT centre has actually started in terms of both the number of tenants and not least the composition of tenants, although there is a lot left. However, it should be emphasised that the rental situation is not the same as some years ago. This problem wears IT Fornebu with, as well as Telenor and the rest of the Lysaker environment. But the problem is not isolated for this project or this region. The same problem is faced throughout the Oslo region, as well as in the larger cities. The IT Fornebu initiative would thus face a problem in the future if it were based on short-term economic gains. However, the situation is such that this project is based on a long-term investment and the companies are capitalised in such a way that fluctuations in the market are overcome. The fact that IT Fornebu Property continues the completion of the terminal building shows that it is building for a future market, i.e. that it is in a position to offer good premises in a complex environment of research, education and business when demand is gradually coming back. IT Fornebu thus maintains the vision even in times of decline, precisely in recognition that at such times it is really important to try to create a basis for the development of future business. The Labour Party and the Advance Party will stress that there was a broad upturn – all parties except the Socialist Left – to establish an IT and knowledge centre at Fornebu. The assumptions made by the Stortinget by decision have been implemented as far as possible during the short period of time and in the current circumstances. Nor has anything happened that suggests that there is a need for a status review or reassessment by Stortinget. More unrest and doubt can only help to damage the development of the centre. If such a review and assessment had been sought on a holistic basis, several lots would have been positive. We would support a structure that included an analysis and status report of the many investments made in Norway in the form of research parks and commercial gardens, etc., e.g. directed by SIVA. A comprehensive review of the experience of different centres of expertise should not only provide an assessment of the past but also of knowledge that can serve as a contribution to strengthening Norwegian business life in the coming period. A comprehensive evaluation that analyses experience from knowledge centres and makes assessments of trends rather than one-sided assessment of the IT and knowledge centre at Fornebu, where the properties were acquired 23 months ago and are in a start-up phase, will be valuable. A survey of experiences and lessons learnt from such initiatives will also be useful input into a debate on the use of instruments in Norwegian business. Such analyses are used for industrial policy in many other countries. On behalf of the Labour Party and the Progress Party, I would like to address the proposals No. 1 and 2, which is referenced in the setting.
ParlaMint-NO_2003-06-04.ana.ud1647e1099	The representative Øystein Hedstrøm has taken up the suggestions he himself has referred to.
