ParlaMint-IS_2021-12-27-17.u1	The president considers it possible for a meeting to last longer than the Council of Congress.
ParlaMint-IS_2021-12-27-17.u42	A respectable president. I hereby recommend the Committee for Economic and Business Commission's Committee on Elements to legalize various tax and tax laws. This is 4th case. At this point, the committee stands, Guðrún Hafsteinsdóttir, president of the Economic and Business Committee, Ágúst Bjarni Garðarsson, Hafn Hafsteinsdóttir Mersteindótir, Steinunn Þóra of the Year's Árnadóttir, and Diljá Mist Einarsdóttir's daughter. I'd like to thank the Committee for a good and perfunctory cooperation with the Committee on the matter. As mentioned in the Committee opinion, the Commission was invited to meet with a party from the Taxes and the Ministry of Economics and Economics. There were reviews from the International Habits and the Skatti, as well as a financial and economic memo. The bill contains conditions for the registration of lawgivers in the public goods record including the that under conditions there is a need for annual bills to be returned to the head of the tax and that taxes, charges, or reports are not missed. The committee agrees with the viewpoints presented in the opinion and suggests that adjustments are made. With a 15. The bill is suggested that temporary tax appeals due to the renting of eco-friendly vehicles prescribed for temporary XXXIX law on money taxes be made available in order not only to the landlord's own but also to pay the rent on automobiles and rent-ins. The Ministry's memo to the Committee suggests that further adjustments in the provision will be made so that the requirements of appeals are excluded, based on the premeditation of vehicles on the basis of the provision for temporary XXIV legislation. Is this the purpose of this policy, however, that parking rents and financing workers will be able to use coincidences to temporarily use XXXIX due to eco-friendly automobiles, despite the fact that the duration of injury due to them according to the provision of temporary XXIV has expired. As a result, it is more consistent with the purpose of the law to facilitate transport energy exchange. The Commission agrees with the Ministry's proposal, referred to what is stated in the memo, and suggests a change in Article 15. The bill for that. The Ministry's memo is suggested to add a new provision temporarily to a set of suitable taxes to be allowed to set up the requirements for remuneration of the valuable tax paid on the import or first sale of new air vehicles, motors, or air polls that use electricity or hydrogen as energy sources during January 1, 2022 through 31 December 2027. A similar provision for provisional development was given in the bill of transport and rural administration to a new overall layer of air travel proposed to the last legislation panel but failed to succeed. The memo says that such reimbursement of the valuable tax may include government support in the sense of 61st. The European Economic Area Convention, as per law No. 2/1993. While there are certain exceptions from the general ban on government support which can be especially appropriate if it is thought that the positive influence of the community's assistance can outweigh the issue of competition. It is, in fact, there. Refer to EFTA decision made on 7 July 2021 of the national taxable wills due to an eco-friendly vehicle. The Ministry suggests that, having agreed with the Department of Transport and Regional Affairs, with reference to government policy on global energy exchange in Iceland and a reduction in greenhouse gas emissions, the stated provision for temporary addition of a law on the value tax. The committee agrees with that viewpoint and suggests IV. section of the bill will add an article on the fact that new provisional regulations are included in the terms of value tax on the above-mentioned topic. In addition, the Commission gives an explanation in the Ministry memo as well as in a paper with the above bill for the restoration of air travel proposed by the secretary of transportation and the local government to the last council. A set of temporary XVIII regulations on the provision of road vehicles, fuel, etc., indicates the calculation of the product tax from RVs. The directive was added to the legislation as suggested by a greater proportion of the current Economic and Business Committee, as per the European Commission's opinion of a 450th case at the 150th legislation panel to deal with the situation of RVs following major changes in the application of product stress charges due to changes in emissions measurements. The committee noted that this issue was proposed as a temporary solution until a permanent solution was found. Since then, the exception has been extended once and is still out the same year. The Ministry's memo to the Committee says that there is no permanent solution and that it is therefore appropriate to submit an extension of the proposed regulations. The Commission agrees with this and believes that it is correct to believe that the time required for temporary XVIII in law No. 29/1993 will be extended by one year. In the 18th. indicate changes in automobile charge laws are involved in the carbon dioxide emissions target of driving vehicles and driving criteria and the ratio ratios to the calculation of the car tax. In the treatment of the bill in Article 3 of the current council, the Commission received a memo from the Department of Professional Roads and Developments, where it is requested by the Committee that at the bill there is an addition of the regulations for the change in agricultural products, No. 99/1993. They suggest that these laws include temporary extension of the period in 2022 that marks lower imports on certain types of vegetables. According to the Ministry's memo, the period suggested is in line with the proposals of Iceland's Farmers Association and the employment community. The change is aimed at ensuring a sufficient benefit for consumers, preventing shortage, and reducing the likelihood of temporary increases due to pressure on toll when foreign goods are insufficient. The majority agree with the Ministry's proposal to respond to the situation by provisional regulations against agricultural legislation and suggest that the new section of the material be added to the bill under consideration. Other changes that the greater part suggests are technical and are not meant to have material influence. According to the above, the greater part contributes to the approval of the bill by the changes proposed in a special Senate document.
ParlaMint-IS_2021-12-27-17.u43	Madam President. I hereby recommend the Committee for Economic and Business Affairs in case of No. 5 on bill to correct various taxes and fees, car fees, oil and miles tax, road fares, fuels, etc. The opinion of the committee stands for the entire economic and business committee. I'd like to thank the Committee for your good work and business. As mentioned in the Committee opinion, the Commission was contacted by a member of the Department of Economic and Economic Associations and Trade and Service. The committee received a review from the Skatti. The comments and comments were very helpful, and they were very useful in reviewing the details of the bill, what might be considered, and how much more so. The changes discussed are about simplifying the collection of taxes on vehicles. It is then suggested that there be a law order to reduce the entrance of professional observation centres and the Association for Follow-up and collecting taxes on vehicles. The agreements had been in force since 1998 and were considered as a child of their time, and not in accordance with the view given to the law on public finance, the law on collecting public pay, and the aim of the government in recent years on the effectiveness of public taxes, and the paying of pay. First of the change in automobile law. With a b- team 1st par. the bill is assumed to be that, following the tenant exchange of the head of the state taxpayer's repayment and reimbursement on the basis of its seller's car fees, in proportion to the remainder of the period of remuneration at the time of tenant exchange, while collecting for the remainder of the buyer's share. The report of the IRS highlights the importance of no doubting the timeliness and adequate understanding of the times. It would be preferable that the reimbursement of the car tax and reimbursement should be reimbursed when paying a paid price should be determined by the registration of owners for a driver's license. The Commission agrees with these views, and having agreed with the Ministry of Economics and Economics, it suggests a change in its content. Then change the oil tax laws and miles. The report of the IRS suggests some changes aimed at increasing clarity and harmony. The role of the road was expected to be parallel to the professional laboratorys and tolls, even though it had a role at a lecture in cases where there is a high distance to the nearest checkpoint. In addition, the IRS shows that it would be preferable to maintain harmony in the use of the term and to refer it only to a calculus, but not also to a six - kilometer scale. At the end of a reading period of a mile [a km] tax rate and a special mile [a km] tax system, both motorized vehicles and motor vehicles, which have been used electronically. For the proposed change in 3 mg. 14th par. According to the law, the tax returns to the normal opinion that in the case of a vehicle being transferred to a reading period and, in cases where reading is made electronically out of the reading period, the same effect is the same. Finally, the tax is considered to be a reason for change in regard to delay following announcement of the planned change in a mile tax or a special mile tax law. This will be a 15-day delay from the date of the notification and not the mailing. The Commission agrees with the views presented in the tax reviews and agrees with the financial and economic authorities for the changes in the product. In other matters related to professional observation centres, however, the Commission supports in other respects the subject of the bill, but it shows that if a bill is still required by the law in a scientific department to care for the collections of other fees, such as traffic security costs, cr. 1.mg. Section 12. Court of Transportation, Transport Administration, and Administrative Remuneration, cr. 74. g. traffic song. In view of the Commission's opinion, it is appropriate that financial and economic ministers, in collaboration with the secretary of law, also review in view of the laws on public finance and the law on collecting public pay and in view of the government's objectives on the effectiveness of public pay. In view of the above, the Committee suggests that the bill will be agreed with the changes provided by the Committee's Committee.
ParlaMint-IS_2021-12-27-17.u44	Madam President. I hereby recommend the Committee for Economic and Business Affairs in case of No. 139, bill to legalize the switch to income tax laws, No. 90/2003 (containment). With the opinion of the committee, the entire economy is a business committee and I want to thank the Committee for the good work and business in this case. As mentioned in the Committee, the Commission was given a meeting of members from the Ministry of Economic and Economic Affairs and received reviews of the case from KPMG and Deloitte. The bill has a list of changes to 55 st. Law on income taxes, No. 90/2003, which aims at providing partners in the EEA or in the Faeroe Islands located here on a national taxation and, on the other hand, allowing local Mothers to request a limited taxation with their company registered within the EU or the Faeroe Islands to be met by all the general conditions of the corresponding taxation. The bill responds to EFTA's comments on partner balance and the use of the post-releasure loss. As per Article 4 of Council 151, the issue of 269 of the 150th and 433th matters of the 149th Council has been proposed in part before the last three legislatures, but not reached. The bill here for treatment is intended to include no other factors than those directly intended to meet the observations of the EFTA Agency. KPMG's comments on the subject are in accordance with the issues discussed in the terms of government consultation on October 1. Based on the review of the review in a review of a paper with the bill as well as the Ministry's findings on a consultation guide, as per case 182/2021 in the portal. It may be noted that the bill is merely to address the comments of the EFTA monitoring centre, but not to take into account a partner's balance to make a reexamination. However, KPMG's comments may provide reasons for such a review, and they encourage the Commission to take into account the need for the job, requiring thought-control and more extensive consultations. The same is true of Deloitte's comments to the Committee, which include her comments. until the subject of the bill is generally improved, and the bill contains positive steps, even though they can do better. The committee suggests technical adjustments to the bill, which is not meant to have material influence. According to the above, the Commission suggests that the bill will be accepted with the changes made by the members of the Committee.
ParlaMint-IS_2021-12-27-17.u45	Madam President. I hereby recommend the Committee for Economic and Business Affairs in case of No. 164, the bill to correct a financial change law and key information legislation on certain investors investment products ( fiscal guidelines and key information documents). As mentioned in the Committee opinion, the Commission was contacted by sources of financial and economic organizations and financial organizations. The committee received reviews from the Associations of financial companies and Iceland's Penitentiary as well as a memo from the Ministry of Economics and Economics. The bill suggests changes in financial indicators to avoid uncertainty about what will replace the index that will be released after the end of 2021. Then the bill is proposed to be extended until the end of the year 2022, not from investment information legislation. These changes reflect recent changes in European types on which the law is based. On Commission coverage and change proposals, Article 3 of this publication. The bill: The review of the Association of financial companies is requested to provide access to Article 3. the bill, to add growth to a head chair more than every 12 months, will be generally applied when it is needed to reflect the active growth of growth criteria that are agreed on by a contract, but will not limit the interest criteria that replace the growth criteria that are laid down or unacceptable. In view of the greater part, it may be difficult for an Icelandic financial firm to support new international interest markets based on daily growth in contracts over one day. Adds the extra item to change the provision to allow growth to be added to the head chair more than every 12 months if needed to reflect active growth criteria. The report by Iceland's Office to the Committee notes that Article 3 can be interpreted. the bill in the way that growth is added to a head chair more than once a year if a contract is based on growth criteria that replaces or becomes unusable, even if it is a new agreement rather than a previous agreement based on a growth criterion, which will be unusable or unattracted. The Ministry's memo to the Committee agrees with the tip of the U.S. Bank. As noted above, the greater part contributes to a change in the arrangement, making sure that its interpretation is unconvinced. This suggests that the greater part contributes to a change in the name of the bill, which does not have material influence. In the above, the more part contributes to the approval of the bill by means of the changes made by the members of the Committee. Under the heading, write why. Councilmen of Ágúst Bjarni Garðarsson, Hrönn Hafsteinsdóttir, Ásldur Ásthildur Þórsdóttir, Daði the son of Kristófersson, Mist Einarsdóttir, Shernán the Merstein daughter, and Steinunn, the Þóra of the Árnadóttir.
ParlaMint-IS_2021-12-27-17.u46	Madam President. I'm here to recommend a committee party from whence. The Foreign Affairs Commission for a proposal for interpretation of the decision made by the European Commission No. 388/2021 of the change in IX. Annex (System Service) to the EEA Convention. The committee has discussed the matter. The Parliamentary resolution of this proposal will confirm the decision made by the joint EEA Committee No. 388/2021 of December 10, 2021 of the change in IX. Annex (System Service) to the EEA Convention on May 2, 1992, and enter the Member State Regulation of the European Parliament and Council (EU) 2021/168 from February 10 February 2021 on the change in Regulation (EU) 2016/1011 to the specified criteria for the temporaryisation of third countries and the nomineibility criteria to be suspended and change of Regulation (EU) No. 6482/2012, Commission Regulation (EU) 202/1847 of 14 October 2021 on the definition of legislation to receive specific versions of CHF LIBOR growth, i.e. LIBOR growths of Swiss francs, and the Commission's implementation protocol (EU) 2021/1848 from 21 October 2021 of the definition of cross-country growth in euro. The presentation of the proposal is considered by the Committee according to Article 7. Conventional Conventional Treatment of the EEA. The committee proposes that the proposal be accepted. The Þorgerður of K. Gunnarsdóttir was absent from the case, but he signed this opinion in line with 2 mgr. Twenty-nine. Congress. Sigmundur Davíð Gunnlaugsson was absent from the case. This is in accordance with the opinion of Rafn Rafen Ólafsson, an officer of the Committee. Under the heading, they're writing a letter on the subject. State Department, huh? Councilmen: President Bjarni Jónsson, Chairman of Njáll Friðbertsson, Birggirnsson, Diljá Mist Einarsdóttir, Logi Einarsson, Frímann Magnússon Jóhann Friðriksson, and Þordor Þorgerður K.'s Gunnarsdóttir. [Note. This is a story for members of a committee party in the 165th language; see the figure. 191.]
ParlaMint-IS_2021-12-27-17.u47	Madam President. I'd like to recommend a committee party. Foreign Directorial Committee with a hearing of a proposal for Congress resolution on the determination of the joint EEA Committee for a change of II. Annex and Protocol 37 to the EEA Convention ( Pills). The committee has discussed the matter. By the Parliamentary resolution of this proposal, Allallis's sources are looking for confirmation of the decision made by the joint EEA Committee on the Change of II. Annex (Interesting regulations, standards, testing and certification) along with book 37 (which contains the file specified in 101. g.) to the EEA contract from May 2, 1992 and enter the contract of the following types: 1st European Parliament and Council Regulation (EU) 2019/5 of December 11, 2018, of the review of Regulation (EC) No 37/2010: 726/2004 on the Community case management of human and animal treatment options and monitoring of these medicinal products and on the establishment of the European Medicines Agency for the variation of Regulation (EC) No 37/2010. 1901/2006 on medicinal products for paediatric patients and on Directive 2001/83/EC for the Human Compatibility of medicinal products. 2. The European Parliament and Council Regulation (EU) 2019/6 of December 11, 2018, for animal treatment and for the deletion of Directive 2001/82/EC (the animal protocol). The presentation of the proposal is considered by the Committee according to Article 7. Conventional Conventional Treatment of the EEA. The Commission suggests a change in the number of decisions made by the joint EEA committee in the motion and the headline of the case. The Commission suggests that the proposal will be agreed with the following changes: a. Following the statement "Environment of the European Commission's joint committee's 1st case. Question: No. 371/2021. b. The headline is as follows: Suggesting for interpretation of the decision made by the joint EEA Committee No. 371/2021 of change in II. Annex (Interesting regulations, standards, testing and certification) and Protocol 37 (which contains the file set out in 101. g.) to the EEA Convention ( Pills). The Þorgerður of K. Gunnarsdóttir was absent from the case, but he signed this opinion in line with 2 mgr. Twenty-nine. Congress. Sigmundur Davíð Gunnlaugsson was absent from the case. Under the heading, write why. Foreign Committee members: President Bjarni Jónsson, Njáll Trausti Friðbertsson Jóðsson, Birgir Þórarinsson, Mist Einarsdóttir Einarsdót, Logi Einarsson, Jakob Frímann Magnússon, Jóhann Friðrik Friðriksson, Þorgerður K. Gunnarsdóttir.
ParlaMint-IS_2021-12-27-17.u48	Madam President. I would like to recommend a board of committees to the highest level. The State Department of Change Directive for a synopsis resolution of the decision made by the Joint EEA on the Change of IX. Annex (System Service) to the EEA Convention (recommence of Penalties). The committee has discussed the matter. The proposal will verify the determination of the joint EEA committee for a change in IX. Annex (Subject Service) to the EEA Convention on May 2, 1992, bringing in the contract of the Commission Regulation and Council Regulation (EU) 2021/337 of February 16 February 2021 for the change in Regulation (EU) 2017/11229 for the EU-refundation and targeted adjustments for the budgetary and Directive 2004/109/EC for the use of the common electronic reporting format for annual accounts, to help restore in the following the Covid-19 risk issues. The presentation of the proposal is considered by the Committee according to Article 7. Conventional Conventional Treatment of the EEA. The Commission suggests a change in the number of decisions made by the joint EEA committee in the motion and the headline of the case. The Commission suggests that the proposal will be agreed with the following changes: a. Following the statement "Environment of the European Commission's joint committee's 1st case. Question: No. 384/2021. b. The headline is as follows: Suggesting for interpretation of the decision made by the joint EEA Committee No. 384/2021 of the change in IX. Annex (System Service) to the EEA Convention (recommence of Penalties). The Þorgerður of K. Gunnarsdóttir was absent from the case, but he signed this opinion in line with 2 mgr. 29 mg. Congress. Sigmundur Davíð Gunnlaugsson was absent from the case. This is in accordance with the opinion of Rafn Rafen Ólafsson, an officer of the Committee. Under the highest opinion. State Director Bjarni Jónsson, Special Trausti Friðert Friðbertsson, Þórarinsson, Mist Einarsdóttir Einarsdót, Logi Einarsson, Jakob Frímann Magnússon, Jóhann Friðrik Friðriksson, and the Þorgerður of K. Gunnarsdóttir. [Note. This is a story for members of a committee party in 152 language; see the figure. 193.]
ParlaMint-IS_2021-12-27-17.u49	Madam President. I hereby recommend a proposal for Congress resolution of a contract between Iceland and the Faeroe Islands for Fishing in the United States in 2022. The committee has discussed the matter. So here we have a fishing contract between Iceland and the Faeroe Islands for the coming years. This contract is based on historic tradition. It is an important part of Icelandic fishing soil, which has been made each year for decades and is built on old marrow. This is the same kind of contract as last year and the same points as last. It is important to be able to start a new year with the contract and the figures here are very similar to the last one. This suggests a search of the Allied warrant for a contract between Iceland and England's Faeroe for fishing in Iceland and on December 9, 2021. The contract requires permission of parties to fish seafood in each other's legal history in 2022. It allows for a mutual warrant for each of the parties to fish the carbons and the Norwegian-islen fjords within the rest of the jurisdiction of the year 2022. Icelandic ships are authorized to fish on as many as 1,300 trains of mackerel in sophisticated jurisdiction during the year 2022, and the content of the Convention agrees with the agreement held before 2021, as stated earlier. The treaty has reached final significance when it has been announced that the administrative conditions of each country have been met. The committee proposes that the proposal be accepted. The Þorgerður of K. Gunnarsdóttir was absent from the case, but he signed this opinion in line with 2 mgr. Twenty-nine. Parliamentary law. Sigmundur Davíð Gunnlaugsson was absent from the case. The Gísli Ólafsson is an officer on the committee who supports us. It's under the heading "Why." Senators at once. Foreign Committee: Director Bjarni Jónsson, Chairman Birgir Þórarinsson of History, Njáll Friðbertsson, Mist Einarsdóttir Einarsdótt, Logi Einarsson, Frímann Friðrik Friðriksson, and Þorgerður K. Gunnarsdóttir's daughter.
ParlaMint-IS_2021-12-27-17.u50	A respectable president. I present a committee opinion with a bill-changing motion to correct the changing of various laws, the extension of temporary warrants. The nominee comes from what? A top-of-the-art Board of Education. The committee has discussed the matter and has been contacted by members of the Ministry of Justice. The bill is suggested to extend temporary access to local, police, and courts, which remain unchanged on December 31, 2021, to employ electronic solutions and telecommunications in certain cases. With law No. 32/2020, on the change in various laws to allow extension and electronic management of county and courts, were adopted temporarily to respond to the effects of the Prepandemic crown virus on certain government and tribunal projects, enabling them to further apply electronic solutions to judicial procedures. The time of the source was extended by law No. 121/2020, about changing the law of a pandemic crown virus, extension of temporary clearances. The bill is now reassigning its sources to the end of 2024. At the same time, it is suggested in the bill to extend temporary privileges for the National Rights to have a residence outside of Reykjavík, parr. Section 3. track No. 10/2017, No. 50/2016, with subsequent changes (named as judges' qualifications, residence of the National Court). Since his appointment, the Court has established a permanent home for the court. The management of the case with the Committee discussed whether the provisional privileges the bill provides for electronic solutions and electronic management of courts and governments should be permanent. The committee believes that it is important to ensure that the temporary sources prescribed for the bill do not fail. Although this temporary record has been provided to ensure that legal tasks and to prevent criminal damage in the light of circumstances due to the spread of the crown virus, it is important to build on that experience and not to go back to previous execution regardless of what the development of the pandemic will be in the years to come. Thus, the Committee stresses the need to investigate whether or not the necessary legal adjustment can be made to introduce permanent documents to the county office, police and court to use electronic solutions where it is possible to improve services. The committee noted that such changes have already begun. However, such a review of legislation and induction takes time. However, many factors need to be considered, and especially to ensure security from sharing and saving data. The Commission suggests that temporary permissions to apply electronic solutions will be extended year by year shorter than expected in the bill, i.e. until the end of 2023, on the basis of the time to complete work that is already started through the introduction of lasting sources to use electronic solutions for police, county and courts. The Commission will pay attention to this work and, in turn, will call for information on its progress before the end of 2022. The committee also suggests one technical adjustment of the bill's headline to explain its contents. The Commission suggests that the bill will be agreed with the following modification: 1st Instead of the annual year, ◯2024 in 1,◯4 par. Come on: 2023. 2. The bill's headline is as follows: Cells to correct the change in various laws to extend the time of temporary decisions on electronic management etc. Under this heading, write why. paritaprevir Brutísdóri Haraldsdóttir Olaon, president of the Committee, and executive of the case, Kristínardóttir Anna Kristirdótir's daughter of Gunnarsdóttir, Bergþór Ólason, Birggis the Ármannsson of Þórarinsson, Eyjólfur, Halla Signý Kristjánsdóttir, Skúladóttir, Lilja Sigurgeirsdóttir Sigrgeir, and Logi Einarsson. Hv. paritaprevir Sigmar Guðmundsson, an officer of the hearing, agrees with this. I've finished my case.
ParlaMint-IS_2021-12-27-17.u51	Madam President. Happy Thanksgiving. What a privilege it is for me to stand in the public speaking chair! I was proud to sign a vow last week when I sat here at the General Assembly. A good woman showed me that the word "word " may well describe the differences between the sexes and their roles. For everyone's good, we're getting way past today on equality, and I want to take this opportunity and thank the one who's done it. We need to continue to deal with the way of equality in all fields and to rejoice in social diversity. A general body is one of the most important areas of society and its activities, i.e. To enact laws to other rulers of the state, institutions, and citizens of the State. We'll discuss these days as a bill for budget and bills on taxes and charges, bills that proclaim the restoration of the economy in a pandemic. The aim is to lighten the load of people and businesses, while the next year there is an increase in the financial maintenance level. It is our common task to build a society that contributes to the well - being, quality of life and economic sustainability for the future, a society where access to excellent and varied education and health - care systems is available for all regardless of what to be born with. While I'm standing here in this great pit, a lot of people in the community are doing a lot of important work. In the fishery that I have access to, a diverse group of staff from different nationalities are handling fresh fish, newly fished fish around Icelanders. The skill of staff is to make valuable for Icelandic society. In the United States, a wide variety of businesses, small, medium, and large companies lay the basis for the well - being, progress, and prosperity, living under the bases of society, education systems, health systems, welfare systems, transportation, infrastructure, culture, and art. So it is the advantage of all of us to promote employment. Plans based on the budget are expected for intensive economic growth. We have every opportunity to get this much economy, but that's why we need to support our professional life, including the rest of our lives. as well as taxes and fees, including insurance fees, but one of the main obstacles of an enterprise today is pay paid which has evolved from the rhythm of value generation. The increase in pay that the government has brought has added to business and has created inflation pressure and loss of the competitive status of the Icelandic economy. Business life is leading to growth in the labour market and to a growing number of jobs, not the public. Official and remote projects need to be reduced, negotiated for public service and set standards of quality and safety, whether the services are rendered by public or private sources. Unspecified criteria can lead to problems and waste, and public motivation is needed for management management. Small incentives are for economic management in public citizens who are not funded on a project-based basis. We need to strengthen our job life and create an encouraging environment in which people of different ages are allowed to make use of their abilities. I have great respect for the generations leading up to us, old citizens who have done much of a day's work and have laid the foundation for a prosperous society and the peoples we enjoy today. The official prerogative for older citizens has to be replaced by their freedom. Age is relative, and the same criteria cannot be set for this large and different group. It is beneficial to have a double pay target for professional pensioners. There are many other factors to consider in the affairs of older citizens and the importance of molding a common policy. We should both want to grow old and to be elderly. The urge to take action is to reach as many people as possible, and we need to support the disability in order to increase the workforce. More than 21,000 people are classified as disability, and it would be a great step to enable those who are able to expand their work. In order to accomplish this, we need to have a work record, and in recent years the government has taken money to carry it out and to change the rate of disability. Substantial changes are necessary in the insurance system, but they will only be done in cooperation and reconciliation with disability. The objective is to ensure their survival while increasing their effectiveness and aid participation in the community in all areas, especially in the labour market. It is good to see that in the Treaty of a new government, innovation and infrastructure are under high priority. We live in times where social change is not only profound but also moving at an ever - increasing rate. This presents a challenge, as well as an opportunity. The opportunity is most important in the best - quality technology, which enables us to expand our ministry and at the same time reduce costs. Our competition is green energy, and we need to use our resources in a sustainable way for the development of employment and energy exchanges here in the country. We need to rethink, reevaluate, and recycle. We've got a lot of underneath as a nation and we're supposed to be in the front row when it comes to environmental and climate issues. It is positive in the Treaty to help increase the potential for growth in pensions and the potential for further participation in investments and green investments. Honorable House of Congress. In order to contribute to the well - being I have considered, we need to increase the value of more efficient domestic production and to support export companies, which lay the basis for the currency of the country. By doing so, we will ensure the status and standard of life in the country and we will attract foreign investments. The world movie is different. Previously, Iceland was the jump platform between East and West. Today, the center of the northern, climate, and environmental areas is more important, especially in younger generations and in terms of gender equality, freedom of human rights, and rights is of great importance to new generations. It is our goal to shape a vision of the future which contributes to the economic sustainable development of the future, and I look forward to a perennial and upbuilding conversation with you about the future of Icelandic society.
ParlaMint-IS_2021-12-27-17.u52	A respectable president. I want to thank you. A senator for an excellent speech and, in particular, I thank her for her high priority on the environment. I noticed some factors, now that my generation is only looking at economic and environmental growth, but there are two issues where we need to look beyond our needs. Another thing about thinking about Iceland's resources and nature as only something to promote economic growth, but that's something I don't think we should suggest or develop in the direction of, since this is probably the nature of all of us to be preserved for future generations. On the other hand, economic growth and lower taxes may be the only way to increase society's income and future income, which I quite agree to be incredibly important, but there are a number of ways, such as resource tax and carbon tax, which can finance these measures. I like it very much that all groups focus on the environment, but it's only important to be looking at this future and with the right of future generations to view and our right to pure nature.
ParlaMint-IS_2021-12-27-17.u53	Madam President. Thank you. A senator for coming up here and also giving me a chance to give a reply. Hv. A senator speaks of economic and environmental growth. These things work together so well in Iceland that we have our precious nature that we can use in green and environmental ways. All of the productions presented here by this environmentally friendly impulse that we have and our resources make all production more valuable and more attractive to export. Therefore, this will remain in good hands; domestic production, based on green energy, and economic growth.
