ParlaMint-IS_2018-12-10-44.u1	The president considers an agreement that may last longer than the Senate today, if necessary.
ParlaMint-IS_2018-12-10-44.u72	A respectable president. Thank you very much. Minister for being here with us at the Assembly Hall and discussing this case that has already occurred. In view of the ongoing discussion of the long waiting period of individuals after certain measures in the health system, I allow myself to ask the highest level of questions. Minister whether or not to take additional measures to ensure treatment until possible. I know that a special waiting list was under way over two years ago when certain measures were raised. I think there were three operations, these were replacement surgery, cardiac and coronary strictures, or cardiac catheters, and cataract surgery. Then the campaign was added to the women's pelvic organs, the best case. Mr. President. In a statistical review of the surgeon's work since the middle of the year, it is not surprising that there have been several reasons for waiting lists. What a relief, a special source of joy! This is true of most of the operations except the replacement procedures. However, in the case of the female surgeries, about 130 women remain in need of heavy measures and suffer hardship. However, the waiting is also firm. These are generally not emergency procedures, but they may be. They are inevitable and will not be left on hand racing, and they do not fit in with emergency departments. We have a community hospital, public institutions, who can do these projects either by themselves or in cooperation with other institutions, I mention Land Hospitals, but it costs. So I ask: Has a minister intended to make such measures possible, that health - care systems will be changed in order to finance the operation in the public health system, primarily on the budget, i.e. Not through the health insurance system? Or are the Ministers planning to negotiate with private agencies for the project? And finally: If not, may patients be prepared to continue in their foreign ministry?
ParlaMint-IS_2018-12-10-44.u73	A respectable president. Thank you. A senator's inquiry. The senator asks for measures due to a waiting list for two teams and asks first if I feel that special measures due to the waiting list for measures in several areas of health care should be taken. A senator went well. In recent years, information on waiting for selected measures has been published three times a year on the land surgeon's website. The last update we have in the Ministry is from November. After the most recent figures since October and according to the standards of the office, 80% of those who wait for the operation will not be waiting for longer than 90 days. These are comparable to those in the North, and all countries still have a long way to meet those criteria. According to the surgeon's figures, 337 patients were waiting for hip replacement surgery in October. Of these, 70% had waited longer than the three months. The median waiting time was approximately 20 weeks and the waiting period for the postoperative period is only seen but not delayed in time for the orthopedic surgeon to assess the need for surgery. According to our information, waiting for such a period now lasts 6 to 8 months. In October it was. 703 patients were on the waiting list for knee replacement surgery or more than in June of the same year at which 70% waited for more than three months. The median waiting time was 6◯15 months, different between institutions, and waiting for time for the orthopedic surgeon to assess the need for postoperative surgery was 6◯8 months for that procedure as well. As mentioned in the question of why. This three - year - long wait list is focused on various types of action. Overall, the waiting list may be said to have proved to be very effective in all such operations unless joint replacement measures, i.e. The result is considerably less. A new memo from surgical field Hospital reports that since the waiting period began, the number of people waiting for surgery at the hospital for more than three months was significantly reduced, with a figure of 2,126 waiting for eye block surgery in January 2016 and 89 in November 2018, so there is a considerable change. 262 waited for 2016 hip replacement surgery, and 132 was held in November 2018. So we see that there will also be positive changes but not sufficient. In view of the foregoing, there is, of course, reason to improve the efficiency of replacement operations. In addition to reviewing the increase in action, there is reason to review organization, how people are prioritised on the waiting list, and whether other less efficient measures than procedures have been reviewed in all cases for the development of physical therapy. The adjustment of the protocol of the waiting list is initiated, including by means of an electronic central waiting list to promote equilibrium and better patient information flow. It is considered by the surgeon general's office a great need to try to gain some perspective on this situation. Such an arrangement would then help ensure that there is always information on where to wait so that patients could seek it instead of binding themselves to one specific medical facility. The amount of money in the waiting list campaign at any given moment. A senator named has become permanent in his new releases, and in a financial program we expect 840 billion. K. During the next year, they will permanently enter this assignment. There was a large number of measures per 100,000 inhabitants per person by sex in the Netherlands, but the report presented a number of measures in 2015 and this year the rate of action in Iceland was lower than in the rest of the North countries. However, the number of actions in 2016 and 2017 in Iceland, as reported by the surgeon's office, is comparable to what he was elsewhere in the North countries in 2015. Then we're talking about a lot of action, we're talking about not the wait, we're talking about a lot of action. In view of all of this considered, the question can be answered in a way that makes me feel that there is good reason to take action due to a waiting list of measures and especially for the organization, priorities, and funding of this waiting list. Hv. A senator also asks if a minister intends to use the means to create a situation that does not require the burden and expense of traveling abroad to attend a medical service that can be performed at home, such as replacement operations. It is therefore to say that for this to happen, the waiting period for the procedure within the official health system must always be within the range that the surgeon's office has set for an acceptable waiting period. But that time is, as I had before, three months for surgery. I will continue to use myself for the growth of the medical institutions that have been involved in that procedure so that they can perform the necessary surgical procedures within an acceptable waiting period in most cases, but in the case that such a period cannot be achieved and a waiting period exceeds the defined limit, patients can apply for certain conditions filled with the paying cost of a foreign operation. I think it is very important that such matters be reduced and that, as most of the cases, they can be resolved within the general arrangement with an acceptable waiting time. It's really our project, and I have high hopes that we will be able to handle this important matter. [[The president calls.]]
ParlaMint-IS_2018-12-10-44.u74	Mr. President. Thank you. paritaprevir The Guðjón of Brjánsson for bringing up the court lists. It has long been the task of the medical system to try to work down that list, and in that regard, as it were, the highest. A minister entered earlier, and how happy we were that we have been permanently secure the funds needed to maintain what has been called the wait list project! But like the highest. A minister also came on the inside is also very important for us to make sure that the models we have in progress reflect reality, i.e. Really reflects how long people have to wait. My list is completely unannounced that the waiting list is some other reality, but perhaps the personal waiting list itself. That's why I want to encourage the highest. A minister in particular would take advantage of his subsidiary to perform a procedure so that a patient in need of a specific procedure does not have to wait for a waiting list almost to shorten a waiting list. [[The president calls.]]
ParlaMint-IS_2018-12-10-44.u75	A respectable president. Thank you very much. Minister for interesting answers. It is important that we do not forget in the midst of a disaster. We have been successful in certain areas, and it is a joy, and we should maintain it. However, we have not been able to work down a waiting list in replacement operations, something that is unexpected to no one. This is the development of all of our next countries and the need to expand. Of course, that is because of the way we live. We eat too much, we gain too much weight, our joints are broken, our musculoskeletal system is failing. Some of the extremes between them are that people who move too much also cut off their joints, and they need new teams at a young age. However, I would like to mention that in his report two years ago, Mckinsey pointed out that it would not be advisable to deposit money on the health system unless we had clear goals. Of course, we know how much each replacement is required. We know how much it costs abroad, we know how much it costs in the private sector in Iceland, and we know what it costs at the hospitals here. So I ask a minister: has there been a cost analysis of it, a future projection of what we need to put into the system so that it can accomplish the expected need for health care, e.g. in the next two decades? If so, how will preparation be used for it? You may not see evidence of such increases, e.g. During replacement operations, which are predicted to grow dramatically in the coming years, we do not see this in a financial program.
ParlaMint-IS_2018-12-10-44.u76	A respectable president. First, I'd like to say that of course it's important, and I couldn't do it in my first answer, that the course of the cases where the right to attend a foreign service is considered to be in order to ensure that patient interests are the best of loyalty and that Iceland's health service is not the norm. I agree with it. paritaprevir Ólafur Þór Gunnarsson says the importance of hiding institutions working on the waiting list. I agree with that too. And when the servant Guðjón Brjánsson the son of Gün heard of it, nothing went over in my first answer, namely, how much of this subject really is a public health project, i.e. Emphasize that we need to be more responsible for past health benefits by moving, eating properly, etc. During the days, there was an interview with a Danish planning counselor who has been molded in Copenhagen's organization and has just translated his key books into Icelandic. He speaks of the direct reduction in movement and the slowness of movement and the slowness of movement. 10,000 paces a day, he said it was important. This all hangs out, so, of course, a life - style is an important factor here. Because of what? A senator asks what we need to put into the future when I agree with it. A senator with all of this rests on the importance of our health policy, i.e. asking what we're going to do, what health care can do and what hospitals do - I'm talking about the Land Hospital and the Hospital in Akureyri - do, and then what other service we want to do and what government services are given to them, including countries and other institutions. Then the State, i.e. We, to determine what we would like to buy or serve beyond that. This must be in accordance with the needs of patients, not according to the needs of those who sell them.
ParlaMint-IS_2018-12-10-44.u77	Mr. President. Let's take care of the health issues of environmental and energy. For example, over time and for obvious reasons, discussions and observations on electricalization are becoming more extensive. Electricisation is important to climate because of less greenhouse gas emissions, but it is also of economic benefit, i.e. sales of electricity to foreign parties and, of course, savings the import of fossil fuels. There are a number of ports that can already supply smaller ships for electricity. So it is through the low - pressure distribution system, and I like to mention Húsavík. There are very few ships there, at least two people who need electricity because they're partially electrical. Then there are the big ships, freighters, and passengers, and even a huge cruise ship, which we need most of the situation, and then we're talking about the massive transport system. This electricalization is primarily in that if we first look at the low - tension system, recharging boats, or shutting small light machines in case of a ship that is exclusively powered fossil fuels. It's boats and smaller ships. Then there's energy back to ships that are temporarily at the docks and that are transport ships, as I said, and this particularly applies to the 10 to 15 largest ports of the country, and at least the most advanced system must come in. The extra needs in these cases vary greatly. She's from being a kilowatt to 1, 2 megawatts, and up to 10, 15, 20, she tells me numbers that I actually question. I can't believe one cruise ship needs the same energy as any Akureyri. I don't know. I might have to get my stitches on it. But my questions to the highest. There are two ministers, on the one hand, regarding the urgency of this primary project in view of the survey made. Second, each situation is covered with the electricalization of the harbors and what will be predictable in the next few years of government regulations.
ParlaMint-IS_2018-12-10-44.u78	Mr. President. Thank you. A senator for this request for electricalization denied. I'm going in my answer to review their situation, what's ahead, and answer questions of which. Senator. But first, to prepare electricalization to reject a ship's ability to use domestic electricity. To answer, the Government Treaty states that the development of the transport and distribution systems of electricity should support energy exchange programmes aimed at reducing greenhouse gas emissions, e.g. by internalisation for electricalization denied. One key factor in transport is to support environmentally sustainable transport by linking ships to port electricity and all new processes will be induced environmentally-friendly energy sources in accordance with a climate change programme 2018◯2030. On May 31, 2017, the Allied Council agreed to agree on the terms of the energy change action programme, which aims to reduce fossil fuels use and to increase the share of renewable energy sources. In the case of a problem, the aim is to increase the share of renewable energy to 10% by 2030, which was only 0.1% in 2016. One of the action projects at the council resolution turned to shape the energy exchange programme in Icelandic ports, focusing on the increased supply of electrical wood for ships. The Ministry got a little earlier this year, Icelandic brand. and join us in implementing such energy exchange strategy and this report was submitted to the Ministry last week. It provides suggestions for action that the government can suggest for the development of electrical infrastructures in the ports of this country. An operation plan will take up the strength of the current power source in ports. It also follows suggestions that support the programme and guide governments for practical building projects with a view to the greatest benefit of action. The operation programme does not follow costs, but it suggests that the benefits of further electronicization will be turned down at the same time as costs for such projects. That's our next step. Finding this data will increase the supply of electrical wood for ships at docks in order to reduce the burning of fossil fuels vessels at the docks. At the same time, it should be noted that the Ministry is involved in developing infrastructure for future energy exchanges in accordance with climate-based action programme, including: Unable to open wpa_supplicant wpa_supplicant configuration. In terms of the cost of electricalisation the country will reject and how much electricity would be required for the electricalisation, Iceland's ports generally offer a link to a low-exploited electrical delivery system, such as this. A senator entered a ship's size. The present system meets the needs of most of the fishing ships, patrols, and other ships of 300 grosstons. The environmental report of the European Commission on the fishing grounds from 2017 shows that all Icelandic fishing ships can today connect with national electricity. The report says that an electrical system that the fishing fleet has access to is generally not good. However, there may be times when the connection cannot control the ship's energy demand, e.g. while in the country, raise. If a ship needs more power than they can get at the docks, a light engine must be run on board the ships. At that time, the organization determined how long it would take to pay off the cost of buying equipment on a ship to remove electricity from the country, and the result was that it would pay off in just six months. If power demand above 1 MW, the delivery of electricity is not possible, except by high-voltage connections, and the size of that group is some freighter and a passenger ship. Today, there are no high-voltage connections in Icelandic ports, but there is a link in the Landing Islands and the Western Islands due to a new electric vector. There's a Fax Gulf crew in cooperation with Icelandic New Energy and there's an assessment of the possibility of creating a high-voltage connection on a new port outside Kpplas. Based on information from the Fax Gulf, the cost of high-voltage equipment is estimated from 280 million. K. For transport ships, 560 million. K. ... fora passengership. In many lands, a contribution from public funds has been needed to finance high - tension connections. Three ports in Norway; Oslo, Kristansand and Bergen, have set up these equipment and have come up with strength from a so-called NOx fund, a spill of fuel sales to ships. Landsnet estimated in 2016 the demand for energy exchange for ports in a report entitled Possible energy exchange in Iceland for the largest national ports. A report by Landsnet shows that the energy of ships varies according to size. For example, the force needed by cruise ships 7,300 kW and transport ships is 4,000 kW, while fishing vessels and tugs have a force of approximately 31 kW. According to the Landsnet report, calculations show that energy exchange demand is about 17 MWs inside, including all ships, including cruise ships and freighters. Thus, emissions savings due to energy exchange were estimated in the same report by 33,100 tons of CO2 per year. In the coming year, to add in very short, Iceland is leading the North American Ministers and one of the three focus areas of the engineering has to do with the ocean. Under that category, energy exchange and innovation are at ports. So there is much to go. I'll get in on it better at the end.
ParlaMint-IS_2018-12-10-44.u79	Mr. President. I wanted to come up here and thank you. paritaprevir A Ari Trausti Guðmundsson for putting the matter on and before this discussion with the highest degree. Minister. My opinion is that we have to go much further and much faster. The situation is simply that way, and we see it in all the research reports and just so much that it needs to be done. Of course, it's positive that the case is being handled, but I think it is especially necessary to call attention to rejections in which most of the large cruise ships are coming, such as Akureyri and Iceland, as well as to mention Seyster fun, and that these harbors, as well as the natural Gulf oceans mentioned earlier, will be electricalized. Likewise, we need to look at other aspects of this context, such as. The burning of black oil in Icelandic law, as well as the allowing of open cleaning equipment. I think it is extremely important that this discussion be taken forward and that a certain step will be taken in order to change it.
ParlaMint-IS_2018-12-10-44.u80	Mr. President. I want to start by thanking the highest. Minister for her answers and words. paritaprevir Friðbjörg Flandish the Elíasdóttir of Elisabeth for her input. Of course, there are ways to celebrate the Action Programme and the steps being taken. We can debate how fast to take it, activate Power Fund, etc. At any rate, it can be said that this is an important matter. There's a reexamination of plans and a little faster in my opinion than we expect today. It is very important that there is enough power in the system, whether there are 17 MWs or 27 MWs. At any rate, it is necessary to have a different force needed in the programme and energy exchange. That matter needs to be handled carefully. It is also obvious that, at the end of the year, the cost will run for billions of dollars, and it will have to be expected in a financial programme not only for the next one but also for the next one in 2030. I think we're on the right track, but it's okay to go, and I'm pretty impressed. A minister to do everything within her power to do so. Again and again, I want to stress that some of the numbers we've heard, that the energy needs of one cruise ship is 20 MW - I won't accept it. If we had those numbers, we're talking about 50 or 100 MWs that I can't accept to be right. I'm going to take a closer look.
ParlaMint-IS_2018-12-10-44.u81	Mr. President. What I wanted to say before was that we have so far put the most emphasis on national energy exchange, and it's as good as it is now, despite the fact that we have to do better there and work faster. Energy exchange is an important category and an important factor in meeting the climatic obligations and our targets for energy exchange. At the same time, if you see the proportion of renewable energy used on board ships, it is close to being at an initial point when compared to the land's energy exchange. Of course, we're talking about a lot of cars but much fewer ships, so this is a completely different approach to the project, and it may not be possible to achieve much success with so many ships. The report I quoted earlier will be published tomorrow, with some good information and very helpful work, and then we will proceed and take the next steps. Like a snooze. A senator came in when he mentioned that the cost was considerable when that factor, i.e. The funding of performance and equipment, key to this project, but technology alone is not an obstacle here, but rather that of confiding strings, feeling funds. In this regard, it is considered important to get on with the possibility that there will be strength from public funds. It also makes it important to see what the benefits are of each operation so that they work together on what is being put into public funds and where we get the most results in this project. Of course, we must have ambition to do well in this, and this should really be part of our image, whether in the fishing field or in the traveling work.
ParlaMint-IS_2018-12-10-44.u82	Mr. President. Last November, national policy plans were presented with a pomp and pug. These are ambitious projects that deal with organization, vision, and the marketing of the areas. As noted on a travel agency's home page, the goal is for the local people to set their sights and destinations, to decide where to direct tourists, and to get tourists to stay longer at destinations so that their tourism can thrive. Protocols allow for overall looking at the destination rather than only looking at the market. Thus, the experience, the population, and the long - term survival of the destination are seen as well as the experience of tourists. As noted in the destination plan of the East, destination plans are tools that allow citizens to determine how tourism contributes to the community and what steps to take to achieve acceptable results. Of course, national planning programmes are the best, but as we know, there is not enough strategy, they need to be followed by induction, and they need to be made clear who has the responsibility of following them, and they need to be assured of the ability to follow through. The possibility of setting up so - called destination rooms, or in English - called Documentation Organism, has been discussed, which would then have the responsibility to carry out the destination plans. The market areas of the country are certainly a good guide, but it is clear that they do not have an absolute amount of activity for the project as well as the costs for upcoming their plans and reporting will be considerable. Clearly, it will also take even more effort to implement and implement selected tasks. It is important that the institutions of the country at the time of the construction of their destinations, and it is my opinion that here we truly stand before the opportunity to build and establish the market facilities. It is then important to link these tasks into national parish programmes, but in fact, it is currently unplugged unless there is a good willingness to cooperate. So I ask, what then? How will a minister follow up and implement the destination plans for the part of the country? Will the Ministry come up with projects and ensure that they will be fulfilled? And if not, who? How will the government follow the priorities of national destinations with other policies, such as the transport strategy? Unfortunately, the transport programme currently undertook by the Environment and Transport Committee does not show that the focus of the national destination programmes has been taken into consideration, although there is certainly an opportunity to do so in the discussion of the council.
ParlaMint-IS_2018-12-10-44.u83	Mr. President. Thank you. The senator of this inquiry. I agree with what. A senator in this regard is an incredibly important assignment. In fact, this is one of the most expensive projects that have been done for tourism in the administrations, and much of the money was put into it, and the key elements are that it is properly followed and found a good course for all of it because, for example, this is the case. Companies are key. Hv. A senator mentioned here to link the plans to parish plans and other programmes, policy plans, shared structure, local planning, national programme, etc. A travel agency has made contracts for three years at the National Marketing Office on State Values to follow local destination programmes and have a half and an absolute value depending on the size of the region. The initiatives are mainly to follow the progress of the policy priorities of the destination programme in the relevant part of the country, with access to the building, innovation and product development initiatives in accordance with local environmental management programmes. Then there is integration, cooperation and conversation with other local programmes, and this will include what I mentioned earlier; national, regional and shared, road, EEA, national parks and other things. If these plans stand alone and do not talk to all the others and do not take into account decisions on how to use money, whether it is government or rural, these are just plans and reports, but they will not be realized. So this is a key element. Each year in the progress of the proposed proposals is also part of the market room's activities, participation in national consultation areas on the progress of destination plans, and working to reevaluate the destination plans of the area in a team of cooperation on national levels that are being held by a travel agency. Similarly, a travel agency has made a contract with most market agencies on individual projects in its destination plans. A travel agency has already set aside more than 106 million. K. to these projects over the next three years, but this amount will increase by up to 18 million. K. For the current plans. This will also include the follow-up to the destination plans and the role of a travel agency manager. to provide education and information on the outworking of the destination plans. Of course, those who have been doing this work know and are informed about what has been done, but how important it is that there is education and information to everyone is involved so that it will all start talking to the future! This is also about having an active conversation with stakeholders on the progress of the project, regularly compiling information on national events, offering proposals for the improvement and continuation of the project, and maintaining a team for national programmes. Since the role of a travel agency is to push and follow up in government institutions and rural areas, the role that the projects listed in the destination programmes will be established and other plans will also take into account the destination programme, such as the national development programme. This will keep up with the travel-places provided for the destination of applications. It is really a new one, and it was not realistic to do so until they were ready. Now that they have come forward, it is only natural for a government-bound competitive fund to take into account these policy plans. Besides that, there's 30 million. K. from a policy based program for 20188/2024 has been scheduled for introduction and implementation of the destinations for 2018 and 2019. I have faith in this assignment, and I eagerly reflect on it. A senator on how the market agencies can develop. Of course, what's positive about them is that it's a sub-cultural work, and there's a lot of opportunities in them and there's a link to the population, rural governments, businesses in the region, etc. We will also need to look to how they should develop and how they can respond best to new and larger tasks. They differ greatly from one another, who, of course, is self - powerful. They also need to think about how the supporting systems around them develop when they begin taking on larger assignments, whether it is the government that makes a deal about them or any other. The base is over there. I think these policy plans will be the key to the development of each sector when it comes to tourism.
ParlaMint-IS_2018-12-10-44.u84	A respectable president. This is where we're going to discuss how we're going to use the national destinations and I want to thank you very much. paritaprevir Friðbjörg Frieda, the daughter of Elíasdóttir, for bringing up that important assignment. I think we need to talk a lot more about these plans, and they need a lot more general presentation. We have discussed what they are important, but we may find it difficult to get the discussion in human affairs so that we can all understand what we are going to do with our plans. As far as I'm concerned, we've got a set tool here to coordinate and capture the entire part of the country together to work in the same direction, but the key is that the markets and those who are expected to lead the work have the funds to do so.
ParlaMint-IS_2018-12-10-44.u85	Mr. President. First thing I want to do is thank you. paritaprevir Friðbjörg Flandish the daughter of Elíasdóttir for bringing up the matter. Travelers and tourists have, in effect, become a very important subject in Icelandic society, and it is extremely important that they do well. I'd like to say that these policy plans, and then stress assessment of society's capacity and nature, to receive all the tourists, are extremely important. This needs to work together, and we need to consider that we can use the land, that tourists can enjoy it. We need to be able to control this pressure, and to do so, there are tools and tools that we should examine with an open mind. [[The president calls.]]
ParlaMint-IS_2018-12-10-44.u86	Mr. President. I want to start by thanking the highest. Minister for clear answers as well. Parliamentaries who participated in the discussion. I'd like to start by catching it as a dog. paritaprevir Anna Sævarsdóttir called in for the presentation. I think the presentation is quite important, not only in the parts of the country, but also in the tourism services as well as, basically, the state institutions and the national public conferences. The other thing I wanted to come in, maybe the only thing I could ever do. The secretary's response was not completely clear about the state of the marketing room and its development. It's like the highest. A minister noted in his reply that they had no legal position, yet they actually began as a sort of botanical organization and then, in fact, have most if not all of them were taken to some extent by the rural communities. Yet, their work is of utmost importance. I think it's very important to give them some kind of legal position, and that's why I'm asking a minister again and I'd like to know if she thinks it's a possible way to look at them and their interests in connection with these destination rooms or some sort of implementation.
ParlaMint-IS_2018-12-10-44.u87	Mr. President. To answer that question first. I agree with the delegates who made the presentation. That's the next step. These plans were specifically discussed at the last meeting of tourism Directors for the next steps in presenting to the public, rural areas, all stakeholders, etc. because if it is not done, it will be difficult to move on. Then I want to say the word. A senator of the marketing offices and their work, of utmost importance. I think it's on the ground so we can't stay without the market room, and they probably have no support, and I think people in general are aware of the importance of each one of them. The way the market agencies develop and possibly change, receive a possible legal role, is a major project that would call for a large conversation, both with the marketing institutions and other institutions in this system, because of that in our system. That they are themselves, and are different, and their ways are different. Then there would have to be some solidarity as to which to play and where to play, including the switch, costs, such as the cost. State and rural society, local companies. It varies from market to to how much of the local company pays for them, etc. For this new role, I'm very open to see how we can combine it because I don't want to see but another thing around the market and side by side with everything else to play a role in this, which will have to be financed and always some stock expenses, etc. [[The president calls.]] It's obvious that there are interests that go together.
