ParlaMint-BE_2020-09-22-55-commissie-ic263x.u1	Debates of the European Parliament 55008004C by Mrs Thémont was postponed.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u48	Mr Prévot, first of all, I would like to thank you for raising your question by making it clear, in plain words, that you are speaking here as a Member of Parliament and not as a representative of your commune, although you are exercising local responsibilities. Be aware that I, too, wanted to wait for this exchange before responding on Facebook to your fellow citizens who are obviously calling me. Indeed, when Elia – who, although an independent society, enters my field of competence – triggered the process and published this information, I disseminated it, after which I received quite legitimate returns from our Hainaut compatriots. To answer your first question, I can tell you that the detailed assessment of the interest or, more precisely, of the need for the "Hainaut Circle" project already dates back several years in the framework of the Federal Plan for the Development of the Electricity Transmission System for the period 2020-2030. This plan is updated every four years and covers a period of 10 years. It contains a detailed estimate of the transport capacity needs and commits the system operator Elia to the obligation to translate these needs into an investment programme to be carried out, including the "Hainaut Circle". The preparation of this plan is also subject to an in-depth public consultation, which gathers the views of many stakeholders, including federated entities and regulators in each Region, both in terms of needs and assumptions and scenarios developed for this purpose. The Federal Development Plan was approved on 26 April 2019 and recognizes the project of the new link of Loop du Hainaut as an important and indispensable 380kV corridor. I quote a sentence from Elias: "This new link is essential to avoid internal congestion. These can happen when large quantities of electricity will be imported simultaneously from France after the strengthening of the Avelin-Avelgem axis and from Great Britain by the Memolink interconnection of 1 GW in combination with high offshore wind production which will be in installed capacity of 2.3 GW by 2020 and which, I would remind you, will reach 4 GW by 2030." These situations will occur more frequently after the release of nuclear power in 2025 and as the share of renewable energy increases in the energy mix of France and Great Britain for the sake of the simple reason that until large-scale industrial storage has been found and developed, the quantities of electricity generated by renewable energy must be used at the time they are produced. Since they can be produced with important cuts and since they are the first to be injected into the network given the power that will be installed in our North Sea, the interest is also marked for the transport of this renewable energy to all Belgian consumers (since the North Sea is federal) at a time when the wind blows heavily and continuously, since it is at that time that we use electricity as a priority. The Loop du Hainaut is a missing link in the Belgian and European network. This project involves connecting the Avelgem stations in Flanders to Courcelles in Wallonia with a new AC power connection with a voltage level equal to 380kV and a transport capacity equal to 6GW. When you analyze what I have just transmitted to you about the import through the French, English (1 GW) interconnections and the production of wind turbines in 2020 (2,3 GW and 4 GW in 2030), you will understand the technical and physical requirements that this line must be provided to support such a power. This project is based on four main objectives: to ensure access to competitive electricity for companies in industrial zonings and affordable for households and for all citizens of Hainaut and Belgium; to increase the capacity for all renewable energies - I have already explained this - on the sea and also on land. There are also land-based wind turbines and photovoltaic panels that increase capacity in our territory and whose electricity, at the time it is produced, needs to be consumed in the absence of large-scale storage. All this is done both in Belgium and abroad, through interconnections; to support the economic development of Wallonia and more specifically of Hainaut where the current 150 kV network reaches saturation. It is above all a demand from our companies in industrial zonings that are completely saturated. They require more interesting and wider access to electrical energy; guarantee the reliability of the electricity supply for consumers, i.e. the more power you have, the less you fear a supply disruption that can be catastrophic first and foremost for consumers but also for the network, with all the collateral economic damage you can imagine. In response to the second question, the various options for both the route and the choice of technology, e.g. air or underground, were considered with a view to the introduction of a dossier requesting the revision of the sector plan. These options have been the subject of numerous studies at the initiative of Elia and of opinions and external contributions such as those I mentioned above. In order to carry out this infrastructure project, the system operator must proceed in three stages: it is necessary for him to submit an application for a revision of the sector plan in order to include a reservation area or corridor which allows for a main electricity transmission infrastructure. This stage began in early September with the filing of the application in the municipalities concerned; an urban planning permit is necessary and absolutely essential in order to define the exact location of the infrastructure within this corridor, which is much wider than the infrastructure itself. The exact location will narrow the right-of-way on the ground. Finally, construction and commissioning can take place in several years. This whole project is estimated to be about ten years old. The project presented by Elia, on 4 September 2020, for its part in Wallonia covers a corridor of 200 m wide and crosses 14 communes over 84.8 km. This is the first public phase of the project after more than two years of work. In defining the corridor, many criteria were taken into account by Elia, such as the upgrading of existing sector plans, the consolidation of infrastructure, exclusion criteria such as SEVESO sites or airports, the human environment criterion in order to avoid habitat areas as well as environmental and heritage criteria. Alternatives have been studied in depth by the Network Manager and some of them will be presented during the official dissemination of the project instead of a pre-briefing which will take place shortly, on 24 and 25 September 2020. The objective of this first public stage is to present the project and to collect all comments, suggestions, denials, multiple and various requests concerning the proposed revision, but also to be able to identify specific points and to present alternatives that may reasonably be considered by Elia, so that they are taken into account in the preparation of the environmental impact report. During this phase, other alternatives may therefore be proposed by the population and local authorities. These will obviously be studied by Elia. Let me turn to your third question. The Plenary CONCERE of 14 January 2019, that is, the platform that brings together all the energy administrations of this country, both the federal and the Regions, has agreed to the request of Elia for the establishment of a follow-up working group "inter-federal coordination" for the MOG II and Ventilus projects, as regards the part of this high-voltage line route on the Dutch-speaking side, and Boucle du Hainaut which is the other part that I spoke to you about for the Hainaut. This agreement has been given in view of the links between these projects (MOG II, Ventilus and Boucle du Hainaut) and with the aim of ensuring that the three projects mentioned above are implemented within the deadlines set for the implementation of the development plan 2020-2030. Mr Prévot, I am opening a parenthesis because it is important to communicate all the elements. Of course, from the start, I made personal contacts with representatives of the communes affected by the Hainaut Loop in Hainaut. I have also offered myself as an interface with Elias, but I have not yet received any specific requests to establish contacts with the Dutch-speaking municipalities also affected by the project, which on their territory bears the name of Ventilus. I have therefore already received a great deal of information, which I have transmitted to Elia, systematically establishing the link with these communes. As a result, my colleague Jean-Luc Cucke - who was still Minister of Walloon Energy at the time - also began to establish contacts with the mayors affected by this project. We worked together to play the role of facilitator and interface for the exchange of information. I now turn to the working group set up within CONCERE. It should be noted that this group is part of the Committee for Consultation and Facilitation on Licensing (CCFA), which provides the organization and secretariat and reports to CONCERE. This group brings together both the cabinets - including my own - and the Energy and Land Management Administrations at the federal and regional levels. This working group makes it possible, among other things, to establish a link between the competences in the field of energy and spatial planning (regional matter) in view of the interests to ensure good coordination between projects relating to onshore and offshore wind development, market convergence and security of supply, interests which must be respected throughout this process in the framework of the project. The objective of the group is to ensure a smooth running of the authorisation routes for the MOG II, Ventilus and Boucle du Hainaut projects. It is therefore a monitoring, exchange and monitoring group, which combines federated entities with the federal government. At the moment, this group plays an essentially informative role for each federated entity as well as for Elia, in order to allow us to know the state of the art of the processes under way, but all this will evolve. It allows for regular consultation between federal and regional authorities on the progress and modalities of the three projects, in a first phase, at the planning level. It ensures close monitoring of progress and procedures. I repeat the same thing several times, and you will excuse me, but I want it to be very clear. This group monitors the development of renewable energy in the North Sea (MOG II project) and the reception capacity for the integration of this energy into the onshore network (Ventilus project). Secondly, it follows up between the Flemish and Walloon regions on a new axis crossing the linguistic border between Avelgem and Courcelles (the Boucle du Hainaut project). The group can also play a role in the exchange of good practice, in the resolution of possible problems at the levels involved, and in the coordination and alignment of processes for trans-regional infrastructure through the networking of experts from the various federated entities. So it's very good that you asked the minister in charge of energy at the federal level. The procedure for revising the sector plan, however, falls within the competence of Walloon Minister Borsus, who is responsible for spatial planning, as you know. Of course, I invite you to contact him. In your last question, you refer to a meeting on July 4, 2019. In the meantime, Professor Ernst has not yet been given an official mandate and has therefore not delivered any conclusions. But of course I meet Professor Ernst very regularly. Whatever the level, I can ask him the question. However, with regard to exchanges during the same period, the municipalities concerned had also asked for joint information on the project. This took place, because since May 2019, and on several occasions, Elia has met with the municipalities concerned apart and all together, during the year since January 2019. The aim of the approach was to collect comments from local entities in order to integrate them, where possible from a technical point of view, and in view of the objectives I have listed. These are intrinsically linked to the project in Elia's proposal. I am at your disposal for additional items and thank you for your attention.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u49	Madam Minister, thank you. I am delighted that you have waited for my question to speak publicly on the subject. Indeed, it is a subject that brings a lot of ink, and not just on social networks, because if we do politics for the common interest, and we can understand and hear the utility of energy supply to the population of this Loop du Hainaut, when we make politics more simply local – I know that you are also a municipalist – we must also guarantee the well-being of the population and wonder about the common good. The common good is also to make sure that these people do not see any real scars, sweeps that would cross our countryside. For the moment, the route that has been proposed to us – then, of course, we will wait for the information sessions of 24 and 25 September – seems to us completely hallucinating at the level of the campaigns crossed, given the environmental impact on our cultures, but also at the level of tourism. We are really on our hunger for the discussion, which is not broken since it is non-existent, with Elia. We feel like we've reached a stage where they want to impose the project. I can tell you, and I'm taking off my MP's hat for a moment: at the local level, it won't pass! I was talking about Soignies. The mayor of Soignies appealed to all his colleagues to be supportive in order to avoid this forceful passage of this electric highway through the Hainaut. There will be a lifting of shields from local actors, but also from citizens who are mobilizing. Since you have regular contacts with Elia, I ask you, I ask you to make them understand that on the ground, we need permanent contact, transparent discussions and above all to be heard, because for the moment, unfortunately, we have the impression that this has not been the case. Thank you very much, in any case, for what you can relay to Elias.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u50	Mr President, if I may, I would like to respond immediately to this request, which I find very legitimate. I am very sensitive to the landscape and the heritage and very attentive from the beginning, you understand, that the route is as optimal as possible. You recalled, I have also been a municipalist for 26 years now. I therefore know what is happening to the protection of the population, to the understanding, to the pedagogy that must be shown and to the anticipation that we, as municipal leaders, must show in relation to all these projects, whether they are small or large. Don't worry, I keep in constant contact with the representative of Elia who manages the communication in this project, to explain to him the many requests that come to me - and you -. That's why never hesitate to contact me, so that you can work in depth on the ground. I've been listening for months and I want to stay that way.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u51	Minister, we're counting on you.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u52	You can!
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u53	Madam Minister, it is almost time again, by 15 October you will have to fix the minimum amount of the repartition fee by royal decree. Last year we debated this in plenary and also in committee. I said at the time that this year would be very interesting. Indeed, the CREG has been given the difficult task of setting a new minimum amount, which, unlike in previous years, is no longer laid down in the Law of 25 December 2016. It remains very difficult as a Member of Parliament to get a look at the situation. Please remember that at that time the Legal Affairs Department was asked for an opinion on how Members of Parliament could learn about the way in which, and on the basis of what data, the CREG would carry out the audit from this year on. You said that under Rule 67 of the Rules of Procedure there would be a confidentiality clause. In any event, on 25 June the CREG did not take an opinion but decided on the fixing of fixed and variable costs in the calculation of the profit margin of the power stations subject to the repartition contribution. The annual fixed and variable costs are determined by the CREG three times a year under the law for the 2020-2026 contribution years. I come to the subject of my question. You said in the press that you were surprised by the CREG proposal, because it is "only" about a lower limit of EUR 72 million, more than half less than the minimum set for the period 2016-2019. Can you explain to us your surprise about the CREG's decision on this contribution?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u54	Mr President, Madam Minister, on Friday 11 September, La Libre Belgique announced that the nuclear tax on second generation reactors (Tihange 2, Tihange 3, Doel 3, Doel 4) would only bring back 72 million in 2020, compared to 137 million in 2019, a decrease of almost 50% in one year. The bulk of this levy is borne by Electrabel, the balance being due by Luminus, which holds a 10% stake. A 20 million package for Doel 1 and Doel 2 is added. In 2021 and 2022, the financial contribution is likely to be even lower for the State since the financial floor below which this tax cannot be lowered, as determined by CREG and for three years, would have been set by CREG at 216 million for the period 2020-2022, whereas it was 450 million for the years 2017-2019. Established in 2008, it was intended to compensate for the profits that the operators made as a result of the rapid depreciation of these plants. At the time, the nuclear rent tax was set at 250 million. In 2012, it even peaked at 549 million. Since the overall trend has been declining steadily. Minister, do you confirm the information in the press? How do you explain this constant reduction? What is the method used by CREG in establishing the minimum amount? Shouldn't this mechanism be changed?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u55	Madam Secretary, we could read in the press that the CREG is proposing to halve the nuclear tax. That is bad news for public finances and good news for Electrabel and Luminus. While the nuclear tax amounted to EUR 137 million in 2019, it is now almost halved in the CREG proposal. The tax will amount to EUR 72 million by 2020. In 2011, the nuclear tax amounted to EUR 600 million. The nuclear tax depends, among other things, on the costs of operators. Can it be said that the nuclear tax also depends on the amounts that operators should legally set aside for decommissioning? Before you changed the method of determining the nuclear tax, that nuclear tax was a lump sum. Do you recognise that your revision of the method of calculating the nuclear tax has enabled Electrabel to pay less than the lump sums of previous years? Can you explain why the nuclear tax is constantly falling?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u56	Mr President, my answer has been drawn up in French. I am better at translating Dutch into French than vice versa, so I will answer in French. I apologise to Mr Ravyts and Mrs Daems for that. Ladies and gentlemen, the procedure for determining the allocation contribution of Doel 3, Doel 4, Tihange 2 and Tihange 3, which are the unextended power plants in this country, for the time being, is regulated in detail by the Act of 11 April 2003 on provisions for the dismantling of nuclear power plants and for the management of irradiated fissile material in these plants. It has been voted in this House and I am applying it. The Act of 11 April 2003 entrusts a series of tasks to CREG, the national regulator, which has all the necessary expertise, means and powers to carry out its mission and the necessary independence and impartiality vis-à-vis both operators and the government. The fixed and variable costs of the operator shall be determined in accordance with the provisions of the law and the methodology laid down in the law for the determination of such costs. Reference is also made to this law, in CREG Decision 1964 of 30 January 2020 and in Decision 2066 of the same CREG amending Decision 1964 following a complaint under review by Electrabel. These two decisions contain the methodology for setting fixed and variable costs for plants subject to the distribution contribution I mentioned above, for the period 2020 to 2026, since the law also provides for this. To sum up and be simple, the CREG applies the law that we voted for, and I, too, have applied this law. The minimum amount is calculated by the CREG in the manner set out in the Schedule to the Act. The law provides that "the amount of the apportionment contribution over each three-year period may not be less than the sum of the minimum amounts of the apportionment contributions for each year of that three-year period". In fact, the CREG must carry out the same exercise that I carried out with my cabinet at the beginning of the legislature – some of you did not have that period – which consisted of setting a minimum floor below which the allocation contribution cannot go down. In this regard, I can only advise you carefully to read these technical documents that are publicly available on the CREG website or to ask directly, what you are able and able to do, your questions to the CREG. In this context, CREG has communicated to me its decision on the fixing of fixed and variable costs, referred to in Section V of the Schedule of the Act to be applied for the years 2020 to 2022. It shows that the nominal values of fixed costs have increased by around 16 %. Electrabel submitted a case in which the company argued that its fixed operating costs for its plants had increased by 16% and that its variable costs for these plants had increased by 28% compared to the amount set out in the law for the previous period for which I had fixed a minimum amount, in consultation with Electrabel, at the beginning of the legislature. As the law also provides, the CREG has communicated to my administration its opinion on Electrabel's profit margin in 2020. Finally, it also sent me its opinion on the calculation of the annual minimum amount referred to for the period 2020-2022. It appears that the minimum annual amount, before applying any principle of degression – i.e. a grade in the distribution of costs between Luminus and Electrabel – calculated by CREG, has decreased by about 50% compared to the amount I negotiated with Electrabel at the beginning of the legislature. And that's what surprised me – to answer you, Mr.Ravyts. On this basis, the Energy DG of the SPF Economy then undertook the final operations requested by law and proposed the amount of the allocation contribution for this year as well as the amounts of individual contributions – also for this year – as well as the application of the principle of degression, which distinguishes between what Electrabel and Luminus must pay, respectively. It is up to me, as you say, to table these results in the form of a draft royal decree for October 15, which is in preparation. You're asking me why the allocation contribution would still be declining. I'll answer you with four elements. First of all, as Mr Ravyts rightly points out, the allocation contribution is linked to the minimum but also to the profitability margin which depends largely on the fixed and variable costs which are assessed by the CREG at a higher level this time but which also depends heavily on the electricity prices in the wholesale markets, which are rather low at the moment. We must rejoice, no matter how much they go back. There is a gain on one side but, unfortunately, there is a lesser gain on the other. It also takes into account the volumes of electricity from nuclear power plants which, as you know, have been shut down at certain times. Indeed, the number of nuclear power plants subject to the allocation contribution has decreased and now covers only four plants. At first, the allocation contribution, including M. Ben Achour spoke about the entire nuclear park, i.e. also Tihange 1 and Doel 1 and Doel 2. Since the beginning of this legislature, it has been limited to four power plants, Doel 3, Doel 4, Tihange 2 and Tihange 3. The Doel 1 and Doel 2 extended power plants are, as you know, in another regime, the royalty system. It should be noted that with the final shutdown of Doel 3 and Tihange 2 in 2022 and 2023, the amount will continue to decline and these two plants have been shut down to examine the condition of the reactors for two years. In addition, as has been the case in the parliamentary proceedings which I invite you to consult, but also in the course of various legal proceedings, since the nuclear rent has already been largely withdrawn in the past, the over-profit generated by Electrabel and which can still be withdrawn is much weaker than before. I myself saw this in the negotiations I made with Electrabel at the beginning of the legislature. It is clear that we have been extremely hard in this negotiation and that we have demanded a minimum which, obviously, is higher than the minimum today arbitrated by the CREG. It is therefore necessary to be in this calculation and this increasingly precise work in order to continue to draw an overprofit from a nuclear rent which is undergoing a structural decrease, hardly being confiscatory. Here I draw your attention to a fundamental element, which had precisely justified Electrabel's legal action: if you tax too much, you are confiscatory, you abuse your rights and you are liable to refund tax with late interest and other interest to the taxpayer. The tax must always be fair, objective and non-discriminatory. Therefore, there is always a need to comply with the main rules in this area, which explains why a precise calculation is required. I now come to Doel 1, Doel 2 and Tihange 1. Yes, Mr. Ben Achour correctly mentioned Doel 1 and Doel 2, which receive a flat-rate fee of €20 million per year (an amount of €100 million so far and €200 million by 2025, which contributes significantly to the development of the energy transition through the energy transition fund which contains it and which makes it possible to use the energy funds of the past for the energy of the future), but it must be remembered that the fee mechanism of the Tihange 1 plant – extended under the Di Rupo government – does not yield anything. This mechanism has raised EUR 9.9 million in the first financial year but since then, since the formula has been badly negotiated and is not fixed, it allows Electrabel to carry forward operating expenses on profit and to make the formula negative. You will admit that this situation is extremely problematic, because the purpose of this fee was to support wind energy in the North Sea as well as investments in gas and storage, if my memory is good. With regard to your question – relevant – as to the effect of the costs relating to the decommissioning provisions on the allocation contribution, the law (which was passed by your Parliament under the previous legislature) is also very clear and contains three fundamental elements that I will quote. First, the profit margin for nuclear power plants calculated in accordance with the formula described in Section 2 of the Schedule to this Act does not directly or indirectly include any costs associated with nuclear supplies and their revision, including provisions for the dismantling and management of irradiated fissile material, with the exception of the initial provisioning of the fuel in variable costs for the fuel consumed during the period – which is normal. The second element is that there are neither direct nor indirect costs associated with nuclear provisions and their revision, including provisions for the dismantling and management of irradiated fissile material, with the exception of the initial provisioning of the fuel, this time in variable costs for the fuel consumed during the period. Thirdly, these costs do not directly or indirectly entail any costs associated with nuclear supplies and their revision, including provisions for the dismantling and management of irradiated fissile material, with the exception of the initial provisioning of the fuel in variable costs for the fuel consumed during the period. You can see that this is repeated rigorously three times, and that it makes a good distinction between what should be part of the calculation and what should not be part of it. Finally, I should like to quote the opinion 52.250 of 13 October 2017 of the Council of State on this subject: "The rules of calculation which are the subject of Article 14, § 8 of the Law of 11 April 2003 no longer leave any margin of appreciation to the executive power." These precise and complex calculations and assessments have been assigned by law to CREG, the independent regulator, and to DG Energy, and I am executing the situation as far as I am concerned. You now understand that this procedure for determining the allocation contribution of Doel 3, Doel 4, Tihange 2 and Tihange 3 is objective, traceable and transparent, and that we continue to honour our commitments in this matter. I confirm that the amount of the allocation contribution for the year 2020, which will appear in the draft royal decree, will amount to 72 million euros after application of the degression mechanism provided for by the law. Thank you for your attention. I will ask my office to translate into Dutch the answer I have just given into French for Mr Ravyts and Mrs Daems.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u57	Madam Minister, thank you for your reply and for the willingness to have it translated by your cabinet. I will read it carefully, because the calculation mechanism is very complex. I am pleased that you have already made a number of nuances about what is and is not included in the variable and non-variable costs. The CREG implements the law, and certainly the law of 25 December 2016. I fully support that. Some Members do not seem to want to understand this, even because they had already questioned this law in the previous legislature from their ideological points of view.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u58	Madam Minister, thank you for this very dense response. I'll have to take the time to read it again. Indeed, the mechanism is complex. I remember that at the time, some had considered that the tipping point of this dossier had taken place in 2015 during the negotiations on the extension of Doel 1 and Doel 2. You remember that at the time Damien Ernst, for example, had found that the fact that Doel 1 and Doel 2 had been extended to nuclear tax negotiations had been a mistake, which had weakened the government's position. I'm going to go back to what he said at the time, but without any judgment, because once again, I want to take the time to reread the answer you gave us. But he said that the minister, in this case yourself, had made a mistake in linking the extension of Doel 1 and Doel 2 to the nuclear tax negotiation, that you were part of the principle that Electrabel absolutely wanted to prolong Doel 1 and Doel 2, and that it was ignoring the reality of the electricity market. If the wholesale price continues to fall, Electrabel may not recover the EUR 700 million of investment needed to extend the two reactors. And from there, according to him, slipping, in any case one of the causes of the decline. Once again, I will take the time to reread the long answer you have given, and then I will come back to this committee, perhaps with you, Madam, perhaps with someone else, to continue examining this important issue. Thank you.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u59	Mr President, may I briefly respond to Mr. Ben Achour?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u60	Yes, Madam Minister.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u61	Mr President, thank you. Mr Ben Achour, in fact, the phrase you quote from Professor Ernst simply means that perhaps it was not these plants that needed to be extended. He had a much broader view of the extension of nuclear power in this country, you know very well. He later confirmed it more and more. Basically, he meant that the investment that will have to be made on these plants is quite a heavy investment because it is the first power plants in our country, which may be simpler, if not more rudimentary. It's a term that may be a little supported, but that's the meaning. So he did talk about the distribution contribution, but then he went into something he doesn't know, which happens to him. I say it very friendlyly because I know him very well, and I have had the opportunity to tell him sometimes. But in fact, in this country, you cannot touch on the issue of nuclear power without touching on all the issues related to the park. In essence, his criticism focused solely and simply on the choice of extended power plants. The distribution contribution in itself is structurally low - as you will discover by analysing my response in depth. For the simple reason that electricity prices rise or fall, they cannot be expected for such a long time. Above all, the costs are increasing, because - and we cannot say one thing or the other, let us be honest - the security requirements are increasing and require more and more investment. This is the basis for the structural difference in the ability to capture the overprofit generated by Electrabel. I would remind you that it was simpler at the beginning, because the Belgian state had fallen asleep a little bit and had accepted that Electrabel should amortize nuclear power plants since their creation - which dates back to the seventies and eighty - in twenty years. This depreciation was so rapid that after more than twenty years, around 2003-2006, questions began to be asked about the surplus profit which - due to the rapid closure of the depreciation - would flow 100% into Electrabel's caisses. In short, this profit was not sufficiently captured by corporate tax or other charges. Hence the idea of the distribution contribution. Since then, things have changed considerably: safety and security standards have increased sharply, power plants have been shut down for a thorough examination - Doel 3 and Tihange 2 -, for in-depth interviews for the other power plants or, for the LTO, for the extension of Tihange 1 under Di Rupo and Doel 1 and Doel 2 under Charles Michel. That is all that needs to be considered. Extracting Damien Ernst's sentence from its context - which was itself a factual error, since it had linked the tax aspects and the extension - cannot be sufficient to produce such a report.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u62	Madam Minister, I do not dispute your comments. You will have noted my caution by quoting Damien Ernst. I am also when I read. I know how to share things among his expressions. The point is this: there is a structural decline today and for which we have to question ourselves in this context of energy policy, which is at a crossroads. There are many uncertainties when we thought we had crossed a course in July with the vote on the CRM resolution and you saw the Commission's communication recently. It seems to me that the next minister of energy will have a lot of work and this commission too. It will call for all our vigilance. You may be with us, however, I do not wish you. I wish you every success in your current position. Collectively, we will have a lot of work to do.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u63	Madam Secretary, I will analyse your answer in detail. On the one hand, the social rate is rising, on the other hand, ENGIE Electrabel makes a lot of profit. That doesn't make any sense. All nuclear power plants have been written off since 2005, because we have paid too much for electricity. It is not normal that the tax is so low compared to those profits made. The reduction in the nuclear tax you want to apply now allows ENGIE Electrabel to make even more profit, while people are having more and more difficulty paying their bill. I deeply regret that.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u64	Mr President, since I arrived a little late this morning, I can devote you a little more time and stay until 1.30 p.m., if you wish.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u65	Madam Minister, all the parties in this committee will be in full agreement on the need to invest in renewable energy. However, we have had debates in the past on extending the lifespan of a number of nuclear power plants. Whether or not they should remain open is currently the subject of negotiations for the creation of a possible Vivaldi government. We have been able to learn about a study by EnergyVille, a research collaboration between KU Leuven, VITO, imec and Hasselt University. It calculated the budgetary impact of some possible scenarios around a nuclear exit with a full exit in 2025, a lifetime extension of the two youngest nuclear power plants by 10 years or a lifetime extension of 20 years. The results of the calculations were not really surprising because they largely matched the arguments of Flemish Interest in this committee. Keeping two nuclear power plants open for longer would result in annual savings of up to EUR 134 million. At the same time, 25 megatons of CO2 emissions would be reduced compared to gas plants. Contrary to what is often claimed, it was also concluded that a lifetime extension does not prevent investment in renewable energy. Madam Secretary, how do you interpret the results of EnergyVille? Has this affected your opinion on a possible extension of the life of the nuclear power plants? Were these results discussed within the current government? Are you prepared to open the door to postponing the nuclear exit by 2025 and to send it to the negotiators to take it to the negotiating table? The latter of course only applies if your party chairman, who is known as a flying atom, is taken seriously.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u66	Mr President, I note that a great deal of time is devoted to the questions and answers. Which means I don't have time to ask my question anymore. I will read the answer later in the report.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u67	Mr President, Mrs Daems and Mr Van Lommel, like you, I have taken note of this energy study. I recall from this study that a significant closure of verifiable capacity is expected in the period 2020-2030, both in Belgium and abroad; that a very strong increase in renewable capacity will take place, both in Belgium and abroad; that a nuclear extension will reduce the need for investment in gas plants and have a negligible impact on energy; that Belgium will import a large amount of electricity demand when nuclear power plants are completely closed; that an extension of two nuclear power plants will reduce these imports; that an extension of nuclear capacity will reduce the CO2 limit of the electricity sector; that a nuclear extension will reduce the annual costs of the electricity system, with an impact on wholesale prices and, finally, that a high ambition of renewable energy requires a strong electrification of demand in most sectors. I maintain that such studies, prepared by experts, show an evolutionary nature of the results of models and analyses, which is normal and characteristic of a scientific and rational approach. Such investigations should be peer-reviewed, interviewed, analysed, etc. I also note that it is always difficult to compare the results of different studies, such as EnergyVille or Elia, whose methodologies and model assumptions differ. The two studies nevertheless confirm the need for new controllable capacity from 2025. Such studies can in any case be used to stimulate debate and analysis of decision-takers and may be useful for a subsequent government. Unfortunately, I cannot answer your specific technical or economic questions because I am not the author of the study. I can only hope that another government will continue the work and actions aimed at achieving security of supply with low-carbon energy sources and at an affordable price. That's all that matters. Although it is not for me to interfere with the work of the committee, I can only encourage you to organise a hearing with EnergyVille and the other necessary stakeholders. Thank you for your attention.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u68	Mr President, Minister, thank you for your reply. You state that you are not an author of the study yourself and that you cannot therefore make a number of statements. I fully understand that for the sake of clarity. However, Madam Minister, in my question I naturally referred to the interpretation of the results. I understand, however, that you are referring to the next government and that you do not really want to confess colour in that area today. Madam Minister, I am pleased that you say that we are talking about scientific and rational approaches here. I also hope that the other Members have heard this very well, and that these approaches are necessary to have an open and constructive debate when we talk about a possible core step. In the past a debate on this matter in committee was quite dogmatic and not really manageable. Madam Minister, for the rest, you note that there is an increase in renewable capacity. That's right. We acknowledge that, too. However, it will certainly not be enough. However, energy needs will continue to rise. Madam Secretary, let me give you an example. If we want to live up to the ambitions of hydrogen, among other things, our energy needs will only increase in the future and we will have to extend the lifespan of the two youngest nuclear power plants.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u69	Mrs Daems has since left the Chamber. She had another meeting, so she wouldn't reply anymore.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u70	Madam Minister, I already put an oral question to you in December on ITER with a comprehensive answer from you. At the end of July 2020 it was the official start in France of the assembly of the so-called tokamak of the ITER fusion power plant. By 2025, the first fusion reactions could take place in ITER. I have now read that researchers from the Royal Military School have been given the green light for an ambitious research project under the Energy Transition Fund, set up by the Belgian Government. Researchers will build a new type of heating system for a European nuclear fusion reactor, an important step towards a carbon-free energy sector. The research focuses on the heating of hydrogen plasmas by means of radio waves. On my oral question of 3 December 2019 on nuclear fusion and the role of the federal government, you said that the Royal Military School and the Nuclear Energy Study Centre are members of the Trilateral Euregio Cluster (TEC), which coordinates research into the nuclear fusion between the Netherlands, Belgium and North Rhine-Westphalia. The new heating method of the KMS will now be applied for the first time to the European stellarator W7-X, in addition to ITER, the main European experiment that is part of the European Roadmap for Fusion Electricity. Can you explain more about the KMS project and its federal funding in the light of the Energy Transition Fund? How much is the funding? Can you explain the role of the KMS and the SCK in the research and construction of components for the global ITER project? What role do Belgian members play globally in the Trilateral Euregio Cluster? Will a legislative framework on nuclear fusion be developed?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u71	Mr Ravyts, I have a whole sandwich in answer, but in French. Do you want the answer translated? Otherwise, I will be able to answer you in French.
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u72	I suggest that you give me the translation, Madam Minister, by written means, also out of respect for Mr Friart, who had asked a similar question. Can you translate the answer into Dutch?
ParlaMint-BE_2020-09-22-55-commissie-ic263x.u73	Sure, you're welcome.
