ParlaMint-BE_2020-05-15-55-commissie-ic178x.u1	Question No 55002656C by Mrs Vanessa Matz is postponed.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u91	Madam President, Mrs Thémont, Mr Bihet, we can indeed expect telework to play a greater role in our future organization of work. Telework has long been regulated by collective agreement 85. There is also a regulatory framework for occasional telework. The telecommuting regulations therefore already provide a relatively comprehensive framework for employers and workers who wish to do so. It should be stressed that the organisation of telework remains a matter which is settled by mutual agreement between the employer and the worker. The National Security Council decided, in a first phase, to make teleworking compulsory in non-essential enterprises and to give priority to teleworking, where possible, in other sectors. Since 4 May, telework at home is no longer compulsory in non-essential enterprises, but is still recommended (cf. Ministerial Decision of 23 March 2020). Since employers and employees had to quickly introduce this telework because of the exceptional crisis, it was a sui generis situation in which the parties were free to determine the conditions to be met. However, if this telework were to continue in the future, the parties should apply the existing legal framework on structural telework. This framework does not provide for a specific number of telework days per week. The frequency of telework must therefore be agreed between the employer and the worker. On the other hand, the current framework provides, in particular, guarantees for the worker with regard to working conditions, the provision of equipment and compensation for expenses. The employer must also inform teleworkers about the company's health and safety policy at work. Internal preventive services can control the teleworker's place of work, with the consent of the teleworker in the case of his or her home. As far as the future is concerned, I believe that we, together with the social partners, need to reflect on how we can reform the organisation of work in order to be able to respond to the new challenges posed by this crisis. A wider application of telework will be part of this. In this context, it will be necessary to assess whether the adaptation of the legal framework for teleworking is necessary. With regard to questions relating to social security and the tax aspects of telework, I would like to refer you to my colleagues in charge of this matter.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u92	Thank you, Madam Minister. Today there are about 5 million people working in Belgium, which makes 1.6 million people who, from home, allow companies to survive during this unprecedented period. Many employers and employees have discovered during this crisis that telework can be effective and should be maintained. Some ask for two days a week, as I said earlier. According to FEB, while 35% of companies did not use telework before the crisis, only 6% do not want to consider it for the future. I am glad to hear you say that you think that we need to think with the social partners and that we need a wider application, in particular by reviewing a part of the legal framework that currently cannot cover all the relevant regulations.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u93	Thank you, Madam Minister. The problem with teleworking today is that many companies, administrations and workers were not ready. The telework that is currently being done is not the telework that will be done by the workers later. That's why I was proposing that you set up a working group to reflect on this workload at home. The companies slowed down, the children were particularly present with the parents who had to work from home. Today's telework will not be the same as tomorrow, as all these parameters must be adapted and prepared upstream. For this reason, a working group that would be responsible for thinking ahead of time on this subject would make it possible to set up a structural and efficient telework.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u94	Mr Anseeuw, if you wish, you can refer to your written questions. If not, you have ten minutes.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u95	Madam President, I will put my questions together without unnecessarily filling the ten minutes allocated. Madam Minister, the context of my five questions is the same, namely temporary unemployment, but my questions always highlight a different aspect of it. On 20 March 2020, among other things, it was decided to significantly simplify the procedure to apply for and obtain temporary unemployment in the corona crisis. Everyone supported that decision. It was important that measures were taken very quickly and very decisively in order to preserve the calm in our economic tissue and also to provide sufficient oxygen. In addition, many other measures have been taken. All these measures must, of course, also be subject to some sort of control, for example, in actual fact and misuse or even abuse. For this reason, I have submitted two questions on the instructions given to the inspectors and inspectors of the Department of Social Laws in corona time. Madam Minister, did the inspectors and inspectors have the task of working at home or not? What other instructions were given to the social inspectors and inspectors of the Department of Supervision of Social Laws? I have tabled the same question for the auditors and inspectors of the National Employment Service. For the Länder it is apparently not possible at present to obtain an overview of the persons in temporary unemployment. I understand, at least from Flanders, that the regions do not have that specific information, which makes it difficult for temporary unemployed to fill open posts. In certain sectors there is a great demand, well known to all of us, for workers. At the start of the corona crisis, I advocated in plenary that this question should really be answered, as this is necessary. I have tabled an oral question on this subject, since this does not seem to be the case. Madam Minister, how is it that the regions still do not have sufficient information on the temporary unemployed today? In what way will the matching between supply and demand continue between the RVA and the regions? How will rapid employability be made possible? Will guarantees be provided so that both employers and employees are convinced of the benefits and that employees can easily restart their original job? The latter is not unimportant either. Temporary unemployment, of course, also serves an important part to safeguard employment. How will it be prevented that a perverse effect is promoted, thus removing talent from companies that had to stop their activities or run on a lower capacity during the corona period? How can this be prevented? In the meantime, the double payment of temporary unemployment benefits has also come to light. An article appeared in De Tijd, which said that about 3,500 beneficiaries would have applied for benefits twice or more, but also received benefits effectively, because they had applied to several pay institutions. In the end, checks by the payout institutions on each other's payouts show that these practices have come to light. The payout settings themselves are mainly due to the ignorance of the proposers, but of course it is always difficult to judge the intention of an applicant or look into someone's head. I have a few questions about this particular incident, namely thousands of double payments. Firstly, what is the nature of the double applications? Are they members of several trade unions or are they members of a trade union and apply to that trade union, but do they also apply to the Auxiliaries? Secondly, how is it that not everyone, both non-members and members of a trade union, knows where to apply? After all, everything starts with that. Thirdly, what mechanisms exist today at the RVA to avoid such double payouts? An authority can of course say that everything will be recovered afterwards, but here and there the bird may have gone flying naturally and the money is lost. Fourthly, is it true that the double or multiple applications are due to ignorance, or does it now appear that other intentions and reasons may be behind them? Fifthly, have the necessary measures already been taken to recover the wrong payments? If so, what actions have been taken? My last of five questions is about the following. Madam Minister, you also expressed your intention in the Social Affairs Committee last week to submit a proposal for approval to the Council of Ministers to extend the temporary corona unemployment benefit until the end of August 2020. Indeed, it is to be expected that, with the re-launch of many economic activities, at a time when a great deal of additional measures and restrictions are being imposed, we will still face a very serious economic challenge. The targeted support measures within a specified period, which may also be retained for us in the months of July and August 2020, can indeed make the difference. I spoke with your colleague De Block yesterday during the plenary session, to which you were also present, about postponing payment of social contributions to the RSZ. In the meantime, it appears that these measures, including those relating to temporary unemployment, are also quite prone to fraud, which, of course, has an important part to do with the low threshold of the measures. I believe that this should be renewable until the end of August, but not under the same conditions as today. Madam Minister, under what conditions will we have access to temporary unemployment after 30 June 2020 because of COOVID-19? To what extent will these conditions differ from the conditions that apply today? How did you take account, when determining the conditions that would apply after 30 June, of the sensitivity of the measures today? Can you estimate the impact of the temporary unemployment measure on our economic fabric due to COOVID-19 and on employment to date? I've got over three minutes left. I think I have stayed well within the time, Madam President.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u96	Madam Chair, I have two questions and I will ask them successively; they are short. Minister, I first have a question about the risks of unemployment. A survey conducted by the ERMG shows that the recovery of the Belgian economy is hardly beginning, despite the fact that the automatic stabilisers and the measures taken at this stage have made it possible to compensate much of the first wave of shocks. The persistence of the crisis and the unoptimistic prospects for demand may, however, lead to a wave of redundancies affecting about one out of five temporary unemployed persons. Based on an estimate made by ONEM in March, just over 900,000 people were unemployed. This would mean that we would have some 180,000 workers at risk of losing their jobs in the relatively short term. This represents 6% of the total number of workers in the private sector. The same ERMG also indicates that the coronavirus crisis could cause structural damage to the economic fabric as a result of the bankruptcies of healthy businesses and a persistent increase in unemployment. So I had a few questions about that. Do you have a plan to help these people get back to work? If this were to happen, in what direction do you see the discussion about the financing of social security? Do you plan to activate capital to help solve this crisis? My second question is always about employment, with the recovery of the economy. The number of redundancies in the first and a half months of the coronavirus crisis appears to be relatively low. It even shows a one-third decline between mid-March and the end of April, compared to the same period last year. This trend is even stronger with regard to recruitment. The rate fell by 70 per cent for workers and 50 per cent for employees. These figures clearly demonstrate the magnitude of the crisis of the VOCID-19 on economic activity. According to two experts from Securex, government measures such as temporary unemployment and the nuisance premium have temporarily reduced the number of dismissals. But, according to them, the problem is likely to arise soon. The measures currently in force cease to have their effects with the resumption of economic activity. There are no new aid measures to deal with this wave of redundancies. How will you organise business support with the gradual return of economic activity and to what extent will the question of employment be included in this aid scheme? In the face of the risks of a massive wave of redundancies, should you not condition these redundancies on certain criteria, such as not paying dividends, not having made a great deal of profits, or not having evaded the tax?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u97	Madam President, Madam Minister, the crisis of coronavirus is a health crisis whose economic effects, at the start of this phase of deconfination, will begin to be felt. Many of us fear the redundancies and bankruptcies of businesses, independents and SMEs that form the backbone of our country's economy. This government has already taken a number of measures to support businesses to overcome this obstacle. But let us not be deceived, the most difficult, in economic and social matters, is undoubtedly still before us.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u98	Madam President, I also wanted to make sure that my question No 55006053C on the social situation of artists is transformed into a written question, in which case I would already say goodbye.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u99	Indeed, your question attached to Question No. 55006034C by Ms. Song is transformed into a written question.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u100	For the month of March, the Auxiliaries received 299.000 files. Even last week, so the second week of May, 22,000 more files were submitted for the month of March. These are files for which the application and the card were brought in for the first time. Of these 299 000 files, about 21,000 will never be reimbursed, 15,000 due to premature filing and 6,000 due to double application. In the case of double applications, it is not possible to determine which payout institution the social insured persons had initially chosen. All UIs cooperate constructively to resolve those double application cases. The benefits paid after mid-April concern files in which there was a problem. Three thousand temporary unemployed have been contacted personally on several occasions, but 1,400 people have so far not responded. There remain 1,200 complex dossiers, which still require specific treatment; 400 of them concern unemployed people who have provided an address abroad. For the month of April, 350,000 cases were paid between April 29 and May 12, which amounts to an average of 38,500 cases per business day. For some cases, CAPAC is waiting for the employer's declaration of social risk to proceed with the payment, but the payment of benefits for the month of April is almost up to date. To this end, CAPAC sends an acknowledgement of receipt to the social insured and an e-mail as soon as the payment has been made. For ongoing files, CAPAC proactively and individually contacts by telephone or e-mail. Where possible, bundled emails are sent for the same anomaly, for example for a problem with a name. Since the corona crisis, around 100 people have been deployed on the phone every day, even 150 last week. There is also a telephone self-service and an application "My HVW file" which also provides useful information. Complaints are usually entered online, but this can also be done by letter or e-mail. Since 1 May, the average response time is 3.5 days per registered complaint on the platform. The complainant shall always receive a notification of receipt and the HVW shall closely monitor each complaint. 132,983 employers reported temporary unemployment due to the coronavirus for 1,207,027 employees by April 2020, with an average of 14 days of unemployment per employee. Furthermore, I can already say that I will propose to extend the flexible scheme for temporary unemployment due to the coronavirus until 31 August 2020 according to the current modalities, but the government still has to decide on this. At the moment, I am looking at how we can deal with the transition from this system to the system of economic unemployment. This will also depend on the decision taken in relation to the prolongation of temporary unemployment VOCID-19 for force majeure. Controls on the application of temporary unemployment will be pursued in the same way by the ONEM. As for the other RVA staff members, full-time telework remains the norm today. This also applied to the social inspectors of the RVA who were employed during the first weeks of the crisis to complete temporary unemployment files or to answer questions related to corona-TW from everyone, employers, social secretariats and social insured persons. From 8 April they were able to resume on a voluntary basis the field checks. This means that social inspectors currently alternate work at home with field work. They have received instructions taking into account the current specific context. Firstly, control priorities were set and how they should be addressed. In this context, the safety measures and rules to be respected for the field controls were also included in these instructions. In reply to your specific question on the 2020 Action Plan, Mr Anseeeuw, I can assure you that the RVA will do everything in its power to fulfil and comply with its commitments. However, it is logical that the corona crisis will have an impact on a number of objectives because the focus is now essentially on corona-TW controls and because certain quantitative objectives simply cannot be achieved by the current context, e.g. x number of controls to be carried out in sectors that are still closed. The RVA conducts targeted administrative checks and field checks on the misuse of corona-TW. For this purpose, the RVA first identified possible abuses with the experts. Afterwards, the Datamining cell was enabled to make selections that may indicate abuses. These selected dossiers are further prepared and finished by administrative staff and by all social inspectors. In particular, for the double payments, 2.485 out of 560,974 concerned persons from whom the RVA has already received data received a double payment. This is about 0.4% of the total. In each of the cases, these are payments made by different payout settings. Such payments occur with each of the four payout institutions. For many temporary unemployed, it is also the first time they have come into contact with this. In times of restrictive health measures, this can cause increased stress in many people. Given these circumstances, we can assume that there is also an increased risk of errors. In the context of the verification process by the RVA, all payments made by the payout institutions shall be checked for any anomalies. The double occurrence of the same national register number for the same entitlement to a benefit is, by definition, intercepted in the execution of this verification process, after which the procedure for correction may start with a payment institution. In most cases, the payout institutions have already identified the double payments themselves and taken steps to recover them, usually through the compensation on the next month's benefits. Given the limited size of the phenomenon and its relatively simple traceability within standard procedures, there is no reason to believe that double payments result from reasons other than ignorance. It is the responsibility of the paying institutions to recover unduly paid amounts from the persons concerned. As regards the exchange of data between the RVA and the VDAB, I can inform you that on 7 April the RVA received a question from the VDAB to that effect. On 8 April the RVA replied that, in cooperation with the RVA, a project was launched at the Crossroads Bank of Social Security in order to transfer data on temporary unemployment due to the coronavirus to several institutions. This information is available and may be transferred by the KSZ to the institutions that request it and that have the appropriate permissions each month and for as long as necessary. The VDAB initially indicated that this solution seemed sufficient, but information gathered from the KSZ shows that the VDAB will not make use of this possibility. In addition, a specific scheme was introduced for the resumption of work by a temporary unemployed person in so-called vital sectors, in particular in the fields of horticulture, agriculture and forestry, thereby maintaining 75% of the benefit for the months of April and May during this work. This measure also applies to employees in SWT and employees in full or partial career breaks and time credits and may be extended for the month of June. This advantage is lost if the employee would not wish to resume work with his original employer. In that case, the worker is no longer involuntarily unemployed and the employer cannot declare temporary unemployment for him. In the order of special powers currently under preparation, a regulation is provided for to facilitate the transition from temporary unemployment for force majeure following the coronavirus to existing systems of economic unemployment for workers and employees. These systems will be temporarily relaxed until the end of the year to ensure easier access to these schemes. The aim is to use again from 2021, the current rules on economic unemployment as a force majeure for workers and employees. Mr Anseuw, as regards your question about the taking away of valuable workers by another firm, I can tell you that the employer cannot prevent an employee from terminating a contract of employment temporarily suspended for reasons of force majeure in order to work with another employer. In doing so, the employee must respect the normal rules of notice periods. If the employee does not do so, a fee will be due. The system of temporary unemployment and other support measures will maintain employment in the first instance. It is also up to the employer himself to determine what additional financial initiatives he may take to prevent his employees from going elsewhere. Finally, Ms. Moscufo, your question about the need to help people find work is a regional matter.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u101	Thank you for your detailed answer, Minister, although I am not entirely satisfied with it. You won't be surprised. I've already given a preposition in my question myself. You say that the conditions for extending temporary unemployment in July and August will remain the same. The conditions are so low today that the regime is quite susceptible to fraud. Until 8 April, the inspectors had to work at home, according to your reply. Until then, there were no checks on the premises. You say that it is difficult or little useful to control closed sectors. However, the question is whether they were actually closed. A form of abuse can take place there; on-the-spot checks can be useful. You say that the double payouts only account for 0.4% of the total, or a few thousand payouts. It is strange, however, that in 2020, while everyone has a unique number on which they can be identified, namely the national register number, thousands of payouts can still be doubled. If a double payout requires recovery, which payout institution should recover? How is that determined? The control of double payouts happens post factum, I've heard. This may have led the bird to fly when recovery is required. If the double declaration is discovered in advance, who should or should not pay out? From 8 April, inspectors will be able to enter the site on a voluntary basis. The safety of inspectors is, of course, extremely important, and I will not question that. However, checks are also important, especially at a time when the threshold of access conditions for workers to temporary unemployment is much lower. A minimum number of days worked is long overdue. In corona times, it must also not be demonstrated that the holding is in difficulty. I understand that this is still the case in March and April, and even in May. The extension of the measure to July and August requires a critical examination of possible excesses, on which more and more stories are emerging. It would be useful, from the beginning of July, to consider whether we cannot distinguish between, on the one hand, temporary unemployment due to force majeure, namely a company that really cannot work because it is not allowed to work, and, on the other hand, something more similar to economic reasons. I do not want to say that we simply have to apply the system of technical unemployment prior to the corona period from July and August. There is still a middle way in which in July and August a lot more flexible can be done than in precorona times. However, as it is now, without any lower limit worthy of that name, it is becoming increasingly difficult to control. I don't think that's serious anymore. The first phase in which we had to act quickly and decisively is now behind us. It's time to learn the first lessons. The necessary oxygen for companies to safeguard employment remains very important, but we must not be naive in corona times either. The crisis will last and reflect for a while and we cannot wait for the end of the crisis to adapt and refine things. However, the temporary unemployment scheme needs to be refined. As of today, it is theoretically possible, and smart people have already tried to recruit with a sleeping company with a view to the use of temporary unemployment. This is not being checked and cannot be checked; it must be kept to a minimum. A number of things need to be refined, without throwing away the child with the bath water: oxygen for the economy is extremely important. However, from July onwards, a system should be introduced whereby conditions are refined in a way that makes improper use and abuse more difficult.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u102	Madam Minister, you say that the services of the Hulpkas have been proactively contacting difficult cases, but this is not really evident from the many distress calls I was allowed to receive. It is very regrettable that workers are still waiting for their benefit before March. However, you promised the opposite. We are now two months away and many of these workers are now in the water. It can now be said with certainty that the failure of the Auxiliaries is a political responsibility. It is not normal that employees do not even receive confirmation of receipt when forwarding a file. It is not normal for workers who want to ask about the state of their case to have no answer. It is not normal that when an employee tries to contact him by telephone, there is no answer on the other hand. A government institution should have an exemplary role and should not continue to send people from the cabinet to the wall.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u103	Madam Chair, Minister, thank you for your answers. You will understand that the problem of employment is of great concern to us. And your answers don't reassure me completely. Indeed, massive waves of redundancies are announced, as was the case this week with Brussels Airlines and TUI. Yesterday, in plenary, we told you that we do not agree with the way in which you react to these announcements. As far as we are concerned, we plead for measures which would cost the State nothing and which would be based on common sense. In our view, it is clear that a company that makes profits and evades tax must not be able to lay off. It is possible to put measures in place to limit the breakage. Today, social security spends more than EUR 1 billion a month on economic unemployment and precisely to avoid such redundancies. In the face of this situation, decisive policy choices will have to be made. That is why we have tabled a proposal on the table to ban dismissals temporarily. According to the ERMG, the measures to be taken to respond to the shock of unemployment will be decisive. If we want to avoid the workers paying for this crisis, would it not be time to turn to those who have the widest shoulders, namely the multibillionaires, by imposing a tax on big fortunes? Is it worth recalling that 75% of the population has already voted in favour of this tax? You have not answered my question on the financing of social security, whereas, as I said, the latter must raise more than EUR 1 billion. However, this problem was already of concern to the members of the Committee on Social Affairs before the crisis of the coronavirus occurred. And it must be noted that it is even more important today to think about it.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u104	Mrs Moscufo, I ask you to conclude.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u105	I'm finishing, Madam President. We have heard experts in committee who have told us that capital must be asked to make an effort to finance our social security.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u106	Minister, I may not have paid enough attention. In any case, we had asked what the number of temporary unemployed for the month of April was, but I assume we will receive the answer in writing. It is therefore unnecessary to repeat one another. Even if temporary unemployment is prolonged, every effort must be made to encourage as many businesses as possible to re-engage workers and re-launch the machine. You said precisely that this measure had the virtue of serving as a bridge in times of crisis, but the work still needs to be done to get the economy back in motion. We will be vigilant.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u107	Madam President, I would like to respond to a number of things that have been said and a number of additional questions. Mr. Anseuw, you asked who decides who's being paid. The payout institution of which one is a member shall pay. If one has a file running at three trade unions or at the auxiliary cash and two trade unions, two payout institutions, then the payout institution of which one is a member will pay effectively, and the other will recover. So that's how it's going. However, I would like to point out something. Maybe I'm wrong, but in the reasoning you're building, you assume an employee with very bad intentions. In order to achieve a double payment, we need an employer and an employee. If we pay double, this means that the employer has submitted the application to different bodies and has also submitted benefits to different bodies and that the employee has transmitted his data to different bodies. We still have to refine the system, but we are convinced that the system will remove those cases. Unfortunately, that is only afterwards, but it is seen immediately. It is seen that payouts have been made to the same person. It also has a lot to do with the fact that a lot of workers and employers are now dealing for the first time with the system of temporary unemployment. We still have to see this confirmed by hard figures, but we feel that it is often about small self-employed people, for example those who work with one employee and who have never had to put someone on temporary unemployment. There are also people who are members of different trade unions and who can therefore also submit different dossiers, but afterwards, of course, they are filtered and only paid once and amounts are recovered. So it is not right that they are ribbedebie then and that there can be no more can be told. If payments were made in March, we do not think that people left the country in April. If they are members of a union, it will be withheld from the next benefit. I've given the figures, it's 1.2 million files. Today there are 2,400 to 2,500 double payments. I admit that some of them are intentional, but many do certain things today in ignorance. In my opinion, with the prior checking of the data and the recovery, we do a correct job. Mrs. Samyn, you mentioned the payments from the Auxiliaries. We have often had this discussion. You say it is a disgrace that there are people today who are still waiting for the money from March. I hope you heard me correctly, but this week, after 10 May, an application was submitted by employers for benefits in March for 22,000 people. I do not know how the Auxiliaries can pay people who we do not know today that they exist and are temporarily unemployed, if the employer does not say today that his people are temporarily unemployed. We cannot pay to someone whose job we do not know is temporarily unemployed. Those 22,000 files that were submitted for the first time this week will also be paid out in a smooth way, but until we have the data, we will not be able to pay. Secondly, with regard to the discussion on temporary unemployment due to corona and the transitional measure, I note that we have started with another system. We have been begging employers and employers' organisations to simplify the system. We are well aware of this, and I fully agree with you that we will have to move back to traditional systems at some point. That's what we're gonna have to do. By "traditional" I mean the normal force majeure of force major and the normal economic reasons. We will also have to do so with a transitional period. The political debate, which we still have to hold within the government, is about whether we should make the transition on 1 July or 1 September 2020. The employers are already asking us to do this only on 1 October 2020. So they ask for it to be done later. My hesitation is to make the switch on 1 July and not on 1 September 2020. We are getting clear figures that even on 1 July 2020 more than 100 000 companies will still have some of the workers in temporary unemployment. This means that, when we come to a transitional measure, we need to re-apply hundreds of thousands of companies in July 2020 and start a procedure to move to the classic system. To us, that's too early. If we were to do this by 1 September 2020, we would feel that the number of hundreds of thousands of companies will be very reduced and that many of them will not be affected. They will therefore have workers at work, and no longer in temporary unemployment. At the end of the holiday period we will be able to bring down this number of hundreds of thousands of companies. We will then have to go through a transitional period with that number. The companies concerned will have to be able to demonstrate that there is economic unemployment and that there are economic reasons. They will also have to apply for this economic unemployment. We will have to implement these transitional provisions properly. I follow your reasoning. The question is, however, when will the switch be made? I feel 1 July 2020 is too early and 1 September 2020 is a better period. After all, we feel the need in many sectors. Mr Anseuw, I was in contact this week with a number of West Flemish large SMEs, whom you know very well. For example, they place windows and doors in homes and work in private land consolidation and social housing projects. All private landlords will be working in June-July 2020. The yards are starting up again. We see that social housing relocations will not start in 2020. These companies will put people into full employment for 2 or 3 weeks, after which 70% or 80% of employees will be temporarily unemployed again. Then there are another 2 weeks of full employment and 2 weeks of temporary unemployment. There is a clear demand to maintain flexibility. The political debate on this issue must take place, as no decision has been taken today on the date, 1 July or 1 September. The transitional period must come, but my feeling is that there will still be too many companies asking for it on 1 July. The desire to include this in a transitional period would, we feel, not be the appropriate administrative time.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u108	Madam Minister, thank you for the additional explanation. I would like to go into two more points. Firstly, as regards double payments, who is to be recovered? You say that it is the payout institution where one is a member, but you yourself indicated that one can be a member of two payout institutions. Then, of course, we get the same question. I continue to find it incomprehensible that in 2020 it is still not possible to discover, on the basis of the unique national register number before the payout, that there is more than one application from one particular person and that we have to wait until after the payout. I'm not making an intention process here, and I'm certainly not saying that everyone is too bad faith. Whether it's about employers or employees, the majority of people are in good faith. However, more and more stories of abuse are emerging that undermine the basis for these much-needed measures. That's my big concern. Avoiding double payouts should be technically possible. A number of birds will have flown by now. You say that they will not all go abroad immediately, but there are 4,000 applications from abroad. Those people are already there. I am not saying that all those who are abroad are in bad faith, I just want to point out that this is not an imaginary problem. I do not believe that this is the majority of the applicants, on the contrary. The abuses have to come out, if only in order to preserve the basis of support. Secondly, as far as this transitional period is concerned, I am glad that you agree with me that there will have to be a change at some point. I have already made it quite clear that this is not a transition, as far as I am concerned, not a fault line in which we move from today to tomorrow to the traditional system. I said explicitly that this would indeed not be wise. However, I have called for a number of refinements to take place from 1 July. I didn't say we should go to the classical system precorona with that. I do not think that would be appropriate. I don't want the impression that I meant anything else. I do mean that a number of things need to be refined, without going straight to the classic system. Of course, there will still be a number of problems. If everyone stays temporarily unemployed, everyone will take their holidays at the same time. That will be an additional challenge. I started my question by saying that July and August will be extremely difficult months. This period is even more difficult for most companies than when they had to close down overnight. There's nothing harder than a startup. Sales aren't coming in, but the costs are coming up. I am well aware of this, but there must be a balance and we must refine a number of things in order to avoid certain problems from 1 July. That's my plea. It is far from a black and white story, but it is important that this happens, because there are a number of excesses, there is improper use. The back door is wide open. I am not saying that everyone uses it, but it has to be closed, if only in order to safeguard the support for these aid measures. That's my concern. Hence my nuanced plea and my demand for a refinement of the temporary unemployment scheme because of corona.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u109	Madam Minister, I understand from your reply that 22 000 more files were submitted by employers. I cannot get rid of the impression that there is something wrong with accessibility. I can only establish that. I'm really getting a lot of messages from people who say they've been in regular contact, nothing to hear, no answers to their questions and no knowledge of the state of play of their file. If, after two months, nothing or only part of one's money is put into the account, it is a matter of concern. Well, that's understandable, isn't it?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u110	Question No 55005877C by Mrs Lanjri, being absent, is not applicable.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u111	Madam President, I have been distracted before. I thought I finished my day earlier. But no, I still have this question about the right to disconnect. Minister, our company is more connected than ever and the crisis of coronavirus will certainly speed up the process of digitalization because companies are increasingly using telework. However, the issue of well-being at work is now central, especially for my generation, which has known the digital tool since almost its birth. In recent years, work-related diseases have increased. Burnout, exhaustion, depression are just a few examples. Part of this increase in disease is related to "hyperconnectivity", i.e. an inability to dispose of technology. As politicians, it is our role to set a framework for controlling these abuses. This framework can also be an opportunity to promote a new right and, above all, to perpetuate telework. It therefore seems important to us to advocate for the creation of a real right to disconnect. For us, clear limits must be set so as not to interfere with workers' rest and leave. Hours of work are supervised in Belgium. New technologies, through the facilities they generate, cannot be countered. The balance between private and professional life is essential. Minister, what is the current legal framework for the right to disconnect? It seems to me that early bills had been introduced. What about it? In general, what support can the government provide to companies, for example methodologically, to successfully complete their digital transition?
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u112	Madam President, I do not understand why these questions were not merged with the previous questions on teleworking, because they are on the same subject. Mr Bihet, the answer is bilingual because your question was attached to Ms Lanjri's question about the right to disconnect. A system of generalised home working is currently in place in many companies. In addition, posters are available on the website of the FOD to raise awareness about safe working during the corona crisis. One of these posters concerns work at home and stresses the need for a work-life balance, including making good arrangements with the manager and regularly disconnecting from work. In these exceptional times, a good balance between work and privacy is all the more important for the psychosocial well-being of everyone. This balance can only be achieved if there are clear agreements on the use of digital means of communication and the deconnection of work. The law of 26 March 2018 on strengthening economic growth and social cohesion already imposes an obligation to consult on this issue within the Committee for Prevention and Protection at Work. Such consultation shall take place at regular intervals and in any case whenever the representatives of the workers on the committee so request. Concrete agreements can then be included in the labour regulations or in a collective labour agreement. If further rules or initiatives are still needed in this regard, I will certainly consult the social partners.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u113	Minister, thank you for your answers. I agree with what you said, but we will certainly take an initiative to ensure this reconciliation between private and professional life. From the moment that a possibility of increasing teleworking days could be on the table, it seems essential to be able to guarantee the well-being at work by the checks that could be carried out, but also by clear rules that allow us to know when a worker is at work and when he is not.
ParlaMint-BE_2020-05-15-55-commissie-ic178x.u114	Questions nr. 55005977C by Mrs Gabriels, nr. 55006034C by Mrs.Song et nr. Mr. Bihet's 55006053C are transformed into written questions.
