ParlaMint-NO_2009-06-08.ana.ud2315e98	The representative Karin S. Woldseth, who has been licensed, has again taken the seat.
ParlaMint-NO_2009-06-08.ana.ud2315e2266	That is not how much I would like to add to the statement made by the rapporteur on behalf of the Committee. There is unanimity in the Committee on the most important issues. The encephalomyeloids occurring in the context of the odelstungsproposition. Whenever I wanted to take the floor, it was partly because I too would like to join in the words of recognising the efforts of the veterans. There is no doubt, as both speakers have said before me, that this is an important part of Norwegian security and foreign policy. There is also no doubt that those who leave – for someone’s sake – must bear a rather heavy burden. It is therefore important to stress that the task that has been carried out is something for which Norwegian society is very grateful. I think it's important that we set up our work for the veterans in such a way that this recognition gets an expression. Now, the communication presented is of a more general nature, so general that someone in the hearing in the committee probably wanted the matter to be postponed or referred back. However, I believe that the message has been given the right form, and I think it is important that the details are drawn up in the form of an action plan, as is also stated. That's why I think it's important that this message is being addressed today, and that the work, which is probably going to be done in close cooperation with the veterans' organisations, gets as much pressure as it can put on it. I have so far just a little detail I want to add to the now affected setting, and that's the fact that the vet issue is something we now obviously encounter in a lot of NATO countries. Everyone has some parallel problems to deal with. Therefore, I think it would have been nice if it had been possible to achieve an international cooperation where one sat down and exchanged experiences, and perhaps also came up with a joint handling. Among some of the scientific organisations, there is a great deal of interest in this, and I think it is important to try to bring together as much common policy as possible. Since I'm not a member of the Odelstinget, let me just mention two things about what's more controversial about the odelstingsproposition. The cases are closely linked. One is, how long is the responsibility of the defence to be held? Here we get a discussion about whether it should be for one year or five years. In any case, the one-year period is a good step forward, because it gives a responsibility and clarity for quite a long time after returning. I believe that the Government's proposal in one year is the right one, given that it is practiced with the necessary softness. That the obligation does not last more than one year, I think it is right to determine. However, if someone needs guidance and help after that time, I'm sure the defense will provide this, but the further follow-up will be done on the civil side, it will be in health care or where the need may be. I think we'll try a little bit, in the sense that after a few years it may be necessary to draw experiences from this. Should it then prove that we have made the wrong choice, it is probably possible to do it again. As far as the compensation system is concerned, I am pleased that we now have a system that takes care of not only those who are being damaged in the future, but also many of the issues that lie there. It's clear that here we have a need to sign out. I have noticed that the Government has changed its position from the consultation round to the final legislative proposal, and there are probably many good reasons for that. But I have to say that after having looked carefully at it, I have come to the conclusion that having one order will be the right thing, and I would recommend the Right Members to vote in accordance with it. It is also proposed on my behalf when you get to Odelstinget, and it expresses a desire to have the same arrangement for everyone, as it was originally intended.
ParlaMint-NO_2009-06-08.ana.ud2315e2283	I think that in this case the Council of State needs to boast, because this is neither more nor less than a historical statement of things that should have been done better politically before. But here's a thorough message, and the name of the message says everything, because it goes on 'before, during and after participation'. For the first time, this one looks orderly in good health. It's a historical statement, which, at the same time, I thought, is pointing forward. It goes on as simple things as recruiting – we need to do better – we need to have sensible assignments and, perhaps most importantly, we need to take care of those who have come home in a good way, if they have not had the least psychological damage. We know that many think it's hurt if the defense doesn't see them, they're looking for some kind of recognition that maybe the big community or community isn't able to give. Then the defense must be as flexible as possible. Even if responsibility goes beyond a year, it should be even better in relation to, for example: Berry, and in other contexts, it's up to you to take care of those who have come home from operations. So it's a little special, for the next time the committee is going to deal with these kinds of issues, it's in common with a foreign committee that hasn't sent out any other staff, but at least has been with and funded aid workers, health workers and solidarity workers who also work in war zones. So it's clear that in the joint work we're going to do in the future in relation to creating humanitarian spaces, there will be different types of personnel to both recruit, carry out wise assignments and, when they get home, have recognition and security. At the next reading in that committee, of course, the defence personnel will increasingly be associated with the personnel they will work with in humanitarian rooms. That'll be interesting. I thought the message was very good at it, and these integrated operations in the future are also the Defense's ability to deal with it. Perhaps one might have something to learn from each other in the different environments, perhaps one on solidarity and assistance may have something to learn from the Defence's follow-up and vice versa. At least it is assumed that those who have been out of the house will have the recognition they need. That's what they're talking about.
ParlaMint-NO_2009-06-08.ana.ud2315e2292	Initially, I will pay tribute to the Government and government parties for the final presentation of this message and for its good intentions to take care of the personnel through disease prevention and damage prevention and through enhanced follow-up and legal recognition after service. The communication's objective of contributing to better cross-sectoral administrative cooperation in this area is also price-effective. The majority has asked the Government to present a case on the needs, consequences and solutions of personnel involved in international operations. We have asked for this because there is a need to strengthen the follow-up of staff. It concerns the preparation and conduct of foreign operations and the follow-up of staff after they have returned. A more holistic approach is needed to the needs of veterans across different sectors of society. In particular, I would like to stress the importance of prioritising research on mental stress damage and the further development of the defence family policy. The Government's action plan will answer questions about the concreteisation and follow-up of the message, and we hope that the follow-up will be concrete and specific, with clear assignments and clear responsibilities, so that the changes actually come. This message has been strongly criticised by the Hearing Officers. Many at the hearing were upset because they believe that the message does not contain sufficient care for injured veterans and their relatives. The notification is criticised for not holding special rights, for not giving the necessary recognition to the veterans and for not containing anything to improve the situation. Someone said: rather on the contrary. The government was accused in the hearing of returning the veterinary complaint several years ago with this message. Now it's natural to see this message in the context of the odelsting proposition, where the actual law changes are coming. I'm not going to go into that any further, just a reminder that in the Christian People's Party programme for the next period, we say that the defence should have a medical follow-up responsibility the first five years after the end of the service, and later, if necessary. Of course, we'll follow that up when we get to the treatment of the odelstation proposition. We will also do the same when it comes to objective responsibility for the old cases, and for those who have their injuries before 2010, in accordance with what Petersen, the representative, said here. This message, and the concrete legislative changes that the Government has made, is not good enough, in the view of the Christian People's Party. With its decisions to send Norwegian soldiers out in conflict, the Storting has an important responsibility to secure soldiers who have contributed to international operations, good and correct follow-up before, during and after the service. Moreover, the size and society must give greater recognition to the veterans for their efforts and much better care for the women and men involved in foreign operations and their relatives, including the children. We still have some way to go, and we'll get back to the concrete thing about the odelstation proposition.
ParlaMint-NO_2009-06-08.ana.ud2315e2309	Also from the Center Party we will express our great satisfaction at the presentation of this message and commend the Government for the work it has done. At the same time, it is also gratifying to record that we have a unanimous committee behind the important committee comments. Participation in foreign operations is an important and integrated element of Norwegian security and defence policy, and more and more of the defence staff will in future have carried out service abroad. Both international solidarity, the fight against terrorism and Norwegian security considerations call for Norway to be an active partner in international crisis management. Contributions to international crisis management must not go beyond the ability to defend Norwegian territory – I think there is a broad consensus on that. Norway’s foreign policy profile and our contribution to international crisis management have an impact on Norway’s security policy situation. We in the Center Party believe that Norwegian military and civil personnel need to be made available to operations under the auspices of the UN to a greater extent than in the past. It shall also be such that, to the extent that Norway participates in NATO operations under the territory of the alliance and outside the alliance, this shall be done on the mandate of the United Nations in the light of a clear UN mandate. The centre part will improve post-protection for veterans. This is absolutely necessary in view of ambitions to be able to provide strengths in foreign operations. Let me then draw attention to some of the excellent comments made by the Committee. The Parties share the view of the Committee and the Government that the defence should be an attractive and secure job which ensures that employees and their ability to have the most normal family life are properly cared for. Through it, that society and the defence have a clear responsibility to care for the personnel deployed in foreign operations. As a result, access to the foreign service of staff means, in the opinion of the Committee and the Centre Party, a special responsibility for the Norwegian authorities. The centre party is pleased to note that Norwegian soldiers involved in operations under particularly demanding conditions are well prepared, and that we keep a good level of quality in the work done. The Committee is concerned that the pre-exit phase is important for the prevention of injury and disease and to facilitate the best possible implementation of the foreign mission. This is in agreement with the Centre Party, and we are pleased that it is underlined. In addition to what I have said here, we will once again stress that the legitimacy of the mission is important for the safety and ability of personnel to perform their duties. The Committee considers it important that Norwegian participation in foreign operations should be clearly anchored in a clear UN mandate or other recognised international legal basis. It was with some disappointment that only a few days ago I read a notice in a present newspaper pointing to a soldier's failure to intervene in a situation that was described, namely violence in a family. It was turned up in such a way that it seemed like our soldiers did not do the job they should do. That is why it was very interesting to see a chronicle in Dagbladet today, where a major at the Air War School in Trondheim goes through the case and illuminates it, and shows that it has other serious aspects that need to be taken care of. Should we let the press freely shape opinions that are reflected in the people, or should we have a body that can at least help to create a debate? And then finally, it's said that you're going to start a project where the government wants to develop a plan for the return phase. Let me mention the Viking Centre in the municipality of Bardu who has just the opportunity to offer an offer to soldiers who come home and who have experienced traumas. Let's have it in mind that you can further develop the good cooperation that is just between the municipality and the centre and the defense.
ParlaMint-NO_2009-06-08.ana.ud2315e2332	I would also like to pay tribute to the Government for the fact that we have got a comprehensive and broad case on this. So I would like to make a few comments that we have got it on the Stortings table and for treatment. The key now is what happens in the continuation and continuation. I have a strong advice to give to the Council of State. Based on the fact that the Defense takes responsibility, at least one year, the Defense must, in order for the entire Norwegian community to stand up, whether in terms of healthcare or whatever, to sit in the driver's seat. I've been a State Council for six and a half years myself. I was responsible for making sure to do something about violence in close relationships. The Ministry of Justice had to sit in the driver's seat for that. I can trust the Storting and the Assembly here that it took a while before the cultures sat down everywhere. But if you just make an action plan, it floats out. So, the field-working sosion about Odd Einar Dørum, the staging representative Odd Einar Dørum and Odd Einar Dørum, the staging representative with state council experience, are now speaking with great weight. If this is going to happen, you would have to call the action plan a project, so that all the shoulders lower, and the peace and tranquillity drop around the government tables and where it might be. But there must be no doubt that it is the Ministry of Defence who is in charge of it. I say it with that strength because I was present at one of the two collections we've had with veterans. It was at the Open Theatre, where the general inspector of the Army Robert Mood, who later got another central job for the Norwegian community – I was about to say that he would be my favorite social worker – spoke as a person who took responsibility, and spoke so wisely that I realized that it was a person who would be able to mobilize etc. Of course, you can't direct yourself to good solutions, but everyone knows that the situation of the veterans is not understood by most. It is understood by those involved, and the rest of the social system does not understand it without a doubt, just as the rest of the social system does not understand the fight against coercion, against sexual mutilation — without comparison; it becomes too special. Then someone has to sit in the mobilization role. I have no doubt that it is the Ministry of Defence that has to take that role, both because you are close to the people involved, and because I believe you are now proving that you want to take action, and that you are proving that you have empathy. Both of these parts are needed. I was also at an excellent meeting where several of us who are representatives here in the house met veterans on Bærøya. I have no doubt that that is the way you have to deal with this, so that there will be something in the follow-up. So the action plan is excellent, but it also allowed the action plan to become something of a time-limit, where cultures are set. I'm going to end the analogy with the fight against violence in close relationships. The first year you had to do it with the police, you had to wait, the second year you had to do a little bit, and the third year you had to regulate access. It is that once it comes to pressure in a structure, it will behave. But the veterans deserve the pressure to proliferate into the civil society structures. Then I can also recommend the Viking Center in Goal Self as an excellent place that you can use and that you should take care of. Then I'd like to make two more very brief comments. There has been a certain debate – intelligent contributions from the leaders of the defense, I would say – that when we are in a situation in the world, and where we do things that are not known to most people in society, society must give a kind of recognition, so that you get a kind of culture that gives recognition, instead of getting a kind of mercenary culture on the inside of a group. It was a colonel who wrote about this the other day. It was very insightfully written. It's fine. I expect that when people come back from duty, they are accepted. But it has to be a little staggered around it. We don't become militarists in Norway even though we honor and honor someone who does something. We come with flags in anarchistic Norwegian way when someone has won a medal in the Olympics or something. The defense doesn't have the detached anarchy, and you don't have to have the parade at Champs-Elysées -- where I've been standing once and having a very strange feeling standing there -- but there's something in between. There is something about accepting people with dignity and style and thanks, so that you feel that you are seen and recognized. I need to say that, and I think it's a good effort to prevent, so you avoid some of the cultures that the officer wrote about. Finally, with regard to the compensation that people will receive, given that there are objective reasons, the Left's position is short and simple: the rules must be the same for everyone, whether they started now or then. There must be no distinction in the veteran group. You just have to cut through there and make sure it's the 65 Gs that apply. We're now setting a culture where we're going to be able to carry future foreign operations. We're going to do it in a healthy way, with the base and the backbone of the defense we have. But I'll stop where I started. I'd like to commend the department for offering a real job, and that gives a good starting point for further work.
ParlaMint-NO_2009-06-08.ana.ud2315e2362	Taking care of the veterans after foreign missions has been a field of activity for our government. Participation in foreign operations is, as has been said by several here, part of the Norwegian defence and security policy. It is also a fact that more and more of the defence staff have a foreign service. Through its efforts, the defence personnel have helped to create peace and stability outside, and thus also security and security for us at home. That means that when we send our women and men into conflict zones, it is a great responsibility for us, and they must be sure that we will take care of them when they come home. A comprehensive review of the arrangements and measures implemented during this period and the new measures will be provided. I want to put some emphasis on it, because there are measures in many areas. The representative Petersen spoke a little bit about international cooperation. It is also one of the measures that are new and that I fully agree with will be important and correct, and also provide an understanding of what is being done for the veterans. I also have to say that with this message, I do not think we from Norway need to put ourselves in line at the back of the line, because this is a work that has not been taken by so many people, even when we see internationally. But very many governments and very many countries are concerned about this and stand up in the same situation. There is a need for action not only in the field of defence but across the board. Therefore, it is important that we make this action plan, precisely in order to capture the social sectors that are under the territory of several ministries. That's also why it says, so we need to know what we're doing, both in terms of research and in terms of cooperation, whether there's cooperation with the health care community or with Nav. The message is called "before, during, and after" operations. We will take care of personnel before, during and after operations, so the preparation phase and the post phase are important. Let me also say a few words about the proposition that is going to be dealt with in Odelstinget a little bit later, because more people have been involved in it. It is quite correct that it was originally outsourced with objective responsibility both in the future and in the future. But it's been a hearing. We've looked at this in context. We have come to the conclusion that it is right to take an objective responsibility in the future. We take full responsibility when we take an objective responsibility. Taking an objective responsibility backwards in time is more demanding. In addition, we have to look at this in an overall perspective, in conjunction with other groups. What is also a triggering factor, and which makes it a slightly different situation today than it was before, is that the obligation to order has come in, so that those who are in the Defense today cannot avoid service. It's no longer optional, everyone has to leave. The Viking Centre and other places that have been mentioned can be very good institutions to cooperate with, because an important part of this plan is the construction of a mental health service for the veterans. When we have fallen down to one year's follow-up in the law, it is also because it was said by our professional authority that if you follow the soldiers well after they have come home, very much can be done the first year. But we're not going to be square about providing health services. The defense is not going to reject anyone, but we're going to have a good cooperation with the civil health community as well. I am very pleased that there is broad agreement and praiseworthy words to the Government for this work. I listened to Christian People's Party posts with a certain interest. A lot of the old things we're going to clean up now are 30 years old things. There have been many governments that have been able to address this. I just want to say once again that we have been working on this all my time as Minister of Defence.
ParlaMint-NO_2009-06-08.ana.ud2315e2377	It's going to be line change.
ParlaMint-NO_2009-06-08.ana.ud2315e2381	I took a line to spin on a thread. My young son once said to me, after serving his duty to protect Bardufoss: Father, you wouldn't have wanted to be defended by those who had great pleasure in being there; it was all of us other people who did it normally, who did it right. There was a kind of social stability in the breadth of Norwegian defence. I'm concerned about how we can now get to that width in a new situation, with veterans out there. That's why I think the Lieutenant Colonel I quoted from the pulpit, who wrote about how we can recognise people, with the help of preventing us from ending up in situations that end up in security firms or what they are. I took the floor because I would like to hear the thoughts of the Council of State on how we can show respect and recognition, so that we are seen, because there is a great contrast between putting up and risking a lot – and then finding the wise ways to be seen. So I'm just encouraging the Council of State to think a little bit loud about this in the main hall.
ParlaMint-NO_2009-06-08.ana.ud2315e2390	The fact that we're making messages and focusing on the work of vets, that we're saying that a veteran is one that per. This is why we have veterans who are only a few and twenty years old, and we have veterans from World War II, but they are per year. the definition of veterans – that is the most important thing. So there's different ways to recognize. Of course, we have the economics. Fixing matters for people who have worn out, and who may have legal issues, is an important way of recognising. And of course, giving honors and distinctions is also an important part of what the government is working on, and we're going to work on.
ParlaMint-NO_2009-06-08.ana.ud2315e2397	The council replied so well that I would like to continue the reasoning. I mentioned from the pulpit what happens when our sports heroes go out and come back: I know the defense is doing something, but I think you should think about something you can do to show recognition socially. I don't expect to get answers here and now, but I think it'll be a very wise act. You're going out, you're coming back: thank you, good luck! I mean, it's good folk in this country. I've been in other parts of my life doing it to volunteer rescue work. I have e.g. itself, as State Council in previous parts of my life, after a rescue operation had been at the 330-square, e.g. on the sun and heard what they had to say, for they had something to say. So that's thinking about the wise things that I would like to hear the further reasoning of the Council of State, and then I'm not going to take any more lines.
ParlaMint-NO_2009-06-08.ana.ud2315e2404	Some of this is done, but we can probably get better. I have no doubt that we can get better both at accepting soldiers when they come home, and at all the other things that are discussed in the message. I'm going to take Dørum's input with me and see what more we can do about it. It's clear to make this visible in the media, talk about the veterans, so people get to know this business and the big job that I'm incredibly proud that our soldiers are doing is an important part. But I'm going to take the tape with me and see how we can do even more stuff on the veterans when they get home.
ParlaMint-NO_2009-06-08.ana.ud2315e2411	Several have not asked for the word for a line.
ParlaMint-NO_2009-06-08.ana.ud2315e2414	Participation in foreign operations is an important and integral part of Norwegian security and defence policy, and it is a natural part of defence activities. All the women and men who have participated in and are out in such service have done and do an impressive job for the country and for the international community. The situation of veterans must be taken with the greatest seriousness — and on the part of Storting, we must listen in particular to the feedback from the veterans on working conditions and conditions after the end of service. During this great period, there has been a very strong search for the situation of the veterans, and I believe that we have gone a great step further in improving the conditions for our veterans. And I will also commend the Council of State for the many initiatives she has taken in this context. With the current big message, we are taking new steps to provide Norwegian personnel with the necessary training, follow-up and recognition for their efforts. With this, we also provide greater predictability and security for the personnel and their relatives. I saw the hearing as very positive. And after what I can remember, there was only one hearing body that thought that the message should be sent back to the Government for some reason. So here I and the representative Sahl probably have a different opinion. As politicians, we must also contribute through our decisions to a greater understanding in all parts of society of the special mission it is to do such service, and of the needs associated with follow-up in retrospect. Therefore, good cooperation on these issues across the social sectors is also required in order to maintain these personnel. Soldiers often look back on the service as an important experience, but risks and strong experiences can also be very deep. Therefore, these people are entitled to a good follow-up both during and after the end of their ministry. Here, the very best offers must be offered, and I would also like to highlight the Viking Centre in Troms as a good offer for those who need such assistance afterwards. I feel very grateful for the efforts made by these personnel, and I believe that we must constantly have a keen eye for improvements and measures that are necessary to give these people the best possible service and existence as a veteran.
ParlaMint-NO_2009-06-08.ana.ud2315e2429	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2009-06-08.ana.ud2315e2432	For many years – especially in recent years – I have had many conversations with and enquiries from participants in foreign operations, often called veterans, and thereby gained an understanding of the problems, both large and small, they often get. Some suffer tendon damage of varying nature and extent. These may come immediately, or if, for example: 10 years. The reason I say this is to explain that neither a staging message nor an odelsting proposition can be made to satisfy all the many girls and boys – until this matter is too big and not least complicated. But it's to believe and wish that it's a bit on the way, maybe a big piece, to help those who were willing to sacrifice everything – and some life itself – to believe in peace. It's important that those who leave are the best fit for it. It is important that training before travelling is sufficient and good enough. It is important that the service down there is adapted to what they traveled to do. It is important that they have equipment, such as: adequate safety equipment, e.g. Armoured cars, are in the right number and good enough. It is important that they are demolished to a large extent when they come back – and not least thanks. It is important that the number of periods at home is enough — not one by one, as some specialists experience, or one by three, which is quite common, but the desirable thing is one by five. Finally, it is important that after-sales protection is in place, with all that it entails, with respect to, for example: health and economics. I would also like to commend all those who should be praised for the fact that the war disabled home at Kongswinger is again a place where veterans can meet. Such gathering sites are very important — and far more important than most people think. Otherwise, I would like to thank all those who were just willing to sacrifice their lives in the service of peace. Your efforts are very respectful.
ParlaMint-NO_2009-06-08.ana.ud2315e2443	Several have not asked for the floor on case No. 6th@item: inlistbox [[See page 3425]]
ParlaMint-NO_2009-06-08.ana.ud2315e2460	At the request of the Foreign Affairs Committee, the President will propose that the maximum speaking time for speeches by the main speakers from each party group and members of the Government be set at 10 minutes and for other speakers at 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to five lines with replies after contributions from members of the Government. – It shall be deemed to have been adopted.
ParlaMint-NO_2009-06-08.ana.ud2315e2467	St.meld by the Government. No 13 for 2008-2009 on development policy raises many important issues. As the rapporteur for the Committee's position, I am pleased to be able to conclude that here in the Grand Duchy again we have the power to create important, agreed conclusions on most of the major issues, although they are also these. Development assistance is only one part of our interface with developing countries. In order to create a more coherent and comprehensive Norwegian development policy, changes are needed in other policy areas, so that they strongly support the objectives of development policy. Therefore, it is politically important when the entire Committee is united in stating that the premise for closer links between development and foreign policy should be more consistent with the objectives of the Norwegian development policy, which are poverty reduction and the promotion of human rights. It is essential that aid policy be geared to developing needs of developing countries and that it is not made a tool to promote the interests of industrialised countries. Globalisation is increasing the need to finance global assets, such as international security, operating financial systems, a stable climate, security against epidemics, etc. We need a new category of international statistics, so that nations can make their contribution to funding international actions to secure global benefits. It is positive that the Government launches that idea. The Committee goes further. Norway can go ahead and set an example for others in this area. A Joint Committee therefore asks the Government to consider setting up a dedicated budget area for the financing of global common funds, other than the aid budget. The Committee further points out that what is to be covered by the aid budget is actions which have the primary objective of developing poor countries, while actions which have global common resources as their primary objective are to be financed from other budgets. Where the main objective is not development assistance to poor countries, this shall not be financed. Evaluation has shown clear weaknesses in development cooperation. It is our duty to improve the assistance. In order not to exceed the capacity of the assistance manager, the entire Committee considers that a large-scale and long-term bilateral cooperation from state to state should concentrate on fewer countries than is currently the case. There is an international trend towards failure of long-term, inadequate fulfilment of assistance commitments, and rapid shifts in focus and assistance facilities are being made by donor countries. To this end, the Committee clarifies that development cooperation should be based on long-term, professionalism and the needs and assumptions of the recipient countries. The main message mentions far more areas than before as sectors where Norway has valuable experience and competence for use in development cooperation. That's good. But we must always remember that it is the needs of developing countries that must decide on the choice of response. The assistance must be recipient-oriented, non-gender-oriented. The UN's Millennium Goals are the leaders of Norwegian development policy. These objectives were jointly adopted by developing countries and developed countries at the turn of the millennium, and commit to us in particular during the period we are now in the mid-term, i.e. until 2015. To this end, the Committee unanimously confirms that aid for the implementation of the Millennium Development Goals, not least in the field of health and education, should be given priority in Norwegian development cooperation. As is well known, Norway has taken on a special responsibility for contributing to the health-related thousand-year targets. We're still going to follow that up. It is good that the Government regularly flag this offensively, both in Norway and internationally. A particularly important and new clarification is made by the entire Committee. It is that the share of Norwegian education aid should now be increased. This is also new in relation to the big picture and an important policy direction for the years to come. The fight against climate change is a global shared responsibility, but the developed countries have a particular historical responsibility and the largest financial and technological resources to tackle the problems. Industrialised countries must therefore go ahead and demonstrate that environmentally friendly economic growth is possible. Also u-country needs clean energy. It can be achieved by hydropower in some places, but we also need to invest more in solar energy and wind power. Conservation of natural forests is a cost-effective way to avoid emissions of CO2. The whole Committee shares that view and stresses the requirement for third party confirmation or verification. It is necessary to avoid so-called carbon leakage by stopping at most one location leading only to increased at most elsewhere. The 2007 UN Climate Action Plan requires the increased funding of climate action to be ‘new and additional’. If the OECD countries now invest the funding of climate action within the development aid budget framework, climate action will be at the expense of the fight against poverty. It may make it difficult to bring developing countries into a new climate agreement. War and conflict create humanitarian crises and sustain poverty. Economic growth and development seem to be anti-war. In Afghanistan, Sudan and the Middle East, military forces are not enough to create security and stability. A comprehensive approach through assistance and policy is needed to create a better and safer future. Many major acts have allowed their geopolitical interests and military foreign exposures to become dominant also for large parts of civil development assistance. Norway and other like-minded countries, on the other hand, have placed greater emphasis on poverty orientation in the aid facility. Norway has been given the credit for this, and I am pleased with the cross-political agreement to continue this line. We have long used a number of instruments to influence large capital flows, so that developing countries can reap greater benefits from international trade and get more private investment so that growth and employment can be created. It is a strong signal when, from an ethical point of view, the entire Committee considers it appropriate to establish a new investment fund outside the assistance budget, based on a limited proportion of the funds of the State pension fund – abroad. The government is asked to assess this further. Another option, which is now being discussed at full international level, is to create new sources of financing for development by introducing small international levies on selected economic activities. It is demanding to have international impact on this, and it could be exciting to hear Norway continue to work on it in the future, if the Council of State could comment on it. Following the intervention of Aktion deletes the unindebtedness and the youth organisation Changemaker, a unanimous committee calls for a Norwegian debt audit to look for illegitimate debt that should be erased and strengthen the rules for responsible lending. I would like to thank all the fractions of the Foreign Affairs Committee for their cooperation and many more good, coherent formulations and guidelines for policy in this area. This is important for a field where Norway has high ambitions, but where good anchoring is important in Stortinget. Finally, on behalf of the Christian People's Party, I would like to briefly highlight five points, which we consider particularly important. Firstly, the average of increasing the share of Norwegian aid in education aid is a battle cause for us. Now a new trend is being announced. We value that highly. Secondly, the inter-politicisation of increasing Norwegian support for agricultural development and food security is important. This we believe will also make the fight against poverty more effective. Thirdly, the demarcation between development aid and the financing of global goods is, in principle, very important. Fourthly, the fact that new climate measures should be really new and so-called additional to development assistance is a principle that it is important to ensure in the years to come. And last, fifthly, I would like to point out that the Christian People's Party – together with the Progress Party and the Left – has its own proposal where the Stortinget asks the Government to set up its own investment fund for poor developing countries. It is necessary, not least now, to counteract the negative effects of the financial crisis on many of the world's poorest countries. In accordance with this, I address the proposal from the minority, which is notified in the setting.
ParlaMint-NO_2009-06-08.ana.ud2315e2537	The representative Dagfinn Højbråten has taken up the proposal he referred to.
