ParlaMint-NO_2009-12-16.ana.ud811e26	The representative, Rigmor Andersen Eide, will present a proposal for a representative.
ParlaMint-NO_2009-12-16.ana.ud811e1085	I have the following questions: ‘After the Government’s decision to introduce a biodiesel tax, we have seen that the industry expresses great concern about demand and profitability in the future. Right wants to contribute to more climate-friendly and neutral transport. Will the Government contribute by imposing requirements for all new taxis, ferries, buses, scheduled boats, diesel trains, municipal, county and state vehicles to run on emission-free or climate-neutral fuels within a given deadline?’»
ParlaMint-NO_2009-12-16.ana.ud811e1094	The government's climate change objective is to reduce current and emerging greenhouse gas emissions by between 2,5 and 4 million tonnes of CO2 equivalent in the transport sector compared to expected developments. The government uses a wide range of tools to achieve the climate target, including: a large-scale railway investment, increase access to the pay-as-you-go system for better public transport and less use of cars in cities, and various measures to stimulate the rapid phasing-in of low- and zero-emission vehicles, including: the charging system, social security schemes and means of research. Demand for biofuels is sustained by a strong and targeted agent, i.e. by sales. Norway has introduced a sales mandate for biofuels of 2,5 % by volume of road fuel. The government will send a proposal to step up the requirement, first to 3.5 pst. as fast as possible in 2010, and then to 5 pst. as soon as the biofuel yield criterion is well developed, if possible on 1 January 2011. The turnover requirement is a targeted measure that ensures a monthly demand for biofuels in Norway. The biofuels industry will also ensure a high level of biofuel demand through its renewable directive. Substitution of fossil fuels by biofuels will be an important contributor to achieving the EU's renewable target for the transport sector. In general, the State should be reluctant to impose cost-requiring requirements on public transport. Public transport competes with passenger cars, and the Government is busy ensuring a high level of competition in public transport. Requirements for zero-emission and zero-emission fuels entail substantial additional costs for both taxis, ferries, buses, scheduled boats, etc. In line with the established distribution of responsibilities between the administrative levels of my Government, county authorities make the best assessment of what is the best use of a given resource increase – more environmentally friendly buses, speedboats and taxis, or more departures, lower fares, etc.
ParlaMint-NO_2009-12-16.ana.ud811e1108	Thanks for the answer. I want to go a little bit further around the logic of this. Today, negotiations in Copenhagen are entering the final phase, and many are pessimistic about the outcome. Our own prime minister chooses to use private aircraft instead of traveling collectively on scheduled flights. Talk about the power of the example! Don't tell me that you don't really have ambitions on your own behalf, but still refer to the purchase of allowances from our unique wallet. With the Right's proposal, which we are discussing here, we could contribute to less pollution through concrete measures that really operationalize the celebrations of the Government. Does the Council not see this important point of also implementing measures at home that can contribute to lower emissions also here?
ParlaMint-NO_2009-12-16.ana.ud811e1117	The Prime Minister's journey, to which reference was made, I shall not go into anything, except to say that when one is going to enter the demanding negotiations, it is uncertain what time they will end – it may be late in the evening, in the middle of the night, or they may be going for longer than planned. The fact that the Prime Minister has the opportunity to also return to the demanding tasks in his home country, I think, makes sense. He also buys climate allowances for his flights. When it comes to the question, otherwise, I'm open to all the good suggestions. We want from the Government's side to participate in discussions with the opposition about what is the best way to get a carbon-neutral society, which is the goal ahead of time. We have done a lot in this area, not least in the transport sector, and more will happen. So we take along good input from both the representative here today and others in the further work.
ParlaMint-NO_2009-12-16.ana.ud811e1124	The last thing sounded a little uplifting, then. With the government's slightly clumsy handling, with all due respect, of the biodiesel tax freshly in memory, I would nevertheless like to raise an important point in this context. Yesterday several of us had an exciting meeting with a company from Bergen, which is working on completing technology to produce 2nd generation bioethanol. It's a very exciting and promising project. They have little difficulty in financing for different reasons, but above all, they lack the political signals and decisions that can help increase demand for an important environmentally friendly fuel. Does the Council of State not see a context here, that we are actually facing a win-win situation by stimulating the use of more environmentally friendly fuels and by creating new businesses and new jobs?
ParlaMint-NO_2009-12-16.ana.ud811e1135	Just by having a marketing requirement, we will stimulate the demand for and use of biofuels. That is the whole purpose of the increase now being achieved by blending biofuels into ordinary fuels. But as I said before, I see that it is important to stimulate this further. In isolation, what we did with the current tax conversion will provide a better competitive situation for bioethanol compared to other types of biofuels. Looking isolated at this company as it was shown, it has actually got a better competitive base today than it had before this half charge was imposed from the New Year. But this is an important area to continue working on, not least in relation to 2nd generation biofuels, and we're going to keep working on it.
ParlaMint-NO_2009-12-16.ana.ud811e1144	This question, from Svein Harberg to the Minister for Transport, will be answered by the Minister for Local and Regional Affairs on behalf of the Minister for Transport.
ParlaMint-NO_2009-12-16.ana.ud811e1147	My question includes both the current and the previous Minister of Transport, so I live very well with the temporary worker today. The question is as follows: ‘E39 between Kristiansand and Stavanger is of poor standard and is highly accident-affected. The first step needed to put in place a new road between Søgne and Ålgård is to put in place a draft selection investigation. The predecessors of the state council have repeatedly confirmed that this was to be ordered, and the state council itself confirmed during the opening of a new tunnel at Farsund recently that this would be ordered immediately. After what I experience, this is not yet done. Will the Council of State ensure that such an order is sent before the end of the year?’
ParlaMint-NO_2009-12-16.ana.ud811e1156	The Ministry of Transport makes an overall assessment of which KS1 will be implemented as a basis for the next roll-out of the national transport plan. It will be worked for clarification as soon as possible in the new year of 2010. Then there will be a comprehensive letter of assignment to the Directorate of Roads. The implementation of KVU and KS1 for individual projects has already been clarified. These include the project that will be shown in the question. These projects will also be followed up in the general letter of assignment of the Directorate of Roads.
ParlaMint-NO_2009-12-16.ana.ud811e1163	I thank you for your answer. When I get that confirmation, I know that it starts to feel good. I must be allowed to say that it has been promised before, so I am even happier when this order has been sent, and I hope that happens immediately after the New Year. It is such that the work on trasé selection and any subsequent planning work takes a long time, and it is important to be in advance. One important aspect of this is that this uncertainty about things to happen in many contexts causes a developmental halt in municipalities. There has been a lot of interpretation about the lack of zeal after getting KVU in place. The question has been: can the lack of zeal be interpreted as a sign that here we have very good time because there is no money coming to these roads anyway?
ParlaMint-NO_2009-12-16.ana.ud811e1170	The last thing I have to say is an error interpretation. What will be given priority in the next period will be a matter where they start work now. It's not like this is a postponing. This is about an ordinary procedure where a letter of assignment is sent to the Swedish Road Administration at the Road Directorate, and they go through all the projects. It also includes, as I said, the project on E39 between Kristiansand and Stavanger and Søgne and Ålgård, which is particularly mentioned in this question. In addition, it is also announced that KVU will be launched on the E39 Aksdal–Bergen, including Hordfast, and on the E39 from Skei and northwards. What has been said in this field will be followed up. It is important that they have local confidence that one follows what one has said.
ParlaMint-NO_2009-12-16.ana.ud811e1175	I thank you for that clarification. Then we're going to deal with that interpretation and make sure that we follow it up, along with the Government, so that's where we're going to hang. Another thing about these concept selection studies is that the management teams have been very different in structure around. It has been from the fact that the county councils have been in the driver's seat, to the fact that they have not been in at all. This creates some uncertainty around local districts. The county has tasks as a regional developer and has also become the major road manager. So the logic suggests that the management group for a concept selection study should be broadly composed. Does the Council of State feel that it is natural to include county councils and, where appropriate, municipalities in the management groups and, if so, will it take action to ensure that this is practice?
ParlaMint-NO_2009-12-16.ana.ud811e1182	As a regional developer, it is important that the county is involved and able to premise on local and regional processes. Then we're going to set up a process for this work that I, the Council of State, thought is hard to put forward. But on a general basis, I would say – and I know that I can also say on behalf of the government council, Meltveit Kleppa: I am busy – and for the entire government, we are busy – including the regional level in the regional processes. So on a general basis, I can at least say that it is important that we have the good interaction that I, as Minister of Transport, felt that I had with the county councils in the planning work. It is absolutely crucial that both the county and the municipality arrive at an early stage and be present and make their premises. I think it saves us too much conflict afterwards, and that we get faster and better processes.
ParlaMint-NO_2009-12-16.ana.ud811e1190	‘What reductions in greenhouse gas emissions can the red-green government refer to under the responsibility of the Minister of Health and Care since accession in 2005 and how do the Council of State assess these results in relation to Norway’s national greenhouse gas reduction target?’
ParlaMint-NO_2009-12-16.ana.ud811e1195	Thank you for your question. The health and care sectors must, in line with all other sectors of society, take responsibility for the climate challenge. The Climate Communication sets its own emission targets for four main sectors. No specific sectoral policy target has been set for greenhouse gas emissions from the health and care sectors. Nor does the Ministry have an active follow-up or overview of greenhouse gas emissions in our sector. However, the health and care sector should be responsible for reducing emissions, inter alia through: an active relationship with energy use, waste management and transport. This has been particularly followed up in the new hospital projects, for example: Akershu University Hospital, Aarhus, as well as have introduced new large-scale heating technologies, and this is an ambitious project in the European context. The Ministry of Health and Health is following up climate policy through the governance of regional health businesses. With a building mass of approx. 4 million m2 contribute to significant greenhouse gas emissions by health enterprises. Health enterprises are required to follow up Action Plan 2007–2010 for the Environment and Social Responsibility in Public Acquisitions. The plan shall contribute to the advance of the public as the responsible consumer and the demand for environmentally friendly goods and services. The specialist health service purchases equipment, consumables and services for more than 16 billion dollars a year. Thus, undertakings can contribute to a positive impact on producers and suppliers. In the last two years, the Ministry has called on regional health businesses to join forces to develop dialogue with suppliers in order to contribute to a good national climate policy. This includes the choice of products, production, packaging, transport and certification schemes. Regional health enterprises are required to identify environmental measures with a transfer value. They shall also investigate possible new climate measures in the specialist health service. From this year on, an environment and climate forum has been established in which all regional health businesses and health businesses are represented. They are working to find appropriate environmental and climate indicators suitable for reporting. Although the climate agreement was a major step forward for climate policy, the measures in the conciliation are unlikely to be sufficient to achieve the climate objectives. That is why the Government has set up the Climate Change 2020 trade group. There were already a few months after the 2008 climate agreement in Stortinget. The climate change report coming in February 2010 shall include the most comprehensive menu of new instruments and measures ever presented in Norway. The government will review the proposals in the Climate Action Programme carefully, and submit to the Storting an assessment of climate policy and the need for changed instruments.
ParlaMint-NO_2009-12-16.ana.ud811e1217	I thank you for your answer. As the Council of State says, the Ministry of Health and Welfare is responsible for a significant mass of buildings, including: all hospitals. The state council here explains, is very positive if all of these plans come up and stand. But I also understand that the Ministry of Health and Health has no specific goal of any active follow-up to the results, but that would have been desirable. I hope that the Council of State will come back to that, and that perhaps she could say a little about how she intends to follow up construction projects in the health and care sector after the climate agreement, which she herself was in for.
ParlaMint-NO_2009-12-16.ana.ud811e1224	As I said, you don't measure sectors, like the health and care sector, as a whole sector, but you try to go into areas, for example. transport, energy use, heating, etc. Follow-up to construction projects is of course important, but it is even more important to plan well to keep energy consumption as low as possible. We know that this is precisely where the good climate gains can come from, for example. oil fires for other types of heating, as has been done in many places. There's a lot of focus on this, of course primarily for the environment and the climate, but also for the sake of profitability. Just in this area, it pays to be environmentally friendly.
ParlaMint-NO_2009-12-16.ana.ud811e1229	And in that context, it would be interesting to know what can actually be saved in the healthcare sector – a saving that can be used for more healthcare. The climate agreement states that: ‘Actual requirements for energy use and supply in public works projects shall be laid down. The requirements should, as far as practicable, be more stringent than the minimum requirements of the technical regulation’. The question will then be: Will the Council of State ensure that, with regard to the new building projects in the health and care sector, energy use requirements are more stringent than the general energy requirements of new buildings?
ParlaMint-NO_2009-12-16.ana.ud811e1239	It's very important to focus on what can be saved, precisely because this is a total building mass of 4 million m2. There's a lot of space, and it's clear that using energy in the most efficient way possible is important. In the case of new buildings, there are requirements for rehabilitation, which are also very important in this context, because new ways of using energy can be changed, while at the same time making it possible to streamline energy use, which is a very strong objective, both for climate reasons and for economic reasons.
ParlaMint-NO_2009-12-16.ana.ud811e1252	My question to the Minister of Health and Welfare is: ‘Does the Government intend to submit proposals for the planned development of the overall drug-dependent service provision, in accordance with the model set out in the Road to Mental Health Plan?’
ParlaMint-NO_2009-12-16.ana.ud811e1259	Drug abuse is a serious social problem. The government’s drug policy aims to reduce the negative consequences of drug use both for individuals and for society. The action plan for the drug field, which ends in 2010, is based on the fact that the whole drug field is to be seen in the context and anchored in the Government’s overall policy. The plan lays down, among other things: emphasis on increased user involvement and obligatory interaction between levels and between professional groups. Efforts in the drug field have been significantly strengthened through the escalation plan we have now had for four years, ending next year. The appropriations have been increased by 835 million. kr during the period, and according to the Health Directorate, almost all the 150 measures in the plan will be implemented by the end of 2010. Nevertheless, we must recognise that there are still many unsolved tasks both in the municipalities and in the specialist health service, and there is a need to strengthen and develop services, while increasing efforts for public health and prevention. In response to this, the cooperation reform must be dealt with in the Stortingen Spring. The reform shows that it is important to develop the provision of services to people with drug problems as part of the regular provision of health and care. A key challenge here is to establish good patient patterns, so that drug addicts feel that there is a link in the services they receive. This will affect both municipal and specialist health services. The government has asked the government to propose a stronger commitment to overall drug treatment and follow-up from June this year, and I will consider following up the plan with a new long-term strategy that looks at the challenges in the field of drugs. I will continue to work on which form can be the most appropriate for such a strategy. We have gained important experience through the escalating plan for the drug field. Next year is the last year. Experience shall be summarised and used as a basis for further development of the field. The government has reduced a public sample, the Stoltenberg Committee, which will propose how the most needy drug addicts can get better help. The development of the drug field must also be seen in the context of the Government’s efforts to prevent poverty, the efforts to reduce homelessness and mental health. The government’s drug policy is based on cross-departmental cooperation and cross-border cooperation. Norway’s wide international involvement in the field of alcohol and drugs also contributes to the prevention of drug problems in Norway. The government will invite you to a broad and inclusive process. We will strengthen the dialogue with the municipalities through the Municipal Councils and cooperate with the specialist health services, the county councillors and other stakeholders. Organisations for users and relatives and other voluntary and public bodies will of course also be important in this work.
ParlaMint-NO_2009-12-16.ana.ud811e1278	In the answer, the Minister of Health said that she would assess how she would follow up the plan that had been. But in Prop. 1 S from the Ministry of Health and Welfare on the State Budget for 2010 the Government writes on page 112: «Based on Stortinget's treatment of St.meld. No 47 [[2008-2009]] My question to the Council of State is: does that mean that what one of the proposals on landfills says that one should come along, that is, a proposal, has now become an ‘estimate’ to make a proposal?
ParlaMint-NO_2009-12-16.ana.ud811e1288	I can calm down that we're going to come back. The question is more what form the proposal should take, i.e. what form this strategy should take. That is what has not yet been decided on. But we're going to come back. We see the need for that. But it is also important, in the last year of the escalation plan, to look at the measures that have been taken. There are, after all, quite a number of measures. We have to look at what has worked, and what has not worked, before we add up to the new strategy. Then we'll come back to the Storing with what form this is going to take.
ParlaMint-NO_2009-12-16.ana.ud811e1295	This new plan — or what it may become — is linked to the St.meld. No 47 for 2008-2009 on the Cooperation Reform. I have to ask the Council of State: what is the main reason why this matter is so closely linked to the Cooperation Reform? Does this mean that the Government plans to change the distribution of responsibilities in the area of drug treatment, which is currently between the community health service and the specialist health service?
ParlaMint-NO_2009-12-16.ana.ud811e1300	Now this message is in Stortinget. Of course, the specialist health service should still do its job. What is important, however, in the context of the Interaction Reform, is to achieve a better patient life, not to be allowed to stay between different stages of patient treatment or handling, as has been the case. It is clear that drug users, who are a large group and need a lot of healthcare, will be very important in this context. Then there is one responsibility that is changed to the extent in the Cooperation Reform, if it is adopted in the form proposed by the Government. It is that there is a greater responsibility for the municipalities to take care of the health of the inhabitants, i.e. to have responsibility for following the different races.
ParlaMint-NO_2009-12-16.ana.ud811e1307	We're now dealing with question 4.
ParlaMint-NO_2009-12-16.ana.ud811e1313	This question, from the representative Peter Skovholt Gitmark to the Minister of Defence, will be answered by the Minister of Justice on behalf of the Minister of Defence.
ParlaMint-NO_2009-12-16.ana.ud811e1316	I have the following questions to the Council of State: ‘How has the development of greenhouse gas emissions been within the responsibility of the Minister of Defence since the accession of the Red-Green Government in 2005, how does the Council of State assess these results in relation to Norway’s national greenhouse gas reduction target and how can the Defence contribute to reducing greenhouse gas emissions in the future?’
ParlaMint-NO_2009-12-16.ana.ud811e1323	On behalf of the Minister of Defence, I will answer this important question. Climate challenges have a high focus in the defence sector. Reducing greenhouse gas emissions in the defence sector is a challenge, while maintaining operational capacity. Important contributions are to reduce the use of energy and to apply renewable energy sources in buildings and installations. With the support of Enova, two projects were launched in defence in 2006, one on energy management and one Enok project. The objective is an annual reduction in the energy consumption of the building mass of 90 gigawatt hours, GWh, as well as conversion from fossil-energy heating to 75 GWh CO2 neutral energy sources. The programme focuses on communication, information, motivation and training. Measures to replace heating centres based on fossil energy sources are implemented by heat pump and bio-fuel technologies. Such conversion measures entail a reduction in greenhouse gas emissions related to heating of more than 60 pst. The defense's facilities at Rena, Setermoen and Elverum – these are places I know very well – get heat based on bioenergy or district heating. These are very important bioenergy projects, at least the ones I know at Rena and Elverum. The main sources of climate emissions are aircraft and vessels. During the last period, the government decided to rebuild the North Cape class craft of the Coast Guard to reduce emissions of nitrogen oxides by 30 pst. The conversion also results in 5 pst. reduction of CO2 emissions. Otherwise, the Coast Guard's three new gas-powered vessels in the Barents Sea class are in delivery. Vessels will have 25 pst. lower CO2 emissions than equivalent diesel-powered vessels. In addition, the continued increased use of simulator training, which would otherwise use a vehicle, vessel or aircraft, provides a clear climate benefit – a major benefit to be reaped, among others. at the training centre of Rena. All acquisitions of new materials, goods and services shall be subject to environmental requirements, including energy efficiency, energy consumption and emissions. The emission requirements for the acquisition of vehicles not used for defence-specific activities will be strengthened from 2010. The level of activity of defence in Norway and participation in foreign operations will be crucial for the overall environmental impact of the sector. As part of improving the environmental performance, the Ministry of Defence will issue environmental guidelines with effect from 1 January 2010. Following the adoption of the Climate Change Agreement in the United Kingdom in 2008, the Government set up the Climate Change Group in 2020. The Climate Action Report, which is now produced by the State Pollution Control Authority and other departments, will show how Norway will be able to achieve the climate objectives of reducing emissions by 15 to 17 million tonnes of CO2 equivalent compared to the reference path as presented in the 2007 national budget. After Climate Change, the Government will therefore present to the Storting an assessment of climate policy and the need for changed instruments.
ParlaMint-NO_2009-12-16.ana.ud811e1354	I thank you for your answer. As the Council of State is not the relevant Council of State, I refrain from further follow-up.
ParlaMint-NO_2009-12-16.ana.ud811e1364	This question, from the representative Arve Kambe to the Minister for the Environment and Development, will be answered by the Minister for Justice on behalf of the Minister for the Environment and Development.
ParlaMint-NO_2009-12-16.ana.ud811e1367	It is nice that the Minister of Justice should answer questions about the beach zone, especially when he is from Gjøvik! I allow myself to ask the following questions: ‘Many coastal municipalities, individuals and businesses have protested in the context of proposals for government planning guidelines for differentiated coastal zone management. Before the regulation is finally adopted, it is reported that different states practice interpretations of naust, quays and docks differently. In nested areas no berths or berths shall be allowed in front of the naus. Will the Council of State follow the hearings of the coastal municipalities of the West asking for more flexible interpretation and more local self-government?’
ParlaMint-NO_2009-12-16.ana.ud811e1378	This is a matter that has topicality in addition to the Ministry of the Environment. As a lawyer and lawyer, I know well the law and the disputes that come into the wake of it. I am a seaman from the interior, from Elverum, and there are limited cases from there, but there are nevertheless important national interests to balance against the local maritime administration in these kinds of cases. Local maritime governance is important, but it is also important to take into account overall interests and the environment, including in relation to the coastal zone. The ban on construction in the 100 meter belt along the sea is continued in the new plan section of the Planning and Building Act, which is in force from 1 July this year. The 100 meter belt has national interest. In this context, it shall not be permitted to develop inappropriately at the expense of the general interest, such as outdoor life, biodiversity, landscapes and cultural memories. Under the new law, municipalities retain responsibility for planning. Members of the population shall assist the municipalities in their work and take care of national concerns, including: The beach zone. In the context of the entry into force of the new law, the Minister for the Environment, at the hearing, sent a proposal for government planning guidelines for differentiated management of the beach area. The aim of the guidelines is to avoid adverse developments in the coastal zone, while taking into account differences in coastal conditions. Different guidelines have therefore been proposed for key areas where land pressure is high and for areas with less land pressure. Where there's less pressure, there's a little more room to facilitate expansion. This development must be clarified through municipal planning. The bit-by-bit development that takes place through the dispensation today is no use – it really undermines the entire legislation. The municipality's own population is not worthy of that either. This also applies to brews and nests. The proposal for guidelines has waited enough to trigger a very strong commitment, and that's very good. The basic commitment could help to actually get well-functioning and good rules in this area. The Ministry of the Environment has received approx. 135 Opinions. They have received opinions from many municipalities in the West, also from municipalities in Rogaland. The proposal is now being examined on the basis of what has been included in the consultation. The guidelines shall be adopted by the King before they can be put into effect, which the Minister for the Environment expects to take place in the new year. But it is necessary to return to the weight and value of the concrete evaluations and hearings when this comes about.
ParlaMint-NO_2009-12-16.ana.ud811e1395	The response of many along the coast is as follows: new state guidelines are perfectly appropriate for municipalities to deal with. What is not right, as very many municipalities, builders and landowners have protested out loud, is that 14 out of 26 municipalities in Rogaland are proposed with the strictest conditions, i.e. in line with the areas around Oslofjorden. Those who have taken the journey to the nature of the West know that there is obviously a solid difference. As far as Hordaland is concerned, there is an even greater difference. It is a major violation of developments in the West to which the Government here submits. So it's like the statesmen before the regulation is made, they're already in free dressage – I'm almost going to call it – and they're doing their own interpretations of the regulations. Among other things, the rivets in Hordaland have a maximum limit of 40 m2, while in Rogaland it is 30 m2. How will the Council of State contribute to the effective conduct of a consistent liberal practice by the Government?
ParlaMint-NO_2009-12-16.ana.ud811e1408	To the extent that you sketch this as an assault, at least the assault is not executed, since we are now in the process of hearing. The representative, Mr Kambe, is now using a good opportunity to exercise further pressure in relation to a number of points of view. And if you want a more liberal and predictable practice, it's a political stance. I think the two considerations that the Minister of the Environment and the Government have emphasised in this are absolutely crucial, and sometimes they are contradictory: that one wants the beach zone to be available to most of us, and not to be built down by those who have a lot of money, must be a good one. At the same time you want to see differentiated on it. Hearing recordings will help us to get more predictability, and not least to have a rational use of the beach zone — just seeing differences in the coastal zones around Norway and wanting to be flexible in relation to it. I believe that the course that the Government has just set up is not an attack, but actually creates a sustainable policy.
ParlaMint-NO_2009-12-16.ana.ud811e1417	So the statesmen have already started the intensification with the basis of the new planning and building law before the new regulation comes. The County Environmental Protection Officer of Hordaland says that in the near future no construction will be allowed. In other words, a nerve that logically is built to have a boat inside, will not be allowed in the future to have a berth, a bridge or a floating bridge outside of it, because it is one for significant intervention in the beach zone. What is then the next question is: The governments Stoltenberg and Jagland have previously introduced Brustadbua. Is there now «Solheimboden» to be introduced, with strict regulation throughout the coast of Norway and complete limitation for future naust?
ParlaMint-NO_2009-12-16.ana.ud811e1424	This is a policy to ensure people's access to very important parts of Norway. I hope that debate will move at a different level than you get the characteristics, so let that questioner now launch. I believe that large sections of the population are very concerned about this issue — ensuring access to some of the most beautiful areas in Norway and also having opportunities for active recreation. So you make proposals for a regulation and now work with guidelines to help make the rules flexible, so that you take into account that there are some areas where you can allow some more construction. The overall perspective I have to say is very positive, and I think the people also understand why this is done.
ParlaMint-NO_2009-12-16.ana.ud811e1434	This question, from Siri A. Meling to the Minister for the Environment and Development, will be answered by the Minister for Justice on behalf of the Minister for the Environment and Development.
ParlaMint-NO_2009-12-16.ana.ud811e1437	I have the following questions for the Minister for the Environment and Development: ‘What reductions in greenhouse gas emissions can the Council of State refer to since the accession of the Government of Stoltenberg II in 2005 and how do the Council of State assess these results in relation to Norway’s national greenhouse gas reduction target?’
ParlaMint-NO_2009-12-16.ana.ud811e1444	I will therefore answer this very important question on behalf of the Minister for the Environment – and the Minister for the Environment has a valid maturity today. For the big, big grip on greenhouse gas emissions, we're waiting to hear about from Copenhagen, and that's where he is. There is reason to thank for many good issues about climate in the United Kingdom today, mainly because of the wide-ranging responsibility – making all sectors responsible. I had really expected as Minister of Justice to also get questions about what we're doing in the police and in the prisons when it comes to this. Despite increased petroleum production, despite increased prosperity and therefore increased transport activity, and despite population growth, the total Norwegian greenhouse gas emissions are not higher now than in 1999. The opposition is sometimes trying to draw a picture of emissions rising year by year, but figures from the Central Statistical Agency and the State Pollution Control Office show that emissions were 53.8 million tonnes of CO2 equivalent in 1999 and that they were actually also 53.8 million tonnes in 2008. Some claim that the Norwegian climate policy has not worked. Some time ago, the Ministry of Environment produced a report to the United Nations Convention on Climate Change, which showed that emissions in 2010 would actually be about 10 million tonnes lower than they could be, precisely because we have an active climate policy. I believe, however, that we must all agree that emissions would be much lower than they are today. According to the Intergovernmental Panel on Climate Change, global emissions growth must turn back by 2015 if we are to avoid dangerous climate change. And in the climate agreement between the red-green government and the Right, the Christian People's Party and the Left, there is a consensus that Norway will become a low-carbon society. During the review of the Climate Change Communication, it was agreed that by 2020 it is realistic to reduce emissions in Norway by 15-17 million tonnes of CO2 equivalent compared to the reference path as presented in the 2007 national budget — when forests are included. In line with the principle of sectoral responsibility in environmental protection policy, the Climate Communication set its own emission targets for four main sectors. The government is continuously following up the climate agreement. However, the challenge is not that the climate agreement is not adequately followed up. The challenge is that although the climate agreement was a major step forward for climate policy, the measures in the conciliation are probably not enough in relation to our climate objectives. Therefore, the government is constantly looking for ways to extend the climate toolkit. Therefore, the Government set up the Climate Change 2020 trade group, which has been heard by the Stortinget from the respective sectors several times today. It was reduced only a few months after the adoption of the climate agreement at Stortinget in 2008. In February, the Climate Action Report, which is now produced by the SFT and other agencies, will provide the most comprehensive menu of new instruments and measures ever presented in Norway. The Klimakur report will show how Norway can achieve the climate objectives. Following the presentation of a climate change policy in February, the Government will carefully consider the various proposals and submit to the Stortinget an assessment of climate policy and the needs for changing instruments.
ParlaMint-NO_2009-12-16.ana.ud811e1467	I thank you for your answer. I fully understand that the Minister for the Environment and Development is today in Copenhagen and not here to answer questions. There is a lot of work to be done in Copenhagen, but there is also a need for a grip at home. We have discussed this earlier today with regard to the incineration tax on waste, which leads to waste from Norway crossing the border with Sweden for incineration there. I appreciate the fact that the Minister of Justice has missed asking questions about his own sector, so I use the opportunity in my follow-up questions to ask what the Minister of Justice is doing in his own area to improve the climate.
ParlaMint-NO_2009-12-16.ana.ud811e1474	Thank you very much. With respect to reporting: I think it is very good to ask the specialist councils, and not just the Environment Minister, about this. Because if we're going to achieve the national goal, both private and public, we're totally dependent on the public, and we're professionally responsible, going ahead. It is the same process that has been chosen for both the police and the prison, and when we build new houses of property – as outlined by other government councils, and also by me on behalf of other state councils today – to look at opportunities to get to, among other things. reducing energy use and finding other types of energy that are more environmentally friendly. What we are particularly concerned about are the large buildings we have, especially the prison buildings – to ensure that they can be operated gradually in a way that makes it possible, among other things, to operate. uses bioenergy to reduce emissions. We also have a vehicle – which we can't reach now.
ParlaMint-NO_2009-12-16.ana.ud811e1483	We have to expect that there will be some measures to be taken at home in the wake of the Copenhagen meeting, and there was a playback from top business leaders in the week that went by. They were committed to ensuring Norway the same climate rules as its competitors. We're also very concerned about that in the right. So my question to the Council of State is whether the Government also wants to ensure a level playing field in climate regulations for our industry and our business.
ParlaMint-NO_2009-12-16.ana.ud811e1488	This is, of course, a topic which has both an economic policy aspect, an international aspect and, to a certain extent, an environmental policy aspect, so I have to be careful, as it is not exactly my core areas. We realize that part of our challenges lies here, in ensuring that business has sustainability and framework conditions that are competitive, and at the same time, as I perceive the questioner is very committed to, that Norway does not actually fail to lead the way at home as a good example. It's probably about finding a balance. I believe that that balance point can be particularly exciting in those areas where we see that we can gain competitive advantage because we take environmental considerations – I understand that the Minister of Industry has also replied to it in Stortinget today – that we can actually beat two flies in one taste: having the best framework conditions and at the same time the best environmental policy.
ParlaMint-NO_2009-12-16.ana.ud811e1498	I have a very brief question to the Council of State: ‘The Trondheim police will notify employers of those who are taken for the purchase of sex. Is this form of public humiliation in line with the Council of State’s legal position and will the Council of State permit the employer to be withdrawn?’
ParlaMint-NO_2009-12-16.ana.ud811e1507	Thank you very much for your question. It's very good that I get the question here, because then I get an opportunity to tell you a little bit more about what we actually mean when we've commented on it out in the media. I am not a follower of public humiliation and a general warning to all employers, no matter what kind of criminal offences you are being charged with. The main principle of alerting and alerting is probably enshrined in the police's obligation of professional secrecy. It is an obligation that initially prevents criminal information from being made available to individuals, regardless of who they are, including employers of persons under investigation. In some cases, however, the police are required to assess whether certain facts should be reported. If a public official is intended for a criminal offence of such a nature as to be likely to have consequences for his or her position as an official, the police shall inform his or her nearest officer — equivalently if a person engaged in the activities of a public authority is intended for an act likely to affect his or her authorisation. It can be done, for example. be the case in part of the problems we have seen in the taxi industry. In many cases the competent public authority must be informed. Police are also required to assess whether information is to be made available to non-public bodies where it is necessary to prevent infringements. Careful and concrete assessment is required before such information is provided. I do not currently see the need to regulate this area more closely with new guidelines, and that would allow for such a warning in general, whether it concerns sex buyers or others, which you can get the impression that has been the case, when you read the newspapers. It is then clear that the police cannot routinely notify employers of employees who are being fined for the purchase of sexual services. It'll only be in more specific cases this will be correct. The new ban on the purchase of sexual services challenges the police in many ways. The challenges are precisely to assess the cases in which notification can and should be made when persons in different professions are targeted at violating the prohibition. The ban was introduced, inter alia: as an action to combat trafficking in human beings in Norway. South-Trundellag police districts have shown on a number of occasions that, in close cooperation with the State Attorney's Office, they have been able to grasp this complex type of case. They have done a very good job – and it is all the way back to the time of the previous government. That's very good. It's been, I was saying, the pilot, the primus engine. In-depth investigations have been carried out with good results. The district has developed good understanding and competence in the prostitution markets in the district. It is therefore not surprising that this police district is now taking an interest in the prostitution client group and is investigating whether notifications to the employer are necessary in certain cases. I have been informed that Sør-Trøndelag police district has so far not sent a message to any employer that employees have been taken for the purchase of sexual services, but I feel sure that the day you do it, if any, the decision will be in accordance with the applicable legislation in this area.
