ParlaMint-NO_2009-11-18.ana.ud553e26	The representative, Hans Olav Syversen, will put forward a proposal for a representative.
ParlaMint-NO_2009-11-18.ana.ud553e936	I have to repeat, of course, that it is the oil and energy minister who is responsible for this policy area. But, of course, all the essential arguments in this case must be put forward before a final decision is taken, in order to balance the benefits and disadvantages of the different options. The fact that there is very significant local resistance or involvement in such matters, I think we all understand. It has been said that the greatest demonstration in Oslo's history, possibly with the exception of demonstrations against the Iraq war and in the EU struggle, was against power lines through Nordmarka. So it was in 1946, a year after World War II. One would think, from the history books, that the Norwegian population was occupied with completely different things than power lines then. As similar commitment as it was in Oslo in 1946, it is fully understandable that it is in many Western towns associated with these.
ParlaMint-NO_2009-11-18.ana.ud553e944	The question goes to the Minister for the Environment and Development: ‘As is known, high expectations for the presence of propelling oil/gas deposits outside the Lofoten are present. A clarification of possible start-up and search drilling is pending until the management plan for the Lofoten and the Barents Sea are dealt with. At the same time, there is an application process under UNESCO status for the Lofoten area of the Directorate for Nature Management, despite the lack of wish to do so from municipalities in the area, fearing that this will prevent the desired oil operations. What will the Council of State do in the matter?’
ParlaMint-NO_2009-11-18.ana.ud553e953	The Ministry of the Environment started work on the possible nomination of the Lofoten area for the UNESCO World Heritage List on the basis of initiatives and policy decisions in five out of six municipalities in the Lofoten area in 2004. On 30 March 2005, the Directorate for Nature Management was entrusted with the task of preparing the nomination/application for the Ministry of the Environment, a work that is very extensive due to the requirements of UNESCO and the international community for documentation, justification and comparative analysis. The work was started after the start-up meeting of 22 August 2005 with the government council Knut Arild Hareide, of the Bondevik II Government. In September of that year, the sixth and last municipality, Vågan, decided to support the nomination. I even attended various meetings with the Lofoten municipalities on the occasion of the case. The application was intended to be completed by the Norwegian side in December of this year. The Directorate for Nature Management had therefore come very far in this work when the Council of Lofot expressed its desire in its decision to wait with the nomination until the management plan for the Barents Sea and the sea areas outside the Lofot in September this year. The decision of the Council of Ministers shall be notified to the Ministry of the Environment. However, it was not considered an effective use of resources and competences to complete a major nomination work just before it was completed. The Directorate for Nature Management was therefore informed by letter of 2 November this year to complete the nomination/application in accordance with the original timetable as far as it can be done within the limits and limits set by the decision of the Council of Lofot. The Directorate for Nature Management has been asked to conclude cooperation with external professional institutions and to clarify the transmission of application material developed during the project period. The best basis for assessing the documentation and analyses generated by the nomination process in the context of the work on the management plan will then be available. If the relevant municipalities of the Lofot Council change their policy decisions, the Ministry will reconsider whether it is relevant to continue to nominate the Lofotene region at that time. Therefore, the contradiction between the nomination process and the work on the management plan indicated in the question does not exist. I therefore see no need to take initiatives beyond what is described, in order to be able to handle the two processes in the context in a good way.
ParlaMint-NO_2009-11-18.ana.ud553e966	I thank you for your answer. It seems strange when the Council of Lofot is sceptical about the implementation of the application, in the fear that this may restrict the possible withdrawal of oil and gas deposits. This is based on experience in other parts of the world, where the sites have gained world heritage status, and a strong limitation of local and national self-government rights is experienced. This applies to restrictions relative to industry, which are not permitted in a UNESCO World Heritage Site, for example: before fishing, shipping, power generation and oil and gas operations. What will be done to eliminate the overall impact of a secular heritage status, so that the municipalities of Lofoten who are subject to it will be given an overview of the significance of such a status for current and future commercial activity in the area before an application is sent?
ParlaMint-NO_2009-11-18.ana.ud553e973	From my contact with the Lofoten municipalities and their rapporteurs, I have a completely different impression than what is conveyed by the questioner here. There is an impression of municipalities that were significantly enthusiastic about a world heritage nomination, and that they wanted it to happen, and also municipalities that want all the benefits of a world heritage nomination, when it is to be balanced against the various oil-related issues and other issues that come with the management plan. So I don't see that you want a postponement, like lack of enthusiasm or lack of understanding about the meaning of the World Heritage Nomination, on the contrary, but it's natural that you want, before you take a stand on behalf of your people, to have all the cards on the table at the same time. It is a balance that the Lofoten municipalities and the seventh and last Stortinget must re-examine the world heritage nomination and the many tourist opportunities that lie in Lofoten versus the importance of oil activities.
ParlaMint-NO_2009-11-18.ana.ud553e980	I see the decision taken in the individual municipalities plus the Council of Lofot, as a signal that one is uncertain as to whether such an application process of becoming a World Heritage Site can lock future conclusions. It's the scepticism of these municipalities and the Lofot Council. So the minister doesn't share these views?
ParlaMint-NO_2009-11-18.ana.ud553e985	My impression is that there are divided opinions in Lofoten, as elsewhere in Norway, related to any oil drilling. The representatives of our two parties in the different local government in Lofoten have a very different view of this. The same applies to a number of other lots. There are simply different opinions in Lofoten on the question. The fact that Lofoten’s rapporteurs do what leaders normally do in such a situation, namely wanting all the facts on the table – all the different things you have to weigh up against each other – before taking a final position, I consider that quite natural and something democratic leaders do very often and naturally. Finally, you have to weigh this against each other. It will only be an advantage for the process that all the work on the nomination has come as far as it can, so that you do not lose unnecessary time if we were to decide to send an application, and so that you have all the consequences – and I would say all the enormous benefits of such a world heritage nomination – on the table when you take a final position.
ParlaMint-NO_2009-11-18.ana.ud553e994	I have a question I would like to ask to our competent state council that is linked to gay asylum seekers: ‘If an Iranian homosexual seeks asylum in Norway, the foreign authorities will assume that he will be able to live up to his sexual orientation if this occurs within the socio-cultural framework in force in Iran. The framework for what is socially accepted in relation to gay life is very limited and associated with possible criminal reactions in Iran. In practice, Norwegian foreign authorities require that the homosexual conceals his or her orientation. Does the Council of State consider that it is an acceptable requirement to apply to a gay asylum seeker?’
ParlaMint-NO_2009-11-18.ana.ud553e1003	First of all, I would like to remind you that it is the Foreign Affairs Directorate, UDI, and the Foreign Affairs Department, UNE, who is dealing with individual matters under the Foreign Affairs Act. I do not have the authority to influence UDI's and UNE's handling of individual cases and the outcome of these, but here it is to the extent that a general rug forms the basis for a price-priced question. Nevertheless, it is important for me to stress that anyone seeking asylum in Norway, who has a need for protection under our obligations under international law, gets the protection they require – and they should. Norwegian practice is such that lesbians and homosexuals who are at risk of persecution could be covered by the Refugee Convention and thus receive asylum. There is always a concrete and individual assessment of whether an asylum seeker is at risk of an infringement on return to his home Member State, which indicates that he is entitled to protection in Norway. This assessment refers to the individual situation and circumstances of the applicant in the country from which the applicant comes. The Ministry of Labour and Inclusion has developed specific guidelines on gender issues in relation to the refugee assessment. The guidelines shall contribute to a holistic approach. They concern both women and men and are relevant to lesbian, gay, bisexual and transhumance. So to the practice of foreign administrations for gay asylum seekers from Iran. I am aware that in Iran there are restrictions on the expansion of public space, both for heterophilic and homosexual. Forcing someone to act contrary to deep-sensed opinions could be persecution, but it has to be assessed specifically in each case. In principle, persons must be expected to adapt to some extent their behaviour, clothing, etc. to the social and cultural codes in force in the country in question, without defining this as persecution, even if we should never disapprove of it so much, both for heterophiles and for homosexuals. It is therefore necessary to assess the extent to which restrictions restrict the individual's life-exploitation and the danger to which he is exposed by breaking such restrictions that he/she cannot reasonably be expected to adapt. It is clear from the Director of Foreign Affairs' practical note on Iran that the UDI suggests that a gay person will be able to live out his sexual orientation if this occurs within the socio-cultural framework of the Iranian society. Consequently, UDI assumes that homofiles are not subject to persecution on a general basis in Iran. The decisive question will be whether the applicant will be in a particularly vulnerable return position on an individual basis. I am confident that the assessments and decisions made by UDI and UNE in these cases are in accordance with the applicable laws and conventions. I am also aware that the foreign agencies are closely following the situation for gays in Iran.
ParlaMint-NO_2009-11-18.ana.ud553e1016	I interpret parts of the Council's response in such a way that it must be expected that a gay asylum seeker will have to deal with the socio-cultural norms in his home country. In practice, in countries such as Iran and Iraq — and at best — it means getting married to a heterosexual marriage because the big family and society will expect this. Does the Council of State not see that this will be perceived as a highly integrity-enhancing process? Another question that can also be asked is why it is acceptable to put this requirement to a gay asylum seeker, while never finding the same thing to do with a political refugee.
ParlaMint-NO_2009-11-18.ana.ud553e1021	I just have to refer to my answer. This, however, shows a good part of the dilemmas in the need to pursue a consistent asylum policy and the criteria underlying it for being able to stay in Norway. There will be many circumstances in other countries that we do not like, as we dislike, and that we do not support, but that will not be qualifying on the basis of the criteria that provide the basis for residence in Norway – that is quite clear – without saying that we support this kind of situation. So I just have to show that here the Norwegian foreign authorities make qualified and good judgements on each individual case, and whether it is sufficient to reach the strong and reasonably strict criteria that are needed to be able to stay here in Norway.
ParlaMint-NO_2009-11-18.ana.ud553e1026	Thanks for the answer. During the central government, a review of current Norwegian practice of the refugee definition in Article 1a of the 1951 Convention was carried out with the aim of softening practices. It was clarified that a person with gay orientation is initially entitled to asylum if the person risks being persecuted by returning to his home country by taking the consequences of his or her orientation. And with effect from 15 January 1998, the central government launched the guidelines for new asylum criteria. The need to clarify the need for protection of this specific group was seen. This group is also vulnerable while staying in Norway, and some also have to live in hiding here. We've seen serious reports of hatred against homosexuals, and I know that the Minister of Justice has taken the lead in combating this persecution. Nevertheless, will the Council of State review practices in relation to homofilation and consider mitigating the requirement for protection?
ParlaMint-NO_2009-11-18.ana.ud553e1031	First, I'm very happy to have this question, because I think it's a very important question – it points to the dilemmas of the whole administration. We will follow the practice that UDI and UNE have in relation to those who are struggling with the type of situation that the queryer points out. I also expressed that in my answer. There's a basis for doing that. And that's a particular reason because we see that in many countries – including in our own country – there is a hatred for especially younger people who have a different sexual orientation from what most of us might have. It's totally unacceptable. We have to meet that on many teams. There are many of these situations to be discussed when compared to the definitions that apply to stay. But that we should focus on it and follow practice, it should be allowed to ask.
ParlaMint-NO_2009-11-18.ana.ud553e1039	From the representative Anders B. Werp to the Minister for Justice: ‘There is considerable and valuable work to be done in criminal matters. How will the Council of State contribute to increasing research on the impact of housing in Norwegian prisons, with special emphasis on what can reduce relapses?’
ParlaMint-NO_2009-11-18.ana.ud553e1047	This question lapses, as the questioner is not present.
ParlaMint-NO_2009-11-18.ana.ud553e1053	‘Buys of new life-saving helicopters are continuously deferred and are marked by disagreement between the relevant floors. Will the Council of State at the Office of the Prime Minister ensure coordination of this process?’
ParlaMint-NO_2009-11-18.ana.ud553e1058	I am not the Council of State at the Prime Minister's office, but I have been transferred this question to me, and I am happy to respond to it. I would like to say to the representative, at the outset, Höie, that this is a comprehensive process, and I would like to stress that I do not see this process being slowed down by ‘disunity between the relevant levels’. But there's a lot in this process that takes time, it's quite obvious. The acquisition to which the representative Höie refers is a very comprehensive process that will have an impact over the next 30 to 40 years. New rescue helicopters will lead to a significant upgrade of the Norwegian rescue helicopter service and have ring-effects against many different actors and stakeholders throughout the overall rescue service. Life-saving helicopters are highly advanced and expensive non- shelf tools and therefore require a comprehensive pre-acquisition assessment. In my opinion, there has been little in relation to rescue helicopters in the period 2001-2005, when the Right was in government, and after the presentation of the paper on rescue helicopter service in the future. However, from 2005 to 2009, an accomplice has been established at all bases and a new base has been opened in Florø. In addition, it was decided not to use the option for the NH90 and the acquisition project was started. It was, in my opinion, a prerequisite for us to get this whole process going, and that's important. I recognise that preparing the reason for the acquisition of new helicopters has taken longer than we had foreseen. This has its causes in different circumstances, but after the Stoltenberg II government launched a new acquisition process in 2007, after, for example, the having assessed the NH90 option variant, the Ministry of Justice has worked closely on the decision-making basis for the acquisition. This process has been initiated by Innst. S. No 156 for 2001-2002 by the Justice Committee and the signals presented here, as well as subsequent budgetary positions on progress. Since it is important that the investigation work prior to the external quality assurance is carried out without limitations other than that of the defence to be the operator, the process has become more extensive than previously planned. Because this is a significant acquisition also in an economic sense, with costs of a total of several billion kroner, I, as the responsible state council, am concerned that we are acquiring the right helicopter capacity, and that the process is being carried out in a proper manner. For this reason, we will also have an external quality assurance of the choices made before a decision is taken. As I said at the outset, I do not remember in the representative's description that the process is marked by "disagreement between the relevant departments", and will not accept the assumption of the question in this way. In such a comprehensive process with significant economic consequences, it is natural for many organisations to be heard — and will be heard from. There are many functions to be filled through a rescue helicopter, and therefore many interests will also emerge along the way. It is therefore a prerequisite that all needs are brought to the surface and assessed with a view to ensuring that the material acquired is, overall, the most appropriate for the task. The acquisition is carried out under the direction of the Ministry of Justice. Both the Ministry of Health and Welfare and the Ministry of Defence are represented in the project, and the process appears to be orderly and inclusive for all parties. When new rescue helicopters can finally be in place, it is too early to establish, as there are many factors that may still affect the process. However, I have guarantees from the Minister of Defence and the supplier that today's Sea King rescue helicopters can be operated towards 2020, but we are therefore working to replace them before that time. Let me finally say that this government is concerned that we are going to have a good rescue helicopter service. As the responsible State Council, I will follow up on what we stress in the government's political platform to safeguard the security of the population by continuing the efforts of the rescue services and rescue helicopters. The need to replace today's helicopters seems clear, and I am working to ensure that new rescue helicopters are quickly put in place. I would also like to point out that the commitment made to the rescue helicopter service through the establishment of bystander at all bases, as well as the establishment of a new base in Florø, together with the acquisition of new rescue helicopters and the project that is now in progress and well underway, constitute very important parts of the Government's commitment to improving this service and creating security for the population.
ParlaMint-NO_2009-11-18.ana.ud553e1089	The background to this question being asked what Stortinget believed to be a coordinating minister at one time was the need to ensure a process that met the different needs of new rescue helicopters. I disagree with the history that the Minister of Justice is bringing here. Among other things, it was this government's cancellation of the option agreement in relation to the repurchase of the NH90 that is one of the main reasons why one now does not know when one may have new rescue helicopters. However, the background to the question is, among other things: also that, not least from the health team, serious concerns have been raised as to whether the considerations that are in fact most prominent in relation to the use of today’s rescue helicopters are adequately addressed in this process. How is the needs of health authorities met in the new process?
ParlaMint-NO_2009-11-18.ana.ud553e1098	On the one hand you want a quick clarification, on the other hand you want everyone to be heard. It just shows some of the challenges we have in this project. I would like to underline once again that I perceive it so that there is good dialogue between the stakeholders. But there are different perceptions of how you want the future rescue helicopters to be. That's why it's so important that you take time with the quality assurance regime you work under, so that you don't make a big investment without identifying what you actually need, and what we think you should have done before you go to buy it. I believe that the procurement project that is under way has good dialogue with the departments concerned, that it is precisely the wishes and objectives of the rescue helicopter service, and that the project is just ensuring not only health, but also the interests of other actors in the project.
ParlaMint-NO_2009-11-18.ana.ud553e1105	The Council of State today, in the same way as he said in the interpellation debate on the May issue, says that one has been assured that today’s rescue helicopters may be operational until 2020. But can the Council of State assure the Government that today's rescue helicopters are not on the ground in situations where there is an urgent need for rescue helicopters, because it takes a very long time to put in place missing spare parts, and that there will not be an increasing problem by 2020?
ParlaMint-NO_2009-11-18.ana.ud553e1110	I can assure you of three things in relation to the rescue helicopter service. The first is that we should continue the great effort we have had in the rescue helicopter service since the Stoltenberg government joined, with the development of bases, security and medical facilities. It's really been a quality promise, unlike what we experienced with the former government. The second is that we're going to run a procurement project where we're going to work thoroughly, but as quickly as possible, so that we get this in place, because we see that we need new helicopters – obviously. The third is that there is considerable money spent on the maintenance of the Sea King machines. I'm going to assure the representative, Höie, that we're going to do what we can to avoid the maintenance challenges we have with the Sea King machines hitting the security people are going to expect from the rescue helicopter service.
ParlaMint-NO_2009-11-18.ana.ud553e1122	The question goes to the Minister of Justice: ‘The prison capacity in the Kristiansand region is so poor that custody prisoners are released against the will of the police and justice, or placed in hotels. Policemen go out in the media with their frustrations. It is a deterrent to both police and judicial authorities, and is dangerous to the justice of the rest of the population. Disposal of prisoners for custody only is unacceptable. What action will the Council of State take actively to create more closed zones and custody sites in the region?’
ParlaMint-NO_2009-11-18.ana.ud553e1131	It is true that we have considerable pressure in prisons in Norway. It's not just about the Kristiansand region, it's really about all over the country, maybe with the exception of North Norway. As a result of the police doing an unusually good job a day – many have been taken – there is a pressure in relation to the care situation. As a result, the use of care has increased significantly in the last few months, both nationally and in the South-West Region of Criminal Protection, which includes the Agderfylken and Rogaland. This year, there have been an average of 780 prisoners in prisons. In the last few weeks, the number has increased to over 800 care inmates, and I have been informed in the last few days that the number is supposed to have reached more than 900. The increase is due, inter alia, to: increasing the number of insertions of foreign nationals. It is common for care requirements to vary during the year and for the use of goods to increase during the harvest. Crime and police have experience in managing fluctuations in needs and finding solutions to space needs. In a situation where there is a lack of space, criminal services are a priority in providing police custody facilities. As Minister of Justice, I am pleased that the Government's efforts in the justice sector are delivering results. The budgets of the police are increasing and new instruments used by DNA as an effective tool for resolving several crimes. The most important thing here is that the reconciliation queue is now considered to be removed, in line with the government's promise in the Soria Moria Declaration. Removal of the reconciliation queue – there were 3 000 pending sentences, we had very few seats four to five years ago – has contributed to the release of police resources for police operations. The recent increase in custody may include, inter alia: is seen in the light of increased police force, and this has led to a shortage of custody sites in several places in the country. In the south-west region, the number of custody prisoners has increased by about 36 pst. from August 2009 to November 2009. That's a lot. The police districts and the regional office of criminal services have close dialogues to find solutions to the situation. However, it is not right that custody officers should be placed in hotels, as the representative claims. The government, by removing the pay queue, has improved the capacity of custody prisons. In the long term, it is an objective to reduce capacity utilisation down to 90 pst. in prison. This will release premises for custody in the Kristiansand region and elsewhere in the country. The current situation is expected to be demanding until the prison is completed by 251 places in 2010. Hopefully you'll also be able to notice this all over the country. Increased capacity as a result of Halden prison will help to ease pressure on custody sites nationally. The Ministry of Justice follows closely the situation of custody and assesses ongoing measures to increase the capacity for custody until the Halden prison is completed. In order to increase custody capacity, it is planned to speed up the start of parts of Halden Prison than previously planned, by opening 20 posts in February 2010 and opening another 36 posts in March 2010, before opening prison in April 2010. The plaques will be used for care. In addition, other measures to rapidly increase detention capacity are being considered, including: temporary extension of capacity in existing prisons and other measures to release capacity for custody. Increased use of open cushions and electronic control helps to release enclosed areas for custody. Prisons with a lower level of security may also in some cases be used for custody within the limits and restrictions imposed by the court or the prosecution authority.
ParlaMint-NO_2009-11-18.ana.ud553e1146	The situation in the Kristiansand region is, as I said, precarious. Much of what the Minister of Justice said sounds reasonable; I agree with that, and let me thank you for the answer. Now, however, we have situations where the custody prisoner sits in the hotel. The media reports on this, so I ask the Minister of Justice to get involved. Another very important thing is that 60 pst. the prison capacity in the South is now used for custody prisoners. That's a lot, but that's not enough. I would also like to point out that it is unreasonable resource use to escort custody prisoners to e.g.. The iron for them to be there for a few days, and then escort them back to Kristiansand, with considerable seizures of police resources and time. Does the Minister of Justice think this is a sensible use of prison officers and police officers?
ParlaMint-NO_2009-11-18.ana.ud553e1155	I don't think using prison officers that makes sense, so I fully agree with the questioner. That is why we have increased prison capacity so significantly in recent years. When you open Halden prison next year – that is, a prison with 250 places, it is a significant national lift – you can place them as sons of long judges, among others. there and ensure that places are freed in the districts of custody, so that we avoid this transport. As far as the Kristiansand area is concerned, it's an area that I've given a lot of attention to, first of all, because I think that criminal services are doing a very good job in that district. That is the background for us, among other things. has opened prison in Evje. It's also one of the areas where we've chosen to bet on building down the reconciliation queue. It is clear that it also contributes to the creation of several custody sites in the closed prisons, among others. Prison in Kristiansand. Opening a transitional residence at Grim in Kristiansand is also a factor in facilitating pressure. The efforts of free care in the Kristiansand area also contribute to this. That's what we can actually do immediately. I am aware that there has been a long wish for a closed prison in the Kristiansand area, but that is something that may have to come very far in time. It takes a long time to build, and it will not solve today's care situation. I think the important thing now is that we get a quick start on Halden prison and get those who often sit with long judges transferred. It can relieve the burden on the districts and, inter alia: The Agderregion. And then I believe in the long term, once we've brought down the reconciliation queue, that we're going to notice that we're getting more seats for custody.
ParlaMint-NO_2009-11-18.ana.ud553e1164	It is true that planning closed sites in the South does not provide a short-term solution. Nevertheless, I would warn against believing that Halden Prison will resolve the situation in South Africa significantly. I don't think that's going to happen. Otherwise, we are familiar with the fact that the creation of several open spaces — home soning, so-called electronic shelter — is on a strong footing in Norway. But it solves to a small extent, or not at all, the problem of missing custody sites. Does the Minister of Justice agree with that assessment, and is that not an argument for not building more closed custody sites?
ParlaMint-NO_2009-11-18.ana.ud553e1171	I don't agree with that. I believe that the alternative forms of compensation are just helping to get more places of custody. Over half of those in Norwegian prisons today are sentenced to under 60 days. Most of them are for winning crimes, and many of them have been struggling with drug problems for many years. So they account for more than half of the prison clientele. When we can meet them with other types of reactions than putting them in a closed ward, for example. treatment, e.g. § 12 zoning, e.g. on-tampen-off-soning, home-soning when you have the opportunity to start work and education, gives it more prison places for other purposes. That's why it's so important that we focus on it, because we can do it quite quickly – much faster than building big, new central prison institutions. Prisons have taken almost 20 years to get in place and cost 1.4 billion kroner. I think looking to it and creating good responses to the big big clients who are in Norwegian prisons, and who should really be able to get other criminal reactions, makes sense in many directions.
ParlaMint-NO_2009-11-18.ana.ud553e1179	I allow myself to ask the following questions to the Minister of Justice: ‘The police officer in Haugaland and Sunnhordland have reduced police preparedness in, among others. Sauda and Suldal at night caused problems in recruiting police in this part of the district and the opportunities offered by new working time arrangements for the organisation of police work. This appears in an article series in the Haugesunds Avis 6 and 7 November 2009. What will the Council of State do to ensure that there is sufficient staffing in the county offices of the county of Norway?’
ParlaMint-NO_2009-11-18.ana.ud553e1188	First of all, I want to tell the representative, Kambe, that I am happy that he asks the question. One of the most important things I can do is to clarify that you haven't dropped the police alert, because it can create a lot of uncertainty out there. Changing one of these situations doesn't mean that you've dropped the police alert. I have submitted the question to the Police Directorate, which informs that police preparedness in no part of the police district has been closed at any time of the day. That's what I think the representative of Kambe will take him home to his district and tell him. The manning situation at Sauda and Suldal County, as well as the Etne and Vindafjord County of Länsmann, made it impossible to cover the whole day with crews from these holdings. It's important. From 5 October to 16 November, it was therefore necessary to cover police preparedness in this area with crew from other police district holdings. In view of the recent recruitment of the holdings concerned and the new negotiations with the members of staff, new service lists have been drawn up from 16 November onwards. As a result, you have active service 24 hours a day. It's fine. Furthermore, the Police Directorate informs that the series of articles in Haugsunds Avis, to which the magnificent representative refers, describes a situation that has evolved over many years. The main problem in the county concerned has been the recruitment situation of police officers, as the representative Kambe is also involved. The police district has for many years taken several measures to recruit police officers and compensate for vacancies. This year, the police district, in cooperation with its staff, has put in place more durable and robust mechanisms to strengthen police preparedness throughout the police district. One of the measures has been better coordination of police-operational resources. There I think we have a lot to go on. It's not just about this district, it's about all over the country. The backup service as a standby mechanism has been phased out and on-going active patrol service has been introduced as a service form throughout the police district. It's important to notice. These are measures that balance and strengthen the provision of police services to the public and the ability of the police to achieve targets. The chief of police is responsible for the allocation of resources and services in the police district, and the chief of police assesses whether the allocated resources should be used for positions or deployed in other important areas to ensure a good police service throughout the police district. So it's the chief of police who disposes of the crew on the grounds of need and preparedness. The situation in the police has been a challenge for years, mainly because it has been trained for a few policemen. I've said that many times, and I think I have to repeat it many times as well. Therefore, the government has increased the admission to the Police College to 552 students in 2009. We increased it to 432 in 2007 and 2008, as I recall, and the representative is probably aware that in the 2010 budget, there is an admission of 720 students. This has never been so high in Norway. By comparison, 648 more police students have been admitted in the period 2006–09 than in the period 2002–2005, when the Right was in government. In addition, as mentioned in the record record, comes next year. We're doing this to follow up the crew plan, so we get more police officers out. In addition, the package of measures presented in January established 460 new civilian posts in the police force. That's what we're doing this year, so we can free police officers to do police work. We believe that we can release more than 280 policemen for this. Then I will also refer to the agreement that was concluded this summer. It helped to increase the working hours of many police officers by one hour. It involves an increase in resources, as this district has just noticed, which means that we can get active services around the clock. This means that until next year, the police budget will increase by a total of DKK 1.3 billion – the biggest promise ever made by the police. So we have to say to the Norwegian police that there is light at the end of the tunnel.
ParlaMint-NO_2009-11-18.ana.ud553e1210	I thank you for a thorough answer, which has some shortcomings anyway. The right starting point is that the police have to be present all over the country, including in District Norway. It is not only in this police district that bad search is reported, and that people end up in the police positions. Other state institutions, such as health enterprises, have quite good measures to stimulate, for example: doctors to actually take jobs in a district hospital. You don't have the same opportunities in the police. And that's what was at the heart of my question to the Minister of Justice: are you willing to actually add some big carrots, and not just buttons and gloss pictures, in a post to recruit police officers to District Norway on a general basis? That being said, I am fully aware that police preparedness throughout the district has been present. The problem has been, as the people of Saudi and Suldal have pointed out, that there has been no standby at night in Saudi and Suldal.
ParlaMint-NO_2009-11-18.ana.ud553e1219	I believe that the most important thing we can do to get more applicants for police posts across the whole country is to train police officers. The more police people we get, the easier it is to recruit in the districts as well. Then, of course, the districts have the opportunity to come up with incentives, which I've been up to in the answer, and which makes them feel that now we have a situation where it's much easier – and it'll be easier to do it in the future – to recruit than in the situation we experienced two to three years after the very low admissions that you had when the Right was in government. I have to say that I'm impressed by the high-rightness of this field, but not fully impressed by a recording at the police high school of 240 students in 2002, so you're now training three times more police officers. It is clear that it has contributed to the fact that it has been difficult to recruit police in recent years. I think that'll improve.
ParlaMint-NO_2009-11-18.ana.ud553e1233	It does not impress me that the Council of State remembers back to 2002. What's important is what's going on in 2010, 2011 and 2012. My supplementary question to the Council of State is: Do I see the Council of State right when he says that from November 16 – i.e. two days ago – there are actually present night guards who are awake, in Sauda and Suldal?Or does the Council of State think that the readiness provided by the police officer was actually close, defined as around Haugesund, Karmøy or Tysvær – at least an hour's drive from Sauda and Suldal? I need an explanation for that. Besides, since we're on the verge, the Right has a significant increase in the police force, at 158 million. kr, which is a significantly greater increase than the Minister of Justice has been able to achieve through his government. 140 million. of which it has been set aside for operation, which provides room for increased staffing in this police district too, preferably in small communities.
ParlaMint-NO_2009-11-18.ana.ud553e1244	I refer you to my answer regarding the district that the representative Kambe is asking about. I believe that it promises good for the districts on the question of preparedness. But I have to respectfully say that when it comes to increasing police budgets, we have never been close to such an increase as the Government has presented in recent years, not forgetting the last budget we have submitted, at NOK 1.3 billion. It's over 13 pst. growth. The budget has never been so large, even when the Right was in government. So I don't think it's anything to be ashamed of. With regard to the need we have to point to 2002 and 2003, it is, first of all, linked to the fact that it had Right-wing Responsibility, second, that it is consistent with 2004, 2005, 2006, 2007, 2008 and 2009. That's crucial. When one then picked up few high school police students, we get to take off now, when we're going to place police officers, whether they're in Saudi or elsewhere. The government has done something about this, and I am glad that the Right also supports the high recordings proposed by the Government.
ParlaMint-NO_2009-11-18.ana.ud553e1256	From the representative Elisabeth Røbekk Nørve to the Minister for Oil and Energy: ‘The supply situation of electricity in Central Norway has been strained in recent years, including: has led to the region being its own electricity price range. Rauma Energi has plans for upgrading Verma power plants in More and Romesdal that can increase the production of renewable energy in the region. Moving the input of the power station to Storhaugen could increase annual power generation from 70 to 150 GWh. Will the Council of State contribute to the realisation of Rauma Energia's plans for the upgrading of Verma power plants?»
ParlaMint-NO_2009-11-18.ana.ud553e1264	This question falls away.
ParlaMint-NO_2009-11-18.ana.ud553e1270	From the representative Henning Skumsvoll to the Minister for Oil and Energy: ‘Central Red-Green Politicians have expressed themselves very critical of Statoil. Socialist Left Party Inga Marte Thorkildsen stated on NRK News 18 that «Statoil is running a massive lobby campaign based on very dubious figures and facts, in order to push oil drilling in some of our most vulnerable and valuable natural areas [[...]] Do these statements reflect the political line of the Government?’
ParlaMint-NO_2009-11-18.ana.ud553e1278	This question lapses, as the questioner is ill.
ParlaMint-NO_2009-11-18.ana.ud553e1284	This question, from the representative of Terje Halleland to the Minister for Oil and Energy, will be answered by the Minister for Finance who directs him.
ParlaMint-NO_2009-11-18.ana.ud553e1287	I will ask the Minister for Finance the following questions: ‘Competitive framework conditions are important for Norwegian enterprises. The Progress Party believes that global environmental challenges need to be avoided at spe­cific fees/costs. The government, on the other hand, has boasted that they have introduced the world's most severe climate regime. However, in the election campaign Norsk Hydro expressed concern about the CO2 costs arising from climate policy. The Workers' Party's Tore Nordtun then claimed that the Government was working with schemes to reduce the burden on special Norwegian/European CO2 costs. Where does this work stand?’
