ParlaMint-NO_2009-12-04.ana.ud2465e53	The representative, Nikolai Astrup, will put forward a proposal for a representative.
ParlaMint-NO_2009-12-04.ana.ud2465e1081	Let me first thank the interpellant for raising an important question. It is entirely in line with what the Presidency has wanted for several years, namely that the current debates in society enter the main hall quickly, and that we can discuss political issues in a good way in the present. The interpellant asks the question: How and what can the Government do to strengthen the framework conditions for businesses and make jobs in the shipbuilding and supply industries safer? After many years of growth in world trade, record freight rates and strong increases in world fleets, shipping is now in crisis. Low freight rates, ship performance falls and low funding have triggered a demanding situation for shipping companies. Shipowners are reluctant to order new ships, while banks impose stricter requirements to finance new projects. Previous contracting means that a large number of ships will be placed on the market within one to two years. Despite some cancellations of new buildings and increased construction, we enter a period of overcapacity in most shipping markets. Together with a lower oil price level, this leads to very low order intake for the shipyards and offshore workshops. At the global level, the order for ships has fallen by about 90 pst. Lower yard activity both in Norway and abroad also has consequences for Norwegian equipment suppliers. The paradox is that while other industries may see the light in the tunnel and feel that they are on their way out of the financial crisis, this industry is on its way into it. In fact, due to long order horizons, 2009 will be a good year for most Norwegian shipyards, offshore workshops and the supplier industry. These industries are later affected by the financial crisis than several other industries. The order reserves allow most suppliers to maintain a high level of activity by 2009 and some by 2010. But from the fall of 2010, two thirds of the shipyards are standing without orders, and the larger offshore workshops are waiting for less than 40 pst. capacity utilisation. While the protected sector and parts of industry are experiencing new growth, these are now entering a very challenging market situation. Our task is to make sure that this actually becomes a tunnel with a light at the other end and not a shaft where you're in the dark for too long, long time to come. The situation is also serious for employment around the country. 40000 people work on the construction of ships and oil platforms. A significantly larger number are employed in total supplier enterprises. In 2007, the number of young people in the EU increased. 100000 employed in offshore supply industries. New shipbuilding yards, offshore workshops and equipment suppliers represent competence-based jobs across the coast, often in local communities with limited alternative employment opportunities. Many of the companies are world leaders in their segments. Lower activity can lead to a significant number of redundancies and high unemployment in many communities. It is of great importance to the small municipalities and communities as this framework, and where these are corner stone companies, but it also means that we risk losing critical competence – skills such as businesses and we need when markets return. The government has put in place various targeted initiatives involving massive measures to mitigate the impact of the turmoil in the financial market and the international economic situation. Our various packages within banks, in the field of construction, etc. should be well-known, but it is a fact that we are the country in Europe that best manages through the financial crisis, with the lowest unemployment. Yesterday, even the Central Statistical Office came out with new figures and said that we are not going to exceed 100,000 unemployed in the coming years – a figure that many thought we were going to pass at a good margin in 2009. This has been successful, it has been right, although there have been different signals from the opposition through the different phases of the crisis. The government has paid attention to contributing to building confidence in the capital market. This has been done through the banking packages and increased the framework of the Export Credit Guarantee Institute and Innovation Norway. The Government will facilitate a forward-looking and innovative business environment and a stable framework for the maritime sector. Therefore, the 2010 state budget is the largest ever in research. The government proposes to strengthen industry-related research with an increase of SEK 2.2 billion. Innovation in Norway’s various schemes will be reinforced by DKK 1.5 billion, while the innovation and low-risk loan frameworks will be set at 500 million, respectively. DKK and DKK 2.5 billion. There is a total increase of DKK 1.2 billion compared to the 2009 budget. My impression now is that it is not the public funding mechanisms that are the plug of the system. It is clear that when the order intake goes down by 90 p.m. globally, Norwegian yards and suppliers will also notice this. This is the most difficult thing for us to do, to replace these tasks is demanding. In the construction sector, we can start public construction projects, we can start transport projects, rehabilitating public buildings, etc. Here it's harder. Nevertheless, we also need to pay attention to the mission side, and there is the fact that the oil and gas sector is an important contributor to many of these companies. Having an attention to the fact that we have a continuity of development, that we avoid these high economic cycles under pressure in prices, which we have had, and which we risk getting back in a few years if we do not ensure a steady expansion – is also a political responsibility. Of course, the operators, the oil companies, themselves make decisions on their commercial basis about when and which projects are being expanded. But having a discussion about it and having a political attention to the fact that this has major societal implications, I believe is also a task for a Minister of Industry. To answer the interpellant’s question: this is not about us wanting operators to choose Norwegian companies over others that may be more competitive. It's just that you have a continuity, progress in the ready-to-use projects that stand there, and then Norwegian companies get to compete on equal terms with others. A few days ago, we were informed that Aker Solutions had won a major contract with British Petroleum on the Valhalla. So Norwegian companies are competitive, just the missions are coming. So it's like it's been a historical boom. 2009 seems to be the best year ever for many of these companies. Therefore, a certain slowdown of the market is quite natural. At the same time, it is important to ensure that staff affected by redundancies, lay-offs and redundancies are properly cared for. It is the conversion power of the Norwegian industry that is one of our foremost competitive advantages. The government has made it easier to allocate permits to several employees and for longer periods of time. We have introduced more flexible permitting rules so that more lay-offs are entitled to daily allowances. The maximum period of leave has also been changed, from 30 to 52 weeks. The number of days of pay obligation in the case of a leave of at least 40 pst. have been reduced from 10 to 5 days. We have also, in September this year, made it easier to obtain support for company internal training. The duration of the aid may also be extended from 13 weeks to 26 weeks in exceptional cases. This will strengthen skills and training opportunities, and thus also the ability to adapt in Norwegian enterprises and strengthen the staff affected by the recession. It is also important that we have an interest in new protectionism and unfair conditions of competition during this period of crisis, which was also the subject of the interpellant. We have to take care of ourselves, but we also have to deal with other countries. Trade agreements are an important instrument to reduce trade barriers, and one of the main priorities of this government will be to get good agreements, with China, which is priority number one, but also with other emerging economies, such as India and Russia. In addition, I have addressed the demanding situation of the current and continuing Commissioner for Competition in the EU, Commissioner Kroes, and expressed a concern about a development in which some countries develop schemes that could bring special advantages to their own shipping companies and shipyards, thereby making the competitive situation of Norwegian companies more difficult. I have also asked GIEK, Innovation Norway and Export Finance to record possible changes in existing instruments if there is increased flexibility to provide funding for the tasks that are actually there.
ParlaMint-NO_2009-12-04.ana.ud2465e1109	I thank the Council of State for the answer. I have to say it was an answer that surprised me a little, too often it is that when the government gets interpolated in the Storting, you think something quite different about the reasons as well as what the interpellant does. But I see very strongly that the Minister of Economic Affairs absolutely shares the situation description, that it is very serious. That's good – that's a good starting point. Then I hear the Council of State say – and that's quite right – that the industries we're talking about are sensuous, so they're coming after the financial crisis. That is precisely why, and that is what the Right has said, I believe that some of the measures that we have proposed in the past – it is going on depreciation, it goes on loan frameworks and guarantee schemes, in particular the loan framework – should have continued. But then it's also true, as the Minister of Industry says, that it's not just about public funding, it's also about private financing. It's not so good to dig out equity where equity no longer exists. But the ratio is that over the last four years, very many companies have been drained for equity through increased taxes on owners, and not only those who are going to finance purchases, but also those who are going to carry out production. That money they needed in the time we now go into. With regard to the management of the allocation, I perceive the Minister of Industry's response so that he has not intended to enter and govern neither Statoil nor other companies. I don't disagree with having a public debate about this, but I think you might be from a political point of view, at least from those who have the final responsibility in the departments, you have to be a little careful so you don't get misinterpreted about this. All in all, I'm so happy that we have a common understanding of the situation. I am also pleased with the last signal, which I have heard before, that we should look at the framework of GIEK and Export Finances. We are promoting such a proposal in the industry position, as a recommendation to the Government, and I hope that you will take a closer look at that. If we're lucky, maybe even the positions on the Stortinget get the opportunity to join it.
ParlaMint-NO_2009-12-04.ana.ud2465e1120	It is always an advantage for any political debate to have a common sense of reality, and I really think we have in this situation. This is worrying. It's something that's affecting the whole world. This is not a strange problem, it is a result of the financial crisis both on the financial side and not least on the way world trade has fallen dramatically, and that one now has an overcapacity for a good number of types of ships. It's important here that we set up everything we can. We're going to contribute to projects, we're going to contribute to good financial instruments, we're going to facilitate activity. At the same time, however, we must constantly stimulate the adaptability of the industry. No one, either businesses or businessmen, is served by trying to keep alive in companies that are not competitive now or in the future, or by building more ships of which there is already a great deal of overcapacity. We have to build what it needs, and what it needs. Then we have to change, use new technology, use new design and environmentally friendly solutions, etc., to be ready for the markets that are coming in the future. It is here that both the Norwegian supplier industry and Norwegian shipyards have a huge competitive advantage, namely that we are always innovative, ahead of us, develop new products and have a highly skilled workforce. It is particularly in this area that we should set up our main instruments. Our ability to convert, as I believe, among other things. has its background in the good social arrangements existing in the world of work and in the Norwegian society — the Norwegian model proves to be very strong in terms of job conversion — has contributed to the fact that we have actually had higher economic growth than the average in EU countries for a long time. So it looks like we're doing better through the financial crisis than most other countries. In the case of depreciation rules and the type of thing, they shall generally reflect the actual write-down of capital, i.e. there must be consistency between the facts in the accounting rules. Then we've also used this as an instrument in the financial crisis. But I think maybe we should be aware, at least in the future, in the months and years we get into, that the financial crisis goes from a stage in which the whole economy is affected, to a very different functioning in different industries, so that we are more industry-specific about the measures and instruments we use.
ParlaMint-NO_2009-12-04.ana.ud2465e1131	The autumn storms in 2008 were overshadowed by an international financial crisis. The whole world was hit, and many people around the world experienced losing their jobs. I am proud to belong to the Workers' Party, which conducts a responsible economic policy. When the financial crisis came over us, it was good to know that we have held back in good times and therefore had a robust economic situation. It enabled us to spend more money on stimulating activity and continuing high employment. The measures have gone to those who have been directly affected. The government has been aware of the effects and duration of the measures, and the measures have had a temporary duration for us to return to normal situations as soon as possible when the crisis is over. The opposition leaders Erna Solberg and Siv Jensen sang an inappropriate Christmas song last fall. The measures came too late and are too small, the strophes that went in rehearsal on all channels. It was almost amazing that they were so concerned that the government would come up with expensive measures, those who otherwise preach that the authorities should stay far away from the industries and let the market rule itself. For the Stoltenberg government, it was natural to intervene in a demanding situation from day one and contribute to an offensive effort to secure people's work. Fortunately, the situation today is that many are on the right track out of the financial crisis. But what's worrying is that the maritime industry is on its way right into it. It is difficult to predict when the market is resuming. It depends, among other things, on: the time when the world economy and the large investments are gradually beginning to recover. What we know is that the time we now go into, pain will be both industries, businesses and individuals. Our job politically is to maintain close contact with the people in these industries and provide policy instruments that can stimulate conversion in terms of competence, market, environment and product. On 26 January this year, the Government came with the package of measures, how many offensive measures were available. This has proved to be an incentive for many and more flexibility in the instrument, which has given us through a tough time, but still with low unemployment compared to the rest of Europe and the world. So the numbers are now at 2,6 pst, and they're proof of that. As a member of the Business Committee, I see it as an important task to contribute to finding solutions for the industries affected by the crisis. I believe that we have provided a good enough budget – at least we are going to deliver it quickly – but not too expansive, with the maritime industry's challenges related to the dollar and interest rates. In the budget, there is a continued offensive investment in GIEK and Export Finance, which has been a very important instrument for this industry. I am concerned that we are now going to make these arrangements more flexible in the future, given the contracts already entered into and that several actors can come under the arrangements. In addition, we shall further stimulate the development of skills through, inter alia: Innovation Norway’s system of occupational training, as the Council of State said. We continue to invest in research and development, and I am tempted to remind you that the Norwegian authorities, compared with other countries, contribute a lot to this effort. This industry is extremely concerned about being a horsehead in front. Every day they are not required to think about new things, not least environmental technologies. This industry is the largest sector of competence in Norway, and the horror scenario is that in times of recession, important and necessary skills may be lost in order to move forward. I therefore believe that there is every reason to continue to invest through Innovation Norway to stimulate empowerment. This is an important contribution to the recovery of businesses from the crisis, rather than the loss of skills that can contribute to new development in the time of the desert. Good interaction between industry and government is also important in the future in order to have a low level of unemployment in this industry.
ParlaMint-NO_2009-12-04.ana.ud2465e1150	In the years to come, Norway has to look after its economy in such a way that we have solid and growing industrial exports that complement what we serve to extract oil and gas. This is the only way to ensure value creation and well-being in Norway. Now we have to avoid ending up like Holland in the 1970s. The nation was ‘Dutch sick’. It turned out to be something quite different than a short-term, economic inconsistency. The Dutch sick person is a term that was apparently first used by the magazine The Economist, and the recognized British economic journal pointed out that gas exports from the Netherlands had imposed a currency value that greatly weakened the country's competitiveness. Imports increased, exports fell. With reduced gas exports as reserves fell, deindustrialisation became a result. In today's Norway, we see more and more signs that the Dutch sick person is a real threat to our economy too. We're spending more oil money today than ever before. Bureaucracies are growing, while high taxes are inhibiting private business. Twice as bad because of the experience that a strangely high interest rate affects future pay demands. We have seen through a number of headlines that we in the yard industry and the supplier industry will face significant challenges in the years to come. We know that within the yards is per. Today approx. 80 pst. of the agreement in the oil and gas sector. That is, you immediately enter the area into the Minister of Oil and Energy. We also know that the tax egy in relation to the base affects the rate of investment, also in the case of state-of-the-art city ships, plumbing, etc. Today, there is also considerable uncertainty about how the labour market and unemployment will develop in the future. According to NHO Quarterly Report No. 4 believes that a sum of registered unemployed persons in labour market measures will increase from today’s 95 000 to 120000 against the second half of 2010. We've seen this year that economic development is moving along two very different tracks. While the public sector and parts of home-based business are increasing in activity, market and cost uncertainties are high in export industries and currency-sensitive businesses. Competitiveness refers to moderate wage developments. In addition, there is little room for strange interest rate increases that can further strengthen the rate of interest. Business and politicians must therefore stand together to ensure activity and innovation in the district of Norway. There must not be a struggle to be the most effective in protecting areas and reducing CO2 emissions at the expense of our business. Rather, we need to work together to find good solutions that will ensure employment and activity in the years to come. The government has reinforced the problem for the shipbuilding industry by tightening down the depreciation rules and continuing to tax on wealth. The Progress Party will therefore ensure the framework conditions for the enterprises that provide the basis for further growth and predictability through lower taxes and simpler regulation, and not as the Government through tightening down the depreciation rules.
ParlaMint-NO_2009-12-04.ana.ud2465e1174	Minister of Industry and Trade Trond Giske and his predecessors, Sylvia Brustad, have been eager to visit the West during the financial crisis, and that is good. What people are now asking about is whether the responsible state council will follow up the interest he has shown through his visits, and actually contribute to saving jobs. The hopes of the Government have created with their frequent visits are at least great. At STX Europe's yard in Florø, formerly Aker Yards, which Trond Giske visited in October, 120 workers are now on leave. The seriousness of the situation is quite clear for an enterprise that has 230 added. The shipyard has only two construction assignments left. The next construction will be delivered at the beginning of November and the last in February/March 2010. The yard is a very important workplace in a municipality where the business community is entitled to export and thus vulnerable. There will be significant negative consequences for large parts of the coastal town industry if the yard is to be decommissioned. There are many similar challenges elsewhere. The financial crisis can be long-lasting for important parts of the Norwegian export-right industry, but it will pass. The decisive thing is how we meet the challenges created by the crisis, and manage the possibilities we have, before we can go back to better times. It is quite central that we do not miss the professional skills we have in addition around the yard, which will make it very difficult to get a new operation later. So what can we expect the Government and the Minister of Industry and Trade of the Labour Party to do? Firstly, there is a clear expectation that the Government will not be in favour of further weakening competitive business by pursuing a fiscal policy that weakens Norwegian competitiveness. The Norwegian competition force is weak every year under the red-green government, at the same time as the government has increased taxes for those who create the jobs. Unfortunately, there is reason to fear that the expansionary budget for 2010 will intensify developments. There are probably many people who feel that the yard and supplier industries in the West are being treated in a vote by the Government. When the Right put in government last, there was also a difficult time for the competitive industry, and we got interest rates down and the exchange rate stabilized. But that was a big thank-you. Many suggest that this government is unable or willing to take these. Secondly, experience since 2002, when interest rates were very high, shows that nutrition rights were important for business to venture again. Unfortunately, this government has gone counter-clockwise, by increasing taxes on private ownership, such as raising capital and threatening jobs. In the case of over-capital, the prospects for obtaining the necessary loans are poorer and the company is lost for capital that can be used to make investments that secure the company and the jobs in the future. Thirdly, the Government must do its utmost to facilitate innovation and investment in new technologies. Unfortunately, we have recently seen a clear example of how it should not be done in biodiesel cases. The government, with its wings around biodiesel, has created great uncertainty among Norwegian investors as to whether it can be trusted that the Government is standing by the bets and promises given. Here the new Minister of Industry must open his mouth and get a change of course! We also see that the Government imposes new taxes on important companies that threaten jobs in other industries. For example, the two red-green governments have increased the fees of Lerum by 60 million. kr in the last year. It's a lie, I can promise. The Norwegian economy needs a strong signal about which direction the government wants to go in important areas. This applies to export rights business, future green jobs and to suppliers to the socket. A good example of innovation is Måløy Verft in Nordfjord, which will build a special boat for windmills. The newly developed submersible catamaran is specially designed as a service and supply ship for offshore wind farms. Other examples include investments in renewable energy production, for example: windmills. One of the most important entrepreneurs in the exciting technology environment in Vågsøy is Gunnar Carlson. At a meeting with the State Council of Liv Signe Navarsete in September, he stated that the tax rules are destructive to this innovation work, and that the wealth tax is a direct threat to this type of job creation. It is in stark contrast to the tools presented by the red-green government. The oil industry also needs a new signal. It is important that we start planning in the north, and it is important for this industry that he gets clear signals, also in order to create jobs in the north. No one can counter the effects of financial crises on the yard and supplier industries. However, the Council of State has both the power and authority to improve the situation, through a tight fiscal policy that does not weaken competitively additional ones, through tax havens, and through safe and prudent framework conditions for investing in innovation.
ParlaMint-NO_2009-12-04.ana.ud2465e1204	It's a very important thing that the interpellant, the fleet, takes up, and that the whole nutrition committee has been busy for a while. The supplier industry and the shipbuilding industry face major challenges. In the short term, we're struggling with the aftermath of the financial crisis, but we also have a more long-term structural problem. The industry itself stresses that there is no simple grip. Also, it's not enough to talk about tax relief, according to the industry itself. We need to focus on a range of measures to meet both the short-term and the longer-term challenges. In the short term, access to capital is still a problem. The Government has demonstrated the power of action and the dual framework of the Export Credit Guarantee Institute. Now it's the banks that don't follow up. Today's Business has demonstrated that the supplier industry has problems getting bank finance for good projects, despite the fact that both GIEC and Export Finance are in place in the projects. The government is following developments closely to assess the need for new short-term measures. But I would like to point out that there is also a need for more long-term action. The supplier industry has been in a period of expansion and good order access, which is beyond what we can count on. If the industry is to maintain the level of activity and maintain the unique competence built up, it is absolutely necessary to have more bones on. And we need to become more independent from the oil sector alone. The International Energy Agency, the IEA, has presented the World Energy Outlook 2009 report. There is evidence that there will be huge investments in environmental technologies in the next few years. Many businesses are investing everything in this exciting market. The supplier industry in South Africa has launched the ‘Environmental Footprint’ project to deliver the world’s most energy-efficient and environmentally friendly equipment, and several of its suppliers are involved in the development of sea wind turbines. In the West – as previously mentioned here today – there is a commitment to developing special ships for sea wind turbines. The government is investing large sums to facilitate a gradual transition to the new, exciting market for environmental technologies. There are eight research centres for environmentally friendly energy, with an increase of up to 165 million in 2010. kr. The supplier industry both in the South and in the West is strongly involved in the strong efforts of the Government here as a result of the climate agreement. However, the main challenge for environmental technology conversion is cost-required product development and piloting. Therefore, in addition to research efforts and the established works in Enova and Innovation Norway, the Government has set up a new Eco-Tech Fund of 140 million. kr. This could start an important cooperation between industry and the Government on the development of environmental technologies. With the problems facing the industry, it is extremely important to enter the environmental technology market before it is too late or before the other nations have positioned themselves better than Norway. But this is a demanding market, it is a market that does not comply with all normal market laws, because it is largely publicly regulated. That is why it is particularly important, when we are going into the environmental technology market globally, which is very important, to have good cooperation between the public and private sectors. It is a commitment that we should be able to take the position in the environmental market that Norwegian business has absolute competence and capacity to handle. In Soria Moria II, the government has announced a review of the combined Norwegian business tools to assess how they can best contribute to the development of environmental technologies. Here we need good cooperation between the Government, between the majority and the opposition, and not least with the business community, to find out how we are currently using the pooling of resources as best we can to bring forward a new technology, which is what we are going to live on when the oil industry – as we now see – is not able to take responsibility for the employment in Norway alone. So I'll end with a little comment on the Progress Party, which is always talking about the Dutch sick. I think it might be time for us to introduce the topic of ‘FrP disease’ in the Norwegian business community. It's the disease we're going to have if we rely on just investing in oil-related industrial development and tax relief, and thus fail to raise ourselves to the future environmental technology market. Then we get a «FrP disease», which is worse than «the Dutch disease».
ParlaMint-NO_2009-12-04.ana.ud2465e1227	There is good reason to draw attention to the situation in Norwegian shipyards. In the last year, no new contracts have been written at the Norwegian courts or at the suppliers of design and equipment. This means, in practice, contracting stops, and during 2010 the order books of the land-based maritime industry could go empty. The consequence of a continuing word-dehydration is that the land-based maritime industries must carry out mass denunciations. This could end up in the fact that a highly esteemed high-tech innovation and competence could be confused in a short time. Norwegian shipyards have to a large extent specialised in high-tech offshore special vessels. In this respect, I would like to refer to the situation of the shipbuilding and supply industry in my own country, Hordaland. In Hordaland, the shipyard and supplier industries are a particular important industry, and we have top international class yard and equipment suppliers. Longer unsolicited periods now pose a real threat to industries and to value creation locally and regionally. I would also like to point out that in November 2009, the Maritime Forum Bergens Region carried out a survey of its 120 member companies from across the entire maritime cluster in the Bergens region. Near 60 pst. by enterprises they expect a reduction in turnover over the next 12 months. We have about 70 shipyards and 250 maritime equipment suppliers in Norway, and with about 100,000 employees in the maritime sector, it will be absolutely necessary to follow the situation for these carefully in the beginning of a new year. This industry is particularly vulnerable given the role of corner stone holdings in many small and large communities. The centre party is pleased that the maritime strategy presented in the autumn of 2007 is being continued in the 2010 draft state budget. The government's vision of Norway as a world-leading maritime nation, and that the Norwegian maritime industries will deliver the most innovative and environmentally friendly solutions for the future are still at hand. It will be necessary to continuously follow up the five main areas: globalisation and framework conditions environment-friendly maritime industries maritime competence maritime research and innovation short sea shipping Over the course of two years, positive results have been obtained from the 53 policy action points, while at the same time one sees the maritime industries struggling in the global recession. It will therefore be absolutely necessary for the Government to follow up the results of this strategy in 2010.
ParlaMint-NO_2009-12-04.ana.ud2465e1258	Thanks to the interpellant. This is an important topic, a theme we have spent a lot of time on throughout the fall, both through question time and through written questions, and we have received vague answers from the Council of State. We read daily in the newspapers – and I particularly follow up on what is happening in the North West – about major challenges. The Christian People's Party is concerned that the Government does not seem to take sufficiently into account that parts of the world's internationally competitive business are still and will be affected by the financial crisis. The Council of State shows in its responses to today's arrangements, but we have heard little about how to meet new challenges. The Christian People's Party believes that action must be taken in the tax system and proposes in the State budget, among other things. an increase in depreciation rates on machinery and equipment from 20 to 25 p.m., as a targeted measure towards these enterprises. The Christian People's Party is disappointed that the Government has not joined this proposal. For the shipyard and supplier industries, the current year is already very demanding. As the Council of State said, if new orders do not arrive, the courts will experience very heavy years. Several thousand jobs can disappear, and the Norwegian maritime cluster risks being permanently weakened as a result of the crisis. The Christian People's Party believes that the Government must be willing to look at a wide range of measures to ensure that this does not happen. One of the possibilities in this situation is to establish a research, development and innovation programme for the development of maritime renewable energy solutions aimed at the yard industry, which can contribute to the building of ships and installations for renewable energy, in particular sea wind turbines, on Norwegian yards in cooperation with the Norwegian supplier industry. This will ensure the development of new important environmental technologies, while at the same time providing the sites with a keen need for activity. Norway has world-leading research environments that can contribute to such a programme. The supplier industry, for its part, has access to offshore production. A short time ago, I visited Bergen Group, which is very positive about such a research programme. This was well followed up by Norwegian Industry. The industry is ready to meet new challenges. We also have maritime research environments with MARINTEK and NTNU at the head, which are world leaders in their fields. Like industry, the Christian People's Party believes that Norway has very good prerequisites for finding offshore and renewable energy solutions. Nevertheless, the Minister of Industry was reprehensible in his reply to the letter of the Christian People's Party to establish such a renewable energy programme aimed at the shipbuilding and supply industries. Another way to stimulate shipyards can be to put a stronger focus on the development of more modern and sustainable short sea shipping fleets and to invest in new climate-friendly gas ferries. Both of these fleet groups need renewal. In addition, the Federation of the Fishery Shipowners has asked questions to the Council of State if there is no time for an incentive to renew parts of the fishing fleet. All of this is not just about activity and securing skills jobs, but it will also be important environmental measures. As mentioned in previous articles, the offshore supply industry is dependent on the oil companies. The oil companies cut the activity, and this immediately negatively affects the industry. What happens after 2009 is very difficult to predict. In the short and medium term, however, we are not likely to experience any dramatic negative developments on Norwegian soil. But the picture may change if the economic crisis becomes more widespread or if the oil price is weakened. The Norwegian supplier industry has a large international market, and we expect competition to continue here too. What industry needs now is a stable and good framework. Today’s activity level on Norwegian pedestal must be continued, and we must not least pursue an active search policy. At the same time, we need to manage resources in a sustainable way, thus ensuring the basis for generations that come after us.
ParlaMint-NO_2009-12-04.ana.ud2465e1283	This interpellation actually sums up two interpellations we had on Tuesday, including those initiated by the Right, on the preservation of the competences of the oil supply industry and the international competitiveness of Norway. For the left, the answer, as it was on Tuesday, is that the way to a more profitable and competitive business is about incentives for proper conversion at the right time. If we are able to transform Norwegian business into a more environmentally friendly and innovative direction, there is no doubt that we will succeed – including in terms of the future basis for the shipbuilding and supply industries to the offshore sector. In addition, it is a matter of measures to safeguard and further develop the competence of enterprises. It can either take place through the tax system, through direct grant schemes or through better and more flexible permitting arrangements. All this has been proposed by the Left in its 2010 alternative state budget. The government has good intentions, but so to speak, zero suggestions. The left is also about a change of attitude for those who run businesses in Norway. All those who want to start for themselves, those who want to build a business – from one or two to many more – those who want to invest their money in Norwegian jobs and Norwegian businesses instead of having them in the bank, should get an extra knock on the shoulder. Instead, in recent years, the government has been targeting these precisely in its government budgets. The message is not to be misunderstood. For the Left, it is clear that good framework conditions, efficient solutions and good infrastructure are important – a tax system that rewards ownership and investment in Norwegian businesses and does not target them under the guise: take the rich. This, of course, is about budgetary policy at large. If the pressure on the dollar and interest rates is too high as a result of an excessive public budgetary policy, good action on the expenditure side of the government budget is scarce. Then it's important what public expenditure it's going to tighten up when we have to do what most people do, and with which the Minister of Finance agrees, tighten up in the next few years. Despite record growth in public budgets in the last period, research, innovation and higher education have been lost in almost every budget. The rest cut in this field looks like it will forever mark the imitation of the red-green government. Now we also see that precisely this industry, as the interpellant points out, is critical of the fact that several of the crisis packages are not being continued in the state budget for next year. The measures that the red-greens thought were very important and right eight months ago are not important and right anymore, although the crisis for this part of the industry is far worse and more extensive now than it was at the time. For the Left, it is obvious that Norway will have to focus on innovation, education and research in the future. We have to make things smarter and more sensible. The public sector needs to be renewed and modernised in order to ensure its well-being. We need to make the tax system attractive to those who want to invest in the environment and climate-friendly business, and we need to take the important and necessary steps so that we become part of the solution and not the problem of environmental and climate policy. If we do that, we will be very well equipped to face new crises in the future. But it requires both political courage and political will, which has so far been absent from the current government. Regrettably, the current government has excelled in a number of cutting-edge research and education policies, in the absence of willingness to stimulate behaviour in the tax system and in the lack of willingness to reform the public sector. On Tuesday, I recommended the Minister of Finance to read Left's Alternative State Budget for 2010 in Christmas, before he just over the New Year will start the important and challenging work of creating the 2011 budget. During the Minister of Finance's dinner in Parkvejen 45, I was told that it was actually going to be done by the Minister of Finance. So with all due respect, I pass on this same recommendation to the Minister of Industry!
ParlaMint-NO_2009-12-04.ana.ud2465e1309	Yes, Christmas can be used so often!
ParlaMint-NO_2009-12-04.ana.ud2465e1312	First of all, I have to say that I think it's great that the interpellant is busy participating in the idea debate on the challenges for the maritime sector, and it's doubtful that what we see in the horizon now is challenging – it's demanding, and it can be dramatic. I want to start by saying that the government parties are, of course, concerned with the Norwegian competitiveness. The export sector is absolutely necessary for us to have a high level of well-being, and it is very important that we base framework conditions that maintain or strengthen our competitiveness. The main foundation, of course, is to pursue a responsible economic policy that contributes to low interest rates and correct exchange rates. Thus, economic stability and stable framework conditions are the foundation, as well as what some have been faced with, that we also need to invest at a high level in research and education, precisely in order to promote innovation and productivity growth. New research shows that the Norwegian high-welfare model and centralised wage-fixing contribute to productivity growth and a high level of innovation in addition to high employment. More than 200,000 new jobs from 2005 to 2009 are a strong emphasis on the innovative power of the Norwegian economy. From the representative of Lødemel, a claim is made that we spend too much oil money and conduct an expansionary budgetary policy, and that it is part of the problem. I can reassure you that we are also taking this very seriously. That budgetary policy is expansive, I can join. But it's a budget for high employment and low unemployment. Strong measures have been taken and strong measures are in the 2010 budget precisely to ensure high employment and the lowest possible unemployment. In the 2010 Right Alternative State Budget, they reduce – according to the Right Self – the oil-corrected deficit by DKK 2.3 billion, or 0.1 pst. of GDP, in mainland Norway. Reality, of course, is that it is wrong for the Right to define the differences between the Right's proposals and the Government's proposals as the difference between being responsible and presenting an expansive budgetary policy, especially as long as one can also add that many of the savings proposals proposed by the Right's are highly notional. But to the challenges we face in the maritime sector: the situation is serious, and there is reason to pay particular attention to the sector. The main reason, as the Council of State said, is the failure of global markets. And it's not that it's negative that the Council of State is traveling around and collecting knowledge and is in dialogue with the companies that are exposed. On the contrary, it is particularly positive that an attempt to describe the problems with the exposed sector is trying to look for the good measures, those that work. That's what's demanding, and that's what's the challenge. Then I think it is important that one has a discussion where the opposition is also involved, that one includes input into further work and in an assessment of whether action should be taken and what action, if any, should be taken. Then we have heard that the fleet has repeated its – to say – normal procedure for tax reductions for business on a general basis. I'm not quite sure that's what will help the maritime sector in particular, but he has mentioned it. He has also mentioned depreciation rates and flexibility in GIEK and the instrument. I agree with the last point. It is very important now to assess the flexibility and the ability to strengthen flexibility in the future, so that it can embrace where the problems are. So this is with the offshore industry taken up, and there's been more debates about this in the hall this week. There is no doubt that as the situation is now, I understand the oil industry if they are a little preoccupied with investment, precisely in view of the assessment of market pricing is now correct with the market outlook available. Therefore, there is nothing wrong with trying to stimulate investment by the oil industry as well. On the contrary, they should be challenged because they are totally dependent on the supplier industry maintaining its level of knowledge in a low economic cycle. Then there are also many other things that can be assessed to remedy the situation, both in terms of research, development, flexibility in permitting schemes, etc. I am convinced that this government and the Council of State will do so, and I am very pleased that the Council of State has a solid knowledge base. In the end: I think this week reminds me a little of the corresponding time last year, when it was pronounced: too late and too little.
