ParlaMint-NO_2009-04-02.ana.ud2081e78	The representative, Jørund Rytman, will put forward a proposal for a representative.
ParlaMint-NO_2009-04-02.ana.ud2081e1426	I assume that Morten Höglund to the same extent as I know that the day an Icelandic membership application is on the table, the debate is going to take place in Norway. What are the benefits of not having investigated this before that Member's request is on the table? Are we going to investigate the situation about this after the membership request has arrived at the table, and wait for our top office to answer these questions after the debate in Norway has been going on for a few months?
ParlaMint-NO_2009-04-02.ana.ud2081e1431	The EEA Agreement is known. The treaty work that is there in relation to Iceland's entry is well known. All of these things are known. First of all, this is about politics, about what political choices we want to make as a possible consequence of what Iceland is doing. Yeah, let's look at the legal stuff. Yeah, let's look at the formal one. But this isn't just a question of law and law; it's a question of where we'll sit in the political landscape. We have recorded that many years ago the Right has made a clear choice in this way, and we have respect for it.
ParlaMint-NO_2009-04-02.ana.ud2081e1438	My question was about the benefits of the fact that when the debate takes off after an Iceland membership request, we do not have an investigation into the consequences of this, but come up with it a few months later, when the political debate in Norway has paused for a while. What benefits are there for the public debate in Norway that we do not have a good knowledge base until that debate really takes off?
ParlaMint-NO_2009-04-02.ana.ud2081e1443	I and Solberg's representative probably have a slightly different view of what such an investigation will give of decisive answers. I do not think the solution for Norway is there. We may be able to answer some important questions – but the important questions may not be known until we have seen the negotiations between Iceland and the EU, and after that process we will also run in parallel with the EU on the consequences of the EEA Agreement. These are questions that cannot only be addressed on the Norwegian side. These responses must be addressed in a dialogue between Norway and Iceland and the EU.
ParlaMint-NO_2009-04-02.ana.ud2081e1451	Several have not asked for the word for a line.
ParlaMint-NO_2009-04-02.ana.ud2081e1454	It is generally commendable that the Right is concerned with Norway’s relationship with other countries. But unfortunately, this proposal for a representative is going to be wrong in a number of ways. Firstly, the situation in Iceland is so serious that the most important thing now is to show solidarity, not to try to drag this into a Norwegian EU debate, into a Norwegian context. Iceland's banking crisis is the largest, relative, ever experienced by any country, according to the IMF. According to the OECD, Iceland’s banks had accumulated a debt almost ten times greater than the annual output of goods and services in the country by mid-2008. The country's going to have a hard time paying off this debt for many years. It is not surprising that many Icelanders are now looking towards the EU and the euro at a time when the Icelandic krona has lost confidence. However, there is reason to warn against believing that the EU and the euro will resolve Iceland’s economic crisis. One thing is that possible EU and euro membership is well ahead of time. Iceland must first become an EU member and then fulfil the so-called Maastricht criteria for euro membership. These criteria include, inter alia: the country's inflation, interest rate, budget deficit and debt must be at a relatively low level. Last, but not least, the Icelandic krona must have a price trend close to the euro over a period of two years. This is, to put it mildly, not easy when you're in the middle of a historical deep, economic crisis. However, the main problem with this euro strategy as a solution to Iceland's problems is that it will not work. The Economist wrote already on 13 November that calling the euro a refuge for the storm, not only is economic nonsense, it makes little political sense since no one is going to be shielded from this flood. So let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, let's say, In the wake of the crisis, these countries felt that the common level of interest rates in the euro zone was so low that it helped to strengthen the situation in all countries. Now unemployment in these countries is rising sharply, and it does not contribute positively to the euro being so strong that it weakens the competitiveness of enterprises exporting to countries outside the euro zone. It is also very uncertain whether Iceland will join the EU. When the representative proposal was promoted, the polls on Iceland showed a majority of EU membership – but now the wind has turned. Now it's about 54 pst. of the population against the EU, while around 46 pst. is for. When the representative proposal was promoted, the yes side tried to make it appear that all Icelandic parties would now be in favour of EU membership. But still two of them are opposed to such membership. However, if Iceland were to become an EU member, there is little to suggest that it would have dramatic consequences for Norway. The EEA Agreement is dynamic and related to changes. Although some institutional conditions will change, the agreement will be as stable as it is now — even without Iceland. In the case of fisheries, there is massive EU resistance in the Icelandic fishing industry. There is probably more reason to fear what will happen to Icelandic fisheries resources if Iceland becomes an EU member than what will happen to Norwegian fisheries. As we know, EU fisheries policy is not sustainable, unlike what we have based our policies on. The Christian People's Party is therefore satisfied that the Government ensures that it follows the situation in Iceland closely, and that it will keep informing the Storting in the light of developments. That is why we will support the inclusion of the present proposal in the Minutes.
ParlaMint-NO_2009-04-02.ana.ud2081e1471	The case concerns a proposal from the representatives of Erna Solberg, Inge Wohnning and Elisabeth Aspaker for an urgent investigation. So, on the right, it seems that one on the Norwegian side should urgently assess the consequences of an Icelandic EU application. The central party is very satisfied with the answer from the Ministry of Foreign Affairs that one is following developments and does not see the need to address the matter now. It is therefore also very gratifying that all parties, with the exception of the parties of the proposers, are behind a common position where one does not support the proposal. Some comments on the situation: The situation in Iceland is extremely difficult. The economic situation affects the degrees of discussion. One goes from an ‘all-hour high’ development and situation to deep difficulties that even cause Icelanders to be afraid that they may lose an entire generation of young people through emigration. It's no wonder you're looking for firm points in the economic development of the country. However, the worst hallelujarop in relation to the EU has now been slowed down, and there is a very unstable opinion with strong swings. In Iceland, there is little common knowledge of what membership of the European Union will mean, and therefore there is a very immature debate. It is important, then, that a person should have time to discuss in a sober and realistic way what will be the consequences of a Union membership for Iceland. On the Norwegian side, a number of attempts have been made to underpin the efforts of the Icelandic Government, various governments, to stabilise the situation. The centre party has been very pleased with it, and hopes that one can continue it if necessary, so that at least one can develop the good spirit and culture between Iceland and Norway. Opinion polls in Iceland show that there is no country that has greater confidence than Norway in the challenges facing it. It is a declaration of trust that we must take good care of. It is today a majority to start negotiations, but that majority, and the majority parties, make great demands on the outcome before they will vote in favour. Already today is over 45 pst. in opinion polls, opponents of membership. For example, Vomsoknarklodurin in Iceland, which is in favour of an application and is one of the supporting parties to the two government parties, inter alia. full availability of fishing resources, securing Iceland's agricultural production and a clear right of re-disclosure. New elections will be held on 25 April, and the Greens and Social Democrats, i.e. the Interim Government, have already submitted proposals for changes to the Constitution. These include: that constitutional changes may be adopted without any intermediate choice, i.e.: An opener for Iceland to enter the EU without intermediate elections, cf. the Norwegian debate. It is also said – and it is very interesting and crucial – that legislative changes are introduced in which the state is prohibited from permanently renouncing natural resources owned by the nation. In the EU, the situation is that there are different signals. Both the leader of Germany, Merkel, and the leader of France, Sarkozy, have said that the EU should not make other enlargements during the current financial crisis, while the EU enlargement Commissioner, Olli Rehn, and the Nordic countries, welcomed Iceland. There are claims in the document that the fisheries sector can be affected. Yes, no one can disagree that it can be affected. It does not say "will" or "become", but "can" is affected. Furthermore, it states that it can be affected by changing the dynamics of the quota negotiations. Today there are bilateral negotiations between Norway and Iceland, Norway and the EU, Norway and Russia, Norway and the Faeroe Islands, etc. In any Icelandic EU membership, the EU will be involved in Iceland's fishing interests. That's obvious. Furthermore, Iceland will have its percentage of what the EU gets, while becoming a common EU sea, and there will be no derogation for Iceland. This is why the EU's fisheries constitution is in sharp conflict with the general Icelandic policy, namely full rights over Icelandic fishing resources. Therefore, it is not a bad prediction of the future that there will hardly be any Icelandic membership. In the case of any Icelandic membership, if one takes it as a premise, it is clear that Iceland will lose a direct negotiating agreement with Norway – a negotiation agreement that in its time gave Iceland a quota of 10 000 tonnes of Norwegian-Arctic cod, the so-called sluthole stork, about 10 years ago – as one of the consequences. Furthermore, the proposal states that the competitive situation of Norwegian fish products will deteriorate. Today’s competitive situation is such that Iceland has a preference for the EU, a preference, so that there is almost zero customs duty on a wide range of products. It is also the case that Norway has preferential customs duties, and the proposal here relating to fish products and exports will have marginal consequences for yes or no in the case of membership. Therefore, we are very pleased that there are parallel views in the Storting today, with the exception of the Right. There is no need to make an urgent investigation at this point in time.
ParlaMint-NO_2009-04-02.ana.ud2081e1499	I appreciate our broad support for the approach adopted by the Government and supported by the majority of the Committee. I agree with many of the assessments made by the representative Solberg about the issue of Icelandic membership. You can discuss many aspects of it, its consequences for the conditions in the Nordic countries, the EEA Agreement, etc. Let me, on behalf of the Ministry of Foreign Affairs, thank you for the great confidence in our investigation capacity, and I fully agree with that. In this respect, I would like to say that the ongoing assessments we make of the situation in Iceland, in itself, are a capacity to carry out that investigation at short notice. As for the capacity we have in the EEA-legislative areas of the ministry and in the Brussels delegation – we are actually experts in the EEA, there are not so many of them – I think that in a short time we are going to turn to give the picture we need, if the situation arises. But I think what's the swinging question here is when you might start doing something like this. I notice that the representative Solberg refers to my party party which is in favour of EU membership. I could refer to her party trap that goes against. It says a little bit about the situation in Iceland and the fuzzy picture that's there. Otherwise, I would like to say to the argument of the representative of Solberg that we are doing this for the sake of convenience: I will distance myself from that, if she thinks that we find it uncomfortable to address that kind of question. It's probably more based on respect for the use of state resources, and accuracy in that regard, that we don't start an investigation that we don't think is necessary, because the question is not raised. There are a number of demanding issues in the EU today, which could have been interesting to learn: the outcome of the Treaty of Lisbon – what happens if it is not ratified? What happens when an EU country, for example: becomes bankrupt, withdraws from paying ability – Hungary and the Baltic States? These types of issues are very important, and they could all have had interesting investigations associated with them. What I want to say around the EEA is that it is up to everyone who is always in government responsibility for Norway to take good care of that agreement until we may have something else. I'm putting a lot of emphasis on that. If the situation arises from the opening of a realistic, likely scenario, that one of the parties is going out, we must work intently to take care of the EEA Agreement as a good alternative for us. I think it's actually so that if we had started today a thorough investigation of an Icelandic membership before Iceland once decided to apply, there could have been a significant input into Iceland's debate, which I think the Icelanders could recover in the situation they are now in. I sum up by saying that we follow the matter continuously and carefully. I think the embassy reports we have from Iceland are among the best that are from any country that is represented in Iceland. We all have party contacts with the Icelandic political environment – we can do it. And of course, we also think about the EEA Agreement and are ready to work out what is needed, the day it is needed.
ParlaMint-NO_2009-04-02.ana.ud2081e1514	It's going to be line change.
ParlaMint-NO_2009-04-02.ana.ud2081e1517	Many of the statements made earlier have basically been about whether Iceland should become an EU member or not. It is not a question of this proposal. These are: If Iceland becomes an EU member, what are the consequences for Norwegian interests? I think that is actually the responsibility of Norwegian politicians to think through. The Council of State has just implemented a major project to discuss Norwegian interests in an international and new world – a project that has led to a wholesale notification. But now something is happening in our neighbouring country, which is a participant in our main relationship with the EEA, and which has a significant proximity to decisions and areas directly affected by Norwegian interests – a lot of what has been part of the large project initiated by the Council of State. Then I am a little surprised that you do not have the capacity to do this – what is closest, what is most important, so you do not have the time and capacity to figure out now.
ParlaMint-NO_2009-04-02.ana.ud2081e1524	We have time, we have capacity, and we have the full opportunity to do that. However, that notification also emphasises that Norway should be able to prioritise and use the resources where they are most needed. The only thing the Icelandic government, which has an EU-friendly Prime Minister, will do on the EU side before the elections is to present a report on the EU, which the previous government had already adopted. And it's very unclear what a new government constellation, on the other side of the election, will decide for. Then it's too early to rush forward such an investigation now, before we have seen what the elections bring, what the Icelandic government decides, and what the government is going to do. So I say again: At the time when it is likely and realistic that Iceland will become a member of the EU, which requires them to apply and negotiate to become a member, Norway will be able to live and be fully capable of taking care of both its own elections and what we may have to do with the institutions we are part of today. But there's no need to start it today, per. ==References==
ParlaMint-NO_2009-04-02.ana.ud2081e1533	I must allow myself to say that I disagree. I believe that in the Norwegian political debate there would have been a need to create a professional basis for this. After having heard more articles here, it is obvious that there would have been a need to talk about how fisheries negotiations work in such a context — how they might be. I also believe that there is an underestimation of the anxiety in parts of the coastal population in Norway, which needs to think clearly about the future if it becomes an Icelandic membership – one underestimates it and will not do so now – plus that this debate will come in day one in Norway after a membership request. It will consolidate attitudes. And then we choose not to have a professional basis for making those assessments, because the government won't give priority to that. I just want to say that I'm disappointed in it. I think close interests, the EEA Agreement and fisheries had earned more in Norway.
ParlaMint-NO_2009-04-02.ana.ud2081e1540	I think we just have to live with that here is the different view between the Right and all the others. I repeat that I respect the underlying motives and arguments that Erna Solberg uses. It is important to have an ongoing debate on it. I would assume that we should also discuss the EEA Agreement as it works, experience, etc. into the next major period of time. – make suggestions from different teams and take it in order and in the right order. But I can't say more than that we're going to follow the case on an ongoing basis. We have the capacity to conduct the investigations requested by Stortinget when necessary.
ParlaMint-NO_2009-04-02.ana.ud2081e1547	Several have not asked for the word for a line.
ParlaMint-NO_2009-04-02.ana.ud2081e1551	The backbone of this debate is, to a large extent, the financial crisis, which is a shadow over most of the time, and which will have major consequences, mainly economic, but I believe that it will also have political consequences. Which and in what way is too early to say, but I also think there will be unexpected political consequences in view of different countries' relations with each other. Iceland may be the first country where it happened. The EU debate speeded up after what happened in the autumn, making it particularly interesting for Norway, of course, since Iceland is one of three EEA countries. Liechtenstein is the second, and we're the third. Moreover, Iceland is a Nordic colleague, with whom we naturally feel solidarity. The reason I am now taking the floor is that last week I attended an EEA/EFTA parliamentary meeting in Strasbourg. It was also marked by the financial crisis. That's why there was a slightly different meeting than usual. From Iceland it was as far as there were any present. It was a parliamentarian who came one day. The other days the seats were empty. Norway provided full delegation. From Liechtenstein it was a newly elected parliamentarian who came and defended himself with beaks and claws against the attack they felt from especially the Germans on tax havens and so on. The financial crisis has also affected the kind of regimes and nations that have been hiding places for people who want to avoid taxes. Switzerland was also impressed by that. It was once again updated that Switzerland’s relationship with the EU is characterised by a strong progress in negotiations directly with the EU, including in the field of drugs. in the case of Schengen, which makes the situation of Switzerland different from that of a few years ago. This underlines that this is a very fragile situation, in which the EEA Agreement is also. It is very difficult to predict, and therefore it is the wrong time to make such an investigation, I believe, like the setting. The EEA is the best we have so far, and it must be protected, as the Minister for Foreign Affairs said. An additional information, which we also received in Strasbourg, is that Andorra knocks on the door of the EEA and wants to be a member, because they want to enter the internal market, and the EEA is the only option they have. The Faroe Islands became an observer. And there are other small countries that can hardly be called countries, but perhaps in practice are cities or small territories in Europe, which look at the EEA as a kind of port of refuge. In other words, the EEA is changing even more in character, compared to what was meant many years ago, when the EFTA countries were many, where they were much larger, and where they entered into the EEA Agreement with the EU. The sum of this is that we now know too little about what's going to happen, and we know very little about what's going on in Iceland. We should therefore await an investigation. The representative of Eriksen said that the EEA Agreement is dynamic. I don't think it's dynamic. The EU, on the other hand, is dynamic. The result is that the EEA Agreement must adapt and do what the dynamic EU does at all times. Therefore, I would say that it is a strong exaggeration to call the EEA Agreement dynamic. In a comment to the representative Lundtigen on fishing interests in Iceland, it may well be an exaggeration to call the fishing resources ‘the property of the nation’, because in many ways it is the same people who have now taken over Iceland through the banks, who are also heavily liberalised the fishing industry in Iceland, which means that it is owned by a few people and is not ‘the nation’s own’. That's how I see it. The EEA Agreement ensures stability in our economic approach to the EU, and I think that is very good. We still have to make sure of that. But I notice in this debate that it turns out that the view of what is happening in Iceland is influenced by what you think of the European Union. The whole background, which has not been seen by so many in the debate in Iceland, is that they have problems with the Icelandic currency. It's their big headache and something all have in common in Iceland, whether you're for or against the EU. What has happened in the last six months has probably trained the population in many ways — in the sense that there are hardly any on this planet who know more about the impact of unstable currency and exchange rate fluctuations on both home and home. This is something the Icelanders are very concerned about. If they choose not to join the EU, they must have a different solution to that particular problem. The time is wrong to investigate this, and therefore it is good that the majority of Storting concludes that such an investigation is not in place now. But I think we'll see soon that need comes, but we have to wait for the situation in Iceland.
ParlaMint-NO_2009-04-02.ana.ud2081e1579	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 2621]]
ParlaMint-NO_2009-04-02.ana.ud2081e1597	Today it is 18 days for the UN World Conference on Racism, Racial Discrimination, Xenophobia and Intolerance to begin in Geneva. In three weeks we will know the outcome of the conference. It is not that this conference differs so much from other UN conferences. The theme is important. But it should not only be controversial, because racism must be combated. It's important. Nevertheless, this conference has almost had its own life, both as an arena and a symbol of a struggle for value – a struggle for the content of parts of the human rights regime, especially linked to freedom of expression. Why is the Right so concerned with this question? We see that the nation-states are already stronger than the individuals on the issue of fundamental rights. Human rights are precisely about providing protection from arbitrary and excessive State intervention in the lives and innermost sphere of individuals. For that very reason, the Right wishes to develop the international human rights regime towards more and more protection of individuals at the expense of repressive state powers, hidden behind concepts such as state sovereignty, relativisation of concepts of rights, and reference to vague collective rights of groups. In the last few years, we've been in a positive development. We have seen a strengthening of universal human rights. Out of the 1990s' humanitarian disasters, state sovereignty was weakened by competition with world society's responsibilities or obligations to protect the civilian population, including against its own authorities. It was an important advance. Not later than one month ago, the Stortinget debated ‘the responsibility to protect’ — the right to life and protection from physical abuse, including where the international community must intervene within the sovereignty of a country. That's why it's extra unfortunate that we've seen in the last few years a development in which the international human rights regime not only risks staying at rest on the ground, but where it's systematically put under pressure and reinterpreted in other areas, to the detriment of the fundamental rights of individuals, of freedom of expression and too many people's right to participate in democracy, but to the benefit of the states and forces that want to suppress it. Today, then, we see that the arena for this battle is particularly important in value matters. So we know, and have heard many times, that the Foreign Minister believes in dialogue. He makes that clear in most contexts. The main point — Norway must engage in the institutions that exist, and if we do not participate, our voice will never be heard — often repeated. We in the Right are not opponents of talking to people, states or forces that do not share our views or values. On the contrary, we believe that it is in the break between opinions and through the force of the good argument that new ideas win. But dialogue only for the sake of dialogue, on the premises of actors who partly have a diametrically different approach to value issues, inevitably raises a number of dilemmas. Our disagreement with the Minister for Foreign Affairs on these issues is that he has been less willing to problem the dilemmas of the dialogue line. We've seen the need to travel some of these difficult dilemmas, for example. the negative development of parts of the work on human rights of the United Nations. In St.meld. No 15 for 2008-2009, the Minister of Foreign Affairs writes that nothing can replace the legitimacy of the UN and its various institutions and processes giving rise to work on human rights. That's how we're used to the world. However, through this approach, the Foreign Minister and the Government have little relation to the institutions and processes that are intended to protect human rights or protect people from, for example, human rights. racism and hate, now in itself risks becoming a threat. Last week, we saw that the Human Rights Council took decisions to combat atrocities, so-called “deflection” of religions – a difficult theme! Yes, we should not discriminate against individuals. Individuals shall not experience persecution because of their faith. It's important rights. But it is also dangerous if it is drawn so far that the veneration of a religion is drawn to criticism of that religion, and gives a new room for interpretation. It is far from what must be acceptable to Norway. It shows that that agenda has not yet been put to death, and that it is going to pop up again and again. The Geneva Conference on Racism has been discussed in this Chamber in the past. The conference has an important objective, and it is to gain a strong and clear position against racism and discrimination. But at times it has become totally in the shadow of the attempt at anti-semitism and undermining human rights. It was particularly clear in a previous draft communication: 66 pages containing such a nature that, among other things. The United States stated that it could not be saved, and chose to withdraw from the preparations for the conference. There are now new drafts, including: a significantly shorter and clearer document dated 17 March. The draft was presented by Russia and is reportedly drawn up in cooperation with Belgium, Egypt and Norway. It is therefore sold internationally as a Norwegian-supported initiative. Much of this is a positive development. In the new draft, there are direct, explicit references to the prohibition of religious criticism and press censorship, and the excessive unilateral condemnation of Israel has now been removed from the previous documents. Language usage is down. On the surface, this document may appear to be an unproblematic document. I have registered that the Minister for Foreign Affairs has now said that he is satisfied with what is there. But the situation is not entirely unproblematic anyway. Firstly, we need to ask ourselves some questions about the process further. Will the draft meet the demands of further preparations or of the conference itself? Will those countries that have so far wanted to impose their own agenda now withdraw in silence? And will you be able to get those countries that have so far jumped off back to the negotiating table? Then, too, in the proposal that has been put forward, you see the danger when you start to read the text more thoroughly. A number of critics have pointed out that individual points in the 17th March draft could be interpreted as maintaining restrictions on freedom of expression. In particular, Article 11 of this draft, prohibiting opinions on race, religion or nationality which lead to violence, conflict or discrimination. This statement is blatant and can be misused, for example. by prohibiting statements which lead to riots or violence by those who feel that they have been taken. Then we're really back to the starting point. And so this is sold in some bodies as a Norwegian initiative. So that means that we should have banned cartoons in Norway because there are riots in Pakistan or the Middle East. There is a basis for interpreting this paragraph. It does not have the support of the Minister of Foreign Affairs, and I have no faith that he has the rest of the Storting's support for it. That's why something has to be done about it. I am concerned that this is being interpreted in other countries as a Norwegian-supported proposal. It's not because we have failed to believe in our own values that we have chosen to point out these dilemmas that are being raised. Nor is it because we doubt that the Minister for Foreign Affairs considers these values important that an overall opposition has asked questions about the strategy you have chosen. It's rather because we're genuinely concerned about the evolution we're seeing. It is not my intention to polemise against our participation in the Geneva Conference, but it is my intention to have this interpellation clarified by the Minister of Foreign Affairs where Norwegian borders go. I mean, for example. that the Norwegian border should go through the fact that we cannot join Article 11 as it now exists, because it can provide a basis for people to believe that if others demonstrate against opinions made by others, there is a basis for limiting the opinions they are required to make. Finally, there must be limits to Norwegian compromise. I am a little afraid that we have now put ourselves in a situation where we have been involved in a draft that contributes to a development that the Government does not, at least, have the support of the Right to contribute to. There are limits to Norwegian compromise, and I would like to hear the borders of the Council of State. For, as Groucho Marx once said, these are my principles. If you don't like them, I have someone else. It is not my position that this is Norwegian policy. There are also limits to what we are willing to compromise on about freedom of expression and human rights.
ParlaMint-NO_2009-04-02.ana.ud2081e1629	In three weeks' time, the United Nations Follow-up Conference on Racism will be held in Geneva. There will be an important test of the ability and willingness of world society to gather on clear positions against racism and on the ability of Member States to focus on what the conference will be about, namely racism, and not on a number of other issues. It is the Government's clear wish that the UN and the participating countries pass this test. Norway has therefore made a clear and strong commitment to the success of the conference. Just in the time we now live in, we need the mobilisation of common will, not stronger expressions of polarization and we-and-the-other thinking. We need more clarity about international standards and rules on human rights and freedom of expression, not dilution, restriction or attempts to weaken the universal validity of rights. As always, in the request of such a negotiation process, the texts are focused and the issues of conflict are different. We're now in this query. Norway has entered into negotiations on the final document with five main objectives. Firstly, we want a strong and clear text against racism. We are working to ensure that the conference focuses on the fight against racism and the responsibility of states for the implementation of the Durban final document in 2001, and not on new initiatives. Such a clear indication is at least as necessary in 2009 as in 2001. Secondly, as a consequence, Norway cannot accept a language that calls for the prohibition of so-called violations of religion, which has been mentioned by some other countries. This is one of the most controversial issues and has marked much of the work on preparing for the audit conference. Norwegian position is clear on this point. It's people and not religions that have human rights rights. It's people who in vulnerable situations need protection, not religions. It is the freedom of expression to promote criticism of gods and religions. Thirdly, Norway cannot accept a language that weakens its freedom of expression as defined in the International Convention on Civil and Political Rights, Articles 19 and 20. This Convention has more than 155 acceding States and has been followed up by regional human rights instruments. Freedom of expression is one of the most central human rights. Without it, we cannot reveal human rights violations – and we can add: without freedom of expression, nor any freedom of religion. Fourthly, we want a text on the role of the media in relation to racism based on the balanced text of the Durban Declaration of 2001. While recognising the positive role of the media, it expresses concern that in some cases the media can contribute to racism. Fifthly, Norway has worked intently to remove all references to the Middle East conflict contained in the previous draft final document in recent months. In 2001, Norway contributed to the text adopted on the Middle East at the conference in Durban. The Middle East question was difficult, the time that now. In my view, the text in 2001 was fairly balanced. This time we have worked for a text which is generally valid worldwide and which does not highlight one geographically limited conflict or issue. Our minimum requirement is that a final document does not go beyond the 2001 carefully negotiated text, which Norway has signed. In order to secure these objectives, we have committed ourselves. We haven't threatened to draw at every crossroad. It's not Norway's tradition. We've drawn on our solid multilateral experience, and we've played across the entire width of the contact network Norway has been working on. We have close dialogue with close allied countries, to which Solberg refers, also with those who have threatened to withdraw repeatedly in the last year. But our ambition goes further. We talk to all countries to help keep the focus on racism. Today's task is to establish trust and contacts across old dividing lines, not least when it comes to defending established and universal rights. Let me say a few words about how we've worked. Norway was elected as a member of the Agency to the Preparatory Committee in 2007. The Agency consists of 20 members, where Norway, Belgium, Greece and Turkey are representatives of the West Group. The work of the Agency is managed by Libya and is responsible for procedural issues related to the preparation of the conference. The substantive negotiations on the final document, on the other hand, are outside the mandate of the Agency. Norway has also actively engaged in the negotiations on the final document. In the last year, we have initiated two regional meeting places and informal consultations to provide the basis for compromise proposals on the content of the final document. This active role led to Norway being asked at the beginning of March to assist the Russian negotiator in revising the draft final document – a text that was then very controversial and on 350 paragraphs, a text that aroused much legitimate attention and which is certainly the basis of Solberg’s legitimate interpellation here today. Under the direction of Russian diplomat Yuri Boychenko, a group of diplomats from Norway, Belgium and Egypt prepared a revised final document, which was presented on 17 March. The document has been well received by the UN High Commissioner for Human Rights, Pillay, by a number of states and groups of states and, most recently, by the UN Secretary-General in a conversation I had with him on Monday. Equally important, organisations for freedom of expression, such as Article 19, have given praise and support to the proposal. But we're not yet in the goal. The road is still open to new text proposals, so we keep our attention focused. And I have not, contrary to the representative Solberg suggested, given an assessment of this document before we see the final document finally negotiated. Equally full: As the document now exists, I believe that our objectives are reasonably well respected. Like the EU and our close allies, we believe that the text provides a good basis for the final negotiations. But let me say – as I underlined in my foreign policy statement in February, and as the representative quotes in his interpellation – that Norway does not sign a document in advance. It's always an option not to sign and not to miss, but it's not an option we take before we see the final result. And so our ambition is to make our contribution to the final one. Solberg refers to the 2001 Israeli rage. It is true that negative and even gross anti-Semitic statements were promoted in Durban. But it may be appropriate to recall that this happened mainly outside the conference, in the so-called NGO forum that was organised at the edge of the conference. Norway as a country did not participate in this forum. In Norwegian debate, the impression is that this year’s conference is a follow-up to the NGO Forum in 2001, but this is wrong. The UN High Commissioner for Human Rights stated in December that wrong information was deliberately sent from groups wishing to turn the conference's focus away from racism and the Middle East conflict. In her question, Solberg mentions two countries that she thinks we should adapt, the United States and Canada. We notice their vision, we have good and open contact with them, but they are not the most relevant examples for us. None of these two countries signed the final document after the World Conference on Racism in 2001. Neither did Israel, who also withdrew from the conference. But we signed. It also did so in Denmark, Sweden, Finland, the United Kingdom and all other European countries, all African countries, all Asian countries and all Arab countries. Of all the countries of the world, there were three countries that moved in 2001, Israel, Canada and the United States. In 2009, only these three countries have signed up. Italy has confirmed that they are still there, after some confusion. The United States, among other things, drew. on the grounds that they did not wish to make reference to the 2001 final document, which they thus never signed. We don't want to, but we can't, with the reasons of the United States, because we actually signed the document in 2001. Not only did we write a fan, we committed ourselves to following up the fight against racism at home. We have. In 2002, when Solberg’s representative was the municipal minister, the Bondevik government presented Norway’s concrete follow-up to the Durban Conference with our National Action Plan against Racism. The 2001 World Conference and the 2009 Conference of Supervisors are UN conferences. As a UN member, we have a responsibility to participate. We committed ourselves in 2001 to follow up on what was adopted. Although it stormed around the conference at the time, as it is now, the action plan in various countries showed that the conference was worth following up. Norway has always been a multicultural society. In addition to the Sami and the Nordics, national minorities such as women, forest fins, romanists and Jews have lived in Norway in the last few centuries. Racism goes as a dark one also follows through our history. At the same time, in 2009 Norway differs in many ways from the Norwegian community as it was 20 or 30 years ago. Immigrant population has increased from 3 pst. to 8-10 pst. in the last 20 years. Norwegian society also faces new challenges in terms of racism and discrimination. The national action plan, which includes indigenous peoples, national minorities and people with a migrant background, shall be followed further. A successful outcome of the Geneva conference gives us a new impetus to focus on and anchor this important work. The representative asked me a question about individual formulations in the text of 17 March. We shall carefully evaluate these wordings forward towards the end of the request in three weeks. But the assessment we have made with the help of the law department so far suggests that the formulations that are now in place are within the lines of and in line with the international conventions Norway and the vast majority of countries in the world have already concluded. We therefore believe that we have a good starting point for the final negotiations, but it is important to note that proposals can also be made in the interview. The fight against racism has not been won. That is why this conference is important, and that is why we are engaged. Instead of threatening to fail, we show that we want to participate, influence and take joint responsibility.
ParlaMint-NO_2009-04-02.ana.ud2081e1673	I accept my joint responsibility for the follow-up work of Durban II and for action plans against racism and new laws against ethnic and religious discrimination in Norway and much more, because I believe that the part of what is going to happen at the Durban II Conference is important. It is important to have a strong and clear position in the international world, but also in each country in the fight against racism. The Durban I Conference was largely a discussion on antisemitism, and the argument was linked to the description of relations in Israel between Jews and Palestinians and other. So what's new about Durban II is this attempt to reinterpret human rights and create new concepts into them, which we see systematically working for, to limit the individual's rights in relation to state and religion. There are two articles in this document. One is Article 11. Article 11 can be read with no concern whatsoever. So it could be -- and sometimes you can see -- that some of the people who read it read it, read it with glasses that make you read more into it than we want. Sometimes we feel that such articles are being turned around. The fact that you have to have restrictions and bans on calling for violence is absolutely right. But it is possible to read this article in the opposite way, too, that if the reactions to something done become violent, there should be grounds for restriction. I just hope that we make sure that it's not an interpretation of, and vice versa. The second is a principle introduced later, such as: a new requirement for laws in Norway, namely Article 97, which obliges us to impose a legal ban on organisations based on ideas and theories of racial superiority or for some ethnic groups. Norway has never chosen this as an approach to how we deal with these issues. We have not chosen the law. We've chosen openness. We have chosen to have the attitude that we can discuss the question in the open room. But we do not use the law to ban some types of organizations and others. I'm not so square in the question of whether we're going to ban laws if this is a limited area, but I'm just saying that there are many issues related to this that are going to be difficult. My main challenge to the Minister for Foreign Affairs is: Can we now be sure that Norway does not sign anything, or can we go into a situation where, for example, we, perhaps the main theme, contribute to the criticism of religion, the critique of ethnicity and activity, which can lead to normal freedom of expression being able to meet with restrictions and interpretations of international conventions? Then we're going the wrong way on the human rights trail.
