ParlaMint-NO_2009-11-04.ana.ud60e26	The representative of Christian Tybring-Gjedde will put forward two proposals for representatives.
ParlaMint-NO_2009-11-04.ana.ud60e1068	«In the month of November, we remember that it is heading for winter. Winter conditions have already marked road traffic. Good warnings about weather, driving and driving conditions, good preparedness and careful winter operation of roads, good information to users and good monitoring of winter driving vehicles are among the conditions that can contribute to safe driving conditions on Norwegian roads in winter 2009/2010. What new or reinforced measures will the Ministry of Transport ensure to improve road safety in the coming winter?’
ParlaMint-NO_2009-11-04.ana.ud60e1075	I am busy with a safer way. A good winter maintenance is a requirement for that very thing. The state road system is therefore working continuously to improve winter operations. In addition, measures aimed at road users are introduced. In order to ensure the quality of the work, the State Road Administration will strengthen the follow-up and control of the contractors carrying out winter operations and maintenance work on the roads, among others. through random checks. I agree that good information to road users helps to facilitate safe and efficient traffic management. In order to improve the information for road users, this includes: set up information boards at Hönefoss and Gol, informing about the status of the crossings between the Austland and the West, so that road users can choose the most appropriate mountain crossing at any time. For the most important cross-country crossings between east and west, during wintertime, an arrangement shall also be made to make available forecasts of expected weather and pre-conditions six and twelve hours in time. In addition, the State Road Service has placed around 110 cameras on different road sections throughout the country. The Internet pages of the Road Service will at any time display live images of these. The service has appeared to be popular, and according to the Road Directorate, the number of lookups increases when the weather and pretence are difficult. On the basis of a previously given signal from the Ministry of Transport, the State Road Administration aims at further targeting of the roadside inspection by heavy-duty vehicles, for example. by prioritising the control of tyre and chain equipment in the event of snowfall and expected snowfall. In the course of its extension, an internal road service has strengthened cooperation between those who carry out the role of commissioner for the operational and maintenance work and the roadside control. Closer cooperation between these disciplines helps to ensure that the relevant actions are implemented as early and targeted as possible.
ParlaMint-NO_2009-11-04.ana.ud60e1086	Thanks for the answer. At the hearing of the Transport Committee last Monday, the Landsforeningsfor Verkehrsskammeren said that maintenance of the roads also includes good drilling and ice melting, and that if you gain confidence in improving winter maintenance, more people will be able to drive smoothly. The National Association for Traffic Damage also points to the fear that the transfer of responsibility for the maintenance of the national roads will lead to poorer maintenance and powdering of responsibilities. Will the Ministry of Transport have special attention this winter to winter maintenance and winter operations in view of the transfer of responsibility for other national roads to county municipalities?
ParlaMint-NO_2009-11-04.ana.ud60e1095	I think there's reason to think that there's going to be a lot of attention about winter maintenance coming winter, precisely because the county councils that are so close to these roads, themselves going to follow along. This is something that I'm constantly busy with. Not least the consequences of transferring responsibility to the county councils, which I believe will be positive, it is important to follow suit. Let me also say that in the previous winter season it was agreed to do several sharpenings in the requirements of tyre and chain equipment. The Ministry of Transport has also asked the Directorate of Road to make the best possible use of existing permits in road traffic laws to impose temporary restrictions on individual vehicles or groups of vehicles.
ParlaMint-NO_2009-11-04.ana.ud60e1102	Thank you again for your answer. In its first response, the Council of State drew particular attention to information measures aimed at users of the high-mountain crossings. It's positive. The most important thing, of course, is that the transitions are open, that it is possible to get there and that you don't get closed connections. The question is what to do to ensure that the roads are open, i.e. less closed, even under difficult conditions of winter. In this respect, I would also like to ask when to evaluate the Road Administration’s strategy with ‘barway’, i.e. early salting and winter drift aimed at the highest possible level, the evaluations that have been or will be carried out, and the results of the evaluation.
ParlaMint-NO_2009-11-04.ana.ud60e1109	Let me do the last one first. I need to check more closely what are the further plans, so I must be allowed to send an answer to the representative Sortevik. When it comes to open mountain passes, it is quite obvious that it means too many individuals in this country, and not least for business. We're going to have a continuous focus on the transitions to be open, as many transitions as possible and of course for as long as possible, within the material that one has at its disposal, and within the security that has to be taken care of at any time.
ParlaMint-NO_2009-11-04.ana.ud60e1119	‘Good mobile coverage is very important for both business and individuals. 95 pst. of the households in Agder have mobile coverage, but measured at micro-level it turns out that the coverage is much lower. In Iveland, less than half of the households have coverage. During the autumn election campaign, the Minister of Local and Regional Affairs, Kleppa, promised to address this matter. Many are therefore very disappointed that there is no funding for this in the 2010 state budget. How will the State Council contribute to full mobile coverage in Agder?»
ParlaMint-NO_2009-11-04.ana.ud60e1126	The government's goal is for people to be able to choose where to bow. I am busy securing mobile coverage that contributes to such an option, as well as – of course – to many other factors. Norway is currently one of the world's best mobile coverage countries. Full 99.9 pst. of households and more than 87 pst. land is covered by one or more mobile networks. This means that about 10,000–15,000 people don't have mobile coverage where they live. We know that far more than this will experience that they do not have coverage because of the quality of their mobile phone, constructional barriers or signal suppression. The measurements from Agder indicate exactly that. With as good mobile coverage as we have in Norway, people rightly expect the mobile phone to work at any time. People set up their daily activities based on it. This makes it extra difficult for the few who live, feed or travel a lot in areas with poor coverage. The areas still lacking satisfactory mobile coverage have far too little activity to make it profitable for providers to expand coverage. I'm impressed by the cooperation they've had in Agder. Let me point out that there are, in fact, means for further expansion also in the 2010 state budget. Firstly, the free income of municipalities and county councils has been strengthened, and secondly, the resources of the county councils to go to regional development have increased. In addition, the budget of the Minister of Local and Regional Affairs is the special means of infrastructure. The amount of the so-called residuals is about 100 million. kr. These are transferred to county municipalities that have municipalities in the district policy area. In this way, the Agder County, in agreement with the Ministry of Local and Regional Affairs, can use these funds for better mobile coverage.
ParlaMint-NO_2009-11-04.ana.ud60e1139	Thank you for a good answer. I am pleased that the Council of State is impressed by the cooperation in Agder. I think maybe it's a model that one could have seen in several places where one has a good cooperation between municipalities and county councils. As the Council of State may be aware, the project is ready. One has gone through and looked at the coverage of the municipalities, and now only the money is missing. I notice that the Council of State points out that there are other items that can be used by municipalities and county councils. But after the project, there is about one missing. 60 million. kr. The municipalities and county councils may imagine a third, a spice layer, where the municipalities contributed 20 million. SEK, the county council of 20 million. kr, and one had then expected or hoped that the government could spit in the last 20 million – at least on the basis of a previous signal. So my question is: can the Council of State look at the possibility of concretely bringing more government funds to the project?
ParlaMint-NO_2009-11-04.ana.ud60e1150	I can confirm that I have met the various actors who are responsible for this cooperation in Agder County. I therefore have good reason to say that I am impressed when it comes to what they have already done with broadband. They have done a good job both in purchasing and negotiating with providers. They have also received central funds from the Højkom scheme, which was at an earlier date, and from the Ministry of Local and Regional Affairs. Then it's enough that there are many good projects that could have received state support if the amount of funds in the state budget was even greater, but here are some highlights.
ParlaMint-NO_2009-11-04.ana.ud60e1157	Iveland Municipality is a municipality that we both know well. Less than 50 pst. mobile coverage is unacceptable. As far as I've seen, the Government's ambition is that there should be full mobile coverage, and the Council of State has also stated that a wish to spend up to $1 billion to get it done. That's why I have a hope that the Council of State can be a little more concrete, because it can be arranged relatively cheaply to ensure that whole Agder gets full mobile coverage. The question is: Is it possible to look at a scheme where you can enter with, for example: Twenty million. kr in government funds to get a split layer so that Agder gets full mobile coverage? And in that case, is it possible to do it in a short time?
ParlaMint-NO_2009-11-04.ana.ud60e1164	Let me first say, when it comes to mobile coverage, there has been a lot of happening in the last four years, from the authorities of the transport sector, both the department and the postal and telecommunications authorities. A range of sections and tunnels are now covered, and the network has been strongly upgraded to provide much higher data capacity and more services than before. Then the president could have corrected me that I am moving far beyond the responsibility of the Minister of Local and Regional Affairs. I know well, and I know that there are more funds to the county councils than it was in the current year. There are also these residual resources at my disposal, so I'm going to contact myself with the Minister of Local and Regional Affairs and ask her to follow up on these municipalities, but I promise concrete amounts today.
ParlaMint-NO_2009-11-04.ana.ud60e1171	The President is absolutely certain that there is good contact between the two government councils mentioned.
ParlaMint-NO_2009-11-04.ana.ud60e1177	I am pleased to ask the Minister for Transport the following questions: ‘As the county council, Sigbjørn Johnsen has demanded far stronger investment on the road and rail, reorganisation of the transport operations and introduction of new forms of financing such as OPS and project financing. In a chronicle last year, he wrote, among other things, ‘Norway has been made arrears in meeting the national infrastructure needs both in terms of rail and road’. Is the Council of State in agreement with the Minister of Finance that new organisational and financial arrangements are necessary to achieve a strong road and rail level?’
ParlaMint-NO_2009-11-04.ana.ud60e1186	Let me take advantage of the opportunity to thank the new leader in the Committee for the inclusion of what I hope can be a constructive debate in the European Parliament on ambitions and instruments in the field of transport policy. Political will is absolutely necessary in order to bring about a strong boost to transport. It has been demonstrated to the highest extent by the National Transport Plan 2010–2019 proposal. This transport plan involves a lift of DKK 100 billion, or 45 p.p., compared to the previous transport plan. On average, there are 10 billion more in the year to road, track and coast. If one compares – that is interesting – with the original proposal for a framework in the previous plan, from the previous government, the difference is more than 2 billion dollars a year, as the bulk of the population increases the scope of the plan at that time. An equally important step to lift roads and paths is to show ability. I also think the government has shown so far, from day one. The previous national transport plan, for the period 2006-2009, was overfilled by $5 billion for road and rail. This means that if a comparison is made with the 2006 draft budget, the government of Stoltenberg II, including the 2010 budget, averaged $4.9 billion more a year. Then, in the 2010 draft budget, alerts are posted to a gradual escalation to the level of the national transport plan. Compared with the 2009 budget, the total increase is DKK 3.4 billion. With this pace of escalation, the Government is so far well on track to realise the promise in the national transport plan, concretely reflected in the framework level for the period 2010–2013. Hareide uses the term ‘strong lift’. I think the national transport plan is a ‘powerful lift’. As the plan shows, the Government is particularly busy increasing its transport investments and ensuring that they are used as efficiently as possible. Increased maintenance is also important. In order to achieve the transport policy objectives that are agreed in this Chamber, I think we should be louder about proposals both within and outside the budgetary and funding system we have today. In the national transport plan, the government has stressed the importance of raising the rate of trade with the means available to us within today's budgetary system. It should not prevent us from being open and considering measures that will give us an even more efficient and faster deployment of infrastructure.
ParlaMint-NO_2009-11-04.ana.ud60e1199	I would like to thank you for your answer. I see it as an invitation to good cooperation here in Stortinget, just when it's about what's going on in structure and organisational grip. I also want to say that I feel that the national transport plan is an uplifted and clear, but I also feel that earlier Sigbjørn Johnsen writes about this in his chronicle, it is worth listening to – as former finance minister he knows exactly this issue. Some of what I think may be important is that we see that this type of project reduces both the time aspect and the cost aspect. Let me just use an example here. We see that the route Lysaker – Asker would have cost NOK 1.5 billion less if we had built it out in five years instead of ten years, as it is now. Does the Council also see that we can get more money from this kind of organization?
ParlaMint-NO_2009-11-04.ana.ud60e1208	The answer is yes, it might be, that's the example. When it comes to ensuring good progress, the Government has followed up. Both the double-track Sandnes–Stavanger and Lysaker–Sandvika were started under the previous government, with very small promises. It is also the case that there are important investment projects in terms of both road and track that are currently separated as own items in the budget in order to follow them more closely. The state road service also makes more use of what we call alternative contract strategies. Tolls have been tried here; tolls have also been tested here. I'm sure I'll have to stress that... [[President clubs]]
ParlaMint-NO_2009-11-04.ana.ud60e1215	We have now had hearings in the committee, and we feel, for example, that organisations like LO now are more positive about trying out these kinds of forms of funding. I think it shows that there is a broad community that sees the possibilities for this sector, and that thinks new and takes organizational action. I would also like to point out the possibilities we have when it applies both to the Railway Agency and to the State Road Service as a public body. Today they are organized as agencies directly under the Ministry of Transport. I want to challenge the Council of State: with the experience we have with, among other things. Avinor, will she look at the possibilities of using the experience of this type of ether to think about new griffons?
ParlaMint-NO_2009-11-04.ana.ud60e1222	I feel that it has already been done in this field. The fact that an important investment project has now been identified on its own, that an emphasis is placed on trying out alternative contract strategies, i.e. split the contracts and thus actually also have experience that, in some cases, it may give more way to the money – and the fact that one here has used tolls and tried out OPS solutions means a willingness of the Government to try alternative funding. Organisation in state enterprises can give a certain amount of freedom – it may be. We're going to be open to discuss it more closely if we meet up with good arguments. But let me finish by saying that what matters to the seventh and last thing is the priorities that are being done in the budget.
ParlaMint-NO_2009-11-04.ana.ud60e1232	‘Previous Minister of Health Bjarne Håkon Hanssen has recently spoken on several occasions for increased use of private healthcare providers. This is in order to reduce health cows in specialist health services, drug treatment and rehabilitation. Unfortunately, this is not to be found, either in Soria Moria II or in proposals for the government budget. Is the Council of State of the opinion that there is a need to use private providers more in the future, and can we expect this to be government policy?’
ParlaMint-NO_2009-11-04.ana.ud60e1239	The government is following up the new government platform to strengthen hospitals’ finances, so that more patients are treated and waiting times are kept low. This government has significantly strengthened the budget of hospitals. Since we joined in 2005, we have allocated more resources for patient treatment. With next year’s proposal for an increase of DKr 1.45 billion, patient treatment allocation has actually increased by DKr 8.3 billion from 2005 to 2010. The draft budget facilitates growth in all patient treatment of about 1.3 pst. from 2009 to 2010. Thus, the increase applies to all patient groups seeking assistance in specialist healthcare — in somatic matters, mental health protection, drug treatment and rehabilitation. The average waiting time for specialist healthcare treatment was 73 days in the second quarter of 2009. In recent years, both waiting times and the number of patients waiting for treatment have increased slightly — despite the fact that there has been a strong increase in patient treatment in hospitals at the same time. Never before have so many been treated in Norwegian hospitals. About 100 000 more were treated in 2008 than in 2005. But we're not satisfied that many patients have to wait a long time. We'll get to that. The government believes that the public should be the pillars of health care. Private actors are an important complement to providing healthcare of high quality to the whole population and with the shortest possible waiting time. As the representative Olsen is aware, the new government platform emphasises the need for regional health businesses to put in place measures to reduce waiting times for diagnosis and treatment. That is what we are following up in the 2010 budget proposal. Using private actors may be one of the measures in question if it helps to reduce the waiting time. The Government will return to this in the 2010 regional health enterprises mission papers. Questions have been asked about the appropriateness of today’s waiting list targets for managing and planning the specialist health service. As indicated by Prop. 1 S wishes to review today's waiting list targets and assess whether they need to be changed.
ParlaMint-NO_2009-11-04.ana.ud60e1256	I thank the Council of State for the answer. I still feel the need for a follow-up, because I do not think that an increase of 1.3 pst. in the hospital sector when we have 250,000 in line, is particularly expansive policy. The Health Committee of the European Parliament has previously unanimously decided that the next major area of activity is rehabilitation. When Stortinget has meant it unanimously – and when we see the draft state budget presented and the large available capacity we have in the private and non-profit sector – I want to ask the Council of State again: do you not feel that you can use the available capacity that exists, even better, also socio-economic?
ParlaMint-NO_2009-11-04.ana.ud60e1263	As I said, we put great emphasis on the fact that waiting times are going down. With regard to the queue to which it was referred, many people are waiting for outpatient treatment and just as fully in line. It is important to address this issue and look at the tools that are needed to reduce waiting time and to provide patients with better treatment. As I say, health care companies use and can use private actors if this reduces waiting times. When it comes to rehabilitation, I also want to show that we spend a lot more money on this. It is an important area in which we also have a great deal of focus.
ParlaMint-NO_2009-11-04.ana.ud60e1270	I want to follow up the same one more time. We know that there is a lot of free capacity in the private and non-profit sector – just as there is of course some free capacity in the public sector – and it would make sense to bring people out of waiting lists queues and back to work. That way, we save money on the social budget and other things. When we know that we have this available capacity, shouldn't the Council of State be more offensive in the letter that will go to the health regions and say that you want to use this capacity that is in the non-profit sector, because that will benefit society?
ParlaMint-NO_2009-11-04.ana.ud60e1277	As I said, we're busy bringing down the waiting lists and waiting times for the patients. Using private actors is one of the instruments. At the same time, we are also concerned that we should make full use of the public offer where we have it. But we see that the private is a good supplement in many places. It is also the case that healthcare companies have the direct dialogue and agreements with private operators in this area, and it is also those who assess the quality and see which providers they will actually use. We need to have full pressure on this, go into it and look at the problem of waiting lists – at least I can promise the representative Olsen. And then we're going to follow this up on health businesses as well.
ParlaMint-NO_2009-11-04.ana.ud60e1287	My question to the Minister for Health is: ‘The investment grant for new hospitalisation sites has been at the same level over several years. This means that municipal co-financing is increasing. Especially for municipalities in a difficult economic situation, this will mean that some do not have the resources to build new health homes, all the time when the investment grant is not increased. Will the Council of State consider increasing the grant for the construction of new nursing homes, so that all municipalities with needs are given a real opportunity to make use of the grant scheme?’
ParlaMint-NO_2009-11-04.ana.ud60e1296	The State grants equivalent to 25 pst. of the cost of investment in lucky day care facilities. It is done through the investment scheme for nursing homes and homes. The assessments related to the grant share are based on estimates and averages of investment costs for lucky day care facilities — in particular: experience from the action plan for the care of the elderly. Both the basis of calculation and the grant share are price adjusted in line with the overall level of costs in society. This means that more grants will be given in 2009 than in 2008. The aim of the investment grant granted by the Home Bank to lucky day care facilities is to provide a grant commitment of 12 000 places in the period 2008-2015. So far, 3 500 units have been promised. If we include next year's commitment framework, we are up to 6,000 units in 2010. The Government follows closely the applications submitted under the grant scheme. The framework provided for the scheme and its phase-in will be considered on an ongoing basis.
ParlaMint-NO_2009-11-04.ana.ud60e1307	I thank you for your answer. The state recommends that we have a coverage of 25 pst. to the number of older people over 80 years of age, and then we need 17 000 sick places. Municipalities set up hospitals and shelter them all over the country, and care homes are built in front of hospitals. These tend to have a lower crew than a nursing home, and even if they have a standard of living, patients tend to be moved from nursing homes to nursing homes when they become heavily nurturing. Centres for Nursing Research — South expresses strong concern that the development of nursing homes should be reduced and that municipalities will choose the cheapest solution. They say we'll be facing a real crisis in 10 years if we go to bed now. The Council of State has stated to the Municipal Report that she does not share that concern. What is it when the Council of State knows that the health scientists don't know?
ParlaMint-NO_2009-11-04.ana.ud60e1318	It is difficult to comment on a quote from the Municipal Report in which I do not know the context. I just want to say that it is a priority, important area to follow up the action plan for the care of the elderly, for which there has been a lot of attention, and for which there is a broad consensus. We're going to follow up on the 12,000 sick homes we've told us to build until 2015. In addition, it is important to increase staffing in municipalities. As I said, we will follow this situation closely in the years to come – both in terms of the need, and in terms of the framework and the efforts of the municipalities here.
ParlaMint-NO_2009-11-04.ana.ud60e1323	I thank you for your answer again. With regard to the investment grant, this means that municipalities have to provide much more now than they did a few years ago. The economy of the municipalities is quite implacable. We know that there is a need for NOK 2.5 billion more in the municipalities to achieve the 3pst goal that the state has set. Therefore, there is limited scope for new investments. The Ministry of Knowledge has taken over the fact that we have a number of press areas in this country. For the construction of student cabins, they provide NOK 600 000 for student cabins – that is, at the same level as the one provided for a nursing home in the press areas. Can the Council of State imagine that we might be able to get a more differentiated investment grant to hospitals that deal with this problem? Will the possibility of further increasing the grant be considered at the same time?
ParlaMint-NO_2009-11-04.ana.ud60e1332	As I say, we have an ongoing situation in terms of grants and scope. Our goal is 12,000 places by 2015. We will follow up on the basis of what was adopted in the Grand Duchy in 2008. Then I would like to say in the case of the municipalities: I have a very strong understanding that these are demanding tasks for the municipalities. Equally full, there is also a great interest in the municipalities to follow this up, because they see it as a very important primary task. Then I will also show that there has been a significant growth in municipal income during this government, and it is also in the budget in 2010.
ParlaMint-NO_2009-11-04.ana.ud60e1342	‘Russ abuse is an important cause of poverty and exclusion from society. The waiting time for drug users entitled to treatment has increased in recent years. At the same time, the available capacity of several drug institutions is owned by non-profit actors, and some institutions have also had to close down because health regions have abandoned contracts. Is the State Council satisfied with the drug field in the State budget and with the outsourcing of drug users?’
ParlaMint-NO_2009-11-04.ana.ud60e1349	Many drug addicts do not get the services they need and are entitled to. This is a great burden on themselves and their relatives. Many have experienced — over time — that they have to wait a long time before starting treatment and that there is not enough connection in the course of treatment. Equally full: The government has strengthened the drug field by about 835 million. kr since we took over in 2005, including the draft government budget for 2010. About 350 million. Dr has been strengthening treatment provision in the specialist healthcare service for this particular group. The escalating plan for the drug field ends in 2010, and after that we will continue to develop the drug field, as stated in St.prp. No 1 for 2009-2010. In the request decision No: 478, 16 June 2009, asks the Government to propose a ‘stronger commitment to overall drug treatment and follow-up’ in the context of the 2010 State budget. Better coordinated health and care services are an important objective of the Interaction Reform to be implemented by the Government, which lies in the United Kingdom for treatment. I agree with the representative Syversen that there is too long waiting for multidisciplinary specialised treatment for drug addicts. At the same time, it is important to be aware that the number of drug addicts entitled to treatment has increased considerably since the entry into force of the drug reform in 2004. This has made great demands on the treatment apparatus. In 2009, we recorded some increase in waiting time for multidisciplinary specialised treatment. At the same time, regional health businesses have strengthened their treatment capacity. This increase will not affect waiting times until the third tertiary in 2009 or the first tertiary in 2010. The representative Syversen takes up the situation of the private, ideal actors in the field of drugs. As Minister of Health and Welfare, I am concerned that the services of drug addicts should be of the highest quality possible. Quality has been a central element of the procurement processes carried out by regional health businesses. I am sure that they have made sure to acquire services of the highest quality possible. Private actors have a central place in the treatment of drug addicts. More than 60 pst. in the case of multi-disciplinary specialised treatment, day-care facilities are operated by private providers who have contracts with regional health establishments. These agreements have been concluded in line with the public acquisition legislation. It is the regional health enterprises that have to assess, according to their responsibilities, the needs of specialist health services for the population in the health region and the organisation of services. This means that regional health businesses themselves need to consider the need to conclude agreements on multidisciplinary specialised treatment for drug addicts with private institutions.
ParlaMint-NO_2009-11-04.ana.ud60e1364	I think both the Council of State and I can agree that when someone who is addicted to drugs and who is motivated for treatment and wants to enter treatment, wait for six, seven, eight, nine weeks before there is free space, it is not certain that the same motivation is present. It's a big challenge for Health-Norway, and socio-economically I think it would have paid off to bet more strongly. Then it becomes a great paradox for me that well-functioning institutions that have been operating for 30 to 40 years with good results are at the same time being shut down, because they do not get into a tendering process that is now being run quite so rawly by regional health businesses. But I understand that the thesis that Granny is not going to tender does not apply to drug users.
ParlaMint-NO_2009-11-04.ana.ud60e1369	So now it's 60 pst. by those institutions are private. Many are run by non-profit institutions that do a great job — and I fully agree — towards drug users. At the same time, however, in this field, we need to comply with the procurement legislation. I also believe that the former Minister of Health of the Christian People's Party, Dagfinn Højbrätten, made a strong commitment to the drugs field in 2004. Quality is, in fact, a very important criterion for health professionals to choose treatment provision. But I very much agree with the representative Syversen and share his concern about waiting time. I promise that at least we will do everything we can to reduce the waiting time as much as possible.
ParlaMint-NO_2009-11-04.ana.ud60e1376	During the former Minister of Health, Højbräten, there were no such closures of non-profit institutions, as one example. We have had several rounds here, but I just have to note that the government is running by law on public acquisitions and refers to EEA rules that other countries within the EU do not even use. It is probably now three years since the Government at the request of the Stortinget, and after a document proposal from the Christian People's Party, they said they should look into this legislation, and we must note that nothing has happened. It must also mean – I regret to say – that there is no commitment to see the importance of non-profit institutions to this sector. You can lose a tender, but then you have also lost the line of treatment that has been in 30-40 years, which has produced good results, and then a commercial company comes in. But okay, if this isn't of interest to the Government, we have to take note of it.
ParlaMint-NO_2009-11-04.ana.ud60e1381	I notice that questions are asked about the government's motives for this. I can assure you that the government's motives here are to provide the best possible treatment – and as soon as possible. It is worrying that many are in line. At the same time, I cannot quite understand how to meet the strong need of the opposition to get more private people to provide services, while not getting a tender. We follow that legislation, but I'm always willing to see if we can make changes or adjustments to the legislation. I am concerned that there should be quality in the treatment offered throughout the country.
ParlaMint-NO_2009-11-04.ana.ud60e1390	I would like to ask the Minister of Health: ‘Christian People’s Party wants a dental reform to ensure that dental health is financed as other health services. As a very first and highest priority step towards the full implementation of such a reform, the current system of freedom of payment must be extended to long-term social assistance beneficiaries. It is also necessary to ensure free treatment for other groups with similar low disposable income. This must be gradually extended to all persons with income below 2 G. Will the Council of State agree with these proposals of the Christian People's Party?"
ParlaMint-NO_2009-11-04.ana.ud60e1399	The government's objective is for the public to gradually assume greater responsibility in the dental field. In the hoarding message about future dental services, St.meld. No 35 for 2006–2007, the possible extension of public funding for dental care is discussed. Based on current rights to publicly funded dental services, it is proposed to respond to those most in need for disease and economic reasons. Persons with very low income and people with high dental costs are mentioned in this context. In line with the Storing Communication, the Ministry is in the process of identifying and analysing what it will cost to extend the social security scheme. We have little knowledge of the real needs of the population and of how the dental condition is for those who can't afford to go to a dentist, or who have other reasons not to. The government will come back with the measures in question in budgetary terms. I appreciate the commitment of the Christian People's Party and look forward to working together with the opposition parties to follow up the proposals in the paper and find targeted measures for those who need it the most.
ParlaMint-NO_2009-11-04.ana.ud60e1408	It has been quite a long time since the dental report was processed in Stortinget. The only concrete dental bet that we now see in the government statement is that over 75 years of age should be given free dental control, so it is not addressed to vulnerable groups, such as. long-term social assistance recipients. Isn't this a right to the election promises that all three government parties had? One should also have expectations that this would be faster than new investigations.
ParlaMint-NO_2009-11-04.ana.ud60e1413	I'm concerned that when we say we're going to do something, we're going to implement it, and have the opportunity to implement it. The representative Davøy knows that we have major health and care challenges. We want to make a good offer also linked to dental health, but we have to go step by step. That is why we have said that we should first make an offer to them over 75 years, according to what is on the government platform.
ParlaMint-NO_2009-11-04.ana.ud60e1420	The Christian People's Party has on a number of occasions called for a stronger impoverishment from the Government. Social differences also affect health status in terms of inequalities in health and violate the objective of equivalent healthcare for all. It also applies to dental services. It is important to take action against specific groups to ensure all good dental health, as is also stated in the dental report from the Government. It's been a very long time since we had this message for processing. Year after year, we have also requested when the measures come, and each time, the answer is: we push it, we push it. Now it's going to be investigated further. Which groups does this apply? I think many of us know which groups it's about. This could have been started earlier. Has the government simply reduced its ambitions in relation to what was presented in the dental report? Because it seems like it.
ParlaMint-NO_2009-11-04.ana.ud60e1427	We haven't reduced ambitions, but as I said, we have to start somewhere. Now we start with those who are over 75 years old. That's what's also on the government platform. We first have to do a thorough work on an investigation to see what the state is, and what this will actually mean. Then we'll come back when that job is done.
ParlaMint-NO_2009-11-04.ana.ud60e1435	‘Does the Government intend to ensure that people from all over the country with eating disorders are given the opportunity to choose treatment at the Capio Anorexia Centre in Fredrikstad if it is the offer that can provide help as soon as possible?’
ParlaMint-NO_2009-11-04.ana.ud60e1440	Regional health establishments shall at all times assess whether the supply to people with eating disorders is of sufficient quality and capacity. This may be done by offering in public institutions or by agreeing with private service providers. If regional health enterprises buy services from private providers, this can be done either through the purchase of adhoc sites or through a framework agreement, as Health South-East RHF has done. Capio Anorexia Centers in Fredrikstad offer specialized treatment to people with eating disorders. Capio does not offer treatment to the very sickest. The most ill will need an offer at regional level, in close cooperation with somatic specialist health services. Capio has applied to the Ministry of Health and Welfare for hospital approval, but has been refused because the centre’s activity is not considered hospital treatment. Capio is therefore not covered by the free choice of hospitals, so that patients from all over Norway can choose there. Act on patient rights and regulations on the prioritisation of healthcare, etc. constitutes the legal basis for prioritising patients referred to specialist healthcare. The legislation should help to ensure that those most in need get to proper health care as quickly as possible. Where it is considered that a patient with eating disorders is entitled to the necessary health care, a period of time shall be fixed within which professional care requires the provision of medical care to fulfil the patient’s right at the latest. Despite a common legal basis, there have been considerable differences in the prioritisation of the prioritisation rule. This applies both between regional health enterprises, between disciplines and within health enterprises and disciplines. The Directorate for Health has published priority guidance counsellors in several disciplines, including: mental health protection for adults and mental health protection for children and young people. Prioritisation guides shall contribute to the equal treatment of «equal» patients, irrespective of their country of residence and the hospital to which they are referred. There is a requirement to be a regional competence centre for eating disorders in all health regions. Competence settings are now in place in all regions. The last one is recently established in Health North, and they have received patients from October 12. The mission document of the regional health establishments for 2008 and 2009 has been clear that the supply of people with eating disorders needs to be further developed. As Minister of Health, I will not review the professional assessments relating to whether Capio will be the best offer for individual patients, or whether they will receive an equal or better public health service offer. In meetings with the regional health establishments on the 2010 mission document, regional health establishments are invited to use the offer at Capio Anorexia Centres where this is correct on the basis of a professional assessment.
ParlaMint-NO_2009-11-04.ana.ud60e1455	The reason why Capio Anorexia Centers in Fredrikstad are not approved as hospitals is not the content of the offer, but that the preparatory work of the Special Health Service Act is based on a very strict somatic approach to the definition of hospitals. The strict somatic approach to the definition of hospitals resolved the Stortingen in the context of the 2004 drug reform, when one gave drug addicts a specialist offer in defining multidisciplinary specialised treatment as a specialist treatment. Clearly, the group of patients with eating disorders has the same need for multidisciplinary specialised treatment over time. Thus, it is our responsibility to be able to change the law, so that this is an offer that can fall within the right to free hospital choice. Could the Minister for Health support such a change of law?
ParlaMint-NO_2009-11-04.ana.ud60e1462	As I said in my post, I believe that it is not a political assessment whether to approve an institution as a hospital or not. It must be done on a medical basis. At the same time, I would like to say that if there is something that has been raised in Stortinget, where it is requested that the law be amended, we must look at it and go through it. But to sit politically in addition to the professional evaluation done in the Health Directorate regarding the approval of Capio Anorexia Centers as a hospital, I will not do without further notice.
ParlaMint-NO_2009-11-04.ana.ud60e1467	I just want to remind you again that it's not the professional content, but the law that's obstructing here, and the law is absolutely a political responsibility. What today’s rights are linked to a breach of a defined time limit for processing does, of course, mean that any offer in a region, for example: an outpatient offer to the group of eating disorders, according to the law, will be perceived as having given a treatment offer. Thus, the fact that a health company provides an outpatient supply to a person with eating disorders would outweigh the fact that that patient is not given the opportunity to receive a multidisciplinary specialised long-term treatment, for example. at the Capio Anoriki Center in Fredrikstad. This is very serious in relation to this patient group, and it also leads to patients who are in the hospital today... [[The President cut off]]
