ParlaMint-NO_2009-12-09.ana.ud773e67	The representative Peter Skovholt Gitmark, who has been on leave, has again taken the seat.
ParlaMint-NO_2009-12-09.ana.ud773e1824	We have to create more if we're to distribute more. We need to strengthen research and development, so that we can convert from fossil to renewable energy, to energy saving, a greener business and, above all, longer value chains. Competence and research are essential for Norway to compete in international competition. The fight for the good minds goes not only between regions in Norway, but we also compete with other countries. This is an important area for our long-term capacity for value creation and innovation. It is essential that Norway is attractive as a place of study and work for the best students and international excellence. It is also important that enterprises are encouraged in various ways to further train their workforce and develop their skills. At the bottom there must be a course of education from primary school to university, highlighting the importance of knowledge, including practical knowledge, and making clear demands and expectations. Nutritional research and commercialisation of research results must be given priority. We need a strong public commitment to research, but at the same time we need to go with business to a greater extent in order to increase research efforts, especially in small and medium-sized enterprises. In addition, the public sector needs to be better exploited to promote innovation. The public sector has a high potential to contribute to increased innovation through its activities. This can be done through deliberate thinking through purchases and acquisitions, increased competition and tenders. Small and medium-sized enterprises do not have their own research departments, and public efforts against industry for research purposes must be focused primarily on this target group. Tax FUNN is a good tool that can be further developed, so that more people can make use of the scheme, not least those companies that are unable to make use of it as well today, perhaps especially small businesses. Universities and higher education institutions need to be strongly promoted for fruitful cooperation with industry. There must be good and strong research environments in all parts of the country, stimulating cooperation with enterprises. In this context, the regional research funds are very important. These will link local business and higher education more closely with the research environment. I believe that future value creation will be built on research to a much greater extent. That is why I and the Centre are very pleased that, from New Year's Eve, we have spent SEK 6 billion on regional research funds, as well as other research efforts, which have also been strengthened in this budget.
ParlaMint-NO_2009-12-09.ana.ud773e1847	Everything is related to everything, as our dear Gro Harlem Brundtland once said. Yesterday, the Labour and Social Committee dealt with our budget area here in the Chamber. It is a budget that is increasing enormously this year. But unlike when, for example, The education or cultural budget is increasing, we believe that an increase in our budget is very serious. We have some serious increases on the social security side. This year alone, our budget area in the field of employment and social affairs is increasing by DKK 30 billion on the expenditure side. There is an increase in the number of miscarriages, and there are figures for expected sick leave that are very serious. That's the main challenge for all of us in the future. We can't sit still and watch so many come out of work, and we can't see that the cost of this eats up our space of action in all other areas. The increase in our area is serious because it's about, is that behind the statistics and the numbers there are people, thousands of people who, for various reasons, are unable or unable to get jobs, but who could do it if they got better follow-up and better help. That is why the increase in our area and the estimates of sick leave are serious for these peoples. It is serious for enterprises that lose labour and it is serious for the state and society as a whole. We have to take it very seriously. When we look at who's hiding in the increase in statistics, we see some worrying signs. There is one group that is overrepresented and that is increasing most, and that is the group of young people. There are young girls and young men in construction. When youth unemployment increases, it is extremely worrying. We know that young people who leave early are more likely to be permanently out of work. Early leave and early long-term illness are a gateway to disability among young people. We got new numbers last week that showed that the number of juveniles is increasing dramatically. We know that the disease picture in the adolescent population is about mild mental disorders. It should not surprise us, all the time we know that the queues in juvenile psychiatry are twice as long as in adult psychiatry. But there is another common feature for this youth group. It's that a lot of them have dropped out of high school. Here we have to put in a huge effort. Early interventions against drop-out in school may be a more relevant response to long-term unemployment and disability among young people than much else. I'm very happy that the government here has increased the focus on drop-outs in school and put in measures. In a welfare society like Norway, it is totally unacceptable to see that so many young people fall out of work. That's why we have to fully focus on drop-out in school. We can't afford anything else. It is a vital investment in our most important resource — our young workforce, those who will in the future ensure value creation and the welfare of the future in Norway.
ParlaMint-NO_2009-12-09.ana.ud773e1863	This debate has become something black and white. When we discuss the education and research sector, it can sometimes seem like there are two completely different countries in two different parts of the world we are discussing. I guess it's not like that. Much is good in Norwegian school and education, but in relation to how much we spend, we should get something more out at the other end. And then I think more of the same isn't necessarily the answer. So just for some clarifications, the representative Tajik says that the Advance Party is just $155 million. kr extra to universities and colleges. That's not true. So we're going to get 355 million. SEK – 155 million. kr as base, and 200 mill. kr to equipment in the sector. When it comes to the top of the government's funds, in a situation where, first of all, the increase in expenditure is the problem, I would say it's a significant amount. But the representative, Wickholm, compared in a somewhat simplistic way poetry analysis with literacy. I'm responding to that. Because when I am going to have my car in the workshop, I am interested that he who accepts my car is able to read the manual of the car, not to discuss the Victorian home around the last century, and why Nora left his Torvald – something I am absolutely sure that large parts of Norwegian business will agree with me. Discussing disqualification at school without discussing theorization of the professions is as meaningless as discussing the breach between Torvald and Nora without discussing gender roles in Victorian home. So the representative of Aasland says that the BIA programme is being reinforced and continued. But he does not answer the question. At the order of Trond Giske, the Research Council has continued all the projects in the BIA through the crisis year 2009. The consequence is that no new projects can be launched in 2010. The technical institutes and the competitive industry in Norway are under strong pressure. All the talk that comes from the red-green representatives about how important they think competitive industry is is becomes pointless in the light of this. At the top of it all, a large majority of this room now agrees that institutions should also be taxed. It is something that has been debated until today, and which some bureaucrats have taken the initiative, but to which the Storting for the first time today agrees. I find that to be something paradoxical. So the representative, Ljunggren, says something that I totally agree with, that the school is going to smooth out social differences. It doesn't do that today. Then she says that the public school should promote talents. I hope we have a beautiful day to see that the public school promotes so great talents that we see a prime minister who has education from the public.
ParlaMint-NO_2009-12-09.ana.ud773e1878	The world is getting smaller and smaller. The orientation of society is becoming increasingly international. This hangs among others. together with the use of information technology, changes in world trade, and people travelling much more than before. The old slogan that knowledge is power is still valid. In fact, it has never been more open than today, I would say. I am aware that the individual’s ability to acquire knowledge will vary, but we all need to be aware that challenge and competence are the very basis for individual employment and safety. The power of knowledge should also carry a responsibility. Young people who start a challenge run have resources, are creative and have different characteristics and interests in a great professional range, which young people have to take advantage of. In all communities, we find a bad “virus”, that is, the “het virus”. It turns out when we least expect it, both in the form of bullying and racism. That's why we have to vaccinate against it – we have to prevent it. The most important weapon against ‘virus’ is knowledge. We can make the right choices if we have insight. Having a knowledge is easier to understand and easier to tolerate. Without knowledge, it is not as easy to distinguish between right and wrong. Knowledge is the basis of common sense. Therefore, knowledge is also the strongest societal transformative force. With the raging technological developments that our society is experiencing and facing, and partly dramatic changes in family and social life, challenge policy may be the most important political tool we have both to counter inequality, as a result of new framework conditions, and not least to create work and security for all. Knowledge is no longer just an input; it has become, to a large extent, a purely competitive factor. Let me end by talking a little bit about research. With the industrial structure we have in this country, publicly funded research is absolutely necessary, both to raise the knowledge challenge we face, and to trigger increased business activity. Research is important for business because it creates both new products and new jobs. Not all enterprises are able to prioritise such development work. Therefore, it may take time to change business. If we are willing to intensify even more industrial research rights, small and medium-sized enterprises will also have great potential for fierce international competition. Knowledge development based on high-quality research is valuable in itself, while providing for the further development of society.
ParlaMint-NO_2009-12-09.ana.ud773e1891	The Church is part of this debate. In the Workers' Party, we are dedicated to having an open and inclusive people's church. There have been many important and long processes to reach such a goal, and there are strong feelings in turn when such processes are started. The Church is God's house, and the Church's people have the task of conveying God's Word. In the Church one must also be able to receive God’s blessing. It is therefore frightening for me to see how some clergymen today operate freely with discriminatory attitudes in their actions. I am thinking especially of the posted this week around the priest in Borgund Church on Sunnmare who would not baptize a child because it has lesbian parents. I don't think the Norwegian Church is served by priests who exclude people from being God's children. Jesus meets all kinds of people in an inclusive way and with great closeness. As I see it, this priest hides himself behind his own petty attitude. The Norwegian cultural heritage belongs to the Christian faith. But one of the reasons why there's a growing group that's volunteering may just be that there are examples of priests like this, where employees in the Church obviously have trouble having respect for the people you're serving. In the Workers' Party, we've been concerned that everyone has equal opportunities. It must also apply in the Church's room. I think it is very critical that conservative, judgmental priests should be able to operate in a way that looks more like a private-activating company than a state church. In today's society, people are well informed and do not find themselves in such an outrage. So from a theological point of view, the child is punished for something that adults think is wrong. That case is probably a good reason to put in place a system that can provide sanctions to help prevent this type of action from occurring. I am a member of the Norwegian Church, and that is exactly why I reserve the right to speak from when I discover critical conditions in the Church. This case shows that there are still ministers in the state church who are indifferent to the development of Norwegian society. It's important that people don't experience being put back decades in time when you go in the church door. Fortunately, these are exceptions, but it's an example that shows that we still have a job to do to make the Church a place for everyone.
ParlaMint-NO_2009-12-09.ana.ud773e1902	I noticed that the temperature increased a little below some of the inlays that took place, and I think that's very good. It is important that we both have a good cooperation and a good idea, as we had in the interpellation debate on Monday, but that we also dare to mark the big, important dividing lines and battle cases. I was very positively surprised that the representative Wickholm found it interesting to read my article in the local party newspaper. I note that in this debate there is a great deal of disagreement, and also inconsistency, when it comes to fresh oils, especially within the government parties. The representative, Tingelstad Wøien, said that private schools were quite fine when they came as a substitute for public, state-of-the-art schools. So private schools are good enough for us who are from the village, but too bad for the cities. Furthermore, the representative Hadia Tajik in his reply to the representative Lien expressed the fear of religious segregation at religious schools – while her own party is part of a government that – only – wants to open up to just alternative educational schools or religious schools. And the representative of Aasen stated that everyone should have the right to a good education and school, where the wallet should not decide – while the Workers' Party continues to discriminate financially against private and public schools, which force private schools to just make parental payments. The government has thus set up a system in which public schools are mediocre and where they are rich and privileged, for example. Government salaries or better — can be bought out of public school and into private solutions. I see it here as useful to make a new quote, this time by Bjørnstar Bjørnson: «To live a consistent life would be something in the world, it would be serious – it costs.» Fortunately, we are rich in the Progress Party – not on money, but on strength, courage and will.
ParlaMint-NO_2009-12-09.ana.ud773e1915	I might have wanted to comment on the last speaker, but I'm going to stick to the script. The government is promoting an offensive research budget, and there are a lot of aspects of the research budget that it might be interesting to comment on, not least the commitment to basic research, which is the basis of all higher education and research. But as a member of the Business Committee, I want to raise a matter that I think is particularly important for the development of Norwegian business and social life, and there is a commitment to research centres for environmentally friendly energy. The programme was launched in the current year, and now there are eight geographically distributed renewable energy centres, energy savings and CO2 capture centres. Center represents the foremost before Norwegian research in its field. Through this programme, the Government and the Research Council have made a clear commitment to pooling the research environment into a common climate and climate-driven framework for forward-looking business development. Research environment in different parts of the country gathers on common problem settings and common objectives. It creates a research environment with greater weight than every institution can manage to create, and it lifts us in international competition. I've had the pleasure of being at the start of one of these centers, and I've seen the enthusiasm that the program has created across institutional boundaries and geographical distances. Centres have established close cooperation with the leading international research community in the field concerned. Here Norway has taken a grip that can give us a leading position in environmental technology and eventually make us independent of the oil economy and the oil industry. Environmental energy research centres also have wide business outflows. In the South, both the supplier industry, the process industry and energy plants have been very committed. That's how we need interaction if we're going to be able to develop a forward-looking, knowledge-based business policy. Good and trusting cooperation between industry and the research community is important for the future and for good results. Therefore, it is important that we have a strong technological research environment in those parts of the country where we have a strong and forward-looking business life. Centres are also committed to the training of researchers, which is a tool for building the future research environment. We thus link the important alliance between basic research and applied research, which is often easy to forget when a person talks about using research. The size has reason to rejoice that it allowed the basis for this effort through the climate agreement. And the government has reason to rejoice that they have implemented the program in a very successful way.
ParlaMint-NO_2009-12-09.ana.ud773e1935	The Scandinavian community is glued to Nordic cooperation and an amazing resource that is important to take care of. Having a common understanding in Scandinavia is a cultural issue that opens up cooperation in a broad range of sectors of society, and it is a community of languages on which it is important to build, not least in relation to a linguistic and economic strategy with regard to globalisation in the world. In this context, Scandinavia is a region which, in an enlarged sense, also includes the Nordic region. To the Nordic Minister of Cooperation, I would like to say that it is a good tip for the Government to go back to the Nordic Language Declaration to remember what ambitions it adds. The way the Government handles the Nordic language work, the way it sees it as one-sided to be a matter for the education sector. It's not. But the education sector is important, and the school is important. It is my acquaintance that the Scandinavian language has fallen out of the curriculum of teachers. It's a very bad starting point for strengthening Scandinavian languages in school. I think it will be important in the further work, including within the Ministry of Education, to tighten up efforts in Swedish and Danish, in terms of – at least – getting it into the curriculum for teachers, but also in terms of the training actually given in schools and the work between schools, which is more about creating meeting points. Then I want to give a visit to the pilgrim theme. After all, the government is betting on pilgrimage, and has invested in the cultural budget in relation to it. I would like to say to the Minister of the Church that – when working on this – you should not forget that pilgrimage is primarily a method of active faith development. This is not a commercial heading for a kind of hiking route primarily aimed at local accommodation and hotel accommodation. This is about people seeking recognition in a special way and from a religious point of view. It must be taken into account when developing this member, in terms of what it means in terms of prices, in terms of availability, in terms of opening hours – this whole picture must have its origin in the Church, not in a commercial project, which you can get the impression of following in the other government priorities in that field.
ParlaMint-NO_2009-12-09.ana.ud773e1946	Research may be one of the most important things we use our resources on. Norwegian business and Norwegian research are in several areas world-leading, and I am proud of this. In this article I would like to focus on the right of nutrition research and the lack of registration of the right to nutrition research. We know there's a lot of research going on in business every single day. But unfortunately, much of this research is not registered as research at all. Often, new projects, new challenges, new solutions start with a business-to-business agreement or customer agreement. Both parties focus a lot on solving the challenge. They're on, they're on, they're on, they're on, they're on, they're on, they're on, they're on, Usually a new product ends up technologically in many cases. Both parties, who have now lost hundreds of hours of work and often had large investments, are content with the results and proud of what they have achieved. What they forget to think about is that this is the nutrition right research, development and innovation that should definitely be registered and registered as a research project. When we hear that our business is too small, I get a little thoughtful. We need to have a dialogue with the business community, where all research and development of new projects are included in the research database/statistics. If we do this, I think we'll soon see that every day our business is researching. I also think we'll see that it will lift Norway as a research nation even a few dots. If we do this, I'm overestimated that our goal of research efforts is far on the way.
ParlaMint-NO_2009-12-09.ana.ud773e1955	Let me start by saying that I'm happy that the private school agreement is permanent. I am pleased with the signals given by the Government, and I am glad that these schools are no longer throwing ball in the debate that some have tried to draw up today. I am also pleased that the church agreement is established, that it is so underlined that we will follow up, and that together we will follow up on what the previous committee and the previous bigotry were able to reach an agreement. I would also like to comment that the Progress Party says that the experience of the proste reform is ‘predominantly positive’ and that it is associated with the rest of the committee, except for the Christian People’s Party. However, I also record that in comments and articles, everything that is difficult to implement this reform is reported. That's exactly the Christian People's Party's point. The purpose of the reform is positive, but because of the lack of jobs it has given rise to major challenges. Councillor Kristin Halvorsen wondered if the Christian People's Party merely argued that we would have more practical approach, and thus cut all the hours. No, our main point is that we want more teachers instead of hours. That's why we've put it into the municipal framework and not into the hourly increase that the government has gone through. Several hours to Norwegian, math and English, which are the five hours spent in the previous round, is not a more practical approach in school. So this, along with the introduction year that the Christian People's Party wants to have for new teachers, I think it could give a good and exciting school. Then the representative asked Wøien where I was from the fact that the subject of work should not lead to study-specific goals. Then I thought: Have I read the wrong one late evening, let me be careful on the side. But now I've picked it up, and it's on page 26 in St.meld. No 44 for 2008-2009, Education Line: ‘Requirements for competence in other foreign languages will still apply in order to receive a diploma from the preparatory education programme in secondary education.’ In addition, it says: ‘In this context, the government will assess whether the subject can also be offered to students who want the second foreign language.’ In other words, it's not reintroducing the electoral professions in high school, but it's creating a system where you don't have the opportunity to go further in the field of study. To Tor Bremer, who says that the only opposition comes with is more money, more money, and that's not what this is all about. No, but the sector was quite shocked when the answer from this government was that there was less money that was the solution. We've re-prioritized, and we spend money in a completely different way. The total economy we've managed to get into our budget, which in the financial debate we got credit for being decent and tidy.
ParlaMint-NO_2009-12-09.ana.ud773e1978	I would like to contribute a clarification and a challenge to the Progress Party. First of all, I understand that the representative Lien was hoping to get me wrong in fact, but I told him knowingly that the Swedish Progress Party was SEK 155 million. kr went to base. He can check that in the minutes. Some may feel that Lien's representative should be a better model for Norwegian schoolchildren, and concentrate when others speak. The second is that I would like to include a paradox in the comments of the Progress Party in the setting. They write there that they want to cut everything into Sami measures, and that they want to put the whole thing down. They will also cut into the scheme to ensure that young asylum seekers receive primary education. This is a cut that affects the rights of the indigenous population and the ability of young children to education. I have always believed that the Progress Party wanted to appear to be a law and order-party, but such cuts in fundamental rights are most likely in spite of Norwegian law. The rights of minorities and indigenous peoples are also human rights. Ensuring the ability of the indigenous population to take care of their cultural heritage and to ensure that children receive basic education are also part of democracy. Therefore, I wonder why the Progress Party seems to have so little respect for Norwegian law, human rights and democracy. In that case, it may seem that the Progress Party is completely in favour of central Norwegian values. I have also noticed that after the previous assembly election, the Progress Party received three representatives from the Sametinget. It is a bit like buying an apartment in a block that you have intended to tear. I note that the Progress Party believes that actions related to some sections of the population, such as joint or minority, are ‘unwanted special treatment’. It seems that they believe that this is how communities or minorities get special benefits, while the measures are really about, are fundamental rights and remedying special disadvantages to which the groups may be exposed.
ParlaMint-NO_2009-12-09.ana.ud773e1991	I think it is refreshing with sharp debates, but I want honest debates. I think maybe I'm among those here in the Chamber who have the best competence in Higher School Policy, and I think it's a pity that today I've had to take the Minister of Knowledge to talk nonsense about what's actually Right Policy. And crazy claims don't get any more correct from the fact that several red-green representatives go up here and make crazy claims about the right. The right has never been for ranking, and the right has never been for commercializing schools. In many ways today is almost a historic day in Stortinget, when the government parties have almost competed to get up on this pulpit and confess to the Knowledge Lift. That's what's needed, because now we really need a knowledge mobilization in Norwegian school. Today's TIMSS results in real science are not a pleasant reading and a new reminder that we jam has a bit of a job to do. Putting words on problems in Norwegian school can't be black paint. I believe that we do both Norwegian school and Norwegian students a great bear service and injustice if we do not deal with the actual challenges we have in school today. The commitment to basic skills was and is correct, and perhaps the most important contribution to preparing children and young people for later education and work in adulthood. If we are to escape from high school life, we must ensure that the students come from primary school with the necessary knowledge and skills on board. In addition, the school must take appropriate training more seriously at all stages. Students who are not A4 must not be presented with A4 solutions. Society cannot afford to lose valuable labour in the future, so the school needs to meet even more pupils as individuals and with the necessary humility and flexibility that it requires. The freedom of method for teachers is a pillar of this important work. The right is also concerned with making teaching more concrete and practical. We have proposed more appropriations for the science centres. I would also like to point out the Newton rooms, which are a great inspiration for teachers and students alike – and are important sources of inspiration and venues for future real-time students and researchers. So to the proposal that the Right has put forward today to reverse changes in characterization. I think everyone here is concerned that we should give the best possible feedback to the students. I'm a teacher myself, and I'm used to giving additional feedback on larger tests. But the new provision implies that every small test should be accompanied by a lot of written comments from the teachers. That's what the Right will bring to life. We are pleased that the government parties say that the proposal can be submitted, and hope this means that the Council of State will intervene.
ParlaMint-NO_2009-12-09.ana.ud773e2006	The President would point out that expressing that someone is speaking falsely, is decided in the frontier country for what is good parliamentary expression.
ParlaMint-NO_2009-12-09.ana.ud773e2010	It looks like we can get through the debate before 16:00. I have a couple-three comments on today's debate. Firstly, I would like to underline some of the claims that have come after my first post today, and this is about the left hand lines, among other things. in the replacement line after Tora Aasland. I haven't announced any significant cuts in the university and higher education sectors. I have not said that this sector is going to ‘blow’. Students and students, schools, universities and colleges will be invested in the coming years. It says in Soria Moria II, and there's no doubt that is going to be a reality. But my point was that there's going to be tighter public budgets, harder than what we've been used to. The action room will be determined a little by how we manage the sick pay, disability benefit and the entire welfare package, which the representative Trettebergstuen had in mind. But what we're going to do over the next few years means that the university and university sectors are not being shielded from change and change. That was my main score. Secondly, the representative Hanekamhaug has taken up the private schools and repeated that there is a shift of lines, changes and something incoherent in the politics of the government parties. On the contrary, I think our policy is very clear. We're against commercial private schools, but we want alternative teaching facilities in private schools that have it. But the Progress Party has on its side come up with confusing answers to questions, because as I understand it, the Advance Party does not want the student payment in private schools, and they are unclear about dividends from school owners. In the previous period, the Progress Party was both for school money and for dividends. It's possible there's a line shift going on, but it's unclear. Finally, the debate on Ibsen. I think it's good, no matter what kind of education you take, which school you go to, that you know why Nora went. Knowing your Ibsen isn't about what level of education you're at. Ibsen is generally valid regardless of culture, regardless of educational background, regardless of the country in which you live, and the time you live. Very much Ibsen is good. It's about an interesting distinction, perhaps, because it's not like people who choose vocational education have more weight in it with regard to Ibsen or other theory. But what we're talking about, maybe, is that if you're not interested and you think some subjects are boring, it makes a lot more demands on pedagogics, as opposed to being very interested in school. Then the teacher's requirements may be less in terms of educational content. It's a more interesting debate than who should be allowed to learn their Ibsen.
ParlaMint-NO_2009-12-09.ana.ud773e2021	I could have made some points here about how important it is with the BKA bet, and how horrific it is that the Right and Advance Party cut in the appropriations for the Education League, but I was accused by the representative Lien of having a disproportionate interpretation of Hanekamhaug's contributions to the election campaign for the Moors and the Romsdal. I don't know, but giving them the cookbook, hammers and voltmeters is probably a gross oversimplification in itself. Lien says something interesting. He says he wants mechanics who can read manuals, not discuss Ibsen. Well, there's a pretty big ideological difference between the undersigned and the representative Lien. One of the reasons a doll home is still being played is that it is still relevant. For example, Nora wanted to. realize itself. She wanted out of a relationship where she was for wrong reasons. Education is just about this too – realising yourself, making your own choices, being able to go out and do something else. I want car mechanics with a sense of community. I think, as the representative Aasen said, we get a better society when we have car mechanics who know why Nora went. Ibsen is a social critic of rank. Limiting that legacy to just some of those who are the most attractive from before is to deprive those young people who are not allowed to participate in it, an important experience and part of their cultural heritage. I think you're better equipped to live with someone you're happy with, for example, when you're standing with Ibsen in your hand, than if you're standing with just hammers and cookbook. But the Progress Party may be pleased with an Education Norway that produces people who can read manuals, as long as they can read the manuals of Tord Lien. Ibsen's criticism may not be as relevant as we think. Perhaps we also see some of the criticism of the gender roles here today, when it's the representative Tord Lien who has to defend the posts of Mette Hanekamhaug in her local election campaign.
ParlaMint-NO_2009-12-09.ana.ud773e2040	In my first post, there was a point to me that there was a lack of noise from the opposition, at least at the height of the helicopter noise associated with Barack Obama outdoors, even up with a relatively large consensus in the superior policy of the sector. But in some areas it was an indication of various political curvatures. I will now highlight this in my article. The Group of the European People's Party (Christian Democrats) and European Democrats has some additions to its draft budget. That's all right. But what's not good enough for us is that they've been going to finance this by sending the bill to the grandparents by adding to the roof for the babysitting. This doesn't have our grandchildren lit up. But the greatest and most dramatic thing about research and education policy is seen with the total cut in regional research funds. These research funds are going to be the backbone of our future development. This development work has the primary responsibility of the county councils and will in the future be much more research-based than it is today. Therefore, these regional research funds are crucial in this work. In fact, the point of regionalising part of research funding is to put the search light on a different knowledge development than what is prioritised from a national point of view. I let myself take some examples from the West to illustrate the point a little bit. We're talking about research linked to the development of nutrition related to aquaculture, and then a named Westland programme for new farming species. I can mention in flång: fjord Norway's investment in travel life, knowledge of our fjord systems, fjord systems that people from all over the world come to Norway to look at, and that we can do nothing and nothing about. We talk about berries and fruits in agriculture, and we talk about renewable energy. We're talking about the use of protected areas as a heritage area, and we're talking about our national parks. This was a small glitch across the most recent research areas in the Western region. In other parts of the country, there may be other important themes. But the tragic thing is that this important research for regional development and for the future creation of value in the country will flatten out the Progress Party, and, in part, the Right too. What I'm wondering is that the Progress Party and the Right in many contexts are apparently honestly occupied with business's possibilities and framework conditions. The big paradox is, why won't the Progress Party contribute to the development of the business environment and businesses in our parts of the country? It is not apparent from the Nordic Progress Party and Tord Lien that the different parts of the country often have different nutritional bases [[President clubs]]
ParlaMint-NO_2009-12-09.ana.ud773e2053	The President asks the representative to respect the measured speaking time.
ParlaMint-NO_2009-12-09.ana.ud773e2056	As the longtime leader of Grimstad – the city of the poets, with the background of Hamsun and Ibsen's life in the city, it was tempting to take another debate now, but I'm going to go back to script. State Council Aasland is wondering why the Right is so dissatisfied. Well, simply because our sense of reality is consistent with that sector that has given feedback. I also want to mention some extra single challenges. The University of Stavanger and the University of Agder are the newest universities. They have asked for and waited for a review of the financial instrument. They are expected to provide in line with the other universities, while still receiving basic appropriations in the context of the grants they had as colleges. Further funding is adjusted to what they deliver. With a much lower starting point, it becomes difficult to reach. This can quickly become a self-enhancing, negative spiral. The government has now concluded that there is no basis for making changes to the financial instrument. So the government is substituting a difference between universities. Another challenge is lack of maintenance. At Ås there is today a building mass so poorly maintained that parts of the buildings had to be closed for safety reasons. So the lack of investment in construction means that the number of places to study needs to be reduced. Then I have to be allowed to comment on the biggest record bomb I think I've ever heard from this pulpit. Freddy de Ruiter compared the Right's resistance to the tax lists — with detailed information on the income and wealth of individuals — with our desire to publish school results at group or school level. The comparison is hopeless. In addition, if it's strange that the Right is opposite one and the other, then it's probably as strange that the Ruiters and the Workers' Party are for one and against the other. As the representative himself said, further comment should be unnecessary. The treatment of the 2010 state budget gives cause for concern about the areas we are dealing with today, especially because none of the state councils are near to convincing me that there is improvement in sight!
ParlaMint-NO_2009-12-09.ana.ud773e2071	The fact that the Minister of Science Kristin Halvorsen is trying to misrepresent the Right School Policy is now one thing, but she is also trying to decorate SV's own sad school history – and it's getting a little late. I would quote from an interview that her predecessor, former Minister of Knowledge Øystein Djupedal, gave to the magazine Education in May 2008: ‘SV lacked a comprehensive education policy. As a member of the government, it doesn't seem like a party just to be against Kristin Clemet and what she did. Much of the responsibility lies with the former committee leader. He devalued systematic knowledge. We simply took over an educational policy that was too lightly thoughtful and easy to attack. The two unsuccessful election campaigns of the party leadership in school must also take some of the blame. Both the election campaign in 2001 and 2003 revealed a serious failure in our education policy. In addition to criticism from the civilians, we received many and justified reactions from our own teachers and schoolchildren. They didn't recognize the school party. That's why we became a grateful target for the opposition. SV had to design a new foundation for education policy.’ So the presentation that the current Minister of Knowledge is trying to give here in Stortinget is wrong. SV lost the school policy struggle at the end of the 1990s and at the beginning of the 2000s. We – and not least Norwegian students – should be happy for that.
ParlaMint-NO_2009-12-09.ana.ud773e2083	In the debate, it has been claimed that the Progress Party is so very concerned with testing and testing for the students. This is absolutely right. But it's not to bother anyone or to put anyone in the gaping stick. On the contrary, it is in order to follow the Training Act, where one places emphasis on individual students being trained according to their own abilities and assumptions. And to find out what level the student is at, it needs to be tested and tested. This is also important for the teacher, student and parents, so that the student actually receives training, follow-up and feedback on how his or her development is. Several have stated in the debate that the teacher is the most important person in the school. This is why the Progress Party wants the teacher to receive feedback from students and supervisors as well. Also in this case, it is important that students are tested regularly at all stages, to see if the teacher is able to transfer knowledge to the student. If the student does not have the expected development — measured over several years and assuming that it is the same teacher that has the class — yes, then this must have consequences for the teacher. Tests and tests consider the Progress Party to be at the best of the student – in order to obtain the best possible learning outcomes. There are good teachers, and someone who needs further education. And someone should probably find something completely different to do. I have also noticed that representatives from the government parties are positive that methods of testing the students are being developed, but they do not defy it skillfully for tests or tests. What it's called means little to the Progress Party. The most important thing is that it benefits the student — in the form of a good learning outcome.
ParlaMint-NO_2009-12-09.ana.ud773e2092	Anne Tingelstad Wøien has spoken twice and is given the floor for a brief comment.
ParlaMint-NO_2009-12-09.ana.ud773e2095	I feel the need to provide some clarification. To the representative Eriksen: I asked her where she had it from that one was bound to follow the subject of an elected professional – that is what I meant. I did not mean this in relation to the fact that someone then would be able to choose the study-specializing subject further. In that case, I misunderstood the representative Eriksen. I fully agree that this will not be introducing the old electoral profession again, but it will allow for more practice in high school by choosing away the second foreign language and depression in Norwegian and English, which I think has perhaps been the biggest bend in this particular period. So to the representative Hanekamhaug, who I think has chosen to misunderstand about private schools. I think I said that the most important thing is to make sure that we have a good common school, which has room for everyone, wherever they come from – also geographically. The centre party is opposed to such a price financing scheme as the Progress Party proposes, which we believe will lead to a solid centralisation of schools across the country.
