ParlaMint-NO_2022-01-19.ana.ud1e28	The representative, Mr Grete Wold, will put forward a proposal for a representative.
ParlaMint-NO_2022-01-19.ana.ud1e884	‘When will the Government implement the point in the Hurdals platform to ‘move a sufficient number of Bell 412 helicopters to Bardufoss to strengthen the army’s helicopter capacity pending the purchase of new helicopters’, and what measures will be taken to compensate for the loss of the operational capability of the Special Forces?’ It became a little bit new, but it's taken from the basic text.
ParlaMint-NO_2022-01-19.ana.ud1e891	Both dimensions are very well used in the staging hall, so it's going well.
ParlaMint-NO_2022-01-19.ana.ud1e896	The representative is in charge of the new Norse well, it sounded like, so it's good. And it's true, as the representative of Riveres says, that in our political platform we have assumed that the army's helicopter capacity should be strengthened pending the purchase of new helicopters, precisely to improve the army's ability to train as well as to exercise helicopter support in operations. As the Hurdal platform also says, it will be necessary to make a more detailed assessment before the government decides on a concrete timetable and the scope of such a move. We are already carrying out that assessment in the Ministry of Defence. When this is clear, we will inform the Storing in an appropriate way about the number and timing and how this is implemented. It is quite obvious that the government's intention and purpose is a solution that more closely supports helicopter support for both the Army and the Special Forces. Of course, it's demanding when you have a certain number of helicopters to care for that needs to be distributed in a different way. Regardless of the future distribution of today’s and new helicopters, it is important for the government to ensure that the counter-terrorism preparedness in Back is maintained. This means that the Defense Helicopters will be able to assist the police in sharp operations. Helicopter readiness on Rygge is also a crucial element in resolving the defence mission within maritime counter-terrorism.
ParlaMint-NO_2022-01-19.ana.ud1e907	The answer might well be summed up briefly as if the person who is living is going to see. But there are some undeniable facts you have to deal with: Air Force is in a very demanding situation; new rescue helicopters are to be phased in, because the NH90 has its well-known problems, new fighter planes and new maritime surveillance aircraft. Air defence is based on competence in terms of pilots, technical staff, etc. Does the Minister see the additional challenges that the Air Force can face by possibly splitting the helicopter environment between Rygge and Bardufoss, and how will corrective action be taken to address the additional problems likely to be imposed on the Air Force by the need for more competence?
ParlaMint-NO_2022-01-19.ana.ud1e914	In the spontaneous question hour I gave tribute to the Right for increasing the appropriations for the Defence and strengthening the Defence, but the representative of the Rivers has now illustrated in an excellent way that there are still great weaknesses in which the previous government has not been able to clear up, in terms of the challenges that the representative has pointed out in a very good way. I don't have to repeat it. All of these areas are at work by the government. It's demanding, there's no doubt about it. Dissemination of these helicopters and taking some northwards while maintaining a good preparedness for counter-terrorism can be done in several ways, e.g.: by hiring civil helicopters in some areas where necessary. In addition, it is important to remember that the police have strengthened their helicopter service.
ParlaMint-NO_2022-01-19.ana.ud1e921	Thanks for the answer. The Bell helicopters are now in the process of reaching their technical lifetime. They're almost literally flying into the sunset. The plan is that new Bell helicopters will be acquired from 2024 onwards and from 2029 onwards. So now we're in 2022. My simple question to the Minister is: Are you on the road to the acquisition of new helicopters to meet the first milestone in 2024?
ParlaMint-NO_2022-01-19.ana.ud1e928	It's obviously the government's ambition that we should follow that plan. As I said earlier in the debate today, we are also aiming to deliver a message during the year, with some re-priorities in what we are doing. Both the Workers' Party and the Center's party were engaged in strengthening the Defence Forces in the last period. Some of the criticisms made against the previous government were that some came too late, and that it was too little. To the extent that the representative himself has illustrated this, it has now been through the weaknesses we are looking at, for example. this area. The Hurdal platform is clear that these are areas where the government will prioritise and work to improve. That's also my starting point. It works for, and the representative said, "Everyone who lives will see what comes in the message that is being promoted to the Stortinget at some point in the course of the year.
ParlaMint-NO_2022-01-19.ana.ud1e938	‘The centre party pushes the people in front of them when they want to dissolve Troms and Finnmark. It appears as a paradox that the Center Party is opposed to regional reform, apparently only because the Stortinget made a decision in which the Center Party disagreed at the time, while their own Åslaug Haga gave much prestige in a similar regional reform, which was scrapped by the Stortinget. Is it so that the Center Party is really for county mergers and thus not for principleal opposition to the merger of Troms and Finnmark, but opponents of the way it happened?"
ParlaMint-NO_2022-01-19.ana.ud1e945	During the Question Time last week, I was challenged by the left-wing representative Bjørlo not to be so concerned with the sharing processes, but also to stand up for the county councils and the opportunities they are working on. I replied that it was essentially the last thing I want to spend time and energy on. But the left-wing representative, Skkelstad, is still following up here today with another question about county division, history and what has happened before. Of course, I will answer that question. I don't want there to be any doubt with the Left, one of the perpetrators of the coercion of the county councils, that the central party is responsible for another policy. The central party voted in favour of almost all of the voluntary municipal and county municipal mergers promoted by the Solberg government, but we have rejected Left's forced use. It is a fundamental prerequisite for the Centre Party to place high emphasis on local democracy, not least in assessing whether or not one should remain as one's own entity. This is also the basis for the government's work.
ParlaMint-NO_2022-01-19.ana.ud1e952	When the Council of State was head of the KS, we met for debate during Arendalsuka last year. Among other things, we agreed that the county councils could carry out far more tasks than today. Terje Hagen, who led the Hagen Committee, was also involved, and underlined that new county municipalities now represented regions that could take on more tasks than with the previous structure. In the discussion of tasks for the county municipalities, Gram made a wise request: the power that potentially lies in the county municipalities, we need to build on and exploit. I then assume that he referred to the potential force in today's eleven county municipalities. Does the Council of State think that the potential power of the county councils he referred to as the then governor of the KS will be weakened if Troms and Finnmark are dissolved?
ParlaMint-NO_2022-01-19.ana.ud1e963	I am very concerned about the role of county councils in Norwegian administration, in both service provision and development work. I believe that the county councils are a very important player here, not least as an actor in regional development by building regional partnerships and taking advantage of regional advantage. Therefore, the government is betting on the county municipalities and on strengthening the county economy. We have shown in the Hurdal platform that we want to look at the division of tasks between, among others. the state administrator and county councils, and also in other circumstances. I have also pointed out in the previous answer that work on regional growth agreements for county municipalities is becoming central. I believe that the tasks we see for us now, the tasks the previous government added to the county councils, and what we are looking forward to in the future, can well be carried out even within a changed county council structure, which there may be opportunities for applications to obtain.
ParlaMint-NO_2022-01-19.ana.ud1e972	I don't want to completely drop the Hagen committee and the tasks that were proposed moved to the counties. The selection underlined that it was just the new state structure that opened for such a massive relocation of tasks. When the matter was dealt with in Stortinget in the autumn of 2018, the Senterpartiet went a long way in supporting the Hagen selection of tasks they proposed to move out. Here's something creeping. The centre party refuses to accept the premises for how and why those tasks can potentially be moved out, namely through larger regions, but still wants several of the tasks to be moved out. Does the Council of State really think that the Hagen Committee's report could still have been moved out — even if you choose to reverse some of the states? I had foreseen that the Council of State was a little bit more ambitious, so it's a paradox that he's now landing on that there's only tasks that lie around the manager, he wants to move out.
ParlaMint-NO_2022-01-19.ana.ud1e981	I do not think that is a correct representation of the answer I just gave. I pointed out the desire to strengthen the economy of the county councils, such as. can help strengthen the muscles of regional development. I referred to specific government administration tasks, but I also said that it was relevant to look at other tasks. I showed you, among other things: to the government's proposal to develop a system of regional growth agreements, where county municipalities can play an important role. It is tempting to ask a question back, for this question I have now received several times from the representative of Skkelstad: it seems to me that it is very unclear to me what specific tasks he is talking about as today's county councils or an adjusted county structure can actually carry out. I've read the Hagen committee, and there's a lot of work there that can be done with an adjusted county structure as well, perhaps apart from relocating responsibility for the hospitals. However, I have not heard that the representative of Skkelstad is in charge.
ParlaMint-NO_2022-01-19.ana.ud1e988	The representative won't answer that, because now we're going to go to the next question.
ParlaMint-NO_2022-01-19.ana.ud1e996	‘In the Hurdal platform, by 2023, the government promises to secure at least one high-speed charging station in all municipalities. It also promises to introduce VAT on the most expensive electric cars. Both promises originate from the Workers’ Party’s ‘100-day plan for a new government’. No VAT was proposed in the State budget, although it has support in the majority of cases. On the other hand, 100 million were granted. kr to charging stations. How many fast charging stations does the government expect you to get for the money, and how many more could you get if you had introduced electric car VAT in line with the promises?’
ParlaMint-NO_2022-01-19.ana.ud1e1003	The climate crisis is our biggest challenge. For this government, it is clear that we are going to achieve the climate goals, and that we need to align our economy with being more renewable and sustainable. That is why we already made clear in our first state budget that we are going to cut greenhouse gas emissions. One of these grips was to grant 100 million. kr to build new charging stations. Norwegian electric car policy is a good example of good climate policy. That being said, it is not as easy to drive an electric car anywhere – as the representative is probably aware – because fast charging stations are just missing. This hole in the charging map will be removed by the government. That is why, as I said, we have already allocated 100 million in the additional number. kr for the expansion of fast charging stations. It will provide more opportunities to cut greenhouse gas emissions across the country. It is not so easy to answer exactly how many quick chargers it will be possible to establish with 100 million. kr before Enova has made an assessment of which of the areas to be prioritised first. There may be very wide variations in costs associated with construction, and much depends on the close proximity of the charging station to the established power infrastructure. For example, Enova provides information on: an average charge for setting up a charger of 50 kW is above 1 million. kr. If chargers of 150 kW are to be built, the cost could increase to 1,5 million. kr. It will be in line with the overall governance of Enova, be up to Enova, to set up the aid scheme based on their experience and professional judgement. The Hurdal platform shows that government parties will ensure a fair climate policy and that VAT is paid on the purchase of a new electric car in excess of NOK 600 000. The date from which this shall apply is not specified. An amount limit of 600 000 kroner per car would mean a completely new element of VAT. This raises technical, legal and administrative issues that need to be addressed. An amount limit would also be part of the EEA Agreement, since the exemption from VAT is to be regarded as State aid and authorised by ESA in its current form from 2022. With the limited time available to the government, it has not been possible to put an amount limit into the budget for 2022.
ParlaMint-NO_2022-01-19.ana.ud1e1014	Thanks for the answer. If climate policy is to be balanced, we depend on it to have broad support, and that climate policy does not reinforce economic differences. Today's electric car policy may have contributed to the opposite, because we see for example. by statistics from the Statistical Central Bureau last year that the most expensive electric cars are still purchased by those who have the most money. At the same time, we have a number of municipalities – at the turn of the year there were 73 municipalities – which do not even have charging stations. I will follow up on what the Council of State answers on VAT. We have already differentiated VAT, for example. on electricity, without this being contrary to EEA or EU rules. I wonder if you have started the work of introducing VAT on electric cars.
ParlaMint-NO_2022-01-19.ana.ud1e1023	The President will again remind you that all speeches must be directed through the President.
ParlaMint-NO_2022-01-19.ana.ud1e1028	Yes, with regard to VAT and the piece that the representative here concerns, it is under the Ministry of Finance, so I will not go into that further. But I agree with the description that we will make the electric car available to everyone. That is the intention, and it is the intention that we should have an offensive policy to develop charging infrastructure throughout the country.
ParlaMint-NO_2022-01-19.ana.ud1e1033	Then I keep going on that track. If this government had imposed VAT on the most expensive electric cars, it would have revenues to use to seal the holes in which the state council itself was located, linked to charging stations throughout the country, so that an electric car becomes less a luxury in the urban strut and becomes more accessible to most people. That's why I'm still wondering if the Council of State can respond to the 100 million. SEK set aside is sufficient to ensure charging stations in all municipalities, in line with the 100-day plan, and the introduction of VAT will contribute to increasing the amount so that they actually get the promises made.
ParlaMint-NO_2022-01-19.ana.ud1e1038	The point of my post was that we have financed up this measure. These 100 million. kr is calculated on the basis of a need, but I also tried to describe that of course there will always be some uncertainty associated with these calculations. It is our goal to have high-speed charging stations in these municipalities, which are missing, which form the basis for this allocation.
ParlaMint-NO_2022-01-19.ana.ud1e1046	‘In the Hurdal platform, the government promises to stop the free slip in the taxi industry. The same promise was made to the Workers' Party in its «100-day plan for a new government». Now 100 days have passed, but no suggestions have been put on the table. The government has only said that the work has started, but without specifying what is actually being assessed, or how long it will take. At the same time, it is clear that there is a majority on Stortinget to stop the release. When will the government put forward a concrete proposal to stop the drop-off in the taxi industry?’
ParlaMint-NO_2022-01-19.ana.ud1e1053	The government will restore a well-functioning taxi market, and we will, of course, follow up the objectives of the Hurdal platform. This government will ensure a taxi industry with orderly conditions, where customers are safe and drivers have a job to live on. We're going to have a safe patient and school transport and a good taxi offer in the districts, and we're going to stop the freeway we're now seeing in the taxi market. Today's regulation of the taxi industry is controversial and demanding, and I understand that there is impatience related to the announced work. It is also important that we make solid solutions that last for time, both to restore predictability and trust, and to avoid new rounds with major regulatory changes. This includes, among other things: the need for final clarification of the scope of action in EEA law. For this government it is essential to ensure a good and predictable taxi policy. Nevertheless, we are clear that we want a different course from that of the right-hand government. That is why we have today also announced that we will introduce new requirements for copyright holders. It will ensure skills that can contribute to a more serious working life in the industry, and we will also look at requirements for bank guarantee, possibly roof lamp and other positive grips that can be right to relaunch. I had meetings with business operators, county councils and control authorities last November, so we did this very early after we entered the government offices. There I got a lot of good input, and I think we're going to have a good process involving the people involved, especially the workers' organisations, but also the industry in the work we're going to do on designing a taxi policy that stands, but of course is based on the Hurdal platform. We will now consider a number of different concrete actions to follow up the points of the platform and the processes required to achieve that implementation. In a short time, I'll be able to inform you more about further follow-up in this very important area.
ParlaMint-NO_2022-01-19.ana.ud1e1068	I just have to remind you that both the Norwegian Taxi Federation and large parts of the trade movement have called this a recipe for social dumping. It puts pressure on pay and working conditions for those who were already in the industry. Since this reform was introduced, more than 4,600 new rights have been granted. The number is from the turn of the year. Does the Council of State realize that this can be reversed, or would you just say no to further release?
ParlaMint-NO_2022-01-19.ana.ud1e1073	I now explained to you, among other things. that we are going to impose some requirements on perpetrators, and then we are going to investigate in more detail how we are going to address the specific issues mentioned in the Hurdal platform. So these are the points of the Hurdal platform that underpin the work we're going to do. But I ask for understanding that we need to investigate what is going to be implemented as a policy in Norway.
ParlaMint-NO_2022-01-19.ana.ud1e1078	It is stated in the 100-day plan of the Workers' Party for a new government that this release should be stopped, so I take hold of the thread we started here. I understand you're talking about investigations and stuff like that. But will it take six months, will it take one year, or will it take two years? When can you expect a reverse in the taxi reform?
ParlaMint-NO_2022-01-19.ana.ud1e1083	I don't entirely accept the premise for what the representative is saying now either, because we are doing this work, and we will of course be able to bring down the individual issues gradually. I am already notifying you that we will do something about claims for perpetrators. Then there will be other concrete points on the go. We're not going to spend a very long time doing it, but we're going to do it thoroughly enough to say that it's a solid taxi policy that can have connection, ups and downs over time.
ParlaMint-NO_2022-01-19.ana.ud1e1091	‘The oil and gas industry is Norway’s main industry and accounts for a very large proportion of Norway’s revenues. The industry also has thousands of Norwegian jobs. The government, in agreement with the Swedish Government's proposals to the State budget, has imposed a CO 2 tax on the oil and gas industry of a total of 28 p.p. and stopped the 26th concession round. How will this CO 2 tax negatively affect the oil and gas industries here in Norway, and how will the 26th concession round stop order affect industry and jobs in terms of lost oil revenues?’
ParlaMint-NO_2022-01-19.ana.ud1e1104	The Norwegian petroleum industry shall be developed, not liquidated. The petroleum sector is a highly productive industry that contributes to high incomes, value creation and jobs in Norway. We want to facilitate the continued high level of activity on a Norwegian base. In Norway, oil and gas are produced efficiently and with low emissions. The main means of reducing emissions on Norwegian cap is the ETS and the CO 2 tax. The high cost of emissions gives companies strong self-interest in reducing their greenhouse gas emissions. We see that the instruments work. We're producing low emissions, and the emissions are going down. The increase in CO 2 tax in the year’s budget will contribute to further reductions in emissions in Norway. At the same time, it is important that the cost of emissions on Norwegian soil produces the least undesirable effects on value creation, employment and state income. It is important that the sector is ensured predictability because increased costs may be detrimental to manufacturers. The government is therefore clear that the CO 2 tax will gradually increase. All areas open to petroleum activities and available for new allocations may be illuminated in a concession round. The budgetary agreement with SV does not affect this. The illumination of the various prospective areas is determined by what is most appropriate from a petroleum professional assessment. In most of the open land available on the Norwegian continental shelf, there has been exploration activity for decades. The areas are now mature and are therefore subject to the TFO concession rounds. Therefore, exploration activities and new land allocations will take place mainly within the predefined areas during this scaling-up period. The firmness of the concession system means, among other things: that the government will implement new concession rounds. I published a joyful allocation under TFO 2021 yesterday. We will continue the TFO system as practised today, both in 2022 and beyond. The budgetary agreement with SV indicates that any 26th concession round will not be announced in 2022. It doesn't mean more or less than just this.
ParlaMint-NO_2022-01-19.ana.ud1e1130	The increase in the CO 2 charge for the oil industry by 28 p.p. increases the cost of the oil industry. The petroleum industry in Norway may be the industry and the area that pays the most in CO 2 tax and quota prices already. It is absurd in many ways to testify that, at a time when Europe lacks enough natural gas and Norway are constantly seeing new records in the export of natural gas to Europe, the response to the government is to strengthen the Russian energy power and weaken Norway’s position by strongly distorting the charging of the petroleum industry and the gas industry in Norway. Why does the government weaken our most important industry with a sharp increase in CO 2 tax when they have already paid so much?
ParlaMint-NO_2022-01-19.ana.ud1e1146	I do not think I agree with the actual description of the representative, Mr Schwe, that the framework conditions are significantly weakened, as it is claimed here. I would like to point out that there is a broad political consensus that we are going to increase the CO 2 tax, because it is one of our most important instruments to reduce greenhouse gas emissions. It is tempting to ask the question of what the option of stepping up the CO 2 tax is. It might be to make the whole increase in one jump, and at least it wouldn't be predictability for what is one of our most important, most highly productive industries in the country today.
ParlaMint-NO_2022-01-19.ana.ud1e1157	The answer to that is at least not to electrify the socket. In any case, there's an area that won't be any positive in any way. One just moves it to Europe and actually doesn't get any purer value from it. But finally, I have a question: when Norway is now exporting so much natural gas to Europe and prices are sky-high compared to what they have been before, can the Council of State tell us what they are, the total extra income that the Norwegian State receives because of the sky-high gas prices that we are now seeing?
ParlaMint-NO_2022-01-19.ana.ud1e1162	Of course, we get significant increases in revenue. It goes into our petroleum fund, which we're going to spend on future pension expenditure, and where we're taking an off-take related to the rule of action. I don't want to give an accurate estimate for this and now, because that wasn't the original question. However, I would like to point out that in terms of the means of reducing emissions, both the CO 2 tax and the quota obligation, as well as the production of low climate pressure oil and gas and low climate emissions, are the main means we have for us to also have a high-productive oil and gas sector in the future. Electrification of it – if it happens as we want, including, for example: marine wind in the future – is very important to maintain productivity on the base.
ParlaMint-NO_2022-01-19.ana.ud1e1174	‘Stateline governance reduced the level of network lease for 2021 by 24 pst. compared to 2020. Statnett did this in the context of the difficult economic situation? many have, as a result of the coronary apathy. This year, on the other hand, Statnett has increased the tariffs by 6.5 pst. again. In the last quarter and until today, Statnet has brought in huge revenues as a result of sky-high power prices and sky-high energy exports. In the context of the persistent coronary crisis, and today's power prices that affect the population and industry, can the Council of State explain how much Statnet will, and can, reduce network rental in 2022?»
ParlaMint-NO_2022-01-19.ana.ud1e1181	The network companies are monopolies which are heavily regulated by the energy authorities. Each network company, including the State Network, is responsible for the design of tariffs in its network within the allocated income framework established by the Energy Regulatory Authority, the RME, in line with the tariff requirements imposed by the Energy Code. The network lease shall cover the costs of operating, maintaining and deploying our mains. It's the power customers that cover these costs together through the network lease. Statnet reduced its share of network rental for all consumer customers by 24 pst in 2021. to remedy the situation of households and businesses in a difficult economic situation due to the coronary apathy. The RME approved a separate reduction in the tariff rate for 2021 and a collection of revenue over the next five years. The Ministry of Oil and Energy has had no role in this process. The practice of state networks is to set tariffs in the transmission network for one year at a time. The basis for the next year's tariffs is presented to customer organisations in May, and the decision is made at the Governing Board meeting in September of the previous year. In line with energy legislation, the Ministry of Oil and Energy does not have a role in this process. The bottleneck revenue arising from the flow transfer shall be used in its entirety to reduce tariffs. Bottleneck revenue varies from year to year, and Statnett sets tariffs for the transmission network based on forecast of bottleneck revenue before the final level of bottleneck revenue is known. Statnet states that higher bottlenecks than expected in setting tariffs will help reduce tariffs in recent years. I assume that Statnet itself is designing tariffs within the framework of energy legislation. The large bottlenecks received by Statnet at the end of the year will benefit the community through reduced network rentals in recent years. The government, on its side, has presented a good package of measures to enable us to support households quickly and accurately by providing direct grants to the electricity bill. We have proposed further strengthening the scheme, and I hope the Storting will join in.
ParlaMint-NO_2022-01-19.ana.ud1e1198	It is true that tariffs were reduced as a temporary measure to Norwegian consumers in order to meet the economic consequences of the coronary pandemic. It may seem that the economic consequences of the coronary pandemic are no longer present. There's a little bit of disagreement about that. In November last year, Statnett sent out a press release entitled that record revenues from the power cables will reduce network rental. By mid-November, Statnett had earned $2.9 billion. DK for cable connections to neighbouring countries, and in addition domestic bottleneck revenues of 1 billion were received. kr. This is due to large price differences between Norway and other countries and internal price ranges. This is a new record of revenues and will help reduce the network lease, the Statnet lease, but at the same time increases the transmission losses, thus increasing the network lease in several places. Can the State Council explain how the reduction in network rentals is going to go off, as well as the rationale behind the fact that Statnet draws billions into bottlenecks without reducing network rentals accordingly?
ParlaMint-NO_2022-01-19.ana.ud1e1207	As I also said in my previous answer, it is the transmission system companies that are responsible for the design and setting of tariffs within the allocated income framework established by the Energy Regulatory Authority, in line with the tariff requirements resulting from the Energy Act with regulations. As the representative is inside, Statnet received quite a lot of money in bottleneck receipts in 2021, in fact 5.3 billion. kr, and €3.5 bn. kr – 61 pst. of which — came in the fourth quarter. Bottleneck revenue varies from year to year, nor is the amount known at the time the tariff rate is to be fixed, but tariffs in their entirety are to be reduced. If bottleneck revenue is higher than foreseen in determining the tariff, revenue will be used to reduce tariffs in recent years. Of course, I am concerned that the NVE and the RME follow up and control the network companies, so that this is done in accordance with the legislation.
ParlaMint-NO_2022-01-19.ana.ud1e1216	The network lease is paid to the local network company independently of the electricity supplier, and it is correct, as the minister said, that the invoice covers the operation, maintenance and expansion of the electricity network and the fees to the state. About half of the network rental is currently due to the state. It is mainly municipalities and counties that own the network companies, and many of them take large dividends each year, rather than lower the network rental. This can be seen as an additional taxation and that consumers pay more than is necessary. As a good example, the proceeds to Hafslund Net, owned by the Municipality of Oslo, could amount to 1.5 billion. kr in 2017 is used. I see from my own home country – where I received a notice this week from Agder Energia Net about an increase of 600 kroner per year with effect from 1 February – that the reduction of network rental is obviously not a priority of the government. Does the Council of State think it is reasonable that extra-high grid rentals come to the top of already sky-high electricity prices, and that companies take in so much money that they can take billions of dividends rather than return the money to customers at lower prices?
ParlaMint-NO_2022-01-19.ana.ud1e1223	Then I almost have to repeat what I have already said twice, that if a company has had lower actual income than permitted income, it is less income, and then they have to collect it again later. If they've had increased revenues, so they've earned more, they're going to pay it off again. There must be a reduction in net tariffs. This is regulated by law, and the Ministry of Oil and Energy has no role in setting these network tariffs. This is done on the basis of the annual income framework, which is determined before the level of revenue is seen for each year. The NVE, through the RME, is the supervisory authority, and I assume that they supervise and follow up, so that this is implemented in line with laws and regulations.
ParlaMint-NO_2022-01-19.ana.ud1e1231	‘Through the media, we have been made aware that there are challenges related to Norwegian patient damages [[NPE]] What will the Council of State do to enable patients to regain confidence in having their cases thoroughly and objectively assessed by experts, and that this happens within a reasonable period of time, and that the Council of State could improve the treatment of the NPE if case handlers more often met the patients applying for compensation, thereby avoiding a large proportion of cases being converted into the judicial system?’
ParlaMint-NO_2022-01-19.ana.ud1e1238	The vast majority of experts have concluded agreements with Norwegian patients’ compensation, NPE, following public tendering. An important assessment criterion is the competence of the expert in his field of competence. This criterion ensures the medically sound quality of the opinions delivered by the experts. It is important to clarify that there is a case handler who takes decisions, based on a legal assessment of the case. The task of expert on a patient injury case dealt with by NPE is not different from the task of obtaining an expert as a judicial expert in legal proceedings. The expectations of their objectivity are the same. The NPE usually conducts meetings with replacement applicants in part of the extensive and difficult cases, mainly during the compensation assessment. The NPE also has contact with the claimants through correspondence and telephone calls. There has been practice in NPE for many years, but the coronary apathy has made it difficult to carry out meetings. The NPE has indicated that the practice will be resumed when the pandemic situation permits. Faced with the large number of cases dealt with in the administration, few cases are pending before the courts, and the state is acquitted in the vast majority of cases that are given a final judgment. Patient injuries are complicated, and they are in the meeting between medicine and law. The handling of a number of cases each year involves a useful quality assurance of the work done in the administration. I believe that today we have a system that safeguards patients' rights. At the same time, the NPE process time has been reduced. The NPE spent an average of 6.7 months on determining the applicant’s right to compensation. There has been a fall of 60 days since 2019.
ParlaMint-NO_2022-01-19.ana.ud1e1251	I record that the Council of State now comes with the office and the bureaucracy's response. This is not how I have experienced Labour Party representatives and a government council sitting in the hall, the Consumer Minister, who has also been clear in the criticism of the NPE and how to deal with these matters. And it must be a paradox for the Council of State and the confidence that of 18 lawyers in a TV 2 survey, most people say that they have little trust or at least less confidence in much of what is happening around the proceedings. It's about patients who are applying for damages to patients, who rarely or never have medical or legal competence themselves, who meet a lot of professional expressions to try to get the best answer possible. Then it could have been very good with a good and clear dialogue, where you had meetings. What will the Minister of Health do to strengthen the legal certainty of patients in dealing with the patient injury regime?
ParlaMint-NO_2022-01-19.ana.ud1e1256	Now it's up to a government council to deliver quality assurance responses to Stortinget. It would look as if the Council of State did something else. Then I would expect the representative Hoksrud to come up with a question quite immediately and ask if this was really right. What is the job ahead is to make sure that Norwegian patients' damages and health complaints work, that you have the skills you need, that the tenders that lead to the right expert, both medically and legally, working, and that you have a reasonable trial period. Some of the explanation is related to the coronary apathy when it comes to not being able to meet those who are applying for compensation, in physical meetings, and it is important to work to get the treatment time as short as possible.
ParlaMint-NO_2022-01-19.ana.ud1e1263	I record that the Council of State refers to the agreements concluded, that it has been meeting, and that it is actually the practice. But I don't think many of the patients who have filed a complaint experience that this has been the case with the patient damages. They also experience that they do not meet the expert who is actually going through and quality assurance of this, and several patients also ask questions about the specialists and their association, where you feel that it is important to lie down, and that it is controversial on the part of the victim. I see that the Council of State does not really take into account the criticism addressed to the NPE and the health complaint, according to the lack of confidence in the proceedings, and in particular the use of experts. I want to challenge the Council of State on how she thinks that the actors can have confidence in a system where, among other things, the expert does not investigate the victim, and what the Minister of Health will do about so many having such a mistrust, because it will also be a challenge for the Council of State that many do not trust the arrangements they have to care for patients in a good and safe way.
ParlaMint-NO_2022-01-19.ana.ud1e1270	I believe it is important that the NPE carry out meetings with the claimants, because it is necessary to provide a good enough handling of the cases. Usually it is related to the more complex issues, the difficult issues, where it is not enough just to collect written documentation, but also to obtain additional information. I expect that to be done. And although health complaints have strong growth in case resolution, they do not give direct results in the short term. That's because this is a residue that needs to be built down. You have to go through the pile of things that have accumulated, and I also expect you to have pressure on the floor.
ParlaMint-NO_2022-01-19.ana.ud1e1278	‘The working party presented a 100-day plan for a new government, in which it was promised to propose a gradual extension of the public dental service. They would start by ‘introducing free dental treatment to persons aged 19 to 21 years, introducing half the price of dental treatment for persons aged 22 to 25 years and providing their own dental care support to those with the most poor advice’. The same proposal was also clarified in the Hurdal platform. The hundred days have passed. Will the government do as promised?’
ParlaMint-NO_2022-01-19.ana.ud1e1285	Yesterday, Mr Stortinget dealt with a representative proposal for a dental reform. In my speech and in my answers in the debate, I also presented what the government is aiming for. As the representative Aydar is familiar with, it is the Hurdal platform and not the Work Party's 100-day plan that expresses the ambitions and goals of this government for our work. The key objective of the Hurdal Platform is to gradually expand the public dental service with the aim of equalising dental services with other health services. In the budget agreement, the Labour Party and SV agreed on a number of reinforcements. In the budget year we are now in, the county framework is strengthened, we are giving increased funds to the dental service in order to provide 21- and 22-year-olds with an offer of 50 pst. part of it, and we strengthen the organized dental offer, the so-called TOO offer, for people with severe anxiety about dental treatment. In addition, we have increased the tariffs for dental regulation from 1 January 2022. Yesterday I stated that it is my ambition to follow up the request decisions on dental health from December last year. The Government shall set up a sample to make proposals to ensure that dental services are treated in the same way as other health services, including self-employment models. We will also launch an investigation into the status of dental services in Norway. This is a work we're starting now. The size has requested it by decision earlier, and we are prepared to deliver.
ParlaMint-NO_2022-01-19.ana.ud1e1296	We all want improvements and these measures very welcome. But we are also impatient, and we are not the only ones who are impatient. The populace believes that the teeth must be treated as part of the body, and promises given in the election campaign create expectations. When you can see differences in people's economy by looking at their teeth, and when there are quite a number of people who have to deal with pain or who have to borrow to pay their dental bills, it's not enough for the government to have good intentions, or to hear how happy the government is with itself and with everything it does. Yesterday, Red proposed that the government should propose its own dental promise in the revised budget. When the government parties vote it down, it is difficult to see that the health minister wants to implement the dental vows in her 100-day plan. Then the question is: What are the plans to make dental health free and cheaper for those young people to whom the Workers' Party made promises?
ParlaMint-NO_2022-01-19.ana.ud1e1305	When Stortingen is about to deal with the revised national budget, it has gone a long way more than 100 days – I think we can agree on that. The goals we had, we've achieved a little bit. We now make it possible for the county councils to offer the 21 and 22 year olds half the price of dental treatment. We think that's a step in the right direction. It is not to be completely in the goal given the 100-day plan of the Workers' Party, but that we have a government constellation that together with SV manages to get well on the way, I think is good. The proposals that Red came forward yesterday were voted over in this Chamber, and they did not get a majority. Then there is nothing a minority government is working on either. We have notified a large-scale report and several sample work, which we will see in the context when Stortingen receives that message for treatment.
ParlaMint-NO_2022-01-19.ana.ud1e1312	If the Workers' Party wanted to implement its own 100-day plan, government negotiations went and came with something weaker in the end, the question is whether it was the Center Party that stood in the way of it, or whether it was only something that was discussed before the election, but that is not fully implemented after the election. It will be a breach of promise to the young, who had delighted themselves to be more reasonable and free of charge dental health, and who are now left with the bill themselves. I have to repeat the question of whether young people up to the age of 25 can see that the government fulfills the promises they made before the elections. Of course, Red believes that it is both necessary and possible with a proper dental reform that treats the teeth as part of the body. If the parties to the government had voted in favour of their own election vows, we would have had a majority in the Grand Chamber, at least for one proposal yesterday.
