ParlaMint-NO_2022-03-02.ana.ud27e28	The representative, Tobias Drvland Lund, will make a proposal for a representative.
ParlaMint-NO_2022-03-02.ana.ud27e1086	Now that we have been told that the head of the Transport Committee and the Central Party's leading spokesperson on transportation is without success for this project, I do not need a follow-up question.
ParlaMint-NO_2022-03-02.ana.ud27e1091	Does the Council of State want the word again? No, no, no.
ParlaMint-NO_2022-03-02.ana.ud27e1099	‘In several media cases in the last few days, the chairman of the Transport and Communications Committee, Erling Sande, has arranged for the construction of motorway sections with a speed limit of 90 km/h and has not built them for a speed limit of 110 km/h. At the latest in the NRK Political Quarter on 10 February, Sande stated that this was building smarters. Does the Council of State think this is a smarter way of building the main road network in the time to come?’
ParlaMint-NO_2022-03-02.ana.ud27e1106	I would like to show that the Ministry of Transport is now in the process of complying with the Storting's Decision 35, subsection 23, of 2 December 2021, cf. Inner. 2 S for 2021-2022. The Ministry of Transport has been asked to carry out an assessment of the road portfolio in the National Transport Plan in order to contribute to the effective implementation and follow-up of climate objectives. The review shall also assess road standards, including a higher traffic volume threshold for the construction of four-field motorways. On a general basis, I can say that of course I am concerned that we should facilitate the establishment of effective road links between our big cities. This includes, inter alia: important for developing well-functioning housing and labour market regions. At the same time, it is important that we build roads in a socially sound way, so that we get as much back for the money that we invest. Of course, it is also important that we focus on the environment when building large road projects. And then I don't want now to prejudge the outcome of the work that we're doing in assessing road standards. I will come back to it on a later occasion.
ParlaMint-NO_2022-03-02.ana.ud27e1115	The Minister of Transport answers a little evasively and a little around this question. I ask the question one more time: Does the Minister for Transport agree with Erling Sande that it is a smarter way to deploy the main road network in the future to have a speed limit of 90 km/h?
ParlaMint-NO_2022-03-02.ana.ud27e1120	It is not possible to answer that question categorically, because we have received a mission from Stortinget where we have been asked to investigate it, and then it will be quite unwise for a council to pre-conclusion before the investigation is available.
ParlaMint-NO_2022-03-02.ana.ud27e1125	I perceive that the Minister of Transport is avoiding answering the question. I can help the Minister of Transport a little bit on the way. 90 km/h means two-field roads. Two-way roads have been built in Norway in the past, which has proved to be yesterday's solution after the spade was put in the ground. There are enough examples of this, for example in Westfold, Telemark and Agder. Quite new sections are built into four-field roads afterwards, precisely because there were yesterday's solutions. We also know that four-field roads contribute to increased road safety. And yes, that also means less climate emissions, because there's another curve and other slope ratio, which will be good for society as a whole. Does the Minister for Transport agree that it is wise to build four-field roads and non-meeting roads, precisely because of safety, with fewer hard damage and death, and actually lower emissions?
ParlaMint-NO_2022-03-02.ana.ud27e1132	Just some of these elements that the representative now addresses will be important to assess in such an investigation, because no one wants to go back to a type of thinking where you build too badly. But that's also the case, I've let myself tell you, we're among the countries that have the lowest entry point to build quadruple roads, and then at least it's interesting to see why it's like this.
ParlaMint-NO_2022-03-02.ana.ud27e1141	It is gratifying to note that, fortunately, the central party's leading transport policy has no impact on its own government, and that we do not need... [[The President clubs.]]
ParlaMint-NO_2022-03-02.ana.ud27e1146	The President will point out that the representative shall deal with the text of the question submitted.
ParlaMint-NO_2022-03-02.ana.ud27e1151	«In the construction industry on 7 February, it appears to be the head of the Transport and Communications Committee at Stortinget, Erling Sande [[Centre Party]] Is this a unique solo game from the head of the Transport and Communications Committee, or supports Sande's goal of not realizing double tracks for Hamar and beyond to Lillehammer and further four-field highway development of Rv. 4, rv. 25, E6 and E16?’
ParlaMint-NO_2022-03-02.ana.ud27e1158	As I also said in a previous post here, the spring globalisation of the National Transport Plan 2022–2033 showed that there was a broad political consensus on a continued commitment to transport infrastructure. Roads, railways, ports, ferries and airports bind Norway together and are crucial for housing and jobs throughout Norway. My priority and the government's priority is to pursue a transport policy that ensures that people and goods arrive quickly and safely, and that there is good infrastructure that underpins living local environments and profitable jobs. So I agree that the highways and race protection were down priority of the outgoing right-hand government. For this reason, the Hurdal Platform has established that an obligatory plan for upgrading county roads should be established, and a national implementation plan should also be drawn up for the racial and tailor-made protection of all highways and highways with a high and medium pace. In the case of these individual sections, which the representative Sande said were to be scaled down or postponed on time, it is on his account. I think, as I also said in the previous post, that it was his intention to raise a debate on standards and how we dimension roads. It's always interesting with political debates, which, as a result of this, we get here today. The government, for its part, assumes that we will implement the national transport plan, and that also includes the sections, etc. 25 Hamar-Løten, rv. 4 Roa–Gran border, E6 Moelv–Øyer and E16 Kongsvinger–E6. With regard to the development of double tracks at intercity, the government wants to pursue offensive railway policies and priorities – to develop them for the benefit of travellers and freight companies. The ambition of intercity is firm. The pace of implementation must, of course, be adapted to the planning framework as a result of the national transport plan and follow-up in the annual budgets. The implementation of these start-up power packages will in the future provide us with a significant improvement in the offer for travellers, both inside and outside intercity. The government will present its proposal to further realise the ambition of intercity in the next national transport plan. Then, as I have also said on several occasions here today, it is in the current national transport plan that we should continue to work on the projects mentioned in the notification with a view to increasing the benefits and reducing costs. It is not an absolute guarantee to be mentioned in the national transport plan with regard to implementation independently, inter alia. cost development of the project. In the course of the budgetary procedure, the Stortinget decided to review the road portfolio in the national transport plan in order to contribute to the follow-up of climate objectives. Then it would also be natural for us to look at how to find the right norm for four-field paths and how to develop them.
ParlaMint-NO_2022-03-02.ana.ud27e1175	It sounds reassuring if the government wants to continue the bet for which the Progress Party provided the basis, both in the case of four-field motorways and double-tracks. So I wonder when we can get concrete evidence that it is the Minister of Transport who is right, not the Senter Party, since a solo politician – obviously – has run their own games that are not anchored in the government regarding the down-priorityisation of the main road network in the East, for example. When do we get proof of that? And then I wonder if the minister can guarantee the road projects that are already under way in the NTP – and the plan work has come a long way – as Rv. 4, E6 Lillehammer-Gudbrandsdalen, E16 to Kongsvinger, rv. 25, and not least that the Hamar railway will be completed by 2027, and that the four-field projects will be four-field, not two-field or two-three-field.
ParlaMint-NO_2022-03-02.ana.ud27e1182	The government will always come back to Stortinget with concrete proposals for launching individual projects, as it has always been. It is through the budget that we are making visible the efforts we have in the national transport plan. Some of these sections that the representative mentions are in the portfolio of New Vei, and the representative knows very well how New Veier works with these projects. They work with planning processes in the same way as the State Road Service does, but they also work to increase the benefits and reduce costs of projects. I have no information now that they are going to build anything other than what has been planned so far.
ParlaMint-NO_2022-03-02.ana.ud27e1189	I then interpret the Minister of Transport so that the European highways in the interior and the highways are built with four fields, as we had planned, and as at least in the NTP. It's nice to have a confirmation of it, so there's no doubt among the residents, voters and businesses. Then I want a confirmation that the intercity of Hamar will at least be completed in 2027, because there I remember that the Workers' Party was quite critical of the previous government – that progress was too slow, that the intercity project was too slow. From this point of view, it is important to confirm from the Minister that the level of ambition and the basis that we laid for the completion of Åkersvika by 2027 is firm. Then it's especially important to get started with the bridge over the Tangenvika and the tunnel on the Tangen, because otherwise we're not going to get to Hamar by 2027.
ParlaMint-NO_2022-03-02.ana.ud27e1194	I can confirm that we don't have reduced ambitions regarding intercity. On the contrary, we have been even clearer than the previous government that we want to implement the intercity project in its entirety. I can assure the representative of that. As I said in my previous answer, the New Roads have these projects that the representative mentioned, and they work as usual to increase the benefits of the projects and reduce costs. But I'm not familiar with anything that would mean going in for a different kind of dimensioning of these roads than what the representative is familiar with.
ParlaMint-NO_2022-03-02.ana.ud27e1202	‘The Council of State has stated that negotiations on an urban exchange rate for Tromsø cannot begin until the mandate for the negotiations is clear. Now it appears in one case in Tromsø that the mandate was prepared by the Solberg government as early as September. The government parties also said last spring that the negotiations had to start immediately, but this has still not happened. Is it true that the mandate was completed in September, that Tromsø is a priority of the government with regard to getting an urban change speech, and when can the negotiations begin?’
ParlaMint-NO_2022-03-02.ana.ud27e1209	I can inform you that the Ministry of Transport received in September a draft mandate for the negotiations on the urban capital speech for Tromsø, from the State Road Administration. However, as indicated in the National Transport Plan, the mandate shall be established by the Ministry of Transport and the Ministry of Local and Regional Affairs. The final mandate is therefore set on the basis of a draft drawn up by the ETAs, and therefore no final mandate was established in September. As the representative is probably also aware, the national transport plan provides for the establishment of urban growth agreements for the Kristiansand region, Buskerudbyen, Grenland, Lower Glomma and Tromsø. So there are five cities that are involved in urban growth agreements in addition to the four largest urban areas that have urban growth agreements today. Tromsø is one of the five that is well located, since there is already a city package in place, and toll collection according to the plan is to start until the autumn. I have an ambition to start negotiations with Tromsø on an urban capital speech, but, as you know, nothing is clear until everything is clear, and a set mandate is just one necessary prerequisite for such negotiations. The framework for this must also be adapted to the general government policy in this area. I will therefore come back to the exact time for the possible start of these negotiations.
ParlaMint-NO_2022-03-02.ana.ud27e1218	Much of what the council here says is known information. We know that Tromsø is one of five cities. What I want answers to are the concrete things. What the Council of State is now saying is that there was a draft in September, but it has been almost five months – quite a long time – from one of them, and still the Council of State can neither respond when the mandate is ready nor when the negotiations can begin. It's very nice with ambitions, but this is about how we're going to develop Tromsø, which is the largest city in North Norway, to make sure we get better infrastructure. I am also a little concerned when the rapporteur from the Labour Party said to the iTromsø four days ago: ‘We do not know if we are given the mandate, but the decision is similar around the corner.’ So I try again: can the Council of State be more specific about when the mandate prepared by the Solberg government five months ago is clear from this government? And when can these negotiations begin in concrete terms? Is it a week, two weeks, a month or a year – how long is it? One must be able to have a time frame.
ParlaMint-NO_2022-03-02.ana.ud27e1230	Firstly, it is wrong that the Solberg government had prepared a mandate for this urban growth debate. There was a draft from the State Road Administration. It is the government that determines the mandate, and that is what is going on – we are working on it. So we will come back to concrete responses to start-up, mandate, etc. when we have landed the decision-making process.
ParlaMint-NO_2022-03-02.ana.ud27e1235	Once again, it is very difficult to get concrete answers from the government. I think that's very stupid. We have waited a very long time for an urban change speech in Tromsø, and still the Council of State cannot give any perspective on either mandate or when negotiations can be started. But then I also have another question. That's set by 10 billion. kr in the NTP for these five cities, and Sandra Borch and the Central Party, who are government partners with the Workers' Party, promised in the election campaign that they would grant 10 billion. kr to Tromsø alone – so take the whole frame, which is for the other cities as well. Sandra Borch was then interviewed about this in iTromsø last weekend. There she answered the question of whether it was relevant to increase the framework of the urban growth agreements that is now 10 billion. kr, that it should discuss one in the government. Then my question to the Council of State is: is there a discussion in the government about increasing the framework for urban growth agreements beyond the 10 billion? Do you really want to delete this item? And when does the government possibly have a final discussion about it?
ParlaMint-NO_2022-03-02.ana.ud27e1242	I think the representative knows very well that budgetary processes in the government are being told when we present a budget, and that is not very forthcoming. So there's no one concrete to report it. But it's important to stress from my side that in terms of these 10 billion. kr, is it so that – and now I take it a little bit on my mind, so don't arrest me completely on it – it's 4.5 billion. kr to be negotiated, for parts of these 10 billion. kr is already the rewarder of these cities.
ParlaMint-NO_2022-03-02.ana.ud27e1250	‘The Leader of the Transport and Communications Committee, Erling Sande, has made statements that signal the possibility of leaving the E6 motorway project in Trøndelag. Does the Council share the views of the Chairman of the Committee?’
ParlaMint-NO_2022-03-02.ana.ud27e1257	Now it's going to be a little bit repetitive. Spring 2000–08 showed that there was a broad political consensus on continued commitment to transport infrastructure. Roads, railways, ports, ferries and airports bind all of Norway together and are crucial for settlement and job development throughout the country. The government’s – and mine – priority is to pursue a transport policy that ensures that people and goods arrive quickly and safely, where good infrastructure provides the basis for living local environments and profitable jobs. In the case of these individual sections that the representative Sande said he wanted to scale down or postpone on time, I get to repeat: it's on his account. I also want to acknowledge that what he wanted to achieve was a debate on how to implement transport projects. That's probably what was his main point, that's to raise a debate. The government, on its side, assumes that we will implement the National Transport Plan, and that includes E6 in Trøndelag, where New Roads will deploy E6 with a four-field motorway from Ulsberg in the south to Åsen in the north, 106 km in total. Development will help to improve road safety, reduce travel time and strengthen growth and development in the national part of the country, and the speed limit will be mainly 110 km. As I have also repeated in the previous answers, it is in the national transport plan that the projects mentioned in the communication should be worked on with a view to increasing the benefits and reducing costs. There is no absolute guarantee to be mentioned in the national transport plan to be implemented as a project independent, inter alia. cost development of the project. I think we all agree that we need to have control of the projects and the costs of being able to use the money of the state and the community in a good way. In examining the State budget for 2022, the Stortinget decided to make an assessment of the road portfolio in the National Transport Plan to contribute to effective implementation and to help us achieve our climate objectives. This review shall also assess road standards, including a higher traffic volume threshold for the construction of four-field roads. I believe it is right that in this context we make an overall assessment of the portfolio, including the projects for which there was a majority in Stortinget by supporting in comments.
ParlaMint-NO_2022-03-02.ana.ud27e1272	I thank you for your answer and can see that the Council of States has ambitions in addition to that of the chairman of the Transport Committee. But I think the longer we get away from this house, the farther north we get, the greater the distance costs for business and the services performed. That's how getting new roads and good roads at higher speeds will be and taking down those costs. Does the Council share those views?
ParlaMint-NO_2022-03-02.ana.ud27e1277	Yes, in many ways it will be that when you reduce travel time, there are several positive things happening. The industry is getting shorter distances and so seen faster the delivery of goods and services. It could also contribute positively to regional enlargement and the development of the labour market. But it is also the case that expanding four-field roads has some other features in terms of environmental and economic costs. But these are the assessments we're going to make, of course.
ParlaMint-NO_2022-03-02.ana.ud27e1282	But does the Council of State guarantee that he intends to follow up the plans for the motorway project in Trøndelag?
ParlaMint-NO_2022-03-02.ana.ud27e1287	There is no knowledge in me at the moment that these projects are planned to be reduced. But I repeat that the model of New Roads, which in many ways is a married child of the representative's party, is that projects should be thwarted by trying to reduce costs and increase benefits. This will mean that the projects can look a little different after you have worked with them in a planning process.
ParlaMint-NO_2022-03-02.ana.ud27e1295	‘The growth of freight traffic in Norway is strong, but today the capacity of the sections of trains is about to explode. Last year rail freight traffic increased by 12 pst in Norway. The dovre course increased by a total of 19 pst. and is that route in Norway with the highest freight traffic. We need more and more crossing tracks and upgrading and improving the efficiency of the terminals to get more and more trains. What will the Council of State do to ensure a proper lift for goods on the road?’
ParlaMint-NO_2022-03-02.ana.ud27e1302	The government will pursue an offensive railway policy, and we will facilitate rail to take a greater share of freight traffic. The government Støre strengthened the road-to-rail freight transfer scheme in our additional number to the state budget for 2022. Increased rail freight capacity offers several advantages: lower greenhouse gas emissions, better road accessibility and improved road safety. Also, particulate matter and microplastics are not a challenge on the railway. In addition, efficient, reliable, safe and environmentally friendly freight transport is a prerequisite for a competitive business. The companies involved in the carriage of goods by road have shown great ability to convert into the keel water of the pandemic, and the increase in road freight transport, as the representative mentioned, was 12 pst. in Norway from 2020 to 2021. Course NOR also expects further growth in the current year, at 3 pst. The Bane NOR prognosis is in line with the Government's ambitions for continued growth in rail freight traffic, and in order to achieve this, it is necessary to focus on measures that maximise their effectiveness. This is why the Ministry of Transport is now making provision for portfolio management and power packs on the four main rail freight sections. This means that Bane NOR prioritises the most effective measures within the power packs. The Dovre track is one of the four main sections of freight transport. This is where freight trains are to be equipped up to 650 metres. Investments in longer cross-sectional tracks include: a current measure. As part of the work on portfolio management, Bane NOR shall make proposals for impact targets, concrete actions and priorities between the different sections of the impact packages. In the national transport plan, these four power packages were proposed as a priority for start-up during the first six-year period, i.e. 2022–2027, an estimated cost of 5 billion. kr related to the four power packs and SEK 2,7 billion. kr to smaller investment measures in the field of goods on the road for the entire planning period. Then, of course, goods on the track will also benefit from annual renewal funds of 3.2 billion. NOK 2022, and of course it will also benefit greatly from other investments on the railways, for example. on-going double-track projects. It is important that the railway provides a high punctuality offer. Continuous maintenance and renewal are important to achieve this. The ongoing work on new signalling system, ERTMS, will be an important contribution to improving capacity utilisation and punctuality on the rail. Many good measures are being taken to increase the volume of goods on Norwegian railways, and fortunately this is a good development.
ParlaMint-NO_2022-03-02.ana.ud27e1319	Despite positive growth rates for goods on the road, the Minister must agree with me that we need greater ambitions. Unfortunately, the goal Stortinget has set for goods on the track is becoming more and more distant. There is no attempt at anything that would suggest that we can reach 30 pst. the transfer of goods from road to sea at distances above 300 km by 2030. The reasons for the temporary environmental aid scheme when it was established were that many of the planned good measures to strengthen the sector were not in place. Many of the measures are still not in place. Does the Minister agree with me that, in order not to lose substantial competitiveness on the road, the environmental aid scheme must be continued and annual budgetary transfers increased?
ParlaMint-NO_2022-03-02.ana.ud27e1326	I agree that the environmental aid scheme is one of several instruments that takes us in the right direction. I think that maybe we can say that history has shown us so far. This has led to more freight lines than before, and this has led to a number of truck transports being saved and goods being transferred from road to rail. It's a positive development. The environmental support scheme needs to be developed within a framework related to how much money can be spent on the scheme, and I think the representative is aware of that. I would nevertheless like to insist that the most important thing to make the railway competitive is that we get to the capacity utilisation and expansion that infrastructure requires. Then there is a great deal of investment ahead of us, both in concrete steps to develop crossing tracks on several routes, so that we can run longer trains, and also through the investments to be made at intercity, etc., which will increase the capacity for driving trains in general.
ParlaMint-NO_2022-03-02.ana.ud27e1333	The previous government provided for motorways to be built before the railway in important corridors, at best they must be built simultaneously – a safe grip to remove the basis for the railway. We know that by moving goods to the railway we're replacing extremely many trailer trips, we know that it leads to cuts in CO 2 emissions, and we know that it leads to safer roads. We also know that there is an effective way to the markets through green competitiveness, and that it means several Norwegian jobs with good pay and working conditions versus the foreign truck companies have. The minister himself was also concerned with those advantages. Will the new government do something about the priorities on the transport side – and then I am behind smaller highways, safe everyday roads and more track?
ParlaMint-NO_2022-03-02.ana.ud27e1343	As the representative is very aware because this was an agreement with SV, the ministry has been given a mission to review how we are going to develop our roads in terms of normal and four-field roads, so there we will come back to Stortinget with an answer to the mission Stortinget has given. I think it is right to say that in parts of our country, the railway has an obvious competitive advantage and a priority and needs to be developed, while, of course, it is also true in a country like Norway that road transport will, in the foreseeable future, be a very important part of our transport infrastructure.
ParlaMint-NO_2022-03-02.ana.ud27e1353	«The Transport Selection in More and Romesdal will address the question of trasé elections for the new E39 part of the Digernes to Ørskogberg on 27 October 2021. Here are many options, and the county is strongly critical of the process. Governments have determined in response to the signatures in several questions that the trasé choice had been taken for the project, and this is the basis for a cost estimate of approx. 24 B.C.E. kr. Now it turns out that the Council of State has misinformed. Can there be an explanation of the missing State Council knowledge of the project?’
ParlaMint-NO_2022-03-02.ana.ud27e1360	I have answered several questions about E39 Ålesund – Molde from the representative Sve in the past, both in writing and in the questionnaire, and I cannot see that I have misinformed the representative about the status of neither investigations nor the planning of the project. In response to the representative, Mr Sve, I have shown that the concept of E39 Ålesund-Molde has been adopted, not traverser. The state project model sets out requirements for investigations into large-scale State investment projects and, through a draft selection investigation and external quality assurance, KS1, a basis for government and the Storting decision is drawn up. After KVU and KS1, the government decides what kind of concept will be used for further project planning. It was the previous government that decided the concept for most of the E39 Ålesund–Bergsøya in 2014. It was a government in which the representative's party was well represented, even the Council of Transport States. Following an additional investigation, the previous government decided the concept for the E39 Digernes–Vik in 2019. Since the adoption of the concept, the Swedish Road Administration has planned the E39 Ålesund-Molde project according to the Planning and Building Act. The pathways and solutions that have been assessed in that work have been within the framework set out in the adopted concept. It is such that the state project model and the Planning and Building Act are intended to complement each other. The status of investigations and planning of E39 Ålesund-Molde is as follows: The concept has been decided for the whole route. On parts of the route, regulatory plans have been adopted, and there is a rag and concrete solution. On the remaining sections, work is under way on municipal sub-plans and regulatory plans in consultation with the relevant municipalities. In this work traverses and solutions will be clarified. Planning will take place within the cost framework established by the Ministry of Transport.
ParlaMint-NO_2022-03-02.ana.ud27e1371	I actually have a short question now, as the first question: The Council of State is certainly aware that the Swedish Road Administration has a lot of action books and manuals that they control after. The question is quite simply: does the Minister for Transport know what the Handbook R764 contains?
ParlaMint-NO_2022-03-02.ana.ud27e1376	No, I can't say on the standing foot that I have read that manual, and I don't know the conceptual device in it at all. It is well with respect to report too much that the Minister for Transport should have the detailed knowledge.
ParlaMint-NO_2022-03-02.ana.ud27e1381	The reason why I ask is that I have this manual here and also the basis of the five options for E39 that are going to pass Lake Holt. The basis for establishing anything — either P45, P50, P65 or P85 — is the actual estimation method in Handbook R764. I have been travelling for 20 years and have been working on a lot of big projects, and I have learned that the manuals are important to use as a basis for pricing. What I'm wondering is how to say that a project is going to cost $24.35. kr when the basis of this manual, R764, is not taken into account, using the estimation method. State councils can get these forms after the interview, because I think it might be necessary. The question is simply: is there any intention to follow the manuals used by the State Road Administration itself?
ParlaMint-NO_2022-03-02.ana.ud27e1388	I assume that the Swedish Road Administration is dealing with both its own manuals and its own legislation and is working on investigating the projects in the ways in which the State has framed this. I also have no reason to believe otherwise.
ParlaMint-NO_2022-03-02.ana.ud27e1396	‘In 2015, the current government set up with the Progress Party in the head company Nye Veier AS and added E39 between Kristiansand and Ålgård in the portfolio. Both the Centre Party and the Workers' Party were sceptical about the road company, and recently the chairman of the Transport and Communications Committee even called for the downsizing of several important transport projects, including the E39 in the South-West. Can the Council of State guarantee the construction of a continuous four-field motorway between Lgågal and Ålgård at a marked speed of 110 km/h as provided for by the Progress Party?’»
ParlaMint-NO_2022-03-02.ana.ud27e1403	As stated in previous speeches, the treatment of the national transport plan by spring showed a broad political consensus on continued commitment to transport infrastructure in our country. Roads, railways, ferries and airports are involved in linking Norway, and it is crucial for settlement and job development across the country. The government and my priority is to pursue a transport policy that ensures that people and goods emerge quickly and safely, and where good infrastructure provides the basis for living local environments and profitable jobs. Then I agree that the previous government, the right-wing government, did not give priority to the route and racial protection, and that is why we in the Hurdal platform have determined that an obliging plan for upgrading the county road is to be drawn up and a national implementation plan is drawn up for racial and racial protection of all highways and highways with a high and medium step factor. In the case of the individual sections which the representative Erling Sande has stated are to be scaled down or postponed on time, it is to be borne in mind. I see that the purpose of his play was more to get a debate going on how we use our means of transport, and we have to be able to bear that. However, the government, on its part, suggests that the national transport plan should be implemented. When it comes to E39 between Kristiansand and Stavanger, I would like to point out – as I pointed out in my answer to question 9 from the representative of Steffensen – that there is an important national transport corridor that forms part of the NTP. New road safety E39 will link important parts of southern Norway and provide efficient transport of goods and people between the West and the East. Today's E39, I think we can agree that there is a poor standard in terms of its function as a national highway and a European road, also in terms of accessibility and road safety. On 25 June 2021, the Ministry of Municipal Affairs and Modernisation, now the Ministry of Local Government and Districts, adopted a municipal government plan for the E39 Lwagal West-Sandnes section. That decision envisages the construction of a four-field road throughout the route. As I have also said in the previous response here today, it is that when a project is in the national transport plan, it is not quite a guarantee that the project will be implemented. This will include, inter alia: depends on the cost development of the project. I think we agree that we have to work all the time to reduce costs and increase the benefits of the projects in order to keep Community funds in the best possible way. After all, the Storting decided, in the context of the budgetary review, to carry out a review of the NTP portfolio in order to look at how we can contribute to the effective implementation and follow-up of climate objectives. Then we will also look at road standards and traffic volume thresholds for the construction of four-field roads.
ParlaMint-NO_2022-03-02.ana.ud27e1420	I thank you for your answer. It is no wonder that there has been a lot of debate about this in Stortinget when such a fire flare was released from the head of the Transport and Communications Committee, representing a government party. Today's E39 is bad, it's road-hazardous and has bad performance. News about accidents, queues, chaos and closed roads comes so often that it can't really be considered news anymore. Why does the Council of State not want to use the word ‘guarantee’ to build this road, which has been adopted in the Grand Duchy? Is it because the Council of State keeps the door open so that the SV, with whom the government cooperates, will get through and scrape this way?
ParlaMint-NO_2022-03-02.ana.ud27e1425	There was more of a general consideration about the status of projects mentioned in the NTP, but I can also say a little bit more about this project. It is Nye Veier who is responsible for planning, building and operating the E39 from Kristiansand to Ålgård, and the company is in the process of building the new E39 from Kristiansand to Lvgal. The first section between Mandal East and Mandal City was opened in December 2021. Now New Veier wants to get started in Rogaland. The regulatory plan for E39 Bue-Ålgård is expected to be adopted in March or April of this year and there are local policy decisions to finance a new four-way. Traffic calculations show that the traffic volume in the dimensioning year is well above the entry point of ÅDT 12000, which is the entry point for the four-field road in the normal state of the road. On the rest of the section Lwigal-Bue, the level work is in the start-up phase, and it is based on the agreed municipal sub-plan.
ParlaMint-NO_2022-03-02.ana.ud27e1432	I am pleased that the Council of State saw until the degrees shoot down the playback of its colleague from the Central Party, that the need for E39 does not exist. Nevertheless, I would like to ask a follow-up question. The councils are in the timeline for what's going on, but when the council expects the whole stretch between Kristiansand and Sandnes, that's a new four-field E39 with the 110 km/h sign.
ParlaMint-NO_2022-03-02.ana.ud27e1437	I don't think I'm willing to go into any exact guessing of the year and dates for the progress of the projects. I note that the projects are within the national transport plan, I note that construction and planning are in progress, and that is a good hope of getting good progress on the whole of the project.
ParlaMint-NO_2022-03-02.ana.ud27e1442	After nine rounds of questions, the Minister of Transport may take a well-deserved break, for the next question is asked from Guri Melby to the Minister of Health and Care.
ParlaMint-NO_2022-03-02.ana.ud27e1450	‘In a decision by the head of the women’s clinic at Oslo University Hospital and head of the New Aker programme, it appears that the ABC unit at Ullevål Hospital is not maintained in New Aker Hospital. This is not in line with the order for the project Aker. The ABC unit is a unique and popular offering for natives, where midwives report high well-being. With such a weakening of maternity care, what will the Council of State say to those about 1000 women who every year apply to the ABC in the hope of being born in an environment that gives them the security they need?’
ParlaMint-NO_2022-03-02.ana.ud27e1457	We must constantly work to ensure that the birthers get the best and safe experience of the provision of birth and maternity as possible. It is the health companies that are responsible for good and proper maternity care, and I will therefore not comment on organisational conditions within Oslo University Hospital, OYS. The ABC unit represented 5.3 pst. of the births at the OUS in 2021, according to Health South-East RHF. There are healthy women with uncomplicated pregnancies who can give birth at the ABC if they want. The woman must be moved to one of the other births on Ullevål if complications occur during birth, or more pain relief is needed than provided by the ABC unit. In the New Oslo University Hospital, the New Aker and the New Rikshospitale are planned. One goal in planning the food supply in new hospital buildings is that all birthers should receive an organized offer based on their own wishes and needs. It involves the provision of midwifery services and the possibility of physiological birth with minimal intervention. The course of birth shall be supported by the necessary and correct measures, guided by the patient and the medical need, throughout the course. Health professionals need to move to the birthing person to a greater extent. It'll give you better continuity in the process. The New OUS Food Department will continue to offer a midwife birth offer to those who want it. There will be feeding rooms and multi-functional rooms for natural births on New Aker. Food establishments will be equipped to implement the necessary measures if epidural anaesthetic or other measures are necessary. In the planned multi-functional rooms, women will be able to spend time before the active birth and delivery time in the hospital together with their partner, which many also value in the ABC offer. All the women who are pregnant will get exclusive in the New OUS. I started by saying that we are constantly working to make birth care even safer and better. Today's ABC offer at Oslo University Hospital is aimed at a small proportion of the birthers. With new hospitals and improved facilities, the aim is for all births to have access to a birth adapted to their individual needs.
ParlaMint-NO_2022-03-02.ana.ud27e1472	I believe that everyone shares the objective that all birthers must be offered, and these multifunction spaces to which the Council of State refers can certainly meet the needs of a great many. What I feel is that the Council of State may not entirely take inwards, the unique competence is a unit that the ABC unit has. In a chronicle in the Evening Post yesterday, there were five superiors from the Ullevål maternity ward who pointed out that research shows that in a regular maternity ward, more medical measures often end up being used than on a physically separated low-risk unit. It is also pointed out that the midwives who work at ABC are specialised in facilitating natural births, while in ordinary food departments they have the competence for more complicated births. These consultations conclude that, in order to achieve the best results in maternity care, there is a need for separate units and midwives with different special competencies. How does the Council of State believe that the special competence of natural births should be maintained when the ABC offer is dropped?
ParlaMint-NO_2022-03-02.ana.ud27e1481	We have professional guidelines for the provision of food, and then it's local professional judgement that, at the moment a woman comes into active birth, determines what is right to advise the woman on the best course possible and a good experience for the native. Having flexibility in the supply of food is the best way to meet the individual needs of all birthing women. The experience with this device, the ABC clinic, is also going on. It is the professional assessments that also facilitates and facilitates the future food supply in the New OUS. It is a premise and an expectation from all of us that that competence is involved in creating flexible solutions to care for all birthing women, which is the responsibility of every maternity ward.
ParlaMint-NO_2022-03-02.ana.ud27e1488	Governments are talking about flexibility. Today we have flexibility, today women in the Oslo area actually have freedom of choice. They can choose the ABC unit and the type of follow-up they get there. I can't help seeing anything but that in the future, all Oslo's birthing women will go into standardised feeding clinics, and healthy women are then encouraged to go home 24 hours after birth. These are decisions that go beyond research, user needs and clinical experience, which demonstrate the importance of a differentiated supply of food for the care of the mental and physical health of women at birth. Counsellor at today's maternity ward at Ullevål says that it is not possible to justify these cuts from a professional point of view, which I find the Council of State is trying to do, but that it is a deliberate depriorization of women and newborns in the new morbidity plans. How does the Council of State feel that the requirement of differentiated and adapted maternity care is met when women are actually deprived of their current freedom of choice?
