ParlaMint-NO_2022-02-16.ana.ud409e28	The representative, Sivert Bjørnstad, will present a proposal for a representative.
ParlaMint-NO_2022-02-16.ana.ud409e1159	It is true, as the minister says, and the Ministry has shown in information on EEA matters for Stortinget that the permits for landfills in Førdefjorden and Repparfjorden were applied for before the implementation of the Mineral Waste Directive. However, there is still no beginning to drill in the mountains in any of these projects, and regardless of when the permits were granted, it is fully possible to convert permits when they have a significant environmental impact. Will the government ensure that we do not put ourselves on the lowest possible requirements and the lowest possible standards, even when the interventions have not been completed? It must be allowed to ask what to do in order to be willing to change the permits.
ParlaMint-NO_2022-02-16.ana.ud409e1164	I can definitely make it clear that we are not going to put ourselves on the lowest possible standard, but rather on the highest possible standard, and that therefore there is an integrated development in this, as there is a waste management plan in preparation, which is once again to look at the principle of minimum disposal, and the use of the best available technology. So I think it's embedded in this. The fact that new knowledge comes after the directive has been given is actually relevant to the matter, and that has been taken into account already when the authorisation was granted. But that's not the same thing as withdrawing the permit. I then come back to the fact that it will be a matter of time before the authorities to convert a permit that has been granted on a solid basis of knowledge at the time it was given, in which case this option was assessed against others. Fortunately, however, we have already, before the EU's wise Mineral Waste Directive, ensured that such a waste management plan would come about before final production began.
ParlaMint-NO_2022-02-16.ana.ud409e1169	I would argue that it is common sense that our fjords should not be used as garbage fillings. We have now received directives following directives, strengthening standards in areas by area, and there are ever new concerns about the environmental consequences of sea landfill in Repparfjord or Fördefjord. It's wise as it says in the mountain sweat rules, that there's no shame in turning around. Would the government be willing to turn on such an important question as this?
ParlaMint-NO_2022-02-16.ana.ud409e1174	I want to start by stressing that I agree that we are not going to use the fjords to throw garbage in, and I also agree with the underlying premise – that we have been doing this for many years. That's why the fjords are much more polluted than they should be. But it is probably not this kind of pollution that has been the biggest problem of the fjord, and that's also why you do environmental studies and try to rely on factual knowledge, which are not diabolical positions of the type, that you can never deposit in fjords – if that's going to lead to a poorer solution than seabeds, in the probably few cases where it's considered to be the right one. I think it's no shame to turn around, but it's almost even wiser to assume that when you give a permit, things can change along the way, and then build up such a premise that those who get a permit will help to use available technology to reduce the amount of waste and the amount you need to deposit.
ParlaMint-NO_2022-02-16.ana.ud409e1184	‘Last year the Left and the Blue-Green Government set at 225 million. to convert the leisure card scheme into a permanent national scheme. The leisure card scheme should benefit all children and young people between the ages of 6 and 18. The current government has decided to terminate the test project from 1 July 2022. Can the Council of State explain what concrete measures have been taken for this age group, what grants have been granted under their alternative scheme, and how will this be applied to local teams and organisations?’
ParlaMint-NO_2022-02-16.ana.ud409e1191	Access to leisure activities is important. It helps to include children and young people and prevents loneliness and outreach. The government will work to ensure that leisure activities are available to all children, but will give priority to measures other than the national leisure card scheme. A national leisure card scheme is expensive, and its effects are uncertain. I would like to remind you that the test project will go as planned and be completed on 1 July. The follow-up evaluation will provide us with knowledge and experience that can be useful in the further work of including children and young people in leisure activities. Instead of a national leisure card, this government will do so. prioritisation of a better local economy so that municipalities can prioritise their own inclusion measures. We have also prioritised full VAT compensation for voluntary activities, so that training and membership fees can be kept low. In the 2022 budget is also the new and merged takeover scheme to include children and young people with a total of 85 million. kr. The front arrangement covers, inter alia: contributions to holidays and leisure activities, open meeting places, equipment centres and youth unemployment, which can help young people complete their schooling. We believe that such a strengthened incentive scheme will allow more children and young people to participate in social activities and to complete educational courses. It also facilitates children and young people to experience mastering and social participation. The early retirement scheme has been extended so that municipalities can apply for contributions to local leisure funds to cover the costs of participating in leisure activities for children and young people. This may include: be the cost of equipment, participant fees, cupcakes, etc. Resources for such leisure funds are new, and there are actions requested from several voluntary organisations. These schemes will then be able to cover support for municipal measures for the same purpose as the leisure card. Furthermore, the government is working hard to reduce poverty, especially that of families with children. To achieve that, we also have in our budget priority welfare services such as kindergarten and SFO, which are going to be cheaper for everyone. We will also introduce a daily healthy school meal, and we will make the tax system more socially disrupted, which is also important in this context.
ParlaMint-NO_2022-02-16.ana.ud409e1204	A few weeks ago, I visited the municipality of Arendal, which was one of the pilot municipalities for the leisure card. They reported very positive results with the scheme, and the leader of the Arendal Karatek club, who was there, called it the best thing that had happened to sports, integration and involvement. One of the things that was considered positive in Arendal was that the scheme was universal, because in that way the cultural unit in the municipality could go around the schools and deliver each student a separate gold ticket and in that way draw attention and 'buzz' around the scheme. It could not have been done if this was a need-based system; it could lead to stigma for the individual child. The Hurdal platform shows that we want to delete the universal provision of well-being for children and young people, but immediately afterwards we choose to remove this universal system, so I do not fully understand the government's attitude to universal arrangements. How does the Council of State feel that the removal of the leisure card is consistent with its own objectives in the Hurdal platform, and how will it defend the fact that more than 200 million are then removed? kr and increasing... [[President clubs]]
ParlaMint-NO_2022-02-16.ana.ud409e1213	Time's up.
ParlaMint-NO_2022-02-16.ana.ud409e1218	Now it is that the follow-up evaluation of the test project is still not ready, so to conclude from experience in one municipality on what a national bet will result is a bit difficult. As I said, the pilot project is going as planned. It will end on 1 July of this year. The follow-up evaluation we then receive will provide us with useful knowledge of what we are going to focus on in the future. The preliminary results of the leisure card scheme show that it has our resource requirements to establish. She has had a positive impact on the work of municipalities with inclusion and participation, but there is too little certainty about the impact of the scheme on the participation of children and young people. So we haven't promised a national roll-out, and we have, among other things, a national roll-out. increase the redundancy scheme that goes to all municipalities.
ParlaMint-NO_2022-02-16.ana.ud409e1225	This arrangement is not something we've just invented on our own. This is a scheme based on experience from Iceland, where the scheme has had very good effects. We have already received some interim reports, and this shows, among other things, that. that, overall, most municipalities have made good progress in establishing it and that the organisation of municipalities seems to work well. Now you've gone from a scheme that's set at 225 million. Another NOK 50 million. SEK to a new grant scheme where municipalities can apply themselves. Some of the things that were fine with the leisure card scheme were that the kids and the kids themselves could choose which leisure activity they would go to. Now it is up to adults to apply for the activities to receive these funds, and with it some of the freedom that children and young people have had disappears. The left considers it important to invest in children and young people, but with the new scheme it seems most important to invest in organisations. Will the Council of State take action to ensure the same degree of freedom of choice for children and young people as the leisure card scheme did?
ParlaMint-NO_2022-02-16.ana.ud409e1234	When one refers to Iceland, I would like to make it clear that it is very important to learn from Iceland with the idea that we can prevent a lot by giving all children and young people the opportunity to have an activity or to be in activity. That objective is passed on by this government. We are to ensure that all children and young people are given the opportunity to participate in a leisure activity. When we don't want to roll out this leisure card even before we get an evaluation, it's because we've got feedback that a lot of resources are being used to establish it. We think that a system of leisure funds, which is easy for municipalities to manage and apply for, can cover a lot of the same intentions, and that the money goes straight to the activity.
ParlaMint-NO_2022-02-16.ana.ud409e1245	Question 10 is from the representative Turid Kristensen from the Right, who has addressed the question to the Minister for Children and Family Affairs. It has been transferred to the Minister of Justice and Preparedness as constitutionally responsible, but is, however, being answered by the Minister of Children and Family Affairs on behalf of the Minister of Justice and Defence, who has a history of disease.
ParlaMint-NO_2022-02-16.ana.ud409e1250	I finally got the right government council in place. ‘The VG writes on 7 February about the strong increase in violence in close relations. A study from Trøndelag shows that there has been a dramatic increase in the pandemic, an increase of 54 pst. There is reason to believe that this also applies to other parts of the country. About 90 pst. of the victims are women, but there is also an increase in male victims. How does the Council of State work to prevent and combat violence in close relations?’
ParlaMint-NO_2022-02-16.ana.ud409e1259	Here, state councils work – in a number of ways – to prevent and fight against violence. Powered in close relationships is a societal challenge, and it applies to both women, men and children who are exposed to power in close relationships. Women — mentioned in the study — are more likely to be seriously and repeatedly elected than men, and they are also more likely to be subject to sexual violence, even in close relationships. For the government, the most important task is to ensure that crime does not happen, and that individuals are secure security, good legal security and available services throughout the country. Powered in close relations is serious crime, which is to be given a higher priority throughout the criminal justice chain, from prevention to criminal execution. In the government statement, the Hurdal Platform, we warn that we should present an escalation plan against violence and abuse against children and violence in close relations. The plan shall be drawn up in cooperation with several departments and shall have the needs and legal certainty of its stay at the centre. A holistic and co-ordinated policy against violence in close relationships involves several relevant sectors, establishments, institutions and organisations. Good interaction between management levels and between different sectors at State, regional and municipal level is also an indication of the quality of work. In addition, good cooperation between public, private and voluntary actors is important. Chosen in close relationships leads in their utmost consequence to the loss of human life. Every fourth killing in Norway is a partisan rap, and most of the killing sleepers are women. Research shows that these killings rarely come without warning. This means that there is a high potential for better prevention. We're going to go through the recommendations of the Party Draps Selection, which came out in December 2020. The establishment of a permanent joint action is one possible measure. The purpose of such a Commission will be further learning and further development of the work of preventing peer selection and partnardrap. Children are also subjected to violent and sexual abuse, both inside and outside the home, and increasingly online. Police figures show that the number of reported cases with possession and spread of assault material and child sexualisation has increased by 39 pst. from 2020 to 2021. There is also an increase in other sexual offences against children during this period. It is a disturbing development that I will follow closely in the future. The State Children's House is important here, and there will also be an evaluation of the State Children's House from Oslomet. It is also a report that can provide a good basis for further development of children's homes.
ParlaMint-NO_2022-02-16.ana.ud409e1274	I thank you for the answer and am happy to hear that the Council shares my commitment, and she is quite right: this is across at least eight departments that are actively involved. In August 2021, the Solberg Government presented an action plan containing 83 concrete and targeted measures to prevent and combat violence in close relations. I have registered what the Council of State was also talking about, that it has been announced that there will be an escalation plan. I would assume that the escalation plan could be based on much of what is in the action plan, and on very many of the measures there – not least measures such as prevention programmes, investigation commissions, increased quality in crisis centres, offer to the paper centres, to mention something. But my next question to the Council of State is: Can the Council of State explain what, if anything, has been done so far to follow up the action plan? And anyhow, can the Council of State say something about when we can expect the announced plan of escalation to be presented – something about the timetable for its work?
ParlaMint-NO_2022-02-16.ana.ud409e1283	When it comes to the timetable for the escalation plan, I can't say anything more specific than that we started work. The plan will be submitted when it is completed. I understand that the Storing is also concerned with the theme, and it's good that one is involved in it also from the opposition's side. We have a common goal. When it comes to the other work, we in the political platform are clear that we should give priority to choice in close relations and sexual abuse, in the whole chain of punishment. We're going to make that escalation plan. In the budget for 2022, there was also a strong strengthening of measures. It is all from measures on the prioritisation of police work that a number of measures have also been passed on from the pandemic. In January of this year we also delivered a bet for children and young people who also had measures to fight against violence and abuse against children.
ParlaMint-NO_2022-02-16.ana.ud409e1290	I just want to go back to the study from Trøndelag, which shows that the situation got dramatically worse under the pandemic, so there's really a need now for us to get the stairs up this work to prevent and help those who've been hit. Fortunately, one of the measures of the Solberg Government's action plan is to include violence in close relations in future contingency plans, which I hope this government will also follow up. However, another action is to carry out a new national scope study as part of a research programme. The NRK also had a case about this study before Christmas, and researchers there pointed out that there is reason to believe that the findings in the Trondellag could apply to the whole country. But we don't know that, so they're asking for further studies and research. So finally, my follow-up question is: Will the Council of State take the initiative to ensure that the government is able to obtain up-to-date information on developments during the pandemic, including in all other parts of the country, in the further work on following up the action plan and working on this escalation plan?
ParlaMint-NO_2022-02-16.ana.ud409e1297	It's hard to answer no to such a question. Of course, I will take it with me when we are going to work on this escalation plan. It goes without saying that in this area, it's absolutely essential that we have good knowledge, that it's going to be researched, and that we get numbers and facts on the table. It's a sign of numbers, both those under the pandemic and those under the pandemic, that we're going to be surprised at the scale. We like to think that this is not as big a social problem as it really is, and I think that good facts and that we know what we're talking about, also suggest that there is less taboo about this; it's easier to prioritize and debate politically and – not least – out in the services. It can also contribute to what is the main point here: to prevent and prevent more women, men and children from experiencing power, and especially power in close relationships, which is our biggest task to prevent.
ParlaMint-NO_2022-02-16.ana.ud409e1305	‘The evening post summarized on 9 February the whirlwind of unknown outcomes by the government throws the municipalities and the counties into when the new regions were dissolved. Several municipalities signal that they do not want to go back to their old counties. The main argument of the government to dissolve is that the mergers should have taken place by force. Will the government then force municipalities to return to their old counties, or will local self-government still count the most in these matters as well?’
ParlaMint-NO_2022-02-16.ana.ud409e1312	The government places strong emphasis on local democratic considerations. That's why we now give coercive states and municipalities the opportunity to share if they want to. I record that in the light of this process, questions have arisen about county membership. The discussion of county membership must primarily take place at local level. From the letter I sent out in November with information on the process and timetable for sharing, it appears that any request from the county council for sharing must contain proposals for new county boundaries. The counties of each municipality should also be specified. The division of counties is a nationally regulated process, and it is the Storting that has the authority to divide the counties. According to the plan, the government will promote a proposition for the Stortinget in the spring of 2022 with proposals for a decision on the sharing of the county municipalities concerned, new county boundaries and the county of each municipality. If a municipality would later change the county, the rules of procedure of the law of division apply. If such a border adjustment between counties applies to more than one municipality, the Grand Duchy has the competence to take decisions. In the government's assessment of such cases, we will weigh different considerations. Of course, local authorities' own wishes will weigh heavily, but among other things. the importance of the counties affected, i.e. the state where they leave and, where appropriate, what they come to, and their consequences for, for example. compartmentalisation must also be considered.
ParlaMint-NO_2022-02-16.ana.ud409e1325	It might be tempting to ask the Council of State what the government has in mind for municipalities that want to enter other counties. There is a lot to say about the Central Party election campaign, but for several of us, the simple answers to complicated questions – something we noticed – were not as obvious. Splitting structures that are now in the process of being settled, especially in the Gulf, but also in Westfold and Telemark and the Inland, is not as simple as you can imagine. Change processes one way or another are very demanding for those involved. It may be easy to think that municipalities need to find a place in their old units, but this is more complicated than that. Now we see that more and more municipalities have not surprisingly looked at new opportunities and sought new cooperation. Does it really come as lightning from the clear sky for the Center Party that municipalities now don't necessarily want to belong to their old units?
ParlaMint-NO_2022-02-16.ana.ud409e1334	It is right that structural change processes entail difficult and demanding processes and discussions, as the representative of Skelstad now addresses. But at the same time, I have to note that the concerns about precisely that did not really apply when one chose to use force to change the structure and expose those municipalities and county councils to these demanding processes. Otherwise, I refer to my answer. It happens from time to time that there are discussions about changes in county membership. In some cases it is sought, and in some cases it is also granted.
ParlaMint-NO_2022-02-16.ana.ud409e1341	It's interesting that it goes by coercion again. You might want to stay a little bit. For what is coercion? Is it coercive in any case when it is contrary to the will of the Central Party – legally adopted decisions in this Chamber? Is it the Central Party's definition of coercion, because they disagree with what has happened, with decisions in this Chamber, but also in other cases? And that's not going to come from, quite concretely: Will the Council of State be positive, despite what he said after the men and women in the previous answer, that some municipalities – read Alta, without me doing proceedings here – will change the county?
ParlaMint-NO_2022-02-16.ana.ud409e1346	The question of the definition of coercion is not whether the conclusion is in favour of or against the views of the Centre Party. The question is whether it is for or against the views of local democracy, i.e. the units against which it has been coerced. That's the point. Otherwise, the representative argues that it would be almost automatic in that if a municipality wants to change the county, it should be honoured. That's what really underlies too much of the question and reasoning here. But that's not how it worked up to now, at least. There must be a concrete assessment, an analysis of the situation. So have previous governments. We will not go back more than two to three years in time until we find that a government of which the Left was part, said no to a county swap for a municipality in Norway.
ParlaMint-NO_2022-02-16.ana.ud409e1353	Questions 12 and 13 will be answered later, before question 29.
ParlaMint-NO_2022-02-16.ana.ud409e1422	Questions 14 to 20 are postponed until the next Question Time.
ParlaMint-NO_2022-02-16.ana.ud409e1430	‘It may seem that the Minister of Oil and Energy has not understood the seriousness of the electricity price crisis in this country for most people and for business. Governments have stated: ‘This means that when the Norwegian state spends more money, it has meaning for other parts of our economy, like what we can spend on other parts of our society to avoid interest rate increases. We also have an action rule to limit our use of oil money." Has the government understood that the state has raised tens of billions of dollars more than the current shock due to the current prices?’
ParlaMint-NO_2022-02-16.ana.ud409e1437	Let me first make it quite clear: the government wants access to clean and reasonable power to continue to be a Norwegian competitive advantage that contributes to value creation and employment in the future as well. It is correct, as the representative points out, that the state receives increased revenue in the current situation, including: from taxes and from the dividends paid by Statkraft. The strong public ownership of Norwegian power supplies also increases the income of many municipalities. That's why it's not only required, it's also right that we set up in the situation of the year. The government has implemented comprehensive measures to remedy the exceptional electricity prices situation this winter. In addition to the temporary electricity support scheme for households, we have reduced the electricity charge, increased housing support, increased support for students, increased support for municipalities to cover increased payment of social assistance and increased support for additional measures through Enova. We have also proposed our own support schemes for the agricultural and greenhouse industries and non-governmental organisations. All of this has been completed in a few months. Then it is necessary that we now go thoroughly through the experience of the force situation of the year. We need to look at the risk of similar situations, and we need to keep working on measures. At the same time, we must work towards a long-term development in the supply of power that preserves the good starting point Norway has had for many years. That's why the government has now set down an energy commission. The Commission shall assess the need for energy in the future and proposals for increased production. In particular, the Commission shall assess the fundamental dilemmas of Norwegian energy policy up to 2030 and 2050 and how different policy choices can affect the long-term development of Norwegian power supply. The electricity price has increased to very high levels and resulted in a significant increase in electricity costs. The government has shown that we are making good arrangements to remedy the situation. We're still going to do that in the future.
ParlaMint-NO_2022-02-16.ana.ud409e1452	In my question, I pointed out what is being said when oil money is growing, or interest rates can rise. What it has to do with the fact that the state holds in tens of billions of dollars more than one user in power support, I really wonder. Does it have anything to do with the whole thing? One shall not use any oil money or anything which would endanger an increase in interest rates.
ParlaMint-NO_2022-02-16.ana.ud409e1457	There I just have to repeat what I said in my previous answer, namely that it is right for the representative to point out that the state is getting more revenue in today's situation, among other things. from taxes and from the dividends paid by Statkraft. The strong public ownership of Norwegian power supplies also increases the income of many municipalities. In addition, the country has increased revenues in the form of a high level of gas prices. All of this has an impact on the economy as a whole and on the national economy as such. The power support system with the areas I mentioned in my first response: increased housing support, reduced electricity charges, etc., has added 14 billion. kr in electricity support, and we will continue to provide support for the duration of the price crisis.
ParlaMint-NO_2022-02-16.ana.ud409e1462	That's $14. NOK of approx. 40 B.C.E. kr in additional income in addition to that received by both Statnett and Statkraft and to which the Council of State correctly refers, there are billions per day in extra revenue from the oil and gas sectors. Then my final question is 35 pst. of the consumption of electricity is the household that stands for. The remaining 65 pst. the consumption accounts for the provision of services and the business environment. For the 65 pst. As we're talking about now, business and services, the government hasn't given a penny. Can the Council explain to me why the business community will not receive power support when they account for as much of the extra income that the government incurs because of the sky-high power prices? And why is it that Norwegian business is going to go bankrupt because the government is not responding?
ParlaMint-NO_2022-02-16.ana.ud409e1467	It might be necessary to clarify that the 14 billion. kr, which I mentioned instead, is about what we have done so far. And then I'm saying we're going to keep going in the future, we're also going to follow that situation closely. Then I want to say that it is not right that no part of society other than households has benefited from some of the benefits we have given, and some of the measures we have taken. Among other things, a reduction in the electricity charge will benefit everyone. In addition, there are so far separate support schemes for agriculture and the greenhouse industry, which are also an important part of business in Norway. We follow the situation closely. It is important that we also look at the long-term measures. That's why we're going to review the situation, both the reasons why we got there, and how this system has worked this winter when prices have been so high.
ParlaMint-NO_2022-02-16.ana.ud409e1479	‘Does the Minister for Oil and Energy share the demand of a number of local politicians in the Workers' Party and trustees in the trade movement to renegotiate the concession agreements for the foreign tables, so that we can regulate exports more stringently and more appropriately in terms of security of supply and stable, low prices?’
ParlaMint-NO_2022-02-16.ana.ud409e1484	The government has clearly stated that we are investigating how Norwegian exports of power affect Norwegian security of supply and Norwegian electricity prices, and what concrete measures can help to ensure that Norwegian renewable power remains a competitive advantage for Norwegian industry. Last Friday we set up an Energy Commission with extensive experience and competence to look at these issues. As regards renegotiation of foreign-exchange agreements, it is important to bear in mind that electricity trading is part of a major trade regulation, both with the EU and the United Kingdom. Any renegotiation of power needs to be assessed on the basis of our international obligations, which could also affect our rights, which perhaps the opposition does not always seem to be equally concerned with. The EEA Agreement and the United Kingdom Agreement restrict the amendments which may be made where these involve trade restrictions. The EEA Agreement shall ensure the free movement of goods and has a general prohibition of export restrictions. This also includes electricity trading. A similar provision exists in the Free Trade Agreement between the United Kingdom and the EEA countries. At the same time, there are exceptional rules, such as the provisions on safeguard measures in the EEA Agreement. However, the threshold for using such exemptions is very high. In my opinion, we are well away from such a situation. Although we experience exceptionally high power prices and lower filling levels in the warehouses than usual, we are not now in a situation of security of supply challenges. Statnet estimates that the availability of energy through winter is safe and the energy authorities follow the situation closely. We also have to remember that we can get into a situation where we ourselves need to import power from abroad. If the Norwegian authorities now intervene in the established rules on how power trading is organised, it will be able to come back to us in such a situation. There should be no doubt that the government is taking the power situation of the year seriously, and the government has implemented comprehensive measures to remedy the situation with the exceptional electricity prices this winter. In addition to the temporary power support for households, we have reduced the electricity charge, increased housing support, increased support for students, increased support for municipalities to cover increased payment of social assistance and increased support for anincreased measure through Enova. We have also proposed our own support schemes for the agricultural and greenhouse industries and non-governmental organisations, all of which have been implemented within a few months. We will also take a close look at the causes of the high electricity prices and the effects of this, so we will avoid coming in the same situation as this autumn and winter. The government has shown that we are making good arrangements to remedy the situation, and so will we in the future.
ParlaMint-NO_2022-02-16.ana.ud409e1499	Thank you for that answer. There was a government statement before the weekend that ‘a dialogue with the United Kingdom and the EU aimed at ensuring that we avoid long periods of clean exports during periods of low magazine filling’. It was the state council itself that said to the press. What I'm asking you is whether we can get a more concrete answer to what that dialogue means. First, when should this happen, when does the dialogue start? And secondly, will the government make any concrete demands in such a dialogue? Will it be about negotiations or more loose talk? Will we get on with what is said in the quotation, namely, avoiding pure exports? And in what way will the government take concrete note of this?
ParlaMint-NO_2022-02-16.ana.ud409e1504	Firstly, we believe that it makes sense to determine how Norwegian exports of power affect Norwegian security of supply and Norwegian electricity prices, and what concrete measures can help Norwegian renewables remain a competitive advantage for Norwegian industry. Just to make it very clear: this government does not want to approve new inter-national connections during this government period, and we also believe that Statnet should own and operate all inter-national connections. We have an energy dialogue with the EU and with the United Kingdom and our partners, through which we will follow this up. That discussion is an ongoing discussion and dialogue – we have it on a running level and not set up. So I think that once we've gone through... I'm sorry, there was time.
ParlaMint-NO_2022-02-16.ana.ud409e1511	I guess many perceived the play on Friday from the Council of State as meeting all the demands of both the Workers' Party locally, from the trade movement and from very many common people around the country, just to enter into negotiations on the flow of electricity over these power cables. Many expect that the Workers' Party might want to regulate power exports, not just let the market operate in peace, as we have heard from the Council of State in the past. Then it's interesting if what was announced on Friday is something more than a continuous dialogue – a discussion that you obviously have on the go – i.e. if there's something handy here. Are there any more real negotiations about the flow over the export power cables, or is there really nothing new, but just a continuation of a so-called ongoing discussion or dialogue?
ParlaMint-NO_2022-02-16.ana.ud409e1516	For me, it is a little unclear what the representative asks, because if we are asked if we intend to start a renegotiation of the EEA Agreement, the answer to that is no. But we're going to have a dialogue, and then, first of all, it's important that we go through the experience of this winter, so that we actually have a good knowledge of what the real causes are, and how much inter-national connections have to say about the impact of power prices. And then we must have that dialogue with the United Kingdom and the European Union. It is clear that this is for our part, that we have a goal to ensure that we avoid long periods of pure export during periods of low magazine filling. That's our goal.
ParlaMint-NO_2022-02-16.ana.ud409e1537	The question has been withdrawn.
ParlaMint-NO_2022-02-16.ana.ud409e1545	‘Many have had an operation postponed due to reduced health care capacity. While private hospitals have free capacity, the government is drumming through their phobia against allowing private providers to treat people. This means that many people who could receive the necessary treatment rather suffer from a condition of health. How many are now in health queues, how many have been exposed since the pandemic started, and why does the Council of State think it is right that people have to live longer with pain because they have to stand in line, instead of using the available capacity of private hospitals?’
ParlaMint-NO_2022-02-16.ana.ud409e1552	This winter, activity has been planned to be brought back to the hospitals to deal with the increase in covid-19 hospitalisations. Unfortunately, deferral of treatment is a major burden for patients affected and for their dependants, but in some cases this is a necessary measure, including: to release health professionals for intensive treatment. High sick leave among employees also contributes to the postponement of planned operations. Health South-East has numbers that show that about 12 pst. of planned patient contacts were delayed as a result of covid-19 in December 2021. This represents approximately 10,000 contacts. It's a high number, but at the same time it's significantly lower than in previous waves of infection. By the end of December 2021, around 240,000 patients were waiting for health care to start up. That's about. 20000 more than at the end of December 2019. The government has no objection to cooperating with private partners in areas where it can provide a better offer, but it is important that it does so on the premises of our community health service. We do not want private actors to be able to establish themselves freely and drain local hospitals for resources – as we have seen examples of with the free treatment choice system. The scheme has met little of the objectives set. The evaluation was clear: it did not provide shorter waiting times or more efficient hospitals, and the freedom of choice was more accessible to patients who had the capacity to manoeuvre through the system. Regional health regions purchased healthcare from private actors for over 16 billion. kr in 2020, and it is up to health regions themselves to assess whether they will extend purchases from private operators.
ParlaMint-NO_2022-02-16.ana.ud409e1565	We understand that it is, of course, necessary to reduce the capacity of public hospitals. I hear the Council of State actually insinuates that you're very critical that the private take out the capacity. It's not about that, but about the willingness to actually spend more money on health care. It is not about removing capacity from public hospitals, but about the willingness to spend more money to treat more patients and avoid patients waiting in line. 240,000 people waiting in line for first treatment in hospitals are high numbers. We know that private hospitals could deliver hundreds of thousands of operations a year if they had the opportunity. Why does the Council of State think it is right that this queue has increased by 20,000, only from 2019 until the end of 2021? Why not use the private capacity that is there and spend some more money on health care? I thought it was the Labour Party's promise in the election.
ParlaMint-NO_2022-02-16.ana.ud409e1570	Here the representative Hoksrud's mouth is quite full. First of all, we don't think it's any good that we have waiting time, that we're being treated. We work around the clock for it to be shortened, and for no one to experience unnecessary waiting in their course of treatment. It seems that the representative wants to discuss many things at the same time. I am also very surprised when I know that in the representative's home state, Telemark, the Hospital Telemark is one of the hospitals that experience the greatest depletion of resources as a result of the system of free treatment, where private operators can establish themselves freely, with suctions into the local hospital. I encourage you to visit the Hospital Telemark mental health clinic and hear what the doctors think about it.
ParlaMint-NO_2022-02-16.ana.ud409e1575	I record that we are dealing with the next question, which is about free treatment options, so I understand that the Council of State needs to talk away from the fact that the number of people queueing in public hospitals has increased by over 20,000. We've seen hospitals where there's a surplus of over 1 billion. kr, the money that could have been used to prevent people from standing in that hospital queue. That's what this is all about. I feel that the Council of State is now saying that it's about taking money from the public hospitals and going to the private, but the difference between the Labour Party and the Advance Party is that we're busy with patients, that patients are going to be treated, and that we're going to spend more money to ensure faster treatment. Then the Council of State can either answer yes or no: will the Council of State increase the appropriations to bring down the queues, ensure that as much as possible is treated and will not suffer any longer because of a pandemic, and because the government does not want to use the private, available capacity that is there?
ParlaMint-NO_2022-02-16.ana.ud409e1580	Hospital budgets have increased from 2021 to 2022. There was an increase in the draft budget presented by the Government of Solberg. So the government added Bigger to 700 million. kr to, and in January, Stortinget treated an additional proposition with resources for crisis of SEK 1,5 billion. kr to hospitals, so this government has increased the appropriations for hospitals. Our health regions are buying places from private clinicians to a large extent. But there is a rather low level of precision in the representative Hoksrud, for how many of those waiting for treatment in Norwegian hospitals does he have knowledge of would have benefited from treatment by a private actor? That's the question. [[President clubs]] The party of progress has had a positive impact on this before, without benefiting patients.
ParlaMint-NO_2022-02-16.ana.ud409e1585	The President reminds us that when speaking time is over, you have to go in for landing and not take a new rate.
ParlaMint-NO_2022-02-16.ana.ud409e1593	‘Long-term treatment options shall be discontinued during 2023, which has caused great concern among patients and health professionals. Patients fear for good reason that they are getting a lower offer and longer waiting times, while health professionals in the scheme do not know how the winding-up will affect their health services and employees. How should the Council of State be able to ensure a predictable and sound process, when she says that the scheme should be terminated as early as next year without it being clear how good treatment offers can continue to operate?’
ParlaMint-NO_2022-02-16.ana.ud409e1600	This government has promised a settlement with privatisation and market thinking in hospitals. We are concerned about a two-part health service: one for those with resources and one for others. Then it should not surprise the representative Hoksrud that we are going in to remove a scheme that strengthens private actors at the expense of the public hospitals. This scheme has little achieved the objective of reducing waiting times or making health care more effective. It has taken money from local hospitals and has mainly gone to private clinics in the East. We have to implement the winding-up properly. We will focus on the consideration of patients who are being treated by free choice providers, in particular those who have a slightly longer treatment course. This applies primarily to drug treatment, mental health protection and rehabilitation. That is why I have also chosen to notify that we intend to wind up the scheme from 2023, so that the public hospitals will have time to prepare and possibly extend the purchases from private people. I understand that the private actors in the scheme have many questions about how we are going to implement this liquidation. We have to get back to these details in the consultation note we're now working on. The hearing will allow the approved companies to comment and make recordings. Winding-up of the scheme requires legal amendment. A case will therefore be brought before the Stortinget after the hearing. In other words, it is put up to an involved and democratically anchored process.
