ParlaMint-NO_2022-01-18.ana.ud386e80	The representative Siv Mossleth, who has been on leave, has once again taken his seat.
ParlaMint-NO_2022-01-18.ana.ud386e1098	We can't change, co-locate and build up such an important health service for patients in psychiatry and drug use without a big message, without a professional investigation into how this would go beyond the offer of all patients in the field of mental health protection and drug abuse, and without knowing the consequences of it. That is why the Green Party, together with the patient focus today, proposes four things. Firstly, we suggest that we immediately stop the sale of hospital property that is currently used for mental health protection and multidisciplinary specialised drug treatment. Secondly, we are proposing to set up a public sample to investigate the co-location that has put us in this situation, with the sale of hospital property and the closure of places, is the best solution for mental health protection and for drug abusers. Thirdly, we are proposing to explore the need for long-term places in the field of mental health protection, and finally we are proposing to evaluate the funding model for these hospital and hospital facilities, a model that makes it attractive for businesses to sell the land currently used for mental health protection, to finance new hospital buildings. Our goal is well enough space in mental health protection and in the interdisciplinary specialised drug treatment and a good hospital offer for those who need this offer. If the co-location doesn't take us there, then we have to find a better solution. That is why we need more knowledge, and that is what the Greens are proposing today.
ParlaMint-NO_2022-01-18.ana.ud386e1107	Good mental health is not in buildings, but modern buildings can provide good mental health. Good knowledge, good capacity and good and proper competence can help people. Recognising that mental health is similar to somatic health is like comparing teeth with the body. Mental health is linked to somatic health. But unfortunately, it's not always that those with a mental challenge experience being recognized in the same way as those with somatic disorders. Blue light medicine has often been given priority, and mental health has often been given the highest priority. Mimir Kristjánsson told about his mother who lost her teeth after radiation treatment. My mother was mentally ill. Her alternative was an old hospital far from all colors. There was stigma, and people put songs about holes in the fence at that institution. It wasn't worth it, either for my mother or for us as a family, and it wasn't an alternative for her to be there. She could not accept the help she needed. The Christian People's Party is concerned with mental health. We're occupied with capacity, we're occupied with decent construction, and we're engaged in a recognition of mental health on the same lines as physical health. Sometimes this is also linked, and therefore I am concerned not only to keep the old buildings for the old buildings. I think that's the wrong priority. I think we have to look all the way to both lifting mental health as part of the body, recognising the need for modern services and having enough capacity. It deserves this patient group, which unfortunately is still stigmatized in our society. So I'm concerned about many of the proposals that lie here, but I'm also concerned that this has to come in whole. That's why I'm concerned that we don't take it piece by piece and divide and hold on to anything, but that we're raising mental health as such wide within this field.
ParlaMint-NO_2022-01-18.ana.ud386e1120	We in the Patient Focus have talked to patients and their families, and that's the important thing. Co-localised hospitals with somatically ill patients and patients with drug or mental health problems often lead to insecurity for some patients and their families. It's important to have in the back of your head. Healthcare professionals in psychiatric hospitals are bound by professional secrecy, but in co-located hospitals, mentally ill or addicted parts of rooms and corridors with physical illness, Ola or Kari Nordmann, and it is important to bear in mind that Kari and Ola Nordmann are not bound by professional secrecy. In our representative proposal, we ask the Stortinget to be involved in ensuring a good hospital offer for patients in the field of mental health protection and multidisciplinary specialised drug treatment. For that, an investigation is needed. In the multicultural north, we also need an investigation into how we care for the needs of Sami and female patients. In a comment on our proposal, the Health Minister says that for many, there will be significantly less stigma associated with being admitted to a general hospital rather than a psychiatric hospital or a drug institution. To that it is to say, isn't it better that we build down the stigma, so that being mentally ill or admitted to an institution because of drug dependence is as natural as being physically ill in somatic hospitals? What stigma will it be if the neighbor tells the villagers that he Severre is a russian or psychiatric patient – and he knows it because they were in the same place? I allow myself to ask, what is a general hospital? Isn't it time for the drugs and psychiatry to be generalized as well? The words 'common people' have become the motto in this room in the last few months, and we in the Patient Focus have, as I said, talked to ordinary patients and their relatives. The patient Sverre, who is a bipolar, said this: I'm safer when I'm in a hospital with others with mental challenges. What do the neighbors have with me, when I'm mentally ill, not sleeping, dressing naked, acting sexually, uncritical to all the women I meet? Now I dress naked in the park around my psychiatric hospital. What if I do it outside the university hospital, where in the future I can be admitted? The conversations with patients and relatives make our list long. The brief and simple conclusion is described by Kari, who has the diagnosis of schizophrenia: I need to be a place where my disease is protected from the insight of others, because I can blame myself and violate my own integrity when the disease is in full bloom and I do things I would never do when I am healthy and at my full five. We believe it needs a proper investigation, and we hope that this hall will take that into account.
ParlaMint-NO_2022-01-18.ana.ud386e1135	I share the commitment of the proposers that we should have a good treatment offer in the field of mental health protection based on up-to-date knowledge of what provides good quality. The attitude suggests that we have a general consensus in Stortinget on the understanding of mental health and a common commitment to developing the field. Within the framework of this consensus, there are a number of questions that need further discussion, and I would like to get back to them in the alerted mental health escalation plan. We have to remember that the life expectancy of people with mental illness is up to 15 years shorter than that of the general population. Therefore, I would like to stress that this government believes that the co-location and integration of somatic services and mental health protection facilitates the provision of comprehensive services to patients when they need it. We are not waiting for the escalation plan, but we have already started the work. In the budget for 2022, we increased the appropriations for hospitals by 700 million. kr in addition to the arrangements of the Solberg Government, inter alia. justified by the need for mental health protection. In the mission papers for regional health businesses, I have made it clear that mental health protection and drug abuse are one of three main objectives. We have set the target of an activity growth in 2022 against 2021 in both diurnal and outpatient treatment. Last but not least, we have started to offer an assessment interview when people are referred to mental health protection. Now hospitals are starting to offer this in mental health protection for children and young people. To the minority's proposal to reduce a public sample, I would refer to a new escalation plan for mental health. Several of the proposals include: Long-term care for people convicted of mental health protection is one of the issues we need to look at there. I look forward to presenting a new escalation plan for mental health and the public debate and the Stortinget debate. In the government platform, we have also announced a new prevention and treatment reform in the drug field. I will come back to how the government will follow up this.
ParlaMint-NO_2022-01-18.ana.ud386e1148	It's going to be line change.
ParlaMint-NO_2022-01-18.ana.ud386e1153	In its hospital speech, the Council of State said that the current government would go away from what is called the golden rule, namely that regional health businesses should give priority to growth in mental health and drug addiction, individually, higher than that of somatic care every year. Under our government, we fulfilled the golden rule in the matter of drugs, while we did not fully achieve it in the field of mental health protection. But what, then, is the ambition to reach out to public health businesses if they do not have the objective of prioritising drugs and mental health higher with this government?
ParlaMint-NO_2022-01-18.ana.ud386e1158	We've changed the target of mental health protection and drugs. The background for it is that the golden rule, we believe, did not give a proper picture of the results achieved in the service. It was also difficult to measure against the somatic. In particular, after two years of pandemic, where hospitals cannot be said to have operated normally, it doesn't make sense to compare the two sizes. We have set a performance target that is about an activity growth in 2022, set up against 2021, both in the field of day care and outpatient treatment. That means that we want a bet on capacity, quality and activity, and that the field is measured from one year to the next on its own growth,
ParlaMint-NO_2022-01-18.ana.ud386e1163	It is good that the Council of State agrees that this is an important area and an important field – within psychiatry. But in 20 years, the number of places is almost halved. That means that it's a little too easy just to blame the previous government, if the Council of State was going to do it. This is a challenge, it is believed that it has been a misguided policy, and other representatives have also said that. But I'm worried. I believe that we must now actually raise the daily treatment capacity again, and that is why the Progress Party has also proposed several hundred million kroner, 900 million. kr, for rushes and psychiatry in the budget of the year. But I feel that the government hasn't come up with anything, except that I hear the council says it's 700 million. They are to be distributed to hospitals, but they are to be distributed both by somatic means, or by regular hospital treatment, and by drugs and psychiatry, and then it suddenly becomes much smaller. I meet a lot of relatives. I meet many people who are addicted to drugs, or who have major mental challenges, who feel that you are not coming in and receiving treatment. So it's because it's not capacity, and it's not space. Now, what will the Council of State do to follow it up?
ParlaMint-NO_2022-01-18.ana.ud386e1170	We follow that up by increasing our capacity. We're also looking at how to improve the quality, and the sum of the two sizes is that hospitals need to increase the activity, and that means they need to help more patients. So it's this government that says in its government platform that now stops the construction of 24 hours' space. That's not what the last one said. We would like to discuss whether it has been a professional development or not. My father was a trained psychologist in 1974. At that time the jobs of his profession lay desolate in the countryside, in quiet surroundings and with tall fences. There has been a professional development, where most people also benefit from day care and living and working at home, but we are concerned about those who need long-term daily treatment, and therefore we have said here, but no longer.
ParlaMint-NO_2022-01-18.ana.ud386e1180	Yes, we agree, and I think everyone agrees that it's good. For many, day care is positive and works well, but it cannot be at the expense of actually reducing the number of places. Then I heard that the councillor in his hospital speech was very clear that free treatment choices should be removed. So when you talk about the professional and the importance of the profession, it means that for the government and the government, patients or those who need an offer – and what they are busy getting – are obviously not as important, because you don't want to be able to continue to have that opportunity. I think the important thing here is that people actually get treatment, and that as much as possible get treatment. If you're going to cut out this offer, it means it's going to be less space, because it often costs more in public than in private. Then you will find that you will quickly get swing door patients instead of actually helping people, and I want to challenge the Council of State on how she thinks it makes sense.
ParlaMint-NO_2022-01-18.ana.ud386e1188	I would like to make it clear that the measure of activity growth, which I responded to a former replicator, is also about measuring capacity growth both for 24-hour treatment and outpatient treatment. Norwegian patients will have great freedom of choice with this government. The situation today is that a number of treatment sites in non-profit institutions and private institutions are available to Norwegian patients through an agreement with the regional health service. Then there is a smaller proportion using treatment sites through the authorisation system of free choice of treatment. It's evaluated. We don't think it's appropriate, so we're going to wind it up, but it'll only be up to date from 2023.
ParlaMint-NO_2022-01-18.ana.ud386e1195	I thank the Council of State for saying that we are going to have an escalation plan. We need that, and it's going to be Christian People's Party to be with and support. But now we've had a pandemic, and the shortage of professionals has been very great. We also know that the shortage of psych professionals can sometimes be great. It takes a long time, as long as it takes to train intensive nurses, to train a psychiatric nurse, a specialist who has a social background or a protective care background — or a psychiatrist and a psychologist. What are the thoughts of the Council of State to put this in parallel, so that we do not increase a capacity without having the competence – to get the maximum out of the escalation plan?
ParlaMint-NO_2022-01-18.ana.ud386e1206	This is the representative of Bollestad in the very centre. We need professionals to provide both better quality and faster access to our mental health services. We also start with a more offensive recruitment. Hospitals have been given an increased number of educational positions, both for doctors and for specialist nurses, for which there is a major shortage. And there are also other personnel groups that are important. Psychologists need more of them. We have at all a great need for professionals to lift this field. And now we're starting an assessment conversation for children and young people. We think that's very important. One of five referrals to the paediatric psychiatry is rejected without having met the health service. Often there may be a help offer in the municipality that is right for you. An evaluation interview can also improve interaction with the municipality, where we also want to strengthen mental health services.
ParlaMint-NO_2022-01-18.ana.ud386e1213	I noticed that there were educational positions in the budget. If you're going to spread it from midwife to psychiatric nurse, to health care nurse, to psychiatric nurse, that's not enough. My question is whether the Council of State sees fit to put a stepping-up plan, so that we actually also have an overview of who goes into retirement soon, so that there is a greater increase than departure, natural departure, just so that we don't get into the situation that we now experience, that many of the specialities we need, either are in retirement or have gone for other reasons, and so that we ensure a habilly service that benefits patients.
ParlaMint-NO_2022-01-18.ana.ud386e1218	Here the government has set up its own Health Personnel Commission. They started working last week, and they will help us with a better analysis and a better knowledge base on how to manage to train, recruit and maintain health professionals for the needs we have in the future. The population composition is changing, and we need to equalise the part of health care that we are debating today, which we also know leads to high sick leave and a significant disability. We have expectations of that work, it will be part of what we also include in the next new health and hospital plan, which we have given the work title health and interaction plan. The availability of personnel and the right skills is a main task ahead, and here we hope that a commission thinks outside the box and gives us good data.
ParlaMint-NO_2022-01-18.ana.ud386e1223	The cord shift is over. The speakers who are given the floor hereafter also have a speaking time of three minutes. Grete Wold is currently the last recorded speaker in case no. 3rd@item: inlistbox
ParlaMint-NO_2022-01-18.ana.ud386e1230	It was nice that I would be allowed to have the last word in this matter, from a committee I am not a member of. We all have a mental health, and it can, like somatic health, be good, or it can be bad in periods of life. Some people need specialist help for shorter or longer periods, and then it is of course absolutely essential that it is good enough. The better help you get, the more skilled professionals you meet, and the more organized the premises are, the greater the chance of getting well and getting back to your own life. Psychotherapy and drug treatment are not exactly the same, but there is one thing that is common to both groups, and that is that there is a need for differentiated and good treatment. After working many years in this field, I can say with my hand on my heart that everyone I've met has a very unique story, because the suffering is different, the situation in life is different, and the ability to handle both is different. This means that we need a variety of treatment services, which means that we need to be careful about having too much emphasis on either centralised services or too much local and decentralised services. History shows that this pendulum swings. It now turns towards what the WHO also recommends, namely local and local services, as well as more decentralised municipal services. It is important – essential. So in this case, there is a clear concern that we are now building down the daily places, and that we are not taking care of the effort they actually need to get professionally good, qualitative treatment. This field is a subject in which we do not have sufficient experience and knowledge, and it is precisely for this reason that it is advisable to stop more frequently and assess the correct balance between specialist day care, community and not least outpatient services and the interaction between specialist health services and municipal services. We are now in a situation where there are quite a number of people who get mental problems. The local government sector has high expectations, and often it is not in line with the transfers it receives. Resource-intensive services are eating more and more of the municipal health budget, and therefore, in many municipalities too, the possibility of providing a sound and good offer to all is limited. There is therefore still a need for good specialised hospitals, specialised hospital services that can provide comprehensive services. It is therefore a major concern, also from several disciplines, that we are now building down spaces without having built up similar good services in the municipalities. Therefore, it is a good idea to reduce a sample, put a foot in the ground, listen to the trade unions, listen to the user organisations and assess the benefits and disadvantages and find a balanced and balanced balance between decentralised and specialised services. We have to listen to the professionals, we have to listen to the users, and we have to take with us the experience we've gained so far.
ParlaMint-NO_2022-01-18.ana.ud386e1247	Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2022-01-18.ana.ud386e1264	At the request of the Committee, the President will arrange the debate as follows: 5 minutes for each party group and 5 minutes for members of the Government. Furthermore, within the allocated speaking time, up to six lines will be given with replies after contributions from members of the Government. Those who had to sign out in addition to the allocated speaking time will have a speaking time of up to 3 minutes.
ParlaMint-NO_2022-01-18.ana.ud386e1271	It is essentially a co-ordinated control and constitution committee that supports the position and comments in this case. The importance of being able to provide good health and care services to disabled children cannot be stressed enough and is something that has been expressed on several occasions. Therefore, it is good that we receive such reports from the National Audit Office as is available, where the aim of the survey has been to assess to what extent children and young people with disabilities and their families receive equivalent and coordinated health and care services, and whether state instruments contribute to that very purpose. The National Audit Office’s report concludes that municipalities and health businesses do not provide the same good health services to children and young people with disabilities. The report points out that, among other things: the place of residence, the diagnosis and the efforts of the parents affect the nature of the child's offers, and the kind of assistance provided by the municipalities and health businesses to them with needs. Don't be like that. The degree of criticism of the National Audit Office in this matter is serious. The Committee on Control and Constitutional Affairs believes it is important to listen to the findings and work to improve the offer. On several occasions, the size has shown that children and families with children with disabilities need better public assistance. It is about getting more guidance and information on what kind of services you can get, and the help needs to be coordinated even better. Equivalent health and care services are an important objective. This means that the service should be provided based on the needs of the child and that everyone should have equal access to the service. Neither your mailbox nor your parents' efforts should have anything to say. The child’s needs shall be decisive. I am pleased that the Health and Minister of Care, Mr. Ingvild Kjerkol, is clear that it needs to be taken into account. The same was stated by the then State Council, Bent Höie, in his reply to the Riksrevision, in the context of the preparation of the report. Cross-politics are critical to ensuring good health and care services for the most vulnerable in our society. Finally, I would like to thank the Committee for its good cooperation in this matter, and I look forward to the further debate.
ParlaMint-NO_2022-01-18.ana.ud386e1288	I would like to start by thanking the rapporteur for the good work and good cooperation in the Committee. In 2019, 14 000 children and young people received municipal services, such as: residence in an institution, user-controlled personal assistant, support contact or relief. Nearly 12,000 children with disabilities were for rehabilitation in the specialist health service, but in addition, all the children who did not get the help they wanted and needed come. Unfortunately, the National Audit Office’s study shows that there are still differences in health Norway, for example: what help children with disabilities and their families receive. We know that, for example. are twice as many children, compared to the population, who receive habilitation in health south-east as in health west. What kind of help is given in municipalities is also influenced by the large differences in the services provided by health regions. Too many municipalities fail parents with young children. Three out of five municipalities did not grant relief to families with children under five years of age. The relief outside the home is also not a current offer for everyone, and it should be. Families must also take a heavy responsibility to ensure assistance and coordination of services themselves, and that is not the case. This is also the background for the Solberg Government proposing to legislate the right to a child coordinator as part of its co-reform and funded it by 100 million. kr in its last draft budget. It is a unanimous committee that supports the Riksrevision that it is serious that the services depend on where the families live and that parents themselves have to do a lot to get the help they need and are entitled to. Furthermore, it is important to be heard when complaining, and the state administrators are the most important watchpoints we have to prevent injustice. However, the National Audit Office points out that government administrators have different practices in dealing with complaints and that this contributes to increasing differences in the provision of assistance by municipalities. We also know that no case is equal to, and 100 pst. equal treatment is difficult, but it may become more similar. Although we agree on most of this matter, it is also a party political dimension, and it is probably primarily about the freedom of choice of families. An important security mechanism when a service fails and you do not reach the complaints you have is to be able to choose another offer, choose an alternative. There is a political dividing line that is quite clear. The possibility of choosing whom to help with and how to provide it is important for many families with a high need for assistance. Take, for example: The BPA scheme. With the BPA scheme, families are given greater influence over their own daily lives. It's very good, but it doesn't work as well in all municipalities, we have to admit it. That is why the government of Solberg set up a legal committee to strengthen that system. However, there is much evidence that freedom of choice may be reduced in the years ahead. In fewer municipalities, families with a need for help are given the opportunity to decide about their own daily lives, for example: by choosing BPA, through the free choice of user, or where to receive rehabilitation and training in the specialist health service under the free choice of treatment scheme. By limiting these options for families, an important safety valve is removed in the system and patient rights are weakened. However, the Committee is converging on the important and serious findings and conclusions of the Riksaudition report. We stand together to support the recommendations that are being promoted. Right will also inform us that we support the Christian People's Party's loose proposals in the matter. Families with children with disabilities shall be ensured good, organised and coordinated services, alike and throughout the country.
ParlaMint-NO_2022-01-18.ana.ud386e1313	This report shows the despair of everyday life in families with strongly needy children. They need to coordinate the help they need, because the coordinator of the municipality is not working. If they are not content with the offer and complain, the complaints are handled differently. There is no need for this family when care work is heavy. In particular, I would like to draw the advice from the National Audit Office that the Ministry needs to acquire better knowledge about the supply of health and care services to these families is so different. We need to look for what is needed to make the family feel equivalent. Such knowledge is important to put in place changes that make the situation really better. If the coordinator doesn't work, maybe we should look for solutions other than law enforcement. The National Audit Office points out that the coordinator must have time, appropriate competence and support from the management to resolve the problem. Then it may not be possible that more detailed legal requirements improve the services. Local authorities may need knowledge, freedom and resources to organise this properly. There is a lot of talk about free treatment options, but now several national audit reports have shown that it works well in theory, but in practice it works badly for those who really need it. I think what's important is that one has arrangements that work for everyone and that help. Often it is those who need the most, who have the least resources in the first place, and then they have to make sure that there are such good solutions that they too can use them. I hope that the department is now looking for the good solutions, so that one can put in place the right grips to provide a better supply for families that both adults and children may have enjoyed.
ParlaMint-NO_2022-01-18.ana.ud386e1326	Very much in this setting is unanimous comments and unanimous views. At the end of the setting it says: ‘The Committee notes that the National Audit Office recommends the Ministry of Health and Welfare to’ – and then follows a number of indents. It's at the end: ‘The Committee also endorses the recommendations and asks the National Audit Board to continue monitoring the development of equivalent health and care services.’ This is in the form of a comment, but in a way these indents should have the same status as the request decision. I mention this because in the case of request decisions in Stortinget, Stortinget gets feedback about how the government has followed things up. But when it comes to joining a recommendation from the Riksrevision, and in so far as the Riksrevision is asking for follow-up, the Storting does not automatically get any feedback on how the government has assessed this. I am addressing this because it may be necessary to consider whether the form of the Storting decision in these cases should be changed to a request decision, with all these indents, so that we can ensure feedback from the government on how the follow-up to this is. It will be a new practice and would, of course, lead to more request decisions, but it may be in place. This is something that the Committee on Control and Constitutional Affairs should discuss in more detail, so that we can ensure that where there is a unanimous committee that supports recommendations on what a department should do, the form of a request decision might be better. Then the Progress Party has a special note where we point out some of course, and it is that everything that the Storting and the government offer and provide services in the country, that if it is made a municipal responsibility, both financially and organisationally, it really means that there will be a difference between municipalities and municipalities. If one wants a uniform, equal offer for all, throughout the country — in this case children with disabilities — it cannot be a municipal responsibility. Then it must be made a financial, but also a state responsibility, as the entire system of popular security is built up, and as Nav's services are. I'm talking about the two state parts of Nav, and not the municipal one. They'll be independent of the municipalities. And at least it's our view that there's going to be a similar offer. Then we have to make it part of the Nav system rather than let the municipalities decide for themselves how to follow up. There are a number of issues where the National Audit Office points out that in those and those areas there is a difference between municipalities and municipalities. That is why the Progress Party has also said that a lot of services should be funded by the People's Security System and can be organised through Nav. The fact that the municipality, if any, carries out the work of municipal employees is a completely different issue, but that is the financial one that usually governs this. We're going to get back to this. We see, for example: also in Oslo there are several services, including for children with disabilities, which vary from city to city. And with regard to the production of services in some areas for children with disabilities, in particular: those with autism are only services for the children in the eastern parts of the city and none in the western parts. That means that children have to be transported, maybe for 20 minutes in the morning and 20 minutes after school, because there is no school offer on the Oslo West, just on the Oslo East. Of course, it is also unfortunate that this is divided into a geographical responsibility for either a part of the city or a municipality.
ParlaMint-NO_2022-01-18.ana.ud386e1344	I just want to make the previous speaker aware that there is also a service offer in Oslo west of children who need it, just so that's said. I take the floor in this case to make it clear that the challenges many parents, families and professionals face in relief measures are challenges I am well aware of. For more than 15 years, I have worked in those measures, and I know that there is clearly a need to improve these health and care services. It must happen in the municipalities, but there must also be work here in the house to make everyday life easier for both the children and their families. When I take the floor in this debate, it is to explain why I have recommended the SV's big group to vote against the Christian People's Party's loose proposals. The NOU it refers to, self-governing is well-managed, has still not been consulted, and it contains among others. a great dispenser, as also several organizations, including the lion's mother, have pointed out is challenging. The most important thing now is to set up a good enough consultation process where we listen to both those involved and their families and professionals in the field. With that, I have explained SV's position on solving the proposal.
ParlaMint-NO_2022-01-18.ana.ud386e1353	To begin with, it is part of the job with the NOU – to get it out at the hearing. It's part of the proposal that you start working with it. The pandemic has set its tracks, and for some deeper than for others. There are serious findings that the Riksrevision has now made with regard to the provision of health care to children and young people with disabilities. They point out that the offer is fragmented, it's arbitrary and not least depending on where we live, how old we are, or what diagnosis we have. We can't have it like that. Many people have to travel more than 20 minutes to get an offer. This is very serious, and it makes a big impression on me. Many in Norway get the help they need, when they need it — fortunately. But unfortunately, there are still some people who still have to work hard to get the help they need. It may not be you and me, but families with kids who need complex services. Parents shall be able to use their time to be parents and not administrators. I am therefore pleased with the co-reform and child co-ordinator's guarantee of Christian People's Party when we put in government – a reform I hope will contribute to better help, better coordination and not least that these families will feel that we as a society stand for exactly them. The BPA scheme is important. The selection that we set up in time, with the aim of realizing that the BPA would be a gender equality tool, has just delivered its report. It has to be filled up. But in the light of the findings of the National Audit Office's report, which we are discussing today, I expect the government to work quickly with a follow-up of that NOU, so that those who need it the most, get the help they need. Knowing that you're going to be a parent can be both nice and scary at once. For some, pregnancy also means that they are told that they are waiting for a child with special needs or that the child has been diagnosed already during pregnancy. Seeing how it can be everyday can be difficult for many. That's why I was proud that the Christian People's Party set up a contact family arrangement that would make it easier to get information and support to prepare for the life that awaits these families. Unfortunately, today's government, together with SV, has cut this important offer. I think that's sad. I hope this is not an indication of how today's government will treat this group. What gives me hope is that the setting we are debating today is unanimous. Everyone in this room sees the seriousness and hopefully will therefore contribute to solutions that these families now need. The Christian People's Party has, in order to ensure this, promoted a proposal in the matter, and that is the following: ‘The government is asking, in the light of the National Audit Office’s investigation, to follow the recommendations of NOU 2021:11 Self-governing is well-managed, in order to ensure real equality and to prevent unfortunate differences between municipalities in the service and relief provision of persons with disabilities.’
ParlaMint-NO_2022-01-18.ana.ud386e1373	Then the representative, Olug Vervik Bollestad, took up the proposal she referred to.
ParlaMint-NO_2022-01-18.ana.ud386e1378	The National Audit Office’s study of health and care services for children with disabilities addresses important issues relevant to the availability and quality of services. The National Audit Office points out that there are large differences and insufficient capacities in healthcare firms’ habilitation services for children and young people and that there is a wide variation in skills and capacity. Health regions are now assessing the need for increased resources to ensure professional quality, competence and equivalent service provision and also interaction in habilitation services. We get the answer to that assignment in March. I will follow up the reports to ensure that children in need of rehabilitation receive good and geographically equivalent services. The National Audit Office points out that there is variation between municipalities in the service allocation. I also take that with me in the further work. At the same time, I would like to stress the importance of legislation that provides the local authorities with the necessary space for action in order to take into account local conditions and resources in the provision of a well-adapted and customised offer to the individual. We will continue to support municipalities in providing good and equivalent services. Therefore, this government has strengthened the free revenues of municipalities by 2.5 billion. kr more than the Solberg Government's budget proposal. We also proposed to reverse the proposed $300 million cut. kr in the grant for resource-intensive services. The national audit reveals that families often have to take responsibility for coordinating and providing services themselves, and they have to deal with many actors in order to obtain the necessary information and guidance. Patients and users in need of long-term and coordinated services are legally entitled to the coordinator in the municipality. However, although local authorities are obliged to provide coordinators, there are several places of difficulty in following up the scheme in practice. As part of the equivalency reform, the right to children's coordinator will come into force from 1 August. The right to complain is also important in order to safeguard the rights of people. The State Health Authority has updated the Guide in the treatment of complaints under the Patient and User Rights Act, which shall contribute to ensuring sound treatment and non-discrimination. We need to know about the actual situation in services, and this report is an important contribution to a broader understanding of services and how they can improve. We take into account the position of the Control Committee in the further work on equivalent health and care services for children and young people with disabilities.
ParlaMint-NO_2022-01-18.ana.ud386e1391	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2022-01-18.ana.ud386e1398	Being a parent of a child with disabilities gives joy, but also challenges. Being the sibling of a brother or sister with disabilities is also a dimension that can be difficult for many to understand. I was the youngest of four siblings. My ten - year - old older brother also became my little brother. My mother became a widow when she was 52 years old, and when she was 72 years old, she still attended parental meetings. My brother was my parents' joy, but also their concern, for what was that supposed to be? My mother was in most of the games that parents do today, and this was in the 1980s. It's sad to see. As a sister of a disabled person, it is therefore important to say that having children the rights they claim is a strength for the whole family, who often have great enough concerns to get the days to hang together. We in the Patient Focus consider the Riksrevision conclusion to be very serious. We recognise a part of this trend in specialist health services, of which patient focus is very concerned. We in the Patient Focus are concerned that ordinary parents who have a child with special needs have the right to a good life. The National Audit Office's report must be followed up, not only in the Ministry, but also here at the Stortinget. It's about equal rights to a worthy life for children with disabilities, their siblings and their parents.
ParlaMint-NO_2022-01-18.ana.ud386e1409	Children are the most vulnerable in our society. Children who are ill or have disabilities have an additional responsibility to take care of them both as adults and as managing authorities. There's serious criticism coming from the Riksrevision. The fact that the residence address of the child is to decide whether they are receiving help and that families have to assume a major responsibility for coordination is serious. It shows that the growth and governance authorities do not take their responsibility. We hear about and experience desperate situations. In a challenging situation and a challenging everyday life, the family should be assisted. Our system is big and extensive, and that's the most dear we have that's in the center. Then the system around it has to work. When you see that something is not working in practice, it needs to be changed. The government is responsible for that. The government shall follow up on the practices of the State administrator and that these are carried out in the same way. When something doesn't work in practice, you have to pick up knowledge about why, and what to do to get it done. A government should allow enough resources to allow municipalities to perform their tasks. Fortunately, we are in agreement here in the Chamber that changes need to be made. Now it's a new government. The Hurdal Platform states that the Centre Party-Work Party government should strengthen the universal welfare provision of children and young people in order to ensure freedom for all kinds of families and to reduce differences in society. The Centre Party-Work Party-Government will review and improve arrangements for families with children with special needs, and we have already increased the rights of municipalities. The new government is a government for the children, no matter what their children live on, and what challenges they have.
ParlaMint-NO_2022-01-18.ana.ud386e1424	First of all, I would like to thank you for a good debate. Children and young people with disabilities are among our most vulnerable in society. Ensuring good health and care services to them is important and a special priority for the Workers' Party-Center Party administration. Because it's about the seventh and last time Nina and her three-year-old son, who the NRK wrote about a little while ago, who feels like they're not getting the help they need. They are supported by the Chairman of the Joint Organisation of Disabilities, who is clearly of the opinion that the State must get on the road. I am therefore pleased that the Council of State is so clear in its statement that this is important for the government, and that the government will follow up. Another issue concerns the representative of Hagen – an interesting issue related to the follow-up to the recommendations of the National Audit Office. Regardless of the use of a request decision or another one, which is another debate, to be taken by the Supervisory and Constitutional Committee, the Riksrevision will follow up the case after three years, in Document 3:1. In addition, I can promise the President that the Committee will now follow this matter further. The government has started well by strengthening the local economy by 2.5 billion. Compared to the proposals of the previous Government. It will give the Kommune-Norway space for action and better opportunity to provide good health and care services to those children and young people who actually need it, because they deserve it, and that's very important. Otherwise, we will not support the solution proposed by the Christian People's Party in the matter.
