ParlaMint-NO_2015-12-02.ana.ud524e26	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2015-12-02.ana.ud524e799	‘The oil industry is the sector that emits the most greenhouse gases in this country and has almost doubled its emissions since 1990. Without stronger instruments to cut emissions in the oil sector, there is little realism in achieving the National Climate Goals of the EEA by 2020. Governments are responsible, inter alia, for emission permits to industry, where environmental requirements may be imposed. Could the Council of State mention one proposal that the Government has promoted that significantly cuts the emissions of the oil industry to 2020?’
ParlaMint-NO_2015-12-02.ana.ud524e806	Norway has a long history of severe climate action in the petroleum sector. For example, the CO2 tax was proposed by the government of Syse as early as 1990 and introduced the following year. From 2008 onwards, the sector became subject to allowances and simultaneously pays CO2 tax. From 1997 onwards, all new developments have been required to provide an overview of the amount of energy and costs associated with the use of power from countries rather than gas turbines. These instruments have meant that the emissions from the sector are lower than they would otherwise have been. In 2008, the petroleum industry set an overall energy efficiency improvement target of 1 million tonnes of CO2 between 2008 and 2020. Statoil's share of this was 800000 tonnes. This has already been achieved, and Statoil has set an even more ambitious target: more than 400000 tonnes by 2020. The government is also following up on measures. State Enova has established a programme to support energy management and technology development that can reduce energy demand and greenhouse gas emissions both for industry and for petroleum activities. The first petroleum contract was concluded in 2014 and is about Oseberg. In addition, this government has greatly increased the allocation of the Climate and Energy Fund and the environmental technology system. There is a broad political consensus that we should continue to conduct profitable oil and gas activities in Norway. I am concerned that companies are choosing energy-efficient low-emission solutions. Then the government is right to stick to the strict climate requirements and arrangements in Enova. It gives incentives for emission reductions.
ParlaMint-NO_2015-12-02.ana.ud524e826	In the State budget, the government informs that with today’s use of energy, emissions are expected to increase by 2020. This is in contradiction with the Storting climate target, which says that emissions should be reduced to 47 million tonnes. There has been some uncertainty in recent days, but I interpret the government so that it still intends to try to achieve the Storting climate target for 2020. It is difficult to claim that it is directed at 47 million tonnes without increasing the use of instruments against the industry in Norway that both emits the most, almost doubled emissions since 1990, and is also expected to increase emissions by 2020. Therefore, I wonder: What does the Council of State intend to do in the government's last two years to cut emissions into the oil industry and actually try to achieve the Great Britain's climate goal?
ParlaMint-NO_2015-12-02.ana.ud524e833	The last projection of where we end up with the number of tonnes in 2020 is based on policies up to and including the revised national budget for 2014. What the government, together with the cooperation parties Left and Christian People's Party, has done for the budget in 2015, and what we do for 2016 is not included in the projections. As the Prime Minister also repeatedly said during the spontaneous Question Time, we are working towards the goal set by the climate agreement by 2020. But we've also set goals towards 2030, which is even more ambitious. The Norwegian oil and gas sector has the highest CO2 tax of all. Then we also follow up on giving Enova more money, so that the oil industry can also work together to reduce emissions – in addition to the CO2 tax and the quota system.
ParlaMint-NO_2015-12-02.ana.ud524e846	According to the Intergovernmental Panel on Climate Change, the identified reserves of oil, coal and gas contain between five and nine times as much CO2 as the carbon budget allows us to discharge if we want to prevent heating above 2 degrees. The world has already found more fossil energy than the climate can withstand. Norway, as it is known, has been producing petroleum for a long time. We've taken up a lot, and we've become rich. When climate projections indicate that so much fossil energy must remain on the ground, there is also a question of how much responsibility Norway should take. I wonder: is it now poor country's turn to extract fossil energy, or does the Council of State think Norway has the right to extract as much fossil energy as we can? If so, who will leave his fossil energy?
ParlaMint-NO_2015-12-02.ana.ud524e858	We know that the world is going to need oil and gas for some decades to come. The main challenge for the climate now is to replace coal with gas. Then in Norway we have the highest CO2 tax, where the sector is also part of the quota system, and we have among the world's most stringent environmental requirements. We are now sitting in these days working to get an ambitious climate agreement in place in Paris that will cover all the countries of the world, knowing that if we succeed in doing so, there will in the long run be a price for emissions that will make some of what we have of fossil energy in Norway, not be profitable to extract. We are the country in the world that manages to be an oil and gas producer while we are really working for a good climate agreement in Paris.
ParlaMint-NO_2015-12-02.ana.ud524e872	Let me wish the Minister for Climate and Environment back to Norway for a little break from the negotiations in Paris! ‘Riche land has promised at least 100 billion. dollars annually in climate finance for poor countries by 2020. The promise has been very important for the trust between rich and poor countries. Norway has been a driver for fulfilling the commitments. Now the Norwegian environmental aid is cut to poor countries by 1 billion. kr for 2016. The cut covers rainforest conservation, renewable energy and sustainable development. What a reaction that is the government will trigger in the climate negotiations by cutting environmental aid to poor countries by 1 billion. kr?’
ParlaMint-NO_2015-12-02.ana.ud524e881	Increased climate finance for poor countries is necessary for the effective implementation of the new climate agreement. Norway is at the top of the world in this field. The forest plot is our most important contribution. Due to the exceptional situation of increased asylum arrivals, we have had to re-priorities in the budget. Of course, it's not easy. But I can assure you that this is done wisely. The Norwegian commitments given to forest countries to pay for reduced greenhouse gas emissions from forests will also be honoured in 2016 if forest countries deliver. We have already announced contributions of 1.6 billion. SEK to the Green Climate Fund in the period 2015-2018. It's one of the highest contributions in the world measured per capita. In Paris on Monday, the Prime Minister announced that we would increase significantly our contribution to the Green Climate Fund. If the fund ensures verified emission reductions from deforestation and forest degradation in developing countries, the total increase will be equivalent to a doubling of our contribution by 2020. This means that we will double the contribution from 400 million. kr per year to 800 mill. kr per year. The government has also launched other new initiatives in Paris. We are participating in a new fund for climate action in developing countries, in cooperation with the World Bank. That's what we're going to spend, we're going to spend, we're going to spend, we're going to spend, we're going to spend, we're going to spend, we're going to spend, we're going We have signed a new forest agreement with Colombia, which will facilitate the conservation of the rainforest in this wonderful country for future generations. We're going to extend our cooperation with Brazil until 2020. And we announced that Peru gets its first payment in forest cooperation, $5 million. dollar. So, if the representative Solhjell is wondering what reactions the government triggered in Paris, I can answer: we triggered joy, optimism and increased faith that, through cooperation between developing countries and countries, we can achieve a climate agreement.
ParlaMint-NO_2015-12-02.ana.ud524e894	I fully recognise that it was necessary to allocate resources from other fields of the budget to deal with the particularly large influx of refugees and asylum seekers. In many areas of the budget, however, the budget is in defiance of it, while in some fields it was cut, and a cut of quite a large amount of money on the environment and energy. So I think it's worth noting. So I'm not in doubt that it was joyous in Paris when an extra promise was made in the years to come, but the more alarming it is that one should cut in 2016. It is good that many countries are now making promises towards 2020. But I can imagine that it's not just Norway, it's a whole lot of European countries that are in the same situation and cut in development aid, especially against climate and the environment. Can I ask the Council of State: Do they believe in isolation – I understand that it doesn't rage everything – that they cut it more likely with a good climate agreement or less likely?
ParlaMint-NO_2015-12-02.ana.ud524e901	As I referred to in my first answer, the reactions we got through the launches we did were joy and optimism, and one was happy that Norway is a country to trust. We have been for a long time by promising long-term climate finance. Not least in the climate and forest project, which is well known by the representative of Solhjell, long-term sustainability is important. It has taken time for some countries to work in their own country to put it into practice that we can now pay for results. The fact that we can say that we do not go from any of the agreements concluded in 2016 is important. The fact that, to date, together with Germany and the United Kingdom, we were able to announce a new investment in Colombia was a very important signal, and also that we could now make the first payments to Peru. The other country sees that Norway is to be trusted within this. Maybe that's the most important signal we can give.
ParlaMint-NO_2015-12-02.ana.ud524e906	The international negotiating meeting where a person is not met with joy and optimism when someone promises money five years in advance, I don't know. But I believe in isolation that it would have strengthened Norway's chances of contributing positively to an agreement if we increased our promises in 2016 than if we significantly reduced them, as well as for some other European countries, although, of course, it's not the whole thing. But let me then ask another question, about energy more specifically. It is about 2.7 billion people in the world who feed on smoke-filled hamlets or fires. It causes serious health damage, as well as a significant contribution, not least in Africa, to deforestation. 1.3 billion people don't have access to the stream. So now the government is cutting over 600 million. kr for renewable energy. How will the government make sure that a stronger effort does not weaken it from the Norwegian side in the coming years?
ParlaMint-NO_2015-12-02.ana.ud524e913	What Norway was also involved in launching in Paris in addition to these climate and forest projects was the new international climate initiative called Task Innovation, where we are just going to work with other countries on more clean energy investment. The fact that there we have promised to double our efforts to get more of that is important. In all the meetings I have attended in 2015, India has repeatedly said that what they need to do is to transfer technology. The fact that India was also part of this international climate initiative, called Task Innovation, makes me think that the kind of work is going to mean more in the future. I also think it was nice that Bill Gates, who was at the launch, said in this connection that Norway is always generous and helps the poorest countries. That's what we want to do in the future as well.
ParlaMint-NO_2015-12-02.ana.ud524e924	‘In the GAP report of the Environment Directorate of March 2014, with subsequent updates, the government was presented with the recipe for achieving the Storting Climate Goals to reduce Norwegian greenhouse gas emissions from today’s 53,8 to 45 to 47 million tonnes of CO2 equivalent by 2020. Why has the Council of State and the Government not followed the Eco-Directorate of State, but instead deliberately failed to implement important measures to increase emissions by 2020?’
ParlaMint-NO_2015-12-02.ana.ud524e934	I believe that the representative Holmås should note two interesting aspects of the report. First of all, the report of the Environment Directorate does not provide a recommendation on how to move forward in order to meet the 2020 target. The report assesses the distance to the target and looks at possible measures that can be taken quickly to achieve the target. Second, the distance is interesting. The report shows the status of when this government took over the management of climate policy from the previous government. It showed a gap up to the climate targets of 8 million tonnes. That is why it was good that a new majority and a new government came in 2013. This means that we could implement stronger climate action than what the representative Holmås’ own government did. We have implemented many new measures that will have an impact by 2020 and follow up the report in the work we are doing. We have spent more money on the Climate Technology Fund far beyond the consensus in the climate agreement. The report points out, among other things: on the target of keeping emissions from new passenger cars below 85 grams of CO2 per km in 2020. This goal now seems to be within reach. The Environment Directorate points to the objective of taking passenger transport growth in large cities with collective, pedestrian and bicycles. Together with the Left and Christian People's Party, we are filling in the reward scheme for public transport in larger urban areas. The government is also engaged in negotiations on urban environmental agreements that will contribute to long-term emission reductions. According to the Environment Directorate, increased turnover of biofuels can reduce emissions. The turnover requirement for biofuels in road traffic has increased from 3.5 to 5.5 pst. Furthermore, the report points to the phase-out of oil boilers and to the increased production and use of biogas. We phase out oil fires as intended, and we presented a national bioga strategy a year ago that has been followed up with new instruments and money in the budget. The government is also counting on the development of a full-scale carbon capture and storage facility. The ambition is for an installation to be in place by 2020. In view of this, it is strange to get criticism not to follow up the report. Of course, we're not done with the climate job. But we are in the process, and emissions in Norway have stabilised.
ParlaMint-NO_2015-12-02.ana.ud524e956	There's two things I have to point out here. The first is that it's not right what the council says nothing was done from the red-green government. On the contrary, emissions projections for 2020 have moved down from 59,2 million tonnes in 2007 to 54 million tonnes. In other words, they were almost halfway downhill towards the goal of 47 million tons. During the period in which the Council of State has held, this has not moved downwards either as evidenced in the forecast in the State budget or in the report presented by the Environment Directorate itself in June 2013. The second is that all the measures taken here by Sundtoft that came from this report — fuel oil, biofuels — were either contained in the 2012 climate agreement or were forced into budgetary negotiations by the Christian People's Party and the Left. For this reason, I ask: why do the initiatives to implement the measures contained in the report not come from the Council of State Tine Sundtoft?
ParlaMint-NO_2015-12-02.ana.ud524e965	Firstly, the last projections made are based on policies up to and including the revised national budget for 2014. We have not made projections that contain what the government, along with the Left and Christian People's Party, has got in place in 2015. Nor is it revised for 2015, or what we now get in place in the 2016 budget. There was a gap of 8 million tons when we took over. That is why the government, together with the Left and Christian People's Party, has said that there is a need to strengthen climate reconciliation. And that's what we've done. That is why we have focused more on public transport, more on rail, more on the environmental technology system and more on the climate and energy fund. We're going into the area by area and doing more, because we're working to achieve the climate deal in 2020, and we've also set ambitious targets for 2030.
ParlaMint-NO_2015-12-02.ana.ud524e972	In the Environment Directorate's update of forecasts and the latest updates of all new policies, there is no need to achieve the climate agreement's reduction target of 47 million tonnes. It will not be achieved by 2020, nor will it be achieved by 2030, as it is today. Last week, I asked the Council of State for a good response in the Environment DG's updated report on how to reach the zero-emission society – i.e. the low-emission society – by 2030 with further reductions, which will also have an impact for 2020. It is necessary to provide for a greater share of zero-emission cars in the transport sector as a crucial and important objective. Last week, the Council of State had not presented a single concrete proposal from the government. Is it so that the Council of State can now point to any proposals that the government has made to get more zero-emission cars?
ParlaMint-NO_2015-12-02.ana.ud524e979	As I also told the representative Eidsvoll Holmås last week, it is this government that, together with the Left and Christian People's Party, agreed on the principles for the conversion of the car charges. We did so through the revised national budget for 2015. Some of the changes are now being made in 2016. We have also informed that we will do more when the Green Tax Commission comes. Changing the car charges to make it pay to buy cars that emit less, a conversion with more emphasis on emissions and less on weight and effect, is a conversion that this government initiated, and that we have received support from the Left and Christian People's Party to implement.
ParlaMint-NO_2015-12-02.ana.ud524e990	‘More than 100 countries require global warming not to exceed 1,5 degrees. The background is that the so-called 2-degree target has a major negative impact on these countries. What is Norway’s position related to this?’
ParlaMint-NO_2015-12-02.ana.ud524e997	Combating climate change is one of the most important challenges of our time. That is why 190 countries are now negotiating a new climate agreement. On Friday I went back to Paris to follow the end of the negotiations. The aim of Norway is to reach the most legally binding agreement possible. I've been saying it for a long time, I'm an optimistic realist. The vote on the opening yesterday was positive, although many obstacles remain before we can agree on a new agreement. In the UN process we're part of, the 2 degree goal is an important concept. But neither 2 degrees nor 1.5 degrees is a magic number. What is important is to reduce global greenhouse gas emissions as much as possible and as quickly as possible. Now in Paris, we're a pusher to include a maximum temperature measurement. Not all countries agree to drop such a target. The last main report of the Intergovernmental Panel on Climate Change contains a number of scenarios for the best way to reduce greenhouse gas emissions. None of these scenarios are in line with an increase of 1.5 degrees. This illustrates that the 2-degree goal is considered ambitious. However, Norway is open to reference to 1.5 degrees as an important temperature limit and to formulate the 2-degree target as a minimum target. Norway considers that the new climate agreement should specify that the temperature rise should be limited to ‘well below 2 degrees’. In other words, we're going to do everything we can, and not stop even if the 2 degree goal is within reach. But once again, it is certainly not all countries that agree to drop such a target. In addition, Norway – we have worked on this for a long time – is working to include a long-term climate neutrality emission target in the agreement in 2050. Such a goal is offensive, but will be the goal that will make us the best able to possibly also reach 1.5 degrees.
ParlaMint-NO_2015-12-02.ana.ud524e1012	I thank you for the answer and will follow up with a question that is related to this, namely the Norwegian position during the climate negotiations. During his participation in Paris, the Prime Minister stated that her objective is to receive Norwegian climate allowances for the Norwegian rain forest start rate. We can see that this proposal has met both with the amazement and with the rejection of the President-in-Office of the negotiations with Brazil, who said yesterday: ‘There is nothing to consider at all.’ And it's not so hard to understand that Brazil doesn't think it's okay for Norway to get emission rights to burn fossil energy because Brazil is able to stop its own deforestation. The question that then comes up is quite simply: Was Norway’s main partner for forest conservation, Brazil, informed that Norway came with this event during the climate negotiations?
ParlaMint-NO_2015-12-02.ana.ud524e1024	If it had resulted in the correctness of what has been in the newspapers in the last few days, that we have asked for it, I understand very well that Brazil reacted. But that's not right. What the prime minister has said is that we want to double the support for the green fund, assuming that a person receives verification of emissions into the green fund. Then we've also been involved in launching a new fund. We have said that market mechanisms are important in the new agreement. It is important if we are to increase our ambitions beyond 40 p.m., or if we do not get an agreement with the EU. Unfortunately, this is messed up in such a way that it appears quite selfish – I almost want to use that word – from Norway, but that is not true.
ParlaMint-NO_2015-12-02.ana.ud524e1031	Then my next question will be whether that means that the government is quite clear that it does not want an allowance system where you mix fossil emissions and emissions from deforestation in the same quota system, because that is what is the starting point for it to react here. Allowances are, of course, the seventh and last emission allowances. Emission rights are something we want to make sure that we can continue to pollute. The poor country fears that they will end up in a situation where they are asked to leave the forest, so that rich countries can continue to use fossil energy. There are considerable technical objections to mixing fossil emissions with forest emissions in the same allowance system – because forests are important carbon stockers, but also unsafe, right? If we pay to preserve the forest, and thus require emission rights for fossil energy, we have no guarantee yet that the forest will stand in the years to come. So my question is whether the Minister for Climate and Environment is opposed to an allowance system where these different types of emissions are mixed?
ParlaMint-NO_2015-12-02.ana.ud524e1036	When Norway has been talking for a long time about the importance of a global climate target and about climate neutrality, it is because it is important for Norway to contribute to the care of rain forests. It's important that we thus manage to bond carbon. The support we have given includes: to Brazil, is important. It is recognised as one of the most important climate measures in the world and, as Brazil itself says, is why they could present an ambitious climate target for Brazil’s own part. So we don't do our foresting to drag it into the quotas. What we've done is we've said that we also want a market mechanism that allows us to increase our ambitions beyond 40 pst. The principle that we can work together to do more is important for Norway to include in the agreement, because the climate challenge is global.
ParlaMint-NO_2015-12-02.ana.ud524e1045	My question is the following: ‘How does the government intend to strengthen the ability of municipalities to realise climate change and adapt to climate change?’
ParlaMint-NO_2015-12-02.ana.ud524e1052	Municipalities have an important role both in contributing to emissions reduction and in adapting to climate change. That is why this government wants to cooperate with the municipalities on this very matter. One part of the cooperation is about financial measures. There are several schemes that can be used by municipalities to realise climate action today, for example: through Enova. Municipalities have pointed out that they do not have statistics showing greenhouse gas emissions in municipalities. Therefore, this government in the 2016 budget has proposed to establish new municipal statistics. The budgetary agreement has also agreed to establish a reward scheme for climate action in municipalities. It is therefore on this side of the political centre line that there are concrete measures for municipal climate action. The second aspect of cooperation with municipalities is the use of instruments other than money. For the first time in many years, the government updated the State planning guidelines for land and transport planning in the municipalities. The climate was emphasised here, among others. the aim of including traffic growth in bicycles, collectives and corridors was included in the guidelines. Work is now under way to develop a State policy on climate adaptation, with the intention of placing greater emphasis on climate adaptation in land and community planning. In 2014, we set up a legislative committee to go through the regulation on floods. The selection will deliver its setting later today. We have also strengthened the climate adaptation subsidy scheme in the municipalities. We have a good dialogue with KS about the work on both emissions reductions in municipalities and the work on climate adaptation. In addition, local policy priorities have much to say for climate action. For example, the previous Oslo City Council has put down enormous efforts to improve public transport. There is a lot of positive happening in the municipalities of the country, and I am happy to follow along with it.
ParlaMint-NO_2015-12-02.ana.ud524e1063	In relation to the last three budgets, I have asked the government of the municipal minister if they have at all invested some resources in the municipal sector to address the need for greenhouse gas reduction, which KS seas in their own reports have estimated to be 1.3 million tonnes. That's a lot. The response from the government has been no, no money has been added to this or to climate adaptations, for which the local government sector is in dire need. In budgetary conciliation with the Left and the Christian People's Party, it is right that some measures have now also been introduced, which is pleasing, because they are fully in line with what the SV has proposed in the last two years, namely to have a separate grant or reward scheme for municipal climate action. The question then is this: Will the government follow this up and create a greenhouse gas reduction target related to these subsidies, so that the objective that can be achieved in municipalities is met?
ParlaMint-NO_2015-12-02.ana.ud524e1070	Now there are 190 countries and dealers in Paris. What we agree on in Paris is crucial. The government proposed and has brought Stortinget to our own 2030 goals, much of what we need to reduce in transport. We know that municipalities have a very important role to play in achieving both our 2020, 2030 and 2050 targets. That's why we're working closely with KS. KS has said that it was important to put in place statistics, so that municipalities themselves can monitor how they reduce greenhouse gases. We have now proposed this in the 2016 budget, and also set out the new reward scheme. But the most important thing is how the municipalities plan for the transformation we're going to undergo. Here this government has come up with new government planning guidelines.
ParlaMint-NO_2015-12-02.ana.ud524e1077	What is happening in Paris could also be greatly influenced by the fact that rich countries such as Norway are doing their part of the task at home and show that it is possible. Statistics and facts are good – it has to be if the municipalities are to be able to do this job. However, as stated in the 2010 NOU on climate change adaptation, they must also have the necessary planning capacity and competence to implement this, both in terms of climate adaptation and in terms of greenhouse gas reductions. Therefore, the sample proposed an earmarked scheme for such planning capacity. It is also necessary to impose requirements for competence in each municipality if they are to be able to implement the necessary greenhouse gas reductions and climate adaptations. Will the government support a requirement for the local government sector to have competence that can benefit from these grant schemes in a correct and planned manner?
ParlaMint-NO_2015-12-02.ana.ud524e1086	The representative, Andersen and I, at least agree that municipalities have a very important role to play in reducing emissions, as well as adapting to what we already see from climate change. This government does not want to designate the municipalities in this work. I trust that even now the municipalities are working both on cutting emissions and adapting to climate change. Now, as they have asked, they get better statistics, so that they can follow up and see the results of the work done, and also a new reward scheme. Then it is important that it is reflected in all policy developments, including local, that the climate has to be integrated into planning. We have to plan our municipalities and cities in such a way that we reduce transport needs. We need to do that if we're going to be able to achieve our ambitious 2030 targets.
ParlaMint-NO_2015-12-02.ana.ud524e1099	This question has been raised by the representative Else-May Botten to the Minister for Economic Affairs, but is addressed by the representative Odd Omland.
ParlaMint-NO_2015-12-02.ana.ud524e1102	I allow myself to ask the Minister for Industry the following questions: ‘In the Newspaper on 26 November 2015, we can read about the internal alarm in Innovation Norway due to high management salaries. According to the newspaper, 136 employees earn more than 800,000 kroner, and this development has escalated in the last year. 38 employees now make more than 1 million. kr. This happens at the same time that the government has cut the company's allocation to save costs. Can the Council of State defend what appears to be a pay gap in the management of Innovation Norway, while at the same time reducing the company’s workforce?’
ParlaMint-NO_2015-12-02.ana.ud524e1111	Innovation Norway is a special law company where the state owns 51 pst. Companies in which the country has a holding are very different in terms of size, industry and area of activity, and what is a competitive level of remuneration will vary between companies. Innovation Norway has explained to the Ministry that the company is in line with the government's expectations of management wages. Last year the company reported almost zero growth in wages and salaries and that the company's wage differences have decreased. The information provided by the company on the annual salary settlement does not indicate a pay gap, as the representative Botten describes it in his question. Innovation Norway explains the salary situation in the company’s annual reporting. We will be able to go into this thoroughly and make an assessment of this when we receive the report for the year that is soon to come. As owner, I am concerned that there is emphasis on moderation. It is followed up in the dialogue with the company, and I am confident that the Board of Innovation Norway will follow this up. Conversions and reorganisations are challenging both for employees and for the management of the company. And among those who have been affected by downpours, too many will be a time of great uncertainty and unrest. At the same time, public utilities need to be renewed. For Innovation Norway, this is important in order to meet customers’ demands and expectations and to fulfil the role they have been given by the Stortinget. I do not think it would be a good follow-up of the company if I concluded on the basis of the statements in the newspaper. During the examination of the 20l5 budget, a majority of the Business Committee noted that organisational adjustments would be needed. I believe it is important that we are tidy and keep the division of labour between the owner and the board. Organisation and determination of wages and salaries are the responsibility of the Management Board. I will make further assessments of this when Innovation Norway delivers its report for 2015. Here we will also look at the reorganisation of the company.
ParlaMint-NO_2015-12-02.ana.ud524e1124	I thank you for your answer. I understand that the dialogue between the company and the state council must go on level, but in the last year's budget it was still such that the Stortinget cut 35 million. kr in basic appropriations for Innovation Norway. Developments show, with reference to the Newspaper and Innovation Norway itself, an increase in top management positions. When there are more and more top leaders, how can the Council of State defend it, given that it is cut in Innovation Norway's basic appropriations?
ParlaMint-NO_2015-12-02.ana.ud524e1131	It is such that the reorganisation and wage fixing will be reflected in the annual report for the current year. We're going to go into it thoroughly. Innovation Norway was last ten years. It's a company with over 20 owners, who receive over 40 letters of credit, who have 22 home offices, 35 outhouses and a total of 16 boards. There was a basis for a thorough review of the organisation, and we have been concerned that innovation in Norway, as elsewhere in the business world, must constantly be more efficient and improved. They also state that they have gone from six to eleven top managers, but that the next years will have a reduction: from 69 leaders in the organisation to 43.
ParlaMint-NO_2015-12-02.ana.ud524e1138	Thank you again for your answer. In the Labour Party, we are concerned that Innovation Norway has a local presence throughout the country, and a lot of money will go with it as it is now expanded by the number of top leaders. Now the Council of State says that the number of middle managers will go down over time, but it is that these middle managers are mainly out in the districts, and the top management group is in central Oslo. In view of this, how will the cuts turn out in the districts, and how will the districts be cared for?
ParlaMint-NO_2015-12-02.ana.ud524e1145	Innovation Norway will be where customers are, and it is in all of Norway. It is also regulated by the specific law under which Innovation Norway operates. Innovation Norway shall be present throughout the country, and I am concerned that they organise themselves in such a way that they offer the best services to customers. Then it is more important to have an efficient organisation than a system that is fixed year after year. So they're explaining that they're going to go from 69 to 43 leaders next year. I think it sounds like a reasonable number. But this is what the board will be able to explain more when the year is over.
ParlaMint-NO_2015-12-02.ana.ud524e1154	I allow myself to ask the Minister for Children, Gender Equality and Inclusion the following questions: ‘At a meeting held on 25 November with 15 Norwegian cities on the refugee situation, the government announced that it would like to rapidly establish settlements with around 3000 emergency places. Cities are positive about taking their share of responsibility, but believe building such large concentrations will have negative consequences for urban integration. Does the Council of State agree that although space is urgent, it is necessary to take account of the integration challenges in the neighbourhoods of Oslo and other cities, and not to do things that can reinforce them?’
ParlaMint-NO_2015-12-02.ana.ud524e1163	I would like to thank the representative for the question. In the challenging situation we are facing, new solutions are needed. The most important thing now is to get in place tightening and faster returns, and it is important that we work to integrate those who have been legally accommodated. Many tasks need to be solved in new ways. We are now in a situation where we first have to get a roof over our heads and move asylum seekers out of expensive hotels and sports facilities. Many of the solutions we have today are expensive. The offer must be accurate but sound. But it is important that we also look at new solutions. There have recently been several meetings between state authorities and KS, both at political and administrative level. On this occasion, the government will cooperate with the local government sector to find good solutions to the challenges we face, both in the short term and in the long term. That is precisely why the Prime Minister, the Minister of Justice, the Minister of Municipal Affairs and, in cooperation with the KS, took the initiative for the first big city meeting on the refugee situation on Wednesday a week ago. The government is engaged in good cooperation both with the KS and not least with the individual municipality to find good solutions. I am concerned that the integration perspective is being brought across sectoral responsibility in the selection of both short- and long-term solutions for the organisation and placement of larger receptions. I am also concerned that the local population needs to be kept constantly informed. Many municipalities have very good experience in holding public meetings. People's concern about what it means for asylum recipients in the neighbourhood must be taken seriously. Here many municipalities do a good job both in providing information and in contributing to transparency. We need a climate of debate where everyone can participate without being afraid of being harassed. Today’s integration challenges will not be reduced by the large increase in refugee immigration that we now have. There is also a background for government action. The government has already announced that we will present our own keynote on integration policy in 2016 and a possible proposition together with RNB in 2016. We have also announced that we will set up an expert committee to look at the long-term consequences of increased asylum arrivals and high levels of immigration. Renewal of the integration field is necessary to ensure the effective integration of those to remain in Norway and a broad anchoring of integration policy. We need clear expectations and demands for all citizens, including those who are new in the country, to support and contribute to society. It'll be even more important in the future. When it comes to solving the question of the roof over the head of those who are coming, I am convinced that this will be solved in a good way, after the meeting last week. I believe that integration must also be seen in the context of the need to have asylum places for those who need to thank them at all.
ParlaMint-NO_2015-12-02.ana.ud524e1186	I thank the Council of State for the answer and I think it is commendable that the government will show the power to act in order to provide enough space and to take initiatives to cooperate with the big cities. But then it is also important to listen to the big cities and what they said at this meeting after this with flares with up to 3000 seats in and around the big cities came up. It was quite clear from everyone that they thought it would be too big. I think it's important to think about what they're saying, those who are specialists and those who are close to, that it can be too big. Cities have larger and more inconspicuous environments where, for example: are active groups working with radicalisation, active groups working with drug addiction, active groups working with trafficking in human beings, and there are communities. It's more difficult to protect these environments and get an overview if there's too large a unit. So my question to the Council of State is, when you want to cooperate with the cities, and they say so clearly that 3,000 are too many in a fallacy, why can't the government answer that instead of repeating this with 3,000, as you've done in the last few days?
ParlaMint-NO_2015-12-02.ana.ud524e1193	It is the Minister of Justice who is responsible for the establishment of asylum recipients, but I would like to stress that the entire government with several ministers is in good dialogue with the KS. We have also noticed the signals that came from the municipalities we met last week, where they wanted to have received in no more than 1000 places. What's our challenge, and it's important to get there, is that it's a crisis. So we need to find the roof over the head of about 300 pieces every day. When we look at the reception structure that we now have in place quickly – with expensive hotel arrangements, and it’s about using sports facilities – it’s important to avoid the expensive solutions that we open up to look at new opportunities to get in place more reception. It's important in this work. I believe that both the Minister of Justice and the Minister of Local Affairs are in good dialogue with the municipalities concerned to address the challenges we are very well aware of that there will be large receptions.
ParlaMint-NO_2015-12-02.ana.ud524e1200	I am at least happy that the Council of State says that they have noticed what the municipalities have meant about it. It's important to get solutions that make you agree, and can work well on it. Then there is no good contribution to continuing to repeat this by 3,000, as both Minister of State Kalldmyr and Minister of Justice Anundsen did by Friday at the latest. As far as the other considerations I think are crucial, as the Council of State was concerned about integration: for example, in the Groruddalen in Oslo, the state is using together with the municipality of 1 billion. kr now over 10 years to address integration challenges. I think it should also be possible to give a signal that large units, large new receptions now, should not be placed in the middle of the areas where we are already working with very large integration challenges. It is clear that those tasks will be even more demanding with an even greater share to be integrated, and that other areas of the cities and the country should be found than the cities where we have the most concentration.
ParlaMint-NO_2015-12-02.ana.ud524e1207	I can stress to the representative that the government is working high to get asylum recipients and places for those who are coming and going to have a roof over their heads. As I mentioned in my articles before, it's the expensive solutions we see now, we're trying to avoid. That's why it's important that we have to assume that with the great number of arrivals now we have to think about new things. But we're in dialogue with the municipalities. We've noticed what the municipalities have said, and it's going to be what's important to come up with on this question. The representative then points to several integration challenges. It's very clear that it's going to be. With the big arrivals here now, integration policy and the work to be done not only in Oslo, but also in the other municipalities to get them out quickly in both education and work, so that they can be involved and contribute, some of which will be my primary responsibility as Minister of Integration to focus on the next few months.
ParlaMint-NO_2015-12-02.ana.ud524e1218	This question, from the representative Kjersti Toppe to the Minister of Health and Welfare, will be raised by the representative Per Olaf Lundteg.
ParlaMint-NO_2015-12-02.ana.ud524e1221	«Ministry of Health and Health Bent Höie writes the following in a chronicle in the Official Journal of Bergen on 20 November, the same day as the National Health and Hospital Plan was launched: «Today, surgeons specialize in different parts of the body. [[2016–2019]] A surgeon who specializes in the stomach and intestines does not operate on the heart. A surgeon specializing in the brain does not operate on the knees." Can the Council of State do any good for what time the surgeons did this, that is, that the same surgeon operated the brain and knee, and my council of states such argument is correct public information?»
