ParlaMint-NO_2015-04-30.ana.ud2311e57	The representative of Audun Lysbakken will present a proposal for a representative.
ParlaMint-NO_2015-04-30.ana.ud2311e1423	It's going to be line change.
ParlaMint-NO_2015-04-30.ana.ud2311e1426	I think Andersen's representative is wise when you don't wonder so much about hypothetical issues. I think maybe the Council of State should also think about that. I have two relationships that I want to discuss with the Council of State. One concerns the supplementary agreement which came on 8 April. It assumes that a law or regulation is to be put in place. My question will then be: When will this law or regulation be consulted, and when will it come into force, so that you can start dealing with these matters and get them settled, so that we can clarify the situation for the children and their families? Here's a moment. The second question: The representative Keshvari was that the previous government did not enforce the law. Is it the case that the Council of State agrees with that description from its immigration policy spokesman, and does he agree that we will not have more issues for the future about long-term asylum children?
ParlaMint-NO_2015-04-30.ana.ud2311e1435	The follow-up of law or regulation will come as quickly as possible. They're working on bombs in the department to get this in place. Of course, I don't want to give any concrete date, but the work has the highest priority in the ministry. As far as law enforcement is concerned, the approach of the representative Keshvari is quite good, for there has been no agreement between the asylum policy pursued and the resources made available to enforce it. This government has helped the Storting to implement measures for a speedy return and a scale that has been completely unknown in the past. There were over 7,200 forced returns in 2014, while the Labour Party government proposed 4,900 – I think it was. This means that there is a significantly greater connection between the policy that this government is pursuing with the Left and Christian People's Party and the consequences it has.
ParlaMint-NO_2015-04-30.ana.ud2311e1442	When the Council of State says here that this work has the highest priority, I should respect the fact that one cannot set a date – that is to say good – but this is suspicious of the situation we had last summer, of when the regulations were to be put in place. That was one of the reasons why I said earlier today that afternoon clock is an exact science, as we did not go in for rescuing. What I want to challenge the Council of State once again is: it is okay that we do not get a concrete date, but what time horizon does the Council of State see separately, considering (a) when the law or regulation comes into force, and (b) when the proceedings for the matters to be reopened are completed?
ParlaMint-NO_2015-04-30.ana.ud2311e1447	As I said, we work with this as quickly as we can, in cooperation and in close dialogue with the partners, and it is more important to me that they are satisfied with the job done in the Ministry of Justice and Defence than that the Workers' Party is. I am so careful to specify the time, because it can show up relationships, but it is quite obvious that time is absolutely crucial, and therefore this should be delivered as quickly as possible. We, in cooperation with our cooperation parties, have made a progress plan on how this should be, and we have an intention to follow up, of course.
ParlaMint-NO_2015-04-30.ana.ud2311e1455	I understand that politically it is important to be on good terms with their interlocutors, but it may also be wise to stand on good terms with the Stortinget and a broad majority there. I have full respect for the fact that you cannot set a fixed date. Let me try to put the question in a slightly different way: is it such that we can expect a law or regulation that has come into force during the summer, that is, before it has been harvested, so that the proceedings can be carried out early in the autumn?
ParlaMint-NO_2015-04-30.ana.ud2311e1462	I set, as I have now said several times, no date, but it is quite obvious that we are working on it in order to get rid of the legislation, so that it can come into force as quickly as possible, and so that we can get started dealing with these matters. There's no one who's earned that this is drawing out in time. It is important for us to get this as quickly as possible, and it is not a bad starting point to have before summer as a reference. As I said, I do not dare – wise of harm, I dare say – to say a concrete date, but it is our clear intention that we should be done with this work on a new regulatory framework that can come into force before summer.
ParlaMint-NO_2015-04-30.ana.ud2311e1467	The government has gradually developed a comprehensive agreement with the Christian People's Party and the Left on the field of asylum and immigration. The additional agreement concluded this month is known as an addition to the cooperation agreement between the government and the aid lots. Then we record that there is disagreement about the counter-performances the Christian People's Party and the Left had to pay in order to get support for their demands for new treatment of matters relating to long-term children. This applies both to the impact of the amended deadline on family reunification requirements and to the means of follow-up to the Foreign Affairs Act. Whether or not to draw up a separate regulation on the basis of which persons who have been given residence are to be posted, whose circumstances in the country of origin have changed over time. The Prime Minister was here and explained earlier today, and I realized that she was skeptical about long-term temporary residence permits. It's a scepticism I share. Does the Council believe that a new practice in this area will allow for the repatriation of many? And will not such a practice cause great difficulties for the integration work?
ParlaMint-NO_2015-04-30.ana.ud2311e1476	If the representative refers to the point of agreement that we are to be re-treated before a permanent residence permit is granted, it is an important signal that the asylum institution is being taken seriously. The whole point of the asylum institution is to provide temporary protection. A review of the existence of the residence permit when moving from a temporary residence permit to a permanent residence permit is already provided for in the applicable Foreign Law, but not enforced by the government of which Grenis part was part. I think it makes sense to enforce the laws that this house has laid down, and I think it makes sense that an assessment of the grounds for protection is made before permanent residence is granted. That is the core area of what the whole institution of asylum is actually about.
ParlaMint-NO_2015-04-30.ana.ud2311e1481	I hear the Council of State thinks so, but you're not very concerned about integration if you have that point of view. But to this matter: does the Council of State think that it would have been better that the agreement on the regulatory changes had been in place earlier, so that the children who are now sent out, and who are perhaps going to come back again, had escaped the traumatic experience? In this case, why didn't the agreement come into effect earlier? Who stood in the way of it? Finally, some of those who have now been sent out can, if the government does not get this regulation and the law in place, be abroad for quite a long time. Can the Council of State ensure that the time spent abroad should not be given weight if the case of the children is such that they will be allowed to stay under the new regulation without being included in the calculation?
ParlaMint-NO_2015-04-30.ana.ud2311e1490	Finally, it is regulated in the agreement between the four lots, and then the date of entry into force shall be the starting point for that assessment. One does not come in a situation where time in the home Member State beyond the date of entry into force shall be in the favour of the applicant. That is the wording of the agreement in this area. So I believe that much would have been better, close to saying, if we had managed to put this regulation in place earlier. The challenge was that the four parties agreed to send them to the hearing had a hard say in the consultation round, which the representative himself has been involved in in his post and in the line changes. Corrections were necessary. It took too long, and I wish that we already had a solution at the draft that was sent to the hearing that could come into force even earlier than we actually got. Now this has been an important matter for the government to get in place, and I am happy that we have got the solutions we have received.
ParlaMint-NO_2015-04-30.ana.ud2311e1497	Is it really the case that the Minister of Justice and the Contracting Parties did not know that what they had agreed was a serious downgrading? That's what several of us said. That's what the organizations said right away. When this proposal came up, it was just tossing a glance at it to know that this was a tightening. So it would have been quite possible to start the renegotiations right away. I can't imagine in my wildest imagination that the Left and Christian People's Party had disagreed that they would sit down and renegotiate this powerful tightening on which they had somehow been led to join. Is it really the case that the Minister of Justice concluded an agreement with a strong tightening when he was not aware of the content and consequences of the agreement they put on the paper?
ParlaMint-NO_2015-04-30.ana.ud2311e1502	I have to say that I react very strongly when a staggering representative is standing on the pulpit at Stortinget and believes that someone has let themselves be tempted to enter into agreements they would not otherwise enter into. It suggests both an intention from one party to the agreement that you want to trick someone, and that the other side would not be smart enough to understand what they are into. I think, quite frankly, that is unworthy of the discussion we have here today, and I think the representative Andersen should end up with that kind of assertion. The background to the talks and agreements concluded in the follow-up to the Nydalen Agreement is, of course, the Nydalen Agreement, which is the basis for the cooperation between the Progress Party, the Right, the Christian People's Party and the Left in this area. That is what we are set to manage, that is what we followed up in that agreement, and that is what we followed up when it was sent out to the hearing. I find it very unfortunate that the kind of wording used by the representative, Andersen, is the basis of such a question.
ParlaMint-NO_2015-04-30.ana.ud2311e1509	The cord shift is over. Several have not asked for the floor on case No. 5th@item: inlistbox
ParlaMint-NO_2015-04-30.ana.ud2311e1525	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 5 minutes for each party group and 5 minutes for the government. Furthermore, the President will propose that five lines of reply be given after contributions from the main speakers of the parties and six lines of response after contributions from members of the Government within the allocated speaking time, and that those who had to sign on to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2015-04-30.ana.ud2311e1532	It is important to maintain confidence in the asylum system, and the clear rule is that refusals to apply for asylum should lead to a return, including in cases where families with children are involved. The proposers urge the Government immediately to ensure that the practices of Afghan children's families referred to internally are in line with and follow the recommendations of the UN High Commissioner for Refugees and UDI. In this context, I would like to refer to letters from the Ministry of Justice and Defence, dated 18 February 2015. It appears here that practices in the field as of today’s date are already in line with UDI recommendations. instructions of 30 January 2015. I must stress that neither the UDIs nor the UN High Commissioner for Refugees' Recommendations are in favour of a general return for families with children to Afghanistan. The UDI and the UN High Commissioner for Refugees also recognise that return must be possible if the institution of asylum is to retain any legitimacy. On the other hand, there are a number of criteria that need to be met before return can be recommended in specific individual cases, but it does not in any way mean that return to Afghanistan is impossible. Return is fully possible within the UN guidelines if the political will is present. Unlike the previous government, this government wants to avoid the fact that asylum seekers who have been refused live for years in Norway in great uncertainty and are then transported after many years. This is unfortunate, especially in the matters relating to children. The government wants to preserve the legitimacy of the asylum institution by effectively returning persons who are denied asylum where possible. This is also absolutely necessary in order to maintain a capacity for the care of the people who are actually persecuted. In this context, it is relevant to point out that no one has been returned in breach of UDI’s recommendation since the UDI’s practical presentation arrived at the Ministry of Justice and Defence on 1 July 2014. UDI also indicates that no children's families were returned to Afghanistan in violation of UN High Commissioner for Refugees' Recommendations from 1 January-1. ==References== The second point of the proposal is to immediately return Afghan children's families to Norway, which has been dispatched from 1 January 2014 to 18. This appropriation is intended to cover The cooperation agreement between the Right, the Advance Party, the Christian People's Party and the Left in the field of asylum forms the basis for the government's asylum policy. This agreement states that consideration of child-reliance should be given to the fulfilment of specific criteria. This agreement is based on thorough weighings, where a general tightening of asylum policy has been compensated by a more humane view of long-term children and as part of the necessary cleaning-up after the red-green government. In this context, I would like to refer to the agreement between the cooperation parties of 8 April 2015, where children were transported during the period from 1 July 2014 to 18. on March 2015, shall be given the opportunity to have their cases re-tested under a new regulation if specific conditions are met. It will also apply to children returned to Afghanistan. However, it is important to stress that a general repatriation of children’s families from Afghanistan is an out-of-date policy for the Progress Party and the Government, as such practice would undermine the legitimacy of the entire asylum institution – because we must have some principles that bear on institutions as important as the institution of asylum, and that is the need for protection and the requirement to be safe when persecuted. In this way, it is not possible to approach these questions in order to allow almost anyone who has managed to come to Norway — for whatever reason — to stay here and to try to find what is possible from dirtholes to water down this important institute. We have great respect for the refugee convention, and we have great respect for people who are fleeing the world today, and therefore we need to enforce these laws and rules based on principles and values that are widely accepted.
ParlaMint-NO_2015-04-30.ana.ud2311e1555	It opens for line chord shifts.
ParlaMint-NO_2015-04-30.ana.ud2311e1558	At this point there is an obvious difference between the previous and this government, namely that the previous government did not return long-term children's families to Afghanistan. It was not done because the conditions there are very serious and have become worse. The representative says that it must be a supporting element to respect the rules, but does the representative not agree that a key element of refugee and asylum policy must be that no one is exposed to what the United Nations says that children are subjected to on return to Afghanistan, namely child labour, forced marriage, child prostitution, child pornography and systematic denial of education? The UN also shows that many children are being killed. Is there not reason to have a somewhat more precautionary attitude than the representative now speaks of?
ParlaMint-NO_2015-04-30.ana.ud2311e1565	The answer to that is yes. If children are at risk of being exposed to some of Andersen’s cruel representatives, there is a great deal of evidence that they actually have a need for protection in Norway. The only point is that those who are returned have been evaluated. The two important principles that must underpin internal migration in Afghanistan are that you have a network and that you have resources so that you can manage when you get back. But if we are in doubt about it, and if there is a danger that children may be exposed to that type of serious crime, they should not, of course, be sent out of Norway. But it is something other than assuming that anyone who is returned to Afghanistan is exposed to this.
ParlaMint-NO_2015-04-30.ana.ud2311e1572	It is reasonable to consider returning children’s families to a country that is in as uncertain a security situation as Afghanistan, and in particular to internal migration. That is why the United Nations has also made very clear demands on what it should be like in that case. I have gone into some of these issues – and some of them have also been stopped because there have been legal aid organisations that have been exposed and stopped the broadcasts, but in some cases this so-called contact and the safe environment in Afghanistan have been successful in finding a mobile phone number for a distant relative. These are people who have been returned, who have not been in Afghanistan for 20 to 30 years. Children who have not been in Afghanistan for many years are returned to areas they have never been and where there is no security. The Norwegian authorities have not examined this properly and safely, and it is difficult. Therefore, the previous government chose not to return [[President clubs]]
ParlaMint-NO_2015-04-30.ana.ud2311e1579	That's it.
ParlaMint-NO_2015-04-30.ana.ud2311e1582	The reason why we're busy with returns, whether it's for Afghanistan or elsewhere, I explained in my first post that the most important thing to stay in Norway is the need for protection. And when people have then been given an assessment of their need for protection – and I also said that in another line change: that we should take the greatest seriousness, we should deal with these matters thoroughly, with dignity and respect for people who claim to be persecuted – and then we find that there is no need for protection, the main rule is to return. It is quite right, as the representative says, that the UN has clear guidelines on what must be at stake before returning people to Afghanistan. And based on the documentation we have received in this matter, the government adheres to these recommendations, both from the UDI and from the UN High Commissioner for Refugees, on returns to Afghanistan. The general approach, it seems, is that the SV representative believes that anyone coming from Afghanistan [[President clubs]]
ParlaMint-NO_2015-04-30.ana.ud2311e1589	I must ask the representatives to observe the speaking time.
ParlaMint-NO_2015-04-30.ana.ud2311e1592	That is not what SV has proposed here in Stortinget. We have proposed that we adhere to the practice of former governments, namely that we did not use the return agreement to Afghanistan to return families with children, because it was very unsafe there. The United Nations warned and made very clear demands, which I can in no way vouch for the Norwegian authorities having examined carefully enough. It appears, among other things, that that several have been returned to the aerodrome and returned, and that several have remained when legal aid organisations have seized it. Afghanistan has also said that they cannot guarantee these families. And then it's the kids. We are now talking about long-term families of children. It was these children that the government was busy getting out of the country, because then they got high returns, but how does Keshvari see that the consideration of these children is taken care of, when this is a whole new policy [[President clubs]]
ParlaMint-NO_2015-04-30.ana.ud2311e1600	There's no time for speech.
ParlaMint-NO_2015-04-30.ana.ud2311e1603	The consideration of these children has been safeguarded by the criteria of the UN High Commissioner for Refugees for return, and then the reinforcement that has been in the additional agreement between the government parties and the Christian People's Party and the Left, for it will also deal with these children. It's important to underline. Secondly, it is right, as Andersen's representative says, that we have not suggested that there should be a general amnesty for people coming from Afghanistan. But the result, and we've also been to it in the past today, of not enforcing return to countries to which it is possible to return, is that everyone who comes from Afghanistan will stay here, because according to the argument of Andersen's representative, it is so dangerous in Afghanistan on a general basis that no one can be sent back there. And what kind of consequences would it have for Norwegian and, in particular, European asylum and refugee policy if that kind of lewd attitude to principles and laws and rules were to be taken into account?
ParlaMint-NO_2015-04-30.ana.ud2311e1610	The Committee’s position refers to the control matter of the Supervisory Committee and the Constitutional Committee on the return of families with children to Afghanistan. As is well known, today’s government started the transport of children’s families to Afghanistan and justified the possibility of such returns. In the opinion of the Control Committee – Innst. 214 S for 2014-2015 – it is: ‘The majority of the Committee took note that on 2 March 2015, the Afghan authorities asked the Norwegian authorities to terminate the forced return of families with children to Afghanistan. [[...]] Compared to the protests in the autumn of 2014 and winter of 2014/2015, this reinforces the impression that the Norwegian authorities were taking the opportunity to significantly increase transport to Afghanistan, rather than an opening on the Afghan side.’ What is Keshvari's assessment of this statement?
ParlaMint-NO_2015-04-30.ana.ud2311e1622	My assessment is that Norway has got a powerful government that intends to enforce all the laws and regulations in this area, not just those that are good for people to stay here. It is clear that the government, with the Progress Party at the head, has used the space for action we have, the opening rooms we have, and we are also actively working to get even more return agreements and better return agreements with even more countries, precisely because of what I was in my original post: respect for the asylum institution. The basis for the whole asylum institution is that those in need of protection and a safe port should receive it. Those who do not need protection must travel back. That's the principle that's now being enforced, and I'm very happy about that.
ParlaMint-NO_2015-04-30.ana.ud2311e1629	If I have not misunderstood the representative Keshvari, I have the impression through the media that the representative is concerned that we should no longer accept refugees seeking asylum in Norway, and that we should only deal with quota refugees. Have I misunderstood, or is it such that the Progress Party believes that we should now preferably try to leave the institution of asylum – that we should not deal with asylum seekers, but that we should concentrate on accepting quota refugees to which the United Nations distributes?
ParlaMint-NO_2015-04-30.ana.ud2311e1634	The answer to that is yes. Unfortunately, the Central Party representative is not alone in misunderstanding that, and what all those who have misunderstood and commented on my input to our editorial committee have in common is that none of them have read my recording. I have never spoken of abolishing the right to apply for asylum, the right to apply for protection. What I have mentioned in my report is that we are organising the asylum system in a different way, more closely associated with the UN and the UN High Commissioner for Refugees. So if the representative from the Central Party has got the impression that I believe we should abolish the right to apply for asylum, that is wrong. But it is a mistake that I can easily forgive, as the representative is not alone about it.
ParlaMint-NO_2015-04-30.ana.ud2311e1639	The cord shift is over.
ParlaMint-NO_2015-04-30.ana.ud2311e1642	There is a broad consensus in this room that those who come to Norway and seek protection and who are entitled to it under international conventions will be allowed to do so. There is also a broad consensus that those who do not have legal residence in the kingdom must actually leave the kingdom. That's the simple part of it. This case concerns the fact that last summer the UDI requested the cessation of the return of lone minors and children’s families to Afghanistan. According to the media, humanitarian conditions were justified and children and women in particular were exposed. The point is that UDI's recommendations were not followed up by the government, and on that basis I allowed myself to ask a question to the Minister of Justice on 15 December last year. The question was: ‘What information does the Council of State have that makes him think the UDI is wrong when they claim that it is humanitarianly inadvisable to return lone minors and children’s families to Afghanistan, and how many children and adults have been sent back after the UDI requested that returns to the area cease?’ What information the ministry actually had, which meant that the Council of State would not comply with UDI's wishes, was left unanswered, and it still remains unanswered. But luckily, the Council of State has been able to inform several times that no one was returned to Afghanistan against UDI's council, and in January the government stopped returning, as UDI had requested. Some of the points here are that the government was waiting too long to follow up the recommendations that came from the UDI, and it is also not proven that there was any real basis for waiting so long to follow it up. For the Labour Party, we refer to the information repeatedly provided by the Minister of Justice, both in writing and orally, that no one has actually been sent to the Council with which the UDI came. Let me take this opportunity to stress that the recommendations of the High Commissioner for Refugees should weigh heavily, but as a nation, we must also reserve the right to have national authorities actually decide. The technical advice and assessments of the UDI shall be given decisive importance, but it is a political responsibility at the seventh stage to decide whether it is safe to return to an area or not. It also follows that we have a responsibility to make thorough assessments of the conditions to which both children — perhaps especially children — and adults are returned. On that basis, the government of Stoltenberg II chose not to return to Afghanistan because it was of the opinion that there was too much doubt and uncertainty about the situation to which it is actually returning. I take note that the government of Solberg has a different opinion, but then you also bear a rather heavy responsibility for the returns sent to you. Return agreements are an essential tool for returning those who have come to Norway and who do not leave the empire voluntarily. The government of Stoltenberg II worked very hard to get a return agreement in place, and we got almost 30 in place together. I know that it has been prioritised from this government as well. That is at least said in this Chamber. It is then worrying that in the information and the versions of statements from the Afghan authorities, as we see in the media, there is concern for some places, as if the Afghan authorities have seen Norway break the return agreement. I think my advice to the government will be to exercise caution in challenging the intent of the agreements. An agreement must be between equivalent parties and requires mutual respect. We don't have to sit in such a situation that we risk losing return agreements, which we have worked quite hard to get in place, or that we get into such a situation that we get words on ourselves as a nation that it doesn't pay to conclude return agreements with Norway. I don't think anyone in this room is interested in that. We will continue to work on developing the asylum institute. We're going to continue to work to receive refugees, and we're going to continue to work to support and accept those who need protection in this country. In this case, I am pleased that the misassessments that have been made, and the time that has passed unnecessarily, have not led – at least as far as we are able to assess it – to the fact that someone has been sent out to conditions that are not safe.
ParlaMint-NO_2015-04-30.ana.ud2311e1667	The rapporteur has already made a thorough presentation. Let me also make some additional comments and additions. We must first establish in this room – and I think everyone agrees – that there is no disagreement across all parties around the following principle: the importance of taking child-care professional considerations is to be taken seriously, and this is particularly true in matters of long-term living and strong links with Norway. At the same time, it is important to maintain confidence in the asylum system. The clear rule is that a refusal to apply for asylum should lead to a return, including in cases where families with children are involved. I refer to the cooperation agreement between the four parties in the field of asylum. It appears from this that consideration of child-reliance should be given to the fulfilment of specific criteria. I refer to the text of the agreement in the permanent agreement for asylum seekers, which reads as follows: ‘The children’s relationship with Norway over several years of residence in Norway shall be clarified by a change in the rules which will make it more important for the foreign authorities to take into account what is scientifically sound for children. The assumption is that, as a general rule, parents have contributed to clarifying their identity and to enabling return, but that return has not been possible.’ I also refer to the Letter of 18 February 2015 from the Ministry of Justice and Defence. This shows that practices in this area are now in line with UDI recommendations. I note with this that paragraph 1 of the proposal has already been complied with. It is not common to give retroactive effect to changes in practice. Furthermore, neither the UDI nor UNHCR recommendations address a general return for families with children to Afghanistan, and it is important to underline. There are a number of criteria that need to be met before the return is recommended in specific individual cases. Both the UDI and the UNHCR allow for return to domestic flight in Afghanistan if a family either has a network in the return area or has the resources to support itself, so the guidelines are clear. In this context, it becomes relevant to point out that no one has been returned in violation of UDI recommendations since it arrived at the Ministry of Justice and Defence on 1 July 2014 and the UDI indicates that no children's families were returned to Afghanistan in violation of UNHCR recommendations from 1 January to 1. ==References== With these facts in mind, we therefore believe that neither paragraph 1 nor paragraph 2 of this proposal can be followed. I would like to remind you that the government, together with the Christian People's Party and the Left, has adopted a permanent change of regulations for long-term asylum children, with greater emphasis on the best interests of children.
ParlaMint-NO_2015-04-30.ana.ud2311e1683	It's going to be line change.
ParlaMint-NO_2015-04-30.ana.ud2311e1687	In a joint remark by the government parties and the cooperation parties, they refer to the cooperation agreement between the parties and to the wording ‘that the foreign authorities pay greater attention to the issue of child-reliance’. I understand this comment – and the post – so that the parties believe that the return of families with children to refugees in Afghanistan has been sound. What is the meaning of the representative, Mr Kapur, of the UNHCR’s assessments, reference to the request for termination by the Afghan authorities of the repatriation of families with children, to the understanding of what is ‘child-careable’?
ParlaMint-NO_2015-04-30.ana.ud2311e1697	I think we'd better look at what we're doing now. We follow the advice of the UNHCR, we follow the advice of the UDI, and we pay particular attention to child-care considerations – that is what we do, and that is also the answer to how we look at UNHCR recommendations on these issues. Return is possible, but it must be under certain conditions. We have clarified them, we follow them, and therefore we also follow all the necessary recommendations that are needed to send families of children back to Afghanistan. I stress once again, as I did in my post, that no one has been sent back in violation of these recommendations.
ParlaMint-NO_2015-04-30.ana.ud2311e1704	I'm a little in doubt about how the representative Kapur can be so sure of that. That is why I have to ask the representative whether he has really gone through these matters and looked at the actual content of them, and whether he has seen whether they actually meet in practice the requirements set by the United Nations. It is a reality that several of the people who have been picked up for transportation have been stopped when they have received help from, among others. NOAS, because these requirements have not been met. It is also true that families have been returned from the Kabul airport just because, as a United Nations assumption, safety has not been in place. It's not about a name, or you've lived somewhere at some point, but you actually have protection.
ParlaMint-NO_2015-04-30.ana.ud2311e1709	I think we're all good at dealing with the facts in the debate – and at least refer to what I said – when you have a question or a line. I underlined both in the post and in my reply that the UDI indicates that no children's families were returned to Afghanistan in violation of UNHCR recommendations. We have to be able to trust that until the opposite information is documented. Based on our information, no families have been sent out in violation of UNHCR's recommendations, and there is nothing we add up in this conversation. On the contrary, we suggest that more attention should be paid to child-care than has been done before.
ParlaMint-NO_2015-04-30.ana.ud2311e1714	Who, if any, will be re-examined now and whether it is dangerous to return to a country are two very different questions. There is no link with the risk of being sent to a country, whether you have been in a long or short time in another country. Staying in Norway for four years, five years or two months is not essential for ensuring the safety situation in Afghanistan. If it is possible to demonstrate cases such as those involving the treatment of The legal aid organisation NOAS shows that the assumptions on which the representative now considers to have been based are not there, is it that the representative and the Right are willing to review this practice? I am not at least in doubt that not all of these matters have met the safety requirements that the United Nations has put forward. That is why the proposal is being promoted.
ParlaMint-NO_2015-04-30.ana.ud2311e1721	It's UDI's recommendations that have led to what I'm now saying. If things were to come up again, it's UDI that evaluates them. I, as a proxy, do not consider individual cases, but I trust that when UDI can show that no children's families are returned to Afghanistan in violation of UNHCR recommendations, it is right. If there are other issues, they must be taken when they arrive. But I can't process the case in a line change with the representative Karin Andersen. It would be unreasonable to demand.
ParlaMint-NO_2015-04-30.ana.ud2311e1726	I understand that, but at the same time, the representative says you have to deal with the facts, and then you actually have to investigate the facts. Other countries that have done this have chosen not to return to Afghanistan. It also did the previous government, precisely because it's so hard to be sure. It is another matter that has been a pretty bad and heavy responsibility for both the previous one and this government, and it is the case of mulla Krekar. Norwegian authorities are very thorough in their efforts to know that this human being is not being persecuted by return. That's why he gets to stay, without any of us being particularly happy about it. Is it not reasonable for us to investigate just as carefully when we send children to a very dangerous country, such as Afghanistan, where our own authorities say they are unable to provide protection?
ParlaMint-NO_2015-04-30.ana.ud2311e1735	UNHCR and UDI – now I've shown what they're saying – have made clear assumptions. It should be possible to return if there is the possibility of an internal network where you arrive – that there are enough opportunities and resources to manage yourself. It is not a matter of sending you back, regardless of the situation. It shall also be carefully assessed in the light of the agreement we now have between the four batches. Finally, if this was the last line of the representative, Karin Andersen, I would like to reiterate that this government is following the recommendations of the UNHCR and the UDI and is going to take child-care into account. There's our government policy in this area, and I'm not in doubt that we're going to follow up on this in a serious and good way, even though Andersen's representative is trying to create another impression.
ParlaMint-NO_2015-04-30.ana.ud2311e1742	The cord shift is over.
ParlaMint-NO_2015-04-30.ana.ud2311e1745	Here we have a representative proposal from SV that we in the Christian People's Party appreciate. I think it is important that we put the searchlight on the different parts of our policy to ensure that it is good quality, that it becomes a fair process, and that it becomes predictable for the groups concerned. In this case, a word is brought in, ‘internal flight’, and it must be a tough situation to think that you are being sent on an internal flight in your own country. With regard to the principle of internal migration, it makes great demands on the proceedings of our authorities. We need to be well aware of the family and the people involved, so that we know how integrated they are, know whether they are integrated, and know what conditions they have in their home country. They're talking about having resources and networks. It requires a thorough and thorough knowledge of the individual. In addition, we need to have good information about that country and the region to which they are sent, so that we know that we can do so – with respect for reporting. Afghanistan is a special country. They have had decades of war – with great powers, with warlords, etc. – so it is a very demanding country to live in and send people back to. In many ways, developments in Afghanistan have been positive in recent years, but many Afghans live under very difficult conditions, and the number of internally displaced persons in their own country has unfortunately increased. These are vulnerable people, often characterised by poor living conditions, and living in such a refugee situation in their own country is particularly demanding. There is a lack of work, a lack of sufficient water and food and perhaps poor housing conditions. In this situation, we believe it is important to have positive, clear conditions for what is needed to be sent to such a country. Therefore, in June 2014, the UDI recommended changing the practice of internal refugees. It was done on the basis of a communication from the UN High Commissioner for Refugees. The UDI indicated that the humanitarian situation of internal refugees in Afghanistan had deteriorated and that women and children are reported to be particularly vulnerable. Therefore, the UDI recommendations of June 2014 were followed up by the government in January. Once again, it is important for us in the Christian People's Party to remember the best of children and to consider all the criteria that will underpin the conditions that must be in place to be able to return. But it is true that neither the UDI nor the UN Commissioner for Refugees have called for a general return for families with children to Afghanistan. On that very background, we, as a nation that sends them out again, must be able to be noisy and have a number of conditions that must be met before we send people back. These are networks, resources and capacity for self-sufficiency. On several occasions, there has been a topic for questions in Stortinget, and in the Question Time on 14 January I asked the Prime Minister about this, about the practice of returning to Afghanistan for families referred to internship. The Prime Minister’s answer was then that UNE has informed that no one has returned in violation of UDI’s practical presentation after it arrived on 1 July 2014. I also received a written answer, and the question was also repeated afterwards with almost the same answer. So according to UDI's recommendations, this has been followed up by instructions. However, the situation in Afghanistan needs to be closely followed, and we therefore need to have up-to-date information to see if we need to make practical changes. Again, it is important to ensure that children are given special consideration and that the situation is investigated. The Christian People's Party believes that there are good reasons why families with children should not be forced into exile.
ParlaMint-NO_2015-04-30.ana.ud2311e1760	It's going to be line change.
ParlaMint-NO_2015-04-30.ana.ud2311e1764	In this area, there is no improvement with a new government. In this area, there is a deterioration with new government, for this is a practice that the red-green government didn't have. Can the representative provide a reason why it is safer to return children’s families to domestic exile in Afghanistan now than it was two years ago?
ParlaMint-NO_2015-04-30.ana.ud2311e1769	I can't, but I have to deal with what the authorities are saying and with the UN refugee commissioner, who doesn't advise against return. But I support the demands on conditions that I mentioned that they must have a network, it must be self-sufficiency, and there must be sufficient resources to enable them to live in a respectful way in this country. I am confident that the authorities will investigate before they are sent out. As I have said, children are particularly important and that child-care is taken into account in these matters, so I assume that it is done. As the case has shown – thanks to the SV’s proposal – it does not appear that such broadcasts have been carried out.
ParlaMint-NO_2015-04-30.ana.ud2311e1774	Then I must also ask the representative if he is willing to go through some of the matters relating to the families that have been sent out. Does he believe that safety is ensured if, for example: is it about having a distant relative with whom you have been contacted by telephone, and who has shown himself willing to set up at the airport and meet you when you arrive, but nothing more? In fact, most of these families are now on the run again out of Afghanistan — there was no security there.
ParlaMint-NO_2015-04-30.ana.ud2311e1779	I assume that if the representative or others have information that is so important that they can influence the situation, they must inform the authorities about this. According to the reports we get from the authorities, this is within what can be done in this area. But as I said at the end of my post: Christian People's Party does not recommend the return of children's families to Afghanistan.
ParlaMint-NO_2015-04-30.ana.ud2311e1784	The cord shift is over.
