ParlaMint-NO_2015-02-18.ana.ud2278e26	The called alternate of Hedmark County, Hege Jensen, has taken the seat.
ParlaMint-NO_2015-02-18.ana.ud2278e851	I allow myself to ask the Minister for Health the following questions: ‘Nearly 700,000 people in Norway live with a hearing impairment. Your Hearing Officer has surveyed the waiting time for, and adaptation of, hearing aids for hearing impaired persons at the country's hospital. Vestre Viken HF, Department Drammen, is one of the worst hospitals to get out, with waiting times in 2014 up to one year. What will the Council of State do to shorten the waiting time for this patient group in Norway in general, and in the Drammen in particular?’
ParlaMint-NO_2015-02-18.ana.ud2278e858	The Free Hospital Choice website, which is the source for, inter alia: Your hearing shows that the expected waiting time for hearing tests in hospitals varies from four weeks at Kongsberg Hospital to 52 weeks at Drammen Hospital – both are hospitals in West Viken HF. The University Hospital in North Norway has as long waiting time as the Drammen, and Ålesund Hospital has the longest waiting time in the country with 66 weeks on February 15. Waiting times for Free Hospital Choice shall be reported as the maximum waiting time for the lowest priority patient. Often, priority will be given to children and young people. Health South-East has informed that the national priority guide is actively used by the West Viken health company. Some patients have to wait for the maximum time, but this happens after a medical evaluation. In the letter to the Department of 13 February, Health South-East reports that the waiting time in autumn 2014 was 21.8 days for patients under 60 years of age with unexplained hearing impairment that needed both audiograph and doctor. For patients over 70 years of age with a suspected hearing impairment or hearing aid need, the waiting time was 85.1 days if the patient only needed audiographs. There are significant variations in the expected waiting time for hearing examination/hearing test throughout the country, but also within one and the same health establishment. More extensive use of free hospital choice could help balance the differences between hospitals. The Pasien wire telephone provides patients with guidance on choice or change of treatment site. The patient may also ask the hospital for help to find more rapid treatment. For many patients, private contract specialists will be a good alternative to getting an hour faster. The Health Region has been asked in the 2015 mission paper to use these where it contributes to reducing waiting times in a professionally sound and cost-effective manner. I expect hospitals to actively assist patients in selecting treatment sites with a short waiting period. At present, there are short waiting times for hearing aids to be adapted to ear-nose-neck specialists who have agreements with Health South-East healthcare companies. In addition, all health regions have been asked to report back to the Ministry of Health by 1 April 2015 on their concrete actions to reduce unnecessary waiting. They have also been asked to enter into more agreements with contract specialists, and we are also now working on a significant matter of improving the free choice of hospitals to make it easier and more accessible to patients.
ParlaMint-NO_2015-02-18.ana.ud2278e877	I would like to thank you for a constructive answer. On the other hand, in addition to a long waiting period for the investigation and adaptation of hearing aids, many people experience poor follow-up once they have received the help. And if you're using HLF as a source again, it's said that about 200,000 people in the North have hearing aids, but that more people could have benefited much better from it. For example, HLF estimates: that as many as one in five hearing aids simply end up in the drawer because they are not trained. And it seems that there are challenges both to who should be responsible for such follow-up and to the competence of the municipality related to the day-to-day follow-up, for example. in the home services. What will the Minister of Health do to improve this situation as regards follow-up — after examination and adaptation of hearing aids?
ParlaMint-NO_2015-02-18.ana.ud2278e882	Firstly, we support – as I also see it as a broad political support in Stortinget – the job that is being done, among other things. under the auspices of the HLF through the Hearing Aid, which is a very simple and accessible mechanism for the easier adaptation and maintenance measures. Part of the contract specialists that I mentioned in my post also have good and accessible services for this, which is also an easy and accessible part of the specialist health service. One of the main tasks for us in the work on primary health communication is to highlight the importance of having good competence and multidisciplinary approach to those patients and users with chronic health challenges, and that will be the case here. So when it comes to this, we come to Stortinget with our own big message about a rise for the primary health service before the summer.
ParlaMint-NO_2015-02-18.ana.ud2278e889	I thank you again for the answer and look forward to the description and measures in the communication that the Council of State mentions. Because if you look at the demographic challenges in our country in the future, there is reason to assume that there will be more elderly people, who in turn will have the consequence that we need to strengthen the supply of the group that will need, among other things. hearing aids. And I think there's also a reason to look at the way we organize the offer to the group and think about new things in this area as well. One of the examples of a place you have thought about is the Hospital Telemark, where you have implemented a system of so-called ambulatory audiographs that travel around the municipalities, which means that patients do not need to visit the hospital, for example. In Skien. And I hear it works very well. The municipality is satisfied, and those who need adaptation and follow-up are satisfied. Will the Minister of Health also take the initiative to look at alternative organisations in order to improve the provision of hearing impaired persons in the notification to the Stortinget he himself has notified?
ParlaMint-NO_2015-02-18.ana.ud2278e896	I think it sounds like good and sensible ways to work, and this is also something we have as a general approach to the work we are doing: the importance of the use of specialists and expertise in the specialist health service, both by meeting patients and offering an offer locally and by working against the groups already working in the municipality, so that some of the tasks that you might not necessarily need a specialist to do can be solved by others who are already working in the community health service, so that you get an exchange of expertise. So this is something we're going to follow up and look at.
ParlaMint-NO_2015-02-18.ana.ud2278e905	‘The political leadership of the Ministry of Health and Welfare has stated that hospitals in Kirkenes, Hammerfest and Tynset should have surgical emergency preparedness. Will the State Council confirm this to health businesses by decision in business meetings?’.»
ParlaMint-NO_2015-02-18.ana.ud2278e912	In the hospital speech in January, I presented three possible models of Norwegian hospital structure in the future: we can continue with today's structure and maintain emergency surgery even at the smallest hospitals for a few more years, or we can follow a traditional medical thinking that suggests that in-house medicine emergency functions must always be with emergency surgery. When the surgery is centralised for medical reasons, it will mean significantly less acute reception and thus significantly less hospitalisation. The third possibility is that we maintain our decentralised hospital structure, but adapt the emergency functions based on the population base. This will mean that we can maintain medical emergency preparedness in several hospitals near where many patients live. These three models will be highlighted in the National Health and Hospital Plan submitted to the Stortingen for the autumn. Until then, I have invited an open debate on the direction of development we will choose for the hospitals in the future. In the three models, the population base is one of several criteria that can be used to define different types of hospitals. It can never be the only criterion. In our country, we need to take into account the weather, distances and prosperity of thinking about emergency preparedness. The hospital at Tynset is an example of the fact that a great distance from other hospitals must have a bearing on the location of emergency facilities. Similarly, I have stated that because of the large distances, it will be totally impractical not to have emergency surgery in Kirkenes and Hammerfest. As for the representative Lundtigen's question as to whether I would like to confirm my views at the business meeting, I have not taken a decision as to whether there is a need for it. The majority will take the debate and draw conclusions on what the Norwegian hospital structure will look like in the future when they deal with the National Health and Hospital Plan. The estimates of the size could provide clear policy guidance for decisions on hospital structure and functional distribution at all levels of the specialist healthcare service. In conclusion, I would like to point out a fundamental relationship around ownership management that I perceive lies behind the question put by the representative Lundtigen. The provisions of the Health Business Act which limit ownership to the business meeting do not prevent me from expressing views in public spaces. It would be absurd for the Minister of Health and Care and others in political direction in the Ministry of Health and Welfare to have been cut off from thinking anything about the sector for which we are responsible, except in the business meeting.
ParlaMint-NO_2015-02-18.ana.ud2278e927	It is important that the minister says what he means. I've never attacked it. The point is to have cleanliness in relation to the Health Business Act. We're talking about an important task here: emergency preparedness, and I'm glad that the Council of State now says that it's totally inappropriate not to have surgical emergency preparedness in Kirkenes, Hammerfest and Tynset. It's clarifying. Then I also expect that what State Secretary Erlandsen said in Østlandingen on 13 January 2015, is something the Council of State can agree to. In conclusion, the State Secretary says that what she has seen and heard is music in her ears, and she has full confidence that the hospital at Tynset operates professionally soundly, sailing if the requirements change. ‘They must continue to do so. The extent of emergency surgery they have seems right for the residents who are soaking up the hospital at Tynset, and for those who are being treated». Do the Councils agree with the opinion?
ParlaMint-NO_2015-02-18.ana.ud2278e940	I have nothing to postulate on the wise thinking of my State Secretary in this area. It is entirely in line with what we are thinking, namely that it is important to have some overall, clear leadership on how to develop the hospital structure in Norway. Then Norway is a country where one also has to take into account geography, distance, to weather, and then we have chosen to be clear on these three examples that we think exactly highlight that point. Then it's important to have a thoughtful plan for how to ensure good quality, make sure that there's an interesting job where one also recruits. These are questions that we're working on further, and we've set up our own group of professionals who have their daily life in clinical practice, just to make good professional input to achieve that goal.
ParlaMint-NO_2015-02-18.ana.ud2278e947	In the Minutes of the Hospital Inland HF of 22 January this year, Director Morten Lang-Ree, in the light of the statements of the Secretary of State, presented a clarification of the terms of reference of the Working Group, which reads as follows: ‘The acute surgery on Tynset is maintained as today in line with the leadership and justification of the Minister of Health as expressed in an interview with State Secretary Erlandsen of Eastlandingen on 13 January 2015.’» Now, we've been further clarified by the council of state at the Stockholm pulpit that it's totally impractical not to have surgical emergency preparedness on Tynset, in Kirkenes and Hammerfest. Is it not the Storting's will that such a decision should be taken at the Enterprise Meeting in order to create the necessary legal security, as called for in many cases on these issues?
ParlaMint-NO_2015-02-18.ana.ud2278e957	The Inland Hospital is working on a development plan that they are discussing in the board of directors. It is not that, since political management has not expressed a position in a business meeting, it is forbidden for health businesses to listen to what is being said and to take it into account in their assessments, whether it is said in the media, in the public debate or from the Parliament's pulpit. That would have been the case if the board of directors of the Inland Hospital had adopted the opposite, namely that they would not have emergency surgery on Tynset. Then it would have been close to me to include it in the business meeting in Health South-East and give leadership on the opposite. That's the only way I can instruct the Hospital of the Inland. They may have to include everything else in their assessments, and I think these have made a wise assessment.
ParlaMint-NO_2015-02-18.ana.ud2278e966	‘A study from Bergen shows that patients with psychiatric disorders live less than the general population, and the main cause of overdose was cardiovascular disease. These figures are confirmed in other countries and show that people with severe psychiatric disorders die 15–20 years earlier than normal. Explanations are related both to lifestyle and to the under-use of other healthcare services. What will the Council of State do to ensure that auxiliaries take the challenges seriously, and assesses somatic health as part of the disease picture?’
ParlaMint-NO_2015-02-18.ana.ud2278e973	I'm familiar with research that shows that people with severe mental disorders have a significantly shorter life span than others. Among other things, we know that untreated somatic disorders are the main cause of early death for this group. This tells me that we are still not good enough to ensure that a comprehensive and coordinated service provision for people with severe mental disorders. The great differences in life span concern me, and I can assure the representative that we take this very seriously in the messages, strategies and action plans that the government is now working on. In the forthcoming public health notification, the government addresses how the silo organisation of municipal health and care services is an obstacle to a comprehensive and coordinated provision of services for patients. For people with mental health challenges or drug dependence, multi-disciplinary cooperation and team-based services will be important to ensure that the mental and physical health of the patient is protected – not in part or in part, but as a whole. As far as specialist healthcare is concerned, I have commissioned regional health companies from 2015 to establish procedures to ensure that patients in the field of mental health protection and interdisciplinary specialised drug treatment receive treatment for their somatic disorders. Similarly, they are given the task of ensuring that patients treated for somatic disorders receive an offer to deal with their mental health challenges and drug problems when appropriate. The government continues to invest significantly in mental health. I remember reintroducing the golden rule from 2014. This means that mental health protection and multi-disciplinary specialised drug treatment should be given priority in relation to somatic health services in health regions. This year we set up free treatment options where we start with mental health protection and drug treatment. On the municipal side, we are facilitating an increase in the bet on low-threshold measures. In addition, we now come with a public health report, where we equate mental health with physical health also on the prevention side. All these are measures to help improve the overall provision of services to people with mental health challenges. In the EEAS and in the National Health and Health Plan, we will return to several measures that will be of importance both for people with mental health challenges and for the general population.
ParlaMint-NO_2015-02-18.ana.ud2278e986	I thank you for your answer. Norway has joined the WHO global target of reducing the premature death of non-infectious diseases by 25 pst. by 2025. It will require, as the Council of State set out here, targeted efforts to achieve this – not least to people who are affected and who are in a vulnerable situation. To what extent does the Council of State believe that the necessary measures have been taken or can be taken at short notice in order to achieve this objective, the reduction, by 2025, also for those people who are suffering from mental illness?
ParlaMint-NO_2015-02-18.ana.ud2278e995	In terms of providing treatment, which is a challenge in itself, for this group — i.e. not being treated for their somatic diseases when undergoing treatment for their mental health challenges or for their dependence on drugs — this has already been given as a mission in 2015. I'm concerned that the problems occur a lot before that, and it's a lot of the work that we're doing now in the primary health message, about: seeing the whole human being and making sure that the municipal health and care services are organized around the whole human beings – and not as it is organized today, where one can get the impression that people are going to be treated piece by piece and division. On the preventive side, we are now doing a lot of concrete work, where we are also concerned about implementing measures that do not require individuals to make their own choices, but where we have made choices on behalf of the collective. So let's do that. on the food side, where we are reducing the content of salt, sugar and saturated fat in food.
ParlaMint-NO_2015-02-18.ana.ud2278e1004	The study from Bergen shows it as both the Council of State and I know that everything is related to everything, and that people with mental disorders also have somatic disorders. However, in this forthcoming performance reform, free treatment options, psychiatric patients should have access to specialised psychiatric treatment in private service providers who do not need to have an agreement with the other treatment provider. Does the Minister of Health understand all those who now warn against free choice of treatment not responding to the needs of these patients for interdisciplinary and comprehensive treatment? I am aware that we have talked about individual levels, but does the Council of State see that there are challenges here?
ParlaMint-NO_2015-02-18.ana.ud2278e1011	I do not see that the free treatment choice reform poses any additional challenges in addition to the challenge we already face. Therefore, those challenges need to be solved in the same way as they do today, namely by making you look better at the whole patient. The institutions that will be eligible for free treatment and be able to provide help to several patients are well-established institutions, which in many ways are not just complementary, but are the basis for some of the good help we can provide in mental health in Norway today — for example. Modum Bad and Sigma Nord, which are institutions with prominent professional environments that provide people with good help. In the same way as the health care services owned and operated by health businesses, they need to be better able to cooperate with the other parts of the healthcare system in order to provide help to patients’ somatic health challenges. It is a challenge that applies regardless of whether it is public or private, non-profit or commercial.
ParlaMint-NO_2015-02-18.ana.ud2278e1022	‘Oslo University Hospital’s Ideas Phase Report has drawn a long-term objective of future Oslo Hospital in one Campus Oslo. [[OUT]] The Hearing Round showed little confusion about the collection of large parts of the OUS on Gaustad. In response to the Storting, the Council of State has told of a meeting between the Council of State, the OYS and the Health of the South-East, where it has been ‘common perception of the political realities of the matter’. From a media lookup, it seems unclear what the common perception is. Can the Council of State address the political realities of this matter?’
ParlaMint-NO_2015-02-18.ana.ud2278e1029	Oslo University Hospital has recently presented a new version of the report ‘Idea phase report Oslo University Hospital’. This is a comprehensive investigation work in which more than 300 people have been involved. The work shall provide a basis for considering developments in the future Oslo University Hospital. The 2014 consultation round shows that, among others: The municipality of Oslo considered that the necessary infrastructure measures must be a cost related to hospitalisation. The municipality of Oslo pointed out that they were skeptical of giant projects which require coordination of many actors, different levels of government, opposites of interest and sectors at different levels. This hearing opinion, along with what I perceive to be a majority on the Stortinget, is critical of an overall hospital in Gaustad. It was also crucial for my opinion on the matter. In addition, the director of Oslo University Hospital has formulated it this way: it is not realistic to fund the full collection of Gaustad. However, this does not mean that the ongoing investigation work at Oslo University Hospital is stopped. Oslo University Hospitals need to replace old, inappropriate and sometimes completely worn-out buildings. There are also several parts of the establishment that should be brought together to a greater extent than at present in order to ensure the best possible quality and efficient operation of the hospital establishment. There is also a need to strengthen overall capacity due to strong population growth in the capital area. I record that many are concerned that a lot of investigation tools and resources are now being used in this process. But Oslo University Hospital needs new constructions and upgrades. There are a number of interests that will be affected by the development of Oslo University Hospital, which must also be involved. All experience suggests that good planning and decision-making results in lower costs in subsequent rounds. The present report from the project, ‘Idea phase report Oslo University Hospital, version 2.0’, is readable and provides a useful insight into the challenges facing Oslo University Hospital. The Management Board of Oslo University Hospital decided on 13 February to postpone the administrative procedure for the matter. The reason was that further decisions should be anchored in a new government and that the board needs more time. I therefore await the management board's treatment, which is planned in April. The final report is planned, as I understand it, to be completed and processed in the board of Oslo University Hospital before Christmas, with subsequent treatment in Health South-East.
ParlaMint-NO_2015-02-18.ana.ud2278e1040	My question concerned the political realities of the matter, as the Council of State had mentioned this in a meeting between the OUS and Health South-East, and I still think it is unclear. My main question is: is it a political reality, as the Council of State sees it, that it is okay with the somewhat reduced version of the magnificence, that it is good to move on with that project, and that it was only the first version that was not a political reality? I would like to answer if the Council of State thinks there are political pluralities at Stortinget to go on and figure out the version that is somewhat moderate, and that is what is the political reality.
ParlaMint-NO_2015-02-18.ana.ud2278e1045	What was common to me at that meeting, both from my side and from the management of Health South-East and Oslo University Hospital, was that the option of full assembly in Gaustad, which also implies the need for a bridge over the motorway, does not have the connection of the most affected municipality and which also had to be a strongly involved party to such a development project, which would be not only a development project for Oslo University Hospital, but in reality a major urban development project – on many levels, such as that one. has seen in Stockholm. When the municipality concerned is negative, as it was in the consultation round, and when one sees clearly that parties representing the majority of the Stortinget also express clear scepticism for this, there is a solution that is not a basis for going further and that one therefore does not need to use more resources to investigate.
ParlaMint-NO_2015-02-18.ana.ud2278e1050	I perceive the answer so that the council thinks it's political uprising to co-locate large parts of Oslo University Hospital at Gaustad. The Governing Councils were committed to anchoring the decision in the new Governing Board. I think the Council of State must be concerned about anchoring this in the Stortinget, the premises and the framework for having a major hospital or not. It's a big decision that many people, including The medical association in the hearing interview, has said that we haven't discussed enough. So my question is, we're going to have a national health and hospital plan. I had hopes that the Stortinget would join the important leadership of the hospital. In connection with that plan, will Stortinget determine what kind of hospital form we are going to have in Oslo, major hospitals or not?
ParlaMint-NO_2015-02-18.ana.ud2278e1055	I am very happy that I am given the opportunity to complete my answer, because the representative has drawn the wrong conclusions from what should be the continuation. I believe that this is not a political basis, is a collection of Oslo University Hospitals in one place. When Oslo University Hospital investigates their future model of building mass, they are required, through the guidelines that apply to this, to explore different models. Then I hear that – both the representative and in the public debate – one of the options is very much involved. There are also several alternatives investigated, and one of the other questions relates to the need for local hospital functions elsewhere, in several places in the city. This applies, for example: where the cancer treatment is to be investigated. There are questions that the Management Board of Oslo University Hospital in the first round is responsible for assessing what alternatives they want to take. As I have said to the Storting many times, I am following this process very closely, and I will of course involve myself if I see there is a need for it.
ParlaMint-NO_2015-02-18.ana.ud2278e1068	‘In an interview on 16 October 2014, the Justice Minister said that ‘The work on attitudes, culture and management is a work that must be ongoing’, it must ‘be part of our daily focus [...]’. Does he think that changing a sentence in an allocation letter and not following up later on if the change has been practised is a good path, when a ‘ready policy change’ at the bottom is the purpose?’
ParlaMint-NO_2015-02-18.ana.ud2278e1075	The question raised by the chairperson of the Judicial Committee deals with parts of a matter currently being dealt with by the Supervisory and Constitutional Committee. In the verification hearing on the matter, the issues raised were also affected. I believe it is right that the Supervisory and Constitutional Committee should deal with this matter in detail, and that in addition to that, I refer to what was said in the hearing. I'm sure that's not a surprising answer. In general, however, I would like to point out that the most important operational governance document in the state is the letter of allocation. It is the follow-up to the budget decision of the Storting and it is assumed that the heads of the letter of allocation are closely followed up by the underlying agencies. The ongoing governance dialogue follows up the specific objectives and reporting requirements and, where there are deviations, it would be natural to ensure closer follow-up. In the absence of deviations, attention will normally be somewhat lower. However, the Ministry of Justice and Defence has changed its procedures for the follow-up of letters of allocation recently to ensure that the leaders are also followed up in the disposal records of the underlying agencies and also in the other management dialogue in an even better way than has been the case in the past. However, it is important to ensure good and trust-based management that the control regime does not overshadow the responsibilities of the establishment for the implementation of the landfill and department.
ParlaMint-NO_2015-02-18.ana.ud2278e1084	I'm not asking about the cases that are being dealt with in the Control and Constitutional Committee. It's only allowed to go its own time. I take this up because the council itself has said that he is busy with culture, stagnation and leadership, and then I am looking to clarify what is his philosophy of leadership. The criticism he has received in the matter to which he refers is, among other things, of course. that he should have run what is called management by e-mail, i.e. that one gives a short, written message, and that one does not follow up in a proper way afterwards to see if it is actually practiced, even if he thinks he is sending a clear policy change signal. What I'm about to get ready is exactly the philosophy of leadership of the state council, which is the top leader before the police, if he thinks that giving a message in the form of a change in a sentence, without following it up afterwards, is good guidance or not.
ParlaMint-NO_2015-02-18.ana.ud2278e1091	The representative puts some premise on the question that, in my opinion, is wrong. In general, I can say that I am very concerned with trust-based management. I'm totally dependent on the fact that we have leaders in all parts of the underlying businesses and in the ministry who can lead on the basis of the trust they show from both the Council of State and their own other leaders. I believe it is absolutely fundamental in any form of management. If you're going to get creativity, if you're going to get people to shoulder their responsibilities, to do their tasks in the best possible way, there's one thing that's more important than anything else, and that's that they actually have confidence in doing the job they have. That means that from time to time things will go wrong. This means that from time to time it turns out that one should follow up control signals in a more thorough and better way. I think that's exactly what we have to bring with us. Then the routines that are to be changed are changed, as a result of a discovery that things should possibly have been done in a different way in some context.
ParlaMint-NO_2015-02-18.ana.ud2278e1096	I record that the Council of State does not respond to whether he thinks it is good rental or not. I address this issue because the Council of State has submitted an agreement on a police reform. Soon there will be a proposition detailing how the police reform, which is a major change, will be implemented. There may be important points in the details where there will be a clear, proper lead from the Minister of Justice. I can give him a chance to answer another way about how he wants to run the lead in this matter, by asking the following questions: What is the Minister of Justice really learning about the management of the long-term children, which means that he wants to exercise his leadership in the matter of police reform?
ParlaMint-NO_2015-02-18.ana.ud2278e1101	I'm glad we're still taking on new lessons along the way in a process. I think that the most important thing – in general, completely independent of the specific matter to which the representative Tajik refers – is to have experience from events where you can see that things should have been done in a different way. In this context, it is very important that we have a structure that specifically follows up the political objectives of the police reform, that we have a follow-up to it regularly, and that we get a report on this on a regular basis. I believe that we are far better able to deal with those kinds of challenges in the future than we were in the past, because all of us, as leaders, are learning along the way, completely independent, of course, of the matter specifically referred to by the representative. I'm very happy that we're learning people, and that we're part of a learning organization.
ParlaMint-NO_2015-02-18.ana.ud2278e1110	I have allowed myself to ask the Minister of Justice and Defence the following questions: ‘The Sex Purchases Act entered into force on 1 January 2009. A recent evaluation report shows that the law has worked according to intentions, both in terms of changes in attitudes and in terms of decreases in the number of people buying sex. But according to the Ostland mission, the police in Oslo do not give priority to enforcing the law. Will the Council of State ensure that the Oslo Police take the Sex Purchases Act seriously?’
ParlaMint-NO_2015-02-18.ana.ud2278e1119	A key reason why the majority of the population decided to prohibit the purchase of sexual services was the expectation that the ban would include: would lead to less trafficking in human beings. In Oslo, in particular, there had been an increase in the number of foreign women in prostitution who were largely controlled by hallucinators and traffickers. The central task of the police both in Oslo and elsewhere has been to combat trafficking in human beings and infirmities. The prostitution markets in our largest cities are different. Oslo has specific challenges in relation to other cities related to the presence of many organised networks that govern and exploit women in prostitution. The Oslo police state that their strategy has been to look at a broad approach in which an objective of detection and prosecution of traffickers and instigators has been combined with preventive measures and a strategy in which the traffickers concerned have been prosecuted for alternative offences. It has been important to prevent foreign networks from establishing themselves in the city. We have access to apartments where they can place the women they use in prostitution. For many years the work in Oslo was directed through the business of a special group, the so-called Stop project, which I know the representative Nybakk is well-informed about. The project has been completed, but the Oslo Police are now working on establishing a new scheme of dedicated investigators and operational personnel in the field. However, the results of police action in the field cannot simply be read out of criminal statistics alone, and at least not by simply looking at the number of reported clients in prostitution, as the Baltic broadcast has done. The police report that they have understood the political reasons on which the ban is based and have used the ban as a complement to their use of penal homes against trafficking in human beings and inhospitable activities.
ParlaMint-NO_2015-02-18.ana.ud2278e1128	There is no contradiction between combating trafficking in human beings and combating prostitution, that is, bringing down prostitution, rather, on the contrary, and the Sex Purchases Act is an important contribution to bringing down prostitution. The aim of the Sex Purchases Act was, among other things, to reduce the number of people buying sex, as part of a larger picture – we have several laws that regulate both trafficking in human beings, hallucinations and brothel activities. The evaluation reports show that young boys no longer go down to the centre of Oslo, for example, to debut sexually with prostitutes, as we actually saw in 2005, 2006 and 2007, and that it is banned, of course, makes the threshold higher to do just that. But it's actually important that the Sex Purchases Act be enforced, because if you don't, it sends out signals that this isn't important for the police and the judiciary.
ParlaMint-NO_2015-02-18.ana.ud2278e1135	After all, the representative Nybakk had a conclusion now, and not a question. Of course, it is expected from us that the police will enforce the laws that apply. It is a premise for all the work done. In addition, the government is working with a big message in the follow-up to this sex Purchases Act’s evaluation, and then we will also have the basis to go through the different perspectives that the representative Nybakk is concerned with.
ParlaMint-NO_2015-02-18.ana.ud2278e1142	As the Council of State said, this is also about the fight against trafficking in human beings, and that is, in fact, the fight against international organised crime. As the Council of State probably knows, most prostitutes today, in Oslo and other major cities, are trafficking here, and that is, they are victims of human trafficking. In fact, international economic crime and other international crime are also multidisciplinary, in the sense that the same people are behind drug trafficking and prostitution. It actually means that enforcing the Sex Purchases Act is also an important contribution to preventing prostitutes from being sent here. Does the Council of State see that the law – both the Sex Purchase Act, the Halik paragraph and the brothel ban – is also a contribution that can reduce trafficking in human beings and combat international crime, but that it must also be enforced?
ParlaMint-NO_2015-02-18.ana.ud2278e1149	This is one of the things that, of course, we'll come back to in depth in the announcement of big business. But the representative points to a very big challenge, just that this is serious profit-driven crime, where there is the opportunity to raise money that drives it, and it's really little interesting what that business is all about. Serious organised crime is about trafficking in human beings, sex and drugs, and it is very often the same criminal networks that are part of this. It's a huge challenge, and it's absolutely essential that we together have a law that can best protect us from that kind of serious crime. I am absolutely convinced that the police in all police districts will also do what they can to contribute to the brutal, profit-maximising crime, which has many facets, among other things. the facets of the representative Nybakk will be minimised. But we have to be constantly alert as to whether there are other things we can do – to do this even better.
ParlaMint-NO_2015-02-18.ana.ud2278e1160	‘The acute refugee situation suggests that we should receive more quota refugees. In the state budget it was decided, after negotiations with the Christian People's Party and the Left, that the number should be increased by 500 to a total of 2 120, a doubling of the number since the Workers' Party was put into government. In a letter dated 19 January, the UDI has requested an allowance letter from the Department, and is concerned if we can accept 2 120 refugees in 2015. Can the Council of State assure the Government that UDI will receive allowances as soon as possible and that the Council of State will reach its target for quota refugees?’
ParlaMint-NO_2015-02-18.ana.ud2278e1167	Let me first thank the representative for the question. The letter to the UDI was sent on 12 February 2015. On the same day, the Ministry had a meeting with the Directorate to ensure a common understanding of the letter and to facilitate a good dialogue in the future. UDI was told to start preparing the Syria withdrawals before Christmas, even if the formal allowance letter was not completed. This was initially linked to the government's proposal for an additional quota of 500 places and the 500 places for this group on the ordinary quota. Although the government, together with the Christian People's Party and the Left, will work to establish new criteria for the withdrawal of transfer refugees, UDI was informed in January that the first withdrawal must follow the same criteria as in 2014 and until new criteria are in place, the withdrawal will follow the current criteria. Consequently, the work on new withdrawal criteria should not hinder the achievement of the target in 2015. I assume that the target for the quota refugees will be reached in 2015, in line with the Storting decision. The UDI provides three exit commissions before summer and three exit commissions after summer. In addition, there are some cases that are dealt with exclusively on the basis of the case documents sent to the UDI by the UN High Commissioner for Refugees.
ParlaMint-NO_2015-02-18.ana.ud2278e1176	I thank the Council of State for the answer, and I am pleased that the Council of State now assures the Storting that we will accept the number of refugees that we agreed on in the State budget. As I said, we have an extreme refugee situation related to the Middle East conflict, and we have experienced the greatest refugee disaster since World War II. Only in Syria are over nine million people on the run, and the Left believes that we need to get more involved in the refugee problem, and that we should take in more refugees. We can and should do more. I am aware that we have an unsolved situation relating to Syrian refugees who live in Turkey, but can the Council of State assure the Government that we will in any case accept the 1,500 Syrian refugees to whom we have committed ourselves?
ParlaMint-NO_2015-02-18.ana.ud2278e1183	The government follows up the decision of the Storting in this regard. It is right, as the representative points out, that we have had problems with the withdrawal from Turkey. There has been a difficult situation because the refugees have not received travel documents approved by the Turkish authorities. It has created a difficult situation that we have worked hard to resolve. Not only Norway has had these problems, but Norwegian embassies are working to solve them. This is a very boring situation, not least for those who have been picked out to come to Norway but who are still not allowed to come to Norway because they are not accepted by Turkish authorities. Regardless of that, of course, we are working to achieve the targets set by the Storting. In other contexts, I have been criticised for being too preoccupied with target numbers. I'm concerned with measurement numbers in this area as well.
ParlaMint-NO_2015-02-18.ana.ud2278e1190	I hear that the minister is still happy with the figures. I want to follow up on something that was a majority remark in the budgetary procedure before Christmas, concerning the refugee camp Camp Liberty. The majority comment was about looking at the situation there and remedying it. I wonder what is the status of the refugees from Camp Liberty in the future, and what is the Minister of Justice's answer to this.
ParlaMint-NO_2015-02-18.ana.ud2278e1197	The receipt letter sent to the UDI on 12 February set out 155 so-called open spaces, of which at least 20 are to be picked up from Camp Liberty, so this has been followed up already in the existing exit letter, which was sent in February. Then we have to keep a close eye on how this development goes on.
ParlaMint-NO_2015-02-18.ana.ud2278e1207	‘The!les Association has been part of different read strategies since 2003. However, the association has been told that their actions will not be part of the Read Strategy 2015–2019. This will lead to the loss of 180 000 students and about 5,000 teachers who have been part of Norwegian school in the last 17 years. What is the reason why the Association!les should no longer be part of the read strategy, and how does the Council of State see that the work of the Association!les can continue beyond the strategy?’
