ParlaMint-NO_2015-04-29.ana.ud2589e26	The representative Per Olaf Lundteg will present a proposal for a representative.
ParlaMint-NO_2015-04-29.ana.ud2589e904	The question to the Minister for Transport is: ‘The Ministry of Transport has adopted a real reduction in air charges in 2015. According to Avinor’s 2014 annual report, revenue from duty-free sales is strongly increasing and is now at the level of revenue from airport charges. As a result, duty-free sales subsidise climate-affecting air travel. The Labour Party decided at the national meeting to continue the scheme, but wanted the Vinmonopolet to take over. Does the Council of State consider that maintaining areas of transport based on subsidies from the sale of cheap spirits and sugar is a sensible and long-term policy?’
ParlaMint-NO_2015-04-29.ana.ud2589e913	Let me first underline that Avinor and the airlines are different companies. Avinor is the state company operating the airports. They have a fairly robust and good economy. The airlines, which operate the aircraft and give the passengers the travel experience themselves, are companies that we can now read about going with a huge deficit, and therefore it is important that we – as the fees were collected here – distinguish between the revenues that Avinor has and the costs that we want to impose on the airlines. So it's also important that we look at Avinor's income. In 2014, they had total revenues of about 10 billion. NOK – half of this was tax revenue, half was so-called commercial income. Of the commercial revenues, approximately Half of them, that's about 2.5 billion. kr, income from tax-free sales. It concerns perfume, cosmetics, chocolate, tobacco and alcohol. In a chronicle by the head of Avinor, it was said that approx. 1 to 1.2 billion of the income relating to alcohol. So it's approx. 10-15 pst. of Avinor’s income arising from the sale of alcohol. Then we have to discuss how we are going to finance the airport structure that we want to have in Norway. There may be different parties having different desires, but generally one wants to have airports throughout the country, not least in the North West and in North Norway. I myself have been in Lofoten for two days now, the Vesterålen and Salten. Airports are an important part of the everyday journey for some people, not least business and government. That's why I think it's reasonable and desirable to have airports with the kind of structure that we have today. Then the question is, how do we finance this? We have an established system of duty-free sales, where the income from alcohol is about the same economy with which we are currently subsidising the runway aerodrome network. We could, of course, remove this, and then grant that money over the state budget. I would warn you against that, because then there would be more money we would have had to re-prioritize in the state budget, which would have led to the maintenance effort that we now have on the railways and on the road, which is important for the collective effort, being reduced, and we would have to continue to fall. So I want us to go on with the system that we have, because as long as we're allowed to take back allowances, that's alcohol without taxing it with excise duties, we know that if we put down tax-free sales in Norway, it just means that one is moving sales abroad. So with that arrangement, the state gets a net loss, and that means we want to lose income, we want to lose jobs, and we want to lose airports. For me, it's important that we have a good travel offer across the country, but I clearly see the principle side that it doesn't make sense that someone says that a user is using tax-free revenue to finance airports. But it's part of a whole that I think works well today.
ParlaMint-NO_2015-04-29.ana.ud2589e924	The alcohol policy side of this question is probably a lot of opinions about, but we're going to leave it here. The point is that because, among other things, The airport charges now no longer later to reflect Avinor’s costs, the tax-free system for both spirits and sugar, as the Council of State has just confirmed – as it sounds – amounts to at least 25 pst. a basis for maintaining, indirectly, very low prices for airlines at the expense of other modes of travel, for which there is a broad consensus in the Storting to be strengthened, namely trains and other things. The fundamental question is: will the Council consider using similar mechanisms, such as tax-free sales, to promote other and more environmentally friendly modes of travel, such as: train or bicycle?
ParlaMint-NO_2015-04-29.ana.ud2589e931	What is special about aviation is that one in part of the transport chains is moving in international airspace, just as international ferries do. When one is in international territory, no one has tax rights. That is what makes it possible to buy goods free of tax. So one approaches it by instead of the fact that the actual trade takes place in the middle of the spring – it does with ferries, but on aircraft it would create an inappropriate situation, I think many would say – has added it to airports after one has come out of a country's passport area. That's the basis for that. One will not be able to find similar ways that will make it logical to finance bicycle paths, trains, etc., because that is a constant part of a country's legal domain. I think one can problem this very much, but it eventually ends up with – one has a lot of money here – that if one does not have tax-free sales in Norway, moves a tax-free sale out of the country, or one has to do it like a doer for alcohol policy reasons: close the limits completely for all imports of alcohol, and that would mean that every bottle of beer from Sweden had to be customs dutyed. It would be a very little suitable way to close the boundaries.
ParlaMint-NO_2015-04-29.ana.ud2589e942	I think there is quite a broad consensus that we will not get the same turnover on alcohol if travellers have to buy it abroad, as you get with the giant tax-free sales machines installed inside Norwegian airports. So here it's probably a very big gap. At the same time, it is essential to note that the Progress Party wishes to: ‘Alcohol and tobacco legislation should be liberalised, the level of fees reduced and the wine monopoly system terminated.’ This is likely to increase the turnover of alcohol in general in the country and weaken tax-free sales. How does the Council of States in the long term see compensating for such a policy, as long as he now argues that tax-free sales are such an essential part of Avinor's income base?
ParlaMint-NO_2015-04-29.ana.ud2589e952	If we had done that, it would have had some effects. However, this means that if the total income of the state had also been increased, I would claim, and then the loss of income could also be financed – in a way. What has been the problem with the proposals that have been launched is that one has moved the alcohol sales out of the country, and so both the state and the airport director are missing those revenues. It is now that most people remember that there have not been so many decades since alcohol was traded abroad before coming to Norway. It meant that you had a lot more weight on board the plane, a lot less space and a little more chaos. So I would like to stress, as a little bit of the representative's question is about how we are going to invest in public transport, how we are going to invest in rail and bicycle routes, that this government within the state budget has increased the appropriations for the Railway Agency by about 50 pst. after the government change. We need to build 30 pst. more cycle path in 2015 than in 2014, and in addition we have just allocated 95 million. kr for bicycle measures around the country. So I mean we get a good, balanced bet, and very much above the state budget, but because exactly the airports are tax-free a small, but an important part of the bet.
ParlaMint-NO_2015-04-29.ana.ud2589e965	The question to the Minister for Climate and Environment is: ‘The species database is the government’s supplier of objective assessments of the state of Norwegian species. 2 March d.o.b. the Species database provides preliminary root list assessments in which the wolf is considered to be critically threatened by extinction in Norway, while the gaupa ranges from vulnerable to highly threatened. Does the government have a different opinion from the Art Database on how large these populations must be to be viable, or will the Council of State implement a policy that takes the consequences of this information and increases the populations of wolves and gloats?’
ParlaMint-NO_2015-04-29.ana.ud2589e974	Both nationally and globally, there is a clear objective of halting the eradication of species. The Red List of Species Database assesses which species are at risk of extinction in Norway, and this is very important and objective knowledge, which I of course use in assessments of the status of species. As the representative Hansson is well known, predatory wildlife management in Norway is regulated by the Stortinget, not least by the size of the large predators’ populations. In the 2011 rapprochement, a total accumulation continued the current stocking targets for gaupe, yew and wolf, while the target for bear was slightly changed. The size has also said that stocks should be managed as close to the stock targets as possible, which means that there is little room for action to deliberately increase or reduce stocks beyond the targets set. In view of the two-part objective of caring for both predatory and grazing animals, the stock targets for large predators are low in Norway, based on purely professional considerations. The targets set by the Storting through the 2004 and 2011 wild game comparisons leave the largest predators at risk on the Norwegian red list for species. The size has also chosen to assess the viability of the population of predators, on the basis that we have common populations with our neighbouring countries. I think that makes sense. In the case of wolves, I have informed Stortinget that during the course of the year the government will present in an appropriate manner a case on new stocking targets for the wolf and the wolf zone. The status of the wolf on the red list will be an important part of the knowledge base we include in the evaluation of a future wolf management. Like the representative Hansson, I have seen that gaupe in the Art Database's preliminary Red List assessments are considered more threatened than in the previous Red List in 2010. The main reason for this is the negative population development in Sweden. The Norwegian population is now well below the target population of 65-year-old-born young coal of gaupe. In line with the prey agreement, the stock shall be as close to the stock target as possible. That means that when we're above the target, the population has to fall, and when we're below the target, the population has to rise. When we get new stocks of gloat from Rovdata in the middle of May, I'll assess whether there's a need to look at the size of the hunting quotas. In that case, I will ask the authorities to follow up on this.
ParlaMint-NO_2015-04-29.ana.ud2589e987	I then have to interpret the Council of State's response to that, that if she is confirmed that the population of gaupes is well below the adopted population, she must ask for the quota to be reduced. It is important to note that the hunting quotas for gaupe in the last few years have been at about the same level as they were under the eradication attempt on gaupe in the 1800s. I would like a confirmation that the Council of State will go in to increase the gloat population if the number is now below the agreed level. So I want to hear the political opinion of the Council of State on the second question: is it right, in the opinion of the Council of State – not just in the opinion of the Storting – to manage the wolf in Norway on the brink of extinction?
ParlaMint-NO_2015-04-29.ana.ud2589e994	I think it's important for any government council to deal with what the Storting decides. The size of the game has been quite clear in its decisions about the game of robbers. That's what's governing what the government and the state council are following up. When it comes to the question of gauze, I referred in my article what the predatory game agreement has set out on stock goals, and it is important that we are as close to that stock goal as possible. If it turns out – as it may seem when we see the figures in May – that we are under pressure, I will consider asking the administration in the predatory game field to take account of Gaupa’s population development in future decisions and to deal with it. Once the Storting has adopted clear stocking targets, it has to go both ways.
ParlaMint-NO_2015-04-29.ana.ud2589e1001	I am fully aware of what the Storting has decided on stock targets. I asked if Norway's leading environmental policy-makers have their own opinion on the wolf population in Norway, i.e. a population that, according to the Art Database, is critically threatened by extinction, or – in good Norwegian – on the brink of extinction. So I repeat the question, does the Council of State have its own opinion on whether this is a reasonable situation? A follow-up question: Will the Council of State do the same as Minister for the Environment Åsa Romson of the Greens in Sweden has asked the Swedish Environmental Protection Agency to investigate how many wolves we need in Norway in order to avoid the threat of extinction?
ParlaMint-NO_2015-04-29.ana.ud2589e1006	This Council of State is concerned that both the Council of State and the Government deal with what the Storting decides. We're preparing these things, basing our knowledge on the Art Database, but we know that the rapprochement is so governing what stock objectives we're going to have for the wolf, gloat, yerv and bear in Norway, that it's up to this Council of State to pursue a policy in line with what the Storting has adopted. That means that the Stortinget has put so clear a lead that we in this country should have both grazing animals and we should have large predators. It's going to follow up on this state council too.
ParlaMint-NO_2015-04-29.ana.ud2589e1015	‘TV 2 news reported a few weeks ago on users in Oslo with a need for a social alarm, who did not receive this due to payment remarks. This can have very serious consequences for those affected. How can the Council of States ensure that payment statements or similar non-health-related conditions do not prevent the possibility of a social alarm if necessary?’
ParlaMint-NO_2015-04-29.ana.ud2589e1022	The Health and Welfare Act obliges the municipality to ensure that persons staying in the municipality are provided with the necessary health and care services. The provision corresponds to the corresponding right under the Patient and User Rights Act. This means that everyone has the right to adequate and sound services from the municipality, regardless of their own economy and regardless of any payment remarks. Social alarm is initially not a statutory service, but may be very important to the user. The provision of a social alarm will often take the form of compensation for other statutory services, such as: as a substitute for the necessary inspection visit by the user living at home. In such cases, a social alarm could be a prerequisite for the user to remain at home. When the municipality chooses to use different technological solutions, including a social alarm, to fulfil its legal responsibility towards the user, it is the responsibility of the municipality to ensure that the scheme actually works. When a social alarm is connected to a telephone subscription that the user cannot receive due to payment remarks, the municipality must either guarantee the subscription costs, find other technical solutions or grant other types of services to the user, so that the municipality fulfils its responsibility towards the user. As long as the social alarm is not working, the municipality does not fulfil its statutory responsibility either. I believe that the rule of law and liability are very clear, and I think the municipality also acknowledges this. If the municipality does not take this responsibility seriously, it is a matter which undoubtedly belongs to the County Authority.
ParlaMint-NO_2015-04-29.ana.ud2589e1031	I am pleased with the clear and clear answers of the Council of State, and I believe that other municipalities should take those signals with them. I am nevertheless a little concerned that such things can happen, and I am concerned about the internal control that even in Norway's largest municipality seems to fail here. What does the Council of State think about the local authority's own quality assurance in these areas? How can it get better?
ParlaMint-NO_2015-04-29.ana.ud2589e1036	I do not have information that would indicate that this is a common problem. In this case, we have received information from the Municipality of Oslo that the user was given an Internet-based security line solution during half a day and a half, and this has happened without TV 2. This problem can also be solved in other contexts simply by the fact that it is Nav who orders the telephone subscription and guarantees this. The problem here was related to the transition to digital security alarms, but it was easy to solve. In the case of social alarms in the municipality of Oslo, the user surveys show that 95 pst. is well satisfied or satisfied with the service. There were 100,000 calls last year and 15,000 phone calls, but one has usually been in the last few years, and it has been stable, getting no more than one written complaint to this system.
ParlaMint-NO_2015-04-29.ana.ud2589e1043	There is no doubt that we have a good health service in this country, both in the municipalities and in the specialist health service. We agree on that, but it's in everyone's interest to try to do it even better and avoid such things happening in the future, and that it's the best game of chance and not the technical solutions that are crucial to whether individual users get the offer they're going to have. I interpret the Council of State to that it should focus on the future, and that the municipalities must have good practice, so that this does not happen in the future.
ParlaMint-NO_2015-04-29.ana.ud2589e1048	It is quite right that municipalities have a responsibility to have good quality assurance of their services. Then we'll probably see a greater transition to digital solutions in this area, which also provides a different operational security.
ParlaMint-NO_2015-04-29.ana.ud2589e1057	«Report. St. 29 Tomorrow's care will notify you of a launch of a program of active touching policies. [[2012-2013]] One measure was to improve the care pay system. In the NRK on 22 April 2015, it was told of a woman who lost a care allowance when she was in acute illness, at the same time she was not entitled to sick pay. The care arrangements need to be strengthened, and relatives must be entitled to relief and training. Will the Council of State urgently submit proposals to the Stortinget for strengthening the care pay system?’
ParlaMint-NO_2015-04-29.ana.ud2589e1064	Family members who care for their children, spouses or parents are an important resource both for their immediate family and for society. Family members provide care of a scale that is close to the level of public care. This effort needs to be recognised and valued, and better interaction between health and care services and relatives needs to be facilitated. Long-term and comprehensive care efforts may have a negative impact on the health of the dependant and the possibility of professional participation. A forward-looking policy of relatives shall contribute to the appreciation of the efforts of their relatives and, at the same time, shall prevent them from suffering health or economic difficulties as a result of the care they have undertaken. This government will develop measures that contribute to the ability of those with extensive care tasks to care for personal and social needs and to participate in working and social life. As the representative Toppe is familiar with, there is work going on to ensure better support for relatives. In this particular programme, there are a number of measures related to flexible relief schemes, related support, information, training and guidance — measures to improve the interaction between health and care services and its relatives. It is important that care pay is seen in the context of and is an integral part of the overall service provision in order to ensure flexibility for the relatives. The government will reform the care pay and care systems for parents with sick and disabled children as a follow-up to the Kaasa Committee’s decision-making. We will return to Stortinget in an appropriate way in this matter.
ParlaMint-NO_2015-04-29.ana.ud2589e1075	It was determined by the Storting during the reporting process. St. 29 for 2012–2013, Tomorrow’s Care, that it should be a programme for an active and forward-looking related policy that would apply from 2014 to 2020, and that the first phase would be for flexible download arrangements, relatives’ support, better interaction, cooperation, etc., and that the next phase of the programme would address the issue of changes in the financial compensation arrangements. I think it's urgent to look at the financial arrangements to strengthen the care pay system. I would like to ask the Council of State what time this will come to Stortinget, and whether he thinks it's okay that one with care pay is not entitled to sick pay and misses the offer today when one becomes acutely ill.
ParlaMint-NO_2015-04-29.ana.ud2589e1082	Both the Ministry of Health and Welfare and the Ministry of Labour and Social Affairs, which are responsible for these different arrangements, are working on the follow-up to the Kaasa Committee now, and we will return to the Stortinget with our proposals for this in an appropriate way.
ParlaMint-NO_2015-04-29.ana.ud2589e1087	I asked if the Council of State could say anything about the time he came back to the Storting with the financial arrangements. The opposition was very impatient in the previous period, considering that one should look at both the care allowance and the care allowance, and wished that one could be more clear about the time involved. I also have a question about the situation of this with download sites, which the Council of State was in. How does it work in municipalities today, and will the Stortinge get a status report on this program that contains a lot of important actions?
ParlaMint-NO_2015-04-29.ana.ud2589e1094	The program is in progress, and we'll follow it up. With regard to the question of time, I cannot – and do not want to – answer it today. It is absolutely right that the opposition and both the Right and the Advance Party, but also our cooperation parties, the Christian People's Party and the Left, are impatient to follow up and look at the recommendations of the Kaasa Committee and to make the necessary changes and improvements in these arrangements. We're now working very intensively on that precisely because we're impatient, but I'm not going to come up with a timetable for this today.
ParlaMint-NO_2015-04-29.ana.ud2589e1105	The question is: ‘In the budgetary position for 2015, the majority agreed that Home Security plays an important role in the country’s overall preparedness and that the forces of intervention are the most operational part of Home Security. The sharpest part of the effort force, HV-016, of the HV-016, was closed in December 2010. In that budget setting, the size requested the recruitment of the staff of these departments. What is the status of the work on such re-recruitment to a high-operational unit with capacity equivalent to HV-016?’»
ParlaMint-NO_2015-04-29.ana.ud2589e1114	I would like to thank the representative, Mr Elvesuen, for a good question. He refers to the majority's desire in the budgetary position to further strengthen the strengths of the effort. In particular, the government has done so by strengthening the training of selected forces in the forces of effort. There we have spent extra money, and it has been important to be able to practice and train more. In itself, there's a recruiting action, that it's being practiced and trained, so that the soldiers are well equipped for the tasks. The size asks the government to consider how best to recruit, retain and recruit personnel with a particularly high level of competence for the area structure and for the HV response forces, including personnel from the formerly closed 016 departments. As of today, between 95 and 100 pst. In general, Home Security reports that it is good recruitment to the effort forces. Then we should also have thought that, in line with the current long-term plan of defence, the forces of intervention should be reduced from a cap of 5,000 to 3,000, but that means that we reach about the number that it has been over time, that is, approximately. 3 000 in the input strengths. We have some challenges with recruiting for the Sjöheimeverterung, also informs the Home Office. In order to ensure that as many as possible will continue in the forces of effort, the Inspector-General of the Home Protection Agency decided to keep the personnel from 016 in each of its troops at the five affected districts. So you set up your own troops. The Home Protection Agency has previously informed that approx. 35 pst. by HV-016 soldiers chose to continue in the input forces. Since 2011, there has been some departure, especially because of the age and contracts that expire, but that's what you have calculated is going to happen. It is also important to stress that the HV leaders were very concerned about maintaining the skills that the former HV-016 soldiers represented. This means that of those who for different reasons did not join the effort forces, many joined the area structure — approximately. 139 soldiers – and that has been a very positive thing for the territorial structure both in terms of competence and, of course, also in terms of the knowledge and skills that the soldiers possess. We are following developments closely, given how many are left in both the effort and otherwise, and it turns out that since 2011, it seems that the figure has been somewhat stable – i.e. at about a point in time. 50 soldiers from HV-016 into the forces of effort. I just want to stress again that personnel with a background from HV-016 have both been and are very welcome to serve in the Defence, serve in the Home Guard intervention forces or in the area structure, as long as they meet the requirements for service. I think that is important in order to take advantage of the competence that remains in the personnel who are part of the defence.
ParlaMint-NO_2015-04-29.ana.ud2589e1131	I thank you for your answer. It is good that you have an offer for those who have been in HV-016 to join the effort force. But the point here is that HV-016 was a high-capacity unit, approximately. 300 people, with a very short standby period compared to when you could shop, and also with a comprehensive exercise schedule. Then my question becomes: The position that the intervention force has today, is there an offer at the same level, with the same capacity and the amount of training that you had in HV-016? Or is this a capacity that has now been lost?
ParlaMint-NO_2015-04-29.ana.ud2589e1138	I also think that the representative refers to the possibility of assisting the police in terrorist situations. There's been a defense role if the police ask for it. In the five selected troops that we have put on extra training, there is today practice and training up to 30 days, and it is an important resource for the police. There is a rise from approx. 20 days, so it's a pretty significant reinforcement. In addition, we have also done other things to improve our assistance to the police from the Defence Department. Among other things, we have reduced the response time for helicopters on Rygge and Bardufoss from 2 hours to 1 hour in order to be able to assist further. So I also think it is important to stress that the head of defence, when he now sees the whole structure of the Defence Council, is asked to look at this both as the Home Office in isolation and how we can assist the police in a good way in the situations where required.
ParlaMint-NO_2015-04-29.ana.ud2589e1147	It is good that it is also seen in full in relation to the defence manager. But we live in a very uncertain world, with both unconventional warfare and hybrid warfare, and it is important in an uncertain world that we also have a response time and with a certain capacity and size that is relevant to the threat picture you can face. HV-016 was such a force, with 300 people, of which 70 pst. be able to stand for at least less than four hours. The question is: does the Council of State need us to have a corresponding capacity with the training basis and also the response time that HV-016 had in the past?
ParlaMint-NO_2015-04-29.ana.ud2589e1152	We've also explicitly asked the Chief of Defense for advice on this from something in the past. The Defence Manager is quite clear that it is not an unmet military need at present that cannot be met by intervention forces along with other capacities. What is typically happening in terrorist situations is calling for helicopter resources from the Defense and sometimes also special forces, to some extent home security and other capabilities that are needed. But when that's said, the head of defense and I have had a dialogue that this is natural to look at in a whole, precisely because, as the representative says, it's troubled times, and we have to keep up with it. I think in many of these areas we have good and strengthened preparedness compared to what we had in the past, but we can always get better. This is then one of the elements of that assessment.
ParlaMint-NO_2015-04-29.ana.ud2589e1161	This question, from the representative of Torgair Knag Fylkesnes to the Minister of Knowledge, will be raised by the representative of Siv Elin Hansen.
ParlaMint-NO_2015-04-29.ana.ud2589e1164	‘The Data Protection Authority has examined the PALS in single schools and strongly criticises, inter alia: the data security, registration practices and that parents have not been asked for authorisation for the use of child-sensitive personal data. Does the State Council share the criticism of the Data Protection Authority, and what does the State Council intend to do to ensure the protection of privacy in this matter?’
ParlaMint-NO_2015-04-29.ana.ud2589e1171	I would first like to thank the representative for raising this question. Privacy is an important issue, and although it does not always get so much attention, it is precisely the privacy of the small situations, i.e. everyday privacy, which may constitute the most important barrier to its effusion. PALS, positive behaviour, supportive learning environment and interaction are a Norwegian adaptation of a model developed, among others. at the University of Oregon in the United States. The model is thus adapted to the Norwegian situation of the Behaviour Centre – the Norwegian Centre for the Study of Problem Behaviour and Innovative Practice AS. According to a 2010 NIFU mapping, 7 pst reported. from primary school principals that they had used the PALS programme in the last four years. I do not know that the Data Protection Authority has specifically examined the PALS in single schools, but in 2013 and 2014 they have looked into the training sector and the privacy situation in the training sector, and there have also been some challenges that can be linked to the PALS. Among the challenges that arose were: that there was uncertainty about what personal data is, that there was a lack of internal control in many places, that there could be a lack of information security, a lack of information flow and the sharing of personal data with third parties, that there were suppliers of products that set standards for privacy and that there could be inadequate communication between school and home, to mention some of the points. Then it is important to stress that it is school owners, i.e. municipalities and county councils, who have the primary responsibility for their institutions handling privacy rules in a good enough way. The Data Protection Authority considered that a combined and coordinated approach should be taken across the sector, thus agreeing on a consistent practice that at least met the minimum requirements under the legislation. Already today, the Directorate of Education and the Centres for ICT in education have developed several privacy counsellors, including: a website called privacy school.no. This website shall help parents, students, teachers, school managers and school owners to understand the Personal Information Act and the corresponding Regulation. Nevertheless, I believe that there is reason to consider whether we should make further changes to the guidance and whether the privacy of the school needs to be further enhanced. I will therefore look into whether such changes are needed and whether they can contribute to a better understanding and enforcement of data protection legislation locally.
ParlaMint-NO_2015-04-29.ana.ud2589e1188	I would like to thank the Council of State for the answer. It was reassuring to hear that he is working on the privacy issue, and that he will also continue to work on it in the future. The PALS is designed on the basis of a scheme designed for people with major behavioural problems. What are the thoughts of the Council of State that this system is in use throughout the school population in over 200 schools in Norway today?
ParlaMint-NO_2015-04-29.ana.ud2589e1195	I think it's important to separate two things. One is what personal thoughts I can have about both systems, educational arrangements, teaching methods and – in this case – what might be called behavioral programmes, order programmes or, for that matter, anti- bullying programmes, and what I think should be the starting point for politics. I believe that the starting point of the policy should be a great confidence that municipalities, schools and educators themselves are able to choose the tools they think are sensible to use in their school. I think that's a good starting point. Then it's a minimum that you follow the rules that are too for example. the management of personal data. It's absolutely crucial. It is also worth mentioning that it is not that we in the Ministry of Knowledge – at least not in the case of the PALS – demand or encourage schools to implement the specific programme. On the bullying program page, however, we have supported a selection of programs, but there is a slightly different discussion.
ParlaMint-NO_2015-04-29.ana.ud2589e1202	The behavior centre designer, seller and researcher in this system, which includes PALS and SWIS. What kind of thoughts does the Council of State make of such an overall arrangement and ownership? Does the Council of State see any problem related to this, among other things, in research?
ParlaMint-NO_2015-04-29.ana.ud2589e1207	It is certainly possible to imagine some issues that may arise. On the other hand, we want institutions, universities and universities as well as other parts of our knowledge infrastructure to also use the research results they come up with. In other words, I think it is generally positive that concrete programmes and practices can also be developed in the sector. As I said, it is certainly possible to imagine some issues around it. I have not been made aware of any issues related to the Behavioural Centre in concrete terms, but if there is any information about it, or if it is problematic in any way, one must, of course, look at it. Some clearer answers to a slightly unclear question I do not have now.
ParlaMint-NO_2015-04-29.ana.ud2589e1212	That being the case, it is no. 2 ended.
ParlaMint-NO_2015-04-29.ana.ud2589e1225	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? − The meeting is abrogated.
