ParlaMint-NO_2015-10-06.ana.ud1650e15	The representative, Jenny Klinge, will put forward a proposal for a representative.
ParlaMint-NO_2015-10-06.ana.ud1650e692	It is positive that the Prime Minister encourages participation in the efforts needed to meet people in a dignified manner. It is particularly positive after an election campaign that has appeared as a pure parade march in small measure by the Progress Party. We've seen a party that has developed artificial contradictions, and has asked questions about helping our own elders or strangers. Noise has never been in the way of a good old age policy, but silence can stand in the way of a warmer society, especially when the contradictions that are drawn up are both dangerous and wrong. Although the Prime Minister was silent in his speech about the duality of the Advancement Party, many common people have raised themselves and their voices and distributed food and engaged themselves by collecting money and trying to find solutions to, for example, the problem. housing when politicians are stuck. The good spirit lives among people, who have never bought the picture that you have to starve your mother to feed a foreign brother. Because people have seen that image is fake. SV has gone to the elections to ask people to take the fight for a warmer society, for elderly care, school and environment, and at the same time to open up their communities to people on the run. I also have to comment on some articles about the great inheritance, about the inheritance from the red-green ones. For what was it really? Well, it was a Norway where the differences fell for the first time in 25 years, while the differences hit speed elsewhere in Europe. It was Norway as a model in gender equality policy, one of the world's best countries to live in and be a mother in. And it was a Norway with a youth unemployment that was one of the lowest in the world. In such a perspective, it's interesting to hear shellfish words about the red-green heritage, while another legacy is being petrified, and the differences are increasing: if you're rich, yes, you're going to be richer. I am not impressed by today's government's efforts in the serious situation that many people in our country experience. Getting hold of thumbnails of solutions that both red-green parties, LO and NHO promoted last year, is not being in the forefront. That's why I say: Be so good, we have more than better solutions for succession schemes that can be inherited, and I promise that it is completely free of charge!
ParlaMint-NO_2015-10-06.ana.ud1650e703	After following this debate, I have to say that I hear a working party trying to draw a picture that the idea of conversion was created by them, it has always been carried out by them, and it is those who have the right answers also for the current conversion. But what is the content of this story? Well, it's that the transition Norway is facing needs one thing in particular: a better law on permitting. I agree that what was done in the revised budget on legislation was correct and necessary. But is the answer to the situation we're in, always going to be a larger extension of the permitting code? Now, if we were to give people who lose their jobs in the oil industry the opportunity to go on leave for a year, is the next natural step then two years? But the Workers' Party is at least recognizable. As a rule, they are more concerned with areas of action than with jobs. While government party representatives have used this debate to make what is done to create and secure jobs visible, the Workers' Party uses its time to talk about a law on permitting. The representative Gahr Støre used two of his lines on the Prime Minister today to talk about it – not one word about measures to create and secure jobs. I can only interpret it as that the Labour Party fully agrees with all our actions here, so I look forward to boasting about this when the budget comes tomorrow. The representative Gahr Støre also said today, early in the Political Quarter, that we should not combine what is happening in the oil industry with the debate on conversion. I partly agree with that. But there is a very separate transition debate going on in the oil industry. It is about cost reductions, efficiency improvement and standardisation. Everyone agrees that the level of costs in the industry must be reduced. The industry must work more efficiently. But can it not also mean that there must be fewer working there? Cost level is also about the number of people employed. If the industry is to work smarter, it has to deal with fewer people in the future. Why, then, does the Labour Party think that the right answer now is to lock up labour in a industry that strictly enough would not have room for as many people as before? Is it not more reasonable to use free hands for other unresolved tasks? I believe the representative Gahr Støre's attitude to wait and see and hope for better times is incredibly passive. We're not going to change away from the oil industry, but we have to realize that it has to work less here in the future to ensure its sustainability. The responsibility to do so is to ensure a good transfer of skills to other industries, to facilitate the creation of new jobs and to ensure that those who have lost their jobs have another safe job to do in the future. Everything else is irresponsible.
ParlaMint-NO_2015-10-06.ana.ud1650e718	It was great to hear the Prime Minister today. She reminded us that this year it was 50 years since the oil age really started in Norway. The first announcement on the socket occurred in 1965, and history from now on to now is history of how our welfare society was built, and what wealth it has given us. We have to take into account the fact that innovative enterprises, through their competence, have both a maritime industry and an oil industry in the future towards more efficient extraction and operation. They've developed new technology. Norwegian-based maritime and oil service companies are among the world leaders in their field, and bidegreg to the highest degree to the green shift. This shows that Norwegian competence is very competitive in the oil and maritime industries. But the oil price has fallen dramatically. It reminds us that this is a cyclical industry, and it will take a long time for solutions other than oil to be competitive as raw materials. Despite the low oil price, several fields will be added to the Norwegian base in the years to come, and one expects that production will stay at the current level for many years to come. Of course, for the oil companies it is very important to equip themselves for a low oil price, and it must also be done by the Norwegian economy. Right went to elections in 2013 to strengthen Norwegian competitiveness. It is important that the mainland industry in Norway also asserts itself internationally. We need more bones to stand on when oil production falls into the future. The first budget presented by the government, in 2014, was characterised by a number of good measures to strengthen Norwegian competitiveness. This is the Norwegian business force that wants a lot more of today. What politicians can best contribute is an internationally good competitive environment for our industries. Maritime nutrition along the coast has so rusted the government for her maritime strategy. Feedback is very good, and the best thing we can do is to realize the strategy and the government platform. But as we have heard from several people here – the conversion has its price. What we experience is painful for those who lose their work, and we notice it very well in the West. But fortunately, we have very good public schemes to help the individual in a transitional phase. These arrangements have also strengthened the government. Enterprises have also been stimulated and the rate of additional labour market measures has been increased. But we should also have removed the property tax. Before the end of the year, 100 offshore ships are in operation. Many have lost their jobs, fleets have no job, boats have no income, and there are large storage costs. The renters have to pay taxes on wealth. This cannot go into length. Still talking to the Labour Party that the wealth tax is tax-free for the rich. They should definitely understand better. During the debate on the throne, there have been many speeches here, especially by the Workers' Party, which present policies that actually triggered the necessary change. One example of this is the debate that we also heard from the representative Tina Bru on the legislation on permitting. Postponing this conversion is not what Norway needs.
ParlaMint-NO_2015-10-06.ana.ud1650e733	Instead of arming the community against the future, this government's greatest investment has been huge tax cuts for the richest. We also see a government that is a little responsive to the needs of people around the country. We see a government that is more concerned with business neutrality than with pursuing an active industrial policy. We see a government running a policy that promotes strong privatisation and centralisation – at all, a government that takes Norway in the wrong direction. Many around the whole country are concerned with the national health and health plans announced in the autumn. I hope that when it is presented, it will help to create security around the country, and that it does not add up to a large-scale centralisation of emergency preparedness. The Workers' Party has made a significant contribution to the local economy in its alternative budgets. It is absolutely necessary means if we are to lift school, care for the elderly, climate, etc. We see a government that is not willing to compensate for the large tax failure experienced by the municipalities. In the summer we also experienced very strong reactions when the government sent out its proposal for the removal of property taxes on works and uses. Whether or not some regulatory adjustments may be needed can certainly be discussed, but this proposal involves a strong transfer of funds from municipalities to the State. Around 150 municipalities have protested strongly in their hearing opinions. I am pleased that the Christian People's Party and the Left have indicated that they do not support the government, and I expect that the government does not promote this proposal. We see a strong increase in unemployment, especially in South and Western countries. The Labour Party package before the elections meets our challenges well in the region. The Node cluster has been a success. I am also pleased that the government finally came after us and allocated funds to the Mechatronic Innovation Lab, and I expect further follow-up. Another measure that the Workers' Party has taken, and which Node is committed to bringing up the activity, is the maintenance of wells in the North Sea. A commitment to green data centres will provide many jobs. It is important to establish an agreement with Statnett as soon as possible, so that fibre is added to the current cable that is now to be placed between Norway and Germany, which can otherwise save between 60 and 70 pst. Here, according to my view, the government has spent a long enough time, and the time is about to run away from us. Immediate action by the Council of State is required.
ParlaMint-NO_2015-10-06.ana.ud1650e750	In the debate, several of the representatives spoke about Norway’s need for more legs. It also agrees with the Right, and we show that through a policy that stimulates increased activity in different fields, a policy that solves important tasks today and that equips Norway for the future. Oil and gas are the main industries of the Norwegian economy, but most workers do not work directly in this sector. Most in private jobs in small and medium-sized enterprises of different sizes and with different things. We often talk about finding out what Norway is going to do after the oil. I don't think it's going to be one thing, but many things, and one of these is going to be the creative industries. If you are an artist, an artist, an artist, a script writer or an actor, you are, with a few exceptions, usually your own employer. The ringing and value creation of cultural industries has not been particularly high on the agenda until recently. The music cardist or scriptwriter is not just himself, they have a number of other people and companies to make their final product. The creative industries consist of many small enterprises and individual enterprises, which together constitute a growing industry in Norway. It is therefore gratifying that the government, through its policy, facilitates these. Simplifications for enterprises are also important for the cultural industry. It is also the founding policy of the government. In addition, for example: Innovation Norway some business courses specifically aimed at the cultural industry. This is very good. In addition, the government has announced the introduction of a new incentive scheme for foreign films. This scheme will give Norway a competitive advantage in line with what many other countries already have, namely that part of the VAT is refunded. For local film workers in North Norway and the West, it will be more business to participate in it, and local businesses and tourism will notice this on hotel nights, travel internally in Norway, etc. In addition, the final product will be good advertising for Norway and another good for an industry in Norway that also has a greater potential, namely the tourism industry. As you know, Norway won't be the cheapest, but we can be the best. For the creative industries, too, we need to ensure that we make sure that it is attractive to establish ourselves in Norway because Norway needs more legs to stand on, and this could be one of them.
ParlaMint-NO_2015-10-06.ana.ud1650e761	In the autumn, the government will present a national health and hospital plan, in a situation where Norwegian hospitals have an average occupancy rate that is among the highest in OECD countries, and where only Israel and Turkey have a shorter lay time than us. In fact, Norwegian hospitals have too few beds for too many patients. Corridor Asians have been a common phenomenon, a serious threat to patient safety. The average occupation in Norwegian hospitals is currently 93 pst. There are eight percentage points above the internationally recommended limit for defence at 85 pst. High coating rates lead to reduced quality and care and increased risk. A large German study recently concluded that an over 92.5 occupancy rate significantly increases mortality among patients and increases disease among those added. The central party thinks that we have to introduce a ‘responsibility ceiling’ in Norway on 85 pst. coatings in ordinary hospital operations, as England has done. But both the government party and the Labour Party have publicly opposed this. It's alarming. In reply to questions from Stortinget, the Minister of Health has stated that all new hospitals in Health South-East, such as a new hospital in Drammen and a new hospital in Gaustad, are now planned for an occupancy rate of 90, which is far beyond the limits of what is justified. How can they defend this? The administration opens up to centralize all patient treatment requiring emergency surgery. The problem is that the government has not explained where these patients are then to be treated – in overcrowded hospitals in the big cities with a patient-hazarding occupancy rate? We need all the hospitals and local hospitals we have in Norway. We need to strengthen our capacity and quality not only in local hospitals, but also in the larger hospitals. We don't need privatisation and free treatment options, we need a political effort to get the public hospitals back on foot and an acceptance that we have a population structure and a construction pattern in Norway that requires a decentralised hospital supply that includes surgeons in emergency clinics. Sickhouse is a policy. The centre party invites a broad cooperation across the whole opposition on a quality model that prevents the government from centralising its health care system, where we are absolutely clear that Norwegian hospitals must be governed democratically, based on cooperation rather than on competition between hospitals and, of course, have a non-directly patient-hazardful coverage rate.
ParlaMint-NO_2015-10-06.ana.ud1650e778	Those who arrived in time yesterday got the article from the labor party leader, where he pointed out that the government of Solberg in the two years they've been running, hasn't led a policy that answers the challenges we're facing in society. Instead of equipping the community for the future, the biggest bet of the government has our tax cuts. This is money that could be spent on more teachers, more added to the care of the elderly, and help to those who need it the most. There's a wait-and-see attitude with the country's prime minister, while we need a government that understands and acts. Right has our passive, and the government has been behind a lot of things. I would like to mention the following in flong: permitting legislation, action sites. The government hesitated to send a too weak package to youth resolution. The initial wager does not appear, but a plan arrives in the autumn. Missing efforts towards nutrients such as wear and tear, and a long-term climate-friendly transition are completely lacking, as well as tax failures in municipalities. And then I'm pretty excited that the government says that the Stoltenberg government didn't start work on the conversion. This is completely wrong. One of the main dimensions of Message. St. 39 for 2012–2013, Variety of winners, as we presented in the spring of 2013, were just about transition in business. This message rejected the Solberg scheme to handle. So she didn't come up in Stortinget. Now it's been two years, and the pipe's got a different sound. The working party has spent these two years on both an agricultural platform, a fishing platform and a report on the possibilities of conversion – to name a few – and there will also be work on an industrial strategy. The Prime Minister refers to the changes in the law of leave as locking up the labour force. It is frightening that Norway should have a prime minister who does not take seriously and sees the value of conversion and rescuing internally in the companies. We in the Workers' Party believe that it is those added that are the most important capital of the enterprise, even outside the parties.
ParlaMint-NO_2015-10-06.ana.ud1650e793	In this debate, part of the representatives of the Right and the Progressive Party have punished the Centre for opposing centralising reforms. They believe that we do not have our own alternatives and that we are against everything, especially the centralisation reforms proposed by the government. When you stand in the middle of such debates, one sometimes gets a pretty surrealistic feeling, and I got that today. Yesterday, the Directorate of Police presented its recommendation and position on the centralisation of police and emergency services, and today the regional newspapers are many places a rather strange reading. In several counties, the biggest representatives who voted in favour of this centralisation go out and say that they should fight against the recommendation from the directorate. So they're going to act like lobbyists to a directorate about a decision they could make here in the Storting, but they've written off what they have open eyes to make. Because it is not a law of nature that the future organisation of police masters' offices is to be taken up in the Police Directorate. Until now, municipalities have both had the right to object to the closure of the Länsmannskontoret, and they have had to go to the Council of State to make changes in the structure. And with open eyes, the majority of people in our population have centralised and reduced the number of police districts from 27 to 12, but it has also simply abandoned the possibility of ruling over where these main seats of the police officers are going to be. This also applies to emergency centres, where they have said that co-location makes sense. When the proposal arrives, they will later become lobbyists. It's the same thing as not standing straight behind the decision that one actually was making, and the centralization that one has signed. It is a complete discharge from liability, from among others. The representatives Hoksrud, Rodum Agdestein and Vågslid. The centre party also wants changes in the police districts, but we want the so-called county model and believe it would be much more balanced. It's too far between Drammen and Kristiansand. It's too far from Bodø to Trondheim. We also believe that the Storting should take responsibility for the decision on where emergency centres and police officers should be located. That is why we have today put forward a proposal in Stortinget to give a new opportunity to do so, so that all those who are now concerned can have the opportunity to participate in a new assessment. There is reason to believe in what is now happening in the police: a strong centralisation, a lack of resources in the police districts, and so now we must also face a localization struggle, caused by the majority of the population of the sea and carried out by the same majority.
ParlaMint-NO_2015-10-06.ana.ud1650e806	Now, when we're in debate on the throne, we're halfway through the magnificence period. There have been significant changes. The Trontal uses the term ‘Norwegian model’, and in the past the Right has tried to give the impression that there is a common model that many in Norway have been behind and developed. Yes, Kåre Willoch still writes books about it in good conservative tradition. But the new thing is that with the entry of the Progress Party into the government we have got a government party whose party leader at his last national meeting before the election ten times attacked the Norwegian model in his lecture and said it stands in the way of the Norwegian people. That's politically interesting, because while the Right has previously held the role of brake block in developing what we know as the Norwegian model, the Progress Party has a clear liberalist political base. This has made us see a division that goes deep into the Right itself, because the Right has previously been held in the ears of the Centre Parties and the Conservative side of the Right has won. Now we see that the liberalist part of the Right has been supported by its colleague in government, and we see a completely different political direction. We see systematic attacks on the Norwegian model. We are looking at economic policy, where the new direction is less fragmentation, more oil money use, but less willingness to pay hard over the tax bill, and less distribution – which even the OECD says is that economic performance is poorer and more diverse among people. We're looking at it in collaboration with the parties, which is another carrier. We saw it in the context of the Working Environment Act, we have seen it in the context of the Permitting Rules, and we have seen it in the context of Sunday open shops – that the current government has no dialogue with the social partners and thus contributes to a positive development in society. We also see it on the third leg, which is the well-being, where, in last year's proposal for the state budget, we saw a significant cut in the benefits of those who have the least: cut in the child supplement for the disabled, 1 billion. ............................................................................................................................................................................................................................................................... The Norwegian model has served the Norwegian people well. It has won wonder and admiration in many other countries. It is now under direct attack by one of Europe's most liberal governments. It's not new ideas – it's old ideas, and it's not good solutions.
ParlaMint-NO_2015-10-06.ana.ud1650e819	In one of the previous speeches in the debate, I dared to miss the old Workers' Party, and it did not work out, among other things. Representative Myrli's house over. He made a visit to my old municipality of residence, South Odal, and wondered if it was the 67 percent that the Workers' Party achieved in the election the year I was born, or the 67 percent that the Workers' Party achieved in the election the first year that I had the right to vote, which I missed. I don't think I miss any of the parts. It'll probably do it instead of the Labour Party, because the numbers are a little bit different today. But at least I can tell that growing up with such numbers is a trace of inspiration and at least recruited me, even though entering the Right in the South Odal in the 1980s was the closest thing you could get to a youth uprising right there. In any case, what I miss – in order to clarify it – is the responsible Labour Party, which is not to reverse, and which is not to be heard, is to oppose the important reforms and matters with which we are now going to work together in the future. Because there is a loud protest against almost every reform and every little tab of Right Policy, even if one likes to accept it quietly at last. What it is all about is that we should come together to arm Norway for the future, and I miss the fact that the Workers' Party is more involved in it. What is also important to clean up, is the Haukeland Liadal representative’s statement on the state of the culture in Norway. A slightly sad image was painted with a sad voice about the cultural field as budget papers, and that it was less to culture, and the whole thing was crowned with that this was a wild loss. It's quite violent to say. For in the period 2013-2015 – when the current government managed the budget – the government budget has grown by 5.6 pst. In the same period, the budget for the cultural field has grown by 9.6 p.m. It may not be a ‘wild loss’, a ‘budget paper’ or a ‘minor to culture’. In addition, if you include the games, which also go to volunteering, culture and sport, the transfers from the public to the field have increased by almost 15 pst. So 2.6 times more than the general growth in the state budget. So we have good reason to be proud of the cultural budgets that the government has presented.
ParlaMint-NO_2015-10-06.ana.ud1650e830	I was not allowed to finish my previous post, so I continue where I left off. It was linked to the tendering of reintroduction companies in Norway by the Minister of Labour and Social Affairs. These are enterprises that have so-called organised offers linked to reintroduction, follow-up and sheltered measures. When more than 60 pst. of what is being done today in the country, is now lost to private, large-scale actors, with the justification that there is a desire for greater diversity in bidders, that is the very opposite. This is serious for the individual who has the organised offer, but also for communities that have small and large corner stone companies carrying out these tasks. There are serious effects of privatisation and outsourcing of key institutions and tasks that the blue-blue government is now carrying out, affecting vulnerable groups in our society, which are in stark contrast to what the government is saying and trying to give an impression of. Another vulnerable group affected by government policies are patients who need a good mental health service. We now see that St. Olav's hospital, among others. has proposed a reduction in the allocation of €3 million to the Orkdal District Psychiatric Centre. NOK, which means five bed places or four years' worth of work. It's about centralisation from the districts into the cities. We also see that it is proposed to close the emergency facility at Orkdal Hospital with the reason that it is more effective to add it to Trondheim – to St. Olav’s hospital. This, of course, affects those living around the districts, and the good health provision that is there, and not least all the good trade union workers working at the DPS, at hospitals and other health services in the region. At the election now in the 428 municipalities we saw that there was a clear red-green wind. It was a clear warning to the right that we do not want more centralization. We want more decentralization, where people live, and the problems have to be solved there. We, who belong to the non-conservative group here in Stortinget, want a fairer distribution that ensures good and safe welfare services across the country, and not a tax cuts policy that dismantles our country bit by bit.
ParlaMint-NO_2015-10-06.ana.ud1650e842	Those outside this house who have heard the debate, I think I'm left with a question after these two days here: How are we going to meet the transition – with better framework conditions for businesses, or with increased taxes for Norwegian owners, with creating new jobs, or as the Labour Party leader surprisingly said in Political Quarter this morning, waiting for maybe better times to come? If this is the response from the party leader of the Workers' Party – and the response from the Workers' Party – to the change we are facing, there is reason for concern, because the question is above all whether we should bet on jobs or action places. Are we going to meet the transition to reform, or, as the Labour Party wishes, turn the clock back and reverse the absolutely necessary reforms? Although the Workers' Party is trying to make history in a different way, the Right has long talked about the need for conversion. By 2015 at the latest, the Labour Party was most concerned with drawing a solar image of the Norwegian economy. There was no sign of concern that the unemployment rate could increase, on the contrary, the Labour Party was concerned about highlighting the low unemployment rate. Some people in this room believe that companies that make less money live well with paying more taxes. I do not agree with that. On the contrary, it has rarely been as important to lower taxes as it is now. We need to create new jobs, and they need to get into projects that can be realized quickly. For this reason, it is so important that the government pays attention to maintenance, especially in the transport sector. However, in the two package of measures that the Workers' Party has now presented, there is not one krona for the maintenance of transport – not one krona has been set aside by the Workers' Party for maintenance on transport, measures that we know will be involved in in the short term and create many jobs around the country. Of course, the budget is important, but it also depends on our success in making important changes to equip Norway for the future. Therefore, the government has amended the Working Environment Act, which is why we have established a railway reform. Then it's wrong, as we now go into it, to say that these reforms are going to be reversed. We can't wait for better times to come. We must be forward-looking, we must ensure offensive development of the country. Then we can't turn the clock back and reverse reforms and increase taxes for both people and business.
ParlaMint-NO_2015-10-06.ana.ud1650e853	This debate is approaching the end, and then it is reasonable to see what has been the hallmark during the discussion. I will go so far as to say that even tin soldiers set up in sequence and row will appear as more committed than the Right and the Progress Party's representatives have emerged as when they have defended the government's policy. These are representatives in the defence position. They say they're not in debt for the oil price drop, they're not in debt for the increasing unemployment. That's not what it's about. It's not about debt distribution, it's about taking responsibility. The fact that Norway today has the largest unemployment rate of over 20 years is on their guard. I repeat, it happens on their guard. It must be reasonable to expect more. The Prime Minister says they have a policy for conversion, but in reality they have a policy for increasing disparities. It was those who proposed changes in property taxes, a tax regime that led to 50 pst. The tax went to the 5 pst. The richest in the country. Independent experts believe that it is difficult to get into tax cuts that are less conducive to growth and more provocative to differences than the government has come with. They have a family policy that can in the long run help to make family life and work more difficult when they have proposed to increase cash support, when they have led a policy that can lead to higher child care prices. The sum of this draws in a direction that makes it harder to participate in the work of young children's parents. They have a policy of increasing social segregation when they want to increase the levels of private actors, especially in schools. These are not changes that will occur overnight and will change Norway overnight. What this is about is that their policies are drivers of increasing differences in Norway, not drivers of small differences. It weakens our ability to meet the demanding future that we are facing here. Leading experts, OECD, IMF, all point out that increasing inequality is potentially damaging to economic development and growth, and it also reduces the potential for conversion. Then it says to see if the budget will change on this tomorrow, whether it will equip us better for the future, or whether we will continue to bet on drivers for increased differences in Norway. This is ideological drive, it's not professionally supported, and it brings me to my last point, namely ideological legitimation. Because there is striking how elusive the Prime Minister is in the face of a quote from the Minister of Finance from the election campaign to sabotage the government's policy of settlement, because then the Prime Minister gives his legitimacy to the failure of the Progress Party to attempt to play on negative reactions to refugees. It's a legitimacy the prime minister shouldn't be comfortable giving.
ParlaMint-NO_2015-10-06.ana.ud1650e864	Since I became a big-time representative, I have learned the importance of explanation of vote. After reading the speech of the throne, I believe that I need some explanations of reading. The government writes that our welfare society is built up by work – working over generations. I fully agree with that. The fact that people are at work is also essential to the self-esteem of individuals. Knowing that you actually mean something, that you contribute to the community, gives people a good feeling, that in turn gives you the desire and desire to contribute even more. There is now a need for explanations of reading, for how has the government shown workers that they value their work? The Prime Minister said today in his speech that tax is important. I agree with her. The government writes in the Common Era that the tax system should be structured in such a way that it contributes more to growth and value creation. That sounds promising. The working party will contribute to it in a known style. But what has the government done so far? Well, they've spent the big money on tax reliefs that have largely ended up in a few neighborhoods in Asker and Bærum. Ordinary workers have received a few dollars in tax reliefs. And raise your hands on those who believe that ordinary workers will want to give something extra when they see what the government of those degrees prioritizes. Where did the significance of work come from? I have been so lucky that I have been involved in building up a business from the ground up. And yes, there's a lot that's going to flap to succeed with a business start-up. But I dare say that a key factor is that you have the workforce involved, that everyone who works in the company feels that they matter, and without them there is actually no business. The same applies to the nation of Norway. If we're to succeed in conversion, and if we're to succeed in building tomorrow's societies, we also have to help workers feel that they're just as valuable as those with big fortunes. Unfortunately, the government's tax policy has not given them that feeling so far.
ParlaMint-NO_2015-10-06.ana.ud1650e875	It is always interesting to listen when socialist colleagues here in Stortinget talk about competitive outsourcing and privatisation in the care of the elderly. It may seem to me that red-green politicians are so afraid of a diversity in our municipal services that they don't even know the difference between the concepts. Privatisation is when you pay for a service yourself, outsourcing is when the public pays for the service received by the user. I'm not afraid of competitive outsourcing, but I'm terribly afraid of the great, unfortunate variations in quality that we have in Norwegian care for the elderly. That is why I am pleased – and it is popular to talk about ‘on our watch’, as a nurse, I can say – that on our watch we have a government that is concerned with measuring quality, which is concerned with building competence in this care. In the case of differences in quality, the distinction between non-profit-making or private-run nursing homes and public-run municipal nursing homes is certainly not followed. Therefore, the example of Torgeir Knag Fylkesnes yesterday on dementia care in Finnmark may be important in a debate on quality, but it is a completely flawed diagnosis to believe that the quality challenges of elderly care in Norway are about who provides the service. Knag Fylkesnes’ party leader, Audun Lysbakken, and I visited the Mangler Out Home together with the Health Committee this winter, a nursing home run by private on contract with the Municipality of Oslo. It was a fantastic meeting with management and employees, who dedicated driving dementia care with one goal in mind, to create a good, meaningful everyday life for sick patients with severe dementia diagnoses. And Oslo measures quality. Since 2010, ideal and private scores have been about the same in quality as measured against the quality objectives developed and used by the Municipality of Oslo for its nursing homes. Privates scored about as well on quality as the ideals, which have much higher operating costs, and significantly better than the municipal ones, which also have higher operating costs than the private ones. So the debate on the diversity of care for the elderly reminds me of the ideological struggles about diversity that I was involved in the local government when I became a baby's mother for the first time in the late 1980s. I envy toddlers the freedom of choice and the diversity they have today. They can choose between an innumerable kindergarten with a pedagogically driven profile, or there may be a nursery in Eidsvoll with a few kids. In fact, I think it's high time we won the same kind of freedom of choice for the older generation. I am not a tin soldier, as one of the previous representatives chose to characterize us. I am a politician who has a definite and important ambition to create better care and a much greater diversity in these services over the years to come.
ParlaMint-NO_2015-10-06.ana.ud1650e886	Let me start with a little comment to Hofstad Helleland. She informed in the debate instead that in the Political Quarter she had heard Jonas Gahr Støre say: Let the companies have the opportunity to wait – tied up with the permitting code. If there is a Right-wing approach to the proposal that was made yesterday to amend the Permitting Code, I understand that the Right has a hard time being involved in such a proposal. Then the Right has actually lost its nerve in what is going on in the cyclical part of Norwegian business now. It is clear that what is included in the proposal we have made on changes to the legislation on permitting is absolutely necessary for those companies, not to lock workers into those companies, but to ensure that those companies actually have an opportunity both in terms of conversion and in view of a situation in which, if necessary, the economic situation would change. But this only goes into the range of rhetorical points put forward by the Right and the Progress Party in this debate. The second is that they have consistently waived any kind of responsibility for the present through the debate. Almost every other right-wing representative is up and says, after eight years of red-green government. That's when I ask myself the question: isn't it time for the Right Party and the Advance Party to take responsibility for the situation they're in now, instead of blaming others and what has actually been done over two years ago? They have to face up to the challenges they face, take responsibility for them and try to show some way into the future. But I haven't seen and heard so much commitment to it in the course of the drumming debate that we're about to have been through. It's actually that after eight years of red-green rule the situation in the country was different, significantly different, than it is now. We had created 350,000 more jobs, 70 pst. in the public sector. We built a strong community, had secure employment for employees and employees, and we didn't have to destroy the Working Environment Act, as the Right Party and the Progress Party have just done to create flexibility and room for action for employers to trample on workers. That's the situation. It is the one you now have to take responsibility for the massive unemployment that blames inwards. One's talking about conversion. Yes, the first thing you did was throw Message. St. 39 for 2012–2013, which was presented by Minister of Industry Trond Giske, and which contained just themes on how to meet the time we entered, because it was uncertain. But you threw it right into the trash bin because you didn't have the ability to go into the topic of conversion at the time you took over. It is time for the Right Party and the Advance Party to take responsibility for the reality in which it is located.
ParlaMint-NO_2015-10-06.ana.ud1650e897	I don't think I've heard the same debate as the Aasland representative, and now I'm just as confused about the debate as he is about numbers. Because at least I can give the Workers' Party that it was probably 70 pst. In the private sector, jobs were created. But if Aasland had also heard, work, activity and transformation are the headlines of the throne and of the challenges ahead. I have to say that the impression I'm left with after the debate is that you haven't taken up the challenge Norway is actually facing. I've said many times that the fact that our exchange relationship with the rest of the world is reversed creates enormous challenges that we don't quite have the solution to. Then I heard Gahr Støre say yesterday that we cannot pick the winners, but support up under industries with natural advantages. So you've talked a lot about this. But I thought the most important natural heritage we have in Norway is competence. There's actually no one in this room who can say where the good ideas show up, but we can say a lot about how we're going to grow them. Then there is no doubt that the government's solutions and government's policy over the last two years, which I also expect to continue in the budget, with efforts on entrepreneurs, on taxpayers, on equity in Norwegian business, on transport, on knowledge, are the solutions that hit most, and that do not pick industries that will win, as I hear my colleague from Hedmark, Knut Storberget, go back to. I would like to remind you that Hedmark was not exactly the winner of the oil economy created by the Workers' Party. It's also another thing that amazes me, and it's Gahr Støre's embrace of the Menon report. Yes, what did it say? It said that all tax havens work. They seem a little bit different, but they all work. Grünfeld, who was the leader of the sample, also said that you can reverse the conclusion: all tax increases will weaken investment. That's what the Workers' Party will answer. There are two assumptions in that report. One is that we have the perfect capital market. The second is that it doesn't matter where ownership belongs. Both parts are very unrealistic -- I'll almost say on earth. There are a lot of reports that show that ownership is important, including where you invest. What you also need to be aware of is that the report requires perfect capital markets to bring in foreign capital when Norwegian capital is not there. Ergo wants the Workers' Party to have a greater share of foreign ownership in Norwegian business. You're going to have to start to answer this soon, when you're actually facing a pretty big transformation. We know that it is in the companies that the new jobs come, and the Workers' Party does not have one solution for them.
