ParlaMint-NO_2015-11-25.ana.ud453e26	The called alternate for Oslo, Peter N. Myhre, has taken the seat.
ParlaMint-NO_2015-11-25.ana.ud453e820	My question is: ‘Despite the fact that the Right Party, the Advance Party and the Christian People’s Party promised last year, in the form of a note, not to cut the funds of the Victim Compensation Office, the Minister of Justice and Defence still proposes a cut of 10 million. kr for 2016. If the proposal is adopted, aid for victims of violence will be weakened, and the country’s 14 advisory offices are at risk of closure. How can the Council of State defend the cutting of the Victim Compensation Office, while at the same time representing a party that says they are working to strengthen victim care?’
ParlaMint-NO_2015-11-25.ana.ud453e829	As indicated by Prop. 1 S for 2011-2012 from the Workers' Party, SV and Centre Party Government, the Government then proposed that the Office for the Compensation of Victims should be given an additional grant to deal with cases following the terrorist act on 22 July and to dismantle the balances. In the intervening years, it has been stressed that the allocation of 25 million has been committed. The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 100000. The retention of untreated cases and the length of proceedings is significantly reduced today compared to the case in 2012, and reference is made to Prop. 1 S for 2014–2015, where, inter alia: is: ‘The figures from the Victim Compensation Office show that the opening of new cases relating to the 22nd of July terrorism fell significantly in the second half of 2013. In the years 2012-2014, the Office for the Compensation of Victims has received a temporary strengthening of its allocation in order to build up the balances and process applications following the terrorist attacks on 22 July 2011. ‘... As a result of the additional appropriations granted in 2012, a new procedure was introduced by the Office for the Compensation of Victims. It is assumed that the procedural system also contributes to the efficiency of the flow in the procedure. The additional appropriations in 2012 were devoted to examining applications for compensation for victims of violence. It is therefore necessary to reduce the additional appropriations in the corresponding area. When we take these assumptions into account, the provision of advice to the CCCs will not be significantly reduced. I will, of course, follow closely the development of the residual stock and the processing time, and the government is working on different alternatives to enhanced victim care. I want to underline that. We are now going through the victim care unit together to ensure that we will get a more equal and better offer across the country. There is an important role for the CCCs. Then it is also necessary to remind the Storting that the premise of the previous government was that this was a temporary grant, and that is what the government has been dealing with. So that doesn't mean we won't follow this closely and consider the need for further appropriations in the future.
ParlaMint-NO_2015-11-25.ana.ud453e841	We know very well that these were temporary promises, it's not about that. If the Minister of Justice sees in the comments of the Judicial Committee last year, the Government Party, together with the Christian People's Party, the Budgetary Comrade and the Contracting Parties, write that cut of 10 million. kr for 2016 was to be screened. There was one entry in the setting because one was busy giving the victim compensation office a caretaker. Had I been KrFs – I am not – I believe that I had been reasonably provoked that such a comment and such an agreement is not worth more than the paper it is written on. What I'm wondering about is, what concrete input has the Minister of Justice got, which means that the Agency for the Compensation of Victims does not need the funds, the 10 million, for 2016? In any case, the Committee on Legal Affairs and Citizens' Rights has been involved. And does the Council of State think that they don't need funds, and that the pastorality, which they were so busy about last year, isn't important this year?
ParlaMint-NO_2015-11-25.ana.ud453e850	The predictability is quite good, because it has never been indicated by the Ministry that this temporary allocation should be anything but temporary. So, of course, the situation is not such that the office does not need money, everyone needs resources and money to do a right and good job, but they have been very aware that this is a temporary allocation. The size is governed by budgetary decisions, and the Stortinge may review the decision of the government. I think it's important from the government to stand by that when you're clear that something is a temporary allocation, that's actually what it is, and then you can't assume that that allocation should continue. Neither is it that the Workers' Party's alternative budget compensates for all of this. They're proposing 10 million. kr to operational funds, but they are missing 50 million. kr for compensation payments, if one assumes that they will continue to deal with cases for 10 million. kr.
ParlaMint-NO_2015-11-25.ana.ud453e857	The Justice Committee at the Stortinget, here at this house, said last year that the 10 million. kr for 2016 would be screened. It said the government party Right and the government party Progress Party, together with its contracting party Christian People's Party. Then I find that it is worth nothing but the paper it is written on. Today is the international day against violence against women. Thousands in Norway and millions on a world-wide basis are being subjected to the terror of being subjected to power in close relations. Does the Council of State think it right that a vulnerable group, such as those in need of advice and compensation for victims of violence, should be offered a worse offer? And isn't this a paradox to Åse Michaelsen's earlier statement that no elector should suffer if the Progress Party is in government?
ParlaMint-NO_2015-11-25.ana.ud453e864	There I believe there is an error in the reasoning. Let me first say that we have noticed the comment from Stortinget. The government has proposed something else for Stortinget, and it is then the Stortinget who takes a decision on how to be. It is a relatively normal procedure. In the case of poorer offers for victims of violence, the representative Awake! may not have got so much of what has happened in the last two years. We have implemented a number of measures to improve the situation of victims of violence. There are now seven police district violence coordinators, SARA has been implemented in all police districts, there have been a number of authorities in the police, there has been a completely different priority – both from the National Attorney General, from the Police Directorate, from the Minister of Justice and Security – in this particular area in relation to what has happened in the past. We are now implementing a close police reform on which the Workers' Party is involved, and on which I am very pleased that the Workers' Party is involved, which will help to further strengthen that competence. We have secured a new interrogation model for children and other vulnerable persons. So standing here saying that the offer to violent women and others is worse, it's directly wrong.
ParlaMint-NO_2015-11-25.ana.ud453e873	Then we go to question 2.
ParlaMint-NO_2015-11-25.ana.ud453e880	«Previous National Archives Ivar Fonnes expresses to the newspaper The Court of Labour 10 November concerns about the government's amended plans for the Norwegian health archive which had been proposed for Tynset. It was hoped that the model would be cheaper, and the former national archivist would also support the concerns raised regarding the safety of patient information in the proposed model. Is the Council of State certain that safety is good enough in the government's proposed model and that this will be a cheaper solution?'
ParlaMint-NO_2015-11-25.ana.ud453e887	The representative of Storberget addresses two important issues. One concerns the costs of putting in place Norwegian health records, and the other concerns safety requirements for the processing of patient data. The Stoltenberg government proposed in its last draft budget to start building an archive building on Tynset with a cost-framework of 808 million. kr. State building projects with a cost framework of more than 750 million. kr must be subject to specific quality assurance. Thus, the Stoltenberg government chose to disregard the legislation by proposing to grant already before such quality assurance existed. The government of Solberg, on the other hand, offered to comply with the legislation in force, i.e. that the quality assurance would be available before Stortinget was submitted with a proposal for a start-up grant. Therefore, in the Appendix to the budget proposal for the autumn of 2013, this allocation proposal was deleted. The quality assurance mission was given to Holte Consulting AS on 11 December 2013. The external quality assurance report identified a number of disproportionately costly solutions and considered an alternative forproject to be the most cost-effective. Since the report was available in March 2014, the Ministry has carried out a thorough process of State Building with a view to changing the project in order to reduce costs. Some adjustments may be made, but the additional assessments received by the Ministry from State Building indicate that it is not possible to realise a significantly more reasonable facility on Tynset, if it also includes warehouses for the permanent storage of paper archives. In view of the high cost, the government has found that an alternative model, now implemented by the Ministry, needs to be examined. This is done to bring costs down significantly. State buildings have carried out preliminary assessments of magazines in the mountain of Rana in relation to the National Library. This is now being analysed more thoroughly by State Building. The Ministry has also examined whether it is possible to extend the capacity of the State Archives in Trondheim, which has its warehouses in Dora. On this basis, the Stortinget will be asked to take a final decision on its implementation. The health archive includes material with specific access limitation and storage requirements; this applies both to digital documents and to paper-based documents. Of course, all the safety requirements imposed by the Health Register Act and the Archive Act must be complied with regardless of solution. Digitisation of archival documents on a large scale requires extensive resource efforts, in particular in the form of labour. It is this function that will be able to provide Thinset with a significant number of new jobs. Maintaining paper archives is also resource-intensive, but primarily in the form of investments in warehouses, rentals and building operations. This function, on the other hand, will represent little new jobs. Our goal is to spend the greatest possible amount of resources on digitisation and to ensure that we get into a cost-effective project.
ParlaMint-NO_2015-11-25.ana.ud453e913	I think it is very sad that the government has also left its position that you would realize archive building on Tynset. It was in October 2014, last year that the government and the Minister of Culture sent out a press release entitled ‘Government will realize the archive building on Tynset’. It was also before the government had done its quality studies. There are many kinds of elements in such a decision, and when you send out such a press release, where it says that this should be on Tynset, the “should embrace a common repository for the entire Archives and beyond Norsk health archives for older archive materials”, not only the Thinset community, but the entire Inland and many people expect the government to stand by the decision that you say you have taken. I don't see it as anything but actually leading the people behind the light when you said last year that you wanted to build this archive, so now in the budget to go back on it. What's the reason why you've actually turned around?
ParlaMint-NO_2015-11-25.ana.ud453e922	I want to take a lot away from the fact that we've left to realize an archive on Tynset, when we've said that we want to look at an alternative model, where digitization is added to Tynset, but that we're looking at other alternatives in the paper archives.
ParlaMint-NO_2015-11-25.ana.ud453e927	It is a fact that last year the government and the Minister of Culture sent out a press release stating that ‘the government will realize the archive building on Tynset’. I can't easily read it any other way than that you would realize the archive building on Tynset. But I'll leave it. I hope you get on the track quickly with the models you're now working on. What kind of time perspective does the Council of State have for this? That's the one question. The second is that the instructions on construction and rental in the State sector state-owned premises ‘are not a well-functioning market for which construction is classified as a function and are generally to be carried out as a state-owned construction project’, i.e. special constructions which cannot be in a regular rental market. Will the Council of State follow this instructions when it comes to finding suitable archival buildings for this material?
ParlaMint-NO_2015-11-25.ana.ud453e934	With regard to the time perspective, we will work as quickly as possible to get the information needed to decide on the alternative model. Not least, we'll look at the costs and the possibilities of finding a concrete solution. As I said, we have taken the necessary steps to look at it. I just want to remind you that we are firmly committed to the realization of the Archives, also on Tynset. We are committed to finding a good and cost-effective solution to solve the Archiving Agency's needs, and we are therefore investigating alternative models. It's important for me to stress that we haven't gone away from realizing this. But this project did not even take the previous government time to guarantee the cost. We have done so, and we have – as I said – been given very clear signals in the external quality assurance report, where a number of disproportionately expensive solutions have been identified. That's why we've now chosen to look at alternatives.
ParlaMint-NO_2015-11-25.ana.ud453e945	‘In a recent information letter from the Swedish Archives’ management to the employees, conversions are proposed in the offer. Today, the Swedish Archives are divided between the central Swedish Archives and eight regional government archives, as well as the Sami archives in Kautokeino. This is proposed to be merged into an organisational unit managed by Oslo. Many fear that regional anchoring is getting worse. Can the Council of State inform about the process and the political anchoring of the case?’
ParlaMint-NO_2015-11-25.ana.ud453e952	In consultation with the Ministry of Culture, the Swedish Archives Agency launched the strategy project Arkivverket 2020 in January this year. In the budget application for 2016, which was sent to the Ministry of Culture on 1 March, the Swedish Archives briefed on the project and requested funding for it. As the representative knows, in the 2016 draft budget, the government has proposed a budget of 2 million. kr to the conversion process at Arkivverket. There have been negotiations on a new organisational structure between the Riksarchiver and the public service organisations in the Swedish Archives, in accordance with the State co-determination agreement. The National Archivist states that an overall solution has not been reached so far. I would like to stress very strongly that the government will of course assess this matter thoroughly and also come back to Stortinget. Until then, the current organisation will continue.
ParlaMint-NO_2015-11-25.ana.ud453e963	The National Archivist's proposal for restructuring implies, as I said, that one should have a common organisational unit and that the state archives should be closed down as own institutions. In the archival communications and in the archival laws, the Stortinget has its intention and will to keep the state archives in the region up and that the state archives play a central role in the establishment and operation of new integrated solutions. The proposed reorganisation follows the National Archives in line with the archive message and within the law. My question to the Council of State is: Can the Council of State agree with the Riksarchiver that the proposed structural change is in line with the archival message and the archival promise?
ParlaMint-NO_2015-11-25.ana.ud453e970	Firstly, there is no proposal because the negotiations have collapsed. If the Swedish archivist comes back to the department with proposals that would indicate that there is a need to amend the archive law, which I have understood has been meant in this case, it is quite obvious, as I said in my previous answer, and which I have expressed in response to a written question from, among other things. The representative of Trettebergstien, that this is a matter that the government will carefully assess, and of course we will come back to Stortinget with such a case.
ParlaMint-NO_2015-11-25.ana.ud453e975	I thought that when the National Archivist started a restructuring and it was anchored in the Ministry of Culture, the Council of State should make sure that what had been proposed was actually in line with the laws and regulations that are, so I am a little surprised by that answer. I have an additional question beyond that. There is already a strong centralization, I have been informed, in the Swedish Archives Agency. When you look at the new job vacancies that are coming, you will find the key choices – of the 30 that have been announced so far this year, 8 come in the regions and 21 in Oslo. Four new directorial positions have been announced, which are linked to the new restructuring. I would like to ask the Council of State if it is aware of the centralization that is taking place, and whether it is in line with what the Stortinget is committed to strengthening the regions, as one stated, among other things. in the archive message.
ParlaMint-NO_2015-11-25.ana.ud453e982	The council reads what's in the papers, and I also get ideas that come from different people who have views on this matter, so I've absolutely got a lot of the views that are there. As I said in my reply, the department has been briefed on the matter, but it is not that the department has dealt with the details of this matter. As I said, the government will, of course, decide on it when there is a final proposal, and we will, of course, come to Stortinget with it, if it turns out that there is a need to amend the archive law too – if a proposal is not in line with it.
ParlaMint-NO_2015-11-25.ana.ud453e989	Then we go to question 5.
ParlaMint-NO_2015-11-25.ana.ud453e996	The question to the Minister for Climate and Environment is: ‘Norwegian greenhouse gas emissions have increased in the last 25 years. Norway has compensated for this with uncertain climate allowances. Norway now pursues a target of ‘climate neutrality’, previously referred to as ‘net zero’, which is based on several measures outside Norway’s borders. Does this mean that the purchase of allowances will continue to be the method of meeting our obligations under the UNFCCC in the future?’»
ParlaMint-NO_2015-11-25.ana.ud453e1005	The government is pursuing an offensive climate policy in which Norway’s national emissions are to be reduced by 2030. We focus on five areas of action: reduced emissions in transport development of low-carbon technologies in industry and clean production technologies CO2 management strengthen Norway's role as supplier of renewable energy environmentally friendly shipping However, we can have two thoughts in our head at the same time. We are also working on climate action internationally. Two of the main measures are the climate and forest project and the country’s climate quota purchases. Quota purchases are an important basis for the ambitious commitments undertaken by Norway under the Kyoto Protocol from 2013 to 2020. All the parties in this hall have joined this. They have also pointed out unanimously that flexible implementation mechanisms can enable Norway to take on greater commitments and contribute to greater global reductions. Norway has set up a global objective of climate neutrality or net zero emissions by 2050. It is a progressive proposal. The international environmental movement has also spoken hotly for a long-term goal. In March, the Stortinget addressed the notification of the new emissions obligation. The government is working for joint fulfilment with the EU, with a climate target of at least 40 pst. in 2030. If we succeed in this, there will be no need for quota purchases in developing countries after 2020. However, if it becomes appropriate to raise ambitions beyond 40 p.m., it may be opened for the purchase of an allowance. I think the representative should be aware that his sister party in Sweden wants to use quotas if they are to increase their ambitions beyond the EU target. The Environment Party in Sweden therefore believes that these quotas have an impact on the climate. I understand that the representative Hansson has an ambivalent relationship with climate quotas. We must not forget that the CDM, the CDM, is subject to very thorough approval and control procedures in the United Nations system. A report from an expert group shows that CDM contributes to emissions reduction, technology transfer and poverty reduction. But perhaps most importantly, the quota system has contributed to greening in these countries. It provides a basis for optimism when we now enter into negotiations where all countries, including developing countries, need to increase their ambitions.
ParlaMint-NO_2015-11-25.ana.ud453e1039	The Council of State is probably alone in believing that CDM quotas are a good and effective contribution to a national cut strategy. The Prime Minister has stated that CDM quotas are climate measures for cheap sales. In the case of Sweden, the Council of State is probably aware that the difference between Sweden and Norway is that Sweden has cut beyond 25 pst. of their national emissions. Norway has not cut anything. Therefore, alongside the quota issue, it is still interesting what Norway is going to release. Can the State Council provide a figure for how much CO2 and other greenhouse gases Norway will emit in 2020 and 2030? Today, as we know, we're releasing 53 million tons. How much are we going to cut, how much are we going to get out here in 2020 and 2030?
ParlaMint-NO_2015-11-25.ana.ud453e1049	We work every day to achieve the climate agreement, which has set its goal of reducing by 30 pst, of which two thirds domestic, until 2020. When we took over, the gap was 8 million tons. At the last calculation, we were at 6.5 million tons. We deliver climate policies in the day that reduce that gap, but about some of what we do in terms of, for example. railway investment, which is reflected in reduced emissions in 2019 or 2021, we do not know today. But we're working to achieve the 2020 climate agreement goal. In 2030, we've launched a target of 40 pst. reduction, together with the EU. First, the EU must allocate its obligations to the non-quota sector, and Norway must negotiate with the EU.
ParlaMint-NO_2015-11-25.ana.ud453e1058	Does the Council agree that there is a problem that no government and no Environment Council in Norway would ever have committed themselves to saying how many tonnes of CO2 Norway will release in 2020 and 2030? And does the Council see any correlation between the fact and the fact that Norway has not actually cut its emissions, either nationally or in the major sectors?
ParlaMint-NO_2015-11-25.ana.ud453e1066	I think that's exactly why it's important that the government in the context of the 2030s, where we're going to reduce by 40 pst, has been clearer on sketching in which five areas we're going to reduce, so that we can better understand what we need to do in Norway to reduce our emissions. Then I think it was also useful that we asked to get the gap report from the Environment Directorate, so that we got a better overview of the number of tons we were away from the goal of the climate agreement. The gap was then 8 million tons. At the last estimate, it was 6.5 million tonnes. Then we know that the last projections, as mentioned in the 2016 National Budget, were based on the 2013 Perspective Communication and policies even revised national budgets for 2014. But we have to make this easier to figure out what to do together, including in Norway.
ParlaMint-NO_2015-11-25.ana.ud453e1079	‘There has recently been a great deal of unrest around Telenor and VimpelCom related to the suspicion of corruption in relation to the acquisition of telecommunications licences in Uzbekistan. The Minister of Industry has expressed his distrust of the Heads of Government of Telenor, who later withdrew. There are various forms of investigation and investigation in progress. What can the Council of State, as major shareholders in Telenor, do to help clarify the facts and contribute to the best possible transparency on the part of Telenor?’
ParlaMint-NO_2015-11-25.ana.ud453e1086	The VimpelCom case is a very serious matter, and it has also been underlined by the events of the past weeks. I have since I was familiar with the matter, called on Telenor to show the greatest possible openness, and I have also tried, to the best of my ability, to clarify the matter to Stortinget, among others. in consultation of the Control and Constitutional Committee and in several letters to the same Committee. At the same time, I have to deal with the framework of ownership adopted by the Storting. The Ministry of Economic Affairs and Fisheries cannot act as an investigator or impose information that is not provided to us when we request it. Finally, we have to rely on the information that companies give us. In this case, it has been shown that we have not been properly informed and even misinformed, and on the basis of that, I concluded that I no longer had confidence in the chairman of the board. As the representative Pollestad refers to, there are now reviews and investigations going on in the case, and we expect this to clarify the facts, and I also look forward to getting all the facts on the table. It is also the case that I am invited to a new hearing in the Control and Constitutional Committee on this matter. It is an invitation I of course accept, and I also look forward to giving a detailed explanation of the department's ownership in this case.
ParlaMint-NO_2015-11-25.ana.ud453e1097	I thank you for your answer. Of course, I am pleased and have not been in doubt that the Council of State has seen the seriousness of this matter, but I also believe that this sets limits on the understanding of the principles of ownership on which the Storting has based. They shall not be challenged; they shall be used. It is a matter of whether a passive person should wait for information or how active he should be in requesting information. The Communication of Ownership states that transparency and publicity are an effective tool in the fight against corruption, and my follow-up question is: What does the Ministry do to Telenor – and other companies – to ensure that every day one complies with the principle of transparency and publicity?
ParlaMint-NO_2015-11-25.ana.ud453e1104	I fully agree that ownership principles should be respected. We have a steady and constant dialogue with all our companies throughout the year in which we address many issues related to social responsibility, related to what our ownership is like, and where we gather information. So it's not like we're sitting there reading in the paper what's going on. We're going to be informed, and we're trying to keep ourselves informed on current issues and issues related to corporate social responsibility. It's a day-to-day task for the department.
ParlaMint-NO_2015-11-25.ana.ud453e1111	Both Telenor and other companies in which the state is owned, either alone or together with others, operate in countries where the chances of corruption are significantly greater than those to which we are accustomed from domestic regions. And then I try to challenge the Council of State to say, is there any other matter in Telenor or in other companies, operations or businesses in countries that one is particularly concerned about, and which one of the departments now follows particularly closely?
ParlaMint-NO_2015-11-25.ana.ud453e1116	We have been continuously informed about other conditions in other countries that have been demanding. We know that this has been the case, among other things. in Thailand. But we also have other examples of demanding relationships. I'm concerned that companies that go into high-risk countries do extra thorough work before entering, and in the case of Telenor, they have well expressed themselves to the extent that they have let go into, and even withdrew from, countries where it has been too difficult to operate. The companies have a great responsibility for this. We follow the companies, and we'll talk about this in the dialogue with the companies, both at home and I will also say out. I have met Telenor in other countries as well, among others. in Asia, where I know that conditions are demanding. But we expect companies to take a big responsibility here. We have zero tolerance for corruption, whether it happens at home or away.
ParlaMint-NO_2015-11-25.ana.ud453e1125	Then we should have initially gone to question 1, but it looks like we're missing the Council of State. And in the last question, no. Four, we have the council here, but we don't have the questioner. So let's take a little break. – Then it looks like we are ready to go to Question 1, from the representative Kjersti Toppe to Minister for Transport Ketil Solvik-Olsen. The President will ask the Councils to be present in the Chamber when questions are to be asked.
ParlaMint-NO_2015-11-25.ana.ud453e1134	‘In 2012, Minister for Transport Kleppa launched KVU ArnaVoss for E16/VossabanenBergensbanen. On 1 April 2014, the Road Director and the Railway Director presented KVU with a recommendation on concept selection 5. In May 2015, as we know, there were two major races in the Waksdal, and November 8th this year, it was demonstrated for safe roads and tracks. The Ministry of Transport then stated that they could not determine the concept choice. The answer is unorthodox. Can the Council of State inform the Government of when the choice of concept options is reached?’
ParlaMint-NO_2015-11-25.ana.ud453e1141	Thank you for your flexibility, and thank you for your question. The answer is very simple. That's the same answer we've given to the media, which has been published in many places, and which was published in connection with the demonstration: there's an answer before Christmas.
ParlaMint-NO_2015-11-25.ana.ud453e1148	Thank you. In Question Time on 20 May this year, I asked almost the same question. Then the State Council said that the Railway Agency has seen work going on, that they expect it to take a few more months, and that it meant ‘that they will probably come back to us at some point in the summer, so that we can then get additional information and go on to find out how we can take good action that brings long-term benefits and that is cost-effective’. Now it's 1.5 years since the ministry got the report, and in May the Council of State would have a few more months. Is it the railway station that you are waiting for, or is it that the government has to decide which solutions you want to raise for Stortinget?
ParlaMint-NO_2015-11-25.ana.ud453e1158	We said in May that we were waiting for the railway company to make some further investigations, because in this case the trade unions have made one clear recommendation, and the quality assurance company has made a sharp opposite recommendation. It's a relatively rare thing compared to most other concept selection investigations. We have received the information that the Railway Agency was supposed to investigate, and we are still discussing some of the elements in it, but now it is largely done on the investigation page. Now it's the political side that applies. That's why I say that we aim to have this treated before Christmas. However, when the theme is taken up, I still owe it to make the Storting aware that when the previous government did its work on today's national transport plan, it was not the E16 that the previous government was the longest in line – it was the E39. On 29 August 2013 – just before the last major elections – the Council of State, Marit Arnstad, was at Voss and got to look at this, and she said that the E39 was clearly at the forefront. Now, all of a sudden, the E16 gives the impression that it's the most important thing. Then it's nice to know about today's opposition has changed its mind.
ParlaMint-NO_2015-11-25.ana.ud453e1167	It's probably also related to how Hordaland county has prioritised, to say it like this. But enough about it. I have one last question, and that's what caused the demonstration that was November 8th, because people are insecure. The background was that TV 2 had a report about the large stone block that hung up on the lines, which weighed 3000 tonnes, and which was that the company that ran with mountain protection could not carry out the mountain protection work below. At the same time, both train traffic and car traffic were normal. It's a paradox, and one understands that people are being saved. Does the Council have any information on how to handle exactly the stone block that is now known, and that there is a danger of slipping out and creating a large race, etc.?
ParlaMint-NO_2015-11-25.ana.ud453e1176	First of all, I'm concerned about the road section, and I'm concerned about the Vosebane. I've been in those places seven times since I became the Council of State. I have driven trains, Bergensbanen and Vossebanen, drove a truck and drove a passenger car on the route. We have met all the rapporteurs, and we have spoken to people who live there. When one then, after having run for eight years and barely used one penny on the way, suddenly now is worried about a block that one's own government knew about, and that government's only response to it was to set up a monitoring mechanism, it's a little strange to present it as that this is news. This is actually something that the previous government, with Vegvesen, handled already in 2012. Then you set up a warning system, and it's a little strange that the warning system that you thought was good enough when you crashed yourself, suddenly now has become a threat. I just want to remind you that today's government spends a lot more money on racial protection on this route. We have accelerated the race protection project that should not have been started until next year. It's already being implemented. The track is one of the routes that gets a lot of money in the package of measures, for upgrading, among other things. racial protection, but also for maintenance and renewal. So this distance gets more money for maintenance, renewal and race protection than ever before. At the same time, it is important to put in place a new trajectory, so that you avoid this in the future.
ParlaMint-NO_2015-11-25.ana.ud453e1187	Then we go to question 4.
ParlaMint-NO_2015-11-25.ana.ud453e1194	This question, from the representative Heikki Eidsvoll Holmås to the Minister for Climate and Environment, has been transferred to the Minister for Oil and Energy who is directing the person.
ParlaMint-NO_2015-11-25.ana.ud453e1197	‘In the newly submitted red list, the myrhauk goes from vulnerable to highly threatened. On 23 October, the Council of State granted a concession to increased regulation of Lake Markbulia, the construction of a new Einunna power plant and a new power line from Einunna power plant. Both the NVE and Folldal municipalities had opposed the development. In the investigations and the hearings on the case, it appears that the area is a fenced area for myrhauk. Why has the Council of State not ensured that the habitat of the anthawk is protected?’
ParlaMint-NO_2015-11-25.ana.ud453e1204	To answer this question, it is probably right for me to start by giving a brief background for dealing with the concession case. The King of State Council has granted permission limited to a seven-metre increase in the regulatory height of a pre-existing entry warehouse in Markbulia and a new Einunna power plant to replace the old power plant built in 1955. The concession request also sought to increase the regulatory height of Markbulia by both nine and ten metres. The case has received a comprehensive and very thorough treatment under watercourse legislation based on an application with impact assessments, the suspension from NVE, with wide consultations, and inspection. The Ministry of Oil and Energy, together with the department concerned, has generally also assessed the matter in the light of the principles of the Nature Diversity Act, including the provision on requirements for the knowledge base and the precautionary principle. There are major differences in the impact on the environment of the two highest and lowest regulatory options to which we have granted a concession, not least for the areas around the Markbuli magazine. In this context, the negative impact on animal and plant life on the different regulatory options has been an important issue in the handling of the matter in the ministry. It is apparent from the NVE’s submission that, following the submission of the application, the Nature Conservation Association required an additional investigation for birds, including: for the anthill. Following the assessment by the NVE, the impact assessment for birds satisfied the requirements of the investigation programme. The NVE considered that an additional investigation would not provide material new decision-making information. It is also apparent from the opinion of the NVE that the expert in the impact assessment for birds was provided with the information of the Nature Conservation Association. The manager continued to maintain his conclusion that the expansion would have no more than a slight negative impact on the anthill. According to the investigator, there was no concrete evidence of anthauk in the scope of the investigation for some of the requested regulations. The last documented discovery of hedgehogs in this area was made in 1988. I notice that the Swedish Nature Conservation Association says that this was probably also the case in 1990 and 1991, but that no such findings were documented at the time. This is in any case a finding that is 25 years old. I am convinced that the decision has been made on a sound knowledge basis, and I cannot see that the assessment of the effects of the expansion on myrhauk should have been different because of the changed status of the myrhauk in the updated Red List, which was otherwise presented after the concession was granted.
ParlaMint-NO_2015-11-25.ana.ud453e1215	I thank you for your answer. I think it is important to stress one thing when the Council of State draws up the NVE recommendations here, that the NVE went against the development of its recommendation. When a species changes its status from being vulnerable to severe threat, which is now the second last stop before a species is considered extinct in Norway. In my opinion, these are good reasons which would suggest that when a species changes its status that way, one should show even greater caution, go through the decisions that are made, and see how this affects the species. It is true, as the Council of State says, that there were observed hedges in 1988, but there have been several observations of the species in the species database post-mortem observations. Why have the decisions taken not been reviewed by the Council of State?
ParlaMint-NO_2015-11-25.ana.ud453e1220	Let me start by repeating what I ended up with in my first answer. This concession was given before the update of the red list, and the status of the myrhauk was at the time we gave the concession, another. In any case, we do not see that the conclusion should have been different even if it had not been the case. That being said, the Ministry of Oil and Energy naturally places emphasis on balancing the important need for us to continue to develop our renewable power system, based on the use of hydropower resources. Regulatory hydropower means a lot to the way we operate our system, and that means a lot to Norway's ability to be an exporter of renewable energy, both in the form of power and in the form of aluminium and silicon, in the process of building a more sustainable global energy system.
ParlaMint-NO_2015-11-25.ana.ud453e1225	The law on concession cases gives the following leads: if significant interests are opposed, the matter shall be referred to the Grand Duchy before the concession is granted, unless the Ministry finds it unnecessary. The government has not chosen to send hydropower expansion in Lower Otta to treatment in the Storting despite the fact that this is the largest expansion in a long time, and that significant interests are opposed to each other. And now that hydropower is also granted in Einunndalen, in the middle of the anthawk's habitat – and we know that the anthawk goes from being vulnerable to being strongly threatened – the council of state still justifies not drawing this case to the Stortinget by saying that it is considered to have a minor impact on the anthawk, and that the status of the anthawk was updated after the concession was given, despite the fact that the NVE advised against this. My questions are: how significant must conflicts of interest be in order for the Council of State to send matters to Stortinget? And: Where did the threat of extinction have to be before the council would be willing to say that this matter should be dealt with by the Stortinget?
ParlaMint-NO_2015-11-25.ana.ud453e1234	I need to repeat, when the representative Eidsvoll Holmås calls this area «in the middle of the anthill's habitat»: Give that there is no documented reirfinn in the area of approx. Twenty-five years, I don't think it's right from Stortingen's pulpit to call this "in the middle of the anthawk's habitat". Then it is right that the representative Eidsvoll Holmås pointed to, the NVE recommended that we do not grant a concession. There's a reason why we've chosen to organise watercourse legislation in the way we have, for over 100 years. These are decisions that the Ministry of Oil and Energy has to make, but I also want to point out what I also said in my original response, that the NVE does not believe that the basis of knowledge as to the bird, not the anthill, is too weak for this concession to be decided within a reasonable framework.
ParlaMint-NO_2015-11-25.ana.ud453e1241	Then there's case no. 2 completed.
ParlaMint-NO_2015-11-25.ana.ud453e1254	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
