ParlaMint-FI_2018-06-12-ps-64.u1	As previously announced, Mr Paavo Väyrynen has returned to the House today. Welcome!
ParlaMint-FI_2018-06-12-ps-64.u98	Mr President! The representative, Mr Haavisto, did say the words of truth here. Yes, we must also be prepared to look critically at the activities and key choices of this Western camp. The former President of Afghanistan, President Karzai, whom we met on our trip to 2012, has now this week said out loud this fact: he has accused the West of not being prepared to engage in dialogue with the Taliban and to allow the construction of a new system in connection with it. And he also said frankly that when the meeting in Bonn met to plan for the future of Afghanistan after the attacks of that United States-led coalition, even then the Taliban should have been included in that meeting and not shut them out. Here we come back to the fact that when you go to a country with military force, it is easy to go, but then it is a question of whether there is a policy that allows the country to develop internally,
ParlaMint-FI_2018-06-12-ps-64.u99	Madam President! The road map must certainly be able to be created in order to stabilise Afghanistan, but first, of course, it would be good to find all the parties around the table. The Taliban are not a single group, but there are a wide range of sub-groups and other terrorist organisations, as we all know. I believe that strengthening the central government of Afghanistan and holding elections alone will never increase stability and security in clan society. If people in the provinces do not see that their lives are improving and they too are getting justice, including the poor and the women, then I do not believe that simply holding elections there will change the situation very much. This is something we should pay attention to. Then I can tell you myself that I went to Afghanistan in 2004 and saw very well-functioning projects. Marie Stopes is doing no sexual health, reproductive health and family planning projects in the middle of poor villages. There are religious leaders and village elders, and these projects work very well.
ParlaMint-FI_2018-06-12-ps-64.u100	Mr President! It is unacceptable that, at the same time as we are talking here about the recent deterioration in the security situation in Afghanistan, asylum seekers are being forced back into the midst of violence. At a time when the security situation in Afghanistan has recently shown signs of deterioration, Finland has sought to intensify the return of asylum seekers who have received a negative asylum decision, including through bilateral and multilateral return agreements. Among other things, Amnesty International has appealed to the Finnish Government to suspend returns to Afghanistan. At present, children or families with children should not be returned to Afghanistan. Mr President! The possibility of an internal escape should be applied only under limited conditions, taking into account, among other things, people’s ties and safety nets in the region, but in some places the Finnish Immigration Service has appeared to apply the internal escape criterion almost regularly, and the UN refugee organisation has had to take a stand, as the Finnish Immigration Service has done, to assess the possibility of an internal escape. In practice, Finland is in no way able to ensure what happens to people returned to Afghanistan when they land.
ParlaMint-FI_2018-06-12-ps-64.u101	Madam President! As a peacekeeper, I would like to point out that this debate sometimes goes a little bit like that when Finland sends soldiers to a crisis management operation, the soldiers would go there to fight. It is not so, but they go there between the negotiators to ensure that the negotiating situation is maintained. It's the Peacekeeper's job to be involved in that operation. It is not there to fight against those parties, as has been suggested here that we are going to fight there. In peacekeeping operations, it is good to remember the old wisdom that power needs to be shown so that it does not have to be used. It is the duty of the Peacekeeper, not to fight, and not to give the impression here that: Finland sends soldiers to fight there. It's not like that, my friends.
ParlaMint-FI_2018-06-12-ps-64.u102	Mr President! In the committee hearing, I asked the experts what was the deepest problem in Afghanistan. I got two answers. The first was that Afghanistan is not a state without the support of the international community, but collapses. The second answer was Pakistan. How do we influence Pakistan and this regional conflict that is in hand? - We're Then I asked where is the hope of Afghanistan, where it rests. The answer was that in girls — and I am very pleased about it — and in education. It is excellent that this has been made very clear today in this debate. But I would also like to ask the ministers: how do you look at this Pakistan issue, what can we do about it, because it affects Afghanistan so deeply?
ParlaMint-FI_2018-06-12-ps-64.u103	Mr President! I will return to what Mr Heinäluoma said about military intervention, and it is indeed true that the faster the departure, the slower the return, and it has been seen far too many times. In connection with this, I found some old stories that have been shown on Yle's channels and that have been in the Evening Magazine, and there have been interviews with former Russian and Soviet veterans from Afghanistan. They say the Soviet Union once made two mistakes in Afghanistan. The first was that the country was in the first place. Another was the attempt to change the way of life of local people by military force. I think you should remember that lesson today. The worst combination is that if we think that we are taking peace to Afghanistan, and that is not going to happen. It is our export goods, and the imported goods are international terrorism, which may also be directed at Finland. As surprising as it sounds, Finland can be a very interesting destination for those who think about such matters.
ParlaMint-FI_2018-06-12-ps-64.u104	Madam President! I would like to ask you this once again, when the Minister may have taken the view that the development of his own performance is no longer directly supported by these types of exercises. But do they not support it in maintaining performance, knowledge? Surely there is no more demanding international crisis management operation than our operation in Afghanistan in recent years. I would like to hear the Minister's comments on the way in which this maintenance of expertise within the Defence Administration has been considered in relation to these crisis management operations that are currently under way. There is also this reflection on these political solutions in the context of these operations. This report also highlights this multilateral cooperation and comprehensiveness. How, as Minister of Defence, do you see cooperation with the State Department in maintaining this whole thing?
ParlaMint-FI_2018-06-12-ps-64.u105	Responses to ministers, 2 minutes.
ParlaMint-FI_2018-06-12-ps-64.u106	Madam President! This has been a good debate, because this is a serious matter and it is a very thorough one. Now it goes to the Committee on Foreign Affairs and then comes back to this Chamber. I think it is a good thing that this is really the way it is going to be done. In fact, at the end of the day, I would like to say, in my opinion, the essential thing that Mrs Kanerva said. Why are we in Afghanistan? It is the will of the international community, the UN, at the moment. That's why we're there. The solutions have been difficult and there have been no solutions at all for some, but I do not think that the solution at the moment is to leave a military, political, operational, development policy vacuum. Who's gonna fill it out? I think that option would be even worse. A key issue is the regional solution: Pakistan, Iran, neighbours, international cooperation. But if this could be a little optimistic, who thought that North Korea and the United States would one day be at the negotiating table? If there were any positive developments here too. At least it's worth a shot. However, I would like to thank Parliament for all the speeches, including the critical ones. It's democracy. But I believe that the government has received the firm support of Parliament in this respect, for which I thank Parliament.
ParlaMint-FI_2018-06-12-ps-64.u107	Madam President! I recognized a couple of questions from the Vice-President of the Committee on Defence, Mr Kari, about this final debate, to which I am still trying to answer. This Resolute Support operation is certainly our most challenging crisis management operation in terms of risk, so it is right to pay attention to the self-protection of troops, as Mr Kari has done. However, according to the information I have received, the equipment is very good, it is relatively good, and you can ask for more information in committee, and in fact you should always ask in such cases. And indeed, as I said in my previous speech, this increase in participation to 60 increases self-protection in this case, and, in addition to that, the focus of the troops is clearly transferred to a more peaceful and familiar region, the northern command area, to Germany, to Mazar-i-Sharaf, as Mr Kääriäinen also said. In the city of Mazar-i-Sharaf, the rebels have only been able to carry out isolated attacks, but of course there is always a risk. As far as the maintenance of knowledge is concerned, I agree with Mr Kari. And as far as cooperation with the Ministry of Foreign Affairs is concerned with crisis management operations, it has actually worked better than a man's memory, so thank you to Minister Soin for that.
ParlaMint-FI_2018-06-12-ps-64.u108	Now we're going to the list of speakers.
ParlaMint-FI_2018-06-12-ps-64.u109	Mr President! According to press reports, the Afghan Government and the Taliban agreed on a cease-fire last Saturday. The Taliban announced that it would hold a three-day cease-fire so that the religious eid celebration could be held in peace after the Ramadan fast season, but NATO-led peacekeeping forces were not included in the ceasefire. The government, for its part, announced that it was going to put an end to the war for at least a week, but restricted the Isis fighters outside of it. The brittle was a cease-fire: Yesterday, the suicide bomber blew himself up at the gate of the Ministry of Rural Development and killed more than ten civilians and wounded more than 30 people, including children and women. Isis has signed up for the attack. The question arises as to who can be trusted. In the absence of confidence, the peace-building process is still difficult, even though positive developments have been made, both in the access of girls to school and in the overall improvement in the position of women. It is good for us in this Chamber to be aware of the risks that Finnish peacekeepers face in Afghanistan. That's what they tell you to go to Afghanistan. They all have previous experience in peace-keeping. We must not back down now because that is what the Taliban movement wants, but we must step up our efforts to train the Afghan Government, the public administration, the police and the army in order to strengthen democracy and the structure of society. A strong and united Afghanistan is capable of fighting rebel criminals. There's a lot of work to do, and it's gonna take a lot of time. Without international and many kinds of help, Afghanistan will not survive. Leaving it to its own devices is not the solution, but by doing so we will help the spread of terrorism to its neighbours and perhaps even further away. Afghanistan is therefore still a fragile state. Therefore, improving the security situation is a top priority for the country's development. Development cooperation has achieved significant results, as has been said here: life expectancy has increased and infant mortality has decreased considerably. Above all, Finland has invested in the development of basic services, especially in the education sector, including the provision of girls' education and the literacy of women. In fact, Afghanistan receives the most support from Finland’s development partners. In Afghanistan and neighbouring areas, 20 armed groups are estimated to be active, mainly in the drug economy. Afghanistan is the world's most important opium producer country. Many armed groups are competing for power. The NATO-led ISAF mission ended in 2014 and since then the security situation in Afghanistan has slipped downhill year after year. Following the ISAF mission, a NATO-led Resolute Support operation involving approximately 13,000 soldiers was set up. As a result of Operation RS, responsibility for security was transferred to Afghanistan's own security forces. Now the United States is proposing to strengthen the operation to 16,000 soldiers. Finland's share would rise from 40 to 60 soldiers. In the background of the reinforcement of the forces, there is, among other things, the strengthening and activation of Taliban in the run-up to the parliamentary and presidential elections. It is envisaged that Operation RS will be extended until 2024 by the decision of the NATO Summit in July. Currently, Finland has 30 soldiers in Afghanistan. Twenty of them are in Kabul and ten are in the north of Germany. It is now proposed that the number of Finnish soldiers be raised to 60 and that the majority of them be placed north in Mazar-i-Sharaf. There'll be a few staff officers left in Kabul. There would be one team of jägers, military advisors and trainers, as well as staff. I think the solution is a good one, because Finns have previous experience in the region and cooperation with the German group responsible for the region has been smooth so far. In Afghanistan, then, we are in a stalemate situation in chess terms. There is no military solution to instability; a political solution is needed. However, it will not be possible without the presence of international troops, so that development cooperation and civilian crisis management activities can take place. [The President knocks ]
ParlaMint-FI_2018-06-12-ps-64.u110	Mr President! I am here for the first day now to continue the role of MP and to learn the ways of the house. I have just learned that it is absolutely pointless to ask for actual speeches in such debates, because after the group speeches there will be a debate and after the debate the ministers will leave the Chamber and those responsible in the committees will leave the Chamber. Then we can have a three-way conversation here. Maybe someone in the study is still listening. You learn new things all the time. In my reply I spoke about development cooperation. There is nothing to add. When this matter was raised under the Vanhanen 2nd Government, it was decided to increase the number of troops. I opposed it, I did not think it was justified, but I remained in the minority and that decision was taken, but with regard to development funds I stood by. This operation in Afghanistan shows how crucial it is when it is decided to go along with an operation. If I remember correctly, there was a situation in Afghanistan that some NATO countries did not participate in the war in Iraq and then showed solidarity with the United States and the major NATO countries by joining this operation in Afghanistan. Norway was one of these countries, and when Norway, Finland and Sweden had close links with each other, we moved in this kind of Norwegian wake. Sweden then had a new military doctrine, according to which regional defence had been left aside quite a bit and focused on crisis management. It was a good idea for them to join the crisis management operation, and Finland then joined the crisis management operation. What happened here is that the camp or group of neutral countries was divided. Austria and Ireland, I think both, sent only a few people and a ticket to the headquarters. Instead, Finland and Sweden joined these forces. Subsequent developments have shown that it is very difficult to disengage if you go along. In that sense, that consideration at the time should have been made in a different way. Well, in any case, I think it is important that, in the context of the discussion of this report, a broader consideration be given to the whole of Finnish military crisis management. Mauno Koivisto wrote in his Russian idea book back in 2001 that Finland has taken the path of Charles XII: we use too much military resources outside the country's borders and we are not able to invest enough in defending our own country. Charles XII destroyed the Swedish army in Poltava and was unable to defend Finland afterwards. The scope and quality of military crisis management is also an important issue for consideration in the sense that new activities are being planned and developed throughout the European Union. For some incomprehensible reason, Finland has joined France as a leading force in the development of defence cooperation and common defence, and there is an ever-increasing development of crisis management. Last year a crisis management exercise was organised in Lapland with 100 fighter planes from different countries. I wonder what they were practicing, other than military attacks on targets outside the European Union. Otherwise, the European Union's crisis management activities will also aim to achieve ever more intense crisis management. Now that France took the initiative to develop such a tougher response, Finland already understood whether it would be worthwhile to go there. In my opinion, Finland must now carefully consider first of all how much we spend on military crisis management and then consider how it is shared between UN operations, how far it is involved in NATO-led operations, and, above all, what is being committed to within the framework of the European Union and what is being conducted there. In my opinion, it is very strange that Finland is here, in fact, alongside France, in the pursuit of these tough crisis management projects and in the pursuit of a common defence even for the European Union.
ParlaMint-FI_2018-06-12-ps-64.u111	Madam President! Finland is a superpower in civilian crisis management. It may sound like a worn - out saying, but it is by no means a coincidence. According to a survey published in spring, Finland sends nine people per million people to civilian crisis management tasks. This has put us at the forefront of the EU countries. Our position of power is a great achievement, and it is based on consistent work. We should be proud of the work we have done. Civilian crisis management is one of the areas of our foreign and security policy in which Finland has a greater influence on the international tables. Another very obvious statement for us is that of universality. Finland has chosen comprehensiveness as the starting point for its crisis management activities a long time ago. The totality bends into many. It's a political line. It's a political line. In addition to its own operations, Finland also promotes international cooperation. Comprehensiveness is also a way of working. All existing means, be they military crisis management or civilian crisis management, development cooperation, humanitarian aid or mediation, complement each other and are used for the same purpose, to support stability and peace. I believe that the importance of comprehensiveness will only be strengthened in the future. Unfortunately, crises are not diminishing, but the resources available, both for individuals and for the economy, can do so. Comprehensiveness is a cost-effective activity. My understanding is that there are still many opportunities for Finland to develop our operations in terms of comprehensiveness. The security situation in Afghanistan, which has been discussed today, has indeed deteriorated since the completion of the ongoing transfer of security responsibilities to Afghan authorities for several years and the termination of the International ISAF mission at the end of 2014. It was expected that the attacks would increase, and this has happened. As the violence continues, the battles have expanded from southern and eastern parts of the country to the rest of the country. This lack of safety is compounded by the increase in conventional and organised crime and the number of kidnappings. It is not estimated that there will be any substantial improvement in the security situation in the near future. Although Afghanistan’s main responsibility for security rests with its own security forces, international support for Afghanistan’s stability and security authorities continues to play an important role. Support for crisis management and the security sector in Afghanistan will also contribute to regional stability and international efforts to combat terrorism. A few words about women in Afghanistan, although they are, and fortunately they have been, there has been a lot of talk in this debate: according to Human Rights Watch, only 19% of adult women in Afghanistan are illiterate, 49% of men are illiterate. Almost half the women get married when they're under 18. The consequences of early pregnancy are devastating; statistically, one woman in 50 dies in childbirth. Girls who are married or engaged at school often have to drop out of school. And the background is not only cultural attitudes, of course, but also enormous poverty. Compared to the early 2000s, living conditions in Afghanistan have improved, but since rapid progress, progress has slowed down. According to the UNDP Human Development Report, life expectancy is 60.7 years, which is significantly more than the estimated 44 years at the beginning of the 21st century. In particular, the mortality rate of children under the age of five has decreased and more than half of births involve skilled staff. According to the Afghan Statistical Institute, almost 40% of the population live below the poverty line. In 2016, GDP was only $562 per capita, where Afghanistan ranked among the 15 poorest countries in the world. Much has been said here about opium production and, of course, it is hoped that it will stop, but it will never stop unless other crops are found suitable for the conditions in Afghanistan. Poor farmers from opium quickly get a good income, but the cultivation of crops, for example, does not want to become a business for them, that is to say, they should simply develop species suitable for those conditions. But at the end of the day, when time seems to run out, I would like to say that we cannot leave Afghanistan alone at the mercy of the Taliban or other terrorist organisations, but we must continue to help them.
ParlaMint-FI_2018-06-12-ps-64.u112	The 9th item of the order of business will be presented for the referral. The Council of Presidents proposes that the matter be referred to the Committee on Agriculture and Forestry.
ParlaMint-FI_2018-06-12-ps-64.u113	Mr President! I would like to thank you for this government proposal to end the calming down of the female as of 1 August 2018. In spite of the fact that the walrus, or hakkinen, is a coat of arms of my municipality, Sauvo. I do not know why such a choice has sometimes been made — the female is actually a scavenger — but apparently because: There is a high church and a church tower, and the female is a church bird, as they say. Transferring the female to an unsettled bird is a very important measure. Over the last few years, the population of the female population has grown strongly. The walrus causes damage by, among other things, blocking chimneys and other structures, mixing the environment with its feces and destroying nests of other birds. The walrus also causes damage to agriculture. The damage seems to be particularly concentrated on south-west Finland. The damage caused by the female has increased and most of the damage is not known to the authorities, since claims for compensation and the search for an exemption are only the tip of the iceberg. Nevertheless, the disadvantages shown are significant. In a resource-saving way, stopping female tranquillization solves many problems: paying compensation, frustrating search for permits and delaying permit testing. Mr President! I should like to thank Minister Leppää for doing more than that. After all, he has intervened in many important matters, including by facilitating hunting time by prolonging the hunting of a white-tailed deer, which in itself is a nice animal but is extremely difficult for agriculture and transport, for example, when it occurs so abundant here in Finland.
ParlaMint-FI_2018-06-12-ps-64.u114	Mr President! Mr Kiviranta has just brought up arguments, and this is an extremely awaited government proposal in the provinces. In view of the disadvantages that the females have caused both for the industry and for the population, that level of compensation is indeed only the tip of the iceberg. In that respect, this problem and this financial burden, which has been involved in compensation for damage, are not in such a way balanced, since neither compensation nor the write-off permit from Ely in Varsinais-Suomi has certainly been prepared to apply for it and has been affected by it. We are now in the process of reaching a situation in which, after 1 August, the female can be stopped and, as a result, a significant increase in food safety can be achieved when it comes to livestock farms, where the female also contaminates the raw materials of food in animal husbandry. Also when you look at summer time, summer markets in different parts of Finland, it is quite clear that there is such a health risk for all of us. For this to be seen as a holistic issue, these matters must be taken into account equally. Then when you think about the fact that this can also be taken into account in the future as a handicap in real estate like this, it will also greatly improve the image of the city when these can be chased away and stopped. The fact is that the opinions have also become a different point of view on this issue, but in view of all these arguments which I have just mentioned, we are now in the process of getting a good government proposal to the committee, and I am sure that this is the quickest way to get the report.
ParlaMint-FI_2018-06-12-ps-64.u115	Madam President! Nature conservation has its own value. I would just like to say that we rural people have always been conservationists, but we are well aware that if the stocks become excessively large, then they must also be removed and there must be the ability to solve the problems. This government proposal is excellent and very welcome. Finally, progress has been made. Of course, it has already been possible to remove the females if the damage is to be done to the building or to the yard, but now, of course, this law opens up a completely different possibility of bringing this position to its senses, if you say so directly. The assessment of the current situation has made it clear that the stock has grown strongly in the 21st century. The number of couples has been up to 110,000 nesting couples at the beginning of 2010. It's a very generous position. I remember very well myself when I have been the chairman of the game management association in my own municipality for a long time, that the hygiene damage is very strong in the church villages, and especially in areas with dairy activities, milling activities, there are very many females. They are the vectors of all diseases, and against that background, this solution is now a good one. It must also be noted that over 400,000 compensations have been paid each year, and it seems quite reasonable that this does not make any sense. At the same time, if a female has died somewhere and it has been found that a crime has been committed, it has become a fine of EUR 101. As far as legislation is concerned, much remains to be done. It has been said here that they are not sufficient to limit the position satisfactorily, and it is very, very good that a new opening has now been made. At this stage, however, I would like to raise a few other issues with regard to protection when there is a chance. We have now moved forward with regard to the female, and for this, of course, I would like to thank Minister Leppa very much. I think it is high time, when the ministry certainly reads our speeches, that I believe and hope, that this cormorants stock, which is beginning to be part of the coastal regions of the coastal regions, is also affected by the pollution of the landscape. Here, too, I think it would be good to move forward. I also know that the white goose population has grown large, and when it does not know those borders very well and flies outside the Finnish borders, hunting is immediately possible. Here, too, it would be good to have uniform practice in the European Union, because we are like the Community in this European Union. I think it is high time that these protection measures were put into uniform practice. At the end of the day, of course, I hope that when the bear populations in Eastern Finland have grown exceptionally large, the Ministry will use its powers and give a sufficient number of bear permits, that game animals can be hunted in these areas in the future.
ParlaMint-FI_2018-06-12-ps-64.u116	Madam President! I am in favour and I am very pleased that this amendment to the hunting law will now change the law so that the walnut is added to the list of unsettled birds, i.e. the oversized walnut population will finally be reduced without the current bureaucracy. Of course, many of us are harmed and harmed by even the very large population at local level, but, especially on farms, the stock of females causes economic losses, for example, by pecking bales and increasing production costs in a variety of ways, especially when production farms are protected from highly arrogant females. In addition to the unfortunate, harmful and economic costs, the very high local populations of the females at worst create a genuine disease risk and thus also a livelihood risk. Diseases spread by females to food have not been reached, but they have become considerable additional costs for the food chain. Mr President! The females do not only mess up and pose a risk of disease on farms. Last week, a meat farmer told of the females who attacked a newborn calf. The females attacked the calf of the suckler cow that was born in the nursery and sought to peck the soft hooves and eyes of the still defenseless calf. The female is not a very sympathetic animal, even though she is the coat of arms of Sauvo, as Mr Kiviranta told us earlier. Of course, calves are less likely to be born into pasture, but when this happens, especially in Uusimaa and Varsinais-Suomi, this overgrown female strain is a real pain in the ass. Of course, even in view of this risk, it is always the case that calves are not born into pastures, outcrops or farms where the females are allowed to enter, but when it comes to natural rhythms, this is not always successful, and it is therefore very important that we now have less red tape to thin overcrowded females. This amendment of the law is very welcome and long-awaited. I'm glad it's coming along.
ParlaMint-FI_2018-06-12-ps-64.u117	Madam President! The bird of death, as we used to know, is very common today in a large area. I think Finland is nesting well over 100,000 pairs of females today, and the differences are regionally significant. In fact, to some extent, it might also be worth considering solutions of this kind in the future, that such decisions would no longer cover the whole of Finland or such large areas, but rather perhaps consider regional solutions, if we really feel that there is a need for more women in one area, because in the big area they have certainly not been needed for a long time. And if the influence of the female, the dead body, were as it was supposed to be in the last few days, then I would no longer have this speech, for every day I see hundreds of females around my own district and church village. For the first time in the early 2010s, I was contacted by Loppi farmer Aulis Nikkola, who said that something had to be changed. I asked a written question then, but the Environment Minister, Mr Niinistö, did not consider it necessary to take action on this issue. Crops of grain, dozens of hectares in a moment, the females destroyed, also destroyed bales of fodder, destroyed the roof of the old church, roofs of many other churches and old buildings, pipes, flutes — not to mention the amount of feces that came into the environment, for example. I was thinking that we should leave the situation alone — Niinistö, Niinistö of the Greens, was not allowed to expect a change in the situation. I renewed my question at the beginning of this government, and that was when the matter began to receive a more positive green light, thanks to Minister for the Environment, Mr Tiilikainen and Mr Lepänen, Minister for Agriculture and Forestry, and now we have a proposal to remove the female from the list of protected animals and birds. Of course, this normal nesting period calm would still be preserved, even after that. Mr Reijonen made an excellent speech, and I could almost have said that I agree with it and ended my own speech on it. That is exactly what we have in the countryside today. We understand environmental protection, nature conservation, but moderation in everything, and that is what this has been all about. And I agree with the fact that, for example, cormorants are the following, you might say, a plague. They are already spreading to the lakes of southern Finland, and it remains to be seen at which point the damage is beginning to be the same as in the archipelago. Unfortunately, we have already seen situations in which people have taken the right to their own hands, which of course I am neither in favour nor recommending, but it reflects the situation, the frustration that there is no legal opportunity to intervene, such as the complete destruction of their own cottage island within a year. Then the geese and others are also significantly increasing. That is perhaps why I wanted to take this opportunity to thank Mr Nikkola, who raised my mind and my concern for this — I had not paid attention to it in that way, even though I have watched many flocks of females on horseback. The second reason was that we should consider such regional solutions, that it might be possible to dismantle a large part of a calming decision, for example, and, if necessary, a region could be left behind if it is perceived that populations, for example, are not sufficient and sustainable. And I do not believe that, in fact, any rural person is going to kill a female if the death birds of individual couples are occasionally seen flying in the sky. I would like to thank the ministers from the centre, Mr Leppä, the Minister for Agriculture and the Minister for the Environment, Mr Tiilikainen, for taking action. This law is already coming into force in August. In other words, when the calming period of this baby season ends, it will be possible to keep old buildings, new buildings, but also that our agricultural crops will remain our food.
ParlaMint-FI_2018-06-12-ps-64.u118	Mr President! I fully agree with Mr Heinos, as did Mr Reijonen with regard to the previous speeches. I asked for the floor because I thank Mr Heino for this speech in that he very well described the situation in many areas. At its worst, the situation is as dramatic as the representative described in his good speech. Let me add that I also understand that it may be difficult for those who do not live there or have not experienced the problems caused by this oversized population to understand the content and extent of this problem, both locally and regionally. It may even be a problem experienced by one farm. Females can fly from far behind to eat, disrupt the production and operation of one farm. It may cause a very local problem which, as Mr Reijonen described for the farm or industrial plant concerned, is extremely difficult in the current situation, for example for dairies. But it is also good to emphasise, of course, as Mr Heinonen has pointed out, as Mr Reijonen has also pointed out, that it is not a question of destroying a single species, but of the fact that the stock can be regulated much, much better and more flexibly than it is at present. The female must have her own place in the Finnish ecosystem in the future, but these oversized, overly dense stocks, which cause very serious problems, must be able to and can be reduced in much easier ways.
ParlaMint-FI_2018-06-12-ps-64.u119	Madam President! The amendment to the Hunting Act in this direction, as proposed by the Government, is very good and justified. There are many species in Finland that could be hunted in such a way that nature would not actually suffer at all, quite the contrary. The female is a good example of an explosion in its position. The same has happened, as has been the case in this debate, for example with the cormorants, which are beginning to show huge damage. For example, everyone has been on a boat trip to Stockholm. On the way you can see the islands that have died in practice. All the trees have been destroyed and cause irreplaceable damage because the recovery of nature in these areas takes a tremendous amount of time. I hope, Mr President, that in Finland the balance will finally be struck in hunting matters, that we can genuinely manage the positions. We have a good example, even if it's the management of the wolf population. After all, we have been given the impression that the wolf is an endangered animal, although it certainly is not. We must remember that there is a huge wolf population on the west side of Ural, and Finland is on this edge of the region, on the western edge, an area where there are a huge number of wolves, if not enough, in the view of some people locally, quite certainly too much. In these hunting matters, unnecessary fanaticism should be thrown away and a reasonable approach to the management of stocks, which is the only way to do so. Hunters in this area will certainly shoulder their responsibilities, know their jobs, and, above all, we have very good knowledge in this area from hunting organisations and also from other sources and, of course, from the Ministry. Why aren't we taking advantage of it? Unfortunately, many species are listed on the endangered list of the European Union's Habitats Directive, although it does not belong there, and it has caused the situation we have in Finland, for example, with regard to large predators. I would like to see some sense in this matter. This government proposal is a good one and very worthy one.
ParlaMint-FI_2018-06-12-ps-64.u120	Madam President! There has been a good debate here on the matter where reason is finally winning, and we will be able to thin out the sandstocks in areas where they cause damage and are a problem for both old buildings and newer buildings and, as has been pointed out here, also for the food economy and agriculture and many others. But, in fact, one of the messages of this debate should be that we should also look for more flexible ways in these cases, for example, when calming works, and it may be necessary to have easier national means of eliminating problem individuals or problem populations. This is not just about individuals, it is about larger groups, and it was precisely the pain that, for example, the Loppi farmer Aulis Nikkola carried on his neck for a long time. At Lope, we have had a very rough population, perhaps for some twenty years — at least what I myself remember. During this time the damage has been extensive: the old church roof has been renovated at least a couple of times, with a large number of female populations being part of it. Even then, it might have been appropriate to find lighter ways of dealing with a very large regional population. And when I looked at the old churches in Turku, for example, it has been necessary to make exceptional decisions in old buildings to protect them from the disadvantages of such fast - growing bird species, and then to look for them. Quite a lot is said about wolves or other types of problem individuals, but it should also be possible to talk about problem populations, which may be very destructive locally.
ParlaMint-FI_2018-06-12-ps-64.u121	Madam President! To the extent that the situation that has developed in Finland is visible in my municipality of residence, Ilomants, for example. Everyone knows that the crow is a cultural animal, it seeks to get its food more easily, quite natural, but it has happened in my municipality of origin, at least in the suburbs, where the females have taken over the industry and the crow has had to give way. The old fellow crow has had to give way to the female this time. That in itself would not bother us at all, but the problem is that their behaviour is sometimes extremely aggressive, as Mr Heinonen well described, and this is something that needs to be addressed. That is why we Finns should come to our senses in this matter. This is an excellent example of wolves. There have been dozens of near-miss situations with wolves in recent years. Yet we are given the impression from the Natural Resources Center that there is no problem. Should a child lose his life that we are gradually beginning to believe that the situation is serious? The wolf belongs in the wild forest, there he gets to run completely free and get his food, but when he moves in the yard, it doesn't belong there at all. In the recent debate on the management of various animal populations, game stocks, or whether an animal has been completely protected under the Nature Conservation Act, we need to reach a civilized level in Finland. We have taken nature conservation to such an extent that it seems that every single variety must be protected, even if the regulation of the stock is the only way to get things right. For example, I can mention a bear. We Finns have been fed that it is a nice Teddy Pooh with whom it is nice to live and be with. The opposite is true. My friend told me a case where a bear came to the yard when strawberries were collected from the field. The bear ate strawberries on the other side of the garden bench, and people were on the other side of that garden bench. It doesn't make any sense. It is an immediate life-threatening situation, especially if the bear has puppies nearby. It's an immediate life-threatening situation, and this is just a game. How many more people still have to lose their lives, believing that this doesn't make any sense anymore? The stumps have exploded, and hunting soon seems to be a crime in itself, if anyone engages in it. That weekend I visited a person in Kainuu, and there are so many wolves in their territory that children are afraid to go out alone at night. They're under curfew. You can't go out on your own and play with friends, kids your age, you have to have a parent with you so you can play that it's safe. Continuous wolf visits in the yard indicate that this business has gotten out of hand. The conservationists at our house are talking about the need to protect these animals. There is nothing here to protect but the selfish thinking of man from his own ideal. We must be able to protect these stocks, of course, but we must also be able to regulate them in such a way that they are removed and, in particular, those animals which do not behave in a species-by-species way. For example, a wolf will certainly not behave like a species if he comes to the courtyards. [The President knocks ]
ParlaMint-FI_2018-06-12-ps-64.u122	Madam President! There have been extremely good speeches here, and it is here that the whole point of reason prevails. Here we see the overall way in which we can begin to punish and reduce these super-positions so that they will certainly not be so harmful to the industry in the future. It is also a fact that Mr Tiilikainen and Mr Leppä have taken over this matter on a rather fast schedule, and now we are here to deal with this in Parliament so that it is possible to do so from 1 August. Here, among other things, Mr Heinonen has made extremely good, detailed speeches on the level of handicaps, measures — many other representatives — and it must be said that we can also come to the situation in the future, that we will have to think about the way in which we will then be able to eradicate this dog that has been transferred to the hunting law more widely from its territory, because this laundering time soothe remains, which is, of course, also terribly important from the point of view of nature's ecology. But the fact is, there has also been a great risk. Fortunately, nothing significant has happened to the food safety of these animal diseases, which are also being moved by wild animals to the farm. This has been a very significant risk in the hands, and that is what we are going to reject. And it must be borne in mind that neither do the entrepreneurs of the industry who have been in much contact with this issue during these years want to completely remove the female from the ecology system of nature. But it is a fact that the disadvantage must be eradicated. Well, of course, there have been many different possibilities at the moment — the sound effects have been used to getting them out of there — but as you can see, the natural animal is also accustomed to various distractions and comes again and again, and it remains the same place in it. Then, considering the compensation that has now been compensated for the damage, over 400,000, it is indeed just the tip of the iceberg. If this had culminated in a serious increase in animal disease pressure on livestock holdings at some point, we would have had big problems as to how insurance cover would have covered the dairy farm, the beef farm, or anyone’s actual damage.
