ParlaMint-RS_1997-12-29-0.u44	Injury of the Rules of Procedure.
ParlaMint-RS_1997-12-29-0.u195	Time, Mr. Wolfie.
ParlaMint-RS_1997-12-29-0.u196	The time of the Serbian Radicals, Mr. President, is just coming, and your time and your political parties are long gone. Now, let me tell you, you're going to let me say this, I have to mention those who stole the most in Kosovo and Metohija, to get to know the public.
ParlaMint-RS_1997-12-29-0.u197	Well, that has nothing to do with the budget, please.
ParlaMint-RS_1997-12-29-0.u198	Yes, there is. They are potential members of the government, which will be financed. These are: Miladin Ivanovic from Peći, who was the most brutal in these thefts and abductions in Kosovo and Metohija and the worst procedures towards Serbian radicals, Dragomir Pavlovic from Kline, Dobrosav Radović, Slobodan Lakovic from Peća, Zoran Milosevic from Oblic and Dragan Spasic from Vučitrn, who even believed or did not, in a certain restaurant celebrated election theft, and besides election theft, he also celebrated the beating of Serbian Radical Party MPs, so watch the consequences.
ParlaMint-RS_1997-12-29-0.u199	There's a word from MP Dražimir Marusic.
ParlaMint-RS_1997-12-29-0.u200	Dear President, ladies and gentlemen, the proposed law package with the budget as a basic law certainly calls for great public attention and is particularly an inspiration for each individual, because each individual has an account, a policy is being determined for a year. Tonight I expected and heard different comments, however, we have to be honest here and we need to be correct and honest, since this is the first time that this is transmitted, after a long time, that the public listens, but this is still said under the tensions of election results, dissatisfaction and all that, and indeed, there are not many real assessments. The question is whether or not the budget is needed, whether it needs to be brought, whether this government has competences etc. We all know, the Constitution says, that it is competent for this, and that the happiest and best for every government, for every country and assembly, is that in the calendar year, the previous one, for the next one, it is what we are all, even those who are not experts in this area, we have learned. No matter what I belong to the SPS and I can be told that I am surely in favour of this government, I must say that this budget is at least the correctest budget for these five years since I have followed them and represents a major, significant step in relation to all the budgets we have had here to adopt. I'll tell you what makes me feel that way. I'd pick three things. First, that budget is real, stimulating and anti-inflational. When I say it's real, I start with having real revenue sources. I don't get carried away at all, and I believe neither the government nor anyone can say that everything that needs to be paid is covered. Normally, we know what a gray economy is, how it was created, in a period of severe sanctions. But the quality of the scope of the taxpayers is increasing every year, and I'm sure this year will be a far more favourable situation, in the next more favourable situation than in this one. It's about one reality. It's about the quality of income. In terms of the need, which the budget should finance, it is well said here that it is essential that the government has looked at all needs and assessed realistically that it cannot meet them all. It's got to spread all over the gobber as much as it can. But it's very good for the government and to praise that she's made a turn, redistributing to those social activities, which have a social function, she's rerouted some of the resources for health care, pensioners. Not to say what it even means to function these actions. The budget is really encouraging, because we don't have rebalancing and new loads. So we have a balanced load and everyone who wants and wants can do production, go in with certainty. All taxpayers have the same relationship, legal certainty that they can develop normally and deal with economic activity. I'd like to add a special commendation and a grade, which few people have noticed tonight, which is a commendation to the agrarian budget. We've had opportunities and pleasure here to introduce him. Next, just like all of you in line in these election activities, I can tell you that the best and the highest estimates are given for the function of the agrarian budget. Three basic activities - agriculture, water and forestry, regardless of what the first steps are, have yielded their results in both the individual and social sectors and the resolution of some accumulated problems. These three actions, which bear the burden of the whole period we lived in. And logically, these two basic characters also produce an anti-inflation character from these two postulates, which guarantee the stability of the dinar course, which we all stand for and I think neither on the left nor on the right there is anyone who can say anything about a stable course of dinars and never repeat the 1993 period. Since I'm also the president of the community council, I'm going to say something about the Law on the financing of municipalities. He's improved compared to the previous state. No matter what they share here, so it appears, I don't know, the word is whether Vojvodina takes so much, gives so much, comes back to her this much, and I could say the same about Milanese. However, it is one inadmissible. Through all kinds of financing of shared needs, it returns through needs far more than when something like a single segment is ripped out and presented here. The improved state of municipalities in financing is good that municipal consumption in municipalities at the previous level has been retained. I suggest we adopt this budget, with real remarks.
ParlaMint-RS_1997-12-29-0.u201	There is a word from MP Stevo Dragisic, and let MP Tomislav Milenkovic be prepared.
ParlaMint-RS_1997-12-29-0.u202	Ladies and gentlemen, at the beginning of the debate on this issue, I was talking about the government's proposal to return a 3% tax to Belgrade citizens, and this time I want to say what I couldn't because of the time, which limits MPs. First of all, this tax was already imposed on Belgrade's citizens, at a time when the SPS ruled Belgrade. At that time, all the committees and all the parties, which were at the time the opposition in Belgrade, so both the SRS and the SPO were fierce against the tax. We all attacked that tax back then, talking about it as a big charge, tough guy. In a pre-election campaign in 1996 for local elections, each of the opposition parties wrote in its pre-election programme and said they would lift that 3% tax as soon as they won power. The Together Coalition has managed to win power in Belgrade and a 3% tax has been decided at one of the sessions. That was preceded by statements by the head of the city government. Most of all, it was preceded by Mr. Krunic, the current president of the Executive Board, Mr. Milan Bozic, vice-president of the City Assembly, and even Vuk Draskovic himself joined the campaign. In March of this year, he called on the new city authority to abolish the Belgrade-based harasser, predicated such a decision. After several months, however, the SPO made a big trade, toppling its own principle. In an explanation, which they gave at the City Assembly session, they said that every city in the world has a certain tax, for example, New York has 14% and so on. But they forgot that in the U.S. social aid is a minimum of thousands of dollars, and there's one salary of 500 or 600 dinars here, so there's no way to pull that kind of parallel. And the Republic government, for its part, has approved the introduction of this tax of justice with the alleged concern for the Belgraders. If they care about the Belgraders, then they should not impose a new impose on them, but they can be dealt with in a completely different way. Since all Serbian citizens are already paying taxes to the Republic and that a certain percentage of the tax is being set aside for municipalities and cities in Serbia, the Republic should increase Belgrade's share of total sales tax if it cares for Belgrade and Belgrade's citizens. I wonder why the City Assembly or the Executive Board or the chairman of the Executive Board did not submit an amendment to the Law on the participation of municipalities in sales tax. Because we remember even that Mr. Aleksandar Milutinovic, who is present here, repeatedly reiterated in his public appearances that the solution to the lack of money in the city's cash register was just an increase in Belgrade's participation in the sales tax. To make the paradox bigger, that percentage was even lower compared to last year. It was 12.5%, now it's 7%. The SPO, or the city government, is silent, has not even submitted an amendment to return to that last year's amount, but has been silently agreed to remain 7%, so less than it was before. On the other hand, when there was a 3% tax, we need to remember what it was done in Belgrade. Is something done to improve public traffic in Belgrade? What's a public traffic collapse hasn't happened in the past few months. It wasn't all the new buses last year, so suddenly they fell apart as the new government came. So, the bad buses were inherited. But they were inherited by the previous government, which also collected that 3% tax, and did nothing to improve traffic, municipal infrastructure and Belgrade's railway node. Among other things, Belgrade's railway node has been built for more than 20 years and it is a republican investment, not a city investment. So we've already had a 3% tax and nothing has been done with that 3% tax, nor has public traffic improved, nor the municipal infrastructure. Water supply's a mess. We still have shortages during the summer, and the warming of this winter was catastrophic. It's lucky they're not as cold, so it doesn't feel as good as it could. And everything else. This 3% tax will not solve anything, it will only impose additional pressure on Belgrade's citizens. And don't hide behind the phrase that we're against the Belgrade citizens because we're against the SPO. First of all, we are neither against the Belgraders nor against the SPO. We are against an incompetent city government, made up of SPO officials.
ParlaMint-RS_1997-12-29-0.u203	He has the word Tomislav Milenkovic to prepare Spasoje Krunic.
ParlaMint-RS_1997-12-29-0.u204	Dear President, honourable MPs, for this debate on the budget in principle, I'd just like to say a few notes. I think it is important to adopt the budget today, and not only by adopting it, to ensure continuity and security in financing public expenditure, but primarily because it is an important act or an important act that depends on the planning of the economic activity of other economic operators in the following year. From the point of view of the reality of the budget that has been said here and whether it is possible to treat it realistic, the fact is known to most of the people present here that the budget is an important factor in ensuring stable conditions of engagement. Thus, in 1997, it showed that a sound budgetary policy ensured price stability, a course, to ensure industrial production growth, profit growth, standards growth. Therefore, there is no real possibility of financing the budget, public expenditures being financed from unrealistic sources without inflation happening at the same time. That did not happen this time and given the fact, the defined 1998 budget framework also obliges this government, as these are also the basic and strategic objectives of economic policy for 1998, to ensure a high level of economic stability. This means that it's basically a realistic budget, both from the perspective of real income and from the point of view of expenditure. Therefore, the budget is important to bring at the end of this year. It is important to bring the budget as a central element for planning economic activity in 1998, and it will in fact help other economic operators to plan their business activities beyond the new year. From that point of view, I'm pushing for us to adopt him tonight.
ParlaMint-RS_1997-12-29-0.u205	He has the word "Spasoje Krunic".
ParlaMint-RS_1997-12-29-0.u206	Ladies and gentlemen, as soon as possible, I really didn't want to answer and ask for forgiveness because it's late enough and we're tired enough, but when there's some untruth and when there's talk and anything in the Assembly of the Republic, then it has to be answered. Of course, I am first of all pleased that after the talks, the agreements, the negotiations, the public appearances and the press, on radio and television, the Republic government reacted this way and assessed what was not at all difficult to assess, which has shifted us from the first moment since we were in the City Assembly that 3% of us didn't have to end and that this was our fault. Gentlemen, that mistake is evident, as in any case when someone gives up any income, he is inevitably making a mistake. The one who makes the mistake must have some reason. At a time when we suggested that the 3% tax be abolished, we had clear, precise and discreet convictions that this law would not get its extension, because it was in vain whether we were looking for it or not. On the other hand, there was a certain, severe, well-known to all of you, although in one part of the people of Serbia, who thought the time had come, that the elections would start a fiercely direct environment and that elections would come to such changes, that there would no longer be a need to talk about the extension of our isolation, our suffering, that we would come much faster to talk to the world differently and that this was our only goal. This is what we confirm today. I apologize to those who have had the opportunity to hear, especially to the gentleman, whom I will not mention, who had the opportunity to hear this, so I guess he's trying to reduce his home education and insist on not allowing himself to talk about what needs to be done today. Gentlemen, we don't think it's enough to talk about, that we had a chance to consider a 3% tax in a situation where we weren't really present in that assembly, that we were saying what we were saying, that, but that, let's just say, the White Node was just a Republic that wasn't true, because for the total investments that the city had so far, in our knowledge, it wasn't true, and it gave a lot more than anyone else, there was a Republic, anyone else. We think it's very important that you understand the situation in which the communal systems are located. To realize that none of the trolleybuses, or buses that are moving in our streets today, are within the bounds of the exploitation century, and we do have such trams. As for the plumbing, we are in an extremely difficult situation, 75% of all the pipes in the city's territory are over 25 years old. Their exploitation century is 20 years. In the city's cleanliness, dumps are in an extremely dramatic situation. The economic potential of the city is such that at least those present in the City Assembly are well - known to the committees how things really stand. I don't think a 3 percent cab can be talked about so superficially and simply. That is why I am very pleased that the relevant committee has accepted the amendment that, based on what is said there is an estimate that Belgrade has no possibility, at least not in the coming period, to help anyone else, to the Belgrade citizens themselves. Therefore, he would ask that any subsequent exposure related to Belgrade and a 3% tax be based, if at all possible, on data rather than improvisation, which want to reduce this or that side, this or that decision.
ParlaMint-RS_1997-12-29-0.u207	The reply was requested by MP Dragisic.
ParlaMint-RS_1997-12-29-0.u208	He didn't mention me directly, but his exposure was about what I was saying. He didn't understand what I said. Mr. Crown, you and I understand each other very well. We discussed this a few days ago. From that debate, most of us in the congregation, where you and I are members, have made no decision. However, you should tell the Belgraders why urban traffic works badly, why poor water supply is bad, why is there no garbage in Belgrade, why infrastructures don't function badly? And when you explain that to them, you need to tell them what your personal responsibility is. When we determine your personal responsibility, we should also consider the consequences that you need to endure. But because your authority is unable to ensure that all municipal needs of citizens are met, it should resign. And not to impose on those citizens whose needs you need to satisfy in order for you to prove yourself capable. You have a few solutions in front of you to secure the money. First of all, you can cut costs. Here, for example, Studio "B". Studio "B" is owned by City Hall and the City Assembly can primarily sell Studio "B". This year, Studio "B" cost Belgrade 15 million dinars. That's what the budget says for Studio "B." With 15 million dinars, a new highly equipped television station could be opened. The best in Serbia -- here's Mr. Wolfie throwing it at me. Instead, Studio "B" is still in bad shape, a bottomless barrel, and with 15 million dinars, 40 new buses could be bought for the city of Belgrade. And every year for 40 new buses could have had a major impact on improving traffic in Belgrade. However, it seems important for your party to have one television station under its control, and it does not matter whether this TV station is owned by the City Assembly or owned by a private person. And for the city, it's much cheaper to sell Studio "B" to make some money and save 15 million dinars with which to buy 40 buses. And so there are many items where savings can be achieved, not a 3% fee to cover your incompetence.
ParlaMint-RS_1997-12-29-0.u209	Thank you. There's a word from MP Stevan Marinkovic.
ParlaMint-RS_1997-12-29-0.u210	I give up.
ParlaMint-RS_1997-12-29-0.u211	He has the word Minister Milacic. (The word is Tomislav Nikolic.) Here you go.
ParlaMint-RS_1997-12-29-0.u212	Ladies and gentlemen of the People's Parliament, to bring down the debate regarding the Serbian Radical Party, and I'm really going to use your time very briefly for that. Political theory and practice recognize the MPs of government and opposition in many ways, and here today we have had the opportunity to do it in two cases, waiting for us another third. So, it depends on how you vote for the election of the President of the Republic, how you vote for the government and how you vote for the budget, you immediately define whether for power or opposition. Today we have given all MPs the opportunity to show whether they are in power or in opposition. Today we had the opportunity to force Milan Milutinovic to take an oath here, to come out of the opposition MPs, to have no quorum and no oath. Serbian Radical Party MPs are out of the O.R., everyone else is in the O.R. I think Mr. Canak has come out, too, and he's already declaring that he's out. I see you're throwing, but it doesn't matter. A voice from the MP's bench, "I didn't throw anything away." ) We did not want that oath to fall upon us in a curse that we chose a president who did not win the election. Today we gave everyone an opportunity to accept that the Law on Radio Television could be discussed, today it could have fallen to Bastille, but only the MPs of the Serbian Radical Party were for the bill, all the others were for not to fall to Bastille today. Today, the budget of the Republic of Serbia is on the agenda. Serbian Radical Party MPs are against this budget, all others are for this budget. Only Serbian Radical Party MPs are in opposition today in this parliament. I don't count small parliamentary groups - not to be angry, but I can't significantly influence relations in the Assembly. So today, things have cleared up, it's like an hour before the regular session is over, and we've got a budget vote ahead of us. And no more stories in the people, it's all clear now, it's good that there's this television broadcast, obviously that the coalition of the Socialist Party of Serbia -- the Serbian Movement of Renewal, the reality, is no longer a hint made by the Serbian Radical Party, but absolutely prevailed in this assembly. That's all I wanted to say to the MPs sitting in these benches -- when there's a budget vote, if most of them are those who are against the budget, there won't be a budget, and the government will fall. The socialist government will fall. Another time would be in history. Once we took it down in 1993 when the president of the Republic had to disband the National Assembly and now this would be the second time that the Socialist government fell. It is the task of opposition parties in this assembly and therefore we will vote against the budget of the Republic of Serbia.
ParlaMint-RS_1997-12-29-0.u213	Thank you. He has the word Minister Borislav Milacic.
ParlaMint-RS_1997-12-29-0.u214	Dear MPs, to come from the end, from what Mr Nikolic has ended up with. The government is certainly aware of the roles and the fact that it appeared before the Assembly, that within the Assembly where the majority assembly does not exist, it comes out with a draft budget. She risked, normally, the Assembly's assessment of what she was proposing, where she'd take the money, and what she'd spend it on. And we announced it, unfortunately, in a short time. Surely that remark that was heard during the series of exposure stands. It's standing, but for what. It stands because public spending policy is not part of a policy that concerns exclusively the jurisdiction and decisions of the Government of the Republic of Serbia, but is a coordinated work that is going on and on about the policy that is being established in the Federal Government, which is related to monetary policy, and these policy segments had to fit in so that a comprehensive and clear programme could be done, with which to go before the MPs, and we have just come out. At the same time, the critical court, however in a short time, for the consumer policy proposed, was absolutely sufficient. It was time enough to figure out where we're going to get the money and what we're going to spend money on: what goes into public spending segments and classic budget functions, what goes into funds, what is defined by municipalities. And my impression is that in most of the public spending policies that the Government of the Republic of Serbia has established is supported by MPs. It is not attacked, the need for proper redistributions to be implemented by this policy has not been disputed. It was an estimate that it was an inflationary budget. I have to say that the first starting point of this budget was the revenue of the Republic of Serbia in October of the month, so the real money was that came into account -- the basis and the parameter of checking whether we could handle this or not. And normally, like every budget, like any public spending, even a richer state -- there wasn't enough money for all these functions, it wasn't enough and we can't, especially since we made public announcements here and we said to pay for some backlogs of the past, that we have to look for extra money. However, the social function of this budget has the first priority and has been established as such. In this part, we have full responsibility for what we propose and we think that this is the quality of the budget, such as the quality of the budget, within that social budget that we want to develop at the level of that growth that would be the largest, we know -- with a small base, but still it is a high growth rate, to put part and preserve incentives in the budget that have not only a small dimension, that is almost 10% of the total budget that needs to be returned to the economy in the context of the incentives of development, especially agriculture, but also regional development. In regional development as well as regionalisation and regional spending of money, I think it was the most dangerous assessment that has been given here from a pay phone and should be understood, not only by MPs in the Assembly, but when we are able to monitor our exposure widely. The story is that Vojvodina participates with 30% in the creation of a social product, and that 0.4% is given through the Serbian budget, not simply correct, is the abuse of the facts that stand in the budget decision. The budget decision gives 0.4% to the Vojvodina Assembly on the basis of its request to finance the work of the Assembly, which has been established as a figure based on the strict and same criteria that has been established for both the Serbian Parliament and the Kosovo Assembly. It is the financing of the administration and the principle of how pay is determined, the number of employees, the material costs of employees and other functional expenditures. That's the item and that line is determined by that number. In addition to that figure, all municipalities are financed directly in Vojvodina and this is part of public spending and tax instruments. In addition, when I talk about it, it is funded in both Vojvodina and Belgrade and Kosovo and other parts of Serbia. The cuts financed by the functions, salaries and material costs, the works financed from the Republic's budget shall be evenly distributed to the whole Republic according to their activities. So, if education goes to elementary schools, for teachers' salaries, for material costs, for current investment maintenance, and it goes to the same criteria, it's not colored money, because we don't make the Republic's budget of the difference between regions. How do you get that money and where do they come from? Surely whoever's more developed will always make a bigger contribution to filling that whole cake than the other part that doesn't. It is also a story for Belgrade, because Belgrade is also a large centre, a large consumer centre, and it certainly contributes more to the budget than it gives underdeveloped environments where traffic and trade are small. How do we think we're developing the Republic if we keep each of our own couples at our own door? That policy has nothing to do with it. This policy is clean and unburdened by the political relations that sit where it sits. The additional funding money for municipalities has a unique criterion for how many people they have, how many schools they have, how many children they have, etc. the total funding of municipalities is determined accordingly. In addition, additional funds have been allocated to cities beyond that specificity criterion. So, in that division of funds beyond these criteria, Belgrade got 60 million, but Novi Sad got 16, got Nis, got Kragujevac, got Pristina. Therefore, this policy has nothing to do with it. This policy is principled and defined in these directions. Let me just say about the tax on Belgrade. It is our commitment to propose this tax for Belgrade. The original proposal envisioned its introduction by the City Assembly. The balances are all over the place. We do not think that the tax on Belgrade will solve the issue of Belgrade, but it will achieve a material incentive to be more responsible for resolving its situation. In this regard, we support the adoption of this tax because we remain on this proposal as defined.
ParlaMint-RS_1997-12-29-0.u215	Thank you. The word is Nenad Canak.
ParlaMint-RS_1997-12-29-0.u216	I didn't want to touch this political component that's mentioned here right now, but I must say, if this 0.4% mentioned here is exclusively for the administration, that is, the state of Vojvodina budget serves exclusively for the financing and payment of officials, and in that case, the province of Vojvodina doesn't exist in fact. Whoever doesn't have money isn't even alive and it's a very simple principle. This is all a story for small children for the simple reason that if you mentioned sir that it's about how many schools, how many children do you have, then explain to me how it can be in some municipalities the percentage of your participation in sales tax is 37.7% and Novi Sad 6.5% and that's exactly what it's all about. We're just asking that if this 0.4% goes exclusively for the salaries of the clerks, then you're wasting your time and effort, 120 MPs of the Vojvodina Assembly, you're wasting yourself on everything that's there, and all the decisions and so you're making here. That's what we duchess autonomists can't agree with and what, if you don't take great care of it, it'll cost you dearly. What you call a budget is the absolute generator of a political crisis that will break this country. I warn you and watch what I say.
ParlaMint-RS_1997-12-29-0.u217	Thank you. Since no one's answering for a word anymore, I'm concluding a joint principle search. The National Assembly will vote individually on all draft laws on which a joint principled search has been carried out in principle, search in particular and vote in general. You have received the bill of law submitted by the Government of the Republic of Serbia. You have received amendments from the People's MPs of Lazar Marjansky. The MP has given up these amendments. You have received a report from the Finance Committee, which has adopted the bill in principle and in particular. Since the principled examination of this bill has been carried out in the context of a joint principled search, we move to a decision on the draft law in principle. I ask professional services to determine the quorum. There are 227 MPs present in the hall. I am voting on the draft law on the budget of the Republic of Serbia for 1998 in principle. Who's in? (141) Who's against it? (85) Is anyone abstaining? Nobody. I find that the National Assembly has adopted the bill in principle by majority. I'm opening a search of the bill in particular. Since MP Lazar Marjanski gave up the amendment and no one else has submitted the amendments, does anyone want a word? He doesn't want to. ( ) Since no one is answering for a word, I conclude a search of the bill in particular. I am voting on the draft law on the budget of the Republic of Serbia for 1998 as a whole. Who's in? (142) Who's against it? (85) Who is abstentioned? Nobody. I find that the National Assembly adopted by majority the Bill on the Budget of the Republic of Serbia for 1998. We move to agenda item two: - Proposal for a BUDGET DECISION OF THE AUTONOMAL SUPPORT OF COSTS AND METHOCHY FOR 1998. YOU have received a proposal for a decision made by the Government of the Republic of Serbia. You have received reports from the Committee on Finance and the Legislative Committee. I'm opening a unique search. Does the Proposer's representative want a word? No, I don't. ( b) Do the MPs who singled out opinions want a word? No, I don't. Do any of the MPs want a word? No, I don't. ) Since no one is answering my word, I conclude a unique search of the motion for a decision. I put to the vote the draft decision on the Kosovo and Metohija Autonomous Region's 1998 budget. Who's in? (139) Who's against it? (83) Has anyone abstained? Nobody. ) I find that the National Assembly adopted by majority the draft decision on the Autonomous province of Kosovo and Metohija's 1998 budget. We move to the 3rd item of the agenda: - Proposal for a LAW ON USE OF THE AGRANT BUDGET'S FUNDS You have received a bill submitted by the Government of the Republic of Serbia. You have received reports from the Committee on Finance and the Legislative Committee, which adopted the bill in principle and detail. The Agriculture Committee also accepted the bill in principle and detail. Since the principled examination of this bill has been carried out in the context of a joint principled search, we move to a decision on the draft law in principle. I put the draft law on the use of agrarian budget funds in principle. Who's in? (138) Who's against it? (85) Has anyone abstained? Nobody. I find that the National Assembly adopted the bill in principle by majority. I'm opening a search of the bill in particular. Does anyone want to talk about the bill in particular? No, I don't. ) Since no one is answering my word, I conclude a search of the bill in particular. I put the draft law on the use of agrarian budget in general. Who's in? (141) Who's against it? (85) Has anyone abstained? No, I don't. ) I find that the National Assembly adopted by majority the draft law on the use of agrarian budget funds. We move to the fourth item of the agenda: - PROPOSAL OF THE LAW ON COMMUNICATION OF SOCIALS AND CITYS IN THE ISSUE IN 1998. YOU have received the bill of law submitted by the Government of the Republic of Serbia. You have received a notice from the Government of the Republic of Serbia on the determination of representatives during the search of the Bills and Amendments submitted by the MPs: Dr Dusan Naric, Dr Nikola Jovanovic, Dr Stevan Vrbaki, Dzemail Suljević and a group of MPs Milija Sekulić, Veroljub Stevanović, Dr Gvozden Rosic, Slobodan Tomovic and Nebojsa Lekovic. Since the principled examination of this bill has been carried out in the context of a joint principled search, we move to a decision on the draft law in principle. I put the draft law on the participation of municipalities and cities in sales tax in 1998, in principle. Who's in? (143) Who's against it? (85) Has anyone abstained? Nobody. I find that the National Assembly has adopted the bill in principle by majority. I'm opening a search of the bill in particular. National MP Dr Nikola Jovanovic submitted to the 2nd amendment. The Finance Committee has not adopted the amendment, and the Legislative Committee considers the amendment legally possible. I ask the Government's representative to plead on this amendment. (The amendment is not accepted. I put this amendment to the vote. Who's in? (43) Who's against it? (105) Is anyone abstaining? Nobody. I find that the National Assembly has not accepted this amendment. Dr Stevan Vrbaki, MP, submitted to Articles 2 and 3 of the mutually related amendments. The Financial Committee has not adopted the amendment, and the Legislative Committee considers the amendments legally possible. I ask the Government's representative to plead on this amendment. (The amendments are not accepted. I am putting this amendment to the vote. Who's in? (44) Who's against it? (104) Is anyone abstaining? Nobody. I find that the National Assembly has not accepted these amendments. Members of the 2nd and 3rd interrelated amendments were submitted by a group of MPs: Milija Sekulić, Veroljub Stevanović, Dr Gvozden Rosic, Slobodan Tomovic and Nebojsa Lekovic. The Finance Committee has not adopted the amendments, and the Legislative Committee considers the amendments legally possible. I ask the Government's representative to plead on these amendments. (The amendments are not accepted. I am putting this amendment to the vote. Who's in? (43) Who's against it? (105) Is anyone abstaining? Nobody. I find that the National Assembly has not accepted these amendments. Members of the 2nd and 3rd interrelated amendments were submitted by MP Dusan Naric. The Finance Committee has not adopted the amendments, and the Legislative Committee considers the amendments legally possible. I ask the Government's representative to plead on these amendments. (The amendments are not accepted. ) There is a word from the MP Dr Dusan Naric.
ParlaMint-RS_1997-12-29-0.u218	You've been given an explanation. I probably wouldn't take it as the president of the council or this amendment, if I didn't have one terribly big problem that bothers me. This money, which has been won, is only for wages, the ones we are obliged to pay during the year. But believe me, in addition to other problems, which are very large, I have a problem with the cemetery. In February of the month , laugh all you want and stay unserious as long as you want, because it's a shame that in February the month began in Palanca to be buried outside the cemetery fence. [[Laughter in O.R.]] Gentlemen, I wouldn't want either of you to experience that fate, to have someone put it in this kind of grass. Make fun of yourself, Mr. Nikolic. Make fun of yourself at home or somewhere else, not here. This is what I'm asking the most serious of the Serbian Parliament to help me. It's not my fault. I, as President of Palanca, am also in charge of taking care of the cemetery and therefore asking for your help. I didn't ask to take it home, I'm asking this government, I'm asking this Republic to help me and please, this joke and what you're doing, it's very unserious for one Assembly. We're here to agree to help each other, and in this situation, I'm just asking, if there's a vote, to be on my side, nothing else, and the laws, gentlemen, you're going to make it.
ParlaMint-RS_1997-12-29-0.u219	National MP Tomislav Nikolic asked for a replica.
ParlaMint-RS_1997-12-29-0.u220	I've never laughed at this pay phone before, but I haven't finished medicine, especially one branch you need, sir. And don't ever go out for a pay phone in a drunk state again. I feel like I'm in the third row. One more thing, for four months, you have been begging and colluding to return your power to the Palanca municipality. When they gave you power, you now complain that you can't solve the question of cemeteries. Well, hand over power to whoever can solve the question of the cemetery.
ParlaMint-RS_1997-12-29-0.u221	National MP Dr. Naric, reply to the replica.
ParlaMint-RS_1997-12-29-0.u222	What you're saying about that alcoholism to make her feel, maybe your aunt is drunk. With two bottles of beer for the whole afternoon, a man can't be drunk. [[Laughter in O.R.]]
ParlaMint-RS_1997-12-29-0.u223	I'm voting on this amendment. Who would please raise your hand? (63) Who is against it? (78) Has anyone abstained? No, I don't. I find that the National Assembly has not accepted these amendments. The People's MP Jemail Suljević submitted to Article 3 of the amendment. The Finance Committee has not adopted the amendment, and the Legislative Committee considers the amendment legally possible. I ask the Government's representative to plead on this amendment. He doesn't accept. I put this amendment to the vote. Who's in, please raise your hand? (39) Who's against it? (103) Has anyone abstained? Nobody. I find that the National Assembly has not accepted this amendment. Anyone else want to talk about the bill in particular? There's a word from MP Neskovic Miroslav.
ParlaMint-RS_1997-12-29-0.u224	I'd only ask for one explanation. I, too, submitted an amendment to the proposal for a law on the participation of municipalities and cities in sales tax in 1998. However, this is not included in the agenda. I'd like to ask Mr. President to answer my question here.
ParlaMint-RS_1997-12-29-0.u225	Untimely.
ParlaMint-RS_1997-12-29-0.u226	Now, you explain to me whether you called this session of the Assembly in good time through the Rules of Procedure, whether you sent us the material we need to discuss in this session. So you just have two arches. One minute you're sticking to the Rules of Procedure, another minute you're not doing it. I don't think that's fair and correct. Secondly, to take the opportunity, while I'm here, to deny RTS, which on Tuesday 23 December took the opportunity to read that Miroslav Neskovic, i.e. Me in front of the SRS, SRS MP and SRS Municipal Committee Chairman Bajin Basta sent a telegram -- congratulations to the president in the election. Make sure neither I nor anyone else did it in front of the SRS. Such a pre-election campaign, which you led against candidates Dr Vojislav Seselj, continues after the Kosovo elections have been stolen. I have to say it because RTS wouldn't let her read my demos on TV. I am now taking this opportunity, since RTS is transferring this session, to simply deny that statement. A telegram card was never sent and we would never do that. Thank you.
