ParlaMint-NL_2022-06-30-tweedekamer-8.u1	I call the Secretary of State.
ParlaMint-NL_2022-06-30-tweedekamer-8.u115	I take this into account, because this is certainly an interesting thought. I'd love to take it with me. That is a commitment, Mr President. I come to the next block about the privacy-like questions that concern my portfolio. Among other things, Mrs Leijten's question is about cookies. The conditions for the use of tracking technologies by companies using cookies are laid down in the e-Privacy Directive, Mrs Leijten knows that very well and is now being adapted at European level. In the previous debate with the committee, I indicated that it is important that we think that there is something to choose. If you do not fill in a cookie, because for certain reasons you do not want your data to be exchanged there, we consider it important that you have a reasonable choice. That could be a payment, but that could be something else, so there really is something to choose. That's what we're committed to as the Netherlands. I come to Mrs Rajkowski's question about protecting the home address in the Chamber of Commerce data. Recently some of this has also come out. Mrs Rajkowski referred to this. She asked if we could speed up the information of entrepreneurs in a certain way. That's what we want to do. In connection with the GDPR, it is only difficult for us to approach everyone personally. We will have to do so through the appropriate channels. We're gonna take that very seriously. That's important. It is a good idea and we have taken a good step, but it must be implemented and implemented. I believe that the Secretary of State has said the necessary things to a question from Mrs Leijten. She asked if we could put the protection of privacy and the grip on data at the centre of data management. I think there has been a lot of talk about this. It is often about commercial data. From my portfolio, it is important that we keep a close eye on the fact that what is privacy-related remains heavily covered by the GDPR. That is a very good framework and a very good legal framework, where we can also look at other interests in a privacy-friendly way. I dare say that the GDPR interest should go above all those other interests. Here's what I'm gonna do. Those are the sustainability questions of the Party for Animals. The question is what the new technologies mean for sustainability. The contribution of the Party for Animals clearly indicated that the use of data in ICT and IT costs a lot of energy, but that this can also produce something for dealing with the sustainability issue. Emerging technologies can certainly contribute to this, as it is becoming increasingly clear that the issue lies there. I do find it interesting to investigate this further. So I'd like to take that suggestion. I'll pick it up. The Party for Animals then asked what we are doing to keep CO emissions as low as possible. In the twin transition, as we call it, these two aspects do not completely separate. As I said, they might be able to help each other in part. Of course, sending an e-mail alone requires a lot of energy. That example was given. That was more than clear. In any case, many data centres and other ICT and IT companies are under the obligation to implement and report on all energy saving measures with a payback period of five years or less. This will also be subject to strengthening supervision. That's with my colleague Jetten. We're working hard to put it harder. We do this on the basis of the list of recognised measures. The obligation will be extended to the hyperscale data centres in 2023. In any case, you will have an obligation to implement energy-saving measures. In addition, in the review of the EED, the Energy Efficiency Directive, we also want to establish that data centres are transparent about their energy consumption. They must report on this on the basis of their floor space and capacity. So we are going to increase transparency, make what we are talking about visible, take action and monitor. On the other hand, you indicated that data usage can also accelerate the energy transition. What I found interesting in Luxembourg, where the Secretary of State and I were present two weeks ago, was a subject that was on the agenda at European level. You can do this in Dutch, but it is much more interesting to do it in a European context. That issue was the conflict and the coherence between these two transitions. We have called, through my contribution, for this to be pursued very seriously, because we believe that this should have an important place in policy at European level. I think I have said enough about the infrastructure exploration that is coming. The data centers are also included in this. This applies to the data centers, the sea cables, 5G and everything that goes with infrastructure in a broad sense. I think I'm here because a lot of things have already been answered by the Secretary of State. But I can see that that is not quite the case, Mr President.
ParlaMint-NL_2022-06-30-tweedekamer-8.u116	A number of Members do not agree with you, I'm afraid.
ParlaMint-NL_2022-06-30-tweedekamer-8.u117	I appreciate the Minister's enthusiasm and optimism, but I think she has not treated my question as a physical address in response to her letter on the Trade Register and the possibility ofzzp'ers registering a postal address. My question was: when can they do that? I think the proposal on the content is a very nice one, but thezzp'ers are very keen to be able to feel safe if it is not now. When can they do this?
ParlaMint-NL_2022-06-30-tweedekamer-8.u118	We want to start implementing already in anticipation of final recording. The Chamber of Commerce starts, as we speak, with the execution of this possibility.
ParlaMint-NL_2022-06-30-tweedekamer-8.u119	So do I understand that I would be able to apply for it myself shortly after this debate, if I wanted to?
ParlaMint-NL_2022-06-30-tweedekamer-8.u120	That would be a very nice check on our implementation power. I'd like to invite you.
ParlaMint-NL_2022-06-30-tweedekamer-8.u121	Keep us posted. Send me another app tonight.
ParlaMint-NL_2022-06-30-tweedekamer-8.u122	Yes.
ParlaMint-NL_2022-06-30-tweedekamer-8.u123	The point of the data centers went a little too fast for me. Am I supposed to see it as some sort of future perspective? What are we going to need over the next ten or twenty years, taking into account the new technologies, such as multiverse and metaverse, which, of course, could make for a lot more data traffic? Maybe in the long term, we can operate online or as much as possible. I don't know any of it. To what extent will this be taken into account in the future perspective of what we will need later? If we are too late, then the digital infrastructure is not sufficient. Can the Minister comment on the question of data centres, and not just on the amount of data centres needed, but also, for example, on the opportunities for our institutions, our businesses and our top sectors? What could they do with that?
ParlaMint-NL_2022-06-30-tweedekamer-8.u124	It's nice that the question is asked, because I think it's good to take a look at what we're going to do in the next period. We are working with my ministry to make a broad view on the development of the Dutch economy over the next 10, 20, 30 years. That's quite a challenge. In other debates, I have already spoken about this in a number of your Members. We talked about the question of what that is. That is not something planned economically, because we are not going to sign what the Netherlands should look like in 2040. That is not the way we want to conduct policy. We do want to see what priorities we set there and what consequences that could have. We planned that view of the economy in the last quarter of this year. There is also a reflection of the place that the digital economy has in it. The results will be taken into account in the exploration of the digital infrastructure. Then you can see what you actually need for that. The new technologies you mention... We involve the top sectors, and a lot of stakeholders, in this debate to see if we can connect. I hope that we will come up with a good framework in which we will give some outline of what we think we need in terms of bandwidth. At least that's my ambition. Then we can also see if three sea cables are sufficient, just to say it very flat. Eventually, you have to relate that to the ambition you have and to the possibilities and limitations.
ParlaMint-NL_2022-06-30-tweedekamer-8.u125	That's clear. It's just gonna be really big now. I'm a little worried that the subject of data centers is going to be one paragraph. That is the call we made from the Chamber to the directors. The Secretary of State just referred to you on that point. That was the call to take that lead and take it away when looking purely at spatial planning issues. The Minister of EZK sat at the table last week. The Minister has heard my sigh that this is only about power consumption and spatial planning. No one seems to be thinking about what we're gonna need. Do we need data centers close to sea cables and anywhere in the Netherlands? Are we gonna sit here and say that we threw them all down in the north of the Netherlands?
ParlaMint-NL_2022-06-30-tweedekamer-8.u126	That vision of infrastructure, the exploration we are going to do, must give some answers to the question of what we need. Why do I say "somehow"? I'd prefer to say "totally." You can't, because you can't look 10, 20 or 30 years ahead and tell us how much we'll need. You can make an assessment of what the share of the economy is going to be. We can also make the estimate that data centers are not hyperscale data centers, but the colocation data centers are likely to have a share of our energy structure. So we need to think very carefully about where we want to place it.
ParlaMint-NL_2022-06-30-tweedekamer-8.u127	I asked how we weigh the interests of those cookies. You have the commercial interest in following people and making offers, and in selling the data collected with those cookies. It's a good thing you can turn them off, but that's an extra job for people. I would have taken that as an example in the question of how you weigh the commercial interest in relation to the privacy interest. We have had this debate before, so we know where we stand. The SP would like to regulate a little more to protect the privacy side. But now the Minister said: The Netherlands thinks that those cookies should be available when you pay. Okay. Now you pay with your privacy and then you pay with money. That's a lot, isn't it? Then the commercial interest takes precedence. And in the following sentence, she says: but when it comes to the balance of privacy, the GDPR is always above everything. Of course, that doesn't match, because you'll give that data away. This means that those data are no longer yours, whereas the GDPR is about protecting your data. So what exactly is it?
ParlaMint-NL_2022-06-30-tweedekamer-8.u128	The GDPR assumes that your data cannot be used by anyone else. If you give your own explicit consent, what we do every day, then the use of data is permitted. The crucial question is whether you knew well at that time what you were doing and whether you are not excluded from an essential service or package if you have certain questions, doubts or principles. We want there to be more to choose and you do not necessarily come into a cookie system. I gave an example of an amount, but there may be other, lighter consideration. We need to take a good look at that. We are now having this conversation at European level. The point is that you have something to choose and that you are not forced to give up your data, because on the one hand it has that value and on the other hand it is a personal choice.
ParlaMint-NL_2022-06-30-tweedekamer-8.u129	I can't really figure out how the Secretary of State makes the balancing of interests here. Those data are human and that's why they're protected under the GDPR. That's a protection of your own property. That's actually the GDPR. At the same time you can give it away anywhere, because a lot of people just click those cookie detectors away. We know that. You can give it away for a consideration from a site that can offer you something for that, but if we go through the Minister's line, shouldn't we say: no, you don't have cookies by default, but you get them when you click them? Now you have to click them out and give away a lot if you don't do that right, which you may not know at all. Then that privacy is really not guaranteed. Shouldn't you turn it around?
ParlaMint-NL_2022-06-30-tweedekamer-8.u130	We need to look at this in a nuance, because it is about trade. It is also about maintaining an entire economy, which benefits a lot of people, who want to shop online, who want to have offers. That's quite a choice. In that sense, I may have a difference of opinion with Mrs Leijten, because I assume that you should have that opt-out, while she opts more for an opt-in. That could be a difference of opinion.
ParlaMint-NL_2022-06-30-tweedekamer-8.u131	Fine. Thanks to the Minister. I'm gonna suspend for a few minutes and then we're gonna listen to Minister Yeşilgöz.
ParlaMint-NL_2022-06-30-tweedekamer-8.u132	The minister looks a lot more relaxed than two and a half minutes ago. That is why I am happy to give her the floor.
ParlaMint-NL_2022-06-30-tweedekamer-8.u133	Subtle. Thank you, thank you, thank you. My privacy has been violated, I hear! That's right! You don't need an algorithm for that, haha.
ParlaMint-NL_2022-06-30-tweedekamer-8.u134	For reasons of privacy, I can't say anymore. The AVG forbids me.
ParlaMint-NL_2022-06-30-tweedekamer-8.u135	Mr. Chairman. Thank you very much for this debate. I am glad that the debate could take place today, after having been postponed a few times. The Netherlands is one of the most digitised countries in the world; colleagues have already said that, so I will keep my introduction very brief. That means there are a lot of opportunities. I remember Mr Bontenbal from our debates when I was Secretary of State for Climate Policy. So I know he always has a philosophical touch in his input, and he did now. He asked: how does technology actually contribute to being a free person, to being able to live well? He said it better than I do now, but it usually is. Mr. Chairman. So I think it offers a lot of opportunities, but it also creates challenges and risks. As Minister for Justice and Security, I naturally focus on the risks involved. Because while we're always looking for a balance, we also see threats. We are also seeing these threats increase in recent years: state actors with offensive cyber programs did not shy away from economic and political espionage or disruptions. At the same time, non-state criminal actors have made a major earning model of hacking and digital hostage of all kinds of companies and fellow governments. This image is also confirmed in the Cybersecurity statue of the Netherlands, which will soon, I believe, be sent to your Chamber at the beginning of next week. This is, of course, also used as a problem analysis for the strategy. We expect them shortly after the summer. In order to face the increased threat, an integrated approach is needed, involving public and private parties working together. The cabinet therefore wants to build on the approach of the previous cabinet. The aim of me and my colleagues is, of course, to continue to invest in the digital security of our society. Mr President, I think I am going straight to the answers. That seems to me to be the most efficient, because a lot has already been said. I have four folders. The first directory is algorithms and regulation new technologies. The second directory is cybersecurity. The third folder is privacy and the Dutch Data Protection Authority, which has already been mentioned. Moreover, I will observe my colleague, the Minister for Legal Protection, if there is anything left. I also have a folder of other very important questions. I'll start with the first folder, including algorithms. In particular, it has been asked whether the claim is correct, and that is also the subject of my colleague, JenV's Secretary of State, that the IND origin is used in risk models. Some questions have been asked about this and some letters have been sent about it, but perhaps it is good to go into that further. The Immigration and Naturalization Service does not use ethnicity data in risk models. The IND works on a daily basis with issues about nationality, but that makes sense because that work is about foreigners. There was a risk model. Unfortunately, too late, that stopped. But that did stop. This contained characteristics of companies and not of individuals. I thought it would be a good idea for this debate to emphasise that. Once again, this has been shared in writing. Then there is a specific question from GroenLinks, of course partly on behalf of the PvdA: how does the police deal with the findings of the Court of Auditors in Algorithms? The findings of the General Court provide the police with tools to improve the use of the Crimes Anticipatory System. That means that the police are working on that concretely. The Crimes Anticipating System received a red score on nine main topics, in the report presented in a table. In the actual, more comprehensive review framework, 23 scores were green. This comprehensive assessment was not made visible. I thought it would be a good idea to mention that for a moment, to balance things out. The more comprehensive table on the Crimes Anticipating System received by the Court's police shows that the concerns are mainly in the demonstrable accountability surrounding the system. This means, therefore, that certain checks are carried out, but that they are not clearly written down and recorded what will then be the result. A police working group therefore aims to be able to do that responsibility properly, so that you not only use these instruments well when you use them, but also take responsibility for them.
ParlaMint-NL_2022-06-30-tweedekamer-8.u136	Thank you to the Minister for the answer. I always tend to interpret "after summer" as "short after summer," but in theory it can also be 2078. So could the minister be a little more precise?
ParlaMint-NL_2022-06-30-tweedekamer-8.u137	It's definitely between September 2022 and 2078. No, in autumn, and I hope not in winter. But they're working on that right now. A programme plan shall also specify what this further cooperation might look like. Let us agree that, if it is far after October, I will update one of the debates we are holding so that Mrs van Ginneken can at least keep a sense of what is happening there. From the VVD came the question when we can expect the work of the Hermans motion. There will be a letter from me and the Minister of Economic Affairs. This will address the ways in which SMEs will be supported to become cyber-safeter and become more resilient. That letter will come in the near future. We aim to achieve this before the summer recess. At least that's our goal. Then I'll be at privacy and the Personal Data Authority. My colleague, the Secretary of State for Foreign Affairs, has already said a few things about this. I'll see what's left of me. I had a specific question from D66 about facial recognition. Mrs Van Ginneken said: it is still used in public space. Why and when are you quitting? A clear framework has been agreed in the coalition agreement. Facial recognition may be possible, but this requires legal demarcation and control. That makes sense. It is also important that we take care of this in that way. This means that without the forthcoming artificial intelligence regulation referred to in the question, there is a framework for aid. You should hardly ever use facial recognition in public space. This can only be done in two cases in the Netherlands. It is possible if you explicitly ask everyone for permission, for example when entering a festival. Then you can say, "Would you like to join us?" But then of course you also have to offer a dignified analogue alternative, so it's a complicated process to do it that way. That often doesn't work in public space. It is also allowed if there is a legal basis to do so. This applies, for example, to our border control. I think everyone can think of why that is. It also applies to the police. It may use the CATCH system with the necessary safeguards; this is the central automatic recognition technology for ex post identification of suspects. But you're never supposed to put this on just like that. So there are always frameworks. If you put this on, it's to keep our country safe and protect victims. In addition to this, the above-mentioned artificial intelligence regulation will provide for additional control. That is a good thing. However, it will not surprise Mrs van Ginneken that I do not see any reason at the moment to ban everything we have now in the meantime. Because those possibilities are already very limited and, as far as I am concerned, very necessary for the parts for which we use them.
ParlaMint-NL_2022-06-30-tweedekamer-8.u138	Thanks to the Minister. I do think it is important that we do not remain on our hands, especially as we see that in practice it goes wrong with the use of facial recognition. A few weeks ago there was a problem in Rotterdam about filming corona protesters in a further past. I think it is very important for the Minister to be able to guarantee that its application really takes place within the very restrictive safeguards that the Minister sets out. Can the Minister undertake to investigate whether this is the case in all cases? Can she also promise that it will not be applied anywhere beyond this very specific definition? 'Cause that's not what I'm hearing in her answer. I hear it's supposed to be, but not that it is.
ParlaMint-NL_2022-06-30-tweedekamer-8.u139	I'm assuming that everyone abides by the law. The moment you don't stick to the frameworks and the law, there are other ways to find out and act accordingly. I just outlined the frameworks within which we must, of course, do it. I think that's really important. So sharing is also very often good when it comes to keeping us safe and protecting victims. I have a better plan as far as I am concerned; let me put it this way. In any case, after the summer, we will come up with a letter explaining the position in the coalition agreement and explaining how we will continue to deal with it. Maybe we can combine that. Then I can also outline these safeguards and tell you where we are going to use them. Then we can keep an eye on each other this way. I'd be at the Haga Group by now. He asked how the cabinet would prevent citizens from being unjustly followed by companies and governments. That question was asked in relation to an EU legislative proposal to scan for child pornography content. That bill should not be used improperly, but it should be used for the purposes for which it is intended. At least that's how I heard that question. The European Commission's proposal focuses inter alia on the responsibility of online service providers in the fight against online sexual child abuse. Frankly, we also need these providers very badly in order to be able to act effectively. The Cabinet therefore supports the principle that both European governments and providers of Internet services have a responsibility and take action to combat online sexual abuse of children. I understand, of course, the concerns that have just been shared, including the infringement of the right to private life, the right to data protection and the communication secret of citizens. The BNC sheet on this subject also states that the cabinet is critical of a system in which anonymity on the internet would no longer be possible and private parties collect data about the identity of their users. So it's also about the right balance here, that you can take action against, in this case, online sexual child abuse, but that you also have guarantees that this will not be a licence to use it for other purposes. This means that, in the follow-up process with the European Commission and the other Member States, we will continue to emphasise that these safeguards are of course very important. Then I had another question from D66: can the cabinet now include in any bill collecting personal data the additional supervisory capacity of the Dutch Data Protection Authority? The Integrated Weighting Framework and those implementation tests actually have exactly this aim, to reflect the impact of new regulations and legislation on, among other things, implementation services and supervisors. It must be significant effects. I think that's the relevant part here, in our discussion. For not every personal data with which extra work is carried out results in a significant increase in the task of the Personal Data Authority. That's why there are some hooks to the word "each," as I just heard from the input. I think we're looking for a handy way to work with it. It is also important that it remains practicable. If I can interpret it in such a way that it concerns any legislative proposal that leads to a significant additional processing of personal data, then we can also absolutely monitor it with each other. But it won't always be.
ParlaMint-NL_2022-06-30-tweedekamer-8.u140	I think we're getting closer. Of course, I understand that: if it isn't significant, you don't have to do a lot of work to write a few numbers on paper anyway. But for the control function of the Chamber, it is important that it is explicitly stated that it has not been found significant, so that at least we know that the balance has been made and that we can also hold the person responsible. Then the question remains: when is it significant? But I think that we will be able to talk about this further, because I do not have a concrete answer to that now either.
ParlaMint-NL_2022-06-30-tweedekamer-8.u141	Mrs Van Ginneken is not only asking a good question, but also giving a good answer to that question. I'm always very happy about that. But I think that's exactly what it is. I propose that I also take this with me at home, towards the cabinet, towards my colleagues, because in the end we should all be able to handle this very well ourselves, so that we ourselves go to a workable definition of "significant'. Maybe it's not static either. Perhaps it can be explained by legislative proposal, so that the Chamber can follow when and when not. But I'm definitely taking this. Hopefully we're gonna get that sharp with each other along the way.
ParlaMint-NL_2022-06-30-tweedekamer-8.u142	Yes. Mr. Van Raan.
ParlaMint-NL_2022-06-30-tweedekamer-8.u143	I was just with the Party for Animals!
ParlaMint-NL_2022-06-30-tweedekamer-8.u144	Well, then, wait a minute.
ParlaMint-NL_2022-06-30-tweedekamer-8.u145	He's already trying to interrupt me because he doesn't agree with my answer in advance. Oh, no, it's not that bad.
ParlaMint-NL_2022-06-30-tweedekamer-8.u146	They're all suspicious.
ParlaMint-NL_2022-06-30-tweedekamer-8.u147	Well, I'm afraid to say we're not gonna agree on this. This was about the Data Processing Act through collaborations. I got the question: why don't you quit? Why hasn't it been taken back by the government? The bill Data Processing Act was adopted by the Dutch Parliament in 2020 and is currently in the Upper House. As far as I am concerned, it is an incredibly important bill, because I really need it in the fight against organised crime. In the fight against organised crime, our legislation has not grown. If you look at who we are facing and what structures we are facing, I can only say in this debate that our legislation, our rules and our way of working have not grown. If we don't grow it quickly, we'll leave our own security forces behind and the criminals can be ten steps ahead. That will mean that we are very naive. I don't want to. I know that we can debate this for a long time, because I know that there are parties that are not for those Wgs. But it's already been dealt with here, so I'd like to leave it at that. Then I'm basically with my folder other very important questions.
ParlaMint-NL_2022-06-30-tweedekamer-8.u148	The Minister is absolutely right: we do not agree. The other question, which I believe is still in this block, although it may well be with the other important questions, is also about the anticipation of things and changing circumstances, in this case in the example of the app in America that allows women to keep track of their cycles. That seems like a really nice app and it's actually meant to collect data. It is then possible to use it at once to see if illegal abortions have been committed, because that legislation has changed. I think the Minister would come back to that. Then I wonder whether it is indeed not wiser to investigate Mrs Leijten also hinted at this or a similar principle as with the yes-jasticker that the Animal Party has managed to bring about for advertising leaflets, so "do nothing unless" is not worth much more, even when it comes to apps that collect data. Then in principle they do not, unless the user explicitly states that it can. Because this changing legislation now makes sure that data that is never intended for that purpose is used as a means of detection. That can't be the intention. I think the Minister agrees.
ParlaMint-NL_2022-06-30-tweedekamer-8.u149	I had interpreted that question as: what is the balance between business interests and privacy? Is that right or was that another question?
ParlaMint-NL_2022-06-30-tweedekamer-8.u150	Partly, because once again, these are not business interests; these are privacy interests, which are weighed against investigative interests at once, in the case of the app I just mentioned.
ParlaMint-NL_2022-06-30-tweedekamer-8.u151	I think I understand the question. He is only a bit complicated because a context from outside the Netherlands is being translated into the Netherlands, but I do understand why that is being done, because of course those apps are available worldwide and that could just work that way. Perhaps it is good to point out that in Europe and at least nationally, we always check whether the GDPR is not being undermined and whether data collection serves the purpose that was intended at the front. So I'm just looking for something extra to look for or that this answer will do.
ParlaMint-NL_2022-06-30-tweedekamer-8.u152	No, something extra is being requested, because the Minister himself said on the previous subject that we sometimes need legislation that makes this possible in the interests of the ongoing arms race against crime. We did not agree on that, but perhaps we agree that this is also an example of progress that legislation is not prepared for. Data must be prevented from being collected for one purpose, which will then be a business purpose, but will later be used for investigative purposes, because that is not the intention. What can the Minister promise or do to prevent that? Then I mentioned the example of the yes-jasticker for apps.
ParlaMint-NL_2022-06-30-tweedekamer-8.u153	That's why I'm looking a little bit. I think we're talking about the same thing. This example is almost impossible in Europe because of GDPR and European regulation. We have really built that up here in a different way. That is why the comparison is difficult. So I understand the concern and I get the signal, but our experts indicate in this comparison and what we now see is that we have a different context in terms of regulation and legislation, not only in our country, but also in Europe. So there will undoubtedly be actors who want to take advantage of it, but we have protected it pretty well. You will notice that I sometimes think that we should have a little more space to leave our security services to work, for example. Then I will come back here with proposals and I am sure we will have a consensus on them. But these frameworks are very firm in that sense.
ParlaMint-NL_2022-06-30-tweedekamer-8.u154	It was very nice between the Minister and me just now, but I was a little shocked when the Minister mentioned the WGS and organized crime in one sentence. As you know, D66 is very critical of the WGS, but it is certainly not intended to be a means of tackling primarily organised crime. There are other methods for that, aren't there? We have intelligence services in case there's a broad suspicion but no reasonable suspicion, and the police have all kinds of powers. Within the WGS there is an uncomfortable way of exchanging information within four public chains, where the Minister also has the power to hang all kinds of things under them at his own discretion. Is this still proportionate in the Minister's view, and is this appropriate as an instrument for exchanging as broad data as the police already have specific powers to deal with organised crime?
ParlaMint-NL_2022-06-30-tweedekamer-8.u155	Yes, because it is not at all the case that organised crime, for example, can only be tackled through the powers of the AIVD and the powers that the police sector has. The key to rolling up organised networks is data sharing. With the WGS, we are talking about multidisciplinary partnerships, the intention is that, with safeguards, we can share information with each other in order to be able to intervene at an early stage. Part of that will be organized crime. I know that this has been the subject of a wide-ranging debate in 2020, and I also know that we do not agree on this, but data sharing will, more than what we can do now, be crucial in the future, if we are to be able to roll up the networks.
ParlaMint-NL_2022-06-30-tweedekamer-8.u156	Nor do I dispute the fact that more data sharing can contribute to detection, because the more you know about people, the more you can catch them on things. My point is that, in my view, it is not proportionate to the objective, as we have pointed out earlier. I therefore challenge the Minister to look more critically at the use of this kind of broad powers that share a great deal of citizen information, while there are other solutions to tackle organised crime.
ParlaMint-NL_2022-06-30-tweedekamer-8.u157	I'm picking up all the solutions. I can promise this room, so I'll come back a lot. The First Chamber has also asked a lot of questions about this, which we are now answering. I assume that I will then have a good debate in the First Chamber, no doubt with Mrs Van Ginneken's colleagues.
ParlaMint-NL_2022-06-30-tweedekamer-8.u158	Fine. I'd really like to go to the second term. Mrs Dekker, short, short, short.
ParlaMint-NL_2022-06-30-tweedekamer-8.u159	Yes, very briefly. Before the Minister goes to the block with the other very interesting questions, the following. She started talking about algorithms and said that one specific algorithm was tested on 23 cubes. Is the Minister prepared to share that comprehensive review with the Chamber? Because we don't have one. I'm very curious about that.
ParlaMint-NL_2022-06-30-tweedekamer-8.u160	It's not mine, it's done by the General Court and it was about the police. I can see where to find it, but at least it's not mine. GroenLinks talked about online hate sowing, asking how to act against social platforms in that context. The liability of platforms for what is made public via platforms is shared and stored is regulated at European level in the Digital Services Act, which has recently been politically agreed in Brussels. It also regulates the responsibilities of platforms to act if they know about illegal content, including online hate speech, such as the obligation to have a procedure to report illegal content or content that is against terms of use. This is one of the procedures contained in it. But there is also an obligation, for example for the largest online platforms to investigate each year, and also for independent auditors to investigate whether a service is open to the dissemination of illegal content. If that's the case, they have to do something about it. This means, for example, that they have to modify their recommendation algorithms. So these are very clear steps that large platforms need to take to ensure that illegal content doesn't get space. I'd still have the PVV. Can the Minister give the current state of play on preventive deployment in scanning for child pornography, among other things? The approach to online sexual child abuse is aimed, among other things, at keeping the Internet clean. It is extremely important that footage of online sexual child abuse be removed as soon as possible. In this context, the hashtag server is used, recently called Instant Image Identifier. This is a very effective tool from the Expertise Bureau Online Child Abuse to match sexual child abuse material with images posted on the internet. The Instant Image Identifier matches images with the so-called well-known material. This means that material known to the police or to the Expertise Bureau Online Child Abuse is immediately recognized online. Mr. Chairman. With the advent of an administrative authority, it is also possible to maintain more effectively on companies that do not accurately remove reports of child pornography material. This means that this authority can continue to actively search for footage of sexual child abuse. So that's gonna mean some really big steps later.
ParlaMint-NL_2022-06-30-tweedekamer-8.u161	Apologies. I do not think I have made the question sufficiently clear, because I have asked about the state of play on this issue. Actually, I'm talking about the encryption discussion. It is precisely this that I want to separate a little from the proposal to combat child pornography, because that is what everyone wants. Only my problem is that those two are interwoven and that if you question the end of encryption for very good reasons, then you are accused of not hating the other one enough.
ParlaMint-NL_2022-06-30-tweedekamer-8.u162	I understand that, because that would have been my last answer to the Party for Animals where that was also a bit mixed up. So I am pleased with this introduction, even before this answer. For a moment there was the idea that there was a bill on the table from Commissioner Johansson which specifically focuses on end-to-end, but that is the bill aimed at combating child pornography. Unfortunately, these discussions are indeed mixed up. The cabinet has given an appreciation that has just gone to the Chamber. At end-to-end, the cabinet's starting point is that high-quality encryption is endorsed and that this is essential for data security and, of course, for the fundamental rights of all of us. The importance of security and fundamental rights online is also endorsed in the coalition agreement. The cabinet is currently engaged in intensive discussions with the European Commission and other Member States to see where we stand. On the one hand, we really want to remain firmly behind these rights and on the other hand we want to see how we can prevent criminals from using them. That is still being investigated, so in that sense there is nothing new to report that we are still looking at it that way.
ParlaMint-NL_2022-06-30-tweedekamer-8.u163	Mrs van Ginneken, briefly, because I really want to go to the second term.
ParlaMint-NL_2022-06-30-tweedekamer-8.u164	Yeah, me, too, Mr. Chairman, very briefly. I hear the Minister making it very clear that end-to-end encryption, which is equally freely translated into my words, is sacred. I very much agree with that. Can the Minister undertake to encourage other Member States to make such a similar statement in the discussions she is holding in Europe?
ParlaMint-NL_2022-06-30-tweedekamer-8.u165	We have agreed that we will investigate this and that I will make this statement until then, so we will give this balance and do research to see how we can deal with it. So I suggest that I stick to that extremely careful wording.
ParlaMint-NL_2022-06-30-tweedekamer-8.u166	I missed a response to my question about the purchase of cameras from countries with an offensive cyber program against the Netherlands, for example the Chinese cameras that hang at the Foreign Office.
ParlaMint-NL_2022-06-30-tweedekamer-8.u167	Yeah, there was some confusion about that. I heard the question myself as if it were about police cameras, about which there has also been a lot of discussion. In the meantime, the SP has also asked a lot of questions about this. The view at present is that not every product from China is by definition a risk and that you always have to look at what purpose it is going for. That's how it gets looked at. When it comes specifically to the use of such cameras by the government, BZK is looking closely at national security risks, of course along with other relevant government parties. So I think we've both heard the question in different areas. There's also a motion. But there is indeed now being drawn from BZK to see how we can fill it from our own role and responsibility as a government. It is good to say that the starting point at the moment is not that everything that comes from China, for example, is by definition a risk. For example, we have bought certain products from the police. We actually looked into whether there was a risk, yes or no. The answer was "no" then.
ParlaMint-NL_2022-06-30-tweedekamer-8.u168	Clear; thank you for this answer. I'm still looking. There are motions and commitments. We've talked about this before in the House of Representatives. But then I ask written questions about those cameras and then there's nothing in the answers about an adjustment. The answer is: because the purchasing regime for the government is that, this is what is happening. Then I very much miss the motion and the commitments. I get the feeling I'm gonna have to file another motion. Anyway, I've got a few minutes before I get my turn in the second term. I'm gonna think about what wisdom is.
ParlaMint-NL_2022-06-30-tweedekamer-8.u169	My main concrete point in this debate was the loot boxes in video games. Children are being manipulated to buy them and I think it is also a form of gambling. I do not think I have had an answer to that at all. I find that regrettable.
ParlaMint-NL_2022-06-30-tweedekamer-8.u170	I'll share that. I think we are going to look in second term at how we can solve this for Mr Bontenbal.
ParlaMint-NL_2022-06-30-tweedekamer-8.u171	Perhaps that can be done in response to the motion that I shall be voting on...
ParlaMint-NL_2022-06-30-tweedekamer-8.u172	Exciting, exciting.
ParlaMint-NL_2022-06-30-tweedekamer-8.u173	A fine profit warning!
ParlaMint-NL_2022-06-30-tweedekamer-8.u174	So much for the first term, I'll say. Is there a need for a second term? Yes, that's the case. You had five minutes to speak in the first period. With a minute and a half in second term, we need to be able to settle it. That's about a third. But Mr. Ceder's gonna make it even faster. He is the first speaker because he has to move on to an asylum debate. The floor is up to him.
